year (AD),d18O (perrmil)
1978,-4.69
1977.83,-4.38
1977.67,-4.13
1977.5,-4.31
1977.33,-4.62
1977.17,-4.71
1977,-4.62
1976.83,-4.49
1976.67,-4.24
1976.5,-4.47
1976.33,-4.74
1976.17,-4.84
1976,-4.83
1975.83,-4.47
1975.67,-4.11
1975.5,-4.3
1975.33,-4.66
1975.17,-4.76
1975,-4.68
1974.83,-4.36
1974.67,-4.25
1974.5,-4.64
1974.33,-4.81
1974.17,-4.79
1974,-4.81
1973.83,-4.42
1973.67,-4.24
1973.5,-4.49
1973.33,-4.86
1973.17,-4.98
1973,-4.76
1972.83,-4.43
1972.67,-4.39
1972.5,-4.72
1972.33,-4.87
1972.17,-4.75
1972,-4.64
1971.83,-4.26
1971.67,-4.14
1971.5,-4.6
1971.33,-4.88
1971.17,-4.8
1971,-4.58
1970.83,-4.33
1970.67,-4.05
1970.5,-4.6
1970.33,-4.66
1970.17,-4.74
1970,-4.67
1969.83,-4.31
1969.67,-4.2
1969.5,-4.38
1969.33,-4.63
1969.17,-4.71
1969,-4.61
1968.83,-4.39
1968.67,-4.05
1968.5,-4.22
1968.33,-4.42
1968.17,-4.72
1968,-4.8
1967.83,-4.49
1967.67,-4.18
1967.5,-4.44
1967.33,-4.71
1967.17,-4.84
1967,-4.78
1966.83,-4.21
1966.67,-4.18
1966.5,-4.55
1966.33,-4.78
1966.17,-4.85
1966,-4.72
1965.83,-4.39
1965.67,-4.2
1965.5,-4.3
1965.33,-4.76
1965.17,-4.93
1965,-4.82
1964.83,-4.43
1964.67,-4.12
1964.5,-4.66
1964.33,-4.84
1964.17,-4.73
1964,-4.73
1963.83,-4.11
1963.67,-4.08
1963.5,-4.61
1963.33,-4.84
1963.17,-4.77
1963,-4.71
1962.83,-4.39
1962.67,-4.17
1962.5,-4.5
1962.33,-4.89
1962.17,-4.64
1962,-4.47
1961.83,-4.29
1961.67,-4.27
1961.5,-4.62
1961.33,-4.8
1961.17,-4.8
1961,-4.72
1960.83,-4.53
1960.67,-4.23
1960.5,-4.26
1960.33,-4.65
1960.17,-4.94
1960,-4.52
1959.83,-4.47
1959.67,-4.31
1959.5,-4.66
1959.33,-4.9
1959.17,-4.79
1959,-4.55
1958.83,-4.4
1958.67,-4.11
1958.5,-4.14
1958.33,-4.41
1958.17,-4.62
1958,-4.6
1957.83,-4.38
1957.67,-4.12
1957.5,-4.24
1957.33,-4.61
1957.17,-4.75
1957,-4.6
1956.83,-4.36
1956.67,-4.11
1956.5,-4.3
1956.33,-4.6
1956.17,-4.69
1956,-4.57
1955.83,-4.06
1955.67,-4.01
1955.5,-4.48
1955.33,-4.74
1955.17,-4.81
1955,-4.8
1954.83,-4.59
1954.67,-4.18
1954.5,-4.24
1954.33,-4.58
1954.17,-4.74
1954,-4.66
1953.83,-4.44
1953.67,-4.01
1953.5,-4.46
1953.33,-4.82
1953.17,-4.89
1953,-4.62
1952.83,-4.22
1952.67,-4.17
1952.5,-4.44
1952.33,-4.78
1952.17,-4.59
1952,-4.53
1951.83,-4.05
1951.67,-4.04
1951.5,-4.4
1951.33,-4.64
1951.17,-4.76
1951,-4.59
1950.83,-4.33
1950.67,-4
1950.5,-4.08
1950.33,-4.59
1950.17,-4.71
1950,-4.59
1949.83,-4.19
1949.67,-4.11
1949.5,-4.29
1949.33,-4.59
1949.17,-4.58
1949,-4.37
1948.83,-4.13
1948.67,-3.67
1948.5,-4.15
1948.33,-4.5
1948.17,-4.59
1948,-4.42
1947.83,-4.17
1947.67,-4.07
1947.5,-4.25
1947.33,-4.66
1947.17,-4.73
1947,-4.64
1946.83,-4.16
1946.67,-3.86
1946.5,-4.15
1946.33,-4.5
1946.17,-4.61
1946,-4.49
1945.83,-4.27
1945.67,-3.94
1945.5,-4.18
1945.33,-4.33
1945.17,-4.52
1945,-4.57
1944.83,-4.34
1944.67,-4.06
1944.5,-4.19
1944.33,-4.35
1944.17,-4.5
1944,-4.44
1943.83,-4.1
1943.67,-3.76
1943.5,-4.1
1943.33,-4.34
1943.17,-4.6
1943,-4.4
1942.83,-4.02
1942.67,-3.75
1942.5,-4.1
1942.33,-4.39
1942.17,-4.63
1942,-4.97
1941.83,-4.77
1941.67,-4.03
1941.5,-4.31
1941.33,-4.62
1941.17,-4.75
1941,-4.66
1940.83,-4.47
1940.67,-4.25
1940.5,-4.28
1940.33,-4.49
1940.17,-4.54
1940,-4.41
1939.83,-4.16
1939.67,-3.72
1939.5,-4.04
1939.33,-4.29
1939.17,-4.48
1939,-4.48
1938.83,-4.24
1938.67,-3.91
1938.5,-4.19
1938.33,-4.61
1938.17,-4.63
1938,-4.62
1937.83,-3.96
1937.67,-3.94
1937.5,-4.35
1937.33,-4.46
1937.17,-4.73
1937,-4.52
1936.83,-4.23
1936.67,-3.89
1936.5,-4.26
1936.33,-4.55
1936.17,-4.74
1936,-4.46
1935.83,-4.28
1935.67,-4.2
1935.5,-4.25
1935.33,-4.54
1935.17,-4.71
1935,-4.65
1934.83,-4.4
1934.67,-3.88
1934.5,-4.08
1934.33,-4.55
1934.17,-4.75
1934,-4.64
1933.83,-4.33
1933.67,-3.71
1933.5,-4.25
1933.33,-4.53
1933.17,-4.72
1933,-4.65
1932.83,-4.07
1932.67,-3.96
1932.5,-4.33
1932.33,-4.54
1932.17,-4.57
1932,-4.32
1931.83,-4.17
1931.67,-4.11
1931.5,-4.14
1931.33,-4.38
1931.17,-4.83
1931,-4.51
1930.83,-4.3
1930.67,-4.21
1930.5,-4.44
1930.33,-4.57
1930.17,-4.62
1930,-4.52
1929.83,-4.26
1929.67,-3.83
1929.5,-4.36
1929.33,-4.59
1929.17,-4.64
1929,-4.54
1928.83,-4.32
1928.67,-4
1928.5,-4.32
1928.33,-4.65
1928.17,-4.75
1928,-4.6
1927.83,-4.36
1927.67,-4.21
1927.5,-4.43
1927.33,-4.62
1927.17,-4.69
1927,-4.5
1926.83,-4.15
1926.67,-4.12
1926.5,-4.59
1926.33,-4.83
1926.17,-4.79
1926,-4.43
1925.83,-4.27
1925.67,-4.16
1925.5,-4.47
1925.33,-4.57
1925.17,-4.46
1925,-4.23
1924.83,-4.02
1924.67,-3.85
1924.5,-4.23
1924.33,-4.52
1924.17,-4.41
1924,-4.14
1923.83,-4.02
1923.67,-3.85
1923.5,-4.38
1923.33,-4.68
1923.17,-4.72
1923,-4.59
1922.83,-4.35
1922.67,-3.83
1922.5,-4.2
1922.33,-4.63
1922.17,-4.63
1922,-4.41
1921.83,-4.26
1921.67,-3.89
1921.5,-4.38
1921.33,-4.59
1921.17,-4.69
1921,-4.49
1920.83,-4.02
1920.67,-4
1920.5,-4.33
1920.33,-4.56
1920.17,-4.67
1920,-4.47
1919.83,-3.99
1919.67,-3.76
1919.5,-4.28
1919.33,-4.67
1919.17,-4.61
1919,-4.33
1918.83,-4.16
1918.67,-4.13
1918.5,-4.38
1918.33,-4.57
1918.17,-4.72
1918,-4.52
1917.83,-4.26
1917.67,-3.95
1917.5,-4.1
1917.33,-4.8
1917.17,-4.76
1917,-4.5
1916.83,-4.09
1916.67,-3.97
1916.5,-4.42
1916.33,-4.65
1916.17,-4.68
1916,-4.51
1915.83,-4.25
1915.67,-4.16
1915.5,-4.58
1915.33,-4.75
1915.17,-4.67
1915,-4.51
1914.83,-4.33
1914.67,-4.13
1914.5,-4.17
1914.33,-4.41
1914.17,-4.73
1914,-4.76
1913.83,-4.36
1913.67,-4.08
1913.5,-4.33
1913.33,-4.67
1913.17,-4.82
1913,-4.58
1912.83,-4.19
1912.67,-3.84
1912.5,-4.3
1912.33,-4.5
1912.17,-4.55
1912,-4.39
1911.83,-4.09
1911.67,-3.98
1911.5,-4.21
1911.33,-4.34
1911.17,-4.37
1911,-4.05
1910.83,-3.83
1910.67,-3.71
1910.5,-3.89
1910.33,-4.15
1910.17,-4.5
1910,-4.26
1909.83,-4
1909.67,-3.73
1909.5,-3.89
1909.33,-4.41
1909.17,-4.57
1909,-4.5
1908.83,-3.96
1908.67,-3.94
1908.5,-4.32
1908.33,-4.51
1908.17,-4.64
1908,-4.62
1907.83,-4.37
1907.67,-4
1907.5,-4.15
1907.33,-4.43
1907.17,-4.75
1907,-4.79
1906.83,-4.33
1906.67,-3.66
1906.5,-4.14
1906.33,-4.62
1906.17,-4.78
1906,-4.51
1905.83,-4.21
1905.67,-3.72
1905.5,-4.1
1905.33,-4.66
1905.17,-4.71
1905,-4.44
1904.83,-4.37
1904.67,-3.9
1904.5,-4.16
1904.33,-4.66
1904.17,-4.33
1904,-3.8
1903.83,-3.61
1903.67,-3.53
1903.5,-3.88
1903.33,-4.22
1903.17,-4.04
1903,-3.85
1902.83,-3.69
1902.67,-3.52
1902.5,-3.92
1902.33,-4.32
1902.17,-4.37
1902,-4.41
1901.83,-4.23
1901.67,-4.04
1901.5,-4.13
1901.33,-4.33
1901.17,-4.62
1901,-4.32
1900.83,-3.98
1900.67,-3.59
1900.5,-4.03
1900.33,-4.47
1900.17,-4.2
1900,-3.93
1899.83,-3.75
1899.67,-3.56
1899.5,-3.69
1899.33,-4.24
1899.17,-4.62
1899,-4.37
1898.83,-4
1898.67,-3.71
1898.5,-3.92
1898.33,-4.41
1898.17,-4.34
1898,-4.47
1897.83,-3.99
1897.67,-3.49
1897.5,-3.93
1897.33,-4.35
1897.17,-4.52
1897,-4.45
1896.83,-4.21
1896.67,-3.78
1896.5,-4.31
1896.33,-4.59
1896.17,-4.61
1896,-4.24
1895.83,-3.92
1895.67,-3.66
1895.5,-4.17
1895.33,-4.52
1895.17,-4.57
1895,-4.34
1894.83,-4.03
1894.67,-3.85
1894.5,-4.25
1894.33,-4.39
1894.17,-4.56
1894,-4.37
1893.83,-4.04
1893.67,-3.91
1893.5,-4.06
1893.33,-4.53
1893.17,-4.75
1893,-4.44
1892.83,-4.08
1892.67,-3.75
1892.5,-4.09
1892.33,-4.62
1892.17,-4.63
1892,-4.31
1891.83,-3.89
1891.67,-3.63
1891.5,-4.23
1891.33,-4.52
1891.17,-4.6
1891,-4.61
1890.83,-4.24
1890.67,-3.93
1890.5,-4.29
1890.33,-4.58
1890.17,-4.72
1890,-4.44
1889.83,-4.23
1889.67,-3.81
1889.5,-3.92
1889.33,-4.32
1889.17,-4.13
1889,-3.98
1888.83,-3.85
1888.67,-3.76
1888.5,-4.47
1888.33,-4.52
1888.17,-4.51
1888,-4.31
1887.83,-3.98
1887.67,-3.78
1887.5,-4.21
1887.33,-4.58
1887.17,-4.46
1887,-4.47
1886.83,-4.2
1886.67,-3.79
1886.5,-4.07
1886.33,-4.31
1886.17,-4.39
1886,-4.54
1885.83,-4.24
1885.67,-3.38
1885.5,-4.11
1885.33,-4.6
1885.17,-4.6
1885,-4.52
1884.83,-4.18
1884.67,-3.9
1884.5,-3.96
1884.33,-4.09
1884.17,-4.28
1884,-4.19
1883.83,-4.05
1883.67,-3.84
1883.5,-4.01
1883.33,-4.23
1883.17,-4.41
1883,-4.45
1882.83,-4.17
1882.67,-3.55
1882.5,-3.94
1882.33,-4.21
1882.17,-4.26
1882,-4.3
1881.83,-4.01
1881.67,-3.69
1881.5,-3.84
1881.33,-4.5
1881.17,-4.41
1881,-4.12
1880.83,-3.91
1880.67,-3.76
1880.5,-4.19
1880.33,-4.53
1880.17,-4.3
1880,-4.23
1879.83,-3.88
1879.67,-3.73
1879.5,-4.28
1879.33,-4.47
1879.17,-4.74
1879,-4.47
1878.83,-4.1
1878.67,-3.92
1878.5,-4
1878.33,-4.4
1878.17,-4.49
1878,-4.44
1877.83,-4.31
1877.67,-3.69
1877.5,-4.06
1877.33,-4.33
1877.17,-4.42
1877,-4.18
1876.83,-3.83
1876.67,-3.69
1876.5,-4.14
1876.33,-4.32
1876.17,-4.15
1876,-4.02
1875.83,-3.83
1875.67,-3.59
1875.5,-3.94
1875.33,-4.39
1875.17,-4.35
1875,-4.19
1874.83,-3.9
1874.67,-3.83
1874.5,-4.28
1874.33,-4.54
1874.17,-4.65
1874,-4.43
1873.83,-4.07
1873.67,-3.83
1873.5,-3.93
1873.33,-4.11
1873.17,-3.95
1873,-4.59
1872.83,-3.9
1872.67,-3.86
1872.5,-4.29
1872.33,-4.53
1872.17,-4.33
1872,-4.2
1871.83,-3.9
1871.67,-3.72
1871.5,-4.18
1871.33,-4.36
1871.17,-4.3
1871,-4.17
1870.83,-3.67
1870.67,-3.53
1870.5,-4.03
1870.33,-4.25
1870.17,-4.44
1870,-4.16
1869.83,-3.71
1869.67,-3.45
1869.5,-4.06
1869.33,-4.17
1869.17,-4.24
1869,-4.15
1868.83,-3.82
1868.67,-3.69
1868.5,-3.97
1868.33,-4.14
1868.17,-4.15
1868,-4.06
1867.83,-3.78
1867.67,-3.54
1867.5,-4.1
1867.33,-4.42
1867.17,-4.39
1867,-4.08
1866.83,-3.69
1866.67,-3.68
1866.5,-4.27
1866.33,-4.33
1866.17,-4.29
1866,-4.08
1865.83,-3.78
1865.67,-3.66
1865.5,-4.34
1865.33,-4.59
1865.17,-4.58
1865,-4.19
1864.83,-3.86
1864.67,-3.75
1864.5,-4.03
1864.33,-4.53
1864.17,-4.57
1864,-4.26
1863.83,-4.05
1863.67,-3.89
1863.5,-4.05
1863.33,-4.46
1863.17,-4.27
1863,-3.94
1862.83,-3.47
1862.67,-3.39
1862.5,-4.18
1862.33,-4.29
1862.17,-4.25
1862,-4.13
1861.83,-3.89
1861.67,-3.6
1861.5,-3.78
1861.33,-3.68
1861.17,-4.49
1861,-4.26
1860.83,-4.09
1860.67,-3.42
1860.5,-3.8
1860.33,-4.36
1860.17,-4.33
1860,-4.14
1859.83,-3.87
1859.67,-3.67
1859.5,-4.45
1859.33,-4.59
1859.17,-4.66
1859,-4.38
1858.83,-4
1858.67,-3.79
1858.5,-3.94
1858.33,-4.37
1858.17,-4.58
1858,-4.5
1857.83,-4.11
1857.67,-3.86
1857.5,-4.17
1857.33,-4.51
1857.17,-4.37
1857,-4.04
1856.83,-3.95
1856.67,-3.74
1856.5,-4.08
1856.33,-4.33
1856.17,-4.45
1856,-4.37
1855.83,-4.14
1855.67,-3.92
1855.5,-4.01
1855.33,-4.21
1855.17,-4.29
1855,-4.11
1854.83,-3.71
1854.67,-3.37
1854.5,-3.86
1854.33,-4.22
1854.17,-4.41
1854,-4.2
1853.83,-3.98
1853.67,-3.72
1853.5,-3.87
1853.33,-4.3
1853.17,-4.38
1853,-4.38
1852.83,-4.11
1852.67,-3.69
1852.5,-3.97
1852.33,-4.13
1852.17,-4.17
1852,-4.12
1851.83,-3.9
1851.67,-3.68
1851.5,-3.88
1851.33,-4.26
1851.17,-4.4
1851,-4.29
1850.83,-3.99
1850.67,-3.77
1850.5,-3.88
1850.33,-4.34
1850.17,-3.9
1850,-4.01
1849.83,-3.56
1849.67,-3.51
1849.5,-3.85
1849.33,-4.23
1849.17,-4.21
1849,-3.97
1848.83,-3.7
1848.67,-3.65
1848.5,-4.2
1848.33,-4.29
1848.17,-4.2
1848,-3.98
1847.83,-3.88
1847.67,-3.63
1847.5,-3.9
1847.33,-4.09
1847.17,-4.36
1847,-4.22
1846.83,-3.78
1846.67,-3.52
1846.5,-3.79
1846.33,-4.24
1846.17,-4.29
1846,-4.24
1845.83,-3.98
1845.67,-3.63
1845.5,-4.05
1845.33,-4.46
1845.17,-4.28
1845,-4.15
1844.83,-3.85
1844.67,-3.69
1844.5,-4.12
1844.33,-4.3
1844.17,-4.28
1844,-4.08
1843.83,-3.91
1843.67,-3.56
1843.5,-4
1843.33,-4.45
1843.17,-4.04
1843,-3.95
1842.83,-3.67
1842.67,-3.47
1842.5,-3.84
1842.33,-4.22
1842.17,-4.07
1842,-3.89
1841.83,-3.65
1841.67,-3.29
1841.5,-3.65
1841.33,-4.03
1841.17,-4.24
1841,-4.08
1840.83,-3.66
1840.67,-3.27
1840.5,-3.35
1840.33,-3.73
1840.17,-3.98
1840,-3.9
1839.83,-3.8
1839.67,-3.29
1839.5,-3.3
1839.33,-3.9
1839.17,-3.87
1839,-3.68
1838.83,-3.54
1838.67,-3.37
1838.5,-3.61
1838.33,-3.89
1838.17,-3.96
1838,-3.79
1837.83,-3.63
1837.67,-3.38
1837.5,-3.5
1837.33,-3.87
1837.17,-3.9
1837,-3.78
1836.83,-3.46
1836.67,-3.23
1836.5,-3.86
1836.33,-4.17
1836.17,-4.05
1836,-3.72
1835.83,-3.58
1835.67,-3.47
1835.5,-4.05
1835.33,-4.13
1835.17,-4.06
1835,-3.96
1834.83,-3.83
1834.67,-3.56
1834.5,-3.75
1834.33,-4.1
1834.17,-4.18
1834,-3.99
1833.83,-3.86
1833.67,-3.59
1833.5,-3.8
1833.33,-4.54
1833.17,-4.45
1833,-4.01
1832.83,-3.86
1832.67,-3.61
1832.5,-4.09
1832.33,-4.33
1832.17,-4.25
1832,-4.06
