year (AD),d18O (permil),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1799,-36.2,42.56,23.79,133
1798,-35.6,42.74,23.93,132
1797,-36.4,42.92,24.06,133
1796,-37.2,43.1,24.19,132
1795,-37.6,43.27,24.32,133
1794,-36,43.45,24.46,132
1793,-35.6,43.63,24.59,133
1792,-36.7,43.81,24.72,133
1791,-36.4,43.99,24.85,132
1790,-35.6,44.16,24.99,133
1789,-34.5,44.34,25.12,132
1788,-34.4,44.52,25.25,133
1787,-34.3,44.69,25.38,132
1786,-35.3,44.87,25.52,133
1785,-36,45.05,25.65,132
1784,-35.4,45.22,25.78,133
1783,-35.4,45.4,25.91,132
1782,-35.5,45.56,26.03,133
1781,-35.1,45.72,26.16,121
1780,-34.8,45.88,26.28,121
1779,-36.4,46.04,26.4,121
1778,-37.4,46.2,26.52,121
1777,-36,46.36,26.64,121
1776,-35,46.52,26.76,121
1775,-34.2,46.68,26.88,121
1774,-34.7,46.84,27,121
1773,-36.1,47,27.12,121
1772,-35.9,47.16,27.24,121
1771,-35,47.32,27.37,121
1770,-35.1,47.47,27.49,121
1769,-36.2,47.63,27.61,121
1768,-36,47.79,27.73,121
1767,-35.8,47.95,27.85,121
1766,-36.4,48.11,27.97,121
1765,-35.6,48.27,28.09,121
1764,-36.1,48.42,28.21,121
1763,-37.3,48.58,28.33,121
1762,-36.3,48.74,28.46,121
1761,-34.5,48.9,28.58,121
1760,-35.3,49.05,28.7,121
1759,-36.4,49.21,28.82,121
1758,-37.4,49.37,28.94,121
1757,-36.9,49.53,29.06,121
1756,-35.5,49.68,29.18,121
1755,-35.7,49.84,29.3,121
1754,-35.5,50,29.42,121
1753,-36.5,50.15,29.54,121
1752,-36.5,50.31,29.67,121
1751,-35.9,50.46,29.79,121
1750,-35.2,50.62,29.91,121
1749,-34.9,50.78,30.03,121
1748,-35.3,50.93,30.15,121
1747,-34.5,51.09,30.27,121
1746,-34.1,51.24,30.39,121
1745,-36.1,51.4,30.51,121
1744,-38.2,51.55,30.63,121
1743,-38.4,51.71,30.76,121
1742,-37,51.87,30.88,121
1741,-35.5,52.02,31,121
1740,-35.6,52.17,31.12,121
1739,-35.8,52.33,31.24,121
1738,-35.4,52.48,31.36,121
1737,-35,52.64,31.48,121
1736,-35.9,52.79,31.6,121
1735,-36.3,52.95,31.72,121
1734,-36.1,53.1,31.84,121
1733,-34.9,53.26,31.97,121
1732,-34.5,53.41,32.09,121
1731,-34.7,53.56,32.21,121
1730,-34.6,53.72,32.33,121
1729,-34.8,53.87,32.45,121
1728,-34.8,54.03,32.57,121
1727,-35.8,54.18,32.69,121
1726,-38,54.33,32.81,121
1725,-38.5,54.49,32.93,121
1724,-37.1,54.64,33.06,121
1723,-36.2,54.79,33.18,121
1722,-37.5,54.94,33.3,121
1721,-38,55.1,33.42,121
1720,-38.1,55.25,33.54,121
1719,-38.9,55.4,33.66,121
1718,-37.6,55.56,33.78,121
1717,-35.5,55.71,33.9,121
1716,-35.8,55.86,34.02,121
1715,-38.7,56.01,34.14,121
1714,-37.7,56.16,34.27,121
1713,-35.9,56.32,34.39,121
1712,-35.7,56.47,34.51,121
1711,-36.5,56.62,34.63,121
1710,-36.5,56.77,34.75,121
1709,-36.9,56.92,34.87,121
1708,-38.3,57.08,34.99,121
1707,-37.9,57.23,35.11,121
1706,-36.9,57.38,35.23,121
1705,-34.7,57.53,35.36,121
1704,-34.3,57.68,35.48,121
1703,-36.4,57.83,35.6,121
1702,-36.1,57.98,35.72,121
1701,-34.7,58.13,35.84,121
1700,-34.7,58.29,35.96,121
1699,-35.1,58.44,36.08,121
1698,-35.8,58.59,36.2,121
1697,-37.1,58.74,36.32,121
1696,-37.4,58.89,36.44,121
1695,-37.3,59.04,36.57,121
1694,-37.7,59.19,36.69,121
1693,-38.2,59.34,36.81,121
1692,-38.3,59.49,36.93,121
1691,-38.4,59.64,37.05,121
1690,-37.3,59.79,37.17,121
1689,-35.5,59.94,37.29,121
1688,-36.2,60.09,37.41,121
1687,-37,60.24,37.53,121
1686,-36.2,60.39,37.66,121
1685,-34.8,60.54,37.78,121
1684,-36.2,60.69,37.9,121
1683,-37.7,60.84,38.02,121
1682,-36.2,60.99,38.14,121
1681,-35,61.14,38.26,121
1680,-36.3,61.29,38.38,121
1679,-37.1,61.44,38.5,121
1678,-35.8,61.59,38.62,121
1677,-35.6,61.74,38.74,121
1676,-36.5,61.89,38.87,121
1675,-38,62.04,38.99,121
1674,-37.6,62.18,39.11,121
1673,-37.5,62.33,39.23,121
1672,-37.2,62.48,39.35,121
1671,-36.2,62.63,39.47,121
1670,-35.3,62.78,39.59,121
1669,-36.2,62.93,39.71,121
1668,-37.2,63.07,39.83,121
1667,-36,63.22,39.96,121
1666,-34.5,63.37,40.08,121
1665,-35.3,63.52,40.2,121
1664,-36.8,63.67,40.32,121
1663,-36.4,63.82,40.44,121
1662,-35.1,63.96,40.56,121
1661,-34.4,64.11,40.68,121
1660,-36,64.26,40.8,121
1659,-36.9,64.41,40.92,121
1658,-36.4,64.55,41.04,121
1657,-34.5,64.7,41.17,121
1656,-34.1,64.85,41.29,121
1655,-34.9,65,41.41,121
1654,-36,65.14,41.53,121
1653,-37.1,65.29,41.65,121
1652,-37.3,65.44,41.77,121
1651,-36.6,65.59,41.89,121
1650,-36.2,65.73,42.01,121
1649,-35.9,65.88,42.13,121
1648,-35.9,66.03,42.26,121
1647,-35.8,66.17,42.38,121
1646,-34.8,66.32,42.5,121
1645,-33.8,66.47,42.62,121
1644,-34.3,66.61,42.74,121
1643,-33,66.76,42.86,121
1642,-34,66.91,42.98,121
1641,-35.3,67.06,43.1,121
1640,-35.7,67.2,43.22,121
1639,-36.8,67.35,43.34,121
1638,-37.3,67.49,43.47,121
1637,-37.2,67.64,43.59,121
1636,-36.2,67.79,43.71,121
1635,-36,67.93,43.83,121
1634,-36.2,68.08,43.95,121
1633,-36.4,68.23,44.07,121
1632,-36.5,68.37,44.19,121
1631,-35.7,68.52,44.31,121
1630,-35.6,68.66,44.43,121
1629,-36.4,68.81,44.56,121
1628,-37,68.96,44.68,121
1627,-36.6,69.1,44.8,121
1626,-35.8,69.25,44.92,121
1625,-35.9,69.39,45.04,121
1624,-35.8,69.54,45.16,121
1623,-35.2,69.68,45.28,121
1622,-35,69.83,45.4,121
1621,-37,69.97,45.52,121
1620,-37.3,70.12,45.64,121
1619,-36.4,70.27,45.77,121
1618,-37.1,70.41,45.89,121
1617,-36.7,70.56,46.01,121
1616,-35.9,70.7,46.13,121
1615,-35.9,70.85,46.25,121
1614,-36.4,70.99,46.37,121
1613,-36,71.14,46.49,121
1612,-34.8,71.28,46.61,121
1611,-33.9,71.43,46.73,121
1610,-33.7,71.57,46.86,121
1609,-34,71.72,46.98,121
1608,-35.6,71.86,47.1,121
1607,-37.2,72,47.22,121
1606,-37.6,72.15,47.34,121
1605,-37.6,72.29,47.46,121
1604,-37.1,72.44,47.58,121
1603,-35.7,72.58,47.7,121
1602,-33.8,72.73,47.82,121
1601,-33.3,72.87,47.94,121
1600,-34.4,73.02,48.06,121
1599,-35.8,73.16,48.18,120
1598,-36.8,73.3,48.3,120
1597,-36.8,73.44,48.42,120
1596,-35.7,73.59,48.54,120
1595,-36,73.73,48.66,120
1594,-37.4,73.87,48.78,120
1593,-37.3,74.02,48.9,120
1592,-36.9,74.16,49.02,120
1591,-37.5,74.3,49.14,120
1590,-35.1,74.44,49.26,120
1589,-34.1,74.59,49.38,120
1588,-35.1,74.73,49.5,120
1587,-35.3,74.87,49.62,120
1586,-35.8,75.01,49.74,120
1585,-36.5,75.16,49.86,120
1584,-35.9,75.3,49.98,120
1583,-35.4,75.44,50.1,120
1582,-35.9,75.58,50.22,120
1581,-37,75.73,50.34,120
1580,-36.8,75.87,50.46,120
1579,-36.1,76.01,50.58,120
1578,-35.3,76.15,50.7,120
1577,-34.8,76.29,50.82,120
1576,-35.9,76.44,50.94,120
1575,-37.4,76.58,51.06,120
1574,-37.3,76.72,51.18,120
1573,-36.8,76.86,51.3,120
1572,-35.7,77,51.42,120
1571,-35.8,77.15,51.54,120
1570,-36.7,77.29,51.66,120
1569,-35.2,77.43,51.78,120
1568,-33.6,77.57,51.9,120
1567,-34.9,77.71,52.02,120
1566,-35.8,77.85,52.14,120
1565,-36.6,78,52.26,120
1564,-36.2,78.14,52.38,120
1563,-36,78.28,52.5,120
1562,-34.9,78.42,52.62,120
1561,-34.4,78.56,52.74,120
1560,-35.9,78.7,52.86,120
1559,-35.8,78.84,52.98,120
1558,-34.9,78.99,53.1,120
1557,-35.4,79.13,53.22,120
1556,-36.4,79.27,53.34,120
1555,-36,79.41,53.46,120
1554,-35.4,79.55,53.58,120
1553,-36.1,79.69,53.7,120
1552,-35.5,79.83,53.82,120
1551,-35.1,79.98,53.94,120
1550,-35.1,80.12,54.06,120
1549,-36.5,80.26,54.18,120
1548,-37.3,80.4,54.3,120
1547,-36.6,80.54,54.42,120
1546,-35.8,80.68,54.54,120
1545,-35.9,80.82,54.66,120
1544,-35.9,80.96,54.78,120
1543,-35.5,81.1,54.9,120
1542,-36,81.24,55.02,120
1541,-36.7,81.38,55.14,120
1540,-36.9,81.52,55.26,120
1539,-36.3,81.67,55.38,120
1538,-35.1,81.81,55.5,120
1537,-34.2,81.95,55.62,120
1536,-34.9,82.09,55.74,120
1535,-34.8,82.23,55.86,120
1534,-34.4,82.37,55.98,120
1533,-34.9,82.51,56.1,120
1532,-36.3,82.65,56.22,120
1531,-37.5,82.79,56.34,120
1530,-36.9,82.93,56.46,120
1529,-36.3,83.07,56.58,120
1528,-36.9,83.21,56.7,120
1527,-36.4,83.35,56.82,120
1526,-36,83.49,56.94,120
1525,-37.8,83.63,57.06,120
1524,-38.7,83.77,57.18,120
1523,-37.1,83.91,57.3,120
1522,-35.7,84.05,57.42,120
1521,-35.7,84.19,57.54,120
1520,-36.7,84.33,57.66,120
1519,-36.8,84.47,57.78,120
1518,-37,84.61,57.9,120
1517,-35.7,84.75,58.02,120
1516,-35,84.89,58.14,120
1515,-35.6,85.03,58.26,120
1514,-37.1,85.17,58.38,120
1513,-37.8,85.31,58.5,120
1512,-37.2,85.45,58.62,120
1511,-37,85.59,58.74,120
1510,-36.8,85.73,58.86,120
1509,-36.3,85.87,58.98,120
1508,-34.4,86.01,59.1,120
1507,-34.3,86.15,59.22,120
1506,-35.4,86.29,59.34,120
1505,-35.8,86.43,59.46,120
1504,-34.7,86.57,59.58,120
1503,-33.8,86.71,59.7,120
1502,-35,86.85,59.82,120
1501,-35.9,86.99,59.94,120
1500,-35.4,87.13,60.06,120
1499,-35.8,87.27,60.18,120
1498,-36.5,87.4,60.3,120
1497,-36.7,87.54,60.42,120
1496,-36.1,87.68,60.54,120
1495,-37.6,87.82,60.66,120
1494,-36.8,87.96,60.78,120
1493,-34.8,88.1,60.9,120
1492,-34.8,88.24,61.02,120
1491,-34.4,88.38,61.14,120
1490,-33.2,88.52,61.26,120
1489,-34.4,88.66,61.38,120
1488,-36.7,88.8,61.5,120
1487,-36.4,88.94,61.62,120
1486,-35.2,89.08,61.74,120
1485,-34.6,89.21,61.86,120
1484,-34.5,89.35,61.98,120
1483,-35.2,89.49,62.1,120
1482,-36.3,89.63,62.22,120
1481,-36.3,89.77,62.34,120
1480,-35.9,89.91,62.46,120
1479,-35.2,90.05,62.58,120
1478,-35.4,90.19,62.7,120
1477,-36.1,90.33,62.82,120
1476,-35.8,90.47,62.94,120
1475,-36.7,90.6,63.06,120
1474,-36.1,90.74,63.18,120
1473,-35.9,90.88,63.3,120
1472,-36.7,91.02,63.42,120
1471,-36.8,91.16,63.54,120
1470,-36.8,91.3,63.66,120
1469,-36.9,91.44,63.78,120
1468,-36.8,91.57,63.9,120
1467,-35.9,91.71,64.02,120
1466,-35.9,91.85,64.14,120
1465,-36.5,91.99,64.26,120
1464,-36,92.13,64.38,120
1463,-35.7,92.27,64.5,120
1462,-35.8,92.41,64.62,120
1461,-36.1,92.54,64.74,120
1460,-36,92.68,64.86,120
1459,-35.7,92.82,64.98,120
1458,-35.8,92.96,65.1,120
1457,-35.2,93.1,65.22,120
1456,-35.7,93.24,65.34,120
1455,-36.2,93.38,65.46,120
1454,-35.6,93.51,65.58,120
1453,-35.3,93.65,65.7,120
1452,-35,93.79,65.82,120
1451,-34.4,93.93,65.94,120
1450,-33.2,94.07,66.06,120
1449,-33.3,94.2,66.18,120
1448,-34.6,94.34,66.3,120
1447,-34.8,94.48,66.42,120
1446,-34.5,94.62,66.54,120
1445,-36.2,94.76,66.66,120
1444,-37.5,94.9,66.78,120
1443,-35.6,95.03,66.9,120
1442,-35.9,95.17,67.02,120
1441,-36.6,95.31,67.14,120
1440,-36.7,95.45,67.26,120
1439,-36.6,95.59,67.38,120
1438,-37.1,95.72,67.5,120
1437,-36.7,95.86,67.62,120
1436,-35.7,96,67.74,120
1435,-34.6,96.14,67.86,120
1434,-34.4,96.28,67.98,120
1433,-35.3,96.41,68.1,120
1432,-34.5,96.55,68.22,120
1431,-34.7,96.69,68.34,120
1430,-35.6,96.83,68.46,120
1429,-34.9,96.96,68.58,120
1428,-34.1,97.1,68.7,120
1427,-35.1,97.24,68.82,120
1426,-35.7,97.38,68.94,120
1425,-34.9,97.52,69.06,120
1424,-35,97.65,69.18,120
1423,-35.9,97.79,69.3,120
1422,-34.8,97.93,69.42,120
1421,-33.4,98.07,69.54,120
1420,-34,98.2,69.66,120
1419,-35.1,98.34,69.78,120
1418,-35.1,98.48,69.9,120
1417,-34.9,98.62,70.02,120
1416,-35.2,98.76,70.14,120
1415,-34.4,98.89,70.26,120
1414,-33.9,99.03,70.38,120
1413,-33.9,99.17,70.5,120
1412,-33.4,99.31,70.62,120
1411,-33.4,99.44,70.74,120
1410,-34.5,99.58,70.86,120
1409,-35.3,99.72,70.98,120
1408,-34.6,99.86,71.1,120
1407,-34.9,99.99,71.22,120
1406,-37,100.13,71.34,120
1405,-37.6,100.27,71.46,120
1404,-35.6,100.41,71.58,120
1403,-34.9,100.55,71.7,120
1402,-36.5,100.68,71.82,120
1401,-36.6,100.82,71.94,120
1400,-35.7,100.96,72.06,120
1399,-35.9,101.09,72.18,120
1398,-37.1,101.23,72.3,120
1397,-38.1,101.37,72.42,120
1396,-38.2,101.51,72.54,120
1395,-38,101.64,72.66,120
1394,-36.3,101.78,72.78,120
1393,-34.4,101.92,72.9,120
1392,-34.5,102.05,73.02,120
1391,-34.9,102.19,73.14,120
1390,-36,102.33,73.26,120
1389,-35.7,102.47,73.38,120
1388,-36,102.6,73.5,120
1387,-37,102.74,73.62,120
1386,-36.7,102.88,73.74,120
1385,-36.9,103.01,73.86,120
1384,-38.1,103.15,73.98,120
1383,-37.3,103.29,74.1,120
1382,-37.4,103.42,74.22,120
1381,-37.3,103.56,74.34,120
1380,-36.2,103.7,74.46,120
1379,-36,103.84,74.58,120
1378,-36,103.97,74.7,120
1377,-37.2,104.11,74.82,120
1376,-37.4,104.25,74.94,120
1375,-37,104.38,75.06,120
1374,-35.7,104.52,75.18,120
1373,-36.2,104.66,75.3,120
1372,-36.4,104.79,75.42,120
1371,-35.8,104.93,75.54,120
1370,-36.8,105.07,75.66,120
1369,-38.5,105.2,75.78,120
1368,-37.6,105.34,75.9,120
1367,-35.8,105.48,76.02,120
1366,-34.4,105.62,76.14,120
1365,-32.7,105.75,76.26,120
1364,-33.4,105.89,76.38,120
1363,-35.1,106.02,76.5,120
1362,-35.6,106.16,76.62,120
1361,-35.2,106.3,76.74,120
1360,-35.3,106.44,76.86,120
1359,-36.5,106.57,76.98,120
1358,-37.1,106.71,77.1,120
1357,-37.1,106.85,77.22,120
1356,-36.7,106.98,77.34,120
1355,-35.9,107.12,77.46,120
1354,-36,107.25,77.58,120
1353,-37,107.39,77.7,120
1352,-36.1,107.53,77.82,120
1351,-34.4,107.66,77.94,120
1350,-34.6,107.8,78.06,120
1349,-35.6,107.94,78.18,120
1348,-37.3,108.07,78.3,120
1347,-36.8,108.21,78.42,120
1346,-34.3,108.35,78.54,120
1345,-34,108.48,78.66,120
1344,-35.1,108.62,78.78,120
1343,-35.2,108.76,78.9,120
1342,-35.2,108.89,79.02,120
1341,-36.7,109.03,79.14,120
1340,-37.6,109.17,79.26,120
1339,-37.1,109.3,79.38,120
1338,-36.8,109.44,79.5,120
1337,-37.6,109.57,79.62,120
1336,-37.4,109.71,79.74,120
1335,-37.5,109.85,79.86,120
1334,-37.5,109.98,79.98,120
1333,-36.5,110.12,80.1,120
1332,-35.2,110.26,80.22,120
1331,-35.3,110.39,80.34,120
1330,-36.4,110.53,80.46,120
1329,-36.8,110.67,80.58,120
1328,-36.3,110.8,80.7,120
1327,-35.6,110.94,80.82,120
1326,-35.3,111.07,80.94,120
1325,-35.6,111.21,81.06,120
1324,-36.8,111.35,81.18,120
1323,-37.3,111.48,81.3,120
1322,-36.3,111.62,81.42,120
1321,-35.7,111.76,81.54,120
1320,-36.8,111.89,81.66,120
1319,-36.6,112.03,81.78,120
1318,-34.7,112.16,81.9,120
1317,-34.9,112.3,82.02,120
1316,-34.7,112.44,82.14,120
1315,-35.2,112.57,82.26,120
1314,-35.8,112.71,82.38,120
1313,-35.7,112.84,82.5,120
1312,-35.9,112.98,82.62,120
1311,-36,113.12,82.74,120
1310,-36,113.25,82.86,120
1309,-36.5,113.39,82.98,120
1308,-37.9,113.52,83.1,120
1307,-37.4,113.66,83.22,120
1306,-36.6,113.8,83.34,120
1305,-35.7,113.93,83.46,120
1304,-34.3,114.07,83.58,120
1303,-34.9,114.2,83.7,120
1302,-36.3,114.34,83.82,120
1301,-35.8,114.48,83.94,120
1300,-33.5,114.61,84.06,120
1299,-33.6,114.75,84.18,120
1298,-34.8,114.88,84.3,120
1297,-34.7,115.02,84.42,120
1296,-35,115.16,84.54,120
1295,-35.9,115.29,84.66,120
1294,-35.9,115.43,84.78,120
1293,-35.6,115.56,84.9,120
1292,-36.3,115.7,85.02,120
1291,-36.7,115.84,85.14,120
1290,-35,115.97,85.26,120
1289,-34.8,116.11,85.38,120
1288,-36,116.24,85.5,120
1287,-36,116.38,85.62,120
1286,-35.2,116.51,85.74,120
1285,-34.8,116.65,85.86,120
1284,-34.7,116.79,85.98,120
1283,-35.1,116.92,86.1,120
1282,-35.3,117.06,86.22,120
1281,-35.5,117.19,86.34,120
1280,-34.8,117.33,86.46,120
1279,-34.7,117.47,86.58,120
1278,-34.2,117.6,86.7,120
1277,-33.7,117.74,86.82,120
1276,-34.2,117.87,86.94,120
1275,-35.3,118.01,87.06,120
1274,-35,118.15,87.18,120
1273,-34.6,118.28,87.3,120
1272,-35,118.42,87.42,120
1271,-34.4,118.55,87.54,120
1270,-34.1,118.69,87.66,120
1269,-35.7,118.82,87.78,120
1268,-36.1,118.96,87.9,120
1267,-36.2,119.09,88.02,120
1266,-36.6,119.23,88.14,120
1265,-35.9,119.36,88.26,120
1264,-35.9,119.5,88.38,120
1263,-35.8,119.64,88.5,120
1262,-36.6,119.77,88.62,120
1261,-37.5,119.91,88.74,120
1260,-37.2,120.04,88.86,120
1259,-36.4,120.18,88.98,120
1258,-36.1,120.31,89.09,120
1257,-35.6,120.44,89.21,116
1256,-36.5,120.57,89.32,116
1255,-38.1,120.7,89.44,116
1254,-38.3,120.83,89.56,116
1253,-36.3,120.96,89.67,116
1252,-35.5,121.09,89.79,116
1251,-35.9,121.22,89.9,116
1250,-36.4,121.35,90.02,116
1249,-37,121.48,90.13,116
1248,-37.4,121.62,90.25,116
1247,-35.7,121.75,90.37,116
1246,-35.3,121.88,90.48,116
1245,-35.8,122.01,90.6,116
1244,-35.9,122.14,90.71,116
1243,-36,122.27,90.83,116
1242,-36.3,122.4,90.94,116
1241,-36.9,122.53,91.06,116
1240,-35.4,122.66,91.18,116
1239,-34.5,122.79,91.29,116
1238,-37.1,122.92,91.41,116
1237,-37.7,123.05,91.52,116
1236,-35.4,123.18,91.64,116
1235,-34,123.31,91.75,116
1234,-34.7,123.44,91.87,116
1233,-35.8,123.57,91.99,116
1232,-35,123.7,92.1,116
1231,-33.7,123.84,92.22,116
1230,-34.3,123.97,92.33,116
1229,-36.9,124.1,92.45,116
1228,-35.2,124.23,92.56,116
1227,-34.4,124.36,92.68,116
1226,-35.1,124.49,92.8,116
1225,-36.2,124.62,92.91,116
1224,-37.6,124.75,93.03,116
1223,-37.4,124.88,93.14,116
1222,-35.9,125.01,93.26,116
1221,-36.7,125.14,93.37,116
1220,-37.8,125.27,93.49,116
1219,-38.2,125.4,93.61,116
1218,-37.4,125.53,93.72,116
1217,-37.2,125.66,93.84,116
1216,-36,125.79,93.95,116
1215,-34.3,125.92,94.07,116
1214,-34.2,126.05,94.18,116
1213,-34.5,126.18,94.3,116
1212,-34.7,126.31,94.42,116
