year (AD),d18O (permil),deuteriumExcess (permil),d18OUncertainty (per mil),d excess stdev (permil)
1839,-34.09965,11.4,0.927511965,NA
1838,-33.2222,10.343,1.209011174,NA
1837,-33.7828,9.75,2.739614513,NA
1836,-35.47595,10.633,0.742815674,NA
1835,-37.00725,10.211,0.05423509,NA
1834,-36.07175,11.015,0.188443957,NA
1833,-35.3868,11.036,0.838911485,NA
1832,-35.36485,10.129,0.401283098,NA
1831,-32.92555,10.878,0.912945565,NA
1830,-33.27165,10.208,0.740128668,NA
1829,-33.04395,11.254,1.030325291,NA
1828,-32.58625,11.67,1.037679201,NA
1827,-32.91535,11.883,1.084913934,NA
1826,-34.4056,12.16,0.773009133,NA
1825,-34.323,11.68,1.969999492,NA
1824,-33.193,11.14,0.569928066,NA
1823,-32.357,10.22,0.32951176,NA
1822,-33.65245,11.08,0.645517781,NA
1821,-35.037,11.47,1.620688742,NA
1820,-34.423,11.66,0.055154329,NA
1819,-33.87485,12.536,0.167513596,NA
1818,-35.20755,11.3,0.829082701,NA
1817,-36.14285,10.4,1.500268458,NA
1816,-35.0123,10.467,0.832971788,NA
1815,-35.8541,10.243,1.044255294,NA
1814,-34.03205,11.373,0.979979288,NA
1813,-33.5339,11.967,0.566533953,NA
1812,-33.44625,9.821,0.507349116,NA
1811,-35.0811,8.822,0.69452028,NA
1810,-33.5317,11.282,0.474185807,NA
1809,-35.47095,7.888,0.205555941,NA
1808,-33.1435,11.127,0.362745779,NA
1807,-32.6476,10.146,0.178473752,NA
1806,-31.64585,11.575,0.38063558,NA
1805,-32.6644,10.158,0.878368044,NA
1804,-32.90145,10.392,0.814657723,NA
1803,-33.45025,11.036,1.308501099,NA
1802,-34.7777,11.029,0.514349473,NA
1801,-35.84365,12.018,0.363806439,NA
1800,-35.29395,10.375,0.335522168,NA
1799,-34.1403,11.373,0.10111627,NA
1798,-35.2672,9.625,0.511379624,NA
1797,-32.6632,12.055,0.414647416,NA
1796,-34.3519,10.45,0.188231825,NA
1795,-35.1388,10.833,0.570210908,NA
1794,-32.9689,12.418,0.740199379,NA
1793,-32.4503,12.62,0.773150555,NA
1792,-33.92745,11.191,0.360978012,NA
1791,-34.5126,10.679,0.427941024,NA
1790,-34.04915,9.45,1.275832765,NA
1789,-31.8108,10.346,1.41817336,NA
1788,-32.21775,12.131,0.047729708,NA
1787,-33.3222,11.611,0.285953982,NA
1786,-33.6834,10.588,0.226839855,NA
1785,-32.5087,10.657,0.340259783,NA
1784,-33.98225,9.089,0.400717413,NA
1783,-34.2646,10.25,0.744724862,NA
1782,-33.4622,10.922,0.058124177,NA
1781,-32.6134,11.818,0.266437835,NA
1780,-33.46545,11.182,0.644103567,NA
1779,-34.6175,12.38,0.400929545,NA
1778,-34.6469,11.125,0.971423296,NA
1777,-33.8065,9.51,0.392444264,NA
1776,-33.168,10.47,0.364867099,NA
1775,-33.57175,9.638,2.235518089,NA
1774,-33.5974,10.567,0.964210807,NA
1773,-33.8709,9.763,2.185384218,NA
1772,-31.78585,11.775,0.641133719,NA
1771,-33.4065,10.78,1.190060713,NA
1770,-34.1662,10.633,0.678115403,NA
1769,-33.7555,10.07,0.539522474,NA
1768,-31.7756,11.325,0.726481507,NA
1767,-34.2603,10.438,0.684620786,NA
1766,-35.70765,10.558,0.344290292,NA
1765,-36.3475,11.363,1.27632774,NA
1764,-34.4708,11.3,0.193747258,NA
1763,-30.5951,12.079,0.517319321,NA
1762,-32.53835,10.078,0.05734636,NA
1761,-34.46445,10.867,0.967958473,NA
1760,-33.4728,11.785,0.457639509,NA
1759,-35.1344,10.833,1.824335495,NA
1758,-33.2472,10.9,0.275064538,NA
1757,-34.1222,9.725,1.12825958,NA
1756,-34.72215,10.486,0.390959339,NA
1755,-32.8539,12.344,1.620830164,NA
1754,-36.0735,8.84,0.280721392,NA
1753,-33.9704,11.317,0.552108975,NA
1752,-32.3331,11.477,0.810485793,NA
1751,-32.1628,11.083,0.828022041,NA
1750,-33.922,11.78,0.111722871,NA
1749,-35.5314,10.2,0.402060916,NA
1748,-33.16685,12.182,0.545674303,NA
1747,-33.1377,10.346,1.013708282,NA
1746,-35.93355,10.371,0.087893373,NA
1745,-33.4886,11.44,0.635830418,NA
1744,-32.67665,9.333,0.039244426,NA
1743,-32.4883,11.511,1.548563851,NA
1742,-33.429,11.48,1.022476406,NA
1741,-33.5487,10.4,0.49525759,NA
1740,-33.2972,10.1,1.6475588,NA
1739,-33.08345,10.98,0.976585175,NA
1738,-34.2587,11.5,NA,NA
1737,-34.3042,11.225,NA,NA
1736,-34.118,9.4,NA,NA
1735,-33.8125,9.838,NA,NA
1734,-32.6162,11.208,NA,NA
1733,-32.402,10.6,NA,NA
1732,-33.4786,10.643,NA,NA
1731,-32.5327,11.1,NA,NA
1730,-33.119,11.19,NA,NA
1729,-35.1456,9.656,NA,NA
1728,-34.021,12.3,NA,NA
1727,-33.243,11.87,NA,NA
1726,-35.6356,11.411,NA,NA
1725,-34.3218,11.1,NA,NA
1724,-34.466,10.08,NA,NA
