year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil)
1920.96,NA,0.08,0.08,-5
1921.04,NA,-0.01,-0.01,-5.09
1921.12,NA,-0.22,-0.22,-5.21
1921.21,NA,-0.53,-0.53,-5.24
1921.29,NA,-0.7,-0.7,-5.28
1921.37,NA,-0.67,-0.67,-5.3
1921.46,NA,-0.47,-0.47,-5.2
1921.54,NA,-0.36,-0.36,-5.06
1921.62,NA,-0.26,-0.26,-4.93
1921.71,NA,-0.22,-0.22,-4.89
1921.79,NA,0.05,0.05,-4.86
1921.87,NA,0.09,0.09,-5.06
1921.96,NA,-0.05,-0.05,-5.3
1922.04,NA,-0.14,-0.14,-5.37
1922.12,NA,-0.34,-0.34,-5.41
1922.21,NA,-0.48,-0.48,-5.38
1922.29,NA,-0.46,-0.46,-5.33
1922.37,NA,-0.35,-0.35,-5.3
1922.46,NA,-0.4,-0.4,-5.28
1922.54,NA,-0.53,-0.53,-5.21
1922.62,NA,-0.54,-0.54,-5.09
1922.71,NA,-0.47,-0.47,-4.96
1922.79,NA,-0.23,-0.23,-4.94
1922.87,NA,-0.02,-0.02,-5
1922.96,NA,0.06,0.06,-5.25
1923.04,NA,-0.08,-0.08,-5.31
1923.12,NA,-0.15,-0.15,-5.23
1923.21,NA,-0.21,-0.21,-5.21
1923.29,NA,-0.29,-0.29,-5.25
1923.37,NA,-0.4,-0.4,-5.27
1923.46,NA,-0.37,-0.37,-5.21
1923.54,NA,-0.46,-0.46,-5.17
1923.62,NA,-0.53,-0.53,-5.15
1923.71,NA,-0.48,-0.48,-5.07
1923.79,NA,-0.34,-0.34,-5.05
1923.87,NA,-0.28,-0.28,-5.08
1923.96,NA,-0.13,-0.13,-5.08
1924.04,NA,-0.11,-0.11,-5.07
1924.12,NA,-0.29,-0.29,-5.13
1924.21,NA,-0.41,-0.41,-5.11
1924.29,NA,-0.66,-0.66,-5.33
1924.37,NA,-0.86,-0.86,-5.43
1924.46,NA,-0.73,-0.73,-5.4
1924.54,NA,-0.64,-0.64,-5.35
1924.62,NA,-0.73,-0.73,-5.15
1924.71,NA,-0.59,-0.59,-4.87
1924.79,NA,-0.62,-0.62,-4.89
1924.87,NA,-0.34,-0.34,-5.04
1924.96,NA,0.1,0.1,-5.14
1925.04,NA,0.07,0.07,-5.16
1925.12,NA,-0.1,-0.1,-5.21
1925.21,NA,-0.33,-0.33,-5.34
1925.29,NA,-0.55,-0.55,-5.48
1925.37,NA,-0.73,-0.73,-5.59
1925.46,NA,-0.78,-0.78,-5.59
1925.54,NA,-0.73,-0.73,-5.5
1925.62,NA,-0.77,-0.77,-5.5
1925.71,NA,-0.46,-0.46,-5.35
1925.79,NA,-0.21,-0.21,-5.07
1925.87,NA,-0.19,-0.19,-5.2
1925.96,NA,-0.35,-0.35,-5.57
1926.04,NA,-0.29,-0.29,-5.38
1926.12,NA,-0.31,-0.31,-5.28
1926.21,NA,-0.5,-0.5,-5.42
1926.29,NA,-0.45,-0.45,-5.42
1926.37,NA,-0.45,-0.45,-5.41
1926.46,NA,-0.44,-0.44,-5.18
1926.54,NA,-0.5,-0.5,-5.11
1926.62,NA,-0.42,-0.42,-4.99
1926.71,NA,-0.31,-0.31,-4.86
1926.79,NA,-0.09,-0.09,-4.91
1926.87,NA,0.01,0.01,-5.04
1926.96,NA,-0.05,-0.05,-5.19
1927.04,NA,-0.16,-0.16,-5.25
1927.12,NA,-0.2,-0.2,-5.27
1927.21,NA,-0.14,-0.14,-5.24
1927.29,NA,-0.16,-0.16,-5.27
1927.37,NA,-0.26,-0.26,-5.35
1927.46,NA,-0.35,-0.35,-5.33
1927.54,NA,-0.34,-0.34,-5.23
1927.62,NA,-0.37,-0.37,-5.19
1927.71,NA,-0.43,-0.43,-5.25
1927.79,NA,-0.29,-0.29,-5.27
1927.87,NA,-0.02,-0.02,-5.1
1927.96,NA,0.1,0.1,-5.16
1928.04,NA,-0.1,-0.1,-5.26
1928.12,NA,-0.26,-0.26,-5.21
1928.21,NA,-0.4,-0.4,-5.33
1928.29,NA,-0.39,-0.39,-5.13
1928.37,NA,-0.52,-0.52,-5.06
1928.46,NA,-0.39,-0.39,-5.02
1928.54,NA,-0.31,-0.31,-4.89
1928.62,NA,-0.21,-0.21,-4.74
1928.71,NA,-0.47,-0.47,-4.78
1928.79,NA,-0.49,-0.49,-4.94
1928.87,NA,-0.34,-0.34,-5.07
1928.96,NA,-0.18,-0.18,-5.19
1929.04,NA,-0.29,-0.29,-5.24
1929.12,NA,-0.43,-0.43,-5.28
1929.21,NA,-0.3,-0.3,-5.28
1929.29,NA,-0.44,-0.44,-5.32
1929.37,NA,-0.6,-0.6,-5.37
1929.46,NA,-0.62,-0.62,-5.4
1929.54,NA,-0.67,-0.67,-5.37
1929.62,NA,-0.79,-0.79,-5.27
1929.71,NA,-0.7,-0.7,-5.04
1929.79,NA,-0.46,-0.46,-4.84
1929.87,NA,-0.12,-0.12,-4.78
1929.96,NA,0,0,-5.06
1930.04,NA,-0.18,-0.18,-5.24
1930.12,NA,-0.49,-0.49,-5.36
1930.21,NA,-0.51,-0.51,-5.37
1930.29,NA,-0.38,-0.38,-5.37
1930.37,NA,-0.39,-0.39,-5.34
1930.46,NA,-0.35,-0.35,-5.14
1930.54,NA,-0.29,-0.29,-5.04
1930.62,NA,-0.34,-0.34,-4.99
1930.71,NA,-0.68,-0.68,-4.91
1930.79,NA,-0.39,-0.39,-4.93
1930.87,NA,-0.38,-0.38,-5.11
1930.96,NA,-0.46,-0.46,-5.39
1931.04,NA,-0.49,-0.49,-5.42
1931.12,NA,-0.51,-0.51,-5.37
1931.21,NA,-0.5,-0.5,-5.31
1931.29,NA,-0.52,-0.52,-5.25
1931.37,NA,-0.54,-0.54,-5.17
1931.46,NA,-0.53,-0.53,-5.07
1931.54,NA,-0.53,-0.53,-4.96
1931.62,NA,-0.52,-0.52,-4.86
1931.71,NA,-0.41,-0.41,-4.78
1931.79,NA,-0.39,-0.39,-4.88
1931.87,NA,-0.3,-0.3,-5.08
1931.96,NA,-0.33,-0.33,-5.33
1932.04,NA,-0.53,-0.53,-5.32
1932.12,NA,-0.57,-0.57,-5.23
1932.21,NA,-0.49,-0.49,-5.16
1932.29,NA,-0.36,-0.36,-5.19
1932.37,NA,-0.37,-0.37,-5.29
1932.46,NA,-0.46,-0.46,-5.38
1932.54,NA,-0.4,-0.4,-5.13
1932.62,NA,-0.48,-0.48,-4.94
1932.71,NA,-0.51,-0.51,-4.75
1932.79,NA,-0.47,-0.47,-4.87
1932.87,NA,-0.37,-0.37,-5.06
1932.96,NA,-0.26,-0.26,-5.26
1933.04,NA,-0.25,-0.25,-5.29
1933.12,NA,-0.26,-0.26,-5.27
1933.21,NA,-0.28,-0.28,-5.12
1933.29,NA,-0.32,-0.32,-4.93
1933.37,NA,-0.3,-0.3,-4.83
1933.46,NA,-0.26,-0.26,-4.77
1933.54,NA,-0.22,-0.22,-4.73
1933.62,NA,-0.25,-0.25,-4.71
1933.71,NA,-0.28,-0.28,-4.72
1933.79,NA,-0.24,-0.24,-4.85
1933.87,NA,-0.12,-0.12,-4.94
1933.96,NA,-0.03,-0.03,-4.99
1934.04,NA,-0.06,-0.06,-5.02
1934.12,NA,-0.37,-0.37,-5.02
1934.21,NA,-0.74,-0.74,-5.07
1934.29,NA,-0.96,-0.96,-5.38
1934.37,NA,-0.71,-0.71,-5.15
1934.46,NA,-0.33,-0.33,-4.64
1934.54,NA,-0.36,-0.36,-4.55
1934.62,NA,-0.51,-0.51,-4.57
1934.71,NA,-0.51,-0.51,-4.6
1934.79,NA,-0.39,-0.39,-4.81
1934.87,NA,-0.43,-0.43,-5.15
1934.96,NA,-0.25,-0.25,-5.32
1935.04,NA,-0.21,-0.21,-5.18
1935.12,NA,-0.24,-0.24,-5
1935.21,NA,-0.29,-0.29,-4.91
1935.29,NA,-0.36,-0.36,-4.89
1935.37,NA,-0.39,-0.39,-4.9
1935.46,NA,-0.31,-0.31,-4.76
1935.54,NA,-0.21,-0.21,-4.56
1935.62,NA,-0.34,-0.34,-4.57
1935.71,NA,-0.46,-0.46,-4.65
1935.79,NA,-0.28,-0.28,-4.72
1935.87,NA,-0.21,-0.21,-4.9
1935.96,NA,-0.26,-0.26,-5.11
1936.04,NA,-0.41,-0.41,-5.02
1936.12,NA,-0.44,-0.44,-5.07
1936.21,NA,-0.41,-0.41,-5.2
1936.29,NA,-0.49,-0.49,-5.2
1936.37,NA,-0.7,-0.7,-5.23
1936.46,NA,-0.86,-0.86,-5.27
1936.54,NA,-0.83,-0.83,-5.25
1936.62,NA,-0.67,-0.67,-4.99
1936.71,NA,-0.49,-0.49,-4.77
1936.79,NA,-0.05,-0.05,-4.78
1936.87,NA,0.26,0.26,-4.88
1936.96,NA,0.11,0.11,-5.17
1937.04,NA,0.03,0.03,-5.19
1937.12,NA,-0.09,-0.09,-5.13
1937.21,NA,-0.21,-0.21,-5.1
1937.29,NA,-0.31,-0.31,-5.18
1937.37,NA,-0.44,-0.44,-5.2
1937.46,NA,-0.63,-0.63,-5.22
1937.54,NA,-0.68,-0.68,-5.14
1937.62,NA,-0.57,-0.57,-4.95
1937.71,NA,-0.5,-0.5,-4.86
1937.79,NA,-0.48,-0.48,-4.84
1937.87,NA,-0.23,-0.23,-4.97
1937.96,NA,0.2,0.2,-5.11
1938.04,NA,0.04,0.04,-5.18
1938.12,NA,-0.3,-0.3,-5.35
1938.21,NA,-0.55,-0.55,-5.49
1938.29,NA,-0.53,-0.53,-5.5
1938.37,NA,-0.53,-0.53,-5.51
1938.46,NA,-0.55,-0.55,-5.45
1938.54,NA,-0.51,-0.51,-5.27
1938.62,NA,-0.43,-0.43,-5.14
1938.71,NA,-0.13,-0.13,-5.15
1938.79,NA,-0.02,-0.02,-5.34
1938.87,NA,-0.04,-0.04,-5.42
1938.96,NA,-0.11,-0.11,-5.43
1939.04,NA,-0.19,-0.19,-5.41
1939.12,NA,-0.14,-0.14,-5.33
1939.21,NA,-0.17,-0.17,-5.29
1939.29,NA,-0.11,-0.11,-5.22
1939.37,NA,-0.05,-0.05,-5.13
1939.46,NA,-0.21,-0.21,-5.13
1939.54,NA,-0.26,-0.26,-4.98
1939.62,NA,-0.21,-0.21,-4.8
1939.71,NA,-0.15,-0.15,-4.73
1939.79,NA,0.14,0.14,-4.87
1939.87,NA,0.21,0.21,-5.08
1939.96,NA,0.21,0.21,-5.23
1940.04,NA,0.2,0.2,-5.24
1940.12,NA,0.09,0.09,-5.33
1940.21,NA,0.05,0.05,-5.35
1940.29,NA,0.07,0.07,-5.29
1940.37,NA,-0.01,-0.01,-5.29
1940.46,NA,-0.14,-0.14,-5.28
1940.54,NA,-0.07,-0.07,-5.15
1940.62,NA,-0.04,-0.04,-4.99
1940.71,NA,-0.05,-0.05,-4.86
1940.79,NA,-0.03,-0.03,-4.86
1940.87,NA,0,0,-4.95
1940.96,NA,0.21,0.21,-5.03
1941.04,NA,0.12,0.12,-5.15
1941.12,NA,0.02,0.02,-5.21
1941.21,NA,-0.1,-0.1,-5.2
1941.29,NA,-0.25,-0.25,-5.11
1941.37,NA,-0.54,-0.54,-5.21
1941.46,NA,-0.57,-0.57,-5.23
1941.54,NA,-0.62,-0.62,-5.15
1941.62,NA,-0.59,-0.59,-5
1941.71,NA,-0.51,-0.51,-4.81
1941.79,NA,-0.42,-0.42,-4.91
1941.87,NA,-0.14,-0.14,-4.99
1941.96,NA,0.06,0.06,-4.99
1942.04,NA,-0.03,-0.03,-5.01
1942.12,NA,-0.16,-0.16,-5.05
1942.21,NA,-0.31,-0.31,-5.08
1942.29,NA,-0.43,-0.43,-5.06
1942.37,NA,-0.55,-0.55,-5.02
1942.46,NA,-0.65,-0.65,-4.99
1942.54,NA,-0.66,-0.66,-4.97
1942.62,NA,-0.66,-0.66,-4.97
1942.71,NA,-0.68,-0.68,-5.02
1942.79,NA,-0.52,-0.52,-5.2
1942.87,NA,-0.36,-0.36,-5.21
1942.96,NA,-0.07,-0.07,-5
1943.04,NA,-0.05,-0.05,-5
1943.12,NA,-0.18,-0.18,-5.09
1943.21,NA,-0.34,-0.34,-5.19
1943.29,NA,-0.5,-0.5,-5.27
1943.37,NA,-0.46,-0.46,-5.28
1943.46,NA,-0.33,-0.33,-5.25
1943.54,NA,-0.46,-0.46,-5.29
1943.62,NA,-0.53,-0.53,-5.23
1943.71,NA,-0.47,-0.47,-5.2
1943.79,NA,-0.21,-0.21,-5.11
1943.87,NA,-0.13,-0.13,-4.9
1943.96,NA,-0.27,-0.27,-5.07
1944.04,NA,-0.23,-0.23,-5.18
1944.12,NA,-0.29,-0.29,-5.07
1944.21,NA,-0.3,-0.3,-5.01
1944.29,NA,-0.21,-0.21,-5.01
1944.37,NA,-0.03,-0.03,-4.92
1944.46,NA,-0.12,-0.12,-4.84
1944.54,NA,-0.26,-0.26,-4.76
1944.62,NA,-0.41,-0.41,-4.69
1944.71,NA,-0.45,-0.45,-4.71
1944.79,NA,-0.18,-0.18,-4.87
1944.87,NA,0.3,0.3,-4.74
1944.96,NA,0.45,0.45,-4.75
1945.04,NA,0.2,0.2,-5
1945.12,NA,0.12,0.12,-5.07
1945.21,NA,0.02,0.02,-5.16
1945.29,NA,-0.05,-0.05,-5.21
1945.37,NA,-0.11,-0.11,-5.26
1945.46,NA,-0.18,-0.18,-5.27
1945.54,NA,-0.25,-0.25,-5.14
1945.62,NA,-0.31,-0.31,-4.97
1945.71,NA,-0.16,-0.16,-4.73
1945.79,NA,-0.23,-0.23,-4.84
1945.87,NA,-0.02,-0.02,-4.68
1945.96,NA,0.15,0.15,-4.74
1946.04,NA,0.06,0.06,-4.8
1946.12,NA,-0.18,-0.18,-4.92
1946.21,NA,-0.3,-0.3,-5.13
1946.29,NA,-0.31,-0.31,-4.97
1946.37,NA,-0.47,-0.47,-5.03
1946.46,NA,-0.39,-0.39,-4.97
1946.54,NA,-0.31,-0.31,-4.78
1946.62,NA,-0.25,-0.25,-4.63
1946.71,NA,-0.31,-0.31,-4.63
1946.79,NA,-0.2,-0.2,-4.83
1946.87,NA,0.15,0.15,-4.72
1946.96,NA,-0.26,-0.26,-5.31
1947.04,NA,-0.29,-0.29,-5.33
1947.12,NA,-0.34,-0.34,-5.19
1947.21,NA,-0.33,-0.33,-4.98
1947.29,NA,-0.29,-0.29,-4.89
1947.37,NA,-0.29,-0.29,-4.97
1947.46,NA,-0.32,-0.32,-4.93
1947.54,NA,-0.24,-0.24,-4.87
1947.62,NA,-0.2,-0.2,-4.8
1947.71,NA,-0.19,-0.19,-4.75
1947.79,NA,0.04,0.04,-4.89
1947.87,NA,-0.09,-0.09,-5.21
1947.96,NA,-0.14,-0.14,-5.35
1948.04,NA,-0.13,-0.13,-5.33
1948.12,NA,-0.15,-0.15,-5.28
1948.21,NA,-0.12,-0.12,-5.16
1948.29,NA,-0.06,-0.06,-5.02
1948.37,NA,-0.02,-0.02,-4.97
1948.46,NA,-0.06,-0.06,-4.98
1948.54,NA,-0.08,-0.08,-4.99
1948.62,NA,-0.11,-0.11,-4.99
1948.71,NA,-0.09,-0.09,-4.93
1948.79,NA,0.12,0.12,-4.83
1948.87,NA,0.27,0.27,-4.9
1948.96,NA,0.37,0.37,-5.1
1949.04,NA,0.19,0.19,-5.16
1949.12,NA,-0.16,-0.16,-5.38
1949.21,NA,-0.29,-0.29,-5.44
1949.29,NA,-0.04,-0.04,-5.18
1949.37,NA,-0.12,-0.12,-5.21
1949.46,NA,-0.29,-0.29,-5.35
1949.54,NA,-0.14,-0.14,-5.11
1949.62,NA,-0.02,-0.02,-4.94
1949.71,NA,0.07,0.07,-4.8
1949.79,NA,0.26,0.26,-4.8
1949.87,NA,0.4,0.4,-5.03
1949.96,NA,0.13,0.13,-5.42
1950.04,NA,0,0,-5.33
1950.12,NA,-0.13,-0.13,-5.36
1950.21,NA,-0.34,-0.34,-5.53
1950.29,NA,-0.22,-0.22,-5.29
1950.37,NA,-0.12,-0.12,-5.06
1950.46,NA,-0.09,-0.09,-5
1950.54,NA,0.02,0.02,-4.86
1950.62,NA,0.04,0.04,-4.81
1950.71,NA,-0.07,-0.07,-4.84
1950.79,NA,0.28,0.28,-4.72
1950.87,NA,0.47,0.47,-4.84
1950.96,NA,0.27,0.27,-5.19
1951.04,NA,-0.05,-0.05,-5.36
1951.12,NA,-0.16,-0.16,-5.46
1951.21,NA,-0.26,-0.26,-5.46
1951.29,NA,-0.24,-0.24,-5.4
1951.37,NA,-0.1,-0.1,-5.28
1951.46,NA,-0.03,-0.03,-5.12
1951.54,NA,-0.06,-0.06,-5.07
1951.62,NA,0.24,0.24,-4.75
1951.71,NA,-0.06,-0.06,-5.02
1951.79,NA,0.16,0.16,-5.07
1951.87,NA,0.42,0.42,-5.03
1951.96,NA,0.35,0.35,-5.36
1952.04,NA,0.26,0.26,-5.42
1952.12,NA,0.07,0.07,-5.59
1952.21,NA,-0.02,-0.02,-5.58
1952.29,NA,0,0,-5.39
1952.37,NA,0.13,0.13,-5.07
1952.46,NA,-0.13,-0.13,-5.24
1952.54,NA,-0.12,-0.12,-5.17
1952.62,NA,-0.08,-0.08,-5.11
1952.71,NA,-0.04,-0.04,-4.97
1952.79,NA,0.23,0.23,-4.9
1952.87,NA,0.58,0.58,-4.9
1952.96,NA,0.41,0.41,-5.21
1953.04,NA,0.22,0.22,-5.34
1953.12,NA,0.08,0.08,-5.44
1953.21,NA,0.14,0.14,-5.33
1953.29,NA,0.09,0.09,-5.22
1953.37,NA,0.03,0.03,-5.06
1953.46,NA,-0.04,-0.04,-5.2
1953.54,NA,-0.16,-0.16,-5.25
1953.62,NA,-0.06,-0.06,-5.04
1953.71,NA,-0.15,-0.15,-4.93
1953.79,NA,0.06,0.06,-4.75
1953.87,NA,0.21,0.21,-4.8
1953.96,NA,0.19,0.19,-5.19
1954.04,NA,-0.01,-0.01,-5.43
1954.12,NA,0,0,-5.45
1954.21,NA,-0.14,-0.14,-5.33
1954.29,NA,-0.19,-0.19,-5.46
1954.37,NA,-0.19,-0.19,-5.49
1954.46,NA,-0.14,-0.14,-5.31
1954.54,NA,-0.08,-0.08,-5.14
1954.62,NA,-0.12,-0.12,-5.06
1954.71,NA,-0.11,-0.11,-5.06
1954.79,NA,0.07,0.07,-5.1
1954.87,NA,0.31,0.31,-5.1
1954.96,NA,0.34,0.34,-5.2
1955.04,NA,0.13,0.13,-5.35
1955.12,NA,0.04,0.04,-5.4
1955.21,NA,0.05,0.05,-5.37
1955.29,NA,0.2,0.2,-5.2
1955.37,NA,0.12,0.12,-5.2
1955.46,NA,-0.04,-0.04,-5.25
1955.54,NA,-0.05,-0.05,-5.2
1955.62,NA,-0.06,-0.06,-5.12
1955.71,NA,-0.09,-0.09,-5.01
1955.79,NA,0.19,0.19,-5
1955.87,NA,0.38,0.38,-5.19
1955.96,NA,0.18,0.18,-5.52
1956.04,NA,0.17,0.17,-5.41
1956.12,NA,0.18,0.18,-5.39
1956.21,NA,0.07,0.07,-5.55
1956.29,NA,0.03,0.03,-5.47
1956.37,NA,-0.12,-0.12,-5.34
1956.46,NA,-0.06,-0.06,-5.11
1956.54,NA,-0.16,-0.16,-5.06
1956.62,NA,-0.33,-0.33,-5.05
1956.71,NA,-0.59,-0.59,-5.09
1956.79,NA,-0.28,-0.28,-5.12
1956.87,NA,-0.01,-0.01,-5.23
1956.96,NA,0.12,0.12,-5.29
1957.04,NA,0.01,0.01,-5.35
1957.12,NA,-0.11,-0.11,-5.33
1957.21,NA,-0.36,-0.36,-5.34
1957.29,NA,-0.46,-0.46,-5.38
1957.37,NA,-0.45,-0.45,-5.39
1957.46,NA,-0.32,-0.32,-5.27
1957.54,NA,-0.22,-0.22,-4.99
1957.62,NA,-0.37,-0.37,-4.93
1957.71,NA,-0.32,-0.32,-4.84
1957.79,NA,0.16,0.16,-4.81
1957.87,NA,0.2,0.2,-5.03
1957.96,NA,0.25,0.25,-5.22
1958.04,NA,0.19,0.19,-5.26
1958.12,NA,0.12,0.12,-5.27
1958.21,NA,0.07,0.07,-5.28
1958.29,NA,0.06,0.06,-5.26
1958.37,NA,0.03,0.03,-5.19
1958.46,NA,0.17,0.17,-5.08
1958.54,NA,0.15,0.15,-5.02
1958.62,NA,0.1,0.1,-4.96
1958.71,NA,0.08,0.08,-4.95
1958.79,NA,0.37,0.37,-4.88
1958.87,NA,0.17,0.17,-5.14
1958.96,NA,-0.01,-0.01,-5.46
1959.04,NA,-0.05,-0.05,-5.51
1959.12,NA,-0.08,-0.08,-5.52
1959.21,NA,-0.14,-0.14,-5.49
1959.29,NA,-0.14,-0.14,-5.45
1959.37,NA,-0.07,-0.07,-5.35
1959.46,NA,0.06,0.06,-5.21
1959.54,NA,0.09,0.09,-5.11
1959.62,NA,0.13,0.13,-5.03
1959.71,NA,0.2,0.2,-4.91
1959.79,NA,0.43,0.43,-4.86
1959.87,NA,0.29,0.29,-5.08
1959.96,NA,0.02,0.02,-5.44
1960.04,NA,0.01,0.01,-5.42
1960.12,NA,0.09,0.09,-5.34
1960.21,NA,-0.01,-0.01,-5.33
1960.29,NA,0.02,0.02,-5.18
1960.37,NA,-0.01,-0.01,-5.14
1960.46,NA,0.09,0.09,-4.98
1960.54,NA,0.26,0.26,-4.81
1960.62,NA,0.1,0.1,-4.91
1960.71,NA,-0.09,-0.09,-5.01
1960.79,NA,0.33,0.33,-4.76
1960.87,NA,0.36,0.36,-4.97
1960.96,NA,0.42,0.42,-5.08
1961.04,NA,0.36,0.36,-5.12
1961.12,NA,0.28,0.28,-5.18
1961.21,NA,0.2,0.2,-5.23
1961.29,NA,0.22,0.22,-5.2
1961.37,NA,0.3,0.3,-5.13
1961.46,NA,0.16,0.16,-5.09
1961.54,NA,0.15,0.15,-5.01
1961.62,NA,0.18,0.18,-4.94
1961.71,NA,0.22,0.22,-4.89
1961.79,NA,0.21,0.21,-4.97
1961.87,NA,0.29,0.29,-5.02
1961.96,NA,0.46,0.46,-5.13
1962.04,NA,0.34,0.34,-5.25
1962.12,NA,0.22,0.22,-5.3
1962.21,NA,0.16,0.16,-5.14
1962.29,NA,0.15,0.15,-5.12
1962.37,NA,0.05,0.05,-5.18
1962.46,NA,-0.01,-0.01,-5.1
1962.54,NA,0.12,0.12,-4.84
1962.62,NA,0.13,0.13,-4.72
1962.71,NA,0.12,0.12,-4.64
1962.79,NA,0.19,0.19,-4.84
1962.87,NA,0.27,0.27,-5.01
1962.96,NA,0.32,0.32,-5.2
1963.04,NA,0.18,0.18,-5.33
1963.12,NA,0.09,0.09,-5.41
1963.21,NA,0.14,0.14,-5.26
1963.29,NA,0.09,0.09,-5.27
1963.37,NA,0.07,0.07,-5.31
1963.46,NA,-0.11,-0.11,-5.46
1963.54,NA,-0.14,-0.14,-5.35
1963.62,NA,-0.1,-0.1,-5.17
1963.71,NA,-0.01,-0.01,-4.94
1963.79,NA,0.31,0.31,-4.74
1963.87,NA,0.57,0.57,-4.87
1963.96,NA,0.49,0.49,-5.09
1964.04,NA,0.29,0.29,-5.15
1964.12,NA,0.19,0.19,-5.11
1964.21,NA,0.04,0.04,-5.22
1964.29,NA,0.18,0.18,-5.2
1964.37,NA,0.34,0.34,-5.11
1964.46,NA,0.26,0.26,-5.03
1964.54,NA,0.11,0.11,-4.92
1964.62,NA,0.04,0.04,-4.85
1964.71,NA,0.04,0.04,-4.69
1964.79,NA,0.36,0.36,-4.87
1964.87,NA,0.25,0.25,-5.09
1964.96,NA,0.19,0.19,-5.19
1965.04,NA,0.13,0.13,-5.19
1965.12,NA,0.06,0.06,-5.28
1965.21,NA,-0.05,-0.05,-5.43
1965.29,NA,-0.17,-0.17,-5.49
1965.37,NA,-0.21,-0.21,-5.39
1965.46,NA,-0.22,-0.22,-5.19
1965.54,NA,-0.21,-0.21,-5.06
1965.62,NA,-0.15,-0.15,-4.88
1965.71,NA,-0.01,-0.01,-4.66
1965.79,NA,-0.06,-0.06,-4.8
1965.87,NA,-0.18,-0.18,-5.15
1965.96,NA,-0.03,-0.03,-5.27
1966.04,NA,-0.05,-0.05,-5.28
1966.12,NA,-0.07,-0.07,-5.3
1966.21,NA,-0.2,-0.2,-5.46
