year (AD),d18O (permil),Sr_Ca (mmol/mol),d13C (permil)
1988.04,-5.12,8.838,-0.62
1987.95,-4.97,8.877,-0.76
1987.87,-4.76,8.835,-0.79
1987.79,-4.64,8.84,-0.92
1987.7,-4.45,8.894,-1.13
1987.62,-4.59,9.005,-1.22
1987.56,-4.72,8.984,-1.1
1987.51,-4.87,8.933,-0.76
1987.45,-4.81,8.94,-0.88
1987.39,-4.95,8.905,-1.04
1987.34,-5.09,8.864,-0.96
1987.28,-5.11,8.906,-0.99
1987.22,-5.08,8.826,-1.07
1987.16,-5.08,8.816,-0.92
1987.11,-5.22,8.82,-0.89
1987.05,-5.02,8.825,-0.78
1986.99,-5.02,8.849,-0.78
1986.94,-4.88,8.846,-0.87
1986.88,-4.73,8.875,-0.97
1986.82,-4.7,8.881,-0.95
1986.77,-4.7,8.939,-0.72
1986.71,-4.77,8.949,-1.06
1986.64,-4.69,8.938,-1.12
1986.57,-4.77,8.899,-0.99
1986.5,-4.84,8.907,-1.02
1986.43,-5.01,8.88,-1.23
1986.36,-5.19,8.855,-1.18
1986.29,-5.26,8.832,-1.25
1986.22,-5.23,8.816,-1.07
1986.15,-5.28,8.805,-1.04
1986.09,-5.25,8.805,-0.78
1986.02,-5.2,8.764,-0.93
1985.95,-5.02,8.836,-1.01
1985.88,-4.97,8.836,-1.28
1985.81,-4.99,8.872,-1.25
1985.74,-5,8.903,-1.19
1985.67,-5.01,8.929,-1.12
1985.6,-4.96,8.919,-1.25
1985.53,-4.98,8.936,-1.3
1985.46,-5.04,8.944,-1.35
1985.4,-4.92,8.897,-1.14
1985.34,-5.01,8.882,-0.74
1985.27,-5.05,8.823,-0.83
1985.21,-5.16,8.805,-0.6
1985.15,-5.17,8.807,-0.71
1985.09,-5.17,8.812,-0.84
1985.02,-5.08,8.818,-0.83
1984.96,-4.89,8.84,-1.02
1984.9,-4.86,8.865,-0.68
1984.84,-4.89,8.874,-0.82
1984.77,-4.89,8.846,-0.83
1984.71,-5,8.839,-1.04
1984.65,-5.09,8.873,-1.25
1984.59,-5.17,8.917,-1.32
1984.52,-5.16,8.875,-0.97
1984.46,-5.23,8.882,-1.03
1984.4,-5.24,8.872,-1.11
1984.34,-5.25,8.851,-1.02
1984.27,-5.24,8.802,-0.95
1984.21,-5.17,8.791,-1.01
1984.14,-5.01,8.806,-1.04
1984.06,-5.01,8.843,-0.83
1983.99,-5.08,8.857,-0.85
1983.91,-5.04,8.864,-1
1983.84,-4.71,8.867,-0.73
1983.77,-4.55,8.882,-0.87
1983.69,-4.4,8.905,-0.87
1983.62,-4.33,8.989,-0.84
1983.57,-4.27,8.963,-0.96
1983.52,-4.41,8.915,-1.06
1983.47,-4.6,8.944,-1.06
1983.42,-4.68,8.933,-1.09
1983.37,-4.8,8.875,-0.78
1983.32,-4.9,8.872,-0.45
1983.26,-4.99,8.834,-0.56
1983.21,-5.03,8.881,-0.69
1983.16,-5.08,8.86,-0.68
1983.11,-5.06,8.901,-0.84
1983.06,-4.84,8.889,-1.03
1983.01,-4.77,8.876,-1.41
1983,-4.88,8.863,-1.15
1982.96,-4.82,8.931,-0.84
1982.95,-4.79,8.889,-0.84
1982.87,-4.78,8.954,-0.99
1982.86,-4.78,8.88,-1.13
1982.79,-4.78,9.029,-1.08
1982.76,-4.77,8.951,-0.99
1982.7,-4.77,9.03,-0.98
1982.67,-4.83,9,-1.2
1982.62,-4.88,8.993,-1.31
1982.57,-4.74,8.979,-1.26
1982.54,-4.98,9.021,-1.2
1982.47,-5.07,9.01,-1.27
1982.46,-5.12,8.946,-1.18
1982.42,-5.18,8.93,-1.03
1982.41,-5.23,8.911,-1.07
1982.37,-5.27,8.913,-1.11
1982.36,-5.28,8.94,-1.07
1982.33,-5.24,8.911,-1.19
1982.31,-5.24,8.954,-1.19
1982.29,-5.3,8.855,-1.01
1982.26,-5.28,8.875,-0.92
1982.24,-5.25,8.875,-0.84
1982.2,-5.23,8.892,-0.8
1982.19,-5.22,8.877,-0.81
1982.14,-5.19,8.88,-0.75
1982.12,-5.21,8.909,-0.78
1982.09,-5.16,8.874,-1.03
1982.08,-5.05,8.889,-1.21
1982.04,-4.91,8.872,-1.06
1982.02,-4.88,8.892,-1.01
1981.99,-4.88,8.897,-0.98
1981.96,-4.8,8.851,-0.81
1981.93,-4.63,8.951,-0.73
1981.82,-4.61,8.981,-0.95
1981.72,-4.62,8.995,-1.01
1981.62,-4.96,9.015,-1.16
1981.54,-4.94,8.983,-1.07
1981.47,-5.09,8.922,-0.92
1981.39,-5.21,8.922,-0.84
1981.32,-5.23,8.857,-0.64
1981.24,-5.25,8.863,-0.39
1981.16,-5.22,8.831,-0.59
1981.09,-5.1,8.826,-0.79
1981.01,-4.93,8.857,-0.72
1980.94,-4.7,8.855,-0.95
1980.86,-4.63,8.902,-1.14
1980.79,-4.54,8.915,-0.96
1980.71,-4.44,8.989,-0.98
1980.66,-4.56,8.991,-0.98
1980.62,-4.58,8.99,-1.06
1980.57,-4.59,8.942,-1.19
1980.51,-4.63,8.908,-1.23
1980.46,-4.66,8.869,-1.13
1980.41,-4.68,8.884,-1.06
1980.36,-4.81,8.872,-0.91
1980.3,-5,8.854,-0.75
1980.25,-5,8.84,-0.79
1980.2,-4.99,8.856,-0.51
1980.15,-5.21,8.859,-0.57
1980.09,-5.12,8.842,-0.66
1980.04,-5.07,8.79,-0.57
1979.88,-4.73,8.869,-0.83
1979.71,-4.63,8.94,-0.77
1979.63,-4.53,8.929,-0.93
1979.54,-4.71,8.957,-1.16
1979.5,-4.8,8.943,-1.15
1979.47,-4.85,8.876,-1.14
1979.43,-4.91,8.909,-1.17
1979.39,-4.96,8.899,-0.96
1979.36,-5.02,8.894,-0.68
1979.32,-5.04,8.854,-0.61
1979.28,-5.06,8.866,-0.62
1979.25,-5.09,8.854,-0.58
1979.21,-5.15,8.816,-0.59
1979.11,-5.01,8.819,-0.54
1979.01,-4.82,8.884,-0.85
1978.91,-4.66,8.922,-1
1978.81,-4.54,8.941,-0.93
1978.71,-4.48,8.991,-0.95
1978.66,-4.48,8.949,-1.04
1978.61,-4.5,8.953,-1.1
1978.56,-4.55,8.918,-1.14
1978.51,-4.58,8.894,-1.14
1978.46,-4.55,8.878,-1.04
1978.42,-4.52,8.874,-0.95
1978.37,-4.62,8.887,-0.96
1978.32,-4.75,8.884,-1
1978.27,-4.83,8.892,-0.94
1978.22,-4.89,8.883,-0.83
1978.17,-4.94,8.838,-0.65
1978.12,-5.04,8.82,-0.8
1978.04,-4.81,8.853,-0.93
1977.96,-4.57,8.912,-0.9
1977.87,-4.62,8.895,-0.98
1977.79,-4.64,8.956,-0.94
1977.71,-4.65,8.985,-1.04
1977.58,-4.66,8.967,-1.12
1977.46,-4.66,8.905,-1.11
1977.34,-4.86,8.864,-1.21
1977.21,-5.01,8.9,-0.86
1977.08,-5.08,8.858,-0.87
1976.96,-4.92,8.89,-0.85
1976.83,-4.78,8.866,-0.97
1976.71,-4.78,8.91,-1.1
1976.59,-4.73,8.877,-1.37
1976.47,-4.9,8.863,-1.51
1976.36,-5.16,8.839,-1.2
1976.24,-5.24,8.819,-0.63
1976.12,-5.13,8.802,-0.45
1975.93,-4.99,8.855,-0.81
1975.73,-4.79,8.94,-0.75
1975.54,-4.76,8.934,-0.87
1975.51,-4.81,8.929,-0.85
1975.48,-4.85,8.936,-0.83
1975.45,-4.87,8.902,-0.9
1975.42,-4.89,8.874,-1.01
1975.39,-4.91,8.844,-1.12
1975.36,-4.94,8.821,-1.04
1975.33,-5.01,8.806,-0.66
1975.3,-5.11,8.804,-0.69
1975.27,-5.14,8.804,-0.7
1975.24,-5.15,8.815,-0.68
1975.21,-5.18,8.774,-0.59
1975.13,-5.16,8.809,-0.45
1975.04,-5.2,8.823,-0.9
1974.96,-5.04,8.821,-1.08
1974.88,-4.91,8.88,-0.97
1974.79,-4.85,8.885,-0.82
1974.71,-4.87,8.888,-0.85
1974.57,-5.02,8.892,-1
1974.43,-5.09,8.835,-1
1974.29,-5.11,8.805,-0.78
1974.24,-5.2,8.816,-0.72
1974.2,-5.14,8.817,-0.79
1974.15,-5.09,8.812,-0.85
1974.1,-5.11,8.815,-0.81
1974.06,-5.03,8.796,-0.62
1974.01,-4.83,8.817,-0.43
1973.96,-4.76,8.849,-0.52
1973.92,-4.78,8.834,-0.74
1973.87,-4.72,8.821,-0.88
1973.75,-4.63,8.873,-0.79
1973.62,-4.66,8.934,-0.85
1973.56,-4.67,8.926,-0.88
1973.51,-4.71,8.918,-0.9
1973.45,-4.73,8.88,-0.92
1973.4,-4.75,8.884,-0.91
1973.34,-4.81,8.866,-0.74
1973.29,-4.86,8.857,-0.73
1973.23,-4.88,8.843,-0.81
1973.18,-4.87,8.804,-0.92
1973.12,-4.88,8.795,-0.69
1973.04,-4.86,8.827,-0.43
1972.96,-4.76,8.88,-0.59
1972.87,-4.7,8.912,-0.91
1972.79,-4.45,8.944,-0.84
1972.71,-4.41,8.989,-0.83
1972.65,-4.43,8.95,-1.22
1972.59,-4.5,8.984,-1.09
1972.52,-4.54,8.98,-1.37
1972.46,-4.72,8.954,-1.2
1972.4,-4.94,8.957,-1.03
1972.34,-5.08,8.922,-1.13
1972.28,-4.99,8.867,-0.98
1972.22,-4.9,8.82,-0.71
1972.15,-4.96,8.845,-0.79
1972.09,-4.97,8.906,-0.95
1972.03,-4.86,8.873,-1.22
1971.97,-4.85,8.888,-1.2
1971.91,-4.84,8.897,-1.15
1971.84,-4.86,8.846,-1.14
1971.78,-4.89,8.837,-1.17
1971.72,-4.93,8.867,-1.21
1971.66,-4.9,8.854,-1.16
1971.6,-4.83,8.864,-1.07
1971.53,-4.79,8.879,-1.03
1971.47,-4.85,8.902,-1.24
1971.41,-5,8.892,-1.45
1971.35,-5.02,8.845,-1.35
1971.29,-5.07,8.781,-1.19
1971.23,-5.07,8.85,-1.08
1971.16,-5,8.837,-0.96
1971.1,-5.03,8.836,-0.9
1971.04,-5.12,8.82,-0.92
1971,-5.08,8.839,-0.81
1970.97,-5.15,8.877,-0.96
1970.93,-5.19,8.904,-0.95
1970.89,-5.15,8.866,-0.98
1970.86,-5.05,8.89,-1.15
1970.82,-4.92,8.895,-1.1
1970.78,-4.81,8.895,-0.88
1970.75,-4.71,8.899,-0.79
1970.71,-4.65,8.952,-0.89
1970.65,-4.66,8.956,-1.08
1970.6,-4.67,8.95,-1.05
1970.54,-4.71,8.959,-0.99
1970.48,-4.76,8.869,-0.91
1970.41,-4.8,8.87,-0.9
1970.35,-4.84,8.857,-0.94
1970.28,-4.9,8.846,-0.85
1970.22,-5,8.771,-0.45
1970.15,-5.11,8.817,-0.46
1970.09,-5.05,8.802,-0.65
1970.02,-4.81,8.809,-0.78
1969.96,-4.75,8.824,-0.87
1969.85,-4.65,8.862,-0.7
1969.73,-4.62,8.892,-0.76
1969.62,-4.55,8.932,-1.13
1969.57,-4.51,8.917,-1.21
1969.51,-4.48,8.897,-1.2
1969.46,-4.46,8.842,-1.01
1969.41,-4.85,8.803,-0.84
1969.36,-4.98,8.81,-0.86
1969.3,-5.05,8.777,-0.85
1969.25,-5.09,8.768,-0.6
1969.2,-5.01,8.8,-0.81
1969.15,-4.82,8.775,-0.87
1969.09,-4.66,8.778,-0.92
1969.04,-4.69,8.78,-0.96
1968.96,-4.77,8.805,-0.98
1968.87,-4.79,8.844,-0.89
1968.79,-4.68,8.889,-0.82
1968.71,-4.66,8.882,-0.8
1968.63,-4.86,8.86,-0.86
1968.54,-4.94,8.836,-0.93
1968.46,-4.97,8.864,-0.99
1968.4,-4.95,8.845,-0.99
1968.35,-5.06,8.805,-1
1968.29,-5.07,8.81,-0.78
1968.23,-5.12,8.803,-0.69
1968.18,-5.2,8.795,-0.84
1968.12,-5.15,8.8,-0.81
1968.04,-5.14,8.791,-0.82
1967.95,-4.85,8.811,-0.56
1967.87,-4.84,8.824,-0.96
1967.79,-4.83,8.818,-1.12
1967.71,-4.9,8.819,-0.99
1967.62,-4.74,8.856,-0.89
1967.54,-4.91,8.875,-0.92
1967.49,-4.94,8.854,-0.94
1967.45,-4.93,8.841,-0.93
1967.4,-4.89,8.846,-0.9
1967.35,-4.98,8.814,-0.89
1967.3,-5.18,8.806,-0.91
1967.26,-5.13,8.772,-0.88
1967.21,-5.24,8.765,-0.62
1967.09,-5.13,8.809,-0.63
1966.97,-4.94,8.798,-0.71
1966.86,-4.75,8.802,-0.8
1966.74,-4.59,8.848,-0.82
1966.62,-4.5,8.935,-0.78
1966.56,-4.5,8.898,-0.92
1966.5,-4.52,8.884,-1.06
1966.44,-4.57,8.904,-1.06
1966.38,-4.63,8.866,-1.03
1966.32,-4.7,8.84,-0.95
1966.26,-4.83,8.784,-0.91
1966.2,-4.98,8.801,-0.91
1966.14,-4.91,8.77,-0.61
1966.08,-5.01,8.83,-0.5
1966.02,-4.86,8.834,-0.82
1965.96,-4.71,8.845,-1
1965.75,-4.59,8.962,-1.09
1965.54,-4.64,8.973,-1.4
1965.45,-4.82,8.89,-1.22
1965.37,-5,8.846,-1.02
1965.31,-5.06,8.873,-0.77
1965.24,-5.06,8.801,-0.71
1965.18,-5.12,8.783,-0.62
1965.12,-5.08,8.744,-0.42
1965.06,-5.02,8.748,-0.39
1964.99,-4.96,8.778,-0.71
1964.93,-4.73,8.77,-0.73
1964.87,-4.61,8.742,-0.77
1964.81,-4.6,8.768,-0.92
1964.74,-4.54,8.849,-1.03
1964.68,-4.66,8.877,-1.11
1964.62,-4.87,8.924,-1.02
1964.56,-4.82,8.881,-0.96
1964.49,-4.76,8.866,-0.93
1964.42,-4.92,8.846,-0.96
1964.36,-4.99,8.878,-1.01
1964.3,-4.93,8.853,-0.86
1964.23,-5.01,8.852,-0.86
1964.17,-5.03,8.846,-0.88
1964.1,-4.88,8.84,-0.67
1964.03,-4.79,8.88,-0.92
1963.97,-4.73,8.847,-1.09
1963.9,-4.73,8.879,-0.99
1963.84,-4.72,8.924,-0.84
1963.77,-4.7,8.891,-0.87
1963.71,-4.7,8.968,-0.92
1963.66,-4.76,8.942,-1.01
1963.61,-4.85,8.912,-1.05
1963.55,-4.84,8.932,-0.96
1963.5,-4.88,8.87,-0.89
1963.45,-5.06,8.828,-0.95
1963.39,-5.12,8.818,-0.99
1963.34,-5.13,8.819,-0.96
1963.29,-5.2,8.792,-0.97
1963.19,-5.15,8.796,-0.91
1963.1,-5.12,8.794,-0.9
1963,-4.88,8.817,-0.87
1962.9,-4.89,8.822,-0.8
1962.81,-4.81,8.839,-0.85
1962.71,-4.76,8.905,-1.03
1962.65,-4.83,8.898,-1.09
1962.6,-4.93,8.878,-1.12
1962.54,-5.01,8.908,-1.15
1962.48,-5.03,8.88,-1.28
1962.43,-5.11,8.867,-1.28
1962.37,-5.22,8.783,-1.21
1962.33,-5.24,8.835,-1.15
1962.29,-5.24,8.799,-1.1
1962.25,-5.22,8.806,-1.03
1962.21,-5.2,8.762,-0.88
1962.16,-5.27,8.753,-0.89
1962.12,-5.21,8.781,-1.02
1962.08,-5.14,8.838,-0.89
1962.04,-5.13,8.806,-0.72
1962,-5.02,8.811,-0.78
1961.96,-4.86,8.803,-0.7
1961.88,-4.96,8.857,-0.91
1961.79,-4.56,8.852,-1.17
1961.71,-4.48,8.878,-0.88
1961.63,-4.61,8.851,-0.9
1961.54,-4.74,8.85,-1
1961.46,-4.79,8.816,-1.08
1961.38,-4.83,8.8,-1.11
1961.29,-4.98,8.802,-1.01
1961.21,-5.21,8.774,-0.98
1961.15,-5.18,8.779,-0.81
1961.1,-5.09,8.791,-0.91
1961.04,-4.93,8.798,-0.7
1960.98,-4.86,8.812,-0.67
1960.93,-4.84,8.816,-0.81
1960.87,-4.78,8.79,-0.71
1960.79,-4.74,8.874,-0.7
1960.7,-4.68,8.888,-0.66
1960.62,-4.62,8.895,-0.57
1960.52,-4.72,8.832,-0.57
1960.42,-4.96,8.861,-0.82
1960.32,-5.06,8.849,-0.91
1960.22,-5.14,8.758,-0.81
1960.12,-5.15,8.747,-0.78
1960.07,-5,8.769,-0.59
1960.02,-4.94,8.776,-0.54
1959.97,-4.97,8.796,-0.67
1959.92,-4.97,8.781,-0.84
1959.87,-4.94,8.78,-1.01
1959.82,-4.88,8.792,-1.15
1959.77,-4.8,8.79,-1.19
1959.72,-4.73,8.815,-1.11
1959.67,-4.71,8.828,-1.01
1959.62,-4.7,8.85,-0.94
1959.54,-4.61,8.835,-1.1
1959.46,-4.52,8.831,-1.22
1959.37,-4.74,8.828,-1.17
1959.29,-4.95,8.803,-0.97
1959.21,-4.97,8.77,-0.83
1959.15,-4.95,8.771,-0.64
1959.09,-4.95,8.792,-0.54
1959.02,-4.92,8.811,-0.69
1958.96,-4.75,8.826,-0.52
1958.9,-4.68,8.81,-0.45
1958.84,-4.57,8.825,-0.57
1958.77,-4.44,8.812,-0.59
1958.71,-4.23,8.859,-0.51
1958.65,-4.15,8.861,-0.5
1958.6,-4.3,8.856,-0.53
1958.54,-4.42,8.863,-0.61
1958.46,-4.5,8.822,-0.68
1958.38,-4.66,8.823,-0.6
1958.29,-4.72,8.789,-0.39
1958.21,-4.73,8.739,-0.4
1958.16,-4.7,8.769,-0.39
1958.12,-4.74,8.774,-0.42
1958.08,-4.77,8.759,-0.46
1958.04,-4.75,8.821,-0.47
1957.99,-4.74,8.839,-0.42
1957.95,-4.69,8.856,-0.57
1957.91,-4.69,8.881,-0.85
1957.87,-4.72,8.867,-1.14
1957.82,-4.67,8.859,-1.19
1957.78,-4.49,8.92,-1.03
1957.74,-4.47,8.93,-0.98
1957.66,-4.44,8.874,-0.92
1957.58,-4.49,8.828,-1.05
1957.5,-4.67,8.796,-1.18
1957.42,-4.87,8.771,-1.11
1957.34,-5.01,8.781,-0.78
1957.26,-5.05,8.749,-0.7
1957.2,-5.2,8.757,-0.7
1957.13,-5.11,8.753,-0.73
1957.08,-4.95,8.757,-0.79
1957.01,-4.65,8.764,-1.1
1956.94,-4.71,8.774,-1.21
1956.87,-4.74,8.854,-1.01
1956.78,-4.73,8.872,-0.87
1956.71,-4.69,8.91,-0.93
1956.63,-4.79,8.907,-1.1
1956.45,-4.92,8.869,-1.01
1956.37,-5.08,8.802,-0.94
1956.32,-5.1,8.812,-0.85
1956.28,-5.14,8.844,-0.91
1956.23,-5.18,8.857,-0.96
1956.18,-5.2,8.836,-0.92
1956.13,-5.19,8.816,-0.88
1956.09,-5.16,8.81,-0.94
1956.04,-5.11,8.804,-0.94
1955.91,-4.9,8.838,-0.98
1955.78,-4.75,8.901,-0.92
1955.71,-4.78,8.897,-0.81
1955.65,-4.83,8.878,-1.01
1955.58,-4.83,8.885,-1.12
1955.52,-4.8,8.886,-1.1
1955.45,-4.79,8.833,-1.1
1955.38,-4.91,8.773,-1.12
1955.31,-5.03,8.796,-1.01
1955.25,-5.03,8.798,-0.96
1955.18,-5.06,8.782,-0.94
1955.13,-5.05,8.785,-0.89
1955.09,-5.04,8.79,-0.79
1955.04,-5.02,8.796,-0.62
1954.99,-5.02,8.861,-0.53
1954.94,-5.07,8.87,-0.56
1954.9,-5.06,8.894,-0.61
1954.84,-4.88,8.912,-0.75
1954.59,-4.79,8.916,-0.84
1954.51,-4.82,8.86,-1.17
1954.44,-4.82,8.885,-1
1954.36,-4.79,8.842,-0.66
1954.27,-4.91,8.834,-0.45
1954.2,-4.89,8.83,-0.5
1954.12,-4.87,8.791,-0.85
1954.04,-4.82,8.825,-0.98
1953.97,-4.79,8.828,-1.01
1953.89,-4.79,8.809,-0.81
1953.81,-4.76,8.869,-0.79
1953.73,-4.68,8.917,-0.96
1953.65,-4.68,8.933,-0.97
1953.57,-4.75,8.893,-0.97
1953.49,-4.88,8.889,-1.06
1953.42,-4.94,8.845,-1.02
1953.34,-4.97,8.819,-1.02
1953.26,-5.08,8.829,-1.04
1953.18,-5.15,8.808,-0.76
1953.1,-5.04,8.816,-0.59
1953.02,-4.96,8.829,-0.47
1952.95,-4.92,8.786,-0.68
1952.87,-4.85,8.868,-0.67
1952.79,-4.74,8.909,-0.6
1952.72,-4.82,8.908,-0.64
1952.63,-4.75,8.944,-0.82
1952.56,-4.85,8.915,-0.82
1952.49,-4.89,8.901,-0.72
1952.42,-4.9,8.904,-0.63
1952.36,-4.9,8.923,-0.55
1952.29,-4.92,8.854,-0.5
1952.22,-4.96,8.822,-0.48
1952.04,-5,8.822,-0.39
1951.96,-4.87,8.892,-0.62
1951.88,-4.69,8.873,-0.75
1951.79,-4.57,8.936,-0.61
1951.71,-4.58,8.982,-0.56
1951.66,-4.62,8.983,-0.71
1951.59,-4.72,8.963,-1.03
1951.54,-4.82,8.942,-1.06
1951.49,-4.9,8.932,-0.99
1951.43,-4.99,8.932,-1.03
1951.37,-5.09,8.94,-1.15
1951.32,-5.13,8.919,-0.91
1951.26,-5.17,8.846,-0.81
1951.21,-5.11,8.833,-0.93
1951.16,-5.06,8.84,-0.98
1951.09,-5.13,8.823,-0.79
1951.04,-5.19,8.843,-0.67
1950.99,-5.06,8.852,-0.81
1950.93,-5.05,8.831,-1.03
1950.87,-5.02,8.851,-1.05
1950.82,-4.9,8.936,-0.85
1950.76,-4.76,8.919,-0.72
1950.71,-4.79,8.954,-0.93
1950.64,-4.89,8.934,-0.83
1950.56,-4.94,8.922,-0.86
1950.49,-4.95,8.919,-0.94
1950.42,-5,8.877,-1.14
1950.34,-5.09,8.83,-1.25
1950.27,-5.09,8.829,-1.06
1950.21,-5.1,8.862,-0.87
1950.13,-5.15,8.837,-0.72
1950.06,-5.1,8.766,-0.61
1949.99,-5.17,8.886,-0.68
1949.91,-5.08,8.871,-0.72
1949.84,-4.79,8.873,-0.75
1949.77,-4.75,8.895,-0.74
1949.69,-4.79,8.903,-0.73
1949.62,-4.78,8.957,-0.72
1949.57,-4.79,8.937,-0.73
1949.5,-4.81,8.874,-0.75
1949.44,-4.87,8.882,-0.84
1949.38,-4.99,8.817,-1.06
1949.32,-5.06,8.841,-1.16
1949.25,-5.12,8.829,-1.14
1949.19,-5.13,8.81,-1.17
1949.13,-5.18,8.812,-1.07
1949.07,-5.15,8.819,-0.82
1949.01,-5.01,8.819,-0.72
1948.94,-4.96,8.853,-0.8
1948.88,-4.83,8.825,-0.98
1948.83,-4.78,8.838,-1
1948.77,-4.77,8.944,-1.03
1948.7,-4.69,8.956,-1.08
1948.64,-4.53,8.965,-1.05
1948.57,-4.52,8.885,-1.04
1948.5,-4.57,8.866,-1.04
1948.43,-4.6,8.862,-1.03
1948.36,-4.76,8.844,-0.96
1948.29,-4.95,8.785,-0.86
1948.22,-4.94,8.804,-0.84
1948.15,-5.05,8.861,-0.77
1948.09,-4.84,8.853,-1.01
1948.03,-4.68,8.82,-1.09
1947.96,-4.65,8.856,-0.79
1947.89,-4.54,8.812,-0.72
1947.82,-4.42,8.83,-0.79
1947.75,-4.46,8.886,-0.82
1947.68,-4.46,8.939,-0.95
1947.61,-4.53,8.929,-1.1
1947.54,-4.86,8.936,-1.25
1947.43,-5.04,8.798,-1.31
1947.38,-5.03,8.802,-0.88
1947.33,-4.99,8.803,-0.76
1947.27,-5,8.796,-0.74
1947.22,-5.02,8.794,-0.54
1947.17,-4.98,8.809,-0.29
1947.12,-4.9,8.798,-0.72
1947.07,-4.82,8.818,-0.57
1947.01,-4.74,8.841,-0.37
1946.96,-4.67,8.831,-0.47
1946.83,-4.58,8.9,-0.59
1946.71,-4.53,8.937,-0.6
1946.62,-4.52,8.933,-0.66
1946.51,-4.67,8.844,-0.73
1946.42,-4.88,8.839,-0.63
1946.31,-5.14,8.799,-0.69
1946.21,-5.19,8.777,-0.72
1946.16,-5.2,8.777,-0.62
1946.1,-5.1,8.794,-0.54
1946.04,-4.94,8.766,-0.51
1945.98,-4.78,8.779,-0.62
1945.92,-4.66,8.811,-0.81
1945.86,-4.68,8.823,-1
1945.79,-4.73,8.852,-1.04
1945.74,-4.79,8.846,-0.95
1945.67,-4.72,8.904,-0.84
1945.62,-4.65,8.913,-0.8
1945.48,-4.71,8.889,-0.94
1945.35,-4.94,8.802,-0.77
1945.21,-5.14,8.757,-0.91
1945.15,-5.14,8.773,-0.8
1945.09,-5.08,8.797,-0.68
1945.02,-4.99,8.812,-0.68
1944.96,-4.85,8.782,-0.83
1944.89,-4.73,8.829,-0.88
1944.84,-4.73,8.857,-1.06
1944.78,-4.71,8.876,-0.98
1944.71,-4.59,8.956,-0.95
1944.65,-4.65,8.912,-1.05
1944.59,-4.83,8.906,-1.2
1944.54,-4.97,8.862,-1.14
1944.48,-5.07,8.876,-1.05
1944.42,-5.18,8.878,-1.04
1944.36,-5.23,8.832,-1.04
1944.3,-5.18,8.799,-0.92
1944.25,-5.11,8.83,-0.81
1944.19,-5.08,8.809,-0.93
1944.13,-5.17,8.799,-0.95
1944.08,-5.21,8.829,-0.77
1944.01,-5.1,8.82,-0.79
1943.96,-4.95,8.824,-0.85
1943.9,-4.96,8.843,-0.92
1943.83,-5.06,8.867,-0.83
1943.77,-4.74,8.881,-0.89
1943.7,-4.69,8.901,-0.91
1943.64,-4.8,8.903,-0.94
1943.57,-4.86,8.895,-1.13
1943.5,-4.95,8.832,-1.1
1943.43,-4.98,8.801,-1.01
1943.35,-5,8.803,-0.91
1943.29,-5.05,8.835,-1.03
1943.22,-4.94,8.788,-0.92
1943.08,-4.91,8.798,-0.74
