year (AD),depth (m),d18O (permil)
1793,41.57,-37.5
1792,41.73,-38.5
1791,41.89,-37.7
1790,42.06,-37.8
1789,42.22,-38.5
1788,42.38,-38.1
1787,42.54,-38.1
1786,42.7,-37.2
1785,42.86,-37.3
1784,43.03,-37.4
1783,43.19,-38
1782,43.34,-37.7
1781,43.5,-37
1780,43.65,-36.6
1779,43.81,-36.8
1778,43.96,-38.2
1777,44.12,-38
1776,44.27,-36
1775,44.43,-35.1
1774,44.58,-35.1
1773,44.74,-34.6
1772,44.89,-34.5
1771,45.05,-36.3
1770,45.2,-36.8
1769,45.36,-36.2
1768,45.51,-36.3
1767,45.66,-36.9
1766,45.82,-37.5
1765,45.97,-37.9
1764,46.12,-37.3
1763,46.28,-36.5
1762,46.43,-36.6
1761,46.58,-37.5
1760,46.74,-37.3
1759,46.89,-37.6
1758,47.04,-38.4
1757,47.19,-37.1
1756,47.34,-36
1755,47.5,-35.8
1754,47.65,-37.7
1753,47.8,-38.6
1752,47.95,-37.9
1751,48.1,-36.8
1750,48.25,-36.8
1749,48.41,-37.3
1748,48.56,-37
1747,48.71,-36.8
1746,48.86,-37.1
1745,49.01,-37.7
1744,49.16,-37.7
1743,49.31,-37.1
1742,49.46,-37
1741,49.61,-37.9
1740,49.76,-37.9
1739,49.91,-37.7
1738,50.06,-38
1737,50.21,-38.5
1736,50.36,-38.2
1735,50.51,-37.4
1734,50.66,-37.3
1733,50.81,-37.6
1732,50.96,-37.4
1731,51.1,-37.6
1730,51.25,-38.4
1729,51.4,-38.1
1728,51.55,-37.2
1727,51.7,-37.3
1726,51.85,-37.4
1725,52,-37.3
1724,52.14,-38.2
1723,52.29,-38.5
1722,52.44,-38.4
1721,52.59,-38.1
1720,52.74,-38.8
1719,52.88,-39.3
1718,53.03,-38.6
1717,53.18,-38.4
1716,53.32,-38.5
1715,53.47,-38.1
1714,53.62,-37.4
1713,53.77,-36.5
1712,53.91,-37
1711,54.06,-36.7
1710,54.21,-36.5
1709,54.35,-35.7
1708,54.5,-36.1
1707,54.65,-36.9
1706,54.79,-36.9
1705,54.94,-36.9
1704,55.08,-37.4
1703,55.23,-36.7
1702,55.38,-35.4
1701,55.52,-35.7
1700,55.67,-35.7
1699,55.81,-36.3
1698,55.96,-37
1697,56.1,-37.9
1696,56.25,-39.2
1695,56.39,-38.9
1694,56.54,-38.9
1693,56.68,-38.1
1692,56.82,-38
1691,56.97,-37.7
1690,57.11,-37.8
1689,57.25,-38.4
1688,57.39,-37.9
1687,57.53,-36.7
1686,57.67,-36
1685,57.81,-36.5
1684,57.95,-37.7
1683,58.1,-37.8
1682,58.24,-37.2
1681,58.38,-37.6
1680,58.52,-38.1
1679,58.66,-38.1
1678,58.8,-38.8
1677,58.94,-39.2
1676,59.08,-38.8
1675,59.22,-38.3
1674,59.36,-38.4
1673,59.5,-38.8
1672,59.64,-38.9
1671,59.78,-39.1
1670,59.92,-38.8
1669,60.06,-38.1
1668,60.2,-37.5
1667,60.34,-37.8
1666,60.48,-38.6
1665,60.62,-39.2
1664,60.76,-37.2
1663,60.9,-35.4
1662,61.04,-35.4
1661,61.18,-36.3
1660,61.32,-37.2
1659,61.46,-37.5
1658,61.6,-37.4
1657,61.73,-36.5
1656,61.87,-36.1
1655,62.01,-36.5
1654,62.15,-37.5
1653,62.29,-37.9
1652,62.43,-37.8
1651,62.57,-38.2
1650,62.71,-39
1649,62.84,-39.1
1648,62.98,-38.6
1647,63.12,-37.9
1646,63.26,-38.3
1645,63.4,-37.8
1644,63.54,-37.2
1643,63.67,-37.8
1642,63.81,-37.5
1641,63.95,-36.9
1640,64.09,-37
1639,64.23,-37.7
1638,64.36,-39
1637,64.5,-39.8
1636,64.64,-38.8
1635,64.78,-37.6
1634,64.91,-37.7
1633,65.05,-38
1632,65.19,-38.2
1631,65.33,-38.2
1630,65.46,-38.1
1629,65.6,-36.3
1628,65.74,-35.7
1627,65.88,-36.2
1626,66.01,-36.1
1625,66.15,-37.4
1624,66.29,-38.2
1623,66.42,-37.8
1622,66.56,-36.9
1621,66.7,-35.3
1620,66.83,-35.4
1619,66.97,-36
1618,67.11,-35.6
1617,67.24,-36
1616,67.38,-36.7
1615,67.52,-36.3
1614,67.65,-35.6
1613,67.79,-35.6
1612,67.92,-36.6
1611,68.06,-38.1
1610,68.2,-38.7
1609,68.33,-38.6
1608,68.47,-38.4
1607,68.61,-37.9
1606,68.74,-37.7
1605,68.88,-37.6
1604,69.01,-37.1
1603,69.15,-38.2
1602,69.28,-38.7
1601,69.42,-37.6
1600,69.56,-36.9
1599,69.69,-36.7
1598,69.83,-37.4
1597,69.97,-38.7
1596,70.1,-38.9
1595,70.24,-38.5
1594,70.38,-37.1
1593,70.51,-35.4
1592,70.65,-35.2
1591,70.78,-36.7
1590,70.92,-38.2
1589,71.06,-37.8
1588,71.19,-37.9
1587,71.33,-38.5
1586,71.46,-38.2
1585,71.6,-37.2
1584,71.73,-35.5
1583,71.87,-34.6
1582,72.01,-34.6
1581,72.14,-35.7
1580,72.28,-36.9
1579,72.41,-37.4
1578,72.55,-38
1577,72.68,-37.7
1576,72.82,-37.1
1575,72.95,-36.7
1574,73.09,-36.1
1573,73.23,-36.3
1572,73.36,-36.7
1571,73.5,-35.7
1570,73.63,-35.6
1569,73.77,-36.9
1568,73.9,-37.5
1567,74.04,-37.2
1566,74.17,-37.7
1565,74.31,-38.7
1564,74.44,-38.7
1563,74.58,-38.7
1562,74.71,-38.6
1561,74.84,-37.4
1560,74.98,-35.6
1559,75.11,-35.6
1558,75.25,-36.2
1557,75.38,-36.1
1556,75.52,-36.9
1555,75.65,-38
1554,75.79,-37.8
1553,75.92,-37.4
1552,76.06,-37
1551,76.19,-37.2
1550,76.32,-37.3
1549,76.46,-37.7
1548,76.59,-37.1
1547,76.73,-36.2
1546,76.86,-36.3
1545,76.99,-37.3
1544,77.13,-37.8
1543,77.26,-37.7
1542,77.4,-37.2
1541,77.53,-36.4
1540,77.66,-36.2
1539,77.8,-36.6
1538,77.93,-38.2
1537,78.07,-39
1536,78.2,-37.8
1535,78.33,-37.1
1534,78.47,-37.6
1533,78.6,-38
1532,78.73,-37.2
1531,78.87,-36.3
1530,79,-37
1529,79.13,-37.2
1528,79.27,-36.7
1527,79.4,-36
1526,79.53,-36
1525,79.67,-36.2
1524,79.8,-36.3
1523,79.93,-36.1
1522,80.07,-36.6
1521,80.2,-36.7
1520,80.33,-36.4
1519,80.47,-37.1
1518,80.6,-37.7
1517,80.73,-38.1
1516,80.87,-37
1515,81,-36.4
1514,81.13,-36.6
1513,81.26,-36.6
1512,81.4,-37.1
1511,81.53,-37.2
1510,81.66,-36.3
1509,81.8,-35.7
1508,81.93,-35.8
1507,82.06,-36
1506,82.19,-36.1
1505,82.33,-36.7
1504,82.46,-36.8
1503,82.59,-36
1502,82.72,-35.5
1501,82.86,-35.9
1500,82.99,-36.8
1499,83.12,-37.1
1498,83.25,-35.9
1497,83.39,-35.7
1496,83.52,-35.7
1495,83.65,-34.6
1494,83.78,-34.1
1493,83.92,-34.4
1492,84.05,-35.6
1491,84.18,-36.7
1490,84.31,-36.3
1489,84.44,-36.4
1488,84.58,-36.2
1487,84.71,-36.2
1486,84.84,-36.4
1485,84.97,-36.2
1484,85.1,-36
1483,85.24,-35.7
1482,85.37,-36
1481,85.5,-36.2
1480,85.63,-36.3
1479,85.76,-36.2
1478,85.9,-35.6
1477,86.03,-35.5
1476,86.16,-36.4
1475,86.29,-37.2
1474,86.42,-37.6
1473,86.55,-37.5
1472,86.69,-38
1471,86.82,-38.1
1470,86.95,-37
1469,87.08,-36.8
1468,87.21,-36.8
1467,87.34,-37.2
1466,87.48,-37.9
1465,87.61,-38.1
1464,87.74,-37.9
1463,87.87,-37.4
1462,88,-36.9
1461,88.13,-37.2
1460,88.26,-38
1459,88.4,-38
1458,88.53,-36.9
1457,88.66,-36.2
1456,88.79,-36.1
1455,88.92,-35.9
1454,89.05,-35.6
1453,89.18,-36.2
1452,89.31,-35.8
1451,89.44,-34.8
1450,89.58,-36.2
1449,89.71,-37.5
1448,89.84,-37.7
1447,89.97,-37.7
1446,90.1,-37.5
1445,90.23,-37.1
1444,90.36,-37.1
1443,90.49,-37.4
1442,90.62,-36.4
1441,90.75,-35.9
1440,90.89,-36.1
1439,91.02,-36.4
1438,91.15,-36.1
1437,91.28,-35.7
1436,91.41,-36.5
1435,91.54,-37.1
1434,91.67,-36.7
1433,91.8,-36.7
1432,91.93,-38.4
1431,92.06,-38.4
1430,92.19,-37.3
1429,92.32,-37.1
1428,92.45,-37.2
1427,92.58,-36.8
1426,92.71,-36.4
1425,92.84,-36.2
1424,92.97,-36.3
1423,93.11,-36.3
1422,93.24,-36.1
1421,93.37,-36.4
1420,93.5,-37.2
1419,93.63,-37.9
1418,93.76,-37.6
1417,93.89,-36.7
1416,94.02,-35.5
1415,94.15,-35.3
1414,94.28,-35.5
1413,94.41,-35.3
1412,94.54,-35.7
1411,94.67,-35.8
1410,94.8,-36.5
1409,94.93,-36.3
1408,95.06,-35.3
1407,95.19,-34.6
1406,95.32,-35.1
1405,95.45,-35.6
1404,95.58,-36.4
1403,95.71,-37.2
1402,95.84,-37.4
1401,95.97,-36.6
1400,96.1,-36.7
1399,96.23,-37.6
1398,96.36,-38.2
1397,96.49,-38.4
1396,96.62,-38.1
1395,96.75,-36.7
1394,96.88,-36.2
1393,97.01,-36.2
1392,97.14,-36.9
1391,97.27,-37.5
1390,97.4,-38.1
1389,97.53,-39.5
1388,97.66,-39.8
1387,97.79,-38.9
1386,97.92,-37.7
1385,98.05,-38
1384,98.18,-38
1383,98.31,-37.2
1382,98.43,-36.8
1381,98.56,-37.6
1380,98.69,-38.4
1379,98.82,-38.2
1378,98.95,-37.8
1377,99.08,-37.2
1376,99.21,-36.4
1375,99.34,-36.4
1374,99.47,-36.8
1373,99.6,-37.5
1372,99.73,-38
1371,99.86,-37.5
1370,99.99,-37.6
1369,100.12,-36.7
1368,100.25,-35
1367,100.38,-34.6
1366,100.51,-35.3
1365,100.63,-36.9
1364,100.76,-38.1
1363,100.89,-37.8
