year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1],temperature (degC) [2-1],year (AD) [3-1],temperature (degC) [3-1]
927.39,223,1.16,157.5,NA,14.35,207.5,14.26
911.3,228,1.31,132.5,NA,14.15,182.5,14.35
895.22,233,1.14,107.5,NA,13.99,157.5,14.35
879.13,238,1.15,82.5,NA,14.06,132.5,14.15
863.04,243,1.15,57.5,NA,14.11,107.5,13.99
846.96,248,0.9,32.5,NA,14.3,82.5,14.06
830.87,253,1.03,7.5,NA,14.26,57.5,14.11
814.78,258,1.06,-17.5,NA,14.24,32.5,14.3
798.7,263,1.28,-42.5,NA,14.43,7.5,14.26
782.61,268,1.2,-67.5,NA,14.4,-17.5,14.24
766.52,273,0.87,-92.5,NA,14.56,-42.5,14.43
750.43,278,1.14,-117.5,NA,14.2,-67.5,14.4
734.35,283,1.17,-142.5,NA,14.34,-92.5,14.56
718.26,288,1.06,-167.5,NA,14.28,-117.5,14.2
702.17,293,1.17,NA,NA,NA,-142.5,14.34
686.09,298,1.29,NA,NA,NA,-167.5,14.28
670,303,1.24,NA,NA,NA,NA,NA
653.33,308,1.29,NA,NA,NA,NA,NA
636.67,313,1.2,NA,NA,NA,NA,NA
620,318,1.45,NA,NA,NA,NA,NA
603.33,323,1.09,NA,NA,NA,NA,NA
586.67,328,1.21,NA,NA,NA,NA,NA
570,333,1.27,NA,NA,NA,NA,NA
553.33,338,1.22,NA,NA,NA,NA,NA
536.67,343,1.3,NA,NA,NA,NA,NA
520,348,1.17,NA,NA,NA,NA,NA
503.33,353,1.21,NA,NA,NA,NA,NA
486.67,358,1.09,NA,NA,NA,NA,NA
470,363,1.23,NA,NA,NA,NA,NA
453.33,368,1.2,NA,NA,NA,NA,NA
436.67,373,1.31,NA,NA,NA,NA,NA
420,378,1.18,NA,NA,NA,NA,NA
403.33,383,1.4,NA,NA,NA,NA,NA
386.67,388,1.18,NA,NA,NA,NA,NA
370,393,1.23,NA,NA,NA,NA,NA
353.33,398,1.29,NA,NA,NA,NA,NA
336.67,403,1.08,NA,NA,NA,NA,NA
320,408,1.22,NA,NA,NA,NA,NA
307.5,413,1.13,NA,NA,NA,NA,NA
295,418,1.25,NA,NA,NA,NA,NA
282.5,423,1.14,NA,NA,NA,NA,NA
270,428,1.25,NA,NA,NA,NA,NA
257.5,433,1.2,NA,NA,NA,NA,NA
245,438,1.28,NA,NA,NA,NA,NA
232.5,443,1.26,NA,NA,NA,NA,NA
220,448,1.26,NA,NA,NA,NA,NA
207.5,453,1.12,NA,NA,NA,NA,NA
195,458,1.28,NA,NA,NA,NA,NA
182.5,463,1.3,NA,NA,NA,NA,NA
170,468,1.12,NA,NA,NA,NA,NA
157.5,473,1.36,NA,NA,NA,NA,NA
145,478,1.34,NA,NA,NA,NA,NA
132.5,483,1.18,NA,NA,NA,NA,NA
120,488,1.4,NA,NA,NA,NA,NA
107.5,493,1.38,NA,NA,NA,NA,NA
95,498,1.28,NA,NA,NA,NA,NA
82.5,503,1.33,NA,NA,NA,NA,NA
70,508,1.35,NA,NA,NA,NA,NA
57.5,513,1.4,NA,NA,NA,NA,NA
45,518,1.36,NA,NA,NA,NA,NA
32.5,523,1.09,NA,NA,NA,NA,NA
20,528,1.28,NA,NA,NA,NA,NA
7.5,533,1.34,NA,NA,NA,NA,NA
-5,538,1.11,NA,NA,NA,NA,NA
-17.5,543,1.08,NA,NA,NA,NA,NA
-30,548,1.38,NA,NA,NA,NA,NA
-42.5,553,1.03,NA,NA,NA,NA,NA
-55,558,1.17,NA,NA,NA,NA,NA
-67.5,563,1.03,NA,NA,NA,NA,NA
-80,568,1.12,NA,NA,NA,NA,NA
-92.5,573,1.13,NA,NA,NA,NA,NA
-105,578,1.19,NA,NA,NA,NA,NA
-117.5,583,1.2,NA,NA,NA,NA,NA
-130,588,1.38,NA,NA,NA,NA,NA
-142.5,593,1.44,NA,NA,NA,NA,NA
-155,598,1.09,NA,NA,NA,NA,NA
-167.5,603,1.26,NA,NA,NA,NA,NA
