year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil)
1975.374,NA,-0.17,-0.17,-5.06
1975.54,NA,-0.14,-0.14,-5.16
1975.706,NA,-0.2,-0.2,-5.13
1975.872,NA,-0.2,-0.2,-5.12
1976.042,NA,-0.1,-0.1,-5.02
1976.208,NA,-0.17,-0.17,-4.98
1976.374,NA,-0.1,-0.1,-5.15
1976.54,NA,-0.18,-0.18,-5.46
1976.706,NA,-0.61,-0.61,-6
1976.872,NA,-0.26,-0.26,-5.61
1977.042,NA,-0.15,-0.15,-5.47
1977.208,NA,-0.08,-0.08,-5.34
1977.374,NA,-0.02,-0.02,-5.26
1977.54,NA,-0.13,-0.13,-5.43
1977.706,NA,-0.24,-0.24,-5.76
1977.872,NA,-0.21,-0.21,-5.49
1978.042,NA,-0.18,-0.18,-5.6
1978.208,NA,-0.14,-0.14,-5.34
1978.374,NA,-0.05,-0.05,-5.34
1978.54,NA,-0.08,-0.08,-5.44
1978.706,NA,-0.11,-0.11,-5.53
1978.872,NA,-0.07,-0.07,-5.47
1979.042,NA,-0.15,-0.15,-5.55
1979.208,NA,-0.07,-0.07,-5.27
1979.374,NA,-0.14,-0.14,-5.38
1979.54,NA,0,0,-5.44
1979.706,NA,-0.15,-0.15,-5.47
1979.872,NA,-0.05,-0.05,-5.39
1980.042,NA,0.11,0.11,-5.19
1980.208,NA,-0.01,-0.01,-5.28
1980.374,NA,-0.3,-0.3,-5.63
1980.54,NA,-0.12,-0.12,-5.49
1980.706,NA,-0.21,-0.21,-5.59
1980.872,NA,-0.01,-0.01,-5.5
1981.042,NA,-0.04,-0.04,-5.38
1981.208,NA,0.15,0.15,-5.25
1981.374,NA,-0.04,-0.04,-5.45
1981.54,NA,-0.04,-0.04,-5.44
1981.706,NA,0.1,0.1,-5.35
1981.872,NA,0.07,0.07,-5.24
1982.042,NA,-0.21,-0.21,-5.32
1982.208,NA,-0.12,-0.12,-5.28
1982.374,NA,0.05,0.05,-5.22
1982.54,NA,0.16,0.16,-5.14
1982.706,NA,0.24,0.24,-5.04
1982.872,NA,0.24,0.24,-5.03
1983.042,NA,0.11,0.11,-5.14
1983.208,NA,0.06,0.06,-5.22
1983.374,NA,0.14,0.14,-5.22
1983.54,NA,0.22,0.22,-5.14
1983.706,NA,0.21,0.21,-5.19
1983.872,NA,0.28,0.28,-5.01
1984.042,NA,0.32,0.32,-4.87
1984.208,NA,0.25,0.25,-4.91
1984.374,NA,0.27,0.27,-4.91
1984.54,NA,0.22,0.22,-5.02
1984.706,NA,0.21,0.21,-5.09
1984.872,NA,0.35,0.35,-5
1985.042,NA,0.31,0.31,-4.92
1985.208,NA,0.28,0.28,-4.83
1985.374,NA,0.15,0.15,-5.01
1985.54,NA,0.37,0.37,-4.94
1985.706,NA,0.08,0.08,-5.16
1985.872,NA,0.09,0.09,-5.04
1986.042,NA,0.04,0.04,-4.97
1986.208,NA,-0.01,-0.01,-5.08
1986.374,NA,0.02,0.02,-5.18
1986.54,NA,0.05,0.05,-5.27
1986.706,NA,0.08,0.08,-5.3
1986.872,NA,0.05,0.05,-5.25
1987.042,NA,0.01,0.01,-5.24
1987.208,NA,-0.05,-0.05,-5.31
1987.374,NA,0.07,0.07,-5.27
1987.54,NA,0.21,0.21,-5.21
1987.706,NA,0.26,0.26,-5.14
1987.872,NA,0.12,0.12,-5.22
1988.042,NA,0.23,0.23,-5.02
1988.208,NA,0.1,0.1,-5.06
1988.374,NA,-0.08,-0.08,-5.13
1988.54,NA,0.07,0.07,-5.12
1988.706,NA,0.03,0.03,-5.1
1988.872,NA,-0.02,-0.02,-5.09
1989.042,NA,-0.06,-0.06,-5.13
1989.208,NA,-0.17,-0.17,-5.43
1989.374,NA,-0.08,-0.08,-5.33
1989.54,NA,-0.16,-0.16,-5.41
1989.706,NA,-0.27,-0.27,-5.59
1989.872,NA,0.09,0.09,-5.05
1990.042,NA,-0.05,-0.05,-5.32
1990.208,NA,-0.12,-0.12,-5.27
1990.374,NA,0.06,0.06,-5.3
1990.54,NA,-0.01,-0.01,-5.42
1990.706,NA,-0.19,-0.19,-5.61
1990.872,NA,-0.15,-0.15,-5.7
1991.042,NA,-0.28,-0.28,-5.67
1991.208,NA,-0.11,-0.11,-5.34
1991.374,NA,-0.09,-0.09,-5.47
1991.54,NA,-0.06,-0.06,-5.48
1991.706,NA,-0.02,-0.02,-5.45
1991.872,NA,-0.08,-0.08,-5.46
1992.042,NA,0.02,0.02,-5.23
1992.208,NA,-0.23,-0.23,-5.51
1992.374,NA,-0.3,-0.3,-5.64
1992.54,NA,-0.27,-0.27,-5.68
1992.706,NA,-0.14,-0.14,-5.54
1992.872,NA,-0.06,-0.06,-5.45
1993.042,NA,-0.03,-0.03,-5.39
1993.208,NA,-0.02,-0.02,-5.32
1993.374,NA,-0.02,-0.02,-5.3
1993.54,NA,-0.03,-0.03,-5.32
1993.706,NA,-0.05,-0.05,-5.35
1993.872,NA,-0.16,-0.16,-5.41
1994.042,NA,-0.29,-0.29,-5.48
1994.208,NA,-0.39,-0.39,-5.54
1994.374,NA,-0.33,-0.33,-5.57
1994.54,NA,-0.18,-0.18,-5.58
1994.706,NA,-0.04,-0.04,-5.5
1994.872,NA,0.04,0.04,-5.35
1995.042,NA,-0.1,-0.1,-5.35
1995.208,NA,-0.01,-0.01,-5.29
1995.374,NA,-0.01,-0.01,-5.28
1995.54,NA,-0.06,-0.06,-5.3
1995.706,NA,-0.06,-0.06,-5.3
1995.872,NA,0.07,0.07,-5.21
1996.042,NA,-0.04,-0.04,-5.13
1996.208,NA,-0.05,-0.05,-4.99
1996.374,NA,0.02,0.02,-5
1996.54,NA,0.01,0.01,-5.27
1996.706,NA,0.04,0.04,-5.16
1996.872,NA,0.06,0.06,-4.98
1997.042,NA,0.07,0.07,-4.88
1997.208,NA,0.19,0.19,-4.91
1997.374,NA,0.04,0.04,-5.2
1997.54,NA,0.09,0.09,-5.31
1997.706,NA,-0.02,-0.02,-5.26
1997.872,NA,-0.06,-0.06,-5.19
1998.042,NA,0.01,0.01,-4.85
1998.208,NA,-0.12,-0.12,-4.99
1998.374,NA,-0.27,-0.27,-5.2
1998.54,NA,-0.23,-0.23,-5.17
1998.706,NA,-0.04,-0.04,-4.95
1998.872,NA,0.1,0.1,-4.78
1999.042,NA,0.02,0.02,-4.85
1999.208,NA,-0.05,-0.05,-4.92
1999.374,NA,0.05,0.05,-4.97
1999.54,NA,0.12,0.12,-4.99
1999.706,NA,0.1,0.1,-4.96
1999.872,NA,0.08,0.08,-4.9
2000.042,NA,0.07,0.07,-4.83
2000.208,NA,0.05,0.05,-4.84
2000.374,NA,0.06,0.06,-4.97
2000.54,NA,0.16,0.16,-5.12
2000.706,NA,0.15,0.15,-5.09
2000.872,NA,0.07,0.07,-4.97
2001.042,NA,0.05,0.05,-4.87
2001.208,NA,0.06,0.06,-4.79
2001.374,NA,0.15,0.15,-4.8
2001.54,NA,0.12,0.12,-4.95
2001.706,NA,0.07,0.07,-5.01
2001.872,NA,0.08,0.08,-4.96
2002.042,NA,-0.07,-0.07,-5.37
2002.208,NA,-0.07,-0.07,-5.35
2002.374,NA,-0.08,-0.08,-5.48
2002.54,NA,-0.01,-0.01,-5.46
2002.706,NA,0.04,0.04,-5.41
2002.872,NA,0.05,0.05,-5.35
2003.042,NA,0.11,0.11,-5.26
2003.208,NA,-0.1,-0.1,-5.31
2003.374,NA,-0.17,-0.17,-5.34
2003.54,NA,-0.08,-0.08,-5.32
2003.706,NA,0.01,0.01,-5.3
2003.872,NA,0.04,0.04,-5.27
2004.042,NA,0.06,0.06,-5.24
2004.208,NA,0.08,0.08,-5.21
2004.374,NA,0.03,0.03,-5.31
2004.54,NA,-0.02,-0.02,-5.41
2004.706,NA,-0.05,-0.05,-5.48
2004.872,NA,0,0,-5.47
2005.042,NA,0.06,0.06,-5.46
2005.208,NA,0.06,0.06,-5.46
2005.374,NA,-0.01,-0.01,-5.48
2005.54,NA,-0.08,-0.08,-5.49
2005.706,NA,-0.09,-0.09,-5.43
2005.872,NA,-0.06,-0.06,-5.32
2006.042,NA,-0.04,-0.04,-5.2
2006.208,NA,-0.03,-0.03,-5.2
2006.374,NA,-0.01,-0.01,-5.23
2006.54,NA,0.05,0.05,-5.23
2006.706,NA,-0.02,-0.02,-5.31
2006.872,NA,-0.23,-0.23,-5.48
2007.042,NA,-0.16,-0.16,-5.36
2007.208,NA,-0.03,-0.03,-5.21
2007.374,NA,0.12,0.12,-5.04
2007.54,NA,0,0,-5.3
2007.706,NA,0.06,0.06,-5.26
2007.872,NA,0.21,0.21,-5.1
2008.042,NA,0.12,0.12,-5.02
2008.208,NA,0.07,0.07,-5.03
2008.374,NA,0.06,0.06,-5.06
2008.54,NA,0.07,0.07,-5.11
2008.706,NA,0.08,0.08,-5.16
2008.872,NA,0.13,0.13,-5.12
2009.042,NA,0.19,0.19,-5.04
2009.208,NA,0.2,0.2,-5.05
2009.374,NA,0.17,0.17,-5.14
2009.54,NA,0.16,0.16,-5.17
2009.706,NA,0.19,0.19,-5.08
2009.872,NA,0.19,0.19,-5.01
2010.042,NA,0.09,0.09,-5
2010.208,NA,0.01,0.01,-4.99
2010.374,NA,-0.05,-0.05,-5.1
