year (AD),depth (m),d18O (permil)
-970,2.95,1.37
-984.2,2.96,1.21
-998,2.97,1.26
-1012.2,2.98,1.26
-1026.2,2.99,1.48
-1040.3,3,1.23
-1054.4,3.01,1.29
-1068.5,3.02,1.41
-1083,3.03,1.16
-1097.4,3.04,1.02
-1111.7,3.05,1.31
-1125.9,3.06,1.27
-1140,3.07,1.21
-1154.4,3.08,1.39
-1169.1,3.09,1.19
-1183.9,3.1,0.99
-1198.5,3.11,1.28
-1212.4,3.12,1.15
-1226.5,3.13,1.32
-1240.8,3.14,1.12
-1255,3.15,1.28
-1269.4,3.16,1.07
-1283.8,3.17,1.37
-1298.3,3.18,1.3
-1312.7,3.19,1.37
-1327.1,3.2,1.27
-1341.6,3.21,0.86
-1356,3.22,0.82
-1370.4,3.23,0.68
-1385,3.24,0.51
-1399.4,3.25,0.46
-1413.9,3.26,0.79
-1427.9,3.27,0.67
-1441.9,3.28,0.73
-1455.8,3.29,0.92
-1469.7,3.3,0.75
-1498.1,3.32,0.92
-1512.5,3.33,0.51
-1526.9,3.34,0.87
-1541.1,3.35,0.95
-1570,3.37,0.77
-1584.3,3.38,0.81
-1598.6,3.39,0.72
-1612.6,3.4,0.82
-1627.1,3.41,0.53
-1655.4,3.43,0.78
-1683.4,3.45,0.74
-1697.5,3.46,0.74
-1711.7,3.47,0.95
-1740.1,3.49,0.64
-1754.3,3.5,0.92
-1768.5,3.51,0.93
-1783,3.52,0.67
-1797.4,3.53,0.74
-1811.8,3.54,0.71
-1826.4,3.55,0.48
-1840.7,3.56,0.81
-1855,3.57,0.7
-1869.2,3.58,0.8
-1883.6,3.59,1.05
-1898,3.6,0.82
-1912.4,3.61,0.7
-1940.4,3.63,0.85
-1954.3,3.64,0.64
-1968.2,3.65,0.81
-1982.5,3.66,0.65
-2026,3.69,0.39
-2040.5,3.7,0.29
-2055.1,3.71,0.55
-2069.7,3.72,0.46
-2084.5,3.73,0.11
-2098.9,3.74,0.32
-2113.7,3.75,0.29
-2128.3,3.76,0.29
-2142.7,3.77,0.38
-2157,3.78,0.35
-2171.5,3.79,0.54
-2185.9,3.8,0.49
-2214.2,3.82,0.35
-2228.3,3.83,0.33
-2242.3,3.84,0.47
-2256.2,3.85,0.21
-2270.2,3.86,0.36
-2298.9,3.88,0.39
-2313.3,3.89,0.31
-2327.7,3.9,0.38
-2356,3.92,0.42
-2370.2,3.93,0.3
-2384.2,3.94,0.34
-2398.2,3.95,0.52
-2425.6,3.97,0.36
-2439.5,3.98,0.33
-2453.4,3.99,0.22
-2467.3,4,0.31
-2481.5,4.01,0.51
-2509.2,4.03,0.53
-2523.4,4.04,0.55
-2551.2,4.06,0.53
-2565.4,4.07,0.49
-2594,4.09,0.39
-2608.4,4.1,0.43
-2623,4.11,0.49
-2665.6,4.14,0.67
-2680,4.15,0.4
-2708.3,4.17,0.32
-2723.4,4.18,0.25
-2738.2,4.19,0.44
-2753.2,4.2,0.48
-2789.1,4.22,0.49
-2809.8,4.23,0.32
-2830.6,4.24,0.51
-2872.3,4.26,0.53
-2913.8,4.28,0.73
-2934.5,4.29,0.42
-2955.1,4.3,0.64
-2975.6,4.31,0.14
-2996.1,4.32,0.52
-3016.2,4.33,0.17
-3036.2,4.34,0.53
-3056.9,4.35,0.53
-3077.3,4.36,0.51
-3098.5,4.37,0.67
-3119.6,4.38,0.73
-3140.7,4.39,0.52
-3161.7,4.4,0.37
-3182.9,4.41,0.35
-3224,4.43,0.34
-3244.7,4.44,0.14
-3265.3,4.45,0.11
-3285.7,4.46,0.17
-3327.2,4.48,0.44
-3348.1,4.49,0.47
-3368.7,4.5,0.62
-3389.4,4.51,0.38
-3431.1,4.53,0.54
-3452,4.54,0.38
-3472.8,4.55,0.2
-3493.5,4.56,0.33
-3514.2,4.57,0.39
-3534.9,4.58,0.26
-3555.3,4.59,0.44
-3575.7,4.6,0.53
-3596.3,4.61,0.45
-3616.8,4.62,0.36
-3637.1,4.63,0.49
-3657.6,4.64,0.38
-3678,4.65,0.59
-3698.4,4.66,0.52
-3739.7,4.68,0.55
-3760.3,4.69,0.51
-3780.6,4.7,0.58
-3800.6,4.71,0.41
-3841.3,4.73,0.53
-3861.5,4.74,0.22
-3881.7,4.75,0.59
-3901.9,4.76,0.31
-3922.6,4.77,0.41
-3943.2,4.78,0.14
-3963.9,4.79,0.39
-3984.6,4.8,0.24
-4005.3,4.81,0.48
-4025.8,4.82,0.22
-4046.6,4.83,0.42
-4067.7,4.84,0.44
-4109,4.86,0.51
-4129.6,4.87,0.24
-4150.4,4.88,0.42
-4171,4.89,0.44
-4191.9,4.9,0.14
-4253.1,4.93,0.42
-4273.5,4.94,0.4
-4294,4.95,0.55
-4314.2,4.96,0.52
-4354.8,4.98,0.41
-4375,4.99,0.38
-4395.6,5,0.53
-4416.6,5.01,0.35
-4478.5,5.04,0.4
-4499.2,5.05,0.08
-4519.8,5.06,0.44
-4540.6,5.07,0.25
-4561.2,5.08,0.3
-4581.5,5.09,0.25
-4642.4,5.12,0.21
-4662.4,5.13,-0.42
-4682.7,5.14,0.2
-4703.3,5.15,-0.15
-4724.2,5.16,0.22
-4744,5.17,0.1
-4764,5.18,0.1
-4804.3,5.2,0.1
-4844.6,5.22,-0.16
-4864.7,5.23,0.44
-4905.4,5.25,0.38
-4945.8,5.27,0.08
-4965.8,5.28,0.28
-4985.8,5.29,0.16
-5025.5,5.31,0.01
-5045.5,5.32,-0.16
-5065.3,5.33,0.19
-5085.2,5.34,-0.03
-5124.5,5.36,0.01
-5144.9,5.37,0.51
-5165,5.38,0.1
-5185.3,5.39,0.36
-5225.3,5.41,0.17
-5265.5,5.43,0.42
-5285.9,5.44,0.22
-5305.8,5.45,0.13
-5345.7,5.47,0.24
-5365.9,5.48,0.16
-5385.6,5.49,0.37
-5405.6,5.5,0.09
-5425.2,5.51,0.12
-5445.1,5.52,0.16
-5485.6,5.54,-0.09
-5506.1,5.55,0.15
-5546.4,5.57,0.02
-5586.8,5.59,-0.01
-5627.6,5.61,-0.1
-5647.6,5.62,0.25
-5687.6,5.64,0.22
-5707.8,5.65,0.12
-5727.6,5.66,0.02
-5747.4,5.67,0.14
-5767.5,5.68,0.12
-5787.3,5.69,0.06
-5826.2,5.71,0.12
-5845.2,5.72,0.1
-5865.2,5.73,0.35
-5885,5.74,0.21
-5904.5,5.75,0.11
-5924.6,5.76,0.02
-5944.7,5.77,0.29
-5964.7,5.78,0.15
-5984.8,5.79,0.28
-6004.9,5.8,0.01
-6025.3,5.81,-0.02
-6045.7,5.82,0.23
-6066.2,5.83,0.38
-6328.4,5.96,0.11
-6448.8,6.02,0.33
-6489.7,6.04,0.28
-6549.9,6.07,0.38
-6590.4,6.09,0.75
-6630.4,6.11,0.17
-6669.2,6.13,0.31
-6689.2,6.14,0.49
-6709.6,6.15,0.51
-6729.8,6.16,0.52
-6749.3,6.17,0.35
-6828.7,6.21,0.72
-6848.7,6.22,0.54
-6868.3,6.23,0.64
-6928.4,6.26,-0.22
-6946.8,6.27,0.37
-6964.9,6.28,1.48
-6983.2,6.29,1.08
-7001.6,6.3,0.99
-7019.7,6.31,0.63
-7038.5,6.32,0.62
-7057.6,6.33,0.63
-7076.6,6.34,1.35
-7408.8,6.52,0.21
-7446.1,6.54,0.43
-7483.1,6.56,0.39
-7501.5,6.57,-0.18
-7520.3,6.58,0.36
-7538.8,6.59,-0.12
-7557.5,6.6,0.25
-7576.2,6.61,0.83
-7595,6.62,0.8
-7614,6.63,0.42
-7632.9,6.64,0.8
-7651.7,6.65,0.88
-7670.7,6.66,0.97
-7689.5,6.67,0.95
-7708.3,6.68,1.03
-7727.1,6.69,1.23
-7746,6.7,0.52
-7764.8,6.71,0.89
-7783.6,6.72,1.03
-7802.6,6.73,1.29
-7840.2,6.75,1.03
-7859,6.76,1.34
-7895.2,6.78,1.67
-7913.1,6.79,1.35
-7931,6.8,1.26
-7949.1,6.81,1.17
-7967.4,6.82,1.11
-8021.2,6.85,1.06
-8038.8,6.86,1.23
-8057.5,6.87,1.29
-8076.3,6.88,1.06
-8094.7,6.89,1.11
-8113.2,6.9,1.18
-8131.4,6.91,1.16
-8149.1,6.92,1.34
-8166.7,6.93,1.28
-8184.2,6.94,1.18
-8219.6,6.96,1.33
-8237.6,6.97,1.1
-8255.8,6.98,1.32
-8274.1,6.99,1.2
-8292.5,7,1.02
-8310.7,7.01,0.66
-8328.6,7.02,0.45
-8346.6,7.03,-0.2
-8346.6,7.03,0.1
-8364.3,7.04,1.01
-8382.3,7.05,1.16
-8399.9,7.06,1.09
-8418.4,7.07,1.91
-8508.5,7.12,0.99
-8544.3,7.14,0.77
-8562.2,7.15,1.11
-8579.5,7.16,1.63
-8598.2,7.17,1.46
-8616.8,7.18,1.86
-8653.3,7.2,1.13
-8671.8,7.21,1.44
-8691.5,7.22,0.69
-8711.4,7.23,1.13
-8731.3,7.24,1.28
-8751,7.25,1.39
-8770.8,7.26,1.07
-8791,7.27,1.76
-8811.6,7.28,1.35
-8831.9,7.29,1.47
-8852.2,7.3,1.35
-8872.9,7.31,1.34
-8892.6,7.32,1.68
-8913.1,7.33,1.62
-8933.3,7.34,1.46
-8953.2,7.35,1.49
-8973.6,7.36,1.59
-8993.6,7.37,1.66
-9013.9,7.38,1.61
-9034.1,7.39,1.88
-9054,7.4,2.06
-9074,7.41,1.54
-9114.5,7.43,1.77
-9134.6,7.44,1.45
-9154.9,7.45,1.62
-9195.1,7.47,1.54
-9215.6,7.48,1.66
-9236.4,7.49,1.83
-9257.3,7.5,1.44
-9257.3,7.5,1.96
-9277.6,7.51,1.61
-9297.9,7.52,1.95
-9318.4,7.53,1.94
-9339,7.54,1.73
-9359.6,7.55,2.46
-9359.6,7.55,1.87
-9380.2,7.56,1.07
-9400.3,7.57,1.93
-9420,7.58,1.98
-9439.8,7.59,1.99
-9459.6,7.6,1.74
-9479.2,7.61,1.55
-9499.4,7.62,1.96
-9519.1,7.63,1.77
-9558.5,7.65,1.22
-9578.6,7.66,1.51
-9599.3,7.67,0.29
-9599.3,7.67,0.63
