Age (years),d18O (per mil),Sr/Ca (mmol/mol)
1933.4166,-3.4102,9.396
1933.2499,-3.5638,9.3432
1933.0833,-3.2159,9.4418
1932.9166,-3.0601,9.389
1932.7499,-3.2972,9.4485
1932.5833,-3.4544,9.4254
1932.4166,-3.5432,9.3778
1932.2499,-3.864,9.3509
1932.0833,-3.2876,9.3002
1931.9166,-3.0204,9.283
1931.7499,-3.0438,9.3776
1931.5833,-2.9425,9.3952
1931.4166,-3.3202,9.3195
1931.2499,-3.6098,9.362
1931.0833,-3.0003,9.327
1930.9166,-3.0502,9.352
1930.7499,-3.41,9.261
1930.5833,-3.5699,9.2811
1930.4166,-3.6502,9.256
1930.2499,-3.5978,9.3284
1930.0833,-3.0719,9.2896
1929.9166,-2.9301,9.384
1929.7499,-3.2499,9.378
1929.5833,-3.3701,9.334
1929.4166,-3.72,9.2261
1929.2499,-3.3557,9.3632
1929.0833,-3.236,9.342
1928.9166,-3.0402,9.349
1928.7499,-3.3715,9.3549
1928.5833,-3.4429,9.3405
1928.4166,-3.5417,9.2903
1928.2499,-3.488,9.314
1928.0833,-3.1719,9.3438
1927.9166,-2.8701,9.307
1927.7499,-2.9401,9.378
1927.5833,-2.9601,9.325
1927.4166,-3.1801,9.321
1927.2499,-2.9297,9.387
1927.0833,-2.89,9.3512
1926.9166,-2.77,9.406
1926.7499,-2.8828,9.405
1926.5833,-2.7271,9.369
1926.4166,-2.863,9.3536
1926.25,-2.8002,9.3654
1926.0833,-2.7399,9.3328
1925.9166,-2.4801,9.4
1925.75,-2.68,9.418
1925.5833,-2.71,9.388
1925.4166,-2.96,9.311
1925.25,-2.81,9.3548
1925.0833,-2.7058,9.3654
1924.9166,-2.43,9.406
1924.75,-2.5272,9.4031
1924.5833,-2.61,9.3908
1924.4166,-2.65,9.3503
1924.25,-2.586,9.3576
1924.0833,-2.9301,9.3632
1923.9166,-2.4601,9.365
1923.75,-2.6915,9.3924
1923.5833,-2.8443,9.3906
1923.4166,-3.0501,9.3703
1923.25,-2.9599,9.4074
1923.0833,-2.724,9.389
1922.9166,-2.5801,9.411
1922.75,-2.7542,9.4191
1922.5833,-2.7971,9.4481
1922.4166,-2.9215,9.3171
1922.25,-2.93,9.3164
1922.0833,-2.7479,9.3252
1921.9166,-2.3801,9.334
1921.75,-2.8601,9.3049
1921.5833,-3.0114,9.2821
1921.4166,-3.12,9.2859
1921.25,-3.07,9.2936
1921.0833,-2.506,9.284
1920.9166,-2.2501,9.35
1920.75,-2.5201,9.364
1920.5833,-2.75,9.28
1920.4166,-2.67,9.347
1920.25,-2.538,9.3512
1920.0833,-2.378,9.3436
1919.9166,-2.2601,9.457
1919.75,-2.5457,9.427
1919.5833,-2.5229,9.4233
1919.4166,-2.9843,9.3831
1919.25,-3.134,9.3612
1919.0833,-3.0261,9.3578
1918.9166,-2.6801,9.39
1918.75,-3.01,9.36
1918.5833,-3.2101,9.413
1918.4166,-3.5501,9.325
1918.25,-3.5679,9.3768
1918.0833,-3.326,9.4216
1917.9166,-2.98,9.415
1917.75,-3.3186,9.375
1917.5833,-3.5729,9.323
1917.4167,-3.7286,9.3396
1917.25,-3.636,9.3738
1917.0833,-3.16,9.3754
1916.9167,-2.9101,9.431
1916.75,-3.2744,9.4227
1916.5833,-3.2529,9.4247
1916.4167,-3.5029,9.4909
1916.25,-3.496,9.5312
1916.0833,-3.3,9.534
1915.9167,-3.14,9.538
1915.5833,-3.65,NA
1915.4167,-3.58,NA
1915.25,-3.846,NA
1915.0833,-3.55,NA
1914.9167,-3.35,NA
1914.75,-3.6729,NA
1914.5833,-3.8814,NA
1914.4167,-3.8157,NA
1914.25,-3.656,NA
1914.0833,-3.56,NA
1913.9167,-3.45,NA
