year (AD) [1-1],temperature (degC) [1-1],Uk37 (unitless) [1-1],notes (unitless) [1-1],year (AD) [1-2],depth (cm) [1-2],d18O (permil) [1-2],temperature (degC) [1-2],Mg_Ca (mmol/mol) [1-2],d18O (permil) [1-2],year (AD) [1-3],depth (cm) [1-3],d18O (permil) [1-3],temperature (degC) [1-3],Mg_Ca (mmol/mol) [1-3],d18O (permil) [1-3]
1255,14.5,0.5225,MINMC06-2,NA,NA,NA,NA,NA,NA,383.33,31.5,2.693198809,21.28,4.7,1.33
1240,14.5,0.5225,MINMC06-2,NA,NA,NA,NA,NA,NA,350,32,2.409396459,20.25,4.24,1.26
1237,15.2,0.5456,MINMC06-1,NA,NA,NA,NA,NA,NA,316.67,32.5,NA,19.5,3.94,NA
1212,14.8,0.5324,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1204,15.2,0.5456,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1184,14.9,0.5357,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1171,15.4,0.5522,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1156,14.6,0.5258,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1139,15.5,0.5555,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1129,14.7,0.5291,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,14.8,0.5324,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1101,14.6,0.5258,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1073,16,0.572,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1073,14.4,0.5192,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045,15,0.539,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1017,14.6,0.5258,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,14.3,0.5159,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
989,15,0.539,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
961,15.3,0.5489,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
948,15.7,0.5621,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
934,14.2,0.5126,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
906,15.3,0.5489,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
886,14.7,0.5291,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
878,14.5,0.5225,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
850,14.6,0.5258,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
824,14.7,0.5291,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,14.8,0.5324,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
764,14.9,0.5357,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
761,14.9,0.5357,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
721,14.4,0.5192,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
699,15.1,0.5423,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
679,15.4,0.5522,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
637,14.9,0.5357,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
636,15.1,0.5423,MINMC06-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,14.8,0.5324,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,15.5,0.5555,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,16.2,0.5786,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,15.7,0.5621,MINMC06-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
