year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil)
-4016,195,NA,NA,NA
-4063.3,196,NA,NA,NA
-4110.7,197,1.19,NA,NA
-4158,198,0.99,NA,NA
-4205.3,199,1.37,NA,NA
-4252.7,200,0.94,NA,1
-4300,201,1.01,NA,NA
-4347.3,202,0.82,NA,NA
-4394.7,203,0.97,NA,1.35
-4442,204,0.79,NA,NA
-4489.3,205,0.93,NA,NA
-4536.7,206,0.93,NA,NA
-4584,207,0.89,NA,2.17
-4631.3,208,0.98,NA,NA
-4678.7,209,1.46,NA,NA
-4726,210,1.06,NA,NA
-4773.3,211,1.79,NA,NA
-4820.7,212,NA,NA,NA
-4868,213,1.6,NA,NA
-4915.3,214,NA,NA,NA
-4962.7,215,1.93,NA,NA
-5010,216,1.79,NA,NA
-5057.3,217,NA,NA,NA
-5104.7,218,NA,NA,NA
-5152,219,NA,NA,NA
-5199.3,220,NA,NA,NA
-5246.7,221,NA,NA,NA
-5294,222,NA,NA,NA
-5341.3,223,1.3,NA,NA
-5388.7,224,1.14,NA,NA
-5436,225,1.61,NA,NA
-5483.3,226,1.24,NA,NA
-5530.7,227,1.32,NA,NA
-5578,228,1.04,NA,NA
-5625.3,229,1.32,NA,NA
-5672.7,230,0.83,NA,1.95
-5720,231,1.39,NA,NA
-5756.7,232,1.17,NA,NA
-5793.3,233,1.24,NA,2.1
-5830,234,1.26,NA,2
-5866.7,235,1.45,NA,2.22
-5903.3,236,1.37,NA,2.13
-5940,237,1.3,NA,NA
-5976.7,238,1.62,NA,1.99
-6013.3,239,1.6,NA,2.06
-6050,240,1.56,NA,NA
-6160,243,1.35,NA,1.62
-6196.7,244,1.23,NA,NA
-6233.3,245,1.2,NA,NA
-6270,246,1.62,NA,2.05
-6306.7,247,1.54,NA,1.98
-6343.3,248,1.6,NA,1.89
-6380,249,1.56,NA,2.14
-6387,250,1.64,NA,2.58
-6394,251,1.78,NA,2.14
-6401,252,1.7,NA,2.53
-6408,253,1.57,NA,2.4
-6415.1,254,1.74,NA,2.45
-6422.1,255,1.83,NA,2.62
-6429.1,256,1.82,NA,2.63
-6436.1,257,1.6,NA,2.85
-6443.1,258,NA,NA,2.82
-6450.1,259,NA,NA,1.84
-6457.1,260,1.08,NA,2.35
-6464.2,261,NA,NA,2.67
-6471.2,262,NA,NA,NA
-6478.2,263,1.28,NA,2.81
-6485.2,264,NA,NA,2.61
-6492.2,265,NA,NA,2.57
-6499.2,266,1.09,NA,2.75
-6506.2,267,NA,NA,2.66
-6513.3,268,NA,NA,2.46
-6520.3,269,NA,NA,2.77
-6527.3,270,NA,NA,2.97
-6534.3,271,NA,NA,2.86
-6541.3,272,NA,NA,2.93
-6548.3,273,NA,NA,NA
-6555.3,274,NA,NA,3.13
-6562.3,275,NA,NA,2.76
-6569.4,276,NA,NA,2.94
-6576.4,277,NA,NA,3
-6583.4,278,NA,NA,2.95
-6590.4,279,NA,NA,2.95
-6597.4,280,NA,NA,2.89
-6604.4,281,NA,NA,3.7
-6611.4,282,NA,NA,2.62
-6618.5,283,NA,NA,NA
-6625.5,284,NA,NA,3.71
-6632.5,285,NA,NA,3.31
-6639.5,286,NA,NA,3.01
-6646.5,287,NA,NA,3.15
-6653.5,288,NA,NA,3.15
-6660.5,289,NA,NA,3.24
-6667.6,290,NA,NA,3.27
-6674.6,291,NA,NA,2.95
-6681.6,292,NA,NA,NA
-6688.6,293,NA,NA,NA
-6695.6,294,NA,NA,3.01
-6702.6,295,NA,NA,3.23
-6709.6,296,NA,NA,NA
-6716.7,297,NA,NA,2.73
-6723.7,298,NA,NA,NA
-6730.7,299,NA,NA,2.6
-6737.7,300,NA,NA,NA
-6744.7,301,NA,NA,2.86
-6751.7,302,NA,NA,2.17
-6758.7,303,NA,NA,2.88
-6765.8,304,NA,NA,2
-6772.8,305,NA,NA,NA
-6779.8,306,NA,NA,NA
-6786.8,307,NA,NA,2.45
-6793.8,308,NA,NA,2.78
-6800.8,309,NA,NA,2.87
-6807.8,310,NA,NA,2.28
-6814.9,311,NA,NA,NA
-6821.9,312,NA,NA,NA
-6828.9,313,NA,NA,2.21
-6835.9,314,NA,NA,NA
-6842.9,315,NA,NA,NA
-6849.9,316,NA,NA,NA
-6856.9,317,NA,NA,2.59
-6864,318,NA,NA,NA
-6871,319,NA,NA,2.72
-6878,320,NA,NA,NA
-6885,321,NA,NA,2.18
-6892,322,NA,NA,NA
-6899,323,NA,NA,2.47
-6906,324,NA,NA,NA
-6913,325,NA,NA,NA
-6920.1,326,NA,NA,2.65
-6927.1,327,NA,NA,NA
-6934.1,328,NA,NA,NA
-6941.1,329,NA,NA,NA
-6948.1,330,NA,NA,NA
-6955.1,331,NA,NA,2.21
-6962.1,332,NA,NA,NA
-6969.2,333,NA,NA,1.68
-6976.2,334,NA,NA,NA
-6983.2,335,NA,NA,2.59
-6990.2,336,NA,NA,NA
-6997.2,337,NA,NA,2.4
-7004.2,338,1.57,NA,NA
-7039.3,343,0.95,NA,NA
-7046.3,344,1.26,NA,NA
-7053.3,345,1.3,NA,2.43
-7060.3,346,1.36,NA,NA
-7067.4,347,NA,NA,NA
-7074.4,348,NA,NA,NA
-7081.4,349,NA,NA,NA
-7088.4,350,NA,NA,2.02
-7095.4,351,NA,NA,NA
-7102.4,352,NA,NA,NA
-7109.4,353,NA,NA,2.15
-7116.5,354,NA,NA,NA
-7123.5,355,NA,NA,2.35
-7130.5,356,NA,NA,NA
-7137.5,357,NA,NA,NA
-7144.5,358,NA,NA,2.26
-7151.5,359,NA,NA,NA
-7158.5,360,NA,NA,NA
-7165.6,361,NA,NA,NA
-7172.6,362,NA,NA,NA
-7179.6,363,NA,NA,NA
-7186.6,364,NA,NA,1.35
-7193.6,365,NA,NA,NA
-7200.6,366,NA,NA,2.81
-7207.6,367,NA,NA,2.85
-7214.7,368,NA,NA,2.53
-7221.7,369,NA,NA,2.87
-7228.7,370,NA,NA,2.65
-7235.7,371,NA,NA,2.71
-7242.7,372,NA,NA,2.46
-7249.7,373,NA,NA,2.73
-7256.7,374,NA,NA,2.48
-7263.8,375,NA,NA,2.03
-7270.8,376,NA,NA,2.45
-7277.8,377,NA,NA,2.21
-7284.8,378,NA,NA,2.31
-7291.8,379,NA,NA,2.09
-7298.8,380,NA,NA,2.17
-7305.8,381,NA,NA,2.33
-7312.8,382,NA,NA,2.36
-7319.9,383,NA,NA,2.61
-7326.9,384,NA,NA,NA
-7333.9,385,NA,NA,2.37
-7340.9,386,NA,NA,2.71
-7347.9,387,NA,NA,2.81
-7354.9,388,NA,NA,2.58
-7361.9,389,NA,NA,3.02
-7369,390,NA,NA,3.16
-7376,391,NA,NA,3.01
-7383,392,NA,NA,2.45
-7390,393,NA,NA,3.01
-7397,394,NA,NA,3.09
-7404,395,NA,NA,NA
-7411,396,NA,NA,2.79
-7418.1,397,NA,NA,NA
-7425.1,398,NA,NA,NA
-7432.1,399,NA,NA,2.59
-7439.1,400,NA,NA,NA
-7446.1,401,NA,NA,NA
-7453.1,402,NA,NA,2.6
-7460.1,403,NA,NA,NA
-7467.2,404,NA,NA,NA
-7474.2,405,NA,NA,NA
-7481.2,406,NA,NA,NA
-7488.2,407,NA,NA,NA
-7495.2,408,NA,NA,NA
-7502.2,409,NA,NA,NA
-7509.2,410,NA,NA,2.53
-7516.3,411,NA,NA,NA
-7523.3,412,NA,NA,NA
-7530.3,413,NA,NA,NA
-7537.3,414,NA,NA,NA
-7544.3,415,NA,NA,1.26
-7551.3,416,NA,NA,NA
-7558.3,417,NA,NA,2.35
-7565.4,418,NA,NA,2.42
-7572.4,419,NA,NA,2.67
-7579.4,420,NA,NA,2.24
-7586.4,421,NA,NA,2.59
-7593.4,422,NA,NA,2.91
-7600.4,423,NA,NA,2.94
-7607.4,424,NA,NA,2.5
-7614.5,425,NA,NA,3.67
-7621.5,426,NA,NA,3.4
-7628.5,427,NA,NA,3.22
-7635.5,428,NA,NA,3.75
-7642.5,429,NA,NA,3.16
-7649.5,430,NA,NA,3.58
-7656.5,431,NA,NA,3.15
-7663.5,432,NA,NA,3.63
-7670.6,433,NA,NA,3.48
-7677.6,434,NA,NA,2.8
-7684.6,435,NA,NA,NA
-7691.6,436,NA,NA,NA
-7698.6,437,NA,NA,3.89
-7705.6,438,NA,NA,3.49
-7712.6,439,NA,NA,NA
-7719.7,440,1.36,NA,NA
-7740.7,443,1.34,NA,NA
-7747.7,444,1.6,NA,2.72
-7754.7,445,1.55,NA,NA
-7761.7,446,1.76,NA,NA
-7768.8,447,1.61,NA,2.4
-7775.8,448,1.7,NA,2.67
-7782.8,449,1.6,NA,NA
-7789.8,450,1.53,NA,3.16
-7796.8,451,1.46,NA,NA
-7803.8,452,NA,NA,NA
-7810.8,453,NA,NA,NA
-7817.9,454,NA,NA,NA
-7824.9,455,NA,NA,NA
-7831.9,456,NA,NA,NA
-7838.9,457,NA,NA,2.74
-7845.9,458,NA,NA,NA
-7852.9,459,NA,NA,NA
-7859.9,460,NA,NA,NA
-7867,461,NA,NA,NA
-7874,462,NA,NA,NA
-7881,463,NA,NA,NA
-7888,464,NA,NA,NA
-7895,465,NA,NA,NA
-7902,466,NA,NA,NA
-7909,467,NA,NA,NA
-7916.1,468,NA,NA,2.52
-7923.1,469,NA,NA,NA
-7930.1,470,NA,NA,2.73
-7937.1,471,NA,NA,NA
-7944.1,472,NA,NA,3.55
-7951.1,473,NA,NA,NA
-7958.1,474,NA,NA,3.16
-7965.2,475,NA,NA,NA
-7972.2,476,NA,NA,3.23
-7979.2,477,NA,NA,NA
-7986.2,478,NA,NA,2.58
-7993.2,479,NA,NA,NA
-8000.2,480,NA,NA,NA
-8007.2,481,NA,NA,NA
-8014.2,482,NA,NA,NA
-8021.3,483,NA,NA,NA
-8028.3,484,NA,NA,NA
-8035.3,485,NA,NA,NA
-8042.3,486,NA,NA,NA
-8049.3,487,NA,NA,0.9
-8056,488,NA,NA,1.26
-8063,489,NA,NA,NA
-8070,490,NA,NA,1.46
-8077,491,NA,NA,1.25
-8084,492,NA,NA,NA
-8091,493,NA,NA,NA
-8098,494,NA,NA,NA
-8105,495,NA,NA,NA
-8112,496,NA,NA,NA
-8119,497,NA,NA,NA
-8126,498,NA,NA,NA
-8149,499,NA,NA,NA
-8187,500,NA,NA,NA
-8225,501,NA,NA,NA
-8262,502,NA,NA,NA
-8300,503,NA,NA,NA
-8338,504,NA,NA,NA
-8375,505,NA,NA,NA
-8413,506,NA,NA,NA
-8451,507,NA,NA,NA
-8489,508,NA,NA,NA
-8526,509,NA,NA,NA
-8564,510,NA,NA,NA
-8602,511,NA,NA,NA
-8639,512,NA,NA,NA
-8677,513,NA,NA,NA
-8715,514,NA,NA,NA
-8753,515,NA,NA,NA
-8790,516,NA,NA,NA
-8828,517,NA,NA,NA
-8866,518,NA,NA,NA
-8904,519,NA,NA,NA
-8941,520,NA,NA,NA
-8979,521,NA,NA,NA
-9017,522,NA,NA,NA
-9054,523,NA,NA,NA
-9092,524,NA,NA,NA
-9130,525,NA,NA,NA
-9168,526,NA,NA,NA
-9205,527,NA,NA,NA
-9243,528,NA,NA,NA
-9281,529,NA,NA,NA
-9319,530,NA,NA,NA
-9356,531,NA,NA,NA
-9394,532,NA,NA,NA
-9432,533,NA,NA,NA
-9469,534,NA,NA,NA
-9507,535,NA,NA,NA
-9809,543,NA,NA,NA
-9847,544,NA,NA,NA
-9884,545,NA,NA,NA
-9922,546,NA,NA,NA
-9960,547,NA,NA,NA
-9998,548,NA,NA,NA
-10035,549,NA,NA,NA
-10073,550,NA,NA,NA
-10111,551,NA,NA,NA
-10148,552,NA,NA,NA
-10186,553,NA,NA,NA
-10224,554,NA,NA,NA
-10262,555,NA,NA,NA
-10299,556,NA,NA,NA
-10337,557,NA,NA,NA
-10375,558,NA,NA,NA
-10413,559,NA,NA,NA
-10450,560,NA,NA,NA
-10488,561,NA,NA,NA
-10526,562,NA,NA,NA
-10563,563,NA,NA,NA
-10601,564,NA,NA,NA
-10639,565,NA,NA,NA
-10677,566,NA,NA,NA
-10714,567,NA,NA,NA
