year (CE),d18O (per mil)
1969.75,-1.7865
1969.583333,-2.217
1969.416666,-2.72
1969.25,-2.69
1969.083333,-2.398
1968.916666,-1.358
1968.75,-1.564
1968.583333,-2.317
1968.416666,-2.3215
1968.25,-2.83
1968.083333,-2.489
1967.958333,-2.225
1967.833333,-1.335
1967.708333,-1.846
1967.583333,-2.909
1967.416666,-2.818
1967.25,-2.608
1967.083333,-2.046
1966.983333,-1.729
1966.883333,-1.4905
1966.783333,-1.767
1966.683333,-2.035
1966.583333,-2.26
1966.375,-2.79
1966.166666,-2.084
1965.999999,-1.117
1965.833333,-1.183
1965.666666,-1.781
1965.375,-2.498
1965.083333,-1.94
1964.833333,-1.232
1964.583333,-2.034
1964.333333,-2.515
1964.083333,-2.231
1963.916667,-1.287
1963.75,-2.37
1963.604167,-2.189
1963.458333,-2.568
1963.3125,-2.859
1963.166666,-1.267
1962.875,-1.734
1962.583333,-2.1
1962.444444,-2.557
1962.305555,-2.7405
1962.166666,-2.404
1961.972222,-1.63
1961.777777,-1.975
1961.583333,-1.857
1961.458333,-2.527
1961.333333,-2.365
1961.208333,-2.136
1961.083333,-1.597
1960.916666,-1.607
1960.75,-2.183
1960.583333,-2.0805
1960.479166,-2.458
1960.375,-2.125
1960.270833,-2.125
1960.166666,-2.207
1960.041666,-1.665
1959.916666,-1.455
1959.791666,-1.676
1959.666666,-2.0735
1959.597222,-1.931
1959.527777,-2.183
1959.458333,-2.259
1959.388889,-2.324
1959.319444,-2.242
1959.25,-1.675
1959.055555,-1.292
1958.861111,-1.3725
1958.666666,-1.541
1958.520833,-1.977
1958.375,-2.68
1958.229166,-3.081
1958.083333,-1.77
1957.944444,-0.893
1957.805555,-1.746
1957.666666,-3.14
1957.375,-3.56
1957.083333,-2.642
1956.916666,-1.614
1956.75,-1.232
1956.583333,-2.158
1956.416666,-3.301
1956.25,-1.963
1956.083333,-1.84
1955.944444,-1.244
1955.805555,-1.874
1955.666666,-2.952
1955.416666,-2.694
1955.166666,-2.371
1954.944444,-1.214
1954.722222,-1.658
1954.5,-2.42
1954.361111,-2.988
1954.222222,-2.095
1954.083333,-1.4875
1953.875,-1.785
1953.666666,-2.189
1953.472222,-2.865
1953.277777,-2.605
1953.083333,-1.718
1952.833333,-1.389
1952.583333,-1.961
1952.416666,-2.019
1952.25,-2.602
1952.083333,-2.293
1951.979166,-2.1
1951.875,-1.03
1951.770833,-1.082
1951.666666,-1.604
1951.583333,-2.145
1951.499999,-2.09
1951.416666,-2.621
1951.333333,-2.893
1951.25,-2.672
1951.166666,-2.242
1951.083333,-2.248
1950.979166,-1.558
1950.875,-1.444
1950.770833,-1.831
1950.666666,-2.191
1950.520833,-2.18
1950.375,-2.4595
1950.229166,-2.477
1950.083333,-2.375
1950,-1.929
1949.916666,-1.754
1949.833333,-1.642
1949.75,-1.826
1949.666666,-1.932
1949.583333,-2.165
1949.5,-2.549
1949.416666,-2.679
1949.333333,-2.251
1949.249999,-1.759
1949.166666,-1.61
1948.972222,-1.764
1948.777777,-1.592
1948.583333,-1.7745
1948.479166,-2.028
1948.375,-2.498
1948.270833,-1.961
1948.166666,-1.509
1947.916666,-1.348
1947.666666,-2.097
1947.527777,-2.633
1947.388889,-2.1255
1947.25,-1.704
1947.055555,-1.631
1946.861111,-1.489
1946.666666,-1.712
1946.541666,-2.127
1946.416666,-2.407
1946.291666,-2.215
1946.166666,-1.979
1945.916666,-1.517
1945.666666,-1.378
1945.520833,-2.075
1945.375,-2.758
1945.229166,-2.877
1945.083333,-2.152
1944.972222,-1.356
1944.861111,-1.366
1944.75,-2.354
1944.555555,-2.804
1944.361111,-1.8055
1944.166666,-1.18
1944.020833,-0.881
1943.875,-1.16
1943.729166,-0.98
1943.583333,-1.174
1943.416666,-2.175
1943.25,-2.927
1943.083333,-2.0985
1942.944444,-1.125
1942.805555,-1.745
1942.666666,-1.916
1942.375,-2.263
1942.083333,-1.4
1941.666666,-1.102
1941.541666,-2.361
1941.416666,-1.581
1941.291666,-2.399
1941.166666,-2.37
1940.972222,-1.678
1940.777777,-2.037
1940.583333,-2.557
1940.444444,-2.973
1940.305555,-2.208
1940.166666,-1.549
1939.875,-1.507
1939.583333,-1.772
1939.458333,-1.9745
1939.333333,-2.181
1939.208333,-1.967
1939.083333,-1.837
1938.958333,-1.324
1938.833333,-1.151
1938.708333,-1.561
1938.583333,-1.715
1938.483333,-1.858
1938.383333,-1.862
1938.283333,-2.571
1938.183333,-2.774
1938.083333,-1.728
1937.833333,-1.601
1937.583333,-2.502
1937.416666,-3.118
1937.25,-3.024
1937.083333,-2.186
1936.916666,-1.768
1936.75,-2.043
1936.583333,-2.534
1936.333333,-2.626
1936.083333,-2.528
1936,-2.158
1935.916666,-1.751
1935.833333,-1.912
1935.75,-2.343
1935.666666,-2.614
1935.583333,-2.768
1935.333333,-2.669
1935.083333,-2.1
1934.958333,-1.907
1934.833333,-2.009
1934.708333,-2.455
1934.583333,-2.605
1934.416666,-2.804
1934.25,-2.759
1934.083333,-2.086
1933.979166,-1.435
1933.875,-1.889
1933.770833,-2.882
1933.666666,-2.751
1933.472222,-2.628
1933.277777,-2.52
1933.083333,-2.19
1932.979166,-1.507
1932.875,-1.149
1932.770833,-1.614
1932.666666,-1.602
1932.549999,-2.467
1932.433333,-2.665
1932.316666,-2.6775
1932.2,-2.437
1932.083333,-2.118
1931.833333,-1.907
1931.583333,-2.078
1931.458333,-2.437
1931.333333,-2.803
1931.208333,-2.77
1931.083333,-2.584
1930.583333,-2.899
1930.483333,-2.914
1930.383333,-2.535
1930.283333,-2.321
1930.183333,-1.988
1930.083333,-1.171
1929.875,-1.788
1929.666666,-1.999
1929.499999,-2.331
1929.333333,-2.406
1929.166666,-1.607
1928.972222,-1.15
1928.777777,-1.758
1928.583333,-2.023
1928.291667,-2.232
1928,-2.029
1927.888889,-1.537
1927.777777,-1.157
1927.666666,-2.2115
1927.499999,-2.609
1927.333333,-2.68
1927.166666,-1.719
1926.875,-1.375
1926.583333,-2.112
1926.333333,-2.705
1926.083333,-1.763
1925.875,-1.54
1925.666666,-1.85
1925.499999,-2.828
1925.333333,-2.827
1925.166666,-2.211
1924.875,-0.97
1924.583333,-1.734
1924.444444,-2.153
1924.305555,-2.0805
1924.166666,-0.896
1923.916666,-1.551
1923.666666,-1.779
1923.375,-2.091
1923.083333,-1.775
1922.916666,-0.842
1922.75,-0.785
1922.583333,-1.544
1922.416666,-2.335
1922.25,-1.582
1922.083333,-1.2185
1921.583333,-1.185
1921.416666,-1.8
1921.25,-2.498
1921.083333,-1.464
1920.791667,-0.699
1920.5,-1.687
1920.333333,-2.505
1920.166666,-2.2765
1919.972222,-1.194
1919.777777,-1.261
1919.583333,-1.591
1919.444444,-2.018
1919.305555,-2.334
1919.166666,-0.988
1918.916666,-0.74
1918.666666,-1.479
1918.566666,-1.833
1918.466666,-2.019
1918.366666,-1.9
1918.266666,-1.67
1918.166666,-1.338
1917.944444,-0.951
1917.722222,-1.024
1917.5,-1.336
1917.388889,-1.736
1917.277777,-2.137
1917.166666,-2.36
1917.083333,-1.741
1916.999999,-1.419
1916.916666,-1.102
1916.833333,-1.259
1916.749999,-1.453
1916.666666,-2
1916.375,-2.326
1916.083333,-2.511
1915.944444,-1.018
1915.805555,-1.192
1915.666666,-1.61
1915.416666,-1.924
1915.166666,-1.814
1915.020833,-1.339
1914.875,-1.439
1914.729166,-1.4935
1914.583333,-1.699
1914.416666,-1.008
1914.333333,-1.736
1914.249999,-1.787
1914.166666,-1.482
1914.066666,-1.296
1913.966666,-1.2055
1913.866666,-1.629
1913.766666,-1.738
1913.666666,-1.979
1913.499999,-2.108
1913.333333,-1.938
1913.166666,-1.516
1913.049999,-1.074
1912.933333,-1.321
1912.816666,-1.398
1912.7,-1.391
1912.583333,-1.893
1912.291667,-1.944
1912,-1.726
1911.861111,-1.202
1911.722222,-1.158
1911.583333,-1.742
1911.483333,-2.015
1911.383333,-1.936
1911.283333,-2.0165
1911.183333,-2.387
1911.083333,-2.09
1911.013889,-1.455
1910.944444,-1.124
1910.875,-0.826
1910.805555,-0.787
1910.736111,-1.381
1910.666666,-1.5465
1910.541666,-1.872
1910.416666,-2.215
1910.291666,-2.089
1910.166666,-1.433
1910.066666,-0.954
1909.966666,-1.113
1909.866666,-1.714
1909.766666,-1.3695
1909.666666,-2.441
1909.083333,-1.937
1908.916666,-0.849
1908.75,-1.388
1908.583333,-2.188
1908.375,-2.284
1908.166666,-1.573
1907.875,-0.577
1907.583333,-1.57
1907.333333,-2.031
1907.083333,-1.662
1906.888889,-1.043
1906.694444,-1.527
1906.5,-2.117
1906.333333,-2.236
1906.166666,-1.2
1905.875,-0.696
1905.583333,-1.724
1905.416666,-1.6445
1905.25,-1.679
1905.083333,-1.3
1904.944444,-0.859
1904.805555,-1.479
1904.666666,-1.752
1904.520833,-1.927
1904.375,-1.857
1904.229166,-1.4545
1904.083333,-0.776
1903.833333,-0.596
1903.583333,-1.467
1903.416666,-1.88
1903.25,-1.367
1903.083333,-1.077
1902.958333,-1.046
1902.833333,-1.4085
1902.708333,-1.699
1902.583333,-1.91
1902.444444,-1.832
1902.305555,-1.545
1902.166666,-1.279
1901.972222,-0.77
1901.777777,-1.177
1901.583333,-1.432
1901.444444,-1.51
1901.305555,-1.201
1901.166666,-1.211
1901.069444,-1.313
1900.972222,-1.268
1900.875,-1.415
1900.777777,-1.597
1900.680555,-1.626
1900.583333,-1.72
1900.458333,-1.792
1900.333333,-2.2025
1900.208333,-2.144
1900.083333,-1.301
1899.983333,-0.634
1899.883333,-0.833
1899.783333,-1.399
1899.683333,-1.642
1899.583333,-1.824
1899.483333,-2.027
1899.383333,-2.142
1899.283333,-2.062
1899.183333,-1.655
1899.083333,-1.327
1899,-1.094
1898.916666,-1.087
1898.833333,-1.239
1898.749999,-1.439
1898.666666,-1.48
1898.472222,-1.714
1898.277777,-1.762
1898.083333,-1.75
1897.916666,-1.329
1897.75,-1.109
1897.583333,-1.835
1897.333333,-1.6625
1897.083333,-1.609
1897,-1.451
1896.916666,-0.992
1896.833333,-0.526
1896.749999,-1.442
1896.666666,-1.475
1896.416666,-2.205
1896.166666,-1.203
1895.916666,-0.586
1895.666666,-1.594
1895.541666,-1.752
1895.416667,-2.045
1895.291667,-2.095
1895.166667,-1.474
1895.069445,-1.051
1894.972222,-1.04
1894.875,-1.481
1894.777778,-1.525
1894.583333,-1.039
1894.479167,-1.23
1894.375,-2.417
1894.270834,-2.988
1894.166667,-1.487
1893.875,-0.92
1893.583333,-1.415
1893.333333,-2.6525
1893.083333,-1.56
1892.833333,-0.563
1892.583333,-1.658
1892.333333,-1.83
1892.083333,-0.706
1891.833333,-1.2
1891.583333,-2.118
1891.375,-2.2585
1891.166667,-1.657
1891.041667,-1.373
1890.916667,-1.314
1890.791667,-2
1890.666667,-2.103
1890.375,-1.844
1890.083333,-1.626
1889.888889,-1.127
1889.694444,-1.13
1889.5,-1.505
1889.361111,-1.983
1889.222222,-1.931
1889.083333,-1.192
1888.875,-0.877
1888.666667,-1.431
1888.55,-1.564
1888.433333,-1.858
1888.316667,-2.288
1888.2,-2.212
1888.083333,-2.067
1888.027777,-1.636
1887.972222,-1.154
1887.916666,-1.124
1887.861111,-1.115
1887.805555,-0.939
1887.75,-1.077
1887.694444,-1.3025
1887.638889,-1.512
1887.583333,-1.41
1887.483333,-1.676
1887.383333,-1.444
1887.283333,-1.409
1887.183333,-1.784
1887.083333,-1.376
1886.888889,-0.4635
1886.694444,-0.643
1886.5,-1.719
1886.291667,-1.881
1886.083333,-0.253
1885.583333,-1.184
1885.375,-2.228
1885.270834,-2.266
1885.166667,-1.8
1885,-0.735
1884.833334,-1.808
1884.666667,-2.063
1884.520834,-2.239
1884.375,-2.246
1884.229167,-1.682
1884.083333,-1.318
1883.983333,-0.961
1883.883333,-0.6
1883.783333,-1.074
1883.683333,-1.659
1883.583333,-1.668
