Year (CE) (unitless) [1-1],d18O (per mil) [1-1],Sr/Ca (mmol/mol) [1-1],Year (CE) (unitless) [1-2],d18O (per mil) [1-2],Sr/Ca (mmol/mol) [1-2]
1961.63,NA,8.9422,1961.63,-5.1612,8.7913
1961.71,NA,8.9924,1961.71,-4.5239,8.9402
1961.79,NA,9.0425,1961.79,-4.5606,8.9914
1961.88,NA,9.0927,1961.88,-4.5622,9.0353
1961.96,NA,9.1311,1961.96,-4.491,9.0255
1962.04,-4.1339,9.1278,1962.04,-4.9463,8.9388
1962.13,-3.5466,9.1315,1962.13,-5.1408,8.8792
1962.21,-3.109,9.1296,1962.21,-5.0332,8.8421
1962.29,-3.6884,9.0901,1962.29,-5.0437,8.8199
1962.38,-4.3106,8.9521,1962.38,-5.0541,8.7977
1962.46,-4.4161,8.9497,1962.46,-5.0646,8.7755
1962.54,-4.4736,8.9484,1962.54,-5.1742,8.7924
1962.63,-4.211,8.9532,1962.63,-5.2126,8.8304
1962.71,-3.9485,8.9581,1962.71,-4.7099,8.8632
1962.79,-3.6219,9.0578,1962.79,-4.4395,8.9572
1962.88,-3.5864,9.1101,1962.88,-4.5552,9.0379
1962.96,-3.7969,9.1395,1962.96,-4.798,8.9756
1963.04,-4.0353,9.1676,1963.04,-4.9781,8.9243
1963.13,-4.4372,9.1957,1963.13,-5.0944,8.8741
1963.21,-4.6088,9.175,1963.21,-5.1212,8.8377
1963.29,-4.7726,9.1526,1963.29,-5.1479,8.8012
1963.38,-5.0995,9.148,1963.38,-5.1986,8.8936
1963.46,-5.2399,9.145,1963.46,-5.1849,8.8181
1963.54,-4.6704,9.1419,1963.54,-4.8598,8.7848
1963.63,-4.111,9.1433,1963.63,-4.829,8.812
1963.71,-3.5597,9.1474,1963.71,-4.7475,8.8684
1963.79,-3.9546,9.0943,1963.79,-4.6804,9.0025
1963.88,-4.1711,9.1239,1963.88,-4.672,8.9584
1963.96,-4.2866,9.1478,1963.96,-4.6036,9.0646
1964.04,-4.4041,9.1702,1964.04,-4.6652,8.9669
1964.13,-4.4092,9.1858,1964.13,-4.528,8.8767
1964.21,-4.0121,9.1708,1964.21,-4.814,8.8542
1964.29,-4.3014,9.0887,1964.29,-4.987,8.8285
1964.38,-4.4801,9.0357,1964.38,-5.1214,8.8189
1964.46,-4.5447,9.0236,1964.46,-4.7327,8.7746
1964.54,-4.5662,9.0428,1964.54,-4.7723,8.7797
1964.63,-4.5877,9.0621,1964.63,-4.7689,8.8254
1964.71,-4.6092,9.0814,1964.71,-4.3484,8.925
1964.79,-4.6307,9.1007,1964.79,-4.5423,9.0253
1964.88,-4.6503,9.12,1964.88,-4.4635,9.0713
1964.96,-3.9156,9.1815,1964.96,-4.4565,8.9949
1965.04,-2.9239,9.2911,1965.04,-4.4904,8.9493
1965.13,-2.7463,9.2417,1965.13,-4.9992,8.839
1965.21,-2.8836,9.2008,1965.21,-5.1847,8.825
1965.29,-2.9396,9.11,1965.29,-5.2328,8.8107
1965.38,-2.9957,9.0193,1965.38,-5.2498,8.8171
1965.46,-3.0361,8.9931,1965.46,-5.1706,8.8024
1965.54,-3.067,9.0064,1965.54,-5.0653,8.7847
1965.63,-3.0979,9.0196,1965.63,-4.9669,8.8114
1965.71,-3.1289,9.0329,1965.71,-4.8686,8.8555
1965.79,-3.1598,9.0462,1965.79,-4.4201,8.989
1965.88,-3.9202,9.1047,1965.88,-4.3338,9.0822
1965.96,-4.4497,9.1244,1965.96,-4.4704,9.0327
1966.04,-4.4524,9.1709,1966.04,-4.6101,8.9835
1966.13,-4.5207,9.2105,1966.13,-4.9289,8.8844
1966.21,-3.128,9.1178,1966.21,-5.2984,8.7956
1966.29,-4.4962,9.0044,1966.29,-5.3046,8.7791
1966.38,-4.1813,8.9796,1966.38,-5.3122,8.7733
1966.46,-3.8663,8.9548,1966.46,-5.1564,8.7433
1966.54,-3.5514,8.93,1966.54,-5.064,8.7477
1966.63,-3.2197,8.907,1966.63,-4.9508,8.7689
1966.71,-2.6707,8.9812,1966.71,-4.6906,8.8433
1966.79,-3.0235,9.0057,1966.79,-4.4428,8.9067
1966.88,-3.3764,9.0302,1966.88,-4.3376,8.9839
1966.96,-3.7292,9.0546,1966.96,-4.2506,9.0561
1967.04,-4.0821,9.0791,1967.04,-4.3095,9.0349
1967.13,-4.2788,9.0901,1967.13,-4.5277,8.9842
1967.21,-4.2347,9.0802,1967.21,-4.8808,8.8411
1967.29,-4.2078,9.0493,1967.29,-5.0143,8.796
1967.38,-4.2394,8.9532,1967.38,-5.0575,8.7771
1967.46,-4.3348,8.9879,1967.46,-5.0083,8.7511
1967.54,-3.9044,8.9916,1967.54,-5.0078,8.7637
1967.63,-3.3588,8.9885,1967.63,-5.0275,8.7924
1967.71,-3.1602,9.0006,1967.71,-4.5453,8.9317
1967.79,-3.3456,9.0298,1967.79,-4.5499,8.9575
1967.88,-3.5185,9.0597,1967.88,-4.5627,8.9773
1967.96,-3.5796,9.097,1967.96,-4.5511,8.9578
1968.04,-3.6408,9.1343,1968.04,-4.5393,8.9381
1968.13,-3.7154,9.1675,1968.13,-4.8882,8.9383
1968.21,-3.9761,9.1436,1968.21,-5.1802,8.855
1968.29,-4.1464,9.1223,1968.29,-5.1943,8.8177
1968.38,-3.8589,9.1138,1968.38,-5.2083,8.7803
1968.46,-3.7106,9.1054,1968.46,-5.2961,8.769
1968.54,-4.1572,9.097,1968.54,-5.4954,8.8102
1968.63,-4.4755,9.0867,1968.63,-5.1793,8.7684
1968.71,-4.3236,9.0698,1968.71,-4.9162,8.8242
1968.79,-4.169,9.0693,1968.79,-4.6256,8.9768
1968.88,-4.0061,9.1204,1968.88,-4.5676,8.9982
1968.96,-3.8432,9.1715,1968.96,-4.6356,9.0021
1969.04,-3.9442,9.1719,1969.04,-5.1411,8.9466
1969.13,-4.1209,9.1671,1969.13,-5.2241,8.8602
1969.21,-4.1637,9.1034,1969.21,-5.3883,8.8746
1969.29,-4.2065,9.0397,1969.29,-5.2571,8.8585
1969.38,-4.3416,8.9977,1969.38,-5.065,8.8409
1969.46,-4.5632,8.976,1969.46,-5.0049,8.8456
1969.54,-4.7849,8.9542,1969.54,-5.0071,8.8308
1969.63,-4.4693,8.9605,1969.63,-4.9579,8.8399
1969.71,-4.4972,8.9692,1969.71,-4.6734,8.8552
1969.79,-4.9997,8.9778,1969.79,-4.5673,8.9334
1969.88,-3.618,9.139,1969.88,-4.4595,9.0385
1969.96,-3.5555,9.1685,1969.96,-4.6732,9.0251
1970.04,-3.4931,9.1981,1970.04,-4.8799,8.9687
1970.13,-3.4203,9.2221,1970.13,-4.8645,8.8857
1970.21,-4.0214,9.1307,1970.21,-5.1533,8.857
1970.29,-4.1666,9.0911,1970.29,-5.1253,8.8702
1970.38,-4.3118,9.0516,1970.38,-5.0124,8.845
1970.46,-4.457,9.012,1970.46,-5.0357,8.8681
1970.54,-4.6428,9.0534,1970.54,-5.0887,8.875
1970.63,-4.8331,9.1039,1970.63,-5.1529,8.8242
1970.71,-4.9279,9.1371,1970.71,-4.63,8.9026
1970.79,-4.6716,9.1068,1970.79,-4.3555,9.0347
1970.88,-4.4153,9.0765,1970.88,-4.3061,9.0844
1970.96,-3.6775,9.1096,1970.96,-4.2171,9.1275
1971.04,-3.7936,9.2188,1971.04,-4.4821,8.9725
1971.13,-3.2844,9.3205,1971.13,-5.3926,8.8889
1971.21,-3.8626,9.2201,1971.21,-5.3322,8.8822
1971.29,-4.3133,9.1498,1971.29,-5.4267,8.8331
1971.38,-4.1707,9.0111,1971.38,-5.2827,8.8226
1971.46,-3.8344,8.9976,1971.46,-5.189,8.8171
1971.54,-3.6685,8.9896,1971.54,-5.1997,8.8129
1971.63,-4.1321,9.001,1971.63,-4.5863,8.821
1971.71,-3.6535,8.9593,1971.71,-4.5479,8.8963
1971.79,-3.6043,9.0259,1971.79,-4.4973,8.9668
1971.88,-3.6241,9.11,1971.88,-4.3824,9.0448
1971.96,-3.5478,9.194,1971.96,-4.4106,9.0075
1972.04,-3.4781,9.2699,1972.04,-4.5604,8.9367
1972.13,-3.5649,9.2214,1972.13,-4.9044,8.8729
1972.21,-3.6516,9.173,1972.21,-5.0409,8.8145
1972.29,-3.7631,9.0904,1972.29,-4.9942,8.8294
1972.38,-4.161,8.9698,1972.38,-5.5626,8.7971
1972.46,-4.5452,8.9204,1972.46,-5.3294,8.8083
1972.54,-4.4396,8.9329,1972.54,-5.0962,8.8196
1972.63,-4.4193,8.9656,1972.63,-4.8631,8.8309
1972.71,-4.3989,8.9984,1972.71,-4.5768,8.9721
1972.79,-4.3786,9.0311,1972.79,-4.5617,8.9945
1972.88,-4.3583,9.0639,1972.88,-4.5533,9.008
1972.96,-4.1762,9.0649,1972.96,-4.5659,9.0085
1973.04,-3.5751,9.1554,1973.04,-4.6217,8.9823
1973.13,-3.4432,9.2108,1973.13,-4.8652,8.9349
1973.21,-4.3556,9.1075,1973.21,-5.0291,8.8616
1973.29,-3.8333,9.0368,1973.29,-5.0675,8.8103
1973.38,-4.0822,9.0109,1973.38,-5.1735,8.8237
1973.46,-4.3311,8.9851,1973.46,-5.0227,8.7857
1973.54,-4.418,9.022,1973.54,-4.8067,8.7345
1973.63,-4.5267,9.0538,1973.63,-4.6781,8.7463
1973.71,-4.901,9.0204,1973.71,-4.5015,8.8986
1973.79,-4.9604,9.0163,1973.79,-4.3257,8.9541
1973.88,-4.0685,9.0785,1973.88,-4.2984,9.0591
1973.96,-3.417,9.1871,1973.96,-4.2525,9.0349
1974.04,-3.8394,9.3297,1974.04,-4.2412,8.9937
1974.13,-4.0035,9.2689,1974.13,-4.4279,8.9438
1974.21,-4.0917,9.1811,1974.21,-4.4715,8.8613
1974.29,-4.1798,9.0933,1974.29,-4.4511,8.872
1974.38,-4.268,9.0055,1974.38,-4.8932,8.8681
1974.46,-4.3097,8.9555,1974.46,-5.22,8.9127
1974.54,-4.2434,8.9934,1974.54,-4.8535,8.7559
1974.63,-4.3575,9.0565,1974.63,-5.1147,8.7846
1974.71,-4.7727,9.021,1974.71,-4.8934,8.8508
1974.79,-4.9278,9.0273,1974.79,-4.5104,8.9975
1974.88,-4.4731,9.0917,1974.88,-4.4421,9.0248
1974.96,-3.6923,9.1817,1974.96,-4.7495,9.0169
1975.04,-4.0332,9.1964,1975.04,-4.8342,8.9555
1975.13,-4.01,9.1699,1975.13,-5.1185,8.8833
1975.21,-3.967,9.1206,1975.21,-5.0671,8.8244
1975.29,-4.0709,9.0472,1975.29,-5.3035,8.8298
1975.38,-4.0187,9.0011,1975.38,-5.2116,8.7841
1975.46,-4.1608,8.962,1975.46,-5.1057,8.7299
1975.54,-4.5717,8.9293,1975.54,-5.0565,8.7396
1975.63,-5.1041,8.9566,1975.63,-5.0273,8.7719
1975.71,-4.8273,8.9729,1975.71,-4.8493,8.8794
1975.79,-4.1619,8.995,1975.79,-4.5034,8.9478
1975.88,-4.1992,9.0882,1975.88,-4.2717,9.0773
1975.96,-4.1982,9.1054,1975.96,-4.5365,9.052
1976.04,-3.9886,9.1229,1976.04,-4.5904,8.9639
1976.13,-4.2462,9.1336,1976.13,-4.3007,8.8863
1976.21,-3.9938,9.1114,1976.21,-5.0886,8.8778
1976.29,-4.2601,9.0898,1976.29,-4.4974,8.8379
1976.38,-4.6557,8.976,1976.38,-4.4421,8.8225
1976.46,-4.6121,8.8926,1976.46,-4.3867,8.8072
1976.54,-4.5253,8.8889,1976.54,-4.7905,8.8408
1976.63,-4.4779,8.8912,1976.63,-4.0343,8.808
1976.71,-4.7404,8.94,1976.71,-4.3849,8.8802
1976.79,-4.779,8.9888,1976.79,-4.3753,8.9467
1976.88,-4.7827,9.0677,1976.88,-4.1224,9.0016
1976.96,-4.5879,9.1232,1976.96,-4.6247,9.0345
1977.04,-4.1158,9.1151,1977.04,-4.5793,8.9873
1977.13,-4.0813,9.1851,1977.13,-4.5089,8.9373
1977.21,-4.1303,9.1291,1977.21,-4.7497,8.8055
1977.29,-4.1793,9.073,1977.29,-4.8296,8.805
1977.38,-4.2284,9.017,1977.38,-4.8347,8.7672
1977.46,-4.8139,8.9694,1977.46,-4.8248,8.7721
1977.54,-4.4897,8.9957,1977.54,-4.8511,8.7767
1977.63,-4.1655,9.0221,1977.63,-4.7788,8.7831
1977.71,-4.1831,9.0214,1977.71,-4.7431,8.8701
1977.79,-4.2455,9.017,1977.79,-4.3238,9.0033
1977.88,-4.2899,9.0722,1977.88,-4.2349,9.0468
1977.96,-4.3272,9.151,1977.96,-4.3002,9.0211
1978.04,-4.3644,9.2297,1978.04,-4.6614,8.9837
1978.13,-3.853,9.2918,1978.13,-4.7333,8.9022
1978.21,-3.7249,9.1168,1978.21,-4.544,8.8837
1978.29,-4.0045,9.0855,1978.29,-4.6204,8.8157
1978.38,-4.2257,9.0751,1978.38,-4.648,8.8085
1978.46,-4.4468,9.0683,1978.46,-4.6274,8.7862
1978.54,-4.659,9.063,1978.54,-4.5685,8.7521
1978.63,-4.7759,9.0728,1978.63,-4.8717,8.8235
1978.71,-4.8928,9.0826,1978.71,-4.7048,8.8512
1978.79,-4.7518,9.0965,1978.79,-4.5329,9.0061
1978.88,-4.5967,9.1122,1978.88,-4.6232,9.0516
1978.96,-4.329,9.2058,1978.96,-4.5771,9.0542
1979.04,-3.9886,9.2033,1979.04,-4.635,9.022
1979.13,-3.8038,9.1884,1979.13,-4.6925,8.9896
1979.21,-4.2131,9.129,1979.21,-4.6924,8.8025
1979.29,-4.3707,9.0561,1979.29,-5.1415,8.8179
1979.38,-4.3936,9.0124,1979.38,-5.4104,8.7887
1979.46,-4.524,8.9905,1979.46,-5.3626,8.7381
1979.54,-4.6544,8.9687,1979.54,-5.1391,8.7523
1979.63,-4.5514,8.9861,1979.63,-5.0526,8.7733
1979.71,-4.4313,9.0063,1979.71,-4.504,8.9501
1979.79,-4.3643,9.0403,1979.79,-4.4845,8.9563
1979.88,-4.3928,9.1185,1979.88,-4.4859,8.9728
1979.96,-4.4231,9.1602,1979.96,-4.5117,8.9829
1980.04,-4.3172,9.1821,1980.04,-4.5297,8.9811
1980.13,-4.1994,9.2013,1980.13,-4.5499,8.9575
1980.21,-3.993,9.1295,1980.21,-4.7596,8.9127
1980.29,-4.1013,9.0492,1980.29,-4.8182,8.7278
1980.38,-4.4495,8.9665,1980.38,-4.7916,8.7419
1980.46,-4.7307,8.9478,1980.46,-4.7651,8.756
1980.54,-4.7089,8.9584,1980.54,-4.7386,8.7701
1980.63,-4.6854,8.9691,1980.63,-4.6689,8.8149
1980.71,-4.6619,8.9799,1980.71,-4.5859,8.8694
1980.79,-4.6384,8.9906,1980.79,-4.5269,8.9185
1980.88,-3.7983,9.0674,1980.88,-4.6556,9.0129
1980.96,-3.7946,9.124,1980.96,-4.6559,9.0325
1981.04,-3.8147,9.1863,1981.04,-4.7132,8.9847
1981.13,-3.8716,9.1637,1981.13,-4.6802,8.9488
1981.21,-3.9285,9.1412,1981.21,-4.9441,8.8476
1981.29,-4.0891,9.0836,1981.29,-5.1982,8.7998
1981.38,-4.437,8.9918,1981.38,-4.7658,8.7622
1981.46,-4.6485,8.965,1981.46,-4.8397,8.7609
1981.54,-4.6978,8.9379,1981.54,-4.8964,8.7424
1981.63,-4.7079,8.9543,1981.63,-4.9925,8.7702
1981.71,-4.7223,8.9974,1981.71,-4.8666,8.8215
1981.79,-4.7367,9.0406,1981.79,-4.4543,8.9155
1981.88,-4.7511,9.0837,1981.88,-4.5239,9.0699
1981.96,-3.9015,9.2151,1981.96,-5.3075,9.2427
1982.04,-4.1937,9.036,1982.04,-4.365,9.014
1982.13,-3.9041,9.2159,1982.13,-4.4024,8.9857
1982.21,-4.2133,9.16,1982.21,-4.4397,8.9574
1982.29,-4.5225,9.1042,1982.29,-4.5956,8.8849
1982.38,-4.8318,9.0484000000000009,1982.38,-4.7466,8.7559
1982.46,-4.8097,8.975,1982.46,-5.0232,8.7172
1982.54,-4.4537,8.9801,1982.54,-5.2686,8.7608
1982.63,-4.5505,8.9989,1982.63,-5.107,8.7687
1982.71,-4.6473,9.0176,1982.71,-4.7459,8.8211
1982.79,-4.7441,9.0363,1982.79,-4.7882,8.899
1982.88,-4.4299,9.1033,1982.88,-4.4735,8.8496
1982.96,-4.3453,9.1057,1982.96,-4.3353,8.946
1983.04,-4.1399,9.202,1983.04,-4.1912,9.0603
1983.13,-4.8689,9.0789,1983.13,-4.3767,9.003
1983.21,-4.7114,9.0966,1983.21,-4.5712,8.9185
1983.29,-4.2522,9.0082,1983.29,-4.4837,8.8989
1983.38,-4.2645,8.9706,1983.38,-4.6992,8.8069
1983.46,-4.3392,8.9495,1983.46,-4.7188,8.8139
1983.54,-4.5481,8.9636,1983.54,-4.9135,8.7474
1983.63,-4.757,8.9777,1983.63,-4.9135,8.7871
1983.71,-4.7023,8.9589,1983.71,-4.9151,8.7984000000000009
1983.79,-4.6049,8.9797,1983.79,-4.8734,8.8484
1983.88,-4.4349,9.0871,1983.88,-4.8256,8.9221
1983.96,-4.2649,9.1945,1983.96,-4.4427,9.0871
1984.04,-4.2353,9.1934,1984.04,-4.3889,9.0502
1984.13,-4.2365,9.1684,1984.13,-4.3751,9.0465
1984.21,-4.2376,9.1435,1984.21,-4.5592,9.0086
1984.29,-4.6243,9.1335,1984.29,-4.5381,8.9075
1984.38,-4.7147,8.9692,1984.38,-4.6883,8.8892
1984.46,-5.0571,8.825,1984.46,-4.9345,8.7887
1984.54,-4.8011,8.8569,1984.54,-5.1422,8.8297
1984.63,-4.4285,8.9586,1984.63,-5.0928,8.7827
1984.71,-4.6964,9.012,1984.71,-5.207,8.7626
1984.79,-4.6965,8.9685,1984.79,-5.2103,8.836
1984.88,-4.6338,9.0558,1984.88,-4.9006,8.911
1984.96,-4.571,9.1431,1984.96,-4.9873,8.9872
1985.04,-4.5025,9.221,1985.04,-4.6132,9.043
1985.13,-4.3125,9.1022,1985.13,-4.495,8.9504
1985.21,-4.8358,9.065,1985.21,-4.6379,8.9356
1985.29,-4.8562,9.0242,1985.29,-4.6857,8.905
1985.38,-4.8765,8.9833,1985.38,-4.8059,8.8274
1985.46,-4.8885,9.0073,1985.46,-5.0734,8.839
1985.54,-4.9309,9.0142,1985.54,-4.8956,8.8084
1985.63,-5.0924,8.9026,1985.63,-5.0506,8.8062
1985.71,-5.0111,8.9087,1985.71,-5.0298,8.8447
1985.79,-4.6796,9.0361,1985.79,-4.854,8.8628
1985.88,-4.7906,9.069,1985.88,-4.8804,8.9309
1985.96,-4.3549,9.2068,1985.96,-4.8333,9.0022
1986.04,-4.364,9.3667,1986.04,-4.4036,9.1601
1986.13,-4.3694,9.3078,1986.13,-4.2925,9.0875
1986.21,-4.3746,9.2469,1986.21,-4.5163,9.0229
1986.29,-4.3799,9.186,1986.29,-4.707,8.9698
1986.38,-4.9871,8.986,1986.38,-4.6728,8.8573
1986.46,-4.9986,8.9526,1986.46,-5.1235,8.86
1986.54,-5.0101,8.9192,1986.54,-5.1284,8.8972
1986.63,-5.0215,8.8858,1986.63,-5.2333,8.8261
1986.71,-5.0146,8.9381,1986.71,-5.2785,8.8184
1986.79,-5.0018,9.0178,1986.79,-5.3411,8.8567
1986.88,-4.989,9.0975,1986.88,-4.8953,8.9194
1986.96,-4.64,9.1178,1986.96,-4.6222,9.0056
1987.04,-4.9734,9.2813,1987.04,-4.5516,9.0376
1987.13,-4.9507,9.2966,1987.13,-4.4507,9.0655
1987.21,-4.5223,9.2257,1987.21,-4.5038,8.9528
1987.29,-4.5884,9.0991,1987.29,-4.4659,8.8527
1987.38,-4.9539,9.0807,1987.38,-4.6397,8.8064
1987.46,-4.8891,9.0399,1987.46,-4.9377,8.7788
1987.54,-4.8243,8.9992,1987.54,-4.8979,8.7935
1987.63,-4.7489,8.988,1987.63,-4.9357,8.7899
1987.71,-4.6574,9.0224,1987.71,-4.9999,8.7998
1987.79,-4.566,9.0568,1987.79,-4.8869,8.8053
1987.88,-4.4745,9.0912,1987.88,-4.9584,8.8892
1987.96,-4.383,9.1255,1987.96,-4.8415,9.0034
1988.04,-4.2066,9.1691,1988.04,-4.6063,9.0489
1988.13,-4.2842,9.1247,1988.13,-4.726,8.931
1988.21,-4.6597,9.0314,1988.21,-4.7343,8.9328
1988.29,-4.959,8.9369,1988.29,-4.8246,8.8126
1988.38,-5.0601,8.8551,1988.38,-5.171,8.7787
1988.46,-4.9762,8.9607,1988.46,-5.1581,8.7687
1988.54,-4.9971,8.9842,1988.54,-5.0867000000000004,8.7835
1988.63,-5.1192,8.9278,1988.63,-5.1103,8.7455
1988.71,-5.1748,8.9027,1988.71,-5.026,8.7822
1988.79,-5.0466,8.9641,1988.79,-4.9683,8.8028
1988.88,-4.6654,9.1031,1988.88,-4.9623,8.9082
1988.96,-4.7645,9.1122,1988.96,-4.6921,9.0003
1989.04,-4.8636,9.1212,1989.04,-4.6296,9.0525
1989.13,-4.9627,9.1302,1989.13,-4.5847,9.0659
1989.21,-5.1068,9.1005,1989.21,-4.4884,9.004
1989.29,-5.2805,9.0454,1989.29,-4.6108,8.9141
1989.38,-5.4287,8.9803,1989.38,-4.7975,8.8186
1989.46,-4.9208,8.8923,1989.46,-5.0769,8.7746
1989.54,-4.8428,8.8774,1989.54,-5.1709,8.8106
1989.63,-4.7924,8.9191,1989.63,-5.2974,8.7911
1989.71,-4.742,8.9609,1989.71,-5.5251,8.7623
1989.79,-4.6916,9.0026,1989.79,-5.3883,8.8107
1989.88,-4.3086,9.0372,1989.88,-4.745,8.9034
1989.96,-4.2338,9.0824,1989.96,-4.5922,8.966
1990.04,-4.1825,9.1192,1990.04,-4.3409,9.0097
1990.13,-4.2767,9.1033,1990.13,-4.3423,8.9898
1990.21,-4.3709,9.0874,1990.21,-4.3436,8.9699
1990.29,-4.971,8.987,1990.29,-4.3341,8.9449
1990.38,-4.9553,8.9349,1990.38,-5.32,8.7366
1990.46,-4.9651,8.9071,1990.46,-5.2772,8.7593
1990.54,-5.1503,8.9179,1990.54,-5.1812,8.7496
1990.63,-5.0835,8.9508,1990.63,-5.2633,8.7397
1990.71,-4.5602,9.0094,1990.71,-4.9982,8.7489
1990.79,-4.4404,9.0555,1990.79,-4.8788,8.8541
1990.88,-4.4518,9.0321,1990.88,-4.7033,8.9093
1990.96,-4.2001,9.1075,1990.96,-4.3668,8.9237
