age (BP),year (AD),dD C28 (per mil),compositeDepth (cm),Drilling project (unitless),site/hole (unitless),drive-type (unitless),section (unitless),sample # in section (unitless),top depth in section (cm),bottom depth in section (cm),dry sample mass (g),StDev C28 dD (per mil),n C28 (unitless)
3248,-1299,-164.73,139.1,LQDP05,1F,1H,2,4,18,20,2.073,2.33,3
3393,-1444,-167.58,145.3,LQDP05,1F,1H,2,5,24,26,2.118,2.65,3
3538,-1589,-167.77,151.5,LQDP05,1F,1H,2,6,30,32,2.57,4.51,3
3684,-1735,-171.17,157.7,LQDP05,1F,1H,2,7,36,38,2.499,1.26,3
3829,-1880,-166,164,LQDP05,1F,1H,2,8,42,44,1.829,1.45,3
3975,-2026,-170.55,170.2,LQDP05,1F,1H,2,9,48,50,1.931,0.41,3
4120,-2171,-167.56,176.4,LQDP05,1F,1H,2,10,54,56,2.214,1.92,3
4265,-2316,-170.78,182.6,LQDP05,1F,1H,2,11,60,62,2.384,0.88,3
4411,-2462,-167.67,188.9,LQDP05,1F,1H,2,12,66,68,2.095,1.34,3
4556,-2607,-164.71,195.1,LQDP05,1F,1H,2,13,72,74,1.789,1.65,3
4702,-2753,-162.46,201.3,LQDP05,1F,1H,2,14,78,80,1.799,2.17,3
4847,-2898,-162.62,207.5,LQDP05,1F,1H,2,15,84,86,2.37,1.44,3
4992,-3043,-153.27,213.8,LQDP05,1F,1H,2,16,90,92,2.238,0.73,3
5138,-3189,-159.54,220,LQDP05,1F,1H,2,17,96,98,2.061,0.51,3
5283,-3334,-155.06,226.2,LQDP05,1F,1H,2,18,102,104,2.567,0.99,3
5429,-3480,-173.04,232.5,LQDP05,1F,1H,2,19,108,110,1.902,0.72,3
5574,-3625,-173.79,238.7,LQDP05,1F,1H,2,20,114,116,1.759,0.47,3
5720,-3771,-168,244.9,LQDP05,1F,1H,2,21,120,122,2.531,1.64,3
5865,-3916,-157.2,251.1,LQDP05,1F,1H,2,22,126,128,2.458,1.81,3
6010,-4061,-176.55,257.4,LQDP05,1F,1H,2,23,132,134,1.612,1.08,3
6035,-4086,-168.74,258.4,LQDP05,1F,1H,2,24,128,140,2.431,1.23,3
6301,-4352,-178.14,269.8,LQDP05,1F,1H,2,25,144,146,1.972,0.69,3
6446,-4497,-168.68,276,LQDP05,1F,2H,1,1,0,2,1.829,0.11,3
6726,-4777,-158.38,288,LQDP05,1F,2H,1,2,6,8,2.155,0.96,3
6984,-5035,-170.64,299.1,LQDP05,1F,3H,1,1,0,2,1.586,1.24,3
7134,-5185,-174.76,305.5,LQDP05,1F,3H,1,2,6,8,1.987,0.94,3
7283,-5334,-178.14,311.9,LQDP05,1F,3H,1,3,12,14,1.66,1.77,3
7433,-5484,-181.92,318.3,LQDP05,1F,3H,1,4,18,20,1.791,0.66,3
7582,-5633,-169.42,324.7,LQDP05,1F,3H,1,5,24,26,1.926,1.59,3
7731,-5782,-182.36,331,LQDP05,1F,3H,1,6,30,32,1.657,0.84,3
7881,-5932,-183.06,337.4,LQDP05,1F,3H,1,7,36,38,1.658,0.7,3
8179,-6230,-189.42,350.2,LQDP05,1F,3H,1,9,48,50,1.394,0.86,3
8329,-6380,-181.04,356.6,LQDP05,1F,3H,1,10,54,56,2.053,0.69,3
8478,-6529,-182.48,363,LQDP05,1F,3H,1,11,60,62,1.971,1.68,3
8627,-6678,-183.98,369.4,LQDP05,1F,3H,1,12,66,68,2.095,2.03,3
8777,-6828,-172.37,375.8,LQDP05,1F,3H,1,13,72,74,1.922,4.03,3
8926,-6977,-171.97,382.2,LQDP05,1F,3H,1,14,78,80,1.98,1.38,3
9026,-7077,-162.25,386.5,LQDP05,1F,3H,2,1,0,2,1.944,4.06,3
9175,-7226,-176.88,392.9,LQDP05,1F,3H,2,2,6,8,2.825,3.03,3
9325,-7376,-170.1,399.3,LQDP05,1F,3H,2,3,12,14,2.343,0.8,3
9474,-7525,-190.27,405.7,LQDP05,1F,3H,2,4,18,20,2.072,2.37,3
9485,-7536,-183.02,406.2,LQDP05,1A,2H,1,91,NA,NA,1.368,0.86,3
9560,-7611,-187.3,409.4,LQDP05,1A,2H,1,94,NA,NA,1.174,2.03,4
9710,-7761,-164.73,415.8,LQDP05,1A,2H,1,100,NA,NA,1.176,2.12,3
9784,-7835,-180.37,419,LQDP05,1A,2H,1,103,NA,NA,1.258,0.09,2
9859,-7910,-173.77,422.2,LQDP05,1A,2H,1,106,NA,NA,1.165,0.91,2
9934,-7985,-177.31,425.4,LQDP05,1A,2H,1,109,NA,NA,1.218,1.68,3
10009,-8060,-175.95,428.6,LQDP05,1A,2H,1,112,NA,NA,1.004,1.46,2
10084,-8135,-175.26,431.8,LQDP05,1A,2H,1,115,NA,NA,1.131,3.43,2
10158,-8209,-177.23,435,LQDP05,1A,2H,1,118,NA,NA,0.91,0.46,2
10233,-8284,-183.6,438.2,LQDP05,1A,2H,1,121,NA,NA,1.039,2.24,2
10308,-8359,-186.53,441.4,LQDP05,1A,2H,1,124,NA,NA,1.297,2.01,2
10458,-8509,-183.8,447.8,LQDP05,1A,2H,1,130,NA,NA,1.288,2.34,2
10520,-8571,-186.37,450.5,LQDP05,1A,2H,1,132,NA,NA,0.92,0.19,2
10582,-8633,-180.98,453.1,LQDP05,1A,2H,2,6,NA,NA,0.717,0.54,3
10645,-8696,-179.58,455.8,LQDP05,1A,2H,2,11,NA,NA,0.293,1.47,3
10668,-8719,-186.92,456.8,LQDP05,1A,2H,2,12,NA,NA,0.71,1.25,3
10707,-8758,-177.89,458.5,LQDP05,1A,2H,2,16,NA,NA,1.066,0.86,2
10832,-8883,-172.04,463.8,LQDP05,1A,2H,2,26,NA,NA,1.188,2.89,3
10894,-8945,-178.23,466.5,LQDP05,1A,2H,2,32,NA,NA,0.865,0.45,3
10956,-9007,-178.51,469.1,LQDP05,1A,2H,2,37,NA,NA,1.164,2.31,3
11143,-9194,-172.47,477.1,LQDP05,1A,2H,2,52,NA,NA,1.158,0.98,3
11330,-9381,-165.89,485.2,LQDP05,1A,2H,2,66,NA,NA,1.02,1.89,3
11517,-9568,-143.35,493.2,LQDP05,1A,2H,2,82,NA,NA,1.139,2.6,2
11783,-9834,-161.66,505.4,LQDP05,1A,2H,2,104,NA,NA,1.026,1.32,3
11890,-9941,-144.63,510.8,LQDP05,1A,2H,2,114,NA,NA,1.322,1.07,2
11911,-9962,-149.28,511.8,LQDP05,1A,2H,2,116,NA,NA,1.09,6.54,2
11996,-10047,-157.26,516.1,LQDP05,1A,2H,2,124,NA,NA,1.288,0.72,2
12018,-10069,-152.1,517.2,LQDP05,1A,2H,2,126,NA,NA,1.223,0.64,3
12060,-10111,-151.9,519.3,LQDP05,1A,2H,2,130,NA,NA,1.406,6.29,2
12124,-10175,-144.88,522.5,LQDP05,1A,2H,2,136,NA,NA,1.249,8.28,3
12174,-10225,-179.89,525,LQDP05,1F,5H,1,1,0,2,1.663,1.08,3
12192,-10243,-142.86,525.9,LQDP05,1A,2H,2,142,NA,NA,1.311,12.02,3
12239,-10290,-141.61,528.3,LQDP05,1A,2H,2,146,NA,NA,1.506,0.08,2
12255,-10306,-159.16,529.1,LQDP05,1F,5H,1,2,4,6,3.366,1.57,3
12287,-10338,-143.24,530.6,LQDP05,1A,2H,2,150,NA,NA,1.187,0.72,2
12334,-10385,-148.05,533,LQDP05,1A,2H,2,154,NA,NA,1.209,3.17,3
12336,-10387,-153.05,533.1,LQDP05,1F,5H,1,3,8,10,2.656,3.57,3
12405,-10456,-149.58,536.6,LQDP05,1A,2H,2,160,NA,NA,1.019,1.86,3
12417,-10468,-153.66,537.2,LQDP05,1F,5H,1,4,12,14,3.47,1.4,3
12429,-10480,-150.88,537.8,LQDP05,1A,2H,2,162,NA,NA,0.912,0.9,3
12453,-10504,-146.87,539,LQDP05,1A,2H,2,164,NA,NA,1.215,2.43,3
12477,-10528,-152.36,540.2,LQDP05,1A,2H,2,166,NA,NA,1.07,1.41,3
12499,-10550,-156.28,541.3,LQDP05,1F,5H,1,5,16,18,2.993,3.49,6
12548,-10599,-149.5,543.7,LQDP05,1A,2H,2,171,NA,NA,0.914,2.71,2
12571,-10622,-146.45,544.9,LQDP05,1A,2H,2,173,NA,NA,0.91,2.43,3
12580,-10631,-154.19,545.3,LQDP05,1F,5H,1,6,20,22,3.235,0.69,3
12595,-10646,-156.29,546.1,LQDP05,1A,2H,2,176,NA,NA,1.263,1.89,3
12619,-10670,-152.29,547.3,LQDP05,1A,2H,2,178,NA,NA,1.214,1.68,3
12643,-10694,-144.88,548.5,LQDP05,1A,2H,2,180,NA,NA,1.147,2.3,3
12661,-10712,-152.47,549.4,LQDP05,1F,5H,1,7,24,26,3.043,1.47,3
12666,-10717,-152.49,549.7,LQDP05,1A,2H,2,182,NA,NA,1.204,1.53,3
12690,-10741,-142.94,550.9,LQDP05,1A,2H,2,184,NA,NA,1.103,1.2,3
12714,-10765,-146.31,552,LQDP05,1A,2H,2,186,NA,NA,0.939,3.91,3
12738,-10789,-152.59,553.2,LQDP05,1A,2H,2,188,NA,NA,1.344,0.34,3
12742,-10793,-153.43,553.4,LQDP05,1F,5H,1,8,28,30,2.577,0.66,3
12761,-10812,-152.47,554.4,LQDP05,1A,2H,2,190,NA,NA,1.269,1.22,2
12809,-10860,-155.07,556.8,LQDP05,1A,2H,2,194,NA,NA,1.211,2.53,3
12856,-10907,-147.88,559.2,LQDP05,1A,2H,2,198,NA,NA,0.988,1.57,3
12864,-10915,-153.69,559.5,LQDP05,1F,5H,1,9,34,36,2.686,2.04,3
12880,-10931,-147.49,560.4,LQDP05,1A,2H,2,200,NA,NA,1.074,3.02,3
12939,-10990,-147.04,563.3,LQDP05,1A,2H,2,205,NA,NA,1.081,1.82,3
12945,-10996,-158.45,563.6,LQDP05,1F,5H,1,10,38,40,2.468,0.9,3
12999,-11050,-152.03,566.3,LQDP05,1A,2H,2,210,NA,NA,1.246,1.17,3
13026,-11077,-153.88,567.7,LQDP05,1F,5H,1,11,42,44,3.028,1.07,3
13070,-11121,-154.51,569.9,LQDP05,1A,2H,2,216,NA,NA,1.45,0.91,3
13129,-11180,-163.86,572.8,LQDP05,1A,2H,2,221,NA,NA,1.079,6.43,2
13148,-11199,-160.03,573.7,LQDP05,1F,5H,1,12,48,50,2.76,1.23,4
13189,-11240,-156.26,575.8,LQDP05,1A,2H,2,225,NA,NA,1.209,0.52,3
13236,-11287,-156.51,578.2,LQDP05,1A,2H,2,231,NA,NA,1.181,1.56,3
13269,-11320,-157.59,579.8,LQDP05,1F,5H,1,13,54,56,3.018,4.82,4
13292,-11343,-155.26,581,LQDP05,1A,2H,2,238,NA,NA,1.095,0.45,3
13356,-11407,-162.32,584.2,LQDP05,1A,2H,2,246,NA,NA,1.249,0.61,3
13391,-11442,-167.9,585.9,LQDP05,1F,5H,1,14,60,62,3.058,0.39,3
13412,-11463,-162.47,587,LQDP05,1A,2H,2,253,NA,NA,1.195,0.55,3
13476,-11527,-158.07,590.2,LQDP05,1A,2H,2,261,NA,NA,1.324,1.59,3
13513,-11564,-167.83,592,LQDP05,1F,5H,1,15,66,68,2.623,1.07,3
13532,-11583,-162.11,593,LQDP05,1A,2H,2,268,NA,NA,1.319,1.52,3
13596,-11647,-163.87,596.2,LQDP05,1A,2H,2,276,NA,NA,1.188,0.27,3
13634,-11685,-163.85,598.1,LQDP05,1F,5H,1,16,72,74,2.557,1.79,3
13652,-11703,-160.41,599,LQDP05,1A,2H,2,283,NA,NA,0.983,0.58,3
13716,-11767,-157.59,602.2,LQDP05,1A,2H,2,291,NA,NA,0.985,0.93,3
13756,-11807,-168.83,604.2,LQDP05,1F,5H,1,17,78,80,2.763,1.22,3
13764,-11815,-166.07,604.6,LQDP05,1A,2H,2,297,NA,NA,1.201,1.49,3
13878,-11929,-136.89,610.3,LQDP05,1F,5H,1,18,84,86,2.948,1.61,3
13918,-11969,-110.51,612.3,LQDP05,1F,5H,1,NA,86,88,3.0466,1.74,4
13999,-12050,-150.57,616.4,LQDP05,1F,5H,1,19,90,92,2.953,1.43,3
14040,-12091,-107.41,618.4,LQDP05,1F,5H,1,NA,92,94,2.7124,7.98,5
14121,-12172,-110.56,622.5,LQDP05,1F,5H,1,20,96,98,2.875,1.32,3
14161,-12212,-103.71,624.5,LQDP05,1F,5H,1,NA,98,100,3.6948,1.66,3
14243,-12294,-105.46,628.6,LQDP05,1F,5H,1,21,102,104,2.912,1.39,3
14283,-12334,-88.77,630.6,LQDP05,1F,5H,1,NA,104,106,2.9345,1.24,3
14374,-12425,-90.37,635.2,LQDP05,1F,5H,1,22,108,110.5,3.441,1.5,3
14466,-12517,-90.2,639.7,LQDP05,1F,5H,2,NA,2,4,3.2828,4.35,6
14547,-12598,-80.07,643.8,LQDP05,1F,5H,2,2,6,8,2.867,2.46,3
14668,-12719,-94.22,649.9,LQDP05,1F,5H,2,3,12,14,2.375,1.53,3
14709,-12760,-93.15,651.9,LQDP05,1F,5H,2,NA,14,16,3.0455,1.19,3
14831,-12882,-126.42,658,LQDP05,1F,5H,2,NA,20,22,3.2173,1.16,5
14912,-12963,-140.48,662.1,LQDP05,1F,5H,2,5,24,26,4.371,1.08,3
14952,-13003,-137.08,664.1,LQDP05,1F,5H,2,NA,26,28,2.8609,0.2,3
15033,-13084,-137.18,668.2,LQDP05,1F,5H,2,6,30,32,4.036,2.08,5
15074,-13125,-137.97,670.2,LQDP05,1F,5H,2,NA,32,34,4.5171,1.09,3
15155,-13206,-154.83,674.3,LQDP05,1F,5H,2,7,36,38,4.515,0.37,2
15196,-13247,-137.22,676.3,LQDP05,1F,5H,2,NA,38,40,4.3175,0.84,3
15277,-13328,-168.22,680.4,LQDP05,1F,5H,2,8,42,44,3.703,0.46,2
15398,-13449,-154.6,686.4,LQDP05,1F,5H,2,9,48,50,4.427,1.66,5
15520,-13571,-186.71,692.5,LQDP05,1F,5H,2,10,54,56,4.03,1.01,3
15642,-13693,-188.71,698.6,LQDP05,1F,5H,2,11,60,62,3.674,1.64,3
15763,-13814,-185.68,704.7,LQDP05,1F,5H,2,12,66,68,3.105,5.4,2
16007,-14058,-191.39,716.9,LQDP05,1F,5H,2,14,78,80,3.578,0.52,3
16128,-14179,-195.09,723,LQDP05,1F,5H,2,15,84,86,3.574,1.31,3
16250,-14301,-193.44,729.1,LQDP05,1F,5H,2,16,90,92,3.54,0.54,3
16372,-14423,-191.73,735.2,LQDP05,1F,5H,2,17,96,98,3.055,4.94,4
16493,-14544,-185.56,741.3,LQDP05,1F,5H,2,18,102,104,3.158,2.08,3
16615,-14666,-186.5,747.4,LQDP05,1F,5H,2,19,108,110,3.378,2.07,3
16737,-14788,-170.27,753.5,LQDP05,1F,5H,2,20,114,116,1.96,7.34,5
16858,-14909,-188.64,759.5,LQDP05,1F,5H,2,21,120,122,3.675,2.74,3
16980,-15031,-151.62,765.6,LQDP05,1F,5H,2,22,126,128,3.931,0.15,3
17102,-15153,-169.93,771.7,LQDP05,1F,5H,2,23,132,134,3.391,0.29,3
17223,-15274,-189.79,777.8,LQDP05,1F,5H,2,24,138,140,1.677,2.17,3
17386,-15437,-181.59,785.9,LQDP05,1F,5H,2,25,146,148,1.534,1.41,3
17587,-15638,-211.33,796,LQDP05,1F,6H,1,2,6,8,3.822,1.28,5
17706,-15757,-192.92,802,LQDP05,1F,6H,1,3,12,14,3.255,1.34,3
17826,-15877,-197.22,808,LQDP05,1F,6H,1,4,18,20,3.574,0.76,3
17946,-15997,-208.14,814,LQDP05,1F,6H,1,5,24,26,3.535,1.12,3
18066,-16117,-188.02,820,LQDP05,1F,6H,1,6,30,32,2.751,1.44,3
18186,-16237,-164.19,826,LQDP05,1F,6H,1,7,36,38,4.208,1.79,3
18306,-16357,-163.55,832,LQDP05,1F,6H,1,8,42,44,5.134,0.92,3
18425,-16476,-163.26,838,LQDP05,1F,6H,1,9,48,50,2.319,1.27,3
18545,-16596,-157.15,844,LQDP05,1F,6H,1,10,54,56,3.451,0.3,3
18665,-16716,-177.64,850,LQDP05,1F,6H,1,11,60,62,5.012,1.36,3
19624,-17675,-171.58,898,LQDP05,1F,7X,2,1,0,2,2.573,1.6,4
19713,-17764,-169.29,903.4,LQDP05,1F,7X,2,2,6,8,2.614,0.85,3
19781,-17832,-167.25,908.7,LQDP05,1F,7X,2,3,12,14,4.37,1.16,3
19849,-17900,-168.26,914.1,LQDP05,1F,7X,2,4,18,20,3.755,1.63,3
19917,-17968,-166.27,919.5,LQDP05,1F,7X,2,5,24,26,3.745,1.56,3
19985,-18036,-168.79,924.9,LQDP05,1F,7X,2,6,30,32,3.392,1.62,3
20053,-18104,-171.73,930.2,LQDP05,1F,7X,2,7,36,38,3.736,2.07,3
20121,-18172,-176.03,935.6,LQDP05,1F,7X,2,8,42,44,3.104,0.89,3
20190,-18241,-171.59,941,LQDP05,1F,7X,2,9,48,50,4.467,0.98,3
20258,-18309,-168.54,946.4,LQDP05,1F,7X,2,10,54,56,3.535,1.72,3
20326,-18377,-169.31,951.7,LQDP05,1F,7X,2,11,60,62,3.624,2.25,3
20394,-18445,-169.61,957.1,LQDP05,1F,7X,2,12,66,68,3.934,1.13,3
20462,-18513,-171.9,962.5,LQDP05,1F,7X,2,13,72,74,3.132,7.23,3
20530,-18581,-176.7,967.9,LQDP05,1F,7X,2,14,78,80,4.434,1.85,3
20598,-18649,-176.54,973.2,LQDP05,1F,7X,2,15,84,86,4.397,2.25,3
20666,-18717,-174.98,978.6,LQDP05,1F,7X,2,16,90,92,3.693,1.87,3
20734,-18785,-172.04,984,LQDP05,1F,7X,2,17,96,98,4.66,3.24,3
20802,-18853,-167.03,989.3,LQDP05,1F,7X,2,18,102,104,3.713,1.82,3
20870,-18921,-176.9,994.7,LQDP05,1F,7X,2,19,108,110,3.244,1.19,3
20938,-18989,-162.02,1000.1,LQDP05,1F,7X,2,20,114,116,4.91,1.07,3
21439,-19490,-163.75,1039.6,LQDP05,1F,7X,3,5,24,26,4.331,1.35,3
21644,-19695,-169.39,1055.8,LQDP05,1F,7X,3,8,42,44,5.351,2.42,3
21849,-19900,-166.04,1072,LQDP05,1F,7X,3,11,60,62,4.906,4.63,3
21986,-20037,-171.39,1082.8,LQDP05,1F,7X,3,13,72,74,5.1,1.79,3
22123,-20174,-178.04,1093.6,LQDP05,1F,7X,3,15,84,86,4.759,1.8,3
22191,-20242,-183.01,1099,LQDP05,1F,7X,3,16,90,92,4.455,2.92,3
22259,-20310,-177.97,1104.4,LQDP05,1F,7X,3,17,96,98,3.594,0.55,3
22328,-20379,-177.35,1109.8,LQDP05,1F,7X,3,18,102,104,4.021,0.11,3
22396,-20447,-176.45,1115.2,LQDP05,1F,7X,3,19,108,110,3.933,2.87,3
22465,-20516,-177.2,1120.6,LQDP05,1F,7X,3,20,114,116,4.602,1.74,3
22533,-20584,-176.72,1126,LQDP05,1F,7X,3,21,120,122,4.019,0.6,3
22601,-20652,-175.79,1131.4,LQDP05,1F,7X,3,22,126,128,3.872,1.42,3
22670,-20721,-173.95,1136.8,LQDP05,1F,7X,3,23,132,134,5.01,0.78,3
22807,-20858,-171.74,1147.6,LQDP05,1F,7X,3,25,144,146,3.677,6.43,2
22875,-20926,-175.72,1153,LQDP05,1F,8E,1,1,0,2,4.44,4.48,3
22951,-21002,-183.65,1159,LQDP05,1F,8E,1,2,6,8,4.944,3.1,2
23027,-21078,-174.71,1165,LQDP05,1F,8E,1,3,12,14,4.37,2.16,3
23255,-21306,-166.04,1183,LQDP05,1F,8E,1,6,30,32,3.233,4.16,3
23331,-21382,-173.4,1189,LQDP05,1F,8E,1,7,36,38,3.416,0.24,3
23407,-21458,-162.84,1195,LQDP05,1F,8E,1,8,42,44,3.755,3.58,2
23483,-21534,-160.85,1201,LQDP05,1F,8E,1,9,48,50,3.233,0.64,2
23559,-21610,-161.68,1207,LQDP05,1F,8E,1,10,54,56,3.859,4.08,2
24863,-22914,-164.68,1310,LQDP05,1F,8E,2,2,6,8,4.306,NA,1
25091,-23142,-173.14,1328,LQDP05,1F,8E,2,5,24,26,3.901,0.86,3
26535,-24586,-169.37,1442,LQDP05,1F,8E,2,24,138,140,4.318,1.92,2
27773,-25824,-164.57,1539.7,LQDP05,1F,9X,1,15,84,86,4.155,2.53,2
31602,-29653,-174.76,1842,LQDP05,1F,10E,1,23,132,134,4.793,4.13,2
