year (AD),depth (cm),d18O (permil),d18OUncertainty (permil)
-3157,266.5,-2.42,NA
-3198,268.5,-2.54,NA
-3238,270.5,-2.54,NA
-3279,272.5,-2.27,NA
-3318,274.5,-2.15,NA
-3358,276.5,-2.35,NA
-3397,278.5,-2.58,NA
-3435,280.5,-2.4,NA
-3474,282.5,-2.5,NA
-3512,284.5,-2.42,NA
-3549,286.5,-2.52,NA
-3586,288.5,-2.77,NA
-3622,290.5,-2.515,0.145
-3659,292.5,-2.76,NA
-3694,294.5,-2.82,NA
-3730,296.5,-2.58,NA
-3764,298.5,-2.43,NA
-3799,300.5,-2.43,NA
-3833,302.5,-2.27,NA
-3867,304.5,-2.52,NA
-3899,306.5,-2.5,NA
-3932,308.5,-2.38,NA
-3964,310.5,-2.18,NA
-3996,312.5,-2.43,NA
-4027,314.5,-2.12,NA
-4058,316.5,-2.21,NA
-4088,318.5,-2.23,NA
-4117,320.5,-2.32,NA
-4146,322.5,-2.13,NA
-4175,324.5,-2.31,NA
-4203,326.5,-2.57,NA
-4231,328.5,-2.38,NA
-4258,330.5,-2.31,NA
-4284,332.5,-2.57,NA
-4310,334.5,-2.59,NA
-4336,336.5,-2.74,NA
-4361,338.5,-2.33,NA
-4385,340.5,-2.35,NA
-4410,342.5,-2.58,NA
-4434,344.5,-2.65,NA
-4459,346.5,-2.41,NA
-4483,348.5,-2.46,NA
-4508,350.5,-2.55,NA
-4533,352.5,-2.64,NA
-4558,354.5,-2.41,NA
-4584,356.5,-2.3,NA
-4610,358.5,-2.5,NA
-4637,360.5,-2.48,NA
-4665,362.5,-2.2,NA
-4694,364.5,-2.29,NA
-4723,366.5,-2.46,NA
-4754,368.5,-2.4,NA
-4786,370.5,-2.43,NA
-4819,372.5,-2.69,NA
-4853,374.5,-2.52,NA
-4889,376.5,-2.55,NA
-4926,378.5,-1.99,NA
-4964,380.5,-2.34,NA
-5003,382.5,-2.28,NA
-5043,384.5,-2.45,NA
-5084,386.5,-2.51,NA
-5126,388.5,-2.69,NA
-5169,390.5,-2.55,NA
-5213,392.5,-2.25,NA
-5257,394.5,-2.49,NA
-5302,396.5,-2.55,NA
-5348,398.5,-2.26,NA
-5394,400.5,-2.64,NA
-5440,402.5,-2.41,NA
-5487,404.5,-2.31,NA
-5535,406.5,-2.29,NA
-5582,408.5,-2.49,NA
-5630,410.5,-2.44,NA
-5678,412.5,-2.53,NA
-5726,414.5,-2.57,NA
-5774,416.5,-2.51,NA
-5822,418.5,-2.58,NA
-5870,420.5,-2.48,NA
-5918,422.5,-2.2,NA
-5965,424.5,-2.36,NA
-6013,426.5,-2.22,NA
-6059,428.5,-2.37,NA
-6106,430.5,-2.53,NA
-6152,432.5,-2.67,NA
-6197,434.5,-2.9,NA
-6242,436.5,-2.5,NA
-6286,438.5,-2.45,NA
-6330,440.5,-2.04,NA
-6373,442.5,-1.99,NA
-6416,444.5,-2.45,NA
-6458,446.5,-2.34,NA
-6500,448.5,-2.56,NA
-6541,450.5,-2.42,NA
-6581,452.5,-1.91,NA
-6621,454.5,-2.38,NA
-6661,456.5,-2.38,NA
-6700,458.5,-2.52,NA
-6738,460.5,-2.39,NA
-6776,462.5,-2.12,NA
-6814,464.5,-2.39,NA
-6851,466.5,-2.43,NA
-6887,468.5,-2.33,NA
-6923,470.5,-2.17,NA
-6958,472.5,-2.43,NA
-6994,474.5,-2.43,NA
-7028,476.5,-2.43,NA
-7062,478.5,-2.27,NA
-7096,480.5,-2.53,NA
-7129,482.5,-2.66,NA
-7162,484.5,-2.44,NA
-7194,486.5,-2.62,NA
-7226,488.5,-2.56,NA
-7258,490.5,-2.39,NA
-7289,492.5,-2.56,0.1
-7319,494.5,-2.39,NA
-7349,496.5,-2.41,NA
-7379,498.5,-2.18,NA
-7408,500.5,-2.44,NA
-7437,502.5,-2.77,NA
-7466,504.5,-2.66,NA
-7494,506.5,-2.35,NA
-7522,508.5,-2.56,NA
-7550,510.5,-2.17,NA
-7577,512.5,-2.28,NA
-7603,514.5,-2.43,NA
-7630,516.5,-2.48,NA
-7656,518.5,-2.2,NA
-7682,520.5,-2.49,NA
-7707,522.5,-2.35,NA
-7733,524.5,-2.5,NA
-7758,526.5,-2.45,NA
-7783,528.5,-2.33,NA
-7808,530.5,-2.45,NA
-7832,532.5,-2.41,NA
-7857,534.5,-2.55,NA
-7881,536.5,-2.57,NA
-7905,538.5,-2.44,NA
-7929,540.5,-2.68,NA
-7953,542.5,-2.85,NA
-7977,544.5,-2.6,NA
-8000,546.5,-2.85,NA
-8024,548.5,-2.73,NA
-8047,550.5,-2.59,NA
-8071,552.5,-2.675,0.095
-8095,554.5,-2.92,NA
-8119,556.5,-2.58,NA
-8142,558.5,-2.28,NA
-8166,560.5,-2.44,NA
-8190,562.5,-2.92,0.06
-8214,564.5,-2.9,NA
-8237,566.5,-2.89,NA
-8261,568.5,-2.75,NA
-8286,570.5,-2.7,NA
-8310,572.5,-2.64,NA
-8334,574.5,-2.56,NA
-8359,576.5,-2.83,NA
-8384,578.5,-2.51,NA
-8409,580.5,-2.63,NA
-8434,582.5,-2.75,NA
-8460,584.5,-2.75,NA
-8486,586.5,-2.53,NA
-8512,588.5,-2.61,NA
-8538,590.5,-2.7,NA
-8565,592.5,-2.77,NA
-8592,594.5,-2.57,NA
-8620,596.5,-2.77,NA
-8647,598.5,-2.5,NA
-8675,600.5,-2.67,NA
-8703,602.5,-2.65,NA
-8732,604.5,-2.65,NA
-8762,606.5,-2.65,NA
-8792,608.5,-2.47,NA
-8822,610.5,-2.29,NA
-8853,612.5,-2.35,NA
-8884,614.5,-2.59,NA
-8915,616.5,-2.32,NA
-8947,618.5,-2.32,NA
-8980,620.5,-2.42,NA
-9014,622.5,-2.3,NA
-9047,624.5,-2.14,NA
-9082,626.5,-2.55,NA
-9117,628.5,-2.33,NA
-9152,630.5,-2.61,NA
-9188,632.5,-2.54,NA
-9224,634.5,-2.24,NA
-9261,636.5,-2.38,NA
-9298,638.5,-2.54,NA
-9336,640.5,-2.41,NA
-9374,642.5,-2.63,NA
-9413,644.5,-2.01,NA
-9451,646.5,-2.28,NA
-9490,648.5,-2.44,NA
-9530,650.5,-2.1,NA
-9570,652.5,-2.2,NA
-9610,654.5,-2.04,NA
-9650,656.5,-1.74,NA
-9759,658.5,-2.02,NA
-9798,660.5,-2.04,NA
-9838,662.5,-2.45,NA
-9877,664.5,-2.11,NA
-9917,666.5,-2.09,NA
-9956,668.5,-1.81,NA
-9996,670.5,-1.97,NA
-10035,672.5,-1.945,0.215
-10075,674.5,-1.97,NA
-10114,676.5,-2.08,NA
-10154,678.5,-2.04,NA
-10193,680.5,-1.92,NA
-10233,682.5,-2.105,0.025
-10272,684.5,-1.89,NA
-10312,686.5,-1.97,NA
-10351,688.5,-1.89,NA
-10391,690.5,-1.96,NA
-10431,692.5,-2.035,0.005
-10470,694.5,-2.06,NA
-10510,696.5,-1.81,NA
-10549,698.5,-1.78,NA
-10589,700.5,-1.91,NA
-10628,702.5,-1.82,NA
-10668,704.5,-1.82,NA
-10707,706.5,-2.03,NA
-10747,708.5,-2.04,NA
-10786,710.5,-1.99,NA
-10826,712.5,-2.13,NA
-10865,714.5,-2.17,NA
-10905,716.5,-2.28,NA
-10944,718.5,-2.43,NA
-10984,720.5,-2.23,NA
-11023,722.5,-2.45,NA
-11063,724.5,-2.2,NA
-11102,726.5,-2.43,NA
-11142,728.5,-2.12,NA
-11182,730.5,-2.27,NA
-11221,732.5,-2.08,NA
-11261,734.5,-2.06,NA
-11300,736.5,-2.03,NA
-11340,738.5,-2.03,NA
-11379,740.5,-2.03,NA
-11419,742.5,-2.16,NA
-11458,744.5,-2.21,NA
-11498,746.5,-2.02,NA
-11537,748.5,-2.16,NA
-11577,750.5,-1.99,NA
-11616,752.5,-2.08,NA
-11656,754.5,-2.09,NA
-11695,756.5,-2.08,NA
-11735,758.5,-2.21,NA
-11774,760.5,-2.03,NA
-11814,762.5,-2.21,NA
-11853,764.5,-1.78,NA
-11893,766.5,-2.13,NA
-11932,768.5,-2.2,NA
-11972,770.5,-2.06,NA
-12012,772.5,-2.11,NA
-12051,774.5,-1.96,NA
-12091,776.5,-2.23,NA
-12130,778.5,-2.07,NA
-12170,780.5,-1.9,NA
-12209,782.5,-2.21,NA
-12249,784.5,-1.95,0.01
-12288,786.5,-1.94,NA
-12328,788.5,-1.94,NA
-12367,790.5,-1.8,NA
-12407,792.5,-2.16,NA
-12446,794.5,-1.76,NA
-12486,796.5,-1.87,NA
-12525,798.5,-2,NA
-12565,800.5,-1.89,NA
-12604,802.5,-1.88,NA
-12644,804.5,-1.88,NA
-12683,806.5,-1.8,NA
-12723,808.5,-1.48,NA
-12856,810.5,-1.46,NA
-12990,812.5,-1.62,NA
-13123,814.5,-1.4,NA
-13256,816.5,-1.46,NA
-13389,818.5,-1.41,NA
-13523,820.5,-1.63,NA
-13656,822.5,-1.41,NA
-13789,824.5,-1.48,NA
-13922,826.5,-1.43,NA
-14056,828.5,-1.47,NA
-14189,830.5,-1.52,NA
-14322,832.5,-1.54,0.26
-14456,834.5,-1.26,NA
-14589,836.5,-1.3,NA
-14722,838.5,-1.43,NA
-14855,840.5,-1.33,NA
-14922,841.5,-1.25,NA
-14989,842.5,-1.97,NA
-15055,843.5,-1.27,NA
-15122,844.5,-1.36,NA
-15255,846.5,-1.42,NA
-15388,848.5,-1.19,NA
-15522,850.5,-1.29,NA
-15655,852.5,-1.21,NA
-15788,854.5,-1.15,NA
-15922,856.5,-1.3,NA
-16055,858.5,-1.35,NA
-16188,860.5,-1.28,NA
-16321,862.5,-1.08,NA
-16455,864.5,-1.28,NA
-16588,866.5,-1.27,NA
-16721,868.5,-1.34,NA
-16855,870.5,-1.19,NA
-16988,872.5,-1.33,NA
-17121,874.5,-1.5,NA
-17254,876.5,-1.31,NA
-17388,878.5,-1.46,NA
-17521,880.5,-1.22,NA
-17654,882.5,-1.49,NA
-17787,884.5,-1.24,0.14
-17921,886.5,-1.33,NA
-18054,888.5,-1.2,NA
-18187,890.5,-1.14,NA
-18321,892.5,-1.35,NA
-18454,894.5,-1.24,NA
-18587,896.5,-1.19,NA
-18720,898.5,-1.13,NA
-18854,900.5,-1.27,NA
-18987,902.5,-1.32,NA
-19120,904.5,-1.33,NA
-19253,906.5,-1.29,NA
-19387,908.5,-1.13,NA
-19520,910.5,-1.31,NA
-19653,912.5,-1.21,NA
-19687,913,-1.09,NA
-19787,914.5,-1.37,NA
-19920,916.5,-1.13,NA
-20186,920.5,-1,NA
-20320,922.5,-1.33,NA
-20453,924.5,-1.12,NA
-20586,926.5,-0.96,NA
-20719,928.5,-1.26,NA
-20853,930.5,-1.07,NA
-20986,932.5,-1.445,0.235
-21091,934.5,-1.18,NA
-21195,936.5,-1.39,NA
-21300,938.5,-1.07,NA
-21404,940.5,-1.38,NA
-21492,942.5,-1.13,NA
-21579,944.5,-1.15,NA
-21667,946.5,-1.12,NA
-21754,948.5,-1.28,NA
-21842,950.5,-1.35,NA
-21929,952.5,-1.2,NA
-22017,954.5,-1.31,NA
-22192,958.5,-1.21,NA
-22279,960.5,-1.15,NA
-22367,962.5,-1.31,NA
-22455,964.5,-1.34,NA
-22542,966.5,-1.11,NA
-22630,968.5,-1.3,NA
-22717,970.5,-1.13,NA
-22805,972.5,-1.36,NA
-22892,974.5,-1.28,NA
-22980,976.5,-1.09,NA
-23067,978.5,-1.29,NA
-23155,980.5,-1.22,NA
-23242,982.5,-1.11,NA
-23330,984.5,-1.08,NA
-23418,986.5,-1.39,NA
-23505,988.5,-1.24,NA
-23593,990.5,-1.31,NA
-23680,992.5,-1.3,NA
-23768,994.5,-1.07,NA
-23855,996.5,-1.21,NA
-23943,998.5,-1.27,NA
-24030,1000.5,-1.22,NA
-24118,1002.5,-1.055,0.045
-24205,1004.5,-1.33,NA
-24293,1006.5,-1.36,NA
-24380,1008.5,-1.25,NA
-24468,1010.5,-1.3,NA
-24556,1012.5,-1.24,NA
-24643,1014.5,-1.31,NA
-24731,1016.5,-1.31,NA
-24818,1018.5,-1.3,NA
-24906,1020.5,-1.37,NA
-24993,1022.5,-1.35,NA
-25081,1024.5,-1.3,NA
-25168,1026.5,-1.3,NA
-25256,1028.5,-1.44,NA
-25343,1030.5,-1.46,NA
-25431,1032.5,-1.11,NA
-25520,1034.5,-1.54,NA
-25609,1036.5,-1.32,NA
-25697,1038.5,-1.45,NA
-25786,1040.5,-1.73,NA
-25896,1042.5,-1.615,0.055
-26006,1044.5,-1.47,NA
-26117,1046.5,-1.58,NA
-26227,1048.5,-1.57,NA
-26337,1050.5,-1.32,NA
-26397,1052.5,-1.38,NA
-26458,1054.5,-1.62,NA
-26518,1056.5,-1.42,NA
-26639,1060.5,-1.48,NA
-26699,1062.5,-1.51,NA
-26760,1064.5,-1.47,NA
-26820,1066.5,-1.46,NA
-26881,1068.5,-1.56,NA
-26941,1070.5,-1.69,NA
-27051,1072.5,-1.61,NA
-27160,1074.5,-1.48,NA
-27270,1076.5,-1.41,NA
-27379,1078.5,-1.5,NA
-27489,1080.5,-1.49,NA
-27599,1082.5,-1.45,NA
-27708,1084.5,-1.18,NA
-27818,1086.5,-1.38,NA
-27927,1088.5,-1.44,NA
-28037,1090.5,-1.52,NA
-28146,1092.5,-1.34,NA
-28256,1094.5,-1.66,NA
-28366,1096.5,-1.64,NA
-28475,1098.5,-1.35,NA
-28585,1100.5,-1.46,NA
-28694,1102.5,-1.615,0.045
-28804,1104.5,-1.41,NA
-28914,1106.5,-1.25,NA
-29023,1108.5,-1.52,NA
-29133,1110.5,-1.5,NA
-29242,1112.5,-1.32,NA
-29352,1114.5,-1.41,NA
-29461,1116.5,-1.37,NA
-29571,1118.5,-1.29,NA
-29645,1120.5,-1.54,NA
-29718,1122.5,-1.5,NA
-29792,1124.5,-1.52,NA
-29865,1126.5,-1.47,NA
-29939,1128.5,-1.46,NA
-30012,1130.5,-1.56,NA
-30086,1132.5,-1.56,NA
-30159,1134.5,-1.58,NA
-30233,1136.5,-1.69,NA
-30300,1138.5,-1.62,NA
-30366,1140.5,-1.51,NA
-30433,1142.5,-1.59,NA
-30499,1144.5,-1.49,NA
-30566,1146.5,-1.64,NA
-30632,1148.5,-1.5,NA
-30699,1150.5,-1.53,NA
-30765,1152.5,-1.55,NA
-30832,1154.5,-1.65,NA
-30898,1156.5,-1.52,NA
-30965,1158.5,-1.42,NA
-31031,1160.5,-1.42,NA
-31065,1162.5,-1.48,NA
-31099,1164.5,-1.55,NA
-31132,1166.5,-1.63,NA
-31166,1168.5,-1.52,NA
-31200,1170.5,-1.64,NA
-31234,1172.5,-1.61,NA
-31268,1174.5,-1.64,NA
-31301,1176.5,-1.53,NA
-31335,1178.5,-1.69,NA
-31369,1180.5,-1.84,NA
-31436,1182.5,-1.77,NA
-31503,1184.5,-1.73,NA
-31570,1186.5,-1.77,NA
-31704,1188.5,-1.69,NA
-31838,1190.5,-1.66,NA
-31972,1192.5,-1.57,NA
-32147,1194.5,-1.69,NA
-32322,1196.5,-1.76,NA
-32497,1198.5,-1.68,NA
-32672,1200.5,-1.72,NA
-32847,1202.5,-1.59,NA
-33022,1204.5,-1.79,NA
-33152,1206.5,-1.78,NA
-33282,1208.5,-1.77,NA
-33401,1210.5,-1.71,NA
-33519,1212.5,-1.46,NA
-33638,1214.5,-1.75,NA
-33756,1216.5,-1.44,NA
-33936,1218.5,-1.67,NA
-34116,1220.5,-1.55,NA
-34296,1222.5,-1.67,NA
-34476,1224.5,-1.79,NA
-34575,1226.5,-1.47,NA
-34674,1228.5,-1.62,NA
-34773,1230.5,-1.54,NA
-34872,1232.5,-1.81,NA
-35022,1234.5,-1.62,NA
-35172,1236.5,-1.88,NA
-35321,1238.5,-1.85,NA
-35471,1240.5,-1.77,NA
-35621,1242.5,-1.86,NA
-35771,1244.5,-1.61,NA
-35921,1246.5,-1.9,NA
-36070,1248.5,-1.97,NA
-36220,1250.5,-1.94,NA
-36370,1252.5,-1.985,0.055
-36527,1254.5,-1.89,NA
-36684,1256.5,-1.73,NA
-36840,1258.5,-1.57,NA
-36997,1260.5,-1.46,NA
-37154,1262.5,-1.405,0.125
-37360,1264.5,-1.61,NA
-37566,1266.5,-1.56,NA
-37772,1268.5,-1.64,NA
-37978,1270.5,-1.64,NA
-38184,1272.5,-1.81,NA
-38251,1274.5,-1.66,NA
-38319,1276.5,-1.59,NA
-38386,1278.5,-1.55,NA
-38454,1280.5,-1.65,NA
-38521,1282.5,-1.46,NA
-38589,1284.5,-1.51,NA
-38656,1286.5,-1.43,NA
-38687,1288.5,-1.57,NA
-38718,1290.5,-1.64,NA
-38749,1292.5,-1.48,NA
-38780,1294.5,-1.66,NA
-38811,1296.5,-1.69,NA
-38842,1298.5,-1.57,NA
-38873,1300.5,-1.87,NA
-38925,1302.5,-1.76,NA
-38976,1304.5,-1.73,NA
-39028,1306.5,-1.67,NA
-39079,1308.5,-1.89,NA
-39131,1310.5,-1.82,NA
-39182,1312.5,-1.94,NA
