year (AD) [1-1],depth (mm) [1-1],d18O (permil) [1-1],year (AD) [1-2],depth (mm) [1-2],d18O (permil) [1-2],year (AD) [1-3],depth (mm) [1-3],d18O (permil) [1-3]
-132350,185.5,-8.43,-3670,70,-8.58,-9560,14.83,-8.15
-133150,186,-5.66,-3740,72,-8.57,-9560,15,-7.79
-133850,186.5,-5.69,-3820,74,-8.27,-9570,15.17,-7.94
-134650,187,-3.73,-3890,76,-8.41,-9580,15.33,-7.63
-135350,187.5,-3.63,-3970,78,-9.08,-9580,15.5,-7.95
-135750,188,-4.47,-4040,80,-8.57,-9590,15.67,-8.04
-136250,188.5,-4.06,-4120,82,-8.52,-9600,15.83,-7.69
-136650,189,-3.69,-4190,84,-8.74,-9600,16,-7.07
-137150,189.5,-4.42,-4270,86,-8.68,-9610,16.17,-7.19
-137550,190,-4.1,-4320,88,-8.92,-9620,16.33,-6.99
-138050,190.5,-5.12,-4380,90,-8.94,-9620,16.5,-7.04
-138450,191,-5.4,-4430,92,-8.83,-9630,16.67,-7.34
-139050,191.5,-5.14,-4490,94,-9.26,-9640,16.83,-7.31
-139950,192,-5.01,-4540,96,-9.02,-9640,17,-7.42
-140850,192.5,-4.6,-4600,98,-8.84,-9650,17.17,-7.12
-141750,193,-4.98,-4650,100,-8.8,-9660,17.33,-6.88
-142650,193.5,-5.38,-4710,102,-9.26,-9660,17.5,-6.38
-143550,194,-5.29,-4780,104,-8.89,-9670,17.67,-7.5
-144450,194.5,-5.83,-4850,106,-9.05,-9680,17.83,-7.14
-145350,195,-5.42,-4920,108,-8.82,-9680,18,-7.06
-146250,195.5,-5.79,-5000,110,-8.86,-9690,18.17,-7.21
-147050,196,-5.92,-5070,112,-9.21,-9690,18.33,-7.22
-147350,196.5,-6.93,-5140,114,-9.04,-9700,18.5,-6.88
-147650,197,-6.56,-5220,116,-8.79,-9710,18.67,-6.84
-147950,197.5,-5.88,-5290,118,-8.77,-9710,18.83,-6.67
-148150,198,-6.62,-5360,120,-9.1,-9720,19,-6.7
-148450,198.5,-6.31,-5430,122,-8.84,-9730,19.17,-6.51
-148750,199,-6.15,-5510,124,-9.2,-9730,19.33,-6.98
-149050,199.5,-6.67,-5600,126,-8.96,-9740,19.5,-6.95
-149350,200,-6.03,-5680,128,-8.89,-9750,19.67,-6.89
-149650,200.5,-6.88,-5760,130,-8.87,-9750,19.83,-7.09
-149850,201,-7.11,-5840,132,-8.84,-9760,20,-7.22
-150150,201.5,-7.63,-5920,134,-8.91,-9770,20.17,-7.33
-150450,202,-7.03,-6000,136,-8.82,-9770,20.33,-6.9
-150750,202.5,-7.38,-6080,138,-8.88,-9780,20.5,-6.93
-151050,203,-6.34,-6160,140,-9.09,-9780,20.67,-6.82
-151250,203.5,-6.82,-6240,142,-8.5,-9790,20.83,-6.88
-151550,204,-7.42,-6330,144,-8.46,-9800,21,-6.98
-153050,204.5,-7.9,-6410,146,-9.12,-9800,21.17,-7.03
-156450,205,-6.59,-6500,148,-8.76,-9810,21.33,-6.77
-159750,205.5,-4.88,-6580,150,-8.71,-9810,21.5,-6.73
-161950,206,-4.75,-6670,152,-9.1,-9820,21.67,-6.76
-162350,206.5,-5.12,-6760,154,-8.88,-9830,21.83,-6.73
-162850,207,-5.28,-6840,156,-9.17,-9830,22,-6.67
-163250,207.5,-6.22,-6930,158,-9.27,-9840,22.17,-6.65
-163650,208,-5.5,-7020,160,-9.08,-9840,22.33,-6.64
-164150,208.5,-6.76,-7060,161,-9.33,-9850,22.5,-6.57
-164550,209,-6.24,-7100,162,-9.29,-9860,22.67,-6.78
-165050,209.5,-5.48,-7240,163,-8.59,-9860,22.83,-6.87
-165450,210,-4.61,-7300,163.5,-8.52,-9870,23,-6.97
NA,NA,NA,-7370,164,-8.77,-9870,23.17,-6.91
NA,NA,NA,-7520,164.5,-9.03,-9880,23.33,-7.23
NA,NA,NA,-7640,165,-8.56,-9890,23.5,-7.29
NA,NA,NA,-7750,165.5,-8.94,-9890,23.67,-6.98
NA,NA,NA,-7860,166,-8.83,-9900,23.83,-6.7
NA,NA,NA,-7970,166.5,-9.06,-9900,24,-6.71
NA,NA,NA,9.98,166.8,-8.31,-9910,24.17,-6.56
NA,NA,NA,10,166.9,-8.69,-9920,24.33,-6.55
NA,NA,NA,10.02,167,-8.44,-9920,24.5,-6.64
NA,NA,NA,10.03,167.1,-8.58,-9930,24.67,-6.6
NA,NA,NA,10.05,167.2,-8.93,-9930,24.83,-6.43
NA,NA,NA,10.07,167.3,-8.99,-9940,25,-6.3
NA,NA,NA,10.09,167.4,-9.02,-9950,25.17,-6.29
NA,NA,NA,10.11,167.5,-9.06,-9950,25.33,-6.43
NA,NA,NA,10.13,167.6,-8.8,-9960,25.5,-6.58
NA,NA,NA,10.14,167.7,-8.26,-9960,25.67,-7.06
NA,NA,NA,10.16,167.8,-8.49,-9970,25.83,-6.8
NA,NA,NA,10.18,167.9,-8.59,-9980,26,-6.77
NA,NA,NA,10.2,168,-9.16,-9980,26.17,-6.81
NA,NA,NA,10.22,168.1,-9.15,-9990,26.33,-6.8
NA,NA,NA,10.24,168.2,-8.86,-9990,26.5,-6.79
NA,NA,NA,10.25,168.3,-8.64,-10000,26.67,-6.9
NA,NA,NA,10.27,168.4,-8.9,-10010,26.83,-7.02
NA,NA,NA,10.29,168.5,-8.79,-10010,27,-7.1
NA,NA,NA,10.31,168.6,-8.94,-10020,27.17,-7.08
NA,NA,NA,10.33,168.7,-8.99,-10020,27.33,-7.71
NA,NA,NA,10.35,168.8,-8.65,-10030,27.5,-7.57
NA,NA,NA,10.36,168.9,-9,-10040,27.67,-7.64
NA,NA,NA,10.38,169,-8.9,-10040,27.83,-7.77
NA,NA,NA,10.4,169.1,-8.83,-10050,28,-7.15
NA,NA,NA,10.42,169.2,-8.31,-10050,28.17,-7.28
NA,NA,NA,10.44,169.3,-8.3,-10060,28.33,-7.3
NA,NA,NA,10.46,169.4,-8.61,-10070,28.5,-7.05
NA,NA,NA,10.48,169.5,-8.03,-10070,28.67,-6.89
NA,NA,NA,10.49,169.6,-8.7,-10080,28.83,-6.76
NA,NA,NA,10.51,169.7,-8.86,-10080,29,-6.87
NA,NA,NA,10.53,169.8,-8.92,-10090,29.17,-6.86
NA,NA,NA,10.55,169.9,-8.83,-10100,29.33,-6.97
NA,NA,NA,10.57,170,-9.02,-10100,29.5,-6.57
NA,NA,NA,0,170.1,0,-10110,29.67,-6.88
NA,NA,NA,10.61,170.2,-8.95,-10110,29.83,-7.54
NA,NA,NA,10.63,170.3,-8.69,-10120,30,-6.82
NA,NA,NA,10.65,170.4,-8.77,-10130,30.17,-7.07
NA,NA,NA,10.67,170.5,-9.05,-10130,30.33,-6.84
NA,NA,NA,10.68,170.6,-8.87,-10140,30.5,-6.98
NA,NA,NA,10.7,170.7,-8.2,-10150,30.67,-6.89
NA,NA,NA,10.72,170.8,-8.43,-10160,30.83,-6.73
NA,NA,NA,10.74,170.9,-8.32,-10160,31,-6.52
NA,NA,NA,10.76,171,-8.63,-10170,31.17,-6.29
NA,NA,NA,10.78,171.1,-8.96,-10180,31.33,-6.55
NA,NA,NA,10.8,171.2,-8.9,-10180,31.5,-7.11
NA,NA,NA,10.82,171.3,-8.82,-10190,31.67,-7.33
NA,NA,NA,10.84,171.4,-7.96,-10200,31.83,-7.17
NA,NA,NA,10.86,171.5,-7.75,-10200,32,-6.74
NA,NA,NA,10.87,171.6,-7.7,-10210,32.17,-6.87
NA,NA,NA,10.89,171.7,-7.84,-10220,32.33,-6.21
NA,NA,NA,10.91,171.8,-7.97,-10230,32.5,-6.78
NA,NA,NA,10.93,171.9,-8.11,-10230,32.67,-7.34
NA,NA,NA,10.95,172,-8.23,-10240,32.83,-7.27
NA,NA,NA,10.97,172.1,-8.18,-10250,33,-7.01
NA,NA,NA,10.99,172.2,-8.71,-10250,33.17,-7.13
NA,NA,NA,11.01,172.3,-8.6,-10260,33.33,-6.84
NA,NA,NA,11.03,172.4,-8.42,-10270,33.5,-6.5
NA,NA,NA,11.05,172.5,-8.32,-10270,33.67,-6.24
NA,NA,NA,11.07,172.6,-8.4,-10280,33.83,-6.44
NA,NA,NA,11.08,172.7,-8.63,-10290,34,-6.39
NA,NA,NA,11.1,172.8,-8.38,-10300,34.17,-6.51
NA,NA,NA,11.12,172.9,-8.21,-10300,34.33,-6.36
NA,NA,NA,11.14,173,-8.24,-10310,34.5,-6.38
NA,NA,NA,11.16,173.1,-8.41,-10320,34.67,-6.48
NA,NA,NA,11.18,173.2,-8.61,-10320,34.83,-5.95
NA,NA,NA,11.2,173.3,-7.52,-10330,35,-6.25
NA,NA,NA,11.22,173.4,-7.37,-10340,35.17,-6.67
NA,NA,NA,11.24,173.5,-7.62,-10340,35.33,-6.21
NA,NA,NA,11.26,173.6,-7.95,-10350,35.5,-6.51
NA,NA,NA,11.28,173.7,-8.22,-10360,35.67,-6.82
NA,NA,NA,11.29,173.8,-8,-10370,35.83,-6.75
NA,NA,NA,11.31,173.9,-7.45,-10370,36,-6.8
NA,NA,NA,11.33,174,-7.57,-10380,36.17,-6.88
NA,NA,NA,11.35,174.1,-7.45,-10390,36.33,-6.74
NA,NA,NA,11.37,174.2,-7.76,-10390,36.5,-6.75
NA,NA,NA,11.39,174.3,-7.73,-10400,36.67,-6.63
NA,NA,NA,11.41,174.4,-7.37,-10410,36.83,-6.7
NA,NA,NA,11.43,174.5,-7.44,-10410,37,-7.25
NA,NA,NA,11.45,174.6,-7.36,-10420,37.17,-6.71
NA,NA,NA,11.47,174.7,-7.36,-10430,37.33,-6.32
NA,NA,NA,11.49,174.8,-7.54,-10440,37.5,-6.55
NA,NA,NA,11.5,174.9,-7.42,-10440,37.67,-6.31
NA,NA,NA,11.52,175,-7.42,-10450,37.83,-6.4
NA,NA,NA,11.54,175.1,-7.27,-10460,38,-6.49
NA,NA,NA,11.56,175.2,-6.93,-10460,38.17,-6.24
NA,NA,NA,11.58,175.3,-6.89,-10470,38.33,-6.43
NA,NA,NA,11.6,175.4,-6.85,-10480,38.5,-6.37
NA,NA,NA,11.62,175.5,-6.76,-10480,38.67,-6.42
NA,NA,NA,11.64,175.6,-6.76,-10490,38.83,-6.15
NA,NA,NA,11.66,175.7,-6.86,-10500,39,-5.88
NA,NA,NA,11.68,175.8,-6.8,-10510,39.17,-6.25
NA,NA,NA,11.69,175.9,-6.62,-10510,39.33,-6.39
NA,NA,NA,11.71,176,-6.63,-10520,39.5,-6.48
NA,NA,NA,11.73,176.1,-6.34,-10530,39.67,-6.53
NA,NA,NA,11.75,176.2,-6.29,-10530,39.83,-6.8
NA,NA,NA,11.77,176.3,-6.57,-10540,40,-6.76
NA,NA,NA,11.79,176.4,-6.59,-10550,40.17,-6.83
NA,NA,NA,11.81,176.5,-6.38,-10550,40.33,-6.92
NA,NA,NA,11.83,176.6,-6.12,-10560,40.5,-6.85
NA,NA,NA,11.85,176.7,-6.77,-10570,40.67,-6.92
NA,NA,NA,11.87,176.8,-6.73,-10580,40.83,-6.89
NA,NA,NA,11.89,176.9,-6.89,-10580,41,-6.77
NA,NA,NA,11.9,177,-6.74,-10590,41.17,-6.87
NA,NA,NA,11.92,177.1,-6.66,-10600,41.33,-6.95
NA,NA,NA,11.94,177.2,-6.8,-10600,41.5,-6.91
NA,NA,NA,11.96,177.3,-6.87,-10610,41.67,-6.71
NA,NA,NA,11.98,177.4,-6.63,-10620,41.83,-6.96
NA,NA,NA,12,177.5,-6.87,-10620,42,-6.98
NA,NA,NA,12.02,177.6,-6.45,-10630,42.17,-7.03
NA,NA,NA,12.04,177.7,-6.7,-10640,42.33,-6.94
NA,NA,NA,12.06,177.8,-6.5,-10650,42.5,-6.78
NA,NA,NA,12.08,177.9,-6.84,-10650,42.67,-6.92
NA,NA,NA,12.09,178,-6.49,-10660,42.83,-6.94
NA,NA,NA,12.11,178.1,-6.51,-10670,43,-6.88
NA,NA,NA,12.13,178.2,-6.65,-10670,43.17,-6.91
NA,NA,NA,12.15,178.3,-6.49,-10680,43.33,-7.02
NA,NA,NA,12.18,178.4,-6.6,-10690,43.5,-7.14
NA,NA,NA,12.21,178.5,-6.7,-10690,43.67,-7.19
NA,NA,NA,12.24,178.6,-6.86,-10700,43.83,-7.23
NA,NA,NA,12.27,178.7,-6.96,-10710,44,-7.16
NA,NA,NA,12.3,178.8,-6.31,-10720,44.17,-7.22
NA,NA,NA,12.33,178.9,-6.56,-10720,44.33,-7.25
NA,NA,NA,12.36,179,-6.71,-10730,44.5,-7.12
NA,NA,NA,12.4,179.1,-6.82,-10740,44.67,-7.41
NA,NA,NA,12.43,179.2,-6.8,-10740,44.83,-7.47
NA,NA,NA,12.46,179.3,-6.94,-10750,45,-7.31
NA,NA,NA,12.49,179.4,-6.95,-10760,45.17,-7.25
NA,NA,NA,12.52,179.5,-6.62,-10760,45.33,-7.37
NA,NA,NA,12.55,179.6,-6.48,-10770,45.5,-7.46
NA,NA,NA,12.57,179.7,-6.52,-10780,45.67,-7.46
NA,NA,NA,12.6,179.8,-7.18,-10790,45.83,-7.49
NA,NA,NA,12.63,179.9,-7.28,-10790,46,-7.75
NA,NA,NA,12.66,180,-7.15,-10800,46.17,-7.53
NA,NA,NA,12.69,180.1,-7.29,-10810,46.33,-7.53
NA,NA,NA,12.72,180.2,-7.11,-10810,46.5,-7.6
NA,NA,NA,12.74,180.3,-7.41,-10820,46.67,-7.5
NA,NA,NA,12.77,180.4,-7.49,-10830,46.83,-7.48
NA,NA,NA,12.8,180.5,-7.17,-10830,47,-7.37
NA,NA,NA,12.83,180.6,-7.44,-10840,47.17,-7.35
NA,NA,NA,12.86,180.7,-7.34,-10850,47.33,-7.46
NA,NA,NA,12.88,180.8,-7.47,-10860,47.5,-7.36
NA,NA,NA,12.91,180.9,-7.52,-10860,47.67,-7.5
NA,NA,NA,12.94,181,-6.92,-10870,47.83,-7.43
NA,NA,NA,12.97,181.1,-7.23,-10880,48,-7.46
NA,NA,NA,13,181.2,-7.27,-10880,48.17,-7.39
NA,NA,NA,13,181.3,-7.05,-10890,48.33,-7.5
NA,NA,NA,13.01,181.4,-7.31,-10900,48.5,-7.56
NA,NA,NA,13.02,181.5,-7.85,-10900,48.67,-7.61
NA,NA,NA,13.02,181.6,-7.85,-10910,48.83,-7.68
NA,NA,NA,13.03,181.7,-7.74,-10920,49,-7.54
NA,NA,NA,13.04,181.8,-7.59,-10930,49.17,-7.58
NA,NA,NA,13.04,181.9,-7.57,-10930,49.33,-7.44
NA,NA,NA,13.05,182,-7.53,-10940,49.5,-7.84
NA,NA,NA,13.06,182.1,-7.81,-10950,49.67,-7.78
NA,NA,NA,13.06,182.2,-7.92,-10950,49.83,-7.95
NA,NA,NA,13.07,182.3,-7.88,-10960,50,-7.72
NA,NA,NA,13.07,182.4,-7.85,-10960,50.17,-7.77
NA,NA,NA,13.08,182.5,-8.13,-10970,50.33,-7.87
NA,NA,NA,13.09,182.6,-8.24,-10970,50.5,-8.03
NA,NA,NA,13.09,182.7,-8.1,-10980,50.67,-7.87
NA,NA,NA,13.1,182.8,-8.07,-10980,50.83,-7.78
NA,NA,NA,13.11,182.9,-8.15,-10990,51,-8.02
NA,NA,NA,13.11,183,-8.4,-10990,51.17,-8.03
NA,NA,NA,13.12,183.1,-8.17,-11000,51.33,-7.86
NA,NA,NA,13.13,183.2,-8.38,-11000,51.5,-8.06
NA,NA,NA,13.13,183.3,-8.49,-11010,51.67,-8.06
NA,NA,NA,13.14,183.4,-7.83,-11010,51.83,-8
NA,NA,NA,13.14,183.5,-7.73,-11010,52,-8.1
NA,NA,NA,13.15,183.6,-7.77,-11020,52.17,-8.25
NA,NA,NA,13.16,183.7,-7.85,-11020,52.33,-8.16
NA,NA,NA,13.16,183.8,-7.81,-11030,52.5,-8.33
NA,NA,NA,13.17,183.9,-7.93,-11030,52.67,-8.15
NA,NA,NA,13.19,184,-7.88,-11040,52.83,-8.45
NA,NA,NA,13.2,184.1,-7.87,-11040,53,-8.36
NA,NA,NA,13.22,184.2,-7.81,-11050,53.17,-8.33
NA,NA,NA,13.23,184.3,-8.05,-11050,53.33,-8.59
NA,NA,NA,13.25,184.4,-7.47,-11060,53.5,-8.62
NA,NA,NA,13.26,184.5,-7.86,-11060,53.67,-8.56
NA,NA,NA,13.28,184.6,-7.78,-11060,53.83,-8.62
NA,NA,NA,13.3,184.7,-8.07,-11070,54,-8.67
NA,NA,NA,13.31,184.8,-8.03,-11070,54.17,-8.56
NA,NA,NA,13.33,184.9,-8.05,-11080,54.33,-8.29
NA,NA,NA,13.34,185,-7.75,-11080,54.5,-8.56
NA,NA,NA,13.36,185.1,-7.91,-11090,54.67,-8.41
NA,NA,NA,13.37,185.2,-7.87,-11090,54.83,-8.3
NA,NA,NA,13.39,185.3,-8.01,-11100,55,-8.27
NA,NA,NA,13.41,185.4,-7.9,-11100,55.17,-8.15
NA,NA,NA,13.42,185.5,-7.87,-11100,55.33,-8.3
NA,NA,NA,13.44,185.6,-8.09,-11110,55.5,-8.38
NA,NA,NA,13.45,185.7,-8.03,-11110,55.67,-8.38
NA,NA,NA,13.47,185.8,-8.01,-11120,55.83,-8.43
NA,NA,NA,13.48,185.9,-8.2,-11120,56,-8.4
NA,NA,NA,13.5,186,-8.29,-11130,56.2,-8.38
NA,NA,NA,13.52,186.1,-8.09,-11130,56.4,-8.41
NA,NA,NA,NA,186.2,NA,-11140,56.6,-8.48
NA,NA,NA,NA,186.3,NA,-11140,56.8,-8.37
NA,NA,NA,13.56,186.4,-7.98,-11150,57,-8.38
NA,NA,NA,13.58,186.5,-8.15,-11150,57.2,-8.45
NA,NA,NA,13.59,186.6,-7.94,-11150,57.4,-8.3
NA,NA,NA,13.61,186.7,-7.89,-11160,57.6,-8.3
NA,NA,NA,13.63,186.8,-8.03,-11160,57.8,-8.28
NA,NA,NA,13.64,186.9,-7.97,-11170,58,-8.29
NA,NA,NA,13.67,187,-7.9,-11170,58.2,-8.02
NA,NA,NA,13.7,187.1,-7.94,-11180,58.4,-8.16
NA,NA,NA,13.73,187.2,-7.86,-11180,58.6,-8.14
NA,NA,NA,13.75,187.3,-7.91,-11190,58.8,-8.13
NA,NA,NA,13.78,187.4,-8.11,-11190,59,-8.1
NA,NA,NA,13.81,187.5,-8.27,-11200,59.15,-8.04
NA,NA,NA,13.84,187.6,-8.22,-11200,59.35,-8.22
NA,NA,NA,13.87,187.7,-7.45,-11200,59.55,-8.14
NA,NA,NA,13.89,187.8,-7.9,-11210,59.75,-8.17
NA,NA,NA,13.92,187.9,-8.16,-11210,59.95,-8.05
NA,NA,NA,13.95,188,-7.95,-11220,60.15,-7.93
NA,NA,NA,13.98,188.1,-7.53,-11220,60.35,-7.85
NA,NA,NA,14.01,188.2,-7.33,-11230,60.55,-8.02
NA,NA,NA,NA,188.3,NA,-11230,60.75,-8
NA,NA,NA,NA,188.4,NA,-11240,60.95,-8.03
NA,NA,NA,NA,188.5,NA,-11240,61.15,-8.09
NA,NA,NA,14.12,188.6,-7.68,-11250,61.35,-8.09
NA,NA,NA,14.16,188.7,-7.4,-11250,61.55,-8.06
NA,NA,NA,14.2,188.8,-7.53,-11250,61.75,-8.17
NA,NA,NA,14.23,188.9,-7.35,-11260,61.95,-8.08
NA,NA,NA,14.27,189,-7.68,-11260,62.15,-8.07
NA,NA,NA,14.31,189.1,-7.27,-11270,62.35,-8.1
NA,NA,NA,14.35,189.2,-6.64,-11270,62.55,-7.96
NA,NA,NA,14.38,189.3,-6.78,-11280,62.75,-7.71
NA,NA,NA,14.42,189.4,-6.92,-11280,62.95,-7.85
NA,NA,NA,14.46,189.5,-6.72,-11290,63.15,-7.99
NA,NA,NA,14.5,189.6,-6.35,-11290,63.35,-7.94
NA,NA,NA,14.54,189.7,-5.92,-11300,63.55,-7.87
NA,NA,NA,14.57,189.8,-6.93,-11300,63.75,-7.94
NA,NA,NA,14.61,189.9,-6.33,-11300,63.95,-7.87
NA,NA,NA,14.65,190,-6.69,-11310,64.15,-7.72
NA,NA,NA,14.69,190.1,-5.71,-11310,64.35,-7.86
NA,NA,NA,14.72,190.2,-5.45,-11320,64.55,-7.94
NA,NA,NA,14.76,190.3,-5.15,-11320,64.75,-7.96
NA,NA,NA,14.8,190.4,-5.45,-11330,64.95,-7.99
NA,NA,NA,14.84,190.5,-5.32,-11330,65.16,-7.98
NA,NA,NA,14.88,190.6,-5.27,-11340,65.37,-7.88
NA,NA,NA,14.93,190.7,-5.18,-11340,65.58,-7.87
NA,NA,NA,14.97,190.8,-4.96,-11340,65.79,-7.96
NA,NA,NA,15.01,190.9,-5.29,-11350,66,-8.14
NA,NA,NA,15.06,191,-5.07,-11350,66.2,-8.36
NA,NA,NA,15.1,191.1,-5.29,-11360,66.4,-8.45
NA,NA,NA,15.15,191.2,-5.33,-11360,66.6,-8.37
NA,NA,NA,15.19,191.3,-5.64,-11370,66.8,-8.35
NA,NA,NA,15.24,191.4,-5.52,-11370,67,-8.38
NA,NA,NA,15.28,191.5,-5.34,-11380,67.2,-8.35
NA,NA,NA,15.32,191.6,-5.72,-11380,67.4,-8.36
NA,NA,NA,15.37,191.7,-5.12,-11390,67.6,-8.26
NA,NA,NA,15.41,191.8,-5.24,-11390,67.8,-8.36
NA,NA,NA,15.46,191.9,-5.28,-11390,68,-8.33
NA,NA,NA,15.5,192,-5.16,-11400,68.2,-8.56
NA,NA,NA,15.54,192.1,-5.1,-11400,68.4,-8.48
NA,NA,NA,15.57,192.2,-5.15,-11410,68.6,-8.58
NA,NA,NA,15.6,192.3,-5.08,-11410,68.8,-8.38
NA,NA,NA,15.62,192.4,-5.08,-11420,69,-8.4
NA,NA,NA,15.65,192.5,-5.08,-11420,69.2,-8.26
NA,NA,NA,15.68,192.6,-4.94,-11430,69.4,-8.34
NA,NA,NA,15.71,192.7,-4.96,-11430,69.6,-8.28
NA,NA,NA,15.73,192.8,-4.92,-11440,69.8,-8.29
NA,NA,NA,15.76,192.9,-4.84,-11440,70,-8.09
NA,NA,NA,15.79,193,-4.89,-11440,70.2,-8.09
NA,NA,NA,15.81,193.1,-5.14,-11450,70.4,-8.01
NA,NA,NA,42.4,194,-8.18,-11450,70.6,-8.33
NA,NA,NA,42.85,194.5,-6.83,-11460,70.8,-8.21
NA,NA,NA,43.3,195,-7.28,-11460,71,-8.34
NA,NA,NA,43.75,195.5,-6.99,-11460,71.2,-8.46
NA,NA,NA,44.2,196,-7.32,-11470,71.4,-8.48
NA,NA,NA,44.65,196.5,-7.51,-11470,71.6,-8.32
NA,NA,NA,45.1,197,-7.89,-11480,71.8,-8.2
NA,NA,NA,45.55,197.5,-8.21,-11480,72,-8.16
NA,NA,NA,46,198,-7.76,-11480,72.2,-7.97
NA,NA,NA,46.45,198.5,-7.98,-11490,72.4,-8.03
NA,NA,NA,46.9,199,-7.38,-11490,72.6,-8.19
NA,NA,NA,47.35,199.5,-7.11,-11500,72.8,-8.14
NA,NA,NA,47.8,200,-6.67,-11500,73,-8.37
NA,NA,NA,48.31,201,-7.68,-11500,73.2,-8.25
NA,NA,NA,48.83,202,-8.04,-11510,73.4,-8.2
NA,NA,NA,49.34,203,-8.31,-11510,73.6,-8.15
