year (AD),d18O (permil)
1943.96,-3.19
1943.87,-3.05
1943.79,-2.81
1943.71,-3.36
1943.62,-2.78
1943.54,-2.91
1943.46,-2.46
1943.37,-2.71
1943.29,-2.99
1943.21,-2.4
1943.12,-2.62
1943.04,-2.53
1942.96,-2.73
1942.87,-3.07
1942.79,-2.71
1942.71,-3.2
1942.62,-3.06
1942.54,-2.87
1942.46,-2.47
1942.37,-2.29
1942.29,-2.54
1942.21,-2.62
1942.12,-2.51
1942.04,-2.74
1941.96,-3.15
1941.87,-3.06
1941.79,-2.87
1941.71,-3.37
1941.62,-3.14
1941.54,-3.04
1941.46,-3.11
1941.37,-2.83
1941.29,-2.62
1941.21,-2.67
1941.12,-2.46
1941.04,-2.25
1940.96,-2.65
1940.87,-2.78
1940.79,-2.7
1940.71,-3.22
1940.62,-2.77
1940.54,-2.72
1940.46,-2.78
1940.37,-2.43
1940.29,-2.69
1940.21,-2.73
1940.12,-2.52
1940.04,-2.82
1939.96,-2.53
1939.87,-2.31
1939.79,-2.53
1939.71,-2.89
1939.62,-2.32
1939.54,-2.7
1939.46,-2.1
1939.37,-2.63
1939.29,-2.58
1939.21,-2.84
1939.12,-2.1
1939.04,-2.47
1938.96,-2.15
1938.87,-2.96
1938.79,-2.68
1938.71,-3.18
1938.62,-2.82
1938.54,-2.7
1938.46,-2.89
1938.37,-2.66
1938.29,-2.49
1938.21,-2.6
1938.12,-2.69
1938.04,-2.8
1937.96,-3.18
1937.87,-3.11
1937.79,-2.69
1937.71,-3.47
1937.62,-3.03
1937.54,-2.58
1937.46,-2.58
1937.37,-2.69
1937.29,-2.65
1937.21,-2.51
1937.12,-2.53
1937.04,-2.78
1936.96,-2.97
1936.87,-2.9
1936.79,-2.84
1936.71,-3.28
1936.62,-2.85
1936.54,-2.95
1936.46,-2.53
1936.37,-2.49
1936.29,-2.43
1936.21,-2.61
1936.12,-2.76
1936.04,-2.65
1935.96,-2.81
1935.87,-2.33
1935.79,-2.81
1935.71,-3.14
1935.62,-2.87
1935.54,-2.59
1935.46,-2.58
1935.37,-2.63
1935.29,-2.55
1935.21,-2.37
1935.12,-2.34
1935.04,-2.5
1934.96,-2.61
1934.87,-2.51
1934.79,-2.41
1934.71,-3.21
1934.62,-2.98
1934.54,-2.85
1934.46,-2.86
1934.37,-2.54
1934.29,-2.35
1934.21,-2.6
1934.12,-2.57
1934.04,-2.52
1933.96,-3.04
1933.87,-3.02
1933.79,-2.59
1933.71,-3.24
1933.62,-2.85
1933.54,-2.54
1933.46,-2.68
1933.37,-2.76
1933.29,-2.71
1933.21,-2.62
1933.12,-2.49
1933.04,-2.64
1932.96,-2.93
1932.87,-2.89
1932.79,-2.78
1932.71,-3.06
1932.62,-3.05
1932.54,-3.04
1932.46,-3.03
1932.37,-3.02
1932.29,-3.01
1932.21,-2.94
1932.12,-2.81
1932.04,-2.68
1931.96,-2.55
1931.87,-2.41
1931.79,-2.28
1931.71,-3.52
1931.62,-3.23
1931.54,-2.98
1931.46,-3.01
1931.37,-3.04
1931.29,-3.06
1931.21,-2.92
1931.12,-2.61
1931.04,-2.66
1930.96,-2.87
1930.87,-2.81
1930.79,-2.69
1930.71,-3.17
1930.62,-2.79
1930.54,-2.99
1930.46,-3.09
1930.37,-2.99
1930.29,-2.85
1930.21,-2.38
1930.12,-2.56
1930.04,-2.83
1929.96,-3.04
1929.87,-3.13
1929.79,-3.13
1929.71,-3.35
1929.62,-3.29
1929.54,-3.23
1929.46,-2.85
1929.37,-2.84
1929.29,-2.73
1929.21,-2.73
1929.12,-2.88
1929.04,-2.9
1928.96,-3.11
