year (AD),depth (cm),dD (permil),dD (permil)
1869,NA,-297.5,-252.9
1868,NA,-306.2,-247.5
1867,NA,-305,-237.1
1866,NA,-301.6,-265.8
1865,NA,-269.1,-280.2
1864,NA,-318.4,-241
1863,NA,-318.9,-209.5
1862,NA,-277,-246.5
1861,NA,-301.8,-245.9
1860,NA,-292.9,-248.5
1859,NA,-310,-255.3
1858,NA,-312.4,-255.8
1857,NA,-322.9,-237
1856,NA,-271.2,-252.1
1855,NA,-282.7,-260.9
1854,NA,-308.8,-228.8
1853,NA,-271.9,-247.3
1852,NA,-266.2,-244.6
1851,NA,-288.3,-236.6
1850,NA,-301.5,-248.9
1849,NA,-303.6,-263.1
1848,NA,-287.7,-229.2
1847,NA,-285.6,-234.4
1846,NA,-283.8,-260.8
1845,NA,-288.7,-258.2
1844,NA,-320.3,-259.5
1843,NA,-306.9,-248.2
1842,NA,-302.4,-244
1841,NA,-289.7,-249.1
1840,NA,-271.7,-260.3
1839,NA,-300.1,-241.5
1838,NA,-284.8,-223.6
1837,NA,-320,-228
1836,NA,-327.5,-256.2
1835,NA,-310.6,-257.6
1834,NA,-308,-262.3
1833,NA,-341.2,-212.4
1832,NA,-305.4,-260.5
1831,NA,-261.6,-258.7
1830,NA,-276.8,-261.3
1829,NA,-289.4,-260.1
1828,NA,-303.6,-228.4
1827,NA,-285.2,-252.9
1826,NA,-312.4,-236
1825,NA,-295.4,-236.2
1824,NA,-299.8,-244.1
1823,NA,-314.2,-223.3
1822,NA,-309.4,-242.1
1821,NA,-283.6,-245.8
1820,NA,-288.7,-241.4
1819,NA,-293.4,-236.9
1818,NA,-295.1,-253.9
1817,NA,-304.2,-252.6
1816,NA,-295,-247.2
1815,NA,-290.2,-220.8
1814,NA,-289,-250.3
1813,NA,-300.8,-237.4
1812,NA,-302,-247.9
1811,NA,-293.7,-255
1810,NA,-296,-253.4
1809,NA,-272.1,-259.2
1808,NA,-286,-261.8
1807,NA,-307.7,-239.2
1806,NA,-305.9,-263.7
1805,NA,-270.8,-240.2
1804,NA,-278.2,-255.9
1803,NA,-309.2,-193.4
1802,NA,-312,-242.6
1801,NA,-299.1,-257.2
1800,NA,-306.2,-230.4
1799,NA,-290.3,-239.6
1798,NA,-294.1,-263.2
1797,NA,-309.3,-266.9
1796,NA,-311.7,-271.5
1795,NA,-311.9,-232
1794,NA,-305.9,-174.9
1793,NA,-290.3,-264.7
1792,NA,-282.3,-233.9
1791,NA,-330.5,-206.4
1790,NA,-307,-223.7
1789,NA,-271.7,-234.9
1788,NA,-296.2,-249.6
1787,NA,-261.7,-256.2
1786,NA,-290.5,-233.3
1785,NA,-318.5,-238.1
1784,NA,-287.8,-272.1
1783,NA,-321.6,-245.9
1782,NA,-307.4,-271
1781,NA,-288.5,-221.2
1780,NA,-306,-228.7
1779,NA,-322,-251
1778,NA,-289.1,-253.4
