year (AD),depth (m),d18O (permil)
1840,48.22,-34.1
1839,48.46,-34.9
1838,48.71,-33.2
1837,48.95,-31.6
1836,49.2,-31.5
1835,49.44,-33.1
1834,49.68,-36.6
1833,49.93,-36.2
1832,50.17,-35.8
1831,50.41,-35.9
1830,50.65,-33.8
1829,50.89,-32.9
1828,51.14,-33.2
1827,51.38,-33.2
1826,51.62,-32.1
1825,51.86,-34.5
1824,52.1,-33.9
1823,52.34,-33.8
1822,52.58,-33.3
1821,52.82,-35.3
1820,53.06,-35.6
1819,53.29,-34.3
1818,53.53,-35.9
1817,53.77,-34.8
1816,54.01,-33.9
1815,54.26,-36.1
1814,54.51,-36.2
1813,54.76,-34.8
1812,55.01,-33.3
1811,55.26,-33.3
1810,55.51,-33.9
1809,55.76,-35.1
1808,56.01,-34.3
1807,56.26,-33.8
1806,56.51,-33.4
1805,56.76,-31.7
1804,57.01,-32.6
1803,57.26,-33
1802,57.5,-34.5
1801,57.75,-34.9
1800,58,-36
1799,58.25,-34.9
1798,58.49,-34.9
1797,58.74,-33.8
1796,58.99,-33
1795,59.24,-34.4
1794,59.48,-32.6
1793,59.73,-32.2
1792,59.97,-35
1791,60.22,-34.4
1790,60.46,-34.8
1789,60.71,-33.5
1788,60.95,-33.3
1787,61.19,-33.4
1786,61.44,-33.7
1785,61.68,-33.7
1784,61.92,-35.8
1783,62.17,-35.6
1782,62.39,-32.3
1781,62.61,-31.9
1780,62.83,-33.1
1779,63.05,-34
1778,63.27,-33
1777,63.49,-33.7
1776,63.71,-34.5
1775,63.93,-34.5
1774,64.15,-34.9
1773,64.37,-32.4
1772,64.59,-33.1
1771,64.81,-34.9
1770,65.03,-34.4
1769,65.25,-33.6
1768,65.46,-32.6
1767,65.68,-34
1766,65.9,-34.5
1765,66.12,-35.2
1764,66.34,-34.4
1763,66.56,-32.4
1762,66.77,-30.8
1761,66.99,-35.6
1760,67.21,-35.8
1759,67.43,-35.2
1758,67.64,-35.1
1757,67.86,-34.8
1756,68.08,-35.6
1755,68.29,-33.4
1754,68.51,-30.6
1753,68.72,-34.8
1752,69.04,-32.4
1751,69.26,-32.3
1750,69.47,-33.5
1749,69.69,-34.5
1748,69.9,-32.9
1747,70.12,-33.6
1746,70.33,-33.5
1745,70.55,-34.6
1744,70.76,-35.6
1743,70.98,-33.8
1742,71.19,-36.1
1741,71.41,-36.9
1740,71.62,-36.4
1739,71.84,-35.3
1738,72.05,-34.8
1737,72.26,-32.1
1736,72.48,-31.5
1735,72.69,-32.9
1734,72.91,-33.8
1733,73.12,-33.5
1732,73.33,-33.3
1731,73.55,-33.2
1730,73.76,-33.2
1729,73.97,-31.3
1728,74.19,-33
1727,74.4,-34.5
1726,74.61,-34.5
1725,74.82,-33.6
1724,75.04,-33.1
1723,75.25,-34.2
1722,75.46,-33.4
1721,75.67,-35
1720,75.88,-34
1719,76.02,-34.2
1718,76.23,-35.3
1717,76.44,-35.5
1716,76.66,-34.2
1715,76.87,-32.7
1714,77.08,-32.5
1713,77.29,-32.6
1712,77.5,-32.5
1711,77.71,-34.5
1710,77.92,-35.5
1709,78.13,-35.1
1708,78.34,-34.4
1707,78.56,-34.8
1706,78.77,-35.3
1705,78.98,-34.9
1704,79.19,-32.6
1703,79.4,-31.7
1702,79.61,-32.2
1701,79.82,-33.7
1700,80.03,-35.1
1699,80.24,-34.5
1698,80.45,-35.6
1697,80.66,-35.1
1696,80.87,-34.1
1695,81.07,-33.6
1694,81.28,-33.5
1693,81.49,-34.1
1692,81.7,-34.3
1691,81.91,-35.3
1690,82.12,-34.7
1689,82.33,-33.5
1688,82.54,-32.9
1687,82.75,-34.3
1686,82.96,-35
1685,83.16,-33.6
1684,83.37,-33.5
1683,83.58,-34.3
1682,83.79,-34.2
1681,84,-34.2
1680,84.21,-34.1
1679,84.41,-32.1
1678,84.62,-34
1677,84.83,-35.5
1676,85.04,-35.8
1675,85.24,-33.6
1674,85.45,-33.4
1673,85.66,-32.4
1672,85.87,-32.2
1671,86.07,-33.5
1670,86.28,-34.1
1669,86.49,-32.5
1668,86.7,-31.8
1667,86.9,-33.3
1666,87.11,-34.4
1665,87.32,-33.6
1664,87.52,-32.6
1663,87.73,-33.6
1662,87.94,-32.8
1661,88.14,-32.5
1660,88.35,-33.8
1659,88.56,-33.8
1658,88.76,-32.9
1657,88.97,-33.5
1656,89.17,-33.9
1655,89.38,-33.9
1654,89.59,-34.4
1653,89.79,-33.3
1652,90,-32.7
1651,90.2,-32.1
1650,90.41,-33.8
1649,90.62,-34.2
1648,90.82,-33.2
1647,91.03,-32.2
1646,91.23,-32
1645,91.44,-32.6
1644,91.64,-33.9
1643,91.85,-33
1642,92.05,-33.3
1641,92.26,-34.2
1640,92.46,-35.1
1639,92.67,-34.3
1638,92.87,-32.7
1637,93.08,-32.9
1636,93.28,-33.7
1635,93.49,-35.3
1634,93.69,-37.1
1633,93.9,-35.8
1632,94.1,-34
1631,94.31,-33.6
1630,94.51,-34.1
1629,94.72,-34.1
1628,94.92,-34.3
1627,95.13,-34.1
1626,95.33,-33.6
1625,95.53,-34.6
1624,95.74,-33.3
1623,95.94,-32.1
1622,96.15,-34.6
1621,96.35,-34.7
1620,96.55,-32
1619,96.76,-33.1
1618,96.96,-33.8
1617,97.17,-32.5
1616,97.37,-31.7
1615,97.57,-31.7
1614,97.78,-33.2
1613,97.98,-32.2
1612,98.18,-33.6
1611,98.39,-35.5
1610,98.59,-35.4
1609,98.79,-33.2
1608,99,-33.6
1607,99.2,-34.7
1606,99.4,-33.6
1605,99.61,-32.7
1604,99.81,-33
1603,100.06,-34.4
1602,100.3,-34.9
1601,100.5,-34.3
1600,100.7,-34.1
1599,100.91,-34.1
1598,101.1,-35.3
1597,101.31,-37.2
1596,101.51,-36.6
1595,101.72,-34.3
1594,101.92,-34.1
1593,102.12,-34.4
1592,102.32,-32.5
1591,102.53,-34.9
1590,102.73,-34.8
1589,102.93,-33.5
1588,103.13,-33.2
1587,103.33,-33.9
1586,103.53,-34.1
1585,103.73,-34.5
1584,103.94,-34.5
1583,104.14,-33.3
1582,104.34,-33.3
1581,104.54,-34
1580,104.75,-32.9
1579,104.95,-32.9
1578,105.15,-32
1577,105.35,-31.9
1576,105.55,-33.9
1575,105.75,-34.5
1574,105.96,-32.9
1573,106.16,-33.4
1572,106.36,-33
1571,106.56,-33.2
1570,106.76,-34.5
1569,106.96,-33.8
1568,107.16,-36.8
1567,107.37,-37.1
1566,107.57,-35.6
1565,107.77,-32.6
1564,107.97,-33.3
1563,108.17,-33.8
1562,108.37,-32.4
1561,108.57,-31.7
1560,108.77,-33.2
1559,108.97,-34.5
1558,109.18,-36.4
1557,109.38,-34.9
1556,109.58,-34.5
1555,109.78,-34.5
1554,109.98,-34.3
1553,110.1,-34.5
1552,110.3,-33.5
1551,110.5,-32.8
1550,110.7,-33.6
1549,110.9,-34.3
1548,111.1,-34.4
1547,111.3,-33.9
1546,111.51,-34.8
1545,111.71,-35.3
1544,111.91,-35.6
1543,112.11,-34.4
1542,112.31,-33.4
1541,112.51,-31.8
1540,112.71,-33.7
1539,112.91,-34.8
1538,113.11,-34.5
1537,113.31,-33.6
1536,113.51,-34.3
1535,113.71,-35
1534,113.91,-35.7
1533,114.11,-35.9
1532,114.31,-33.6
1531,114.51,-33.4
1530,114.71,-35
1529,114.91,-35.4
1528,115.11,-34.4
1527,115.31,-34
1526,115.51,-33.3
1525,115.71,-33.2
1524,115.91,-33.5
1523,116.11,-34.4
1522,116.31,-35.2
1521,116.51,-35.5
1520,116.71,-35.1
1519,116.91,-35.6
1518,117.1,-36.3
1517,117.3,-35
1516,117.5,-33
1515,117.7,-33.4
1514,117.9,-33.2
1513,118.1,-33.3
1512,118.3,-33
1511,118.51,-32.7
1510,118.71,-32.5
1509,118.91,-32.7
1508,119.1,-32.6
1507,119.31,-34.5
1506,119.5,-34.1
1505,119.71,-33.7
