year (AD) [1-1],temperature (degC) [1-1],year (AD) [1-2],depth (cm) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],core () [1-2]
1682.1,25.3,1174.4,98.5,NA,NA,-2.06,SO90_56KA
1669.4,26.2,1132.7,102.5,NA,NA,-2.04,SO90_56KA
1644.1,26,1085.9,107,NA,NA,-2.21,SO90_56KA
1631.5,26.4,1059.8,109.5,NA,NA,-1.98,SO90_56KA
1616.8,27,1028.6,112.5,NA,NA,-2.23,SO90_56KA
1596,26.3,1020.6,116,NA,NA,-2.03,SO90_56KA
1575.2,27.6,980.7,119.5,NA,NA,-2.11,SO90_56KA
1554.3,26.5,946.5,122.5,NA,NA,-2.26,SO90_56KA
1533.5,27,935.1,123.5,NA,NA,-2.08,SO90_56KA
1512.7,26.2,875.4,130,NA,NA,-2.31,SO90_56KA
1491.9,26.8,854,132.5,NA,NA,-2.13,SO90_56KA
1471.1,26.4,819.9,136.5,NA,NA,-2,SO90_56KA
1450.2,27.2,747.5,145,NA,NA,-2.2,SO90_56KA
1429.4,26.1,717.6,148.5,NA,NA,-2.44,SO90_56KA
1409.3,25.9,687.8,152,NA,NA,-2.25,SO90_56KA
1390,26.4,679.2,153,NA,NA,-2.14,SO90_56KA
1370.6,26.6,653.7,156,NA,NA,-2.21,SO90_56KA
1351.3,26.5,623.8,159.5,NA,NA,-2.17,SO90_56KA
1331.9,26.4,598.2,162.5,NA,NA,-2.06,SO90_56KA
1312.6,26.8,550.3,169,NA,NA,-2.14,SO90_56KA
1293.2,26,532.1,172.5,NA,NA,-2.17,SO90_56KA
1273.9,27.1,516.5,175.5,NA,NA,-1.94,SO90_56KA
1254.5,25.8,469.6,184.5,NA,NA,-1.92,SO90_56KA
1235.2,26.6,467,185,NA,NA,-1.96,SO90_56KA
1215.8,26,438.4,190.5,NA,NA,-1.73,SO90_56KA
1196.5,27.1,422.8,193.5,NA,NA,-1.63,SO90_56KA
1157.8,26.1,396.7,197.5,NA,NA,-2.04,SO90_56KA
1138.4,27,356.6,203,NA,NA,-1.9,SO90_56KA
1119.1,26.5,331,206.5,NA,NA,-2.03,SO90_56KA
1099.7,26.8,290.9,212,NA,NA,-1.82,SO90_56KA
1080.4,26.6,265.3,215.5,NA,NA,-1.96,SO90_56KA
1061,26.3,243.4,218.5,NA,NA,-1.88,SO90_56KA
1041.7,26.5,217.9,222,NA,NA,-1.8,SO90_56KA
1020.6,25.9,187.2,226,NA,NA,-1.81,SO90_56KA
997.8,26.2,161,229,NA,NA,-1.89,SO90_56KA
952.2,26.5,130.3,232.5,NA,NA,-1.94,SO90_56KA
929.4,26.7,108.4,235,NA,NA,-2.01,SO90_56KA
909.5,26.8,77.7,238.5,NA,NA,-2,SO90_56KA
892.4,26.6,47.1,242,NA,NA,-2.14,SO90_56KA
875.4,26.9,20.8,245,NA,NA,-2.15,SO90_56KA
858.3,26.9,-44.9,252.5,NA,NA,-1.94,SO90_56KA
841.3,26.8,-79.9,256.5,NA,NA,-2.07,SO90_56KA
824.2,27.1,-110.6,260,NA,NA,-1.9,SO90_56KA
756,26.7,-132.5,262.5,NA,NA,-2.04,SO90_56KA
738.9,26.6,-163.2,266,NA,NA,-2.01,SO90_56KA
721.9,26.8,-220.1,272.5,NA,NA,-1.86,SO90_56KA
670.7,26.4,-315.1,283,NA,NA,-1.84,SO90_56KA
653.7,26.2,-346.7,286.5,NA,NA,-2.1,SO90_56KA
636.6,26.4,-400.8,292.5,NA,NA,-2.15,SO90_56KA
619.6,26.9,-441.4,297,NA,NA,-1.95,SO90_56KA
602.5,26.6,-495.5,303,NA,NA,-2,SO90_56KA
585.4,26.2,-581.2,312.5,NA,NA,-1.9,SO90_56KA
568.4,27.3,-671.4,322.5,NA,NA,-1.87,SO90_56KA
555.5,26.1,-745.9,332,NA,NA,-1.76,SO90_56KA
545.1,26.1,-820.9,342.5,NA,NA,-1.65,SO90_56KA
534.7,26.2,-895.9,353,NA,NA,-1.75,SO90_56KA
524.3,26.4,-963.7,362.5,NA,NA,-1.87,SO90_56KA
513.9,26.4,-1035.1,372.5,NA,NA,-1.78,SO90_56KA
503.5,26.3,-1112.9,382.5,NA,NA,-1.87,SO90_56KA
477.4,26.5,-1192.8,392.5,NA,NA,-1.9,SO90_56KA
456.6,26.5,-1280.6,403.5,NA,NA,-1.94,SO90_56KA
446.2,26,-1348.5,412,NA,NA,-1.92,SO90_56KA
435.8,26.9,-1428.3,422,NA,NA,-1.92,SO90_56KA
415,26.7,-1508.2,432,NA,NA,-1.66,SO90_56KA
400.4,26.4,-1592,442.5,NA,NA,-1.48,SO90_56KA
385.8,26.9,-1663.7,453,NA,NA,-1.91,SO90_56KA
363.9,26.9,-1732.3,464,NA,NA,-1.81,SO90_56KA
349.3,26.3,-1785.4,472.5,NA,NA,-2.07,SO90_56KA
327.4,26.6,-1885.8,485,NA,NA,-2.06,SO90_56KA
298.2,26.1,-1949.3,492.5,NA,NA,-1.91,SO90_56KA
283.6,26.9,-2034.1,502.5,NA,NA,-1.92,SO90_56KA
261.7,26.3,-2059.6,505.5,NA,NA,-1.82,SO90_56KA
247.1,27.3,-2118.9,512.5,NA,NA,-1.87,SO90_56KA
217.9,26.6,-2157,517,NA,NA,-1.97,SO90_56KA
203.3,27.1,-2178.2,519.5,NA,NA,-2.04,SO90_56KA
161,26.3,-2190.9,521,NA,NA,-2.17,SO90_56KA
143.4,27,-2241.8,527,NA,NA,-2.02,SO90_56KA
125.9,26.5,-2268,530,NA,NA,-2,SO90_56KA
90.9,27.3,-2293.1,532.5,NA,NA,-2.01,SO90_56KA
73.4,26.2,-2358.3,539,NA,NA,-1.77,SO90_56KA
55.8,26.8,-2393.5,542.5,NA,NA,-1.92,SO90_56KA
38.3,26.3,-2418.6,545,NA,NA,-2.04,SO90_56KA
20.8,26.4,-2498.8,553,NA,NA,-1.91,SO90_56KA
3.3,26.4,-2529,556,NA,NA,-1.96,SO90_56KA
-14.2,27.2,-2559.1,559,NA,NA,-1.92,SO90_56KA
-40.5,26.4,-2599.2,563,NA,NA,-1.92,SO90_56KA
-58,27.2,-2639.4,567,NA,NA,-1.75,SO90_56KA
-75.6,26.3,-2679.5,571,NA,NA,-1.9,SO90_56KA
-93.1,26.8,-2709.6,574,NA,NA,-1.88,SO90_56KA
-110.6,26.5,-2734.7,576.5,NA,NA,-1.9,SO90_56KA
-128.1,26.4,-2759.8,579,NA,NA,-1.83,SO90_56KA
-145.6,26.4,-2789.9,582,NA,NA,-1.84,SO90_56KA
-163.2,26.8,-2824.4,585.5,NA,NA,-1.85,SO90_56KA
-180.7,26.1,-2863.6,590,NA,NA,-2.02,SO90_56KA
-198.2,27.5,-2881.1,592,NA,NA,-2.07,SO90_56KA
-215.7,26.8,-2907.3,595,NA,NA,-2.01,SO90_56KA
NA,NA,-2933.5,598,NA,NA,-2.13,SO90_56KA
