year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1],year (AD) [3-1],d18O (permil) [3-1]
1989.7,-5.73,1989.7,-5.48,1989.63,-5.58
1989.62,-5.67,1989.62,-5.5,1989.54,-5.56
1989.54,-5.69,1989.54,-5.54,1989.46,-5.6
1989.45,-5.76,1989.45,-5.59,1989.38,-5.68
1989.37,-5.67,1989.37,-5.48,1989.29,-5.63
1989.29,-5.6,1989.29,-5.45,1989.21,-5.57
1989.2,-5.55,1989.2,-5.19,1989.13,-5.57
1989.12,-5.6,1989.12,-5.32,1989.04,-5.48
1989.04,-5.6,1989.04,-5.42,1988.96,-5.55
1988.95,-5.56,1988.95,-5.51,1988.88,-5.67
1988.87,-5.67,1988.87,-5.5,1988.79,-5.67
1988.79,-5.74,1988.79,-5.52,1988.71,-5.57
1988.7,-5.76,1988.7,-5.57,1988.63,-5.49
1988.62,-5.78,1988.62,-5.61,1988.54,-5.48
1988.54,-5.82,1988.54,-5.66,1988.46,-5.57
1988.45,-5.88,1988.45,-5.73,1988.38,-5.72
1988.37,-5.74,1988.37,-5.57,1988.29,-5.7
1988.29,-5.68,1988.29,-5.65,1988.21,-5.61
1988.2,-5.53,1988.2,-5.3,1988.13,-5.48
1988.12,-5.58,1988.12,-5.4,1988.04,-5.53
1988.04,-5.64,1988.04,-5.45,1987.96,-5.61
1987.95,-5.68,1987.95,-5.48,1987.88,-5.7
1987.87,-5.7,1987.87,-5.51,1987.79,-5.77
1987.79,-5.72,1987.79,-5.58,1987.71,-5.78
1987.7,-5.76,1987.7,-5.58,1987.63,-5.76
1987.62,-5.81,1987.62,-5.64,1987.54,-5.71
1987.54,-5.83,1987.54,-5.78,1987.46,-5.71
1987.45,-5.6,1987.45,-5.58,1987.38,-5.74
1987.37,-5.56,1987.37,-5.66,1987.29,-5.63
1987.29,-5.61,1987.29,-5.7,1987.21,-5.62
1987.2,-5.63,1987.2,-5.6,1987.13,-5.69
1987.12,-5.5,1987.12,-5.55,1987.04,-5.62
1987.04,-5.59,1987.04,-5.57,1986.96,-5.64
1986.95,-5.69,1986.95,-5.6,1986.88,-5.67
1986.87,-5.74,1986.87,-5.61,1986.79,-5.71
1986.79,-5.8,1986.79,-5.6,1986.71,-5.76
1986.7,-5.76,1986.7,-5.52,1986.63,-5.77
1986.62,-5.79,1986.62,-5.55,1986.54,-5.77
1986.54,-5.84,1986.54,-5.58,1986.46,-5.81
1986.45,-5.9,1986.45,-5.57,1986.38,-5.86
1986.37,-5.73,1986.37,-5.43,1986.29,-5.74
1986.29,-5.53,1986.29,-5.47,1986.21,-5.6
1986.2,-5.46,1986.2,-5.28,1986.13,-5.6
1986.12,-5.51,1986.12,-5.34,1986.04,-5.4
1986.04,-5.59,1986.04,-5.39,1985.96,-5.45
1985.95,-5.68,1985.95,-5.45,1985.88,-5.57
1985.87,-5.77,1985.87,-5.5,1985.79,-5.58
1985.79,-5.85,1985.79,-5.58,1985.71,-5.67
1985.7,-5.88,1985.7,-5.66,1985.63,-5.73
1985.62,-5.91,1985.62,-5.7,1985.54,-5.64
1985.54,-5.94,1985.54,-5.73,1985.46,-5.88
1985.45,-5.82,1985.45,-5.63,1985.38,-5.84
1985.37,-5.71,1985.37,-5.34,1985.29,-5.68
1985.29,-5.55,1985.29,-5.39,1985.21,-5.49
1985.2,-5.4,1985.2,-5.17,1985.13,-5.4
1985.12,-5.5,1985.12,-5.19,1985.04,-5.43
1985.04,-5.58,1985.04,-5.36,1984.96,-5.51
1984.95,-5.65,1984.95,-5.47,1984.88,-5.61
1984.87,-5.64,1984.87,-5.51,1984.79,-5.68
1984.79,-5.66,1984.79,-5.48,1984.71,-5.6
1984.7,-5.69,1984.7,-5.46,1984.63,-5.69
1984.62,-5.7,1984.62,-5.48,1984.54,-5.77
1984.54,-5.72,1984.54,-5.49,1984.46,-5.77
1984.45,-5.75,1984.45,-5.55,1984.38,-5.83
1984.37,-5.72,1984.37,-5.53,1984.29,-5.74
1984.29,-5.69,1984.29,-5.42,1984.21,-5.68
1984.2,-5.66,1984.2,-5.3,1984.13,-5.66
1984.12,-5.63,1984.12,-5.37,1984.04,-5.59
1984.04,-5.68,1984.04,-5.51,1983.96,-5.64
1983.95,-5.71,1983.95,-5.53,1983.88,-5.68
1983.87,-5.73,1983.87,-5.51,1983.79,-5.64
1983.79,-5.74,1983.79,-5.48,1983.71,-5.61
1983.7,-5.83,1983.7,-5.56,1983.63,-5.59
1983.62,-5.85,1983.62,-5.57,1983.54,-5.51
1983.54,-5.83,1983.54,-5.56,1983.46,-5.53
1983.45,-5.81,1983.45,-5.55,1983.38,-5.65
1983.37,-5.71,1983.37,-5.4,1983.29,-5.47
1983.29,-5.6,1983.29,-5.4,1983.21,-5.61
1983.2,-5.5,1983.2,-5.34,1983.13,-5.55
1983.12,-5.61,1983.12,-5.42,1983.04,-5.6
1983.04,-5.6,1983.04,-5.5,1982.96,-5.63
1982.95,-5.69,1982.95,-5.53,1982.88,-5.59
1982.87,-5.72,1982.87,-5.55,1982.79,-5.57
1982.79,-5.68,1982.79,-5.54,1982.71,-5.59
1982.7,-5.67,1982.7,-5.5,1982.63,-5.7
1982.62,-5.73,1982.62,-5.49,1982.54,-5.65
1982.54,-5.76,1982.54,-5.56,1982.46,-5.65
1982.45,-5.88,1982.45,-5.64,1982.38,-5.78
1982.37,-5.87,1982.37,-5.53,1982.29,-5.73
1982.29,-5.82,1982.29,-5.49,1982.21,-5.74
1982.2,-5.73,1982.2,-5.45,1982.13,-5.73
1982.12,-5.52,1982.12,-5.38,1982.04,-5.38
1982.04,-5.62,1982.04,-5.65,1981.96,-5.65
1981.95,-5.74,1981.95,-5.83,1981.88,-5.75
1981.87,-5.85,1981.87,-5.71,1981.79,-5.75
1981.79,-5.85,1981.79,-5.62,1981.71,-5.75
1981.7,-5.74,1981.7,-5.6,1981.63,-5.75
1981.62,-5.82,1981.62,-5.49,1981.54,-5.74
1981.54,-5.82,1981.54,-5.65,1981.46,-5.55
1981.45,-5.84,1981.45,-5.71,1981.38,-5.81
1981.37,-5.75,1981.37,-5.65,1981.29,-5.8
1981.29,-5.66,1981.29,-5.6,1981.21,-5.78
1981.2,-5.6,1981.2,-5.46,1981.13,-5.65
1981.12,-5.54,1981.12,-5.34,1981.04,-5.49
1981.04,-5.6,1981.04,-5.45,1980.96,-5.5
1980.95,-5.64,1980.95,-5.43,1980.88,-5.54
1980.87,-5.68,1980.87,-5.42,1980.79,-5.6
1980.79,-5.72,1980.79,-5.67,1980.71,-5.65
1980.7,-5.72,1980.7,-5.56,1980.63,-5.71
1980.62,-5.65,1980.62,-5.54,1980.54,-5.76
1980.54,-5.59,1980.54,-5.53,1980.46,-5.78
1980.45,-5.58,1980.45,-5.72,1980.38,-5.79
1980.37,-5.72,1980.37,-5.46,1980.29,-5.71
1980.29,-5.59,1980.29,-5.35,1980.21,-5.72
1980.2,-5.39,1980.2,-5.25,1980.13,-5.62
1980.12,-5.48,1980.12,-5.3,1980.04,-5.63
1980.04,-5.46,1980.04,-5.33,1979.96,-5.65
1979.95,-5.56,1979.95,-5.48,1979.88,-5.71
1979.87,-5.61,1979.87,-5.6,1979.79,-5.67
1979.79,-5.66,1979.79,-5.52,1979.71,-5.64
1979.7,-5.66,1979.7,-5.45,1979.63,-5.66
1979.62,-5.67,1979.62,-5.45,1979.54,-5.57
1979.54,-5.65,1979.54,-5.47,1979.46,-5.51
1979.45,-5.6,1979.45,-5.5,1979.38,-5.54
1979.37,-5.65,1979.37,-5.39,1979.29,-5.61
1979.29,-5.55,1979.29,-5.29,1979.21,-5.66
1979.2,-5.53,1979.2,-5.3,1979.13,-5.86
1979.12,-5.39,1979.12,-5.32,1979.04,-5.39
1979.04,-5.52,1979.04,-5.47,1978.96,-5.6
1978.95,-5.6,1978.95,-5.56,1978.88,-5.69
1978.87,-5.61,1978.87,-5.61,1978.79,-5.72
1978.79,-5.6,1978.79,-5.62,1978.71,-5.72
1978.7,-5.58,1978.7,-5.55,1978.63,-5.71
1978.62,-5.56,1978.62,-5.54,1978.54,-5.77
1978.54,-5.6,1978.54,-5.57,1978.46,-5.74
1978.45,-5.69,1978.45,-5.66,1978.38,-5.83
1978.37,-5.62,1978.37,-5.52,1978.29,-5.73
1978.29,-5.55,1978.29,-5.5,1978.21,-5.6
1978.2,-5.48,1978.2,-5.48,1978.13,-5.58
1978.12,-5.47,1978.12,-5.25,1978.04,-5.59
1978.04,-5.5,1978.04,-5.43,1977.96,-5.76
1977.95,-5.56,1977.95,-5.54,1977.88,-5.8
1977.87,-5.67,1977.87,-5.6,1977.79,-5.74
1977.79,-5.75,1977.79,-5.66,1977.71,-5.8
1977.7,-5.81,1977.7,-5.66,1977.63,-5.82
1977.62,-5.86,1977.62,-5.62,1977.54,-5.83
1977.54,-5.91,1977.54,-5.65,1977.46,-5.84
1977.45,-5.96,1977.45,-5.81,1977.38,-5.89
1977.37,-5.84,1977.37,-5.76,1977.29,-5.77
1977.29,-5.75,1977.29,-5.58,1977.21,-5.71
1977.2,-5.68,1977.2,-5.4,1977.13,-5.74
1977.12,-5.58,1977.12,-5.22,1977.04,-5.71
1977.04,-5.65,1977.04,-5.65,1976.96,-5.74
1976.95,-5.68,1976.95,-5.56,1976.88,-5.44
1976.87,-5.68,1976.87,-5.56,1976.79,-5.45
1976.79,-5.64,1976.79,-5.41,1976.71,-5.69
1976.7,-5.83,1976.7,-5.46,1976.63,-5.62
1976.62,-5.86,1976.62,-5.52,1976.54,-5.68
1976.54,-5.7,1976.54,-5.54,1976.46,-5.72
1976.45,-5.74,1976.45,-5.52,1976.38,-5.69
1976.37,-5.69,1976.37,-5.48,1976.29,-5.53
1976.29,-5.64,1976.29,-5.38,1976.21,-5.35
1976.2,-5.54,1976.2,-5.22,1976.13,-5.26
1976.12,-5.27,1976.12,-5.08,1976.04,-5.21
1976.04,-5.32,1976.04,-5.16,1975.96,-5.34
1975.95,-5.35,1975.95,-5.23,1975.88,-5.52
1975.87,-5.55,1975.87,-5.29,1975.79,-5.7
1975.79,-5.77,1975.79,-5.35,1975.71,-5.63
1975.7,-5.67,1975.7,-5.45,1975.63,-5.45
1975.62,-5.63,1975.62,-5.54,1975.54,-5.38
1975.54,-5.71,1975.54,-5.58,1975.46,-5.44
1975.45,-5.75,1975.45,-5.62,1975.38,-5.63
1975.37,-5.64,1975.37,-5.49,1975.29,-5.41
1975.29,-5.6,1975.29,-5.51,1975.21,-5.55
1975.2,-5.52,1975.2,-5.42,1975.13,-5.58
1975.12,-5.52,1975.12,-5.39,1975.04,-5.6
1975.04,-5.54,1975.04,-5.39,1974.96,-5.54
1974.95,-5.56,1974.95,-5.41,1974.88,-5.62
1974.87,-5.66,1974.87,-5.51,1974.79,-5.73
1974.79,-5.76,1974.79,-5.53,1974.71,-5.72
1974.7,-5.77,1974.7,-5.49,1974.63,-5.61
1974.62,-5.77,1974.62,-5.43,1974.54,-5.48
1974.54,-5.76,1974.54,-5.39,1974.46,-5.62
1974.45,-5.76,1974.45,-5.6,1974.38,-5.59
1974.37,-5.65,1974.37,-5.44,1974.29,-5.55
1974.29,-5.57,1974.29,-5.4,1974.21,-5.67
1974.2,-5.66,1974.2,-5.38,1974.13,-5.61
1974.12,-5.49,1974.12,-5.29,1974.04,-5.45
1974.04,-5.56,1974.04,-5.41,1973.96,-5.5
1973.95,-5.64,1973.95,-5.51,1973.88,-5.55
1973.87,-5.7,1973.87,-5.59,1973.79,-5.52
1973.79,-5.74,1973.79,-5.59,1973.71,-5.52
1973.7,-5.82,1973.7,-5.62,1973.63,-5.54
1973.62,-5.85,1973.62,-5.64,1973.54,-5.47
1973.54,-5.87,1973.54,-5.55,1973.46,-5.55
1973.45,-5.94,1973.45,-5.79,1973.38,-5.78
1973.37,-5.81,1973.37,-5.62,1973.29,-5.55
1973.29,-5.72,1973.29,-5.62,1973.21,-5.69
1973.2,-5.67,1973.2,-5.47,1973.13,-5.56
1973.12,-5.75,1973.12,-5.48,1973.04,-5.59
1973.04,-5.84,1973.04,-5.53,1972.96,-5.64
1972.95,-5.87,1972.95,-5.64,1972.88,-5.69
1972.87,-5.87,1972.87,-5.69,1972.79,-5.74
1972.79,-5.79,1972.79,-5.72,1972.71,-5.8
1972.7,-5.84,1972.7,-5.74,1972.63,-5.85
1972.62,-5.78,1972.62,-5.76,1972.54,-5.88
1972.54,-5.7,1972.54,-5.77,1972.46,-5.96
1972.45,-5.86,1972.45,-5.77,1972.38,-6.05
1972.37,-5.78,1972.37,-5.5,1972.29,-5.65
1972.29,-5.69,1972.29,-5.47,1972.21,-5.3
1972.2,-5.61,1972.2,-5.42,1972.13,-5.58
1972.12,-5.53,1972.12,-5.34,1972.04,-5.38
1972.04,-5.47,1972.04,-5.33,1971.96,-5.36
1971.95,-5.61,1971.95,-5.38,1971.88,-5.45
1971.87,-5.6,1971.87,-5.4,1971.79,-5.56
1971.79,-5.62,1971.79,-5.42,1971.71,-5.61
1971.7,-5.65,1971.7,-5.52,1971.63,-5.49
1971.62,-5.69,1971.62,-5.57,1971.54,-5.42
1971.54,-5.74,1971.54,-5.57,1971.46,-5.45
1971.45,-5.58,1971.45,-5.5,1971.38,-5.6
1971.37,-5.57,1971.37,-5.4,1971.29,-5.55
1971.29,-5.53,1971.29,-5.29,1971.21,-5.51
1971.2,-5.4,1971.2,-5.22,1971.13,-5.39
1971.12,-5.47,1971.12,-5.24,1971.04,-5.4
1971.04,-5.55,1971.04,-5.25,1970.96,-5.4
1970.95,-5.68,1970.95,-5.27,1970.88,-5.33
1970.87,-5.75,1970.87,-5.33,1970.79,-5.33
1970.79,-5.75,1970.79,-5.4,1970.71,-5.52
1970.7,-5.74,1970.7,-5.46,1970.63,-5.65
1970.62,-5.74,1970.62,-5.53,1970.54,-5.7
1970.54,-5.8,1970.54,-5.61,1970.46,-5.72
1970.45,-5.88,1970.45,-5.68,1970.38,-5.74
1970.37,-5.84,1970.37,-5.56,1970.29,-5.69
1970.29,-5.8,1970.29,-5.48,1970.21,-5.65
1970.2,-5.78,1970.2,-5.52,1970.13,-5.53
1970.12,-5.75,1970.12,-5.56,1970.04,-5.56
1970.04,-5.69,1970.04,-5.49,1969.96,-5.61
1969.95,-5.82,1969.95,-5.46,1969.88,-5.59
1969.87,-5.76,1969.87,-5.47,1969.79,-5.53
1969.79,-5.76,1969.79,-5.41,1969.71,-5.49
1969.7,-5.82,1969.7,-5.49,1969.63,-5.47
1969.62,-5.83,1969.62,-5.52,1969.54,-5.47
1969.54,-5.79,NA,NA,1969.46,-5.6
1969.45,-5.8,NA,NA,1969.38,-5.72
1969.37,-5.73,NA,NA,1969.29,-5.34
1969.29,-5.7,NA,NA,1969.21,-5.36
1969.2,-5.83,NA,NA,1969.13,-5.51
1969.12,-5.78,NA,NA,1969.04,-5.4
1969.04,-5.68,NA,NA,1968.96,-5.45
1968.95,-5.56,NA,NA,1968.88,-5.61
1968.87,-5.52,NA,NA,1968.79,-5.77
1968.79,-5.57,NA,NA,1968.71,-5.75
1968.7,-5.61,NA,NA,1968.63,-5.69
1968.62,-5.72,NA,NA,1968.54,-5.66
1968.54,-5.81,NA,NA,1968.46,-5.63
NA,NA,NA,NA,1968.38,-5.5
NA,NA,NA,NA,1968.29,-5.48
NA,NA,NA,NA,1968.21,-5.45
NA,NA,NA,NA,1968.13,-5.41
NA,NA,NA,NA,1968.04,-5.36
NA,NA,NA,NA,1967.96,-5.43
NA,NA,NA,NA,1967.88,-5.51
NA,NA,NA,NA,1967.79,-5.57
NA,NA,NA,NA,1967.71,-5.6
NA,NA,NA,NA,1967.63,-5.62
NA,NA,NA,NA,1967.54,-5.69
NA,NA,NA,NA,1967.46,-5.73
NA,NA,NA,NA,1967.38,-5.72
NA,NA,NA,NA,1967.29,-5.62
NA,NA,NA,NA,1967.21,-5.6
NA,NA,NA,NA,1967.13,-5.63
NA,NA,NA,NA,1967.04,-5.37
NA,NA,NA,NA,1966.96,-5.57
NA,NA,NA,NA,1966.88,-5.41
NA,NA,NA,NA,1966.79,-5.59
NA,NA,NA,NA,1966.71,-5.72
NA,NA,NA,NA,1966.63,-5.73
NA,NA,NA,NA,1966.54,-5.79
NA,NA,NA,NA,1966.46,-5.7
NA,NA,NA,NA,1966.38,-5.76
NA,NA,NA,NA,1966.29,-5.69
NA,NA,NA,NA,1966.21,-5.6
NA,NA,NA,NA,1966.13,-5.6
NA,NA,NA,NA,1966.04,-5.62
NA,NA,NA,NA,1965.96,-5.63
NA,NA,NA,NA,1965.88,-5.67
NA,NA,NA,NA,1965.79,-5.76
NA,NA,NA,NA,1965.71,-5.76
NA,NA,NA,NA,1965.63,-5.69
NA,NA,NA,NA,1965.54,-5.8
NA,NA,NA,NA,1965.46,-5.61
NA,NA,NA,NA,1965.38,-5.66
NA,NA,NA,NA,1965.29,-5.43
NA,NA,NA,NA,1965.21,-5.27
NA,NA,NA,NA,1965.13,-5.21
NA,NA,NA,NA,1965.04,-5.13
NA,NA,NA,NA,1964.96,-5.21
NA,NA,NA,NA,1964.88,-5.38
NA,NA,NA,NA,1964.79,-5.55
NA,NA,NA,NA,1964.71,-5.56
NA,NA,NA,NA,1964.63,-5.48
NA,NA,NA,NA,1964.54,-5.41
NA,NA,NA,NA,1964.46,-5.41
NA,NA,NA,NA,1964.38,-5.69
NA,NA,NA,NA,1964.29,-5.73
NA,NA,NA,NA,1964.21,-5.66
NA,NA,NA,NA,1964.13,-5.54
NA,NA,NA,NA,1964.04,-5.52
NA,NA,NA,NA,1963.96,-5.5
NA,NA,NA,NA,1963.88,-5.5
NA,NA,NA,NA,1963.79,-5.54
NA,NA,NA,NA,1963.71,-5.54
NA,NA,NA,NA,1963.63,-5.53
NA,NA,NA,NA,1963.54,-5.54
NA,NA,NA,NA,1963.46,-5.63
NA,NA,NA,NA,1963.38,-5.8
NA,NA,NA,NA,1963.29,-5.5
NA,NA,NA,NA,1963.21,-5.44
NA,NA,NA,NA,1963.13,-5.6
NA,NA,NA,NA,1963.04,-5.48
NA,NA,NA,NA,1962.96,-5.46
NA,NA,NA,NA,1962.88,-5.4
NA,NA,NA,NA,1962.79,-5.54
NA,NA,NA,NA,1962.71,-5.6
NA,NA,NA,NA,1962.63,-5.67
NA,NA,NA,NA,1962.54,-5.57
NA,NA,NA,NA,1962.46,-5.57
NA,NA,NA,NA,1962.38,-5.68
NA,NA,NA,NA,1962.29,-5.67
NA,NA,NA,NA,1962.21,-5.64
NA,NA,NA,NA,1962.13,-5.62
NA,NA,NA,NA,1962.04,-5.6
NA,NA,NA,NA,1961.96,-5.62
NA,NA,NA,NA,1961.88,-5.78
NA,NA,NA,NA,1961.79,-5.86
NA,NA,NA,NA,1961.71,-5.85
NA,NA,NA,NA,1961.63,-5.84
NA,NA,NA,NA,1961.54,-5.8
NA,NA,NA,NA,1961.46,-5.72
NA,NA,NA,NA,1961.38,-5.83
NA,NA,NA,NA,1961.29,-5.71
NA,NA,NA,NA,1961.21,-5.56
NA,NA,NA,NA,1961.13,-5.44
NA,NA,NA,NA,1961.04,-5.39
NA,NA,NA,NA,1960.96,-5.44
NA,NA,NA,NA,1960.88,-5.52
NA,NA,NA,NA,1960.79,-5.61
NA,NA,NA,NA,1960.71,-5.68
NA,NA,NA,NA,1960.63,-5.68
NA,NA,NA,NA,1960.54,-5.66
NA,NA,NA,NA,1960.46,-5.65
NA,NA,NA,NA,1960.38,-5.68
NA,NA,NA,NA,1960.29,-5.67
NA,NA,NA,NA,1960.21,-5.63
NA,NA,NA,NA,1960.13,-5.58
NA,NA,NA,NA,1960.04,-5.5
NA,NA,NA,NA,1959.96,-5.6
NA,NA,NA,NA,1959.88,-5.67
NA,NA,NA,NA,1959.79,-5.74
NA,NA,NA,NA,1959.71,-5.76
NA,NA,NA,NA,1959.63,-5.68
NA,NA,NA,NA,1959.54,-5.63
NA,NA,NA,NA,1959.46,-5.6
NA,NA,NA,NA,1959.38,-5.65
NA,NA,NA,NA,1959.29,-5.65
NA,NA,NA,NA,1959.21,-5.64
NA,NA,NA,NA,1959.13,-5.55
NA,NA,NA,NA,1959.04,-5.44
NA,NA,NA,NA,1958.96,-5.46
NA,NA,NA,NA,1958.88,-5.51
NA,NA,NA,NA,1958.79,-5.56
NA,NA,NA,NA,1958.71,-5.62
NA,NA,NA,NA,1958.63,-5.69
NA,NA,NA,NA,1958.54,-5.74
NA,NA,NA,NA,1958.46,-5.78
NA,NA,NA,NA,1958.38,-5.81
NA,NA,NA,NA,1958.29,-5.73
NA,NA,NA,NA,1958.21,-5.69
NA,NA,NA,NA,1958.13,-5.68
NA,NA,NA,NA,1958.04,-5.6
NA,NA,NA,NA,1957.96,-5.67
NA,NA,NA,NA,1957.88,-5.82
NA,NA,NA,NA,1957.79,-5.86
NA,NA,NA,NA,1957.71,-5.82
NA,NA,NA,NA,1957.63,-5.81
NA,NA,NA,NA,1957.54,-5.8
NA,NA,NA,NA,1957.46,-5.73
NA,NA,NA,NA,1957.38,-5.64
NA,NA,NA,NA,1957.29,-5.65
NA,NA,NA,NA,1957.21,-5.68
NA,NA,NA,NA,1957.13,-5.57
NA,NA,NA,NA,1957.04,-5.45
NA,NA,NA,NA,1956.96,-5.46
NA,NA,NA,NA,1956.88,-5.49
NA,NA,NA,NA,1956.79,-5.52
NA,NA,NA,NA,1956.71,-5.57
NA,NA,NA,NA,1956.63,-5.63
NA,NA,NA,NA,1956.54,-5.74
NA,NA,NA,NA,1956.46,-5.81
NA,NA,NA,NA,1956.38,-5.85
NA,NA,NA,NA,1956.29,-5.74
NA,NA,NA,NA,1956.21,-5.69
NA,NA,NA,NA,1956.13,-5.57
NA,NA,NA,NA,1956.04,-5.39
NA,NA,NA,NA,1955.96,-5.35
NA,NA,NA,NA,1955.88,-5.42
NA,NA,NA,NA,1955.79,-5.48
NA,NA,NA,NA,1955.71,-5.5
NA,NA,NA,NA,1955.63,-5.57
NA,NA,NA,NA,1955.54,-5.6
NA,NA,NA,NA,1955.46,-5.6
NA,NA,NA,NA,1955.38,-5.69
NA,NA,NA,NA,1955.29,-5.63
NA,NA,NA,NA,1955.21,-5.65
NA,NA,NA,NA,1955.13,-5.65
NA,NA,NA,NA,1955.04,-5.54
NA,NA,NA,NA,1954.96,-5.64
NA,NA,NA,NA,1954.88,-5.69
NA,NA,NA,NA,1954.79,-5.67
NA,NA,NA,NA,1954.71,-5.79
NA,NA,NA,NA,1954.63,-5.77
NA,NA,NA,NA,1954.54,-5.71
NA,NA,NA,NA,1954.46,-5.68
NA,NA,NA,NA,1954.38,-5.75
NA,NA,NA,NA,1954.29,-5.67
NA,NA,NA,NA,1954.21,-5.64
NA,NA,NA,NA,1954.13,-5.65
NA,NA,NA,NA,1954.04,-5.53
NA,NA,NA,NA,1953.96,-5.52
NA,NA,NA,NA,1953.88,-5.53
NA,NA,NA,NA,1953.79,-5.55
NA,NA,NA,NA,1953.71,-5.58
NA,NA,NA,NA,1953.63,-5.63
NA,NA,NA,NA,1953.54,-5.7
NA,NA,NA,NA,1953.46,-5.74
NA,NA,NA,NA,1953.38,-5.74
NA,NA,NA,NA,1953.29,-5.66
NA,NA,NA,NA,1953.21,-5.62
NA,NA,NA,NA,1953.13,-5.59
NA,NA,NA,NA,1953.04,-5.47
NA,NA,NA,NA,1952.96,-5.56
NA,NA,NA,NA,1952.88,-5.6
NA,NA,NA,NA,1952.79,-5.73
NA,NA,NA,NA,1952.71,-5.73
NA,NA,NA,NA,1952.63,-5.59
NA,NA,NA,NA,1952.54,-5.65
NA,NA,NA,NA,1952.46,-5.72
NA,NA,NA,NA,1952.38,-5.76
NA,NA,NA,NA,1952.29,-5.75
NA,NA,NA,NA,1952.21,-5.74
NA,NA,NA,NA,1952.13,-5.68
NA,NA,NA,NA,1952.04,-5.55
NA,NA,NA,NA,1951.96,-5.59
NA,NA,NA,NA,1951.88,-5.68
NA,NA,NA,NA,1951.79,-5.75
NA,NA,NA,NA,1951.71,-5.71
NA,NA,NA,NA,1951.63,-5.66
NA,NA,NA,NA,1951.54,-5.65
NA,NA,NA,NA,1951.46,-5.67
NA,NA,NA,NA,1951.38,-5.65
NA,NA,NA,NA,1951.29,-5.62
NA,NA,NA,NA,1951.21,-5.54
NA,NA,NA,NA,1951.13,-5.45
NA,NA,NA,NA,1951.04,-5.41
NA,NA,NA,NA,1950.96,-5.51
NA,NA,NA,NA,1950.88,-5.65
NA,NA,NA,NA,1950.79,-5.62
