year (AD),depth (cm),depth (cm),depth (cm),d18O (permil),d18O (permil),core ()
976,NA,NA,69.5,0.99,1.84,MD95-2011
963,NA,NA,70.5,1.06,2.17,MD95-2011
954,NA,NA,71.5,1.32,2.12,MD95-2011
945,NA,NA,72.5,1.13,2.09,MD95-2011
936,NA,NA,73.5,1.32,2.14,MD95-2011
927,NA,NA,74.5,1.27,2.05,MD95-2011
918,NA,NA,75.5,1.27,2.24,MD95-2011
909,NA,NA,76.5,1.38,1.71,MD95-2011
900,NA,NA,77.5,1.44,1.82,MD95-2011
891,NA,NA,78.5,1.25,2.06,MD95-2011
882,NA,NA,79.5,1.32,2.13,MD95-2011
872,NA,NA,80.5,1.41,1.84,MD95-2011
863,NA,NA,81.5,1.27,2.28,MD95-2011
854,NA,NA,82.5,1.46,1.69,MD95-2011
845,NA,NA,83.5,1.37,1.49,MD95-2011
836,NA,NA,84.5,1.19,1.79,MD95-2011
827,NA,NA,85.5,1.32,1.87,MD95-2011
818,NA,NA,86.5,1.36,2.06,MD95-2011
809,NA,NA,87.5,1.25,1.99,MD95-2011
800,NA,NA,88.5,1.15,2.51,MD95-2011
791,NA,NA,89.5,1.18,1.85,MD95-2011
779,NA,NA,90.5,1.35,1.47,MD95-2011
767,NA,NA,91.5,1.49,1.74,MD95-2011
754,NA,NA,92.5,1.4,1.84,MD95-2011
742,NA,NA,93.5,1.48,1.81,MD95-2011
730,NA,NA,94.5,1.38,1.95,MD95-2011
718,NA,NA,95.5,1.5,2.07,MD95-2011
705,NA,NA,96.5,1.3,1.37,MD95-2011
693,NA,NA,97.5,1.18,1.61,MD95-2011
681,NA,NA,98.5,1.05,1.98,MD95-2011
669,NA,NA,99.5,1.11,1.72,MD95-2011
656,NA,NA,100.5,1.08,1.77,MD95-2011
644,NA,NA,101.5,1.42,1.84,MD95-2011
632,NA,NA,102.5,1.54,1.75,MD95-2011
620,NA,NA,103.5,1.41,1.82,MD95-2011
607,NA,NA,104.5,1.34,1.69,MD95-2011
595,NA,NA,105.5,1.29,1.82,MD95-2011
583,NA,NA,106.5,1.4,1.52,MD95-2011
571,NA,NA,107.5,0.79,1.71,MD95-2011
559,NA,NA,108.5,1.28,1.68,MD95-2011
546,NA,NA,109.5,1.25,1.87,MD95-2011
534,NA,NA,110.5,1.26,1.94,MD95-2011
522,NA,NA,111.5,1.47,2.29,MD95-2011
510,NA,NA,112.5,1.38,1.77,MD95-2011
497,NA,NA,113.5,1.4,1.84,MD95-2011
485,NA,NA,114.5,1.23,2.07,MD95-2011
473,NA,NA,115.5,1.34,1.96,MD95-2011
461,NA,NA,116.5,1.69,2.03,MD95-2011
448,NA,NA,117.5,1.58,1.95,MD95-2011
436,NA,NA,118.5,1.54,2.22,MD95-2011
424,NA,NA,119.5,0.74,2.32,MD95-2011
412,NA,NA,120.5,1.06,1.8,MD95-2011
399,NA,NA,121.5,1.14,1.92,MD95-2011
387,NA,NA,122.5,1.13,2.15,MD95-2011
375,NA,NA,123.5,0.79,1.83,MD95-2011
363,NA,NA,124.5,1.2,2.11,MD95-2011
351,NA,NA,125.5,1.08,1.94,MD95-2011
338,NA,NA,126.5,1.21,2.1,MD95-2011
326,NA,NA,127.5,1.17,1.59,MD95-2011
314,NA,NA,128.5,1.28,2.05,MD95-2011
302,NA,NA,129.5,1.43,2,MD95-2011
289,NA,NA,130.5,0.95,NA,MD95-2011
277,NA,NA,131.5,0.89,1.84,MD95-2011
265,NA,NA,132.5,1.23,1.89,MD95-2011
253,NA,NA,133.5,1.17,1.81,MD95-2011
240,NA,NA,134.5,1.12,1.65,MD95-2011
228,NA,NA,135.5,1.25,1.98,MD95-2011
216,NA,NA,136.5,1.09,NA,MD95-2011
204,NA,NA,137.5,1.16,1.96,MD95-2011
192,NA,NA,138.5,1.33,1.92,MD95-2011
179,NA,NA,139.5,1.2,1.28,MD95-2011
167,NA,NA,140.5,1.13,1.75,MD95-2011
155,NA,NA,141.5,1.12,2,MD95-2011
143,NA,NA,142.5,0.83,1.72,MD95-2011
130,NA,NA,143.5,0.75,1.74,MD95-2011
118,NA,NA,144.5,1.09,1.67,MD95-2011
106,NA,NA,145.5,1,1.72,MD95-2011
94,NA,NA,146.5,1.06,1.63,MD95-2011
81,NA,NA,147.5,1.01,1.72,MD95-2011
69,NA,NA,148.5,0.85,2.06,MD95-2011
57,NA,NA,149.5,0.73,1.76,MD95-2011
45,NA,NA,150.5,1.05,NA,MD95-2011
32,NA,NA,151.5,0.98,1.82,MD95-2011
20,NA,NA,152.5,0.92,1.78,MD95-2011
8,NA,NA,153.5,0.99,1.63,MD95-2011
-14,NA,NA,154.5,0.89,1.72,MD95-2011
-35,NA,NA,155.5,0.94,1.69,MD95-2011
-57,NA,NA,156.5,0.93,1.84,MD95-2011
-78,NA,NA,157.5,1.15,1.68,MD95-2011
-100,NA,NA,158.5,0.92,1.97,MD95-2011
-122,NA,NA,159.5,0.96,1.49,MD95-2011
-143,NA,NA,160.5,0.97,1.77,MD95-2011
-165,NA,NA,161.5,0.81,1.69,MD95-2011
-251,NA,NA,165.5,1.28,1.57,MD95-2011
-273,NA,NA,166.5,1.06,1.84,MD95-2011
-294,NA,NA,167.5,1,2.03,MD95-2011
-316,NA,NA,168.5,0.99,1.83,MD95-2011
-337,NA,NA,169.5,1.25,1.6,MD95-2011
-359,NA,NA,170.5,1.22,1.9,MD95-2011
-374,NA,NA,171.5,0.99,1.85,MD95-2011
-388,NA,NA,172.5,1.34,2.14,MD95-2011
-403,NA,NA,173.5,0.99,1.75,MD95-2011
-418,NA,NA,174.5,1.23,1.92,MD95-2011
-432,NA,NA,175.5,1.21,1.9,MD95-2011
-447,NA,NA,176.5,1.1,1.7,MD95-2011
-462,NA,NA,177.5,1.28,1.99,MD95-2011
-476,NA,NA,178.5,1.27,1.92,MD95-2011
-491,NA,NA,179.5,1.07,2.15,MD95-2011
-506,NA,NA,180.5,0.7,NA,MD95-2011
-521,NA,NA,181.5,1.22,1.53,MD95-2011
-535,NA,NA,182.5,0.96,1.78,MD95-2011
-550,NA,NA,183.5,0.71,1.8,MD95-2011
-565,NA,NA,184.5,1.11,1.92,MD95-2011
-579,NA,NA,185.5,0.63,2.1,MD95-2011
-594,NA,NA,186.5,0.83,2.15,MD95-2011
-609,NA,NA,187.5,1,1.9,MD95-2011
-623,NA,NA,188.5,1.29,1.8,MD95-2011
-638,NA,NA,189.5,0.56,2.03,MD95-2011
-653,NA,NA,190.5,1.29,2.09,MD95-2011
-667,NA,NA,191.5,1.66,2.04,MD95-2011
-682,NA,NA,192.5,1.52,2.13,MD95-2011
-697,NA,NA,193.5,1.52,2.22,MD95-2011
-711,NA,NA,194.5,1.79,2.07,MD95-2011
-726,NA,NA,195.5,1.34,2.23,MD95-2011
-741,NA,NA,196.5,1.83,2.08,MD95-2011
-756,NA,NA,197.5,1.6,2.35,MD95-2011
-770,NA,NA,198.5,1.71,2.17,MD95-2011
-785,NA,NA,199.5,1.6,2.31,MD95-2011
-800,NA,NA,200.5,1.39,2.11,MD95-2011
-814,NA,NA,201.5,1.29,1.84,MD95-2011
-829,NA,NA,202.5,1.26,2.14,MD95-2011
-844,NA,NA,203.5,1.41,1.93,MD95-2011
-858,NA,NA,204.5,1.1,1.94,MD95-2011
-873,NA,NA,205.5,2.05,1.91,MD95-2011
-888,NA,NA,206.5,1.32,2.02,MD95-2011
-902,NA,NA,207.5,1.33,1.94,MD95-2011
-917,NA,NA,208.5,1.35,1.95,MD95-2011
-932,NA,NA,209.5,1.32,1.9,MD95-2011
-946,NA,NA,210.5,1.24,2.18,MD95-2011
-961,NA,NA,211.5,1.1,1.74,MD95-2011
-976,NA,NA,212.5,1.28,1.94,MD95-2011
-991,NA,NA,213.5,1.14,1.64,MD95-2011
-1005,NA,NA,214.5,1.33,1.79,MD95-2011
-1020,NA,NA,215.5,1.43,2.08,MD95-2011
-1035,NA,NA,216.5,1.25,1.89,MD95-2011
-1049,NA,NA,217.5,1.36,1.83,MD95-2011
-1064,NA,NA,218.5,1.51,1.75,MD95-2011
-1079,NA,NA,219.5,1.38,2.03,MD95-2011
-1093,NA,NA,220.5,0.95,1.36,MD95-2011
-1108,NA,NA,221.5,1.13,1.6,MD95-2011
-1123,NA,NA,222.5,1.16,1.73,MD95-2011
-1137,NA,NA,223.5,1.31,1.7,MD95-2011
-1152,NA,NA,224.5,1.22,1.58,MD95-2011
-1167,NA,NA,225.5,0.96,1.78,MD95-2011
-1181,NA,NA,226.5,1.31,1.81,MD95-2011
-1196,NA,NA,227.5,1.36,1.94,MD95-2011
-1211,NA,NA,228.5,1.39,1.77,MD95-2011
-1226,NA,NA,229.5,1.12,1.69,MD95-2011
-1255,NA,NA,231.5,1.36,NA,MD95-2011
-1270,NA,NA,232.5,1.3,1.63,MD95-2011
-1284,NA,NA,233.5,1.33,1.6,MD95-2011
-1299,NA,NA,234.5,1.34,1.78,MD95-2011
-1314,NA,NA,235.5,NA,2.12,MD95-2011
-1328,NA,NA,236.5,1.18,1.74,MD95-2011
-1343,NA,NA,237.5,1.21,1.65,MD95-2011
-1358,NA,NA,238.5,1.15,1.84,MD95-2011
-1372,NA,NA,239.5,1.26,1.71,MD95-2011
-1402,NA,NA,241.5,1.15,1.71,MD95-2011
-1416,NA,NA,242.5,1.11,1.73,MD95-2011
-1431,NA,NA,243.5,1.03,1.82,MD95-2011
-1446,NA,NA,244.5,1.19,1.83,MD95-2011
-1461,NA,NA,245.5,NA,2.07,MD95-2011
-1475,NA,NA,246.5,1.41,2.11,MD95-2011
-1490,NA,NA,247.5,1.13,1.83,MD95-2011
-1505,NA,NA,248.5,1.27,1.81,MD95-2011
-1519,NA,NA,249.5,1.3,1.79,MD95-2011
-1534,NA,NA,250.5,1.46,2.02,MD95-2011
-1549,NA,NA,251.5,1.3,1.81,MD95-2011
-1563,NA,NA,252.5,1.19,1.78,MD95-2011
-1578,NA,NA,253.5,1.16,2.18,MD95-2011
-1593,NA,NA,254.5,1.25,2.19,MD95-2011
-1607,NA,NA,255.5,1.64,2.17,MD95-2011
-1622,NA,NA,256.5,1.34,2.17,MD95-2011
-1637,NA,NA,257.5,1.38,2.05,MD95-2011
-1651,NA,NA,258.5,1.47,2.12,MD95-2011
-1666,NA,NA,259.5,1.39,2.14,MD95-2011
-1681,NA,NA,260.5,1.79,2.4,MD95-2011
-1696,NA,NA,261.5,1.18,2.22,MD95-2011
-1710,NA,NA,262.5,1.29,2.17,MD95-2011
-1725,NA,NA,263.5,1.45,2.02,MD95-2011
-1740,NA,NA,264.5,1.48,2.01,MD95-2011
-1754,NA,NA,265.5,1.59,2.62,MD95-2011
-1769,NA,NA,266.5,1.3,2.03,MD95-2011
-1784,NA,NA,267.5,1.29,2.18,MD95-2011
-1798,NA,NA,268.5,1.33,2.05,MD95-2011
-1813,NA,NA,269.5,1.47,2.3,MD95-2011
-1826,NA,NA,270.5,1.66,2.41,MD95-2011
-1839,NA,NA,271.5,1.39,2.1,MD95-2011
-1852,NA,NA,272.5,1.46,2.16,MD95-2011
-1866,NA,NA,273.5,1.44,2.2,MD95-2011
-1879,NA,NA,274.5,1.46,2.05,MD95-2011
-1892,NA,NA,275.5,1.97,2.19,MD95-2011
-1905,NA,NA,276.5,1.67,2.13,MD95-2011
-1918,NA,NA,277.5,1.81,2.2,MD95-2011
-1931,NA,NA,278.5,1.54,2.28,MD95-2011
-1945,NA,NA,279.5,1.48,2.1,MD95-2011
-1958,NA,NA,280.5,1.83,2.24,MD95-2011
-1971,NA,NA,281.5,1.34,2.01,MD95-2011
-1984,NA,NA,282.5,1.55,1.9,MD95-2011
-1997,NA,NA,283.5,1.42,2.17,MD95-2011
-2010,NA,NA,284.5,1.47,1.92,MD95-2011
-2024,NA,NA,285.5,1.88,2.45,MD95-2011
-2037,NA,NA,286.5,1.45,2.09,MD95-2011
-2050,NA,NA,287.5,1.43,1.72,MD95-2011
-2063,NA,NA,288.5,1.61,2.11,MD95-2011
-2076,NA,NA,289.5,1.45,2.19,MD95-2011
-2089,NA,NA,290.5,1.53,2.01,MD95-2011
-2102,NA,NA,291.5,1.59,2.06,MD95-2011
-2116,NA,NA,292.5,1.25,2.05,MD95-2011
-2129,NA,NA,293.5,1.21,1.96,MD95-2011
-2142,NA,NA,294.5,1.41,2,MD95-2011
-2155,NA,NA,295.5,1.78,2.3,MD95-2011
-2168,NA,NA,296.5,1.4,NA,MD95-2011
-2181,NA,NA,297.5,1.3,1.87,MD95-2011
-2195,NA,NA,298.5,1.38,1.81,MD95-2011
-2208,NA,NA,299.5,1.43,2.12,MD95-2011
-2221,NA,NA,300.5,1.63,2.07,MD95-2011
-2234,NA,NA,301.5,1.22,1.98,MD95-2011
-2247,NA,NA,302.5,1.42,2.11,MD95-2011
-2260,NA,NA,303.5,1.49,1.93,MD95-2011
-2273,NA,NA,304.5,1.46,2.12,MD95-2011
-2287,NA,NA,305.5,1.88,2.44,MD95-2011
-2300,NA,NA,306.5,1.49,2.19,MD95-2011
-2313,NA,NA,307.5,1.66,2.25,MD95-2011
-2326,NA,NA,308.5,1.66,2.19,MD95-2011
-2339,NA,NA,309.5,1.67,2.04,MD95-2011
-2352,NA,NA,310.5,1.75,2.27,MD95-2011
-2366,NA,NA,311.5,1.41,1.99,MD95-2011
-2379,NA,NA,312.5,1.38,2.2,MD95-2011
-2418,NA,NA,315.5,1.59,2.47,MD95-2011
-2549,NA,NA,324.5,1.39,2.04,MD95-2011
-2566,NA,NA,325.5,1.65,2.13,MD95-2011
-2582,NA,NA,326.5,1.39,1.99,MD95-2011
-2598,NA,NA,327.5,1.47,2.07,MD95-2011
-2615,NA,NA,328.5,1.43,1.97,MD95-2011
-2631,NA,NA,329.5,1.36,2.03,MD95-2011
-2647,NA,NA,330.5,1.42,2.05,MD95-2011
-2663,NA,NA,331.5,1.38,1.81,MD95-2011
-2680,NA,NA,332.5,NA,1.77,MD95-2011
-2696,NA,NA,333.5,1.55,1.92,MD95-2011
-2712,NA,NA,334.5,1.29,1.97,MD95-2011
-2729,NA,NA,335.5,1.54,2.26,MD95-2011
-2745,NA,NA,336.5,1.44,2.1,MD95-2011
-2761,NA,NA,337.5,1.59,2.22,MD95-2011
-2778,NA,NA,338.5,1.46,1.96,MD95-2011
-2794,NA,NA,339.5,1.41,2.09,MD95-2011
-2810,NA,NA,340.5,1.58,2.21,MD95-2011
-2827,NA,NA,341.5,1.52,NA,MD95-2011
-2843,NA,NA,342.5,1.38,2.09,MD95-2011
-2859,NA,NA,343.5,1.29,2.09,MD95-2011
-2876,NA,NA,344.5,1.36,2.06,MD95-2011
-2892,NA,NA,345.5,1.58,2.35,MD95-2011
-2908,NA,NA,346.5,1.28,2.13,MD95-2011
-2925,NA,NA,347.5,1.7,2.1,MD95-2011
-2941,NA,NA,348.5,1.64,2.12,MD95-2011
-2957,NA,NA,349.5,1.63,2.05,MD95-2011
-2973,NA,NA,350.5,1.57,2.56,MD95-2011
-2990,NA,NA,351.5,1.59,2.26,MD95-2011
-3006,NA,NA,352.5,1.47,2.05,MD95-2011
-3022,NA,NA,353.5,1.44,2.09,MD95-2011
-3039,NA,NA,354.5,1.37,2.06,MD95-2011
-3055,NA,NA,355.5,1.61,2.09,MD95-2011
-3071,NA,NA,356.5,1.54,2.13,MD95-2011
-3088,NA,NA,357.5,1.41,1.96,MD95-2011
-3104,NA,NA,358.5,1.6,2.05,MD95-2011
-3120,NA,NA,359.5,1.61,2.05,MD95-2011
-3137,NA,NA,360.5,1.75,2.43,MD95-2011
-3153,NA,NA,361.5,1.36,1.95,MD95-2011
-3169,NA,NA,362.5,1.34,2,MD95-2011
-3186,NA,NA,363.5,1.38,2.08,MD95-2011
-3202,NA,NA,364.5,1.36,2.03,MD95-2011
-3218,NA,NA,365.5,1.68,2.28,MD95-2011
-3234,NA,NA,366.5,1.56,2.02,MD95-2011
-3251,NA,NA,367.5,1.43,2.21,MD95-2011
-3267,NA,NA,368.5,1.53,1.99,MD95-2011
-3283,NA,NA,369.5,1.42,2.02,MD95-2011
-3300,NA,NA,370.5,1.69,2.08,MD95-2011
-3316,NA,NA,371.5,1.47,2.04,MD95-2011
-3332,NA,NA,372.5,1.32,2.1,MD95-2011
-3349,NA,NA,373.5,1.56,1.91,MD95-2011
-3365,NA,NA,374.5,1.55,1.96,MD95-2011
-3381,NA,NA,375.5,NA,1.98,MD95-2011
-3398,NA,NA,376.5,1.42,2.05,MD95-2011
-3414,NA,NA,377.5,1.38,1.99,MD95-2011
-3430,NA,NA,378.5,1.4,2.05,MD95-2011
-3447,NA,NA,379.5,1.41,1.91,MD95-2011
-3463,NA,NA,380.5,1.34,2.26,MD95-2011
-3479,NA,NA,381.5,1.28,2.07,MD95-2011
-3496,NA,NA,382.5,1.34,2.03,MD95-2011
-3512,NA,NA,383.5,1.32,2.05,MD95-2011
-3528,NA,NA,384.5,1.51,1.94,MD95-2011
-3544,NA,NA,385.5,1.27,2.03,MD95-2011
-3561,NA,NA,386.5,1.6,2,MD95-2011
-3577,NA,NA,387.5,1.62,1.85,MD95-2011
-3593,NA,NA,388.5,1.79,1.93,MD95-2011
-3610,NA,NA,389.5,1.35,1.85,MD95-2011
-3626,NA,NA,390.5,1.54,1.94,MD95-2011
-3642,NA,NA,391.5,1.51,2.01,MD95-2011
-3659,NA,NA,392.5,1.39,2,MD95-2011
-3675,NA,NA,393.5,1.63,2.05,MD95-2011
-3691,NA,NA,394.5,1.38,2.02,MD95-2011
-3708,NA,NA,395.5,1.64,2.12,MD95-2011
-3724,NA,NA,396.5,1.54,2,MD95-2011
-3740,NA,NA,397.5,1.65,1.86,MD95-2011
-3757,NA,NA,398.5,1.45,2,MD95-2011
-3773,NA,NA,399.5,1.6,1.93,MD95-2011
-3789,NA,NA,400.5,1.57,2.12,MD95-2011
-3806,NA,NA,401.5,NA,NA,MD95-2011
-3822,NA,NA,402.5,NA,NA,MD95-2011
-3838,NA,NA,403.5,1.43,2.01,MD95-2011
-3854,NA,NA,404.5,1.75,2.09,MD95-2011
-3871,NA,NA,405.5,1.59,2.11,MD95-2011
-3887,NA,NA,406.5,1.47,1.98,MD95-2011
-3903,NA,NA,407.5,1.52,2.02,MD95-2011
-3920,NA,NA,408.5,1.33,2.16,MD95-2011
-3936,NA,NA,409.5,1.27,2.09,MD95-2011
-3952,NA,NA,410.5,1.48,2.36,MD95-2011
-3969,NA,NA,411.5,1.41,1.98,MD95-2011
-3985,NA,NA,412.5,1.55,2.04,MD95-2011
-4018,NA,NA,414.5,1.22,2.12,MD95-2011
-4034,NA,NA,415.5,1.54,2.12,MD95-2011
-4050,NA,NA,416.5,1.21,2.05,MD95-2011
-4067,NA,NA,417.5,1.51,2.21,MD95-2011
-4083,NA,NA,418.5,1.37,2.19,MD95-2011
-4099,NA,NA,419.5,1.26,2.1,MD95-2011
-4116,NA,NA,420.5,1.59,2.09,MD95-2011
-4132,NA,NA,421.5,1.35,1.82,MD95-2011
-4148,NA,NA,422.5,1.32,2.06,MD95-2011
-4164,NA,NA,423.5,1.43,1.92,MD95-2011
-4181,NA,NA,424.5,1.49,1.97,MD95-2011
-4197,NA,NA,425.5,1.82,2.25,MD95-2011
-4213,NA,NA,426.5,1.58,2.09,MD95-2011
-4230,NA,NA,427.5,1.52,2.09,MD95-2011
-4246,NA,NA,428.5,1.43,2.13,MD95-2011
-4262,NA,NA,429.5,1.52,2.01,MD95-2011
-4279,NA,NA,430.5,1.66,1.98,MD95-2011
-4295,NA,NA,431.5,1.37,2.09,MD95-2011
-4311,NA,NA,432.5,1.24,2.14,MD95-2011
-4328,NA,NA,433.5,1.36,2.18,MD95-2011
-4344,NA,NA,434.5,1.34,2.24,MD95-2011
-4360,NA,NA,435.5,1.58,2.06,MD95-2011
-4377,NA,NA,436.5,1.39,1.92,MD95-2011
-4393,NA,NA,437.5,1.38,1.87,MD95-2011
-4409,NA,NA,438.5,1.37,2,MD95-2011
-4425,NA,NA,439.5,1.34,2.02,MD95-2011
-4442,NA,NA,440.5,1.69,2.28,MD95-2011
-4458,NA,NA,441.5,1.48,2.07,MD95-2011
-4474,NA,NA,442.5,1.47,2.12,MD95-2011
-4491,NA,NA,443.5,1.4,2.1,MD95-2011
-4507,NA,NA,444.5,1.36,1.94,MD95-2011
-4523,NA,NA,445.5,1.9,2.26,MD95-2011
-4540,NA,NA,446.5,1.32,2.09,MD95-2011
-4556,NA,NA,447.5,1.32,2.16,MD95-2011
-4572,NA,NA,448.5,1.46,2.06,MD95-2011
-4589,NA,NA,449.5,1.41,2.06,MD95-2011
-4605,NA,NA,450.5,1.8,2.23,MD95-2011
-4621,NA,NA,451.5,1.47,2,MD95-2011
-4638,NA,NA,452.5,1.56,2.2,MD95-2011
-4654,NA,NA,453.5,1.35,2.08,MD95-2011
-4670,NA,NA,454.5,1.51,2.21,MD95-2011
