year (AD) [1-1],depth (mm) [1-1],d18O (permil) [1-1],year (AD) [1-2],depth (mm) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],year (AD) [1-3],d18O (permil) [1-3],d18O (permil) [1-3]
2003.583333,12.4,-5.6385,2003.583333,52,-6.269,NA,NA,NA,NA
2003.5,12.7,-5.6483,2003.5,53,-5.957,NA,NA,NA,NA
2003.416667,12.9,-5.6094,2003.416667,54,-6.447,NA,NA,NA,NA
2003.333333,13.3,-5.4305,2003.333333,54.9,-5.918,NA,NA,NA,NA
2003.25,14.2,-5.0635,2003.25,55.9,-5.817,NA,NA,NA,NA
2003.166667,15.1,-4.7026,2003.166667,56.8,-5.598,NA,NA,NA,NA
2003.083333,16,-4.307,2003.083333,57.5,-5.578,NA,NA,NA,NA
2003,16.5,-4.2218,2003,58,-5.534,NA,NA,NA,NA
2002.916667,17,-4.2339,2002.916667,58.4,-6.3,NA,NA,NA,NA
2002.833333,17.4,-5.4922,2002.833333,58.9,-6.191,NA,NA,NA,NA
2002.75,17.8,-5.07,2002.75,59.3,-6,NA,NA,NA,NA
2002.666667,18.1,-4.386,2002.666667,59.7,-6.107,NA,NA,NA,NA
2002.583333,18.4,-4.6348,2002.583333,60.1,-6.213,NA,NA,NA,NA
2002.5,18.7,-4.8905,2002.5,60.6,-5.862,NA,NA,NA,NA
2002.416667,19,-5.15,2002.416667,61,-5.733,NA,NA,NA,NA
2002.333333,19.3,-5.0122,2002.333333,61.7,-5.551,NA,NA,NA,NA
2002.25,19.7,-5.0022,2002.25,62.4,-5.671,NA,NA,NA,NA
2002.166667,20.4,-4.9751,2002.166667,63.3,-5.311,NA,NA,NA,NA
2002.083333,21.3,-4.8845,2002.083333,64.4,-5.368,NA,NA,NA,NA
2002,21.8,-4.868,2002,64.8,-5.384,NA,NA,NA,NA
2001.916667,22.2,-4.9043,2001.916667,65.2,-5.409,NA,NA,NA,NA
2001.833333,22.6,-4.8935,2001.833333,65.5,-5.47,NA,NA,NA,NA
2001.75,22.7,-5.0223,2001.75,65.5,-5.474,NA,NA,NA,NA
2001.666667,22.9,-5.1511,2001.666667,65.6,-5.422,NA,NA,NA,NA
2001.583333,23.1,-5.1941,2001.583333,65.7,-5.371,NA,NA,NA,NA
2001.5,23.2,-5.1174,2001.5,65.8,-5.319,NA,NA,NA,NA
2001.416667,23.4,-5.0407,2001.416667,65.9,-5.268,NA,NA,NA,NA
2001.333333,23.6,-4.9936,2001.333333,66,-5.19,NA,NA,NA,NA
2001.25,24.5,-5.5415,2001.25,66.5,-4.842,NA,NA,NA,NA
2001.166667,25.3,-5.6178,2001.166667,67.5,-5.623,NA,NA,NA,NA
2001.083333,25.8,-5.8226,2001.083333,69.3,-6.248,NA,NA,NA,NA
2001,26.2,-5.8789,2001,69.8,-6.284,NA,NA,NA,NA
2000.916667,26.5,-5.8641,2000.916667,70.1,-6.009,NA,NA,NA,NA
2000.833333,26.7,-5.8469,2000.833333,70.4,-5.313,NA,NA,NA,NA
2000.75,27,-5.8292,2000.75,70.7,-5.118,NA,NA,NA,NA
2000.666667,27.2,-5.9287,2000.666667,70.8,-5.063,NA,NA,NA,NA
2000.583333,27.4,-6.0558,2000.583333,71,-5.012,NA,NA,NA,NA
2000.5,27.6,-6.1013,2000.5,71.2,-5.089,NA,NA,NA,NA
2000.416667,27.8,-6.0314,2000.416667,71.3,-5.167,NA,NA,NA,NA
2000.333333,28,-5.9614,2000.333333,71.5,-5.247,NA,NA,NA,NA
2000.25,29.1,-5.5793,2000.25,72,-5.384,NA,NA,NA,NA
2000.166667,29.8,-5.408,2000.166667,72.5,-5.287,NA,NA,NA,NA
2000.083333,30.2,-5.2368,2000.083333,73,-5.449,NA,NA,NA,NA
2000,30.6,-5.0882,2000,73.5,-5.262,NA,NA,NA,NA
1999.916667,31.2,-5.4221,1999.916667,74.2,-5.478,NA,NA,NA,NA
1999.833333,32.4,-5.2007,1999.833333,74.7,-5.406,NA,NA,NA,NA
1999.75,35,-5.522,1999.75,75.1,-5.493,NA,NA,NA,NA
1999.666667,37.5,-5.8117,1999.666667,75.5,-5.802,NA,NA,NA,NA
1999.583333,38.2,-5.5904,1999.583333,75.6,-5.937,NA,NA,NA,NA
1999.5,38.9,-5.2734,1999.5,75.8,-6.04,NA,NA,NA,NA
1999.416667,39.6,-4.9127,1999.416667,75.9,-6.142,NA,NA,NA,NA
1999.333333,40.3,-4.8918,1999.333333,76.1,-6.182,NA,NA,NA,NA
1999.25,41,-4.9223,1999.25,76.2,-6.14,NA,NA,NA,NA
1999.166667,41.6,-4.9527,1999.166667,76.4,-6.099,NA,NA,NA,NA
1999.083333,41.9,-4.9832,1999.083333,78.3,-4.889,NA,NA,NA,NA
1999,42.3,-5.0137,1999,80.5,-5.682,NA,NA,NA,NA
1998.916667,43.1,-5.1105,1998.916667,81.1,-5.911,NA,NA,NA,NA
1998.833333,44.1,-5.5944,1998.833333,81.6,-5.509,NA,NA,NA,NA
1998.75,44.6,-5.7208,1998.75,81.8,-5.589,NA,NA,NA,NA
1998.666667,45.1,-5.8005,1998.666667,81.9,-5.669,NA,NA,NA,NA
1998.583333,45.6,-5.8522,1998.583333,82.1,-5.679,NA,NA,NA,NA
1998.5,46.1,-5.9126,1998.5,82.2,-5.616,NA,NA,NA,NA
1998.416667,46.5,-6.0466,1998.416667,82.4,-5.553,NA,NA,NA,NA
1998.333333,47,-5.8087,1998.333333,82.5,-5.49,NA,NA,NA,NA
1998.25,49,-5.1191,1998.25,85.1,-5.937,NA,NA,NA,NA
1998.166667,50.9,-5.272,1998.166667,87,-5.609,NA,NA,NA,NA
1998.083333,52.8,-5.4073,1998.083333,87.7,-5.313,NA,NA,NA,NA
1998,54.6,-5.0528,1998,88.5,-5.311,NA,NA,NA,NA
1997.916667,55.8,-5.3601,1997.916667,89.5,-6.296,NA,NA,NA,NA
1997.833333,56.8,-5.8043,1997.833333,90.5,-5.938,NA,NA,NA,NA
1997.75,57.2,-5.7737,1997.75,90.9,-6.11,NA,NA,NA,NA
1997.666667,57.3,-5.7317,1997.666667,91,-6.283,NA,NA,NA,NA
1997.583333,57.5,-5.6897,1997.583333,91.1,-6.33,NA,NA,NA,NA
1997.5,57.7,-5.8799,1997.5,91.3,-6.372,NA,NA,NA,NA
1997.416667,57.8,-6.0923,1997.416667,91.4,-6.414,NA,NA,NA,NA
1997.333333,58.1,-6.2717,1997.333333,91.5,-6.376,NA,NA,NA,NA
1997.25,60.1,-5.3363,1997.25,94.1,-5.451,NA,NA,NA,NA
1997.166667,62.2,-4.9296,1997.166667,95.9,-5.171,NA,NA,NA,NA
1997.083333,64.3,-4.8017,1997.083333,97,-5.192,NA,NA,NA,NA
1997,66.3,-4.876,1997,98,-5.27,NA,NA,NA,NA
1996.916667,67.9,-4.8825,1996.916667,98.4,-5.702,NA,NA,NA,NA
1996.833333,69.4,-5.0568,1996.833333,98.7,-6.07,NA,NA,NA,NA
1996.75,70.7,-5.0677,1996.75,99.2,-6.271,NA,NA,NA,NA
1996.666667,72,-5.7523,1996.666667,99.6,-6.254,NA,NA,NA,NA
1996.583333,73.3,-5.7118,1996.583333,100,-6.239,NA,NA,NA,NA
1996.5,74.6,-5.732,1996.5,100.5,-5.906,NA,NA,NA,NA
1996.416667,75.7,-5.4686,1996.416667,100.7,-5.736,NA,NA,NA,NA
1996.333333,76.9,-5.1749,1996.333333,100.9,-5.573,NA,NA,NA,NA
1996.25,78.1,-4.7659,1996.25,101.1,-5.431,NA,NA,NA,NA
1996.166667,79.4,-4.6783,1996.166667,101.3,-5.317,NA,NA,NA,NA
1996.083333,80.8,-4.4943,1996.083333,101.4,-5.203,NA,NA,NA,NA
1996,82.3,-4.6576,1996,101.5,-5.098,NA,NA,NA,NA
1995.916667,84.1,-4.861,1995.916667,101.8,-5.075,NA,NA,NA,NA
1995.833333,85.9,-5.48,1995.833333,102,-5.052,NA,NA,NA,NA
1995.75,87.7,-6.0251,1995.75,102.3,-5.364,NA,NA,NA,NA
1995.666667,89.4,-5.9762,1995.666667,102.7,-5.554,NA,NA,NA,NA
1995.583333,91.1,-6.067,1995.583333,103,-5.534,NA,NA,NA,NA
1995.5,92,-6.0949,1995.5,103.3,-5.174,NA,NA,NA,NA
1995.416667,92.8,-5.9971,1995.416667,103.6,-4.946,NA,NA,NA,NA
1995.333333,93.6,-5.6533,1995.333333,103.9,-4.964,NA,NA,NA,NA
1995.25,94.4,-5.1322,1995.25,104.2,-4.97,NA,NA,NA,NA
1995.166667,95.1,-4.9237,1995.166667,104.6,-4.967,NA,NA,NA,NA
1995.083333,95.7,-4.9613,1995.083333,104.9,-4.944,NA,NA,NA,NA
1995,96.1,-4.9384,1995,105.5,-5.073,NA,NA,NA,NA
1994.916667,96.2,-4.909,1994.916667,106.1,-5.059,NA,NA,NA,NA
1994.833333,96.3,-4.8797,1994.833333,106.6,-5.767,NA,NA,NA,NA
1994.75,96.4,-4.8503,1994.75,107.2,-5.85,NA,NA,NA,NA
1994.666667,96.5,-4.8177,1994.666667,107.8,-6.036,NA,NA,NA,NA
1994.583333,96.7,-4.7761,1994.583333,108.3,-5.817,NA,NA,NA,NA
1994.5,96.8,-4.7346,1994.5,108.9,-5.548,NA,NA,NA,NA
1994.416667,96.9,-4.6931,1994.416667,109.4,-5.52,NA,NA,NA,NA
1994.333333,97.1,-4.8178,1994.333333,110,-5.467,NA,NA,NA,NA
1994.25,97.8,-5.3046,1994.25,111.2,-5.294,NA,NA,NA,NA
1994.166667,98.6,-5.1899,1994.166667,112.2,-5.22,NA,NA,NA,NA
1994.083333,99.3,-5.2826,1994.083333,113.1,-4.993,NA,NA,NA,NA
1994,100.1,-5.1734,1994,114,-4.983,NA,NA,NA,NA
1993.916667,100.8,-5.2128,1993.916667,114.7,-5.206,NA,NA,NA,NA
1993.833333,101.4,-5.5341,1993.833333,115.4,-5.306,NA,NA,NA,NA
1993.75,103,-5.7657,1993.75,115.6,-5.452,NA,NA,NA,NA
1993.666667,104.7,-6.0563,1993.666667,115.8,-5.548,NA,NA,NA,NA
1993.583333,106.4,-6.0433,1993.583333,116,-5.643,NA,NA,NA,NA
1993.5,108.1,-5.9819,1993.5,116.1,-5.788,NA,NA,NA,NA
1993.416667,109.8,-5.6079,1993.416667,116.3,-5.95,NA,NA,NA,NA
1993.333333,111.5,-5.5229,1993.333333,116.5,-6.103,NA,NA,NA,NA
1993.25,114.8,-4.9816,1993.25,118.4,-5.522,NA,NA,NA,NA
1993.166667,116.8,-5.3977,1993.166667,119.7,-5.023,NA,NA,NA,NA
1993.083333,117.6,-5.235,1993.083333,120.5,-4.279,NA,NA,NA,NA
1993,118.6,-5.1004,1993,121.1,-5.234,NA,NA,NA,NA
1992.916667,NA,NA,1992.916667,121.8,-5.098,NA,NA,NA,NA
1992.833333,NA,NA,1992.833333,122.4,-5.051,NA,NA,NA,NA
1992.75,NA,NA,1992.75,122.9,-5.069,NA,NA,NA,NA
1992.666667,NA,NA,1992.666667,123.1,-5.149,NA,NA,NA,NA
1992.583333,NA,NA,1992.583333,123.4,-5.253,NA,NA,NA,NA
1992.5,NA,NA,1992.5,123.7,-5.387,NA,NA,NA,NA
1992.416667,NA,NA,1992.416667,124,-5.531,NA,NA,NA,NA
1992.333333,NA,NA,1992.333333,124.1,-5.581,NA,NA,NA,NA
1992.25,NA,NA,1992.25,124.2,-5.63,NA,NA,NA,NA
1992.166667,NA,NA,1992.166667,124.3,-5.68,NA,NA,NA,NA
1992.083333,NA,NA,1992.083333,124.4,-5.73,NA,NA,NA,NA
1992,NA,NA,1992,124.5,-5.78,NA,NA,NA,NA
1991.916667,NA,NA,1991.916667,124.6,-5.86,NA,NA,NA,NA
1991.833333,NA,NA,1991.833333,124.7,-5.939,NA,NA,NA,NA
1991.75,NA,NA,1991.75,125.2,-5.833,NA,NA,NA,NA
1991.666667,NA,NA,1991.666667,125.8,-5.318,NA,NA,NA,NA
1991.583333,NA,NA,1991.583333,126.3,-4.964,NA,NA,NA,NA
1991.5,NA,NA,1991.5,126.9,-5.14,NA,NA,NA,NA
1991.416667,NA,NA,1991.416667,127.5,-5.334,NA,NA,NA,NA
1991.333333,NA,NA,1991.333333,128.1,-5.433,NA,NA,NA,NA
1991.25,NA,NA,1991.25,129.5,-5.26,NA,NA,NA,NA
1991.166667,NA,NA,1991.166667,130.4,-5.462,NA,NA,NA,NA
1991.083333,NA,NA,1991.083333,130.9,-5.234,NA,NA,NA,NA
1991,NA,NA,1991,132.6,-5.067,NA,NA,NA,NA
1990.916667,NA,NA,1990.916667,134.5,-5.05,NA,NA,NA,NA
1990.833333,NA,NA,1990.833333,134.8,-5.526,NA,NA,NA,NA
1990.75,NA,NA,1990.75,135.1,-5.902,NA,NA,NA,NA
1990.666667,NA,NA,1990.666667,135.2,-6.103,NA,NA,NA,NA
1990.583333,NA,NA,1990.583333,135.4,-6.304,NA,NA,NA,NA
1990.5,NA,NA,1990.5,135.6,-6.325,NA,NA,NA,NA
1990.416667,NA,NA,1990.416667,135.8,-6.182,NA,NA,NA,NA
1990.333333,NA,NA,1990.333333,135.9,-6.038,NA,NA,NA,NA
1990.25,NA,NA,1990.25,136.9,-6.109,NA,NA,NA,NA
1990.166667,NA,NA,1990.166667,137.6,-5.597,NA,NA,NA,NA
1990.083333,NA,NA,1990.083333,138.1,-5.422,NA,NA,NA,NA
1990,NA,NA,1990,138.5,-5.369,NA,NA,NA,NA
1989.916667,NA,NA,1989.916667,139.5,-5.469,NA,NA,NA,NA
1989.833333,NA,NA,1989.833333,140.5,-5.393,NA,NA,NA,NA
1989.75,NA,NA,1989.75,140.8,-5.492,NA,NA,NA,NA
1989.666667,NA,NA,1989.666667,141,-5.577,NA,NA,NA,NA
1989.583333,NA,NA,1989.583333,141.1,-5.541,NA,NA,NA,NA
1989.5,NA,NA,1989.5,141.2,-5.504,NA,NA,NA,NA
1989.416667,NA,NA,1989.416667,141.3,-5.468,NA,NA,NA,NA
1989.333333,NA,NA,1989.333333,141.4,-5.431,NA,NA,NA,NA
1989.25,NA,NA,1989.25,141.5,-5.394,NA,NA,NA,NA
1989.166667,NA,NA,1989.166667,142.4,-5.138,NA,NA,NA,NA
1989.083333,NA,NA,1989.083333,143.5,-4.841,NA,NA,NA,NA
1989,NA,NA,1989,144.5,-4.988,NA,NA,NA,NA
1988.916667,NA,NA,1988.916667,145.5,-5.094,NA,NA,NA,NA
1988.833333,NA,NA,1988.833333,146.5,-5.302,NA,NA,NA,NA
1988.75,NA,NA,1988.75,147,-5.725,NA,NA,NA,NA
1988.666667,NA,NA,1988.666667,147.1,-5.811,NA,NA,NA,NA
1988.583333,NA,NA,1988.583333,147.2,-5.896,NA,NA,NA,NA
1988.5,NA,NA,1988.5,147.3,-5.982,NA,NA,NA,NA
1988.416667,NA,NA,1988.416667,147.4,-6.068,NA,NA,NA,NA
1988.333333,NA,NA,1988.333333,147.5,-6.142,NA,NA,NA,NA
1988.25,NA,NA,1988.25,148.1,-5.945,NA,NA,NA,NA
1988.166667,NA,NA,1988.166667,148.3,-5.898,NA,NA,NA,NA
1988.083333,NA,NA,1988.083333,148.3,-5.851,NA,NA,NA,NA
1988,NA,NA,1988,148.4,-5.804,NA,NA,NA,NA
1987.916667,NA,NA,1987.916667,148.6,-5.605,NA,NA,NA,NA
1987.833333,NA,NA,1987.833333,150.6,-5.317,NA,NA,NA,NA
1987.75,NA,NA,1987.75,150.8,-5.416,NA,NA,NA,NA
1987.666667,NA,NA,1987.666667,151,-5.516,NA,NA,NA,NA
1987.583333,NA,NA,1987.583333,151.2,-5.533,NA,NA,NA,NA
1987.5,NA,NA,1987.5,151.3,-5.537,NA,NA,NA,NA
1987.416667,NA,NA,1987.416667,151.5,-5.538,NA,NA,NA,NA
1987.333333,NA,NA,1987.333333,151.9,-5.414,NA,NA,NA,NA
1987.25,NA,NA,1987.25,152.2,-5.356,NA,NA,NA,NA
1987.166667,NA,NA,1987.166667,152.6,-5.3,NA,NA,NA,NA
1987.083333,NA,NA,1987.083333,153,-5.172,NA,NA,NA,NA
1987,NA,NA,1987,154.1,-5.229,NA,NA,NA,NA
1986.916667,190.7,-4.7801,1986.916667,155.2,-5.213,NA,NA,NA,NA
1986.833333,191.1,-4.9417,1986.833333,156.4,-5.851,NA,NA,NA,NA
1986.75,191.4,-5.0501,1986.75,157.4,-5.914,NA,NA,NA,NA
1986.666667,191.6,-5.1868,1986.666667,158.4,-5.867,NA,NA,NA,NA
1986.583333,191.9,-5.3617,1986.583333,159.5,-5.657,NA,NA,NA,NA
1986.5,192.1,-5.5021,1986.5,160.5,-5.499,NA,NA,NA,NA
1986.416667,192.3,-5.5638,1986.416667,161.5,-5.5,NA,NA,NA,NA
1986.333333,192.8,-5.6885,1986.333333,162.5,-6.304,NA,NA,NA,NA
1986.25,194,-5.2213,1986.25,164.5,-5.561,NA,NA,NA,NA
1986.166667,195.1,-4.8855,1986.166667,166.1,-5.143,NA,NA,NA,NA
1986.083333,196.1,-4.7571,1986.083333,167.5,-5.065,NA,NA,NA,NA
1986,196.7,-4.7496,1986,167.7,-5.399,NA,NA,NA,NA
1985.916667,197,-4.9009,1985.916667,168,-5.76,NA,NA,NA,NA
1985.833333,197.3,-5.0979,1985.833333,168.3,-5.851,NA,NA,NA,NA
1985.75,197.6,-5.2921,1985.75,168.4,-5.941,NA,NA,NA,NA
1985.666667,197.9,-5.4467,1985.666667,168.6,-5.995,NA,NA,NA,NA
1985.583333,198.1,-5.5178,1985.583333,168.7,-6.005,NA,NA,NA,NA
1985.5,198.4,-5.484,1985.5,168.8,-6.014,NA,NA,NA,NA
1985.416667,198.7,-5.4696,1985.416667,168.9,-6.024,NA,NA,NA,NA
1985.333333,199.1,-5.4225,1985.333333,169.1,-5.927,NA,NA,NA,NA
1985.25,200.8,-5.108,1985.25,171.7,-5.621,NA,NA,NA,NA
1985.166667,202.1,-5.0464,1985.166667,173.1,-5.116,NA,NA,NA,NA
1985.083333,203.1,-4.8226,1985.083333,174.1,-5.067,NA,NA,NA,NA
1985,204,-4.9609,1985,175,-4.056,NA,NA,NA,NA
1984.916667,204.2,-5.2547,1984.916667,175.5,-4.398,NA,NA,NA,NA
1984.833333,204.4,-5.5485,1984.833333,175.9,-5.539,NA,NA,NA,NA
1984.75,204.6,-5.6496,1984.75,176.6,-5.609,NA,NA,NA,NA
1984.666667,204.8,-5.6561,1984.666667,177.4,-5.905,NA,NA,NA,NA
1984.583333,205,-5.6625,1984.583333,178.2,-5.268,NA,NA,NA,NA
1984.5,205.2,-5.7302,1984.5,178.9,-5.176,NA,NA,NA,NA
1984.416667,205.3,-5.8081,1984.416667,179.7,-5.381,NA,NA,NA,NA
1984.333333,205.6,-5.884,1984.333333,180.5,-5,NA,NA,NA,NA
1984.25,207.7,-5.0268,1984.25,181.3,-5.062,NA,NA,NA,NA
1984.166667,209.2,-5.2748,1984.166667,182.8,-4.521,NA,NA,NA,NA
1984.083333,209.9,-5.2112,1984.083333,185.2,-4.205,NA,NA,NA,NA
1984,210.5,-4.7244,1984,187.6,-4.357,NA,NA,NA,NA
1983.916667,211.2,-4.7723,1983.916667,190.4,-4.952,NA,NA,NA,NA
1983.833333,211.8,-5.078,1983.833333,193.2,-5.051,NA,NA,NA,NA
1983.75,212.4,-5.7166,1983.75,193.9,-5.84,NA,NA,NA,NA
1983.666667,212.9,-5.7698,1983.666667,194.5,-6.083,NA,NA,NA,NA
1983.583333,213.3,-5.6855,1983.583333,194.7,-5.961,NA,NA,NA,NA
1983.5,213.7,-5.5412,1983.5,194.9,-5.839,NA,NA,NA,NA
1983.416667,214.1,-5.3854,1983.416667,195,-5.709,NA,NA,NA,NA
1983.333333,214.5,-5.3272,1983.333333,195.2,-5.518,NA,NA,NA,NA
1983.25,214.9,-5.2689,1983.25,195.3,-5.326,NA,NA,NA,NA
1983.166667,215.4,-5.0484,1983.166667,196.2,-5.335,NA,NA,NA,NA
1983.083333,216,-4.9638,1983.083333,197.6,-5.4,NA,NA,NA,NA
1983,216.6,-4.9383,1983,199,-4.834,NA,NA,NA,NA
1982.916667,217.1,-4.7895,1982.916667,199.4,-5.098,NA,NA,NA,NA
1982.833333,217.6,-4.8707,1982.833333,199.9,-5.296,NA,NA,NA,NA
1982.75,217.9,-4.9994,1982.75,200.2,-5.553,NA,NA,NA,NA
1982.666667,218.2,-5.2485,1982.666667,200.5,-5.847,NA,NA,NA,NA
1982.583333,218.5,-5.6695,1982.583333,200.7,-5.976,NA,NA,NA,NA
1982.5,218.9,-5.6503,1982.5,201,-6.069,NA,NA,NA,NA
1982.416667,219.2,-5.631,1982.416667,201.3,-5.92,NA,NA,NA,NA
1982.333333,219.5,-5.6501,1982.333333,201.5,-5.719,NA,NA,NA,NA
