year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],temperature (degC) [1-1],Mg_Ca (mmol/mol) [1-1],year (AD) [2-1],temperature (degC) [2-1],year (AD) [3-1],temperature (degC) [3-1]
-7160,71.5,0.9,-1.96,28.97,4.81,NA,NA,NA,NA
-7280,72.5,0.59,-2.29,29,4.83,NA,NA,NA,NA
-7390,73.5,0.82,-2.06,29.03,4.84,NA,NA,NA,NA
-7500,74.5,0.59,-2.13,28.3,4.53,NA,NA,NA,NA
-7610,75.5,0.7,-2.1,28.63,4.67,NA,NA,NA,NA
-7720,76.5,0.68,-1.95,27.78,4.32,NA,NA,NA,NA
-7830,77.5,0.79,-1.93,28.25,4.51,NA,NA,NA,NA
-7940,78.5,0.86,-1.87,28.27,4.52,NA,NA,NA,NA
-8050,79.5,0.69,-1.98,28.02,4.42,NA,NA,NA,NA
-8160,80.5,1.06,-1.67,28.27,4.52,NA,NA,NA,NA
-8280,81.5,0.8,-2.03,28.75,4.72,NA,NA,NA,NA
-8390,82.5,0.82,-1.79,27.73,4.3,NA,NA,NA,NA
-8500,83.5,0.99,-1.84,28.82,4.75,NA,NA,NA,NA
-8610,84.5,0.47,-2.29,28.43,4.58,NA,NA,NA,NA
-8720,85.5,0.97,-1.82,28.56,4.64,NA,NA,NA,NA
-8780,86.5,0.78,-2.06,28.86,4.76,NA,NA,NA,NA
-8850,87.5,NA,-1.75,NA,NA,NA,NA,NA,NA
-8910,88.5,1.15,-1.55,28.19,4.49,NA,NA,NA,NA
-8980,89.5,1.25,-1.52,28.5,4.61,NA,NA,NA,NA
-9040,90.5,1.16,-1.49,29.48,5.04,NA,NA,NA,NA
-9100,91.5,1.42,-1.28,28.14,4.47,NA,NA,NA,NA
-9170,92.5,1.38,-1.41,28.55,4.63,NA,NA,NA,NA
-9230,93.5,1.57,-1.23,28.65,4.67,NA,NA,NA,NA
-9300,94.5,1.53,-1.15,28.07,4.44,NA,NA,NA,NA
-9360,95.5,1.33,-1.37,28.15,4.47,NA,NA,NA,NA
-9420,96.5,0.9,-1.81,28.2,4.49,NA,NA,NA,NA
-9490,97.5,1.11,-1.59,29.31,4.96,NA,NA,NA,NA
-9550,98.5,1.29,-1.43,28.25,4.51,NA,NA,NA,NA
-9610,99.5,1.37,-1.33,28.16,4.48,NA,NA,NA,NA
-9680,100.5,1.31,-1.28,27.1,4.07,NA,NA,NA,NA
-9740,101.5,1.47,-1.21,28.09,4.45,NA,NA,NA,NA
-9810,102.5,1.26,-1.35,27.69,4.29,NA,NA,NA,NA
-9870,103.5,1.4,-1.09,27.18,4.1,NA,NA,NA,NA
-9930,104.5,1.25,-1.33,27.6,4.25,NA,NA,NA,NA
-10000,105.5,1.39,-1.21,27.67,4.28,NA,NA,NA,NA
-10060,106.5,1.03,-1.64,28.01,4.41,NA,NA,NA,NA
-10130,107.5,1.47,-1.19,27.94,4.39,NA,NA,NA,NA
-10190,108.5,1.35,-1.34,28.1,4.45,NA,NA,NA,NA
-10250,109.5,1.44,-1.15,27.65,4.27,NA,NA,NA,NA
-10320,110.5,1.39,-1.22,27.75,4.31,NA,NA,NA,NA
-10380,111.5,1.55,-1.04,27.62,4.26,NA,NA,NA,NA
-10450,112.5,1.4,-1.1,26.51,3.86,NA,NA,NA,NA
-10510,113.5,1.58,-1.05,27.8,4.33,NA,NA,NA,NA
-10570,114.5,1.14,-1.34,28.3,4.53,NA,NA,NA,NA
-10640,115.5,1.55,-1,27.44,4.19,NA,NA,NA,NA
-10700,116.5,1.34,-1.27,27.7,4.29,NA,NA,NA,NA
-10760,117.5,1.31,-1.09,26.71,3.93,NA,NA,NA,NA
-10830,118.5,1.57,-1.05,27.78,4.32,NA,NA,NA,NA
-10890,119.5,1.45,-1.15,27.68,4.28,NA,NA,NA,NA
-10960,120.5,1.27,-1.11,26.6,3.89,NA,NA,NA,NA
-11020,121.5,1.25,-1.26,27.28,4.13,NA,NA,NA,NA
-11080,122.5,1.23,-1.17,28.03,4.42,NA,NA,NA,NA
-11150,123.5,1.18,-1.27,26.95,4.01,NA,NA,NA,NA
-11210,124.5,1.39,-1.24,27.82,4.34,NA,NA,NA,NA
-11280,125.5,1.37,-1.21,27.57,4.24,NA,NA,NA,NA
-11340,126.5,1.18,-1.33,27.22,4.11,NA,NA,NA,NA
-11400,127.5,1.24,-1.3,27.37,4.17,NA,NA,NA,NA
-11470,128.5,1.34,-1.17,27.23,4.11,NA,NA,NA,NA
-11530,129.5,1.5,-1.2,28.15,4.47,NA,NA,NA,NA
-11600,130.5,1.47,-1.15,27.74,4.31,NA,NA,NA,NA
-11660,131.5,1.37,-1.24,27.75,4.31,NA,NA,NA,NA
-11720,132.5,1.16,-1.42,27.59,4.25,NA,NA,NA,NA
-11790,133.5,1.34,-1.24,27.58,4.25,NA,NA,NA,NA
-11850,134.5,1.28,-1.26,27.4,4.18,NA,NA,NA,NA
-11910,135.5,1.48,-1.1,28.47,4.6,NA,NA,NA,NA
-11980,136.5,1.44,-1.15,27.61,4.26,NA,NA,NA,NA
-12040,137.5,1.34,-1.2,27.37,4.16,NA,NA,NA,NA
-12110,138.5,1.51,-1.11,27.78,4.32,NA,NA,NA,NA
-12170,139.5,1.22,-1.42,27.87,4.36,NA,NA,NA,NA
-12230,140.5,1.51,-1.03,27.38,4.17,NA,NA,NA,NA
-12300,141.5,1.28,-1.2,27.11,4.07,NA,NA,NA,NA
-12360,142.5,1.38,-1.15,27.35,4.16,NA,NA,NA,NA
-12430,143.5,1.63,-0.84,27.07,4.05,NA,NA,NA,NA
-12490,144.5,1.57,-1,27.55,4.23,NA,NA,NA,NA
-12650,145.5,1.97,-0.63,27.71,4.3,NA,NA,NA,NA
-12820,146.5,1.95,-0.62,27.53,4.23,NA,NA,NA,NA
-12980,147.5,2,-0.58,27.6,4.25,NA,NA,NA,NA
-13140,148.5,2.1,-0.51,27.75,4.31,NA,NA,NA,NA
-13300,149.5,2.07,-0.41,27.11,4.07,NA,NA,NA,NA
-13470,150.5,2.13,-0.46,27.64,4.27,NA,NA,NA,NA
-13630,151.5,2.1,-0.39,27.15,4.08,NA,NA,NA,NA
-13790,152.5,2.24,-0.37,27.75,4.31,NA,NA,NA,NA
-13950,153.5,2.32,-0.29,27.74,4.31,NA,NA,NA,NA
-14120,154.5,2.28,-0.26,27.4,4.18,NA,NA,NA,NA
-14280,155.5,2.23,-0.33,27.53,4.23,NA,NA,NA,NA
-14440,156.5,2.19,-0.19,26.64,3.9,NA,NA,NA,NA
-14510,157.5,2.18,-0.31,27.16,4.09,NA,NA,NA,NA
-14580,158.5,2.1,-0.4,27.2,4.1,NA,NA,NA,NA
-14640,159.5,1.89,-0.37,26.06,3.7,NA,NA,NA,NA
-14710,160.5,2.11,-0.25,26.55,3.87,NA,NA,NA,NA
-14780,161.5,1.98,-0.36,26.42,3.83,NA,NA,NA,NA
-14850,162.5,2.16,-0.15,26.28,3.78,NA,NA,NA,NA
-14920,163.5,2.1,-0.26,26.55,3.87,NA,NA,NA,NA
-14990,164.5,2,-0.34,26.48,3.85,NA,NA,NA,NA
-15050,165.5,2.01,-0.31,26.34,3.8,NA,NA,NA,NA
-15120,166.5,2.16,-0.19,26.44,3.83,NA,NA,NA,NA
-15190,167.5,2.14,-0.19,26.36,3.81,NA,NA,NA,NA
-15260,168.5,2.14,-0.17,26.29,3.78,NA,NA,NA,NA
-15330,169.5,1.98,-0.25,25.91,3.65,NA,NA,NA,NA
-15390,170.5,1.8,-0.41,25.82,3.62,NA,NA,NA,NA
-15460,171.5,1.89,-0.31,25.77,3.61,NA,NA,NA,NA
-15530,172.5,1.95,-0.3,25.99,3.68,NA,NA,NA,NA
-15600,173.5,1.97,-0.27,25.92,3.66,NA,NA,NA,NA
-15670,174.5,1.9,-0.31,25.81,3.62,NA,NA,NA,NA
-15730,175.5,1.66,-0.47,25.4,3.49,NA,NA,NA,NA
-15800,176.5,1.6,-0.52,25.37,3.48,NA,NA,NA,NA
-15870,177.5,1.79,-0.44,25.92,3.66,NA,NA,NA,NA
-15940,178.5,1.78,-0.44,25.85,3.63,NA,NA,NA,NA
-16010,179.5,1.81,-0.38,25.73,3.59,NA,NA,NA,NA
-16080,180.5,1.73,-0.4,25.41,3.49,NA,NA,NA,NA
-16140,181.5,1.79,-0.31,25.27,3.45,NA,NA,NA,NA
-16210,182.5,1.87,-0.3,25.59,3.55,NA,NA,NA,NA
-16280,183.5,1.63,-0.48,25.33,3.47,NA,NA,NA,NA
-16350,184.5,1.51,-0.53,25,3.37,NA,NA,NA,NA
-16420,185.5,1.64,-0.46,25.29,3.46,NA,NA,NA,NA
-16480,186.5,1.71,-0.39,25.28,3.45,NA,NA,NA,NA
-16550,187.5,NA,NA,24.93,3.35,NA,NA,NA,NA
-16620,188.5,1.56,-0.36,24.43,3.2,NA,NA,NA,NA
-16750,189.5,1.55,-0.42,24.64,3.26,NA,NA,NA,NA
-16890,190.5,NA,NA,24.65,3.26,NA,NA,NA,NA
-17020,191.5,1.36,-0.62,24.69,3.27,NA,NA,NA,NA
-17150,192.5,1.65,-0.45,25.31,3.46,NA,NA,NA,NA
-17280,193.5,1.6,-0.43,24.96,3.35,NA,NA,NA,NA
-17420,194.5,NA,-0.42,NA,NA,NA,NA,NA,NA
-17550,195.5,1.75,-0.39,25.47,3.51,NA,NA,NA,NA
-17680,196.5,1.68,-0.45,25.43,3.5,NA,NA,NA,NA
-17820,197.5,1.58,-0.44,24.86,3.32,NA,NA,NA,NA
-17950,198.5,1.78,-0.41,25.7,3.59,NA,NA,NA,NA
-18080,199.5,1.6,-0.54,25.47,3.51,NA,NA,NA,NA
-18220,200.5,1.64,-0.54,25.64,3.57,NA,NA,NA,NA
-18350,201.5,1.57,-0.51,25.19,3.42,NA,NA,NA,NA
-18480,202.5,NA,NA,25.64,3.56,NA,NA,NA,NA
-18610,203.5,1.82,-0.45,26.09,3.71,NA,NA,NA,NA
-18750,204.5,1.81,-0.42,25.92,3.66,NA,NA,NA,NA
-18880,205.5,1.68,-0.39,25.17,3.42,NA,NA,NA,NA
-19010,206.5,1.89,-0.25,25.51,3.52,NA,NA,NA,NA
-19150,207.5,1.73,-0.42,25.54,3.53,NA,NA,NA,NA
-19280,208.5,1.66,-0.43,25.23,3.44,NA,NA,NA,NA
-19410,209.5,1.87,-0.43,26.25,3.77,NA,NA,NA,NA
-19550,210.5,1.81,-0.4,25.82,3.62,NA,NA,NA,NA
-19680,211.5,1.84,-0.34,25.66,3.57,NA,NA,NA,NA
-19810,212.5,1.61,-0.59,25.78,3.61,NA,NA,NA,NA
-19940,213.5,1.73,-0.44,25.62,3.56,NA,NA,NA,NA
-20080,214.5,1.69,-0.53,25.88,3.64,NA,NA,NA,NA
-20210,215.5,1.68,-0.56,25.92,3.66,NA,NA,NA,NA
-20340,216.5,1.69,-0.57,26.04,3.7,NA,NA,NA,NA
-20480,217.5,1.78,-0.53,26.3,3.78,NA,NA,NA,NA
-20610,218.5,1.76,-0.51,26.1,3.72,NA,NA,NA,NA
-20740,219.5,1.82,-0.49,26.29,3.78,NA,NA,NA,NA
-20870,220.5,1.69,-0.55,25.97,3.67,NA,NA,NA,NA
-21010,221.5,1.85,-0.42,26.09,3.71,NA,NA,NA,NA
-21140,222.5,1.9,-0.35,26,3.68,NA,NA,NA,NA
-21270,223.5,1.77,-0.44,25.84,3.63,NA,NA,NA,NA
-21410,224.5,1.72,-0.44,25.57,3.54,NA,NA,NA,NA
-21540,225.5,1.77,-0.39,25.57,3.54,NA,NA,NA,NA
-21670,226.5,1.82,-0.48,26.21,3.75,NA,NA,NA,NA
-21810,227.5,1.89,-0.4,26.21,3.75,NA,NA,NA,NA
-21940,228.5,1.68,-0.52,25.73,3.59,NA,NA,NA,NA
-22070,229.5,1.64,-0.49,25.43,3.5,NA,NA,NA,NA
-22200,230.5,1.68,-0.42,25.31,3.46,NA,NA,NA,NA
-22340,231.5,1.83,-0.39,25.84,3.63,NA,NA,NA,NA
-22470,232.5,1.79,-0.37,25.58,3.55,NA,NA,NA,NA
-22600,233.5,1.78,-0.42,25.76,3.6,NA,NA,NA,NA
-22740,234.5,1.72,-0.44,25.56,3.54,NA,NA,NA,NA
-22870,235.5,1.87,-0.32,25.72,3.59,NA,NA,NA,NA
-23000,236.5,1.82,-0.32,26.38,3.81,NA,NA,NA,NA
-23140,237.5,1.8,-0.37,25.65,3.57,NA,NA,NA,NA
-23270,238.5,1.65,-0.34,24.78,3.3,NA,NA,NA,NA
-23400,239.5,1.64,-0.4,25.01,3.37,NA,NA,NA,NA
-23530,240.5,1.57,-0.44,24.83,3.32,NA,NA,NA,NA
-23670,241.5,1.71,-0.41,25.39,3.49,NA,NA,NA,NA
-23800,242.5,1.72,-0.42,25.48,3.52,NA,NA,NA,NA
-23930,243.5,1.62,-0.47,25.24,3.44,NA,NA,NA,NA
-24070,244.5,1.52,-0.53,25.08,3.39,NA,NA,NA,NA
-24200,245.5,1.71,-0.49,25.76,3.6,NA,NA,NA,NA
-24330,246.5,1.71,-0.55,26.01,3.69,NA,NA,NA,NA
-24460,247.5,1.47,-0.69,25.58,3.55,NA,NA,NA,NA
-24600,248.5,1.55,-0.55,25.27,3.45,NA,NA,NA,NA
-24730,249.5,1.64,-0.54,25.66,3.57,NA,NA,NA,NA
-24860,250.5,1.61,-0.66,26.06,3.7,NA,NA,NA,NA
-25000,251.5,1.71,-0.48,25.71,3.59,NA,NA,NA,NA
-25130,252.5,1.65,-0.53,25.67,3.57,NA,NA,NA,NA
-25260,253.5,1.56,-0.73,26.2,3.75,NA,NA,NA,NA
-25400,254.5,1.69,-0.6,26.19,3.75,NA,NA,NA,NA
-25530,255.5,1.71,-0.63,26.44,3.83,NA,NA,NA,NA
-25660,256.5,NA,NA,26.05,3.7,NA,NA,NA,NA
-25790,257.5,NA,NA,26.14,3.73,NA,NA,NA,NA
-25930,258.5,1.62,-0.69,26.29,3.78,NA,NA,NA,NA
-26060,259.5,1.72,-0.67,26.7,3.92,NA,NA,NA,NA
-26190,260.5,1.75,-0.51,26.02,3.69,NA,NA,NA,NA
-26330,261.5,1.77,-0.54,26.32,3.79,NA,NA,NA,NA
-26460,262.5,1.59,-0.57,25.55,3.54,NA,NA,NA,NA
-26590,263.5,1.6,-0.62,25.83,3.63,NA,NA,NA,NA
-26720,264.5,NA,NA,25.55,3.54,NA,NA,NA,NA
-26860,265.5,1.43,-0.82,25.99,3.68,NA,NA,NA,NA
-26990,266.5,1.7,-0.72,26.78,3.95,NA,NA,NA,NA
-27120,267.5,1.74,-0.54,26.15,3.73,NA,NA,NA,NA
-27260,268.5,1.77,-0.52,26.21,3.75,NA,NA,NA,NA
-27390,269.5,1.73,-0.57,26.24,3.76,NA,NA,NA,NA
-27520,270.5,1.93,-0.42,26.46,3.84,NA,NA,NA,NA
-27660,271.5,1.67,-0.48,25.5,3.52,NA,NA,NA,NA
-27790,272.5,1.68,-0.55,25.93,3.66,NA,NA,NA,NA
-27920,273.5,1.77,-0.53,26.24,3.76,NA,NA,NA,NA
-28050,274.5,1.53,-0.74,26.12,3.72,NA,NA,NA,NA
-28190,275.5,NA,-0.55,NA,NA,NA,NA,NA,NA
-28320,276.5,1.66,-0.59,25.99,3.68,NA,NA,NA,NA
-28450,277.5,1.51,-0.7,25.81,3.62,NA,NA,NA,NA
-28590,278.5,1.52,-0.73,25.98,3.68,NA,NA,NA,NA
-28720,279.5,1.42,-0.78,25.76,3.6,NA,NA,NA,NA
-28850,280.5,1.72,-0.58,24.92,3.34,NA,NA,NA,NA
-28990,281.5,1.68,-0.6,26.16,3.74,NA,NA,NA,NA
-29120,282.5,1.6,-0.59,25.69,3.58,NA,NA,NA,NA
-29250,283.5,1.46,-0.71,25.61,3.56,NA,NA,NA,NA
-29380,284.5,NA,-0.63,NA,NA,NA,NA,NA,NA
-29520,285.5,1.6,-0.59,25.73,3.59,NA,NA,NA,NA
-29650,286.5,1.64,-0.7,26.46,3.84,NA,NA,NA,NA
