year (AD) [1-1],depth (cm) [1-1],temperature (degC) [1-1],year (AD) [1-2],depth (cm) [1-2],temperature (degC) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],Mg_Ca (mmol/mol) [1-2]
NA,NA,NA,-1039.1,401,NA,NA,-2.56,NA
NA,NA,NA,-1086.7,405,29.8,0.3,-2.67,5.55
NA,NA,NA,-1134.6,409,NA,NA,-2.69,NA
NA,NA,NA,-1182.9,413,NA,NA,-2.74,NA
NA,NA,NA,-1231.4,417,29.7,0.3,-2.65,5.49
NA,NA,NA,-1280.3,421,29.5,0.02,-2.88,5.39
NA,NA,NA,-1280.3,421,NA,NA,-2.88,NA
NA,NA,NA,-1329.4,425,NA,NA,-2.49,NA
NA,NA,NA,-1341.8,426,29.6,0.26,-2.67,5.44
NA,NA,NA,-1378.9,429,29.7,0.11,-2.84,5.5
NA,NA,NA,-1428.7,433,NA,NA,-2.9,NA
NA,NA,NA,-1478.7,437,29.7,0.27,-2.67,5.48
NA,NA,NA,-1529.1,441,NA,NA,-2.67,NA
NA,NA,NA,-1554.4,443,28.8,-0.03,-2.79,5.06
NA,NA,NA,-1554.4,443,NA,NA,-2.79,NA
NA,NA,NA,-1630.8,449,NA,NA,-2.59,NA
NA,NA,NA,-1669.2,452,29.4,0.02,-2.87,5.36
NA,NA,NA,-1669.2,452,NA,NA,-2.87,NA
NA,NA,NA,-1707.8,455,NA,NA,-2.91,NA
NA,NA,NA,-1785.5,461,29.2,0.42,-2.42,5.25
NA,NA,NA,-1811.5,463,NA,NA,-2.66,NA
NA,NA,NA,-1863.9,467,29.3,0.38,-2.48,5.29
NA,NA,NA,-1916.5,471,29.5,0.38,-2.53,5.42
NA,NA,NA,-1969.4,475,29.5,0.13,-2.79,5.42
NA,NA,NA,-2022.6,479,29.6,0.31,-2.62,5.46
NA,NA,NA,-2076.1,483,28.9,-0.07,-2.84,5.1
NA,NA,NA,-2116.4,486,28.8,0.01,-2.75,5.08
NA,NA,NA,-2129.9,487,NA,NA,-2.63,NA
NA,NA,NA,-2238.3,495,29.1,-0.18,-3.01,5.23
NA,NA,NA,-2292.9,499,NA,NA,-3,NA
NA,NA,NA,-2347.8,503,30.2,0.48,-2.58,5.77
NA,NA,NA,-2403.1,507,28.7,-0.17,-2.91,5.03
NA,NA,NA,-2458.5,511,28.9,0.05,-2.73,5.13
NA,NA,NA,-2458.5,511,NA,NA,-2.55,NA
NA,NA,NA,-2570.4,519,29,0.02,-2.78,5.16
NA,NA,NA,-2626.7,523,29,0.1,-2.7,5.16
NA,NA,NA,-2683.3,527,28.8,0.21,-2.56,5.09
NA,NA,NA,-2797.4,535,30.1,0.37,-2.66,5.7
NA,NA,NA,-2854.8,539,NA,NA,-3,NA
NA,NA,NA,-2912.5,543,29.2,0.11,-2.74,5.27
NA,NA,NA,-3028.8,551,29.9,0.27,-2.73,5.62
NA,NA,NA,-3028.8,551,NA,NA,-2.62,NA
NA,NA,NA,-3087.3,555,30.4,0.51,-2.59,5.87
NA,NA,NA,-3146.1,559,30.2,0.45,-2.6,5.76
NA,NA,NA,-3205.2,563,NA,NA,-2.84,NA
NA,NA,NA,-3264.5,567,30.4,0.18,-2.91,5.84
NA,NA,NA,-3324.1,571,NA,NA,-2.8,NA
NA,NA,NA,-3384,575,NA,NA,-2.94,NA
NA,NA,NA,-3444.1,579,28.6,-0.15,-2.88,5
NA,NA,NA,-3504.5,583,29.4,0.38,-2.52,5.38
NA,NA,NA,-3565.1,587,29.3,0.38,-2.48,5.28
NA,NA,NA,-3626,591,NA,NA,-2.59,NA
NA,NA,NA,-3687.2,595,28.5,0.15,-2.56,4.95
NA,NA,NA,-3748.6,599,30.2,0.49,-2.58,5.78
NA,NA,NA,-3779.4,601,29.1,0.08,-2.74,5.2
NA,NA,NA,-3841.2,605,29.7,0.13,-2.83,5.53
NA,NA,NA,-3903.3,609,NA,NA,-2.74,NA
NA,NA,NA,-3934.4,611,29.3,0.24,-2.62,5.29
NA,NA,NA,-3965.6,613,29.6,0.1,-2.83,5.44
NA,NA,NA,-4028.2,617,30,0.25,-2.76,5.65
NA,NA,NA,-4091,621,28.9,0.02,-2.77,5.13
NA,NA,NA,-4154.1,625,30.3,0.29,-2.79,5.81
NA,NA,NA,-4217.4,629,29.2,-0.04,-2.88,5.25
NA,NA,NA,-4249.1,631,29.8,0.37,-2.6,5.55
NA,NA,NA,-4280.9,633,28.9,0.08,-2.7,5.11
NA,NA,NA,-4328.8,636,29.4,NA,NA,5.36
NA,NA,NA,-4344.8,637,29.4,0.17,-2.72,5.36
NA,NA,NA,-4376.7,639,29.8,0.42,-2.56,5.57
NA,NA,NA,-4408.8,641,29.7,0.08,-2.88,5.52
NA,NA,NA,-4440.9,643,29.4,0.46,-2.42,5.35
NA,NA,NA,-4473.1,645,28.8,0.13,-2.64,5.08
NA,NA,NA,-4505.4,647,29.6,0.56,-2.36,5.45
NA,NA,NA,-4537.7,649,29.7,0.3,-2.65,5.49
NA,NA,NA,-4570,651,29,0.35,-2.46,5.18
NA,NA,NA,-4602.4,653,29.5,0.39,-2.52,5.4
NA,NA,NA,-4732.7,661,29.8,0.26,-2.72,5.56
NA,NA,NA,-4831.1,667,29.6,0.44,-2.48,5.45
NA,NA,NA,-4864,669,29.5,0.36,-2.55,5.39
NA,NA,NA,-4896.9,671,29.4,0.4,-2.49,5.36
NA,NA,NA,-4930,673,30,0.47,-2.55,5.66
NA,NA,NA,-4963,675,28.9,0.19,-2.6,5.13
NA,NA,NA,-4996.2,677,29.5,0.26,-2.66,5.43
NA,NA,NA,-5029.4,679,29.1,0.34,-2.48,5.2
NA,NA,NA,-5062.6,681,30.1,0.39,-2.64,5.71
NA,NA,NA,-5095.9,683,29.3,0.38,-2.49,5.31
NA,NA,NA,-5129.3,685,29.6,0.51,-2.42,5.47
NA,NA,NA,-5146,686,30.4,0.77,-2.33,5.87
NA,NA,NA,-5162.7,687,30.2,0.45,-2.61,5.77
NA,NA,NA,-5196.2,689,30.2,0.33,-2.73,5.77
NA,NA,NA,-5229.8,691,29.4,0.2,-2.68,5.35
NA,NA,NA,-5263.4,693,28.8,0.14,-2.63,5.09
NA,NA,NA,-5297,695,29.3,0.3,-2.57,5.3
NA,NA,NA,-5330.7,697,29.5,0.21,-2.7,5.41
NA,NA,NA,-5364.5,699,29.8,0.23,-2.75,5.57
NA,NA,NA,-5398.3,701,29.5,0.5,-2.41,5.42
NA,NA,NA,-5432.2,703,29.8,0.36,-2.61,5.57
NA,NA,NA,-5466.2,705,29.7,0.68,-2.27,5.5
NA,NA,NA,-5534.2,709,30.1,3.03,NA,5.7
NA,NA,NA,-5568.3,711,29.1,0.42,-2.41,5.21
NA,NA,NA,-5671,717,29.6,0.43,-2.5,5.44
NA,NA,NA,-5739.7,721,29.7,0.44,-2.52,5.51
NA,NA,NA,-5808.7,725,30.1,0.42,-2.62,5.72
NA,NA,NA,-5877.8,729,NA,NA,-2.49,NA
NA,NA,NA,-5947.2,733,29.2,0.26,-2.58,5.24
NA,NA,NA,-5999.4,736,30.2,NA,NA,5.78
NA,NA,NA,-6016.8,737,30,0.2,-2.81,5.63
NA,NA,NA,-6086.6,741,29.5,0.44,-2.47,5.4
NA,NA,NA,-6156.6,745,28.5,-0.01,-2.7,4.92
NA,NA,NA,-6226.9,749,29.5,0.41,-2.5,5.4
NA,NA,NA,-6332.7,755,29.2,0.28,-2.55,5.24
NA,NA,NA,-6403.4,759,30,0.67,-2.33,5.63
NA,NA,NA,-6438.9,761,30,0.97,-2.04,5.64
NA,NA,NA,-6474.4,763,29.5,0.64,-2.27,5.41
NA,NA,NA,-6545.6,767,30,0.87,-2.14,5.65
NA,NA,NA,-6617,771,29.6,0.34,-2.59,5.46
NA,NA,NA,-6688.6,775,NA,NA,-2.62,NA
NA,NA,NA,-6688.6,775,NA,NA,-2.5,NA
NA,NA,NA,-6760.5,779,29.6,0.63,-2.3,5.45
NA,NA,NA,-6832.5,783,NA,NA,-2.36,NA
NA,NA,NA,-6886.6,786,29.2,0.35,-2.5,5.25
NA,NA,NA,-6977.1,791,29.5,0.74,-2.18,5.43
NA,NA,NA,-7031.6,794,29.6,0.47,-2.46,5.45
NA,NA,NA,-7122.6,799,29,0.61,-2.2,5.18
NA,NA,NA,-7159.1,801,30.2,NA,NA,5.74
NA,NA,NA,-7195.6,803,28.5,0.53,-2.18,4.96
NA,NA,NA,-7268.8,807,29.3,0.45,-2.41,5.29
NA,NA,NA,-7342.3,811,29.7,NA,NA,5.48
NA,NA,NA,-7415.9,815,29.4,0.47,-2.41,5.35
NA,NA,NA,-7489.7,819,29.8,NA,NA,5.54
NA,NA,NA,-7563.7,823,30.1,0.72,-2.32,5.71
NA,NA,NA,-7637.9,827,29.7,0.52,-2.44,5.53
NA,NA,NA,-7712.3,831,30.5,0.53,-2.58,5.91
NA,NA,NA,-7786.9,835,NA,NA,-2.65,NA
NA,NA,NA,-7805.5,836,28.9,0.03,-2.76,5.14
NA,NA,NA,-7861.6,839,30.2,0.44,-2.62,5.77
NA,NA,NA,-7936.6,843,29.6,0.28,-2.64,5.45
NA,NA,NA,-8011.7,847,29.5,0.38,-2.53,5.42
NA,NA,NA,-8087,851,30.1,0.68,-2.36,5.71
NA,NA,NA,-8163,855,30.2,0.62,-2.43,5.75
NA,NA,NA,-8238,859,30.5,0.68,-2.43,5.9
NA,NA,NA,-8276,861,29.8,0.76,-2.22,5.57
NA,NA,NA,-8314,863,29.9,0.61,-2.38,5.59
NA,NA,NA,-8390,867,29.9,0.78,-2.21,5.59
NA,NA,NA,-8428,869,29.4,0.88,-2.01,5.36
NA,NA,NA,-8466,871,30.9,1.14,-2.06,6.12
NA,NA,NA,-8466,871,NA,NA,-1.97,NA
NA,NA,NA,-8543,875,29.8,0.42,-2.56,5.56
NA,NA,NA,-8619,879,30,0.87,-2.16,5.68
NA,NA,NA,-8658,881,NA,NA,-2.27,NA
NA,NA,NA,-8696,883,NA,NA,-2.45,NA
NA,NA,NA,-8696,883,NA,NA,-2.22,NA
NA,NA,NA,-8735,885,30,0.91,-2.11,5.66
NA,NA,NA,-8754,886,29.5,0.6,-2.3,5.39
NA,NA,NA,-8773,887,NA,NA,-2.39,NA
NA,NA,NA,-8850,891,29.9,0.47,-2.52,5.58
NA,NA,NA,-8850,891,NA,NA,-2.55,NA
NA,NA,NA,-8889,893,28.9,0.52,-2.25,5.1
NA,NA,NA,-8927,895,30.1,0.46,-2.57,5.7
NA,NA,NA,-8966,897,29.5,0.61,-2.29,5.39
NA,NA,NA,-9005,899,30.2,0.07,NA,5.73
NA,NA,NA,-9044,901,29.2,0.53,-2.32,5.26
NA,NA,NA,-9083,903,30,1.06,-1.95,5.65
NA,NA,NA,-9121,905,29.5,0.52,-2.38,5.38
NA,NA,NA,-9160,907,29.2,0.83,-2.01,5.26
NA,NA,NA,-9199,909,29.1,0.53,-2.3,5.21
NA,NA,NA,-9238,911,29.5,0.71,-2.21,5.41
NA,NA,NA,-9277,913,29.6,0.53,-2.39,5.44
NA,NA,NA,-9316,915,30.1,0.56,-2.47,5.69
NA,NA,NA,-9356,917,29.5,0.5,-2.41,5.41
NA,NA,NA,-9395,919,30,1.3,NA,5.67
NA,NA,NA,-9434,921,30.8,0.97,-2.21,6.07
NA,NA,NA,-9512,925,29.1,0.29,-2.54,5.23
NA,NA,NA,-9591,929,30.6,1.04,-2.11,5.98
NA,NA,NA,-9670,933,29.2,0.82,-2.02,5.26
NA,NA,NA,-9690,934,NA,NA,-2.28,NA
NA,NA,NA,-9709,935,29,0.63,-2.19,5.19
NA,NA,NA,-10306,965,29.3,0.96,-1.9,5.3
NA,NA,NA,-10387,969,29.5,1.11,-1.8,5.4
NA,NA,NA,-10467,973,29.8,1.35,-1.62,5.56
NA,NA,NA,-10548,977,29.4,1.09,-1.8,5.36
NA,NA,NA,-10628,981,29.9,1.26,-1.72,5.58
NA,NA,NA,-10709,985,29.2,1.13,-1.7,5.24
NA,NA,NA,-10730,986,29.9,1.19,-1.8,5.58
NA,NA,NA,-10790,989,28.1,0.96,-1.66,4.78
NA,NA,NA,-10871,993,29.3,1.3,-1.57,5.32
NA,NA,NA,-10953,997,28.7,1.03,-1.71,5.03
NA,NA,NA,-11034,1001,28.6,0.88,-1.83,4.97
NA,NA,NA,-11116,1005,29.2,1.33,-1.52,5.27
NA,NA,NA,-11197,1009,29.4,1.31,-1.58,5.37
NA,NA,NA,-11238,1011,29.7,1.13,-1.83,5.51
NA,NA,NA,-11279,1013,28.4,1.02,-1.66,4.9
NA,NA,NA,-11361,1017,28.9,1.01,-1.78,5.13
NA,NA,NA,-11443,1021,28.6,1.07,-1.66,5
NA,NA,NA,-11526,1025,28.7,1,-1.73,5.02
NA,NA,NA,-11608,1029,28.7,1.03,-1.71,5.04
NA,NA,NA,-11690,1033,28.8,1.12,-1.65,5.07
NA,NA,NA,-11752,1036,29.2,1.07,-1.78,5.28
NA,NA,NA,-11773,1037,29.4,1.5,-1.39,5.36
NA,NA,NA,-11856,1041,NA,NA,-1.71,NA
NA,NA,NA,-11939,1045,NA,NA,-1.97,NA
NA,NA,NA,-12022,1049,29.9,1.24,-1.75,5.58
NA,NA,NA,-12105,1053,29.3,NA,NA,5.32
NA,NA,NA,-12126,1054,29.1,NA,-1.46,5.23
NA,NA,NA,-12167,1056,28.5,NA,NA,4.92
NA,NA,NA,-12167,1056,28.6,NA,NA,4.97
NA,NA,NA,-12209,1058,28.4,0.89,-1.8,4.91
NA,NA,NA,-12251,1060,28,NA,NA,4.72
NA,NA,NA,-12272,1061,NA,NA,-1.6,NA
NA,NA,NA,-12334,1064,27.7,NA,NA,4.6
NA,NA,NA,-12376,1066,27.9,1.1,-1.47,4.67
NA,NA,NA,-12418,1068,27.5,NA,NA,4.52
NA,NA,NA,-12460,1070,28.1,1.01,-1.6,4.76
NA,NA,NA,-12502,1072,27.8,NA,NA,4.65
NA,NA,NA,-12544,1074,NA,NA,-1.59,NA
NA,NA,NA,-12628,1078,27.6,0.96,-1.55,4.56
NA,NA,NA,-12670,1080,27.7,NA,NA,4.6
NA,NA,NA,-12712,1082,27.9,0.88,-1.7,4.69
NA,NA,NA,-12712,1082,NA,NA,-1.72,NA
NA,NA,NA,-12754,1084,27.6,NA,NA,4.56
NA,NA,NA,-12796,1086,NA,NA,-1.34,NA
NA,NA,NA,-12838,1088,27.1,NA,NA,4.37
NA,NA,NA,-12880,1090,NA,NA,-1.33,NA
NA,NA,NA,-12922,1092,27.1,NA,NA,4.34
NA,NA,NA,-12964,1094,27.4,1.09,-1.38,4.48
NA,NA,NA,-13007,1096,27.2,NA,NA,4.41
NA,NA,NA,-13049,1098,28,1.23,-1.35,4.7
NA,NA,NA,-13091,1100,27.6,NA,NA,4.54
NA,NA,NA,-13134,1102,NA,NA,-1.25,NA
NA,NA,NA,-13176,1104,27.7,NA,NA,4.58
NA,NA,NA,-13218,1106,28.5,1.55,-1.15,4.94
NA,NA,NA,-13324,1111,28.2,1.63,-1,4.8
NA,NA,NA,-13346,1112,27.5,NA,NA,4.53
NA,NA,NA,-13388,1114,27.6,1.3,-1.21,4.56
NA,NA,NA,-13431,1116,27,NA,NA,4.31
NA,NA,NA,-13473,1118,27.6,1.18,-1.33,4.55
NA,NA,NA,-13516,1120,27.4,NA,NA,4.47
NA,NA,NA,-13558,1122,27.9,1.42,-1.16,4.68
NA,NA,NA,-13601,1124,27.2,NA,NA,4.39
NA,NA,NA,-13644,1126,NA,1.75,-1.13,NA
NA,NA,NA,-13686,1128,27,NA,NA,4.3
NA,NA,NA,-13729,1130,27.3,1.3,-1.16,4.45
NA,NA,NA,-13772,1132,26.8,NA,NA,4.24
NA,NA,NA,-13814,1134,27.4,1.2,-1.27,4.46
NA,NA,NA,-13857,1136,27.1,1.48,-0.94,4.37
NA,NA,NA,-13857,1136,26.6,NA,NA,4.15
NA,NA,NA,-13900,1138,27.2,1.42,-1.01,4.4
NA,NA,NA,-13943,1140,26.4,NA,NA,4.07
NA,NA,NA,-13986,1142,26.4,1,-1.26,4.09
NA,NA,NA,-14029,1144,26.3,NA,NA,4.06
NA,NA,NA,-14071,1146,27.6,1.55,-0.96,4.55
NA,NA,NA,-14114,1148,26.2,NA,NA,4.02
NA,NA,NA,-14157,1150,27.6,1.43,-1.08,4.54
NA,NA,NA,-14200,1152,26.8,NA,NA,4.24
NA,NA,NA,-14243,1154,27.6,NA,NA,4.54
NA,NA,NA,-14286,1156,26.9,NA,NA,4.29
NA,NA,NA,-14329,1158,NA,NA,-1.17,NA
NA,NA,NA,-14372,1160,26.2,NA,NA,4.03
NA,NA,NA,-14394,1161,27.2,1.49,-0.94,4.4
NA,NA,NA,-14459,1164,26.4,NA,NA,4.08
NA,NA,NA,-14502,1166,27.4,1.54,-0.93,4.48
NA,NA,NA,-14545,1168,25.9,NA,NA,3.9
NA,NA,NA,-14588,1170,26.2,1.24,-0.98,4.01
NA,NA,NA,-14631,1172,26.6,NA,NA,4.16
NA,NA,NA,-14675,1174,27.3,1.46,-0.98,4.42
NA,NA,NA,-14718,1176,26.6,NA,NA,4.18
NA,NA,NA,-14761,1178,26.2,1.37,-0.86,4.03
NA,NA,NA,-14804,1180,26.5,NA,NA,4.14
NA,NA,NA,-14848,1182,27.1,1.47,-0.94,4.35
NA,NA,NA,-14891,1184,26,NA,NA,3.96
NA,NA,NA,-14935,1186,26.2,1.39,-0.83,4.01
NA,NA,NA,-14978,1188,26.4,NA,NA,4.09
NA,NA,NA,-15021,1190,NA,NA,-0.84,NA
NA,NA,NA,-15065,1192,26.9,NA,NA,4.26
NA,NA,NA,-15087,1193,26.8,NA,NA,4.23
NA,NA,NA,-15108,1194,26.1,1.01,-1.18,3.96
NA,NA,NA,-15130,1195,25.8,NA,NA,3.88
NA,NA,NA,-15173,1197,26.2,NA,NA,4.03
NA,NA,NA,-15195,1198,26.8,1.35,-1,4.25
NA,NA,NA,-15217,1199,25.9,NA,NA,3.92
NA,NA,NA,-15260,1201,26,NA,NA,3.96
NA,NA,NA,-15282,1202,27.5,1.49,-1.01,4.53
NA,NA,NA,-15282,1202,NA,NA,-0.97,NA
NA,NA,NA,-15348,1205,25.8,NA,NA,3.87
NA,NA,NA,-15369,1206,25.9,1.1,-1.07,3.92
NA,NA,NA,-15391,1207,26.4,NA,NA,4.08
NA,NA,NA,-15435,1209,26.6,NA,NA,4.16
NA,NA,NA,-15457,1210,26.9,1.24,-1.13,4.28
NA,NA,NA,-15478,1211,28,1.6,-0.99,4.71
NA,NA,NA,-15522,1213,26.3,NA,NA,4.05
