year (AD) [1-1],d18O (permil) [1-1],d13C (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1],d13C (permil) [2-1]
2005.08,-5.7833,-3.2218,2005.08,-5.6125,-2.5138
2005,-5.9388,-3.171,2005,-5.6923,-2.7744
2004.92,-5.9097,-2.6532,2004.92,-5.8887,-2.6794
2004.83,-5.9385,-2.9524,2004.83,-5.8823,-2.388
2004.75,-5.8569,-2.8015,2004.75,-5.8267,-2.3643
2004.67,-5.9998,-2.7404,2004.67,-5.849,-2.2895
2004.58,-5.9828,-3.1411,2004.58,-5.7231,-2.4029
2004.5,-5.7853,-2.8024,2004.5,-5.6516,-2.2924
2004.42,-5.7385,-2.7944,2004.42,-5.7109,-2.1343
2004.33,-5.7189,-2.7426,2004.33,-5.7823,-2.4977
2004.25,-5.7697,-2.7433,2004.25,-5.7112,-2.4794
2004.17,-5.5836,-2.2142,2004.17,-5.6531,-2.2041
2004.08,-5.8933,-2.5709,2004.08,-5.7208,-2.0547
2004,-5.9493,-2.8982,2004,-5.7366,-2.2244
2003.92,-5.9113,-3.0478,2003.92,-5.7007,-2.3949
2003.83,-5.9178,-2.9362,2003.83,-5.8589,-2.5889
2003.75,-5.8494,-2.8049,2003.75,-5.7547,-2.4356
2003.67,-5.8904,-2.8341,2003.67,-5.8225,-2.2503
2003.58,-5.729,-3.202,2003.58,-5.6619,-2.2667
2003.5,-5.8105,-2.9176,2003.5,-5.7119,-2.342
2003.42,-5.697,-2.6793,2003.42,-5.609,-2.5483
2003.33,-5.5374,-2.5986,2003.33,-5.6367,-2.4572
2003.25,-5.4641,-2.7624,2003.25,-5.7031,-2.5874
2003.17,-5.3564,-2.8095,2003.17,-5.4575,-2.2987
2003.08,-5.5141,-3.0153,2003.08,-5.5466,-2.4262
2003,-5.7096,-2.8723,2003,-5.4624,-2.5754
2002.92,-5.8284,-2.7459,2002.92,-5.479,-2.8017
2002.83,-5.8648,-2.7444,2002.83,-5.5519,-2.8961
2002.75,-5.786,-2.495,2002.75,-5.7285,-2.7775
2002.67,-5.7326,-2.8263,2002.67,-5.695,-2.559
2002.58,-5.9707,-2.5905,2002.58,-5.6865,-2.3863
2002.5,-5.88,-2.9619,2002.5,-5.7303,-2.3746
2002.42,-5.9072,-3.237,2002.42,-5.7708,-2.7856
2002.33,-5.7218,-2.6679,2002.33,-5.734,-2.4598
2002.25,-5.7098,-2.5593,2002.25,-5.6661,-2.5158
2002.17,-5.4279,-2.2001,2002.17,-5.4411,-2.3845
2002.08,-5.7352,-3.0408,2002.08,-5.6397,-2.4472
2002,-5.8502,-3.1893,2002,-5.6835,-2.6633
2001.92,-5.9516,-2.9869,2001.92,-5.7236,-2.6842
2001.83,-6.0339,-2.7339,2001.83,-5.7255,-2.4556
2001.75,-5.9536,-2.3958,2001.75,-5.7186,-2.2099
2001.67,-5.9612,-2.398,2001.67,-5.7916,-2.1775
2001.58,-6.0896,-2.9604,2001.58,-5.7238,-2.3781
2001.5,-6.0893,-3.3266,2001.5,-5.7589,-2.6777
2001.42,-5.9852,-2.9645,2001.42,-5.8353,-2.6269
2001.33,-5.848,-2.7165,2001.33,-5.831,-2.4202
2001.25,-5.9397,-2.3104,2001.25,-5.7462,-2.387
2001.17,-5.7827,-2.4941,2001.17,-5.5977,-2.2351
2001.08,-5.9558,-2.5368,2001.08,-5.6792,-2.2978
2001,-5.8734,-2.6417,2001,-5.6416,-2.3867
2000.92,-6.0175,-2.7147,2000.92,-5.6661,-2.4539
2000.83,-6.0245,-2.8874,2000.83,-5.7801,-2.6511
2000.75,-6.0587,-2.892,2000.75,-5.8491,-2.8707
2000.67,-6.0673,-2.6195,2000.67,-5.8096,-2.6985
2000.58,-6.0975,-2.6925,2000.58,-5.8241,-2.3346
2000.5,-5.9447,-2.4888,2000.5,-5.8459,-2.3781
2000.42,-5.9368,-2.7195,2000.42,-5.847,-2.4363
2000.33,-5.8967,-2.3119,2000.33,-5.8927,-2.4151
2000.25,-5.9374,-2.6822,2000.25,-5.926,-2.4464
2000.17,-5.8006,-2.1756,2000.17,-5.6708,-2.1418
2000.08,-5.8777,-2.3963,2000.08,-5.82,-2.367
2000,-5.9022,-2.5315,2000,-5.8061,-2.3573
1999.92,-6.0031,-2.7,1999.92,-5.768,-2.3088
1999.83,-6.0535,-2.4791,1999.83,-5.7704,-2.4273
1999.75,-5.9747,-2.228,1999.75,-5.7873,-2.7594
1999.67,-6.0981,-2.4399,1999.67,-5.8639,-2.7232
1999.58,-6.0085,-2.5516,1999.58,-5.8697,-2.3134
1999.5,-5.9393,-2.38,1999.5,-5.7888,-2.0103
1999.42,-5.9357,-2.8326,1999.42,-5.8628,-2.1305
1999.33,-5.8277,-2.5948,1999.33,-5.8951,-2.318
1999.25,-5.872,-2.4439,1999.25,-5.836,-2.3581
1999.17,-5.6851,-2.0506,1999.17,-5.8106,-2.2403
1999.08,-5.7934,-2.639,1999.08,-5.622,-1.7811
1999,-5.8559,-2.9214,1999,-5.2385,-1.8142
1998.92,-5.7496,-2.3596,1998.92,-5.5249,-3.0651
1998.83,-5.6041,-3.208,1998.83,-5.6864,-2.4607
1998.75,-5.8107,-2.7133,1998.75,-5.7247,-2.2917
1998.67,-5.8115,-2.2359,1998.67,-5.6823,-2.6507
1998.58,-5.7591,-2.2361,1998.58,-5.5512,-2.3667
1998.5,-5.7977,-2.8764,1998.5,-5.3998,-2.1016
1998.42,-5.6652,-2.6199,1998.42,-5.3001,-1.9795
1998.33,-5.542,-2.4745,1998.33,-5.43,-2.2954
1998.25,-5.4154,-2.3419,1998.25,-5.3408,-2.4573
1998.17,-5.3178,-2.272,1998.17,-5.2581,-2.1923
1998.08,-5.4273,-2.2787,1998.08,-5.5629,-2.4001
1998,-5.5263,-2.4641,1998,-5.599,-2.5053
1997.92,-5.5591,-2.569,1997.92,-5.6945,-2.4943
1997.83,-5.6511,-2.6538,1997.83,-5.6272,-2.2645
1997.75,-5.6623,-2.6443,1997.75,-5.6184,-2.2277
1997.67,-5.7211,-2.2336,1997.67,-5.6545,-2.3259
1997.58,-5.8568,-2.502,1997.58,-5.6359,-2.4759
1997.5,-5.6457,-2.2859,1997.5,-5.7285,-2.5894
1997.42,-5.6631,-2.4383,1997.42,-5.7026,-1.9661
1997.33,-5.7804,-2.5624,1997.33,-5.6565,-2.1069
1997.25,-5.8362,-2.7251,1997.25,-5.6017,-1.8492
1997.17,-5.6333,-2.3444,1997.17,-5.5447,-2.638
1997.08,-5.7396,-2.0926,1997.08,-5.6754,-2.4037
1997,-5.8168,-1.9995,1997,-5.7229,-2.4031
1996.92,-5.7206,-2.7587,1996.92,-5.9148,-2.4864
1996.83,-5.8268,-2.5303,1996.83,-6.0253,-2.9946
1996.75,-5.9406,-2.3702,1996.75,-5.9122,-2.4506
1996.67,-6.0614,-2.0566,1996.67,-5.9169,-2.7856
1996.58,-6.0967,-2.2128,1996.58,-5.9746,-2.4286
1996.5,-6.1606,-2.1535,1996.5,-5.9509,-2.2744
1996.42,-6.1745,-2.0796,1996.42,-5.8906,-2.5259
1996.33,-6.1328,-2.1672,1996.33,-5.8617,-2.2751
1996.25,-5.9827,-2.2044,1996.25,-5.7138,-2.4513
1996.17,-5.6426,-1.8722,1996.17,-5.6597,-2.2384
1996.08,-5.8822,-2.2052,1996.08,-5.7912,-2.5363
1996,-5.9201,-2.0427,1996,-5.8332,-2.4396
1995.92,-6.0064,-2.2629,1995.92,-6.0138,-2.6273
1995.83,-5.905,-2.1973,1995.83,-5.9304,-2.4526
1995.75,-6.07,-2.2161,1995.75,-5.9425,-2.6464
1995.67,-5.9122,-2.0754,1995.67,-6.0381,-2.5121000000000002
1995.58,-6.0275,-2.6582,1995.58,-5.9859,-2.9898
1995.5,-5.8796,-2.0804,1995.5,-5.9504,-2.9378
1995.42,-5.8214,-2.2687,1995.42,-5.9229,-3.2561
1995.33,-5.7205,-2.0291,1995.33,-5.7273,-2.7541
1995.25,-5.5815,-1.8197,1995.25,-5.5892,-2.3465
1995.17,-5.4227,-2.1353,1995.17,-5.4453,-2.4265
1995.08,-5.5191,-2.4085,1995.08,-5.4909,-2.648
1995,-5.5883,-2.4606,1995,-5.6141,-2.33
1994.92,-5.6565,-2.2855,1994.92,-5.6685,-2.5886
1994.83,-5.6515,-2.0095,1994.83,-5.8669,-2.3047
1994.75,-5.7574,-2.0795,1994.75,-5.6447,-2.1286
1994.67,-5.8393,-2.3529,1994.67,-5.7158,-2.3212
1994.58,-5.9151,-2.1224,1994.58,-5.8956,-2.5495
1994.5,-5.8546,-2.1605,1994.5,-5.9195,-2.9907
1994.42,-5.7302,-2.0581,1994.42,-5.8462,-2.5925
1994.33,-5.7205,-1.834,1994.33,-5.7477,-2.7571
1994.25,-5.5987,-2.0146,1994.25,-5.6351,-2.5406
1994.17,-5.5346,-2.1161,1994.17,-5.5585,-2.2916
1994.08,-5.5971,-2.0727,1994.08,-5.6895,-2.2425
1994,-5.7374,-2.1883,1994,-5.675,-2.405
1993.92,-5.8928,-2.1125,1993.92,-5.8301,-2.7358
1993.83,-5.8124,-2.3109,1993.83,-5.7133,-2.5452
1993.75,-5.7708,-1.9843,1993.75,-5.7881,-2.3726
1993.67,-5.7075,-2.2977,1993.67,-5.8603,-2.4781
1993.58,-5.8929,-1.9073,1993.58,-5.6585,-2.7337
1993.5,-5.7765,-2.0637,1993.5,-5.7929,-2.7924
1993.42,-5.6813,-2.6384,1993.42,-5.8394,-2.8801
1993.33,-5.549,-2.2781,1993.33,-5.7006,-2.291
1993.25,-5.5518,-2.473,1993.25,-5.5258,-2.4505
1993.17,-5.5026,-2.4742,1993.17,-5.4788,-2.56
1993.08,-5.6503,-2.6467,1993.08,-5.4989,-2.5417
1993,-5.5708,-2.1907,1993,-5.4979,-2.5657
1992.92,-5.6574,-2.0902,1992.92,-5.6603,-2.6669
1992.83,-5.6719,-2.3255,1992.83,-5.6003,-2.4654
1992.75,-5.7138,-1.9683,1992.75,-5.6753,-2.85
1992.67,-5.8612,-2.1625,1992.67,-5.6263,-2.2617
1992.58,-5.7531,-2.0998,1992.58,-5.7747,-2.6231
1992.5,-5.6667,-2.1022,1992.5,-5.7769,-2.7909
1992.42,-5.6522,-2.1011,1992.42,-5.775,-2.8117
1992.33,-5.3909,-2.1298,1992.33,-5.674,-2.7263
1992.25,-5.5078,-2.0371,1992.25,-5.4323,-2.4015
1992.17,-5.4221,-1.9754,1992.17,-5.3089,-2.3564
1992.08,-5.4649,-1.714,1992.08,-5.4693,-2.3974
1992,-5.8182,-2.2681,1992,-5.4826,-2.4111
1991.92,-5.6835,-2.169,1991.92,-5.6671,-2.635
1991.83,-5.6777,-1.933,1991.83,-5.62,-2.1201
1991.75,-5.8228,-2.1535,1991.75,-5.6922,-2.1848
1991.67,-5.823,-2.0222,1991.67,-5.6582,-2.5366
1991.58,-5.8887,-2.1887,1991.58,-5.8042,-2.5936
1991.5,-5.9333,-2.4279,1991.5,-5.852,-2.7781
1991.42,-5.7999,-2.258,1991.42,-5.8687,-2.5627
1991.33,-5.8138,-2.1527,1991.33,-5.5958,-2.4815
1991.25,-5.5976,-2.1002,1991.25,-5.4278,-2.2487
1991.17,-5.4622,-2.1269,1991.17,-5.345,-2.3101
1991.08,-5.5641,-2.4731,1991.08,-5.3853,-2.7724
1991,-5.6152,-2.202,1991,-5.6901,-2.641
1990.92,-5.8397,-2.0235,1990.92,-5.6227,-2.4925
1990.83,-5.9026,-2.2755,1990.83,-6.0059,-2.3572
1990.75,-5.9096,-2.2313,1990.75,-5.7868,-2.6037
1990.67,-5.8304,-2.1699,1990.67,-5.8218,-2.5582
1990.58,-5.8102,-1.8948,1990.58,-5.7636,-2.4968
1990.5,-5.9059,-2.0685,1990.5,-5.7335,-2.6582
1990.42,-5.9407,-2.1512,1990.42,-5.784,-2.6479
1990.33,-5.7607,-1.6467,1990.33,-5.6298,-1.8895
1990.25,-5.6633,-1.9147,1990.25,-5.5648,-2.3028
1990.17,-5.5453,-2.0755,1990.17,-5.5036,-1.9189
1990.08,-5.5938,-2.1409,1990.08,-5.6384,-1.7671
1990,-5.5591,-1.9775,1990,-5.7546,-2.2139
1989.92,-5.8006,-2.1363,1989.92,-5.9354,-2.3249
1989.83,-6.0241,-2.4465,1989.83,-5.8834,-2.1181
1989.75,-5.9147,-1.8023,1989.75,-5.8822,-1.9279
1989.67,-5.9811,-1.563,1989.67,-5.8677,-2.2377
1989.58,-6.0265,-1.7806,1989.58,-5.8224,-2.3851
1989.5,-5.8779,-1.5983,1989.5,-5.8636,-2.4488
1989.42,-5.862,-1.3616,1989.42,-5.7439,-2.5835
1989.33,-5.864,-1.7482,1989.33,-5.7023,-2.0034
1989.25,-5.846,-1.2433,1989.25,-5.6256,-2.0491
1989.17,-5.6775,-1.0961,1989.17,-5.5555,-2.0136
1989.08,-5.8049,-1.7107,1989.08,-5.7357,-2.4461
1989,-5.8474,-1.7822,1989,-5.7731,-2.5159
1988.92,-5.9581,-2.2196,1988.92,-5.7576,-2.614
1988.83,-5.9492,-2.15,1988.83,-5.802,-3.3477
1988.75,-5.8834,-2.2808,1988.75,-6.028,-2.5366
1988.67,-6.0041,-1.7081,1988.67,-5.8927,-2.3217
1988.58,-5.9688,-1.5579,1988.58,-5.8875,-2.6002
1988.5,-5.8979,-1.8214,1988.5,-5.8726,-2.73
1988.42,-6.0455,-2.0012,1988.42,-5.7952,-2.7126
1988.33,-5.8526,-1.8323,1988.33,-5.6768,-2.5111
1988.25,-5.8092,-1.907,1988.25,-5.5046,-1.8589
1988.17,-5.54,-1.7007,1988.17,-5.4696,-1.9751
1988.08,-5.6002,-1.6994,1988.08,-5.6206,-2.3027
1988,-5.698,-1.752,1988,-5.7723,-2.4183
1987.92,-5.7598,-1.6898,1987.92,-5.6908,-2.1949
1987.83,-5.7785,-1.848,1987.83,-5.7572,-2.0613
1987.75,-5.83,-1.966,1987.75,-5.7657,-2.2161
1987.67,-5.799,-1.648,1987.67,-5.6873,-2.6597
1987.58,-5.9125,-1.7724,1987.58,-5.8121,-2.8696
1987.5,-5.8736,-1.6369,1987.5,-5.6565,-2.5897
1987.42,-5.6531,-1.5443,1987.42,-5.5364,-2.3894
1987.33,-5.6961,-1.6569,1987.33,-5.6107,-2.4969
1987.25,-5.6849,-1.7658,1987.25,-5.6028,-2.3505
1987.17,-5.4475,-1.7884,1987.17,-5.5077,-2.1476
1987.08,-5.5645,-2.0294,1987.08,-5.655,-2.2115
1987,-5.5799,-2.2328,1987,-5.7937,-2.3762
1986.92,-5.7601,-2.1476,1986.92,-5.6818,-2.1893
1986.83,-5.8377,-1.9006,1986.83,-5.7846,-2.2045
1986.75,-5.8874,-2.0876,1986.75,-5.8055,-2.3034
1986.67,-5.8384,-2.0032,1986.67,-5.8085,-2.3454
1986.58,-5.9116,-2.0534,1986.58,-5.7196,-2.4867
1986.5,-5.861,-1.9837,1986.5,-5.7951,-2.759
1986.42,-5.8053,-1.7744,1986.42,-5.8362,-2.8164
1986.33,-5.6877,-1.8536,1986.33,-5.7218,-2.3697
1986.25,-5.7694,-1.8656,1986.25,-5.712,-1.8545
1986.17,-5.6598,-1.9888,1986.17,-5.5844,-1.9042
1986.08,-5.8651,-2.2373,1986.08,-5.7025,-2.2834
1986,-5.8609,-1.9706,1986,-5.6961,-2.3053
1985.92,-5.9024,-2.1038,1985.92,-5.7971,-2.0839
1985.83,-5.9509,-1.9722,1985.83,-5.8644,-2.0235
1985.75,-6.0016,-2.0572,1985.75,-5.7616,-2.488
1985.67,-5.8152,-2.1169,1985.67,-5.9199,-2.6191
1985.58,-5.7345,-2.1787,1985.58,-5.8682,-2.8171
1985.5,-5.8292,-2.1474,1985.5,-5.7597,-2.6868
1985.42,-5.7355,-2.1378,1985.42,-5.6787,-2.3903
1985.33,-5.5952,-2.2298,1985.33,-5.4944,-1.9942
1985.25,-5.5527,-2.1245,1985.25,-5.5351,-2.0376
1985.17,-5.5086,-2.0741,1985.17,-5.3717,-2.2782
1985.08,-5.6711,-2.1467,1985.08,-5.6279,-2.0225
1985,-5.6729,-1.9922,1985,-5.6625,-1.8611
1984.92,-5.6468,-1.8074,1984.92,-5.6202,-1.7994
1984.83,-5.9462,-1.803,1984.83,-5.7479,-2.2233
1984.75,-5.8247,-1.9173,1984.75,-5.691,-1.925
1984.67,-5.8746,-2.1332,1984.67,-5.7363,-2.0346
1984.58,-5.8123,-2.1142,1984.58,-5.7618,-1.9329
1984.5,-5.8072,-2.2071,1984.5,-5.5985,-1.7383
1984.42,-5.7474,-2.2205,1984.42,-5.5974,-1.626
1984.33,-5.6949,-2.225,1984.33,-5.6036,-1.8341
1984.25,-5.698,-2.1649,1984.25,-5.6429,-2.1037
1984.17,-5.5732,-2.4024,1984.17,-5.6246,-2.1778
1984.08,-5.7161,-2.3818,1984.08,-5.761,-2.274
1984,-5.7147,-2.2771,1984,-5.8074,-1.9433
1983.92,-5.885,-2.4566,1983.92,-5.7596,-2.0231
1983.83,-5.7744,-2.1239,1983.83,-5.7138,-2.2418
1983.75,-5.8639,-2.2216,1983.75,-5.6833,-1.8648
1983.67,-5.9429,-1.9115,1983.67,-5.7465,-1.7372
1983.58,-5.7501,-2.1785,1983.58,-5.5818,-2.1861
1983.5,-5.6985,-2.5426,1983.5,-5.5581,-2.3896
1983.42,-5.6403,-2.4064,1983.42,-5.5625,-1.8111
1983.33,-5.4206,-2.0878,1983.33,-5.3385,-1.524
1983.25,-5.4443,-2.4364,1983.25,-5.3731,-1.826
1983.17,-5.3232,-2.1642,1983.17,-5.1974,-1.7231
1983.08,-5.3665,-2.1147,1983.08,-5.094,-2.4745
1983,-5.4449,-2.184,1983,-5.1539,-2.7218
1982.92,-5.6126,-2.2108,1982.92,-5.4192,-2.8079
1982.83,-5.7663,-2.1835,1982.83,-5.402,-2.3769
1982.75,-5.691,-2.4147,1982.75,-5.4183,-2.2992
1982.67,-5.6988,-2.3037,1982.67,-5.3032,-2.2543
1982.58,-5.8105,-2.0945,1982.58,-5.3786,-2.2565
1982.5,-5.9344,-2.4475,1982.5,-5.392,-2.3494
1982.42,-5.9344,-2.3571,1982.42,-5.4892,-2.2124
1982.33,-5.8877,-2.3151,1982.33,-5.5066,-2.4212
1982.25,-5.8019,-2.1512,1982.25,-5.5896,-2.4152
1982.17,-5.6851,-2.1789,1982.17,-5.4759,-2.2004
1982.08,-5.8705,-2.4168,1982.08,-5.5219,-2.3648
1982,-5.8058,-2.1826,1982,-5.4942,-2.4423
1981.92,-5.914,-2.2597,1981.92,-5.5818,-2.3382
1981.83,-5.9876,-2.2323,1981.83,-5.6037,-2.3987
1981.75,-5.9801,-2.1606,1981.75,-5.6131,-2.3453
1981.67,-5.9456,-2.3331,1981.67,-5.7652,-2.3014
1981.58,-5.928,-1.8941,1981.58,-5.6581,-2.5164
1981.5,-5.9702,-1.9533,1981.5,-5.7114,-2.2178
1981.42,-5.9982,-2.4898,1981.42,-5.7314,-2.0435
1981.33,-6.0442,-2.0577,1981.33,-5.7929,-2.3254
1981.25,-5.8819,-2.4226,1981.25,-5.5709,-1.9404
1981.17,-5.839,-1.9838,1981.17,-5.4367,-1.601
1981.08,-5.9199,-2.3281,1981.08,-5.5086,-2.1992
1981,-6.068,-2.1055,1981,-5.5567,-2.1366
1980.92,-6.0321,-1.8614,1980.92,-5.5388,-2.2999
1980.83,-5.8469,-1.8406,1980.83,-5.7422,-2.4756
1980.75,-5.8856,-1.8057,1980.75,-5.8285,-2.3694
1980.67,-5.8611,-1.8801,1980.67,-5.8448,-2.352
1980.58,-5.85,-1.9516,1980.58,-5.7935,-2.4086
1980.5,-5.9438,-2.1448,1980.5,-5.6756,-2.6456
1980.42,-5.8901,-2.0644,1980.42,-5.604,-2.2046
1980.33,-5.7476,-2.0012,1980.33,-5.5318,-2.1355
1980.25,-5.6895,-2.1423,1980.25,-5.518,-2.2918
1980.17,-5.5172,-2.2338,1980.17,-5.397,-2.3905
1980.08,-5.5167,-2.0937,1980.08,-5.4966,-2.5149
1980,-5.6143,-2.0873,1980,-5.515,-2.749
1979.92,-5.7288,-2.2222,1979.92,-5.586,-2.0229
1979.83,-5.7358,-2.0143,1979.83,-5.5211,-1.8484
1979.75,-5.797,-2.2437,1979.75,-5.6778,-2.0684
1979.67,-5.8345,-2.239,1979.67,-5.7349,-1.7084
1979.58,-5.8889,-2.1592,1979.58,-5.6854,-2.4258
1979.5,-5.9194,-1.7711,1979.5,-5.7595,-2.5873
1979.42,-5.8837,-2.4813,1979.42,-5.6252,-1.9156
1979.33,-5.9235,-1.9768,1979.33,-5.6118,-1.9364
1979.25,-5.6224,-1.9672,1979.25,-5.5589,-2.3378
1979.17,-5.56,-1.9025,1979.17,-5.454,-2.2872
1979.08,-5.6328,-2.1861,1979.08,-5.5183,-2.2635
1979,-5.8222,-2.1954,1979,-5.5821,-2.2555
1978.92,-5.7918,-2.3297,1978.92,-5.6917,-2.6043
1978.83,-5.9056,-1.863,1978.83,-5.7093,-2.3577
1978.75,-5.9272,-1.9971,1978.75,-5.8075,-2.4572
1978.67,-5.8967,-2.338,1978.67,-5.7268,-2.4542
1978.58,-5.8967,-1.9312,1978.58,-5.6611,-2.4651
1978.5,-5.8051,-1.6523,1978.5,-5.7147,-1.8009
1978.42,-5.6177,-1.9704,1978.42,-5.4919,-1.5466
1978.33,-5.4732,-1.9795,1978.33,-5.5016,-1.9546
1978.25,-5.5333,-2.1132,1978.25,-5.4735,-2.3671
1978.17,-5.4507,-2.125,1978.17,-5.4005,-2.3608
1978.08,-5.7051,-2.0561,1978.08,-5.4084,-2.207
1978,-5.6797,-1.9904,1978,-5.4911,-2.1244
1977.92,-5.7935,-1.6375,1977.92,-5.6334,-2.129
1977.83,-5.8071,-1.6411,1977.83,-5.6089,-1.8576
1977.75,-5.9684,-1.9114,1977.75,-5.6562,-2.1498
1977.67,-5.8666,-2.24,1977.67,-5.5218,-2.1638
1977.58,-6.01,-2.0401,1977.58,-5.6693,-2.5527
1977.5,-5.9694,-2.1118,1977.5,-5.5702,-1.8265
1977.42,-5.8952,-2.0766,1977.42,-5.5277,-2.1029
1977.33,-5.788,-1.9015,1977.33,-5.32,-2.1442
1977.25,-5.6711,-2.1546,1977.25,-5.2675,-1.9504
1977.17,-5.5377,-2.1316,1977.17,-5.2499,-2.1598
1977.08,-5.5552,-2.2941,1977.08,-5.4399,-2.2047
1977,-5.5704,-2.0021,1977,-5.4127,-1.8981
1976.92,-5.8339,-2.2601,1976.92,-5.4739,-1.5227
1976.83,-5.7853,-2.3322,1976.83,-5.5449,-1.5599
1976.75,-5.7664,-2.0836,1976.75,-5.4771,-1.8199
1976.67,-5.7303,-2.0525,1976.67,-5.4127,-1.7823
1976.58,-5.7789,-2.26,1976.58,-5.4671,-2.0793
1976.5,-5.6834,-2.1682,1976.5,-5.557,-1.9333
1976.42,-5.7834,-1.9896,1976.42,-5.4883,-1.9003
1976.33,-5.7314,-1.8066,1976.33,-5.3886,-1.9406
1976.25,-5.582,-2.0065,1976.25,-5.4069,-1.6976
1976.17,-5.5521,-1.8903,1976.17,-5.3587,-1.8401
1976.08,-5.7532,-2.0361,1976.08,-5.4508,-1.9541
1976,-5.6322,-2.0394,1976,-5.4459,-1.8562
1975.92,-5.9415,-2.2456,1975.92,-5.5673,-1.8081
1975.83,-5.9546,-1.9776,1975.83,-5.5136,-1.9435
1975.75,-5.977,-2.1235,1975.75,-5.5624,-1.8284
1975.67,-6.0013,-1.8726,1975.67,-5.7154,-1.8722
1975.58,-6.0129,-2.0796,1975.58,-5.6603,-2.1496
1975.5,-5.8551,-1.6419,1975.5,-5.7403,-2.3746
1975.42,-5.8756,-2.3216,1975.42,-5.6597,-2.2133
1975.33,-5.8576,-2.0862,1975.33,-5.5198,-2.0677
1975.25,-5.6784,-2.4543,1975.25,-5.4714,-2.0809
1975.17,-5.6392,-2.014,1975.17,-5.3722,-2.1662
1975.08,-5.6183,-1.8649,1975.08,-5.4675,-2.4193
1975,-5.7617,-2.3273,1975,-5.7079,-2.5089
1974.92,-5.9654,-2.3001,1974.92,-5.7555,-2.3293
1974.83,-6.1197,-2.1678,1974.83,-5.7419,-2.3107
1974.75,-5.9622,-2.3248,1974.75,-5.7269,-1.4108
1974.67,-6.043,-2.0009,1974.67,-5.7325,-1.8596
1974.58,-5.9991,-1.698,1974.58,-5.6962,-1.9417
1974.5,-5.968,-2.0477,1974.5,-5.7735,-2.0781
1974.42,-5.8838,-2.1773,1974.42,-5.6342,-1.9033
1974.33,-5.6586,-1.8285,1974.33,-5.5309,-1.8542
1974.25,-5.7032,-1.9072,1974.25,-5.5291,-2.0355
1974.17,-5.6593,-2.1394,1974.17,-5.4548,-2.2429
1974.08,-5.7083,-2.1414,1974.08,-5.5817,-2.353
1974,-5.7032,-2.489,1974,-5.7123,-2.5437
1973.92,-5.9973,-2.0566,1973.92,-5.6704,-2.1958
1973.83,-5.9348,-2.1802,1973.83,-5.7871,-2.4166
1973.75,-6.0965,-1.8485,1973.75,-5.8383,-2.323
1973.67,-5.8963,-1.6661,1973.67,-5.7653,-2.3178
1973.58,-5.9114,-1.5363,1973.58,-5.6612,-1.8945
