year (AD),d18O (permil),depthice (m),depthwe (m)
1522,-35.1,70.77,46.86
1521,-36,70.9,46.97
1520,-36,71.02,47.07
1519,-36.8,71.14,47.17
1518,-36.3,71.27,47.28
1517,-35.6,71.39,47.38
1516,-35.7,71.51,47.48
1515,-36.7,71.63,47.59
1514,-37.1,71.76,47.69
1513,-37.1,71.88,47.79
1512,-37,72,47.9
1511,-35.7,72.13,48
1510,-35.2,72.25,48.1
1509,-35.5,72.37,48.21
1508,-36,72.49,48.31
1507,-35.1,72.62,48.41
1506,-33.6,72.74,48.52
1505,-33.7,72.86,48.62
1504,-36,72.98,48.72
1503,-35.9,73.11,48.83
1502,-34.4,73.23,48.93
1501,-33.6,73.35,49.03
1500,-33.7,73.47,49.14
1499,-35.1,73.59,49.24
1498,-37.1,73.72,49.34
1497,-37.3,73.84,49.45
1496,-36.4,73.96,49.55
1495,-35.4,74.08,49.65
1494,-35.5,74.2,49.76
1493,-36.1,74.33,49.86
1492,-36.4,74.45,49.96
1491,-36.4,74.57,50.07
1490,-36.2,74.69,50.17
1489,-35.3,74.81,50.27
1488,-35,74.94,50.38
1487,-35.1,75.06,50.48
1486,-34.4,75.18,50.58
1485,-34,75.3,50.69
1484,-33.8,75.42,50.79
1483,-34,75.54,50.89
1482,-35.3,75.67,51
1481,-35.9,75.79,51.1
1480,-35.2,75.91,51.2
1479,-35.2,76.03,51.31
1478,-35.9,76.14,51.41
1477,-36.5,76.26,51.5
1476,-36.4,76.37,51.6
1475,-36.7,76.49,51.7
1474,-36.7,76.61,51.8
1473,-37.3,76.72,51.89
1472,-37.3,76.83,51.99
1471,-37.1,76.95,52.09
1470,-36.2,77.06,52.19
1469,-36.8,77.18,52.29
1468,-37.9,77.29,52.38
1467,-36.6,77.41,52.48
1466,-35.5,77.52,52.58
1465,-35.3,77.64,52.68
1464,-35.3,77.75,52.78
1463,-34.7,77.87,52.87
1462,-33,77.98,52.97
1461,-31.8,78.1,53.07
1460,-33.3,78.21,53.17
1459,-35.9,78.33,53.27
1458,-36.6,78.44,53.36
1457,-36,78.56,53.46
1456,-35.5,78.67,53.56
1455,-35.5,78.78,53.66
1454,-35.8,78.9,53.76
1453,-36.7,79.01,53.85
1452,-37.8,79.13,53.95
1451,-37.8,79.24,54.05
1450,-37.7,79.36,54.15
1449,-37.4,79.47,54.25
1448,-36.7,79.58,54.34
1447,-35.6,79.7,54.44
1446,-35,79.81,54.54
1445,-33.8,79.93,54.64
1444,-32.8,80.04,54.74
1443,-33.7,80.16,54.83
1442,-34.9,80.27,54.93
1441,-35.6,80.38,55.03
1440,-36.1,80.5,55.13
1439,-36.4,80.61,55.23
1438,-36.7,80.73,55.32
1437,-37,80.84,55.42
1436,-37,80.95,55.52
1435,-36.8,81.07,55.62
1434,-35.9,81.18,55.72
1433,-35.2,81.3,55.81
1432,-35.6,81.41,55.91
1431,-35.2,81.52,56.01
1430,-33.7,81.64,56.11
1429,-33.5,81.75,56.21
1428,-33.8,81.86,56.3
1427,-33.4,81.98,56.4
1426,-33.1,82.09,56.5
1425,-33.7,82.21,56.6
1424,-34.4,82.32,56.7
1423,-34.1,82.43,56.79
1422,-33.2,82.55,56.89
1421,-33.7,82.66,56.99
1420,-35,82.77,57.09
1419,-34.7,82.89,57.19
1418,-32.8,83,57.28
1417,-31.5,83.11,57.38
1416,-31.2,83.23,57.48
1415,-32,83.34,57.58
1414,-32.9,83.45,57.68
1413,-33.2,83.57,57.77
1412,-33.7,83.68,57.87
1411,-35.4,83.79,57.97
1410,-36.4,83.91,58.07
1409,-36.5,84.02,58.17
1408,-36.5,84.13,58.26
1407,-36,84.25,58.36
1406,-34.8,84.36,58.46
1405,-34,84.47,58.56
1404,-34,84.59,58.66
1403,-34,84.7,58.75
1402,-33.9,84.81,58.85
1401,-34.2,84.93,58.95
1400,-35.4,85.04,59.05
1399,-36.2,85.15,59.15
1398,-35.9,85.27,59.24
1397,-35,85.38,59.34
1396,-34.3,85.49,59.44
1395,-34.6,85.61,59.54
1394,-35.7,85.72,59.64
1393,-36,85.83,59.73
1392,-35.6,85.94,59.83
1391,-35.2,86.06,59.93
1390,-35.5,86.17,60.03
1389,-36.1,86.28,60.13
1388,-35.9,86.4,60.22
1387,-36,86.51,60.32
1386,-36.2,86.62,60.42
1385,-35.8,86.73,60.52
1384,-35.8,86.85,60.61
1383,-35.5,86.96,60.71
1382,-34.7,87.07,60.81
1381,-35.4,87.19,60.91
1380,-36.4,87.3,61.01
1379,-35.9,87.41,61.1
1378,-35.5,87.52,61.2
1377,-36.9,87.64,61.3
1376,-38.7,87.75,61.4
1375,-39.4,87.86,61.5
1374,-39.3,87.97,61.59
1373,-38,88.09,61.69
1372,-36.3,88.2,61.79
1371,-34.6,88.31,61.89
1370,-34.2,88.42,61.99
1369,-34,88.54,62.08
1368,-33.2,88.65,62.18
1367,-33.1,88.76,62.28
1366,-33.6,88.87,62.38
1365,-34.2,88.99,62.48
1364,-35,89.1,62.57
1363,-35.9,89.21,62.67
1362,-36.3,89.32,62.77
1361,-35.8,89.44,62.87
1360,-34.9,89.55,62.97
1359,-34.3,89.66,63.06
1358,-34.1,89.77,63.16
1357,-34,89.88,63.26
1356,-35.2,90,63.36
1355,-36.5,90.11,63.46
1354,-36.2,90.22,63.55
1353,-35.5,90.33,63.65
1352,-35.1,90.45,63.75
1351,-34.8,90.56,63.85
1350,-34.2,90.67,63.95
1349,-33.6,90.78,64.04
1348,-33.4,90.89,64.14
1347,-33.5,91.01,64.24
1346,-33.9,91.12,64.34
1345,-34.3,91.23,64.44
1344,-34.5,91.34,64.53
1343,-35.4,91.45,64.63
1342,-36.6,91.57,64.73
1341,-36.5,91.68,64.83
1340,-35.9,91.79,64.93
1339,-36.3,91.9,65.02
1338,-37.2,92.01,65.12
1337,-36.6,92.13,65.22
1336,-35.2,92.24,65.32
1335,-34.7,92.35,65.42
1334,-34.1,92.46,65.51
1333,-33.5,92.57,65.61
1332,-35.8,92.69,65.71
1331,-36.6,92.8,65.81
1330,-34.6,92.91,65.91
1329,-32.5,93.02,66
1328,-32.3,93.13,66.1
1327,-33.7,93.24,66.2
1326,-35.2,93.36,66.3
1325,-36.1,93.47,66.4
1324,-36.1,93.58,66.49
1323,-36.7,93.69,66.59
1322,-37.6,93.8,66.69
1321,-37,93.91,66.79
1320,-35.6,94.03,66.89
1319,-34.8,94.14,66.98
1318,-34.6,94.25,67.08
1317,-35.2,94.36,67.18
1316,-37.1,94.47,67.28
1315,-38.8,94.58,67.38
1314,-38.3,94.7,67.47
1313,-37.8,94.81,67.57
1312,-37.5,94.92,67.67
1311,-37.2,95.03,67.77
1310,-37.5,95.14,67.87
1309,-37.1,95.25,67.96
1308,-35.7,95.36,68.06
1307,-34.4,95.48,68.16
1306,-33.9,95.59,68.26
1305,-33.9,95.7,68.36
1304,-34.1,95.81,68.45
1303,-34.1,95.92,68.55
1302,-34.7,96.03,68.65
1301,-36.3,96.14,68.75
1300,-37.7,96.26,68.84
1299,-38,96.37,68.94
1298,-38,96.48,69.04
1297,-37.7,96.59,69.14
1296,-36.9,96.7,69.24
1295,-36,96.81,69.33
1294,-35.4,96.92,69.43
1293,-35.2,97.03,69.53
1292,-35.2,97.15,69.63
1291,-34.3,97.26,69.73
1290,-33.7,97.37,69.82
1289,-34.8,97.48,69.92
1288,-35.2,97.59,70.02
1287,-35.7,97.7,70.12
1286,-36.8,97.81,70.22
1285,-37.5,97.92,70.31
1284,-37.3,98.03,70.41
1283,-36.2,98.14,70.51
1282,-35.2,98.26,70.61
1281,-34.2,98.37,70.71
1280,-33.2,98.48,70.8
1279,-32.8,98.59,70.9
1278,-33.6,98.7,71
1277,-34.8,98.81,71.1
1276,-34.7,98.92,71.2
1275,-34.4,99.03,71.29
1274,-36.3,99.14,71.39
1273,-37.6,99.26,71.49
1272,-37.7,99.37,71.59
1271,-37.2,99.48,71.69
1270,-36.6,99.59,71.78
1269,-35.5,99.7,71.88
1268,-35.1,99.81,71.98
1267,-35.8,99.92,72.08
1266,-36.2,100.03,72.18
1265,-36.4,100.14,72.27
1264,-37,100.25,72.37
1263,-37.9,100.36,72.47
1262,-38.4,100.47,72.57
1261,-37.5,100.59,72.67
1260,-36.3,100.7,72.76
1259,-35,100.81,72.86
1258,-35.7,100.91,72.95
1257,-36,101.01,73.04
1256,-35.1,101.11,73.13
1255,-34.6,101.21,73.22
1254,-34.3,101.31,73.31
1253,-34.4,101.42,73.4
1252,-34.8,101.52,73.49
1251,-35.4,101.62,73.58
1250,-35.4,101.72,73.67
1249,-35.2,101.82,73.76
1248,-34.6,101.92,73.85
1247,-34.6,102.02,73.94
1246,-35.4,102.12,74.03
1245,-35.9,102.23,74.12
1244,-35.5,102.33,74.21
1243,-34.9,102.43,74.3
1242,-35.4,102.53,74.39
1241,-37,102.63,74.48
1240,-37.8,102.73,74.57
1239,-36.7,102.83,74.66
1238,-35,102.93,74.75
1237,-34.1,103.04,74.84
1236,-34.5,103.14,74.93
1235,-35.2,103.24,75.02
1234,-34.1,103.34,75.1
1233,-33.9,103.44,75.19
1232,-34,103.54,75.28
1231,-34.5,103.64,75.37
1230,-35.7,103.74,75.46
1229,-36.8,103.84,75.55
1228,-36.9,103.95,75.64
1227,-35.7,104.05,75.73
1226,-34.7,104.15,75.82
1225,-34.8,104.25,75.91
1224,-35.1,104.35,76
1223,-35,104.45,76.09
1222,-34.8,104.55,76.18
1221,-34.6,104.65,76.27
1220,-34.6,104.75,76.36
1219,-34.6,104.85,76.45
1218,-34.8,104.96,76.54
1217,-34.6,105.06,76.63
1216,-34.9,105.16,76.72
1215,-34.7,105.26,76.81
1214,-34.4,105.36,76.9
1213,-35,105.46,76.99
1212,-35.7,105.56,77.08
1211,-36.4,105.66,77.17
1210,-36.8,105.76,77.26
1209,-36.3,105.86,77.35
1208,-35.7,105.97,77.44
1207,-35.1,106.07,77.53
1206,-34.1,106.17,77.62
1205,-34.2,106.27,77.71
1204,-34.3,106.37,77.8
1203,-35.1,106.47,77.89
1202,-36,106.57,77.98
1201,-35.7,106.67,78.07
1200,-34.5,106.77,78.16
1199,-33.5,106.87,78.24
1198,-33,106.97,78.33
1197,-33.1,107.07,78.42
1196,-33.1,107.18,78.51
1195,-32.8,107.28,78.6
1194,-33.2,107.38,78.69
1193,-37.5,107.48,78.78
1192,-37.5,107.58,78.87
1191,-36.6,107.68,78.96
1190,-35.4,107.78,79.05
1189,-35.2,107.88,79.14
1188,-35.7,107.98,79.23
1187,-35.5,108.08,79.32
1186,-35.3,108.18,79.41
1185,-35.5,108.28,79.5
1184,-35.9,108.38,79.59
1183,-35.7,108.48,79.68
1182,-35,108.59,79.77
1181,-33.8,108.69,79.86
1180,-33.1,108.79,79.95
1179,-33.3,108.89,80.04
1178,-34,108.99,80.13
1177,-33.1,109.09,80.22
1176,-32.5,109.19,80.31
1175,-33.6,109.29,80.4
1174,-34.8,109.39,80.49
1173,-34.6,109.49,80.58
1172,-33.7,109.59,80.67
1171,-33.4,109.69,80.76
1170,-33.8,109.79,80.85
1169,-33.9,109.89,80.94
1168,-33.9,109.99,81.03
1167,-34.6,110.09,81.12
1166,-35.1,110.2,81.21
1165,-35.2,110.3,81.3
1164,-35.2,110.4,81.38
1163,-35.1,110.5,81.47
1162,-35.3,110.6,81.56
1161,-35.3,110.7,81.65
1160,-35.6,110.8,81.74
1159,-35.5,110.9,81.83
1158,-35.2,111,81.92
1157,-35.1,111.1,82.01
1156,-34.4,111.2,82.1
1155,-33.1,111.3,82.19
1154,-32.7,111.4,82.28
1153,-33.4,111.5,82.37
1152,-34.3,111.6,82.46
1151,-34.7,111.7,82.55
1150,-33.6,111.8,82.64
1149,-31.8,111.9,82.73
1148,-30.8,112,82.82
1147,-31.7,112.1,82.91
1146,-33.6,112.2,83
1145,-34.4,112.3,83.09
1144,-33.8,112.4,83.18
1143,-32.8,112.51,83.27
1142,-32.5,112.61,83.36
1141,-33.3,112.71,83.45
1140,-34.6,112.81,83.54
1139,-35.5,112.91,83.63
1138,-36.1,113.01,83.72
1137,-37.1,113.11,83.81
1136,-36.9,113.21,83.9
1135,-36.3,113.31,83.99
1134,-36.5,113.41,84.08
1133,-36.1,113.51,84.17
1132,-36,113.61,84.26
1131,-35.7,113.71,84.35
1130,-34.9,113.81,84.43
1129,-34.4,113.91,84.52
1128,-34.8,114.01,84.61
1127,-35.8,114.11,84.7
1126,-36,114.21,84.79
1125,-34.8,114.31,84.88
1124,-33.5,114.41,84.97
1123,-33.2,114.51,85.06
1122,-34.1,114.61,85.15
1121,-34.7,114.71,85.24
1120,-34.8,114.81,85.33
1119,-34.6,114.91,85.42
1118,-34.5,115.01,85.51
1117,-34.5,115.11,85.6
1116,-34.5,115.21,85.69
1115,-34.5,115.31,85.78
1114,-34.5,115.41,85.87
1113,-34.9,115.51,85.96
1112,-35.3,115.61,86.05
1111,-35.3,115.71,86.14
1110,-35.3,115.81,86.23
1109,-35.3,115.91,86.32
1108,-35.2,116.01,86.41
1107,-35.8,116.11,86.5
