year (AD) [1-1],depth (m) [1-1],dD (permil) [1-1],year (AD) [1-2],depth (m) [1-2],dD (permil) [1-2]
NA,NA,NA,1695.3636,93.94,-268.83
NA,NA,NA,1695.2273,93.97,-267.83
NA,NA,NA,1695.0454,94.01,-271.1
NA,NA,NA,1694.9,94.04,-272.9
NA,NA,NA,1694.75,94.07,-274.71
NA,NA,NA,1694.6,94.1,-273.25
NA,NA,NA,1694.45,94.13,-277.46
NA,NA,NA,1694.3,94.16,-277.36
NA,NA,NA,1694.1,94.2,-279.55
NA,NA,NA,1693.9545,94.23,-279.15
NA,NA,NA,1693.8182,94.26,-284.13
NA,NA,NA,1693.6818,94.29,-286.7
NA,NA,NA,1693.5454,94.32,-289.02
NA,NA,NA,1693.4091,94.35,-286.69
NA,NA,NA,1693.2727,94.38,-282.51
NA,NA,NA,1693.1364,94.41,-277.62
NA,NA,NA,1693,94.44,-271.61
NA,NA,NA,1692.8965,94.47,-269.32
NA,NA,NA,1692.7931,94.5,-266.55
NA,NA,NA,1692.6552,94.54,-268.61
NA,NA,NA,1692.5517,94.57,-265.35
NA,NA,NA,1692.4483,94.6,-273.58
NA,NA,NA,1692.3448,94.63,-273.42
NA,NA,NA,1692.2414,94.66,-271.02
NA,NA,NA,1692.1379,94.69,-261.47
NA,NA,NA,1692.0345,94.72,-258.17
NA,NA,NA,1691.913,94.75,-258.72
NA,NA,NA,1691.7826,94.78,-257.16
NA,NA,NA,1691.6522,94.81,-264.33
NA,NA,NA,1691.4783,94.85,-272.01
NA,NA,NA,1691.3478,94.88,-276.78
NA,NA,NA,1691.2174,94.91,-282.64
NA,NA,NA,1691.087,94.94,-281.48
NA,NA,NA,1690.9706,94.97,-278.2
NA,NA,NA,1690.8823,95,-277.83
NA,NA,NA,1690.7941,95.03,-272.99
NA,NA,NA,1690.7059,95.06,-271.94
NA,NA,NA,1690.6176,95.09,-271.13
NA,NA,NA,1690.5294,95.12,-270.86
NA,NA,NA,1690.4412,95.15,-270.2
NA,NA,NA,1690.3529,95.18,-271.63
NA,NA,NA,1690.2647,95.21,-265.34
NA,NA,NA,1690.1765,95.24,-266.36
NA,NA,NA,1690.0882,95.27,-261.65
NA,NA,NA,1690,95.3,-257.57
NA,NA,NA,1689.875,95.33,-255.12
NA,NA,NA,1689.75,95.36,-252
NA,NA,NA,1689.625,95.39,-250.35
NA,NA,NA,1689.5,95.42,-253.6
NA,NA,NA,1689.375,95.45,-256.32
NA,NA,NA,1689.25,95.48,-263.17
NA,NA,NA,1689.125,95.51,-267.52
NA,NA,NA,1689,95.54,-268.28
NA,NA,NA,1688.9032,95.57,-270.34
NA,NA,NA,1688.8064,95.6,-270.68
NA,NA,NA,1688.7097,95.63,-270.35
NA,NA,NA,1688.6129,95.66,-277
NA,NA,NA,1688.5161,95.69,-283.23
NA,NA,NA,1688.4193,95.72,-284.34
NA,NA,NA,1688.3226,95.75,-283.16
NA,NA,NA,1688.2258,95.78,-279.34
NA,NA,NA,1688.129,95.81,-276.32
NA,NA,NA,1688.0323,95.84,-273.22
NA,NA,NA,1687.92,95.87,-274.58
NA,NA,NA,1687.8,95.9,-275.4
NA,NA,NA,1687.68,95.93,-277.34
NA,NA,NA,1687.56,95.96,-270.77
NA,NA,NA,1687.4,96,-262.06
NA,NA,NA,1687.28,96.03,-255.36
NA,NA,NA,1687.16,96.06,-245.92
NA,NA,NA,1687.04,96.09,-241.13
NA,NA,NA,1686.9259,96.12,-241.35
NA,NA,NA,1686.8148,96.15,-244.4
NA,NA,NA,1686.7037,96.18,-254.23
NA,NA,NA,1686.5926,96.21,-262.85
NA,NA,NA,1686.4815,96.24,-269.27
NA,NA,NA,1686.3704,96.27,-273.06
NA,NA,NA,1686.2593,96.3,-273.04
NA,NA,NA,1686.1481,96.33,-270.42
NA,NA,NA,1686.037,96.36,-267.43
NA,NA,NA,1685.8947,96.39,-267.01
NA,NA,NA,1685.7368,96.42,-269.72
NA,NA,NA,1685.5789,96.45,-273.39
NA,NA,NA,1685.421,96.48,-280.06
NA,NA,NA,1685.2632,96.51,-285.94
NA,NA,NA,1685.1053,96.54,-288.04
NA,NA,NA,1684.9687,96.57,-284.01
NA,NA,NA,1684.875,96.6,-281.3
NA,NA,NA,1684.7812,96.63,-278.45
NA,NA,NA,1684.6875,96.66,-274.59
NA,NA,NA,1684.5937,96.69,-275.7
NA,NA,NA,1684.5,96.72,-272.41
NA,NA,NA,1684.4062,96.75,-267.02
NA,NA,NA,1684.3125,96.78,-258.48
NA,NA,NA,1684.2187,96.81,-250.36
NA,NA,NA,1684.125,96.84,-242.49
NA,NA,NA,1684.0312,96.87,-245.47
NA,NA,NA,1683.9375,96.9,-243.19
NA,NA,NA,1683.8437,96.93,-250.35
NA,NA,NA,1683.75,96.96,-252.96
NA,NA,NA,1683.625,97,-256.51
NA,NA,NA,1683.5312,97.03,-258.06
NA,NA,NA,1683.4375,97.06,-255.4
NA,NA,NA,1683.3437,97.09,-248.52
NA,NA,NA,1683.25,97.12,-246
NA,NA,NA,1683.1562,97.15,-244.98
NA,NA,NA,1683.0625,97.18,-244.31
NA,NA,NA,1682.95,97.21,-251.07
NA,NA,NA,1682.8,97.24,-264.03
NA,NA,NA,1682.65,97.27,-277.78
NA,NA,NA,1682.5,97.3,-283.1
NA,NA,NA,1682.35,97.33,-285.07
NA,NA,NA,1682.2,97.36,-285.32
NA,NA,NA,1682.05,97.39,-282.65
NA,NA,NA,1681.9333,97.42,-276.35
NA,NA,NA,1681.8333,97.45,-274.5
NA,NA,NA,1681.7333,97.48,-272.96
NA,NA,NA,1681.6,97.52,-274.89
NA,NA,NA,1681.5,97.55,-276.6
NA,NA,NA,1681.4,97.58,-281.47
NA,NA,NA,1681.3,97.61,-279.76
NA,NA,NA,1681.2,97.64,-274.93
NA,NA,NA,1681.1,97.67,-268.52
NA,NA,NA,1681,97.7,-259.49
NA,NA,NA,1680.8846,97.73,-255.86
NA,NA,NA,1680.7692,97.76,-255
NA,NA,NA,1680.6538,97.79,-259.92
NA,NA,NA,1680.5385,97.82,-269.05
NA,NA,NA,1680.4231,97.85,-279.42
NA,NA,NA,1680.3077,97.88,-281.17
NA,NA,NA,1680.1923,97.91,-276.12
NA,NA,NA,1680.0769,97.94,-278.84
NA,NA,NA,1679.9643,97.97,-277.91
NA,NA,NA,1679.8571,98,-276.05
NA,NA,NA,1679.75,98.03,-275.06
NA,NA,NA,1679.6429,98.06,-272.23
NA,NA,NA,1679.5357,98.09,-271.53
NA,NA,NA,1679.4286,98.12,-267.71
NA,NA,NA,1679.3214,98.15,-268.72
NA,NA,NA,1679.2143,98.18,-265.4
NA,NA,NA,1679.1071,98.21,-261.49
NA,NA,NA,1679,98.24,-258.02
NA,NA,NA,1678.8421,98.27,-259.65
NA,NA,NA,1678.6842,98.3,-257.58
NA,NA,NA,1678.5263,98.33,-267.23
NA,NA,NA,1678.3684,98.36,-273.61
NA,NA,NA,1678.2105,98.39,-277.33
NA,NA,NA,1678.0526,98.42,-278.04
NA,NA,NA,1677.9535,98.45,-278.56
NA,NA,NA,1677.8837,98.48,-274.85
NA,NA,NA,1677.8139,98.51,-272.93
NA,NA,NA,1677.7442,98.54,-273.86
NA,NA,NA,1677.6744,98.57,-274.28
NA,NA,NA,1677.6046,98.6,-276.8
NA,NA,NA,1677.5349,98.63,-279.17
NA,NA,NA,1677.4651,98.66,-278.83
NA,NA,NA,1677.3953,98.69,-281.47
NA,NA,NA,1677.3256,98.72,-275.69
NA,NA,NA,1677.2558,98.75,-271.23
NA,NA,NA,1677.186,98.78,-267.48
NA,NA,NA,1677.1163,98.81,-265.08
NA,NA,NA,1677.0465,98.84,-261.37
NA,NA,NA,1676.9667,98.87,-264.95
NA,NA,NA,1676.8667,98.9,-265.4
NA,NA,NA,1676.7667,98.93,-272.95
NA,NA,NA,1676.6667,98.96,-268.6
NA,NA,NA,1676.5667,98.99,-274.86
NA,NA,NA,1676.4667,99.02,-274.97
NA,NA,NA,1676.3667,99.05,-278.08
NA,NA,NA,1676.2667,99.08,-279.28
NA,NA,NA,1676.1667,99.11,-283.59
NA,NA,NA,1676.0333,99.15,-290.28
NA,NA,NA,1675.8889,99.18,-289.47
NA,NA,NA,1675.7222,99.21,-285.37
NA,NA,NA,1675.5556,99.24,-279.52
NA,NA,NA,1675.3889,99.27,-273.33
NA,NA,NA,1675.2222,99.3,-264.47
NA,NA,NA,1675.0556,99.33,-262.13
NA,NA,NA,1674.9259,99.36,-258.91
NA,NA,NA,1674.7778,99.4,-258.73
NA,NA,NA,1674.6667,99.43,-260.47
NA,NA,NA,1674.5556,99.46,-264.84
NA,NA,NA,1674.4444,99.49,-262.59
NA,NA,NA,1674.3333,99.52,-259.41
NA,NA,NA,1674.2222,99.55,-255.54
NA,NA,NA,1674.1111,99.58,-250.99
NA,NA,NA,1673.9667,99.62,-249.75
NA,NA,NA,1673.8667,99.65,-251.39
NA,NA,NA,1673.7667,99.68,-256.05
NA,NA,NA,1673.6667,99.71,-262.71
NA,NA,NA,1673.5667,99.74,-272.72
NA,NA,NA,1673.4667,99.77,-274.94
NA,NA,NA,1673.3667,99.8,-272.56
NA,NA,NA,1673.2667,99.83,-266.24
NA,NA,NA,1673.1333,99.87,-259.06
NA,NA,NA,1673.0333,99.9,-254.86
NA,NA,NA,1672.913,99.93,-255.13
NA,NA,NA,1672.7826,99.96,-261.31
NA,NA,NA,1672.6087,100,-266.52
NA,NA,NA,1672.4783,100.03,-269.06
NA,NA,NA,1672.3478,100.06,-267.92
NA,NA,NA,1672.2174,100.09,-266.22
NA,NA,NA,1672.087,100.12,-263.84
NA,NA,NA,1671.9474,100.15,-261.92
NA,NA,NA,1671.7895,100.18,-263.4
NA,NA,NA,1671.6316,100.21,-267.68
NA,NA,NA,1671.4737,100.24,-270.96
NA,NA,NA,1671.3158,100.27,-272.41
NA,NA,NA,1671.1579,100.3,-269.4
NA,NA,NA,1671,100.33,-263.07
NA,NA,NA,1670.8889,100.36,-259.82
NA,NA,NA,1670.7778,100.39,-259.06
NA,NA,NA,1670.6667,100.42,-261.31
NA,NA,NA,1670.5556,100.45,-269.5
NA,NA,NA,1670.4444,100.48,-276.15
NA,NA,NA,1670.3333,100.51,-277.11
NA,NA,NA,1670.2222,100.54,-275.51
NA,NA,NA,1670.1111,100.57,-271.93
NA,NA,NA,1670,100.6,-265.97
NA,NA,NA,1669.8696,100.63,-262.68
NA,NA,NA,1669.7391,100.66,-261.16
NA,NA,NA,1669.6087,100.69,-262.3
NA,NA,NA,1669.4783,100.72,-266.43
NA,NA,NA,1669.3478,100.75,-268.26
NA,NA,NA,1669.2174,100.78,-269.22
NA,NA,NA,1669.087,100.81,-269.24
NA,NA,NA,1668.9643,100.84,-268.24
NA,NA,NA,1668.8571,100.87,-266.4
NA,NA,NA,1668.75,100.9,-265.87
NA,NA,NA,1668.6429,100.93,-266.01
NA,NA,NA,1668.5357,100.96,-268.05
NA,NA,NA,1668.3929,101,-267.84
NA,NA,NA,1668.2857,101.03,-267.87
NA,NA,NA,1668.1786,101.06,-268.64
NA,NA,NA,1668.0357,101.1,-271.4
NA,NA,NA,1667.9474,101.13,-279.09
NA,NA,NA,1667.8684,101.16,-285.64
NA,NA,NA,1667.7895,101.19,-286.76
NA,NA,NA,1667.6842,101.23,-282.62
NA,NA,NA,1667.6053,101.26,-274.13
NA,NA,NA,1667.5263,101.29,-262.47
NA,NA,NA,1667.4474,101.32,-255.5
NA,NA,NA,1667.3684,101.35,-251.51
NA,NA,NA,1667.2632,101.39,-254.33
NA,NA,NA,1667.1842,101.42,-257.33
NA,NA,NA,1667.1053,101.45,-259.7
NA,NA,NA,1667.0263,101.48,-258.2
NA,NA,NA,1666.8696,101.52,-255.51
NA,NA,NA,1666.7391,101.55,-252.97
NA,NA,NA,1666.6087,101.58,-252.31
NA,NA,NA,1666.4783,101.61,-255.19
NA,NA,NA,1666.3043,101.65,-260.67
NA,NA,NA,1666.1739,101.68,-265.64
NA,NA,NA,1666.0435,101.71,-270.42
NA,NA,NA,1665.8667,101.74,-272.08
NA,NA,NA,1665.6667,101.77,-274.2
NA,NA,NA,1665.4,101.81,-274.86
NA,NA,NA,1665.2,101.84,-274.87
NA,NA,NA,1665,101.87,-271.56
NA,NA,NA,1664.85,101.9,-266.42
NA,NA,NA,1664.65,101.94,-259.52
NA,NA,NA,1664.5,101.97,-254.44
NA,NA,NA,1664.35,102,-248.73
NA,NA,NA,1664.2,102.03,-246.98
NA,NA,NA,1664.05,102.06,-250.94
NA,NA,NA,1663.8421,102.1,-257.91
NA,NA,NA,1663.6842,102.13,-270.85
NA,NA,NA,1663.5263,102.16,-277.89
NA,NA,NA,1663.3684,102.19,-275.53
NA,NA,NA,1663.2105,102.22,-274.64
NA,NA,NA,1663,102.26,-266.65
NA,NA,NA,1662.8696,102.29,-261.39
NA,NA,NA,1662.7391,102.32,-261.23
NA,NA,NA,1662.6087,102.35,-261.85
NA,NA,NA,1662.4348,102.39,-266.56
NA,NA,NA,1662.3043,102.42,-271.55
NA,NA,NA,1662.1739,102.45,-274.26
NA,NA,NA,1662.0435,102.48,-275.09
NA,NA,NA,1661.9231,102.51,-277.22
NA,NA,NA,1661.7692,102.55,-280.61
NA,NA,NA,1661.6538,102.58,-287.75
NA,NA,NA,1661.5385,102.61,-296.49
NA,NA,NA,1661.4231,102.64,-299.95
NA,NA,NA,1661.3077,102.67,-301.21
NA,NA,NA,1661.1538,102.71,-293.62
NA,NA,NA,1661.0385,102.74,-279.14
NA,NA,NA,1660.9,102.77,-271.98
NA,NA,NA,1660.75,102.8,-261.7
NA,NA,NA,1660.6,102.83,-262.68
NA,NA,NA,1660.4,102.87,-268.93
NA,NA,NA,1660.2,102.91,-270.83
NA,NA,NA,1660.05,102.94,-269.53
NA,NA,NA,1659.913,102.97,-264.33
NA,NA,NA,1659.7826,103,-256.73
NA,NA,NA,1659.6087,103.04,-248.91
NA,NA,NA,1659.4783,103.07,-245.98
NA,NA,NA,1659.3478,103.1,-251.19
NA,NA,NA,1659.2174,103.13,-258.91
NA,NA,NA,1659.0435,103.17,-265.13
NA,NA,NA,1658.9259,103.2,-268.92
NA,NA,NA,1658.8148,103.23,-270.45
NA,NA,NA,1658.7037,103.26,-269.24
NA,NA,NA,1658.5556,103.3,-268.43
NA,NA,NA,1658.4444,103.33,-270.31
NA,NA,NA,1658.3333,103.36,-277.15
NA,NA,NA,1658.1852,103.4,-280.47
NA,NA,NA,1658.0741,103.43,-281.32
NA,NA,NA,1657.9714,103.46,-278.14
NA,NA,NA,1657.8571,103.5,-268.36
NA,NA,NA,1657.7714,103.53,-267.16
NA,NA,NA,1657.6857,103.56,-264.29
NA,NA,NA,1657.5714,103.6,-266.86
NA,NA,NA,1657.4857,103.63,-271.64
NA,NA,NA,1657.4,103.66,-272.75
NA,NA,NA,1657.2857,103.7,-273.8
NA,NA,NA,1657.2,103.73,-269.69
NA,NA,NA,1657.1143,103.76,-262.77
NA,NA,NA,1657.0286,103.79,-256.93
NA,NA,NA,1656.8889,103.83,-255.66
NA,NA,NA,1656.7778,103.86,-256.64
NA,NA,NA,1656.6667,103.89,-263.64
NA,NA,NA,1656.5185,103.93,-273.42
NA,NA,NA,1656.4074,103.96,-282.36
NA,NA,NA,1656.2593,104,-282.33
NA,NA,NA,1656.1481,104.03,-277.72
NA,NA,NA,1656,104.07,-271.16
NA,NA,NA,1655.875,104.1,-263.51
NA,NA,NA,1655.75,104.13,-258.59
NA,NA,NA,1655.625,104.16,-257.77
NA,NA,NA,1655.4583,104.2,-262.01
NA,NA,NA,1655.3333,104.23,-270.91
NA,NA,NA,1655.2083,104.26,-278.65
NA,NA,NA,1655.0833,104.29,-280.42
NA,NA,NA,1654.9259,104.33,-277
NA,NA,NA,1654.8148,104.36,-271.91
NA,NA,NA,1654.7037,104.39,-265.76
NA,NA,NA,1654.5926,104.42,-263.77
NA,NA,NA,1654.4444,104.46,-268.44
NA,NA,NA,1654.3333,104.49,-272.9
NA,NA,NA,1654.2222,104.52,-274.36
NA,NA,NA,1654.1111,104.55,-274.88
NA,NA,NA,1653.963,104.59,-273.61
NA,NA,NA,1653.8518,104.62,-264.03
NA,NA,NA,1653.7407,104.65,-267.31
NA,NA,NA,1653.6296,104.68,-271.47
NA,NA,NA,1653.4815,104.72,-277.68
NA,NA,NA,1653.3704,104.75,-276.64
NA,NA,NA,1653.2593,104.78,-273.89
NA,NA,NA,1653.1481,104.81,-271.85
NA,NA,NA,1653,104.85,-275.25
NA,NA,NA,1652.8571,104.88,-268.88
NA,NA,NA,1652.7143,104.91,-270.28
NA,NA,NA,1652.5714,104.94,-263.93
NA,NA,NA,1652.3809,104.98,-258.91
NA,NA,NA,1652.2381,105.01,-254.17
NA,NA,NA,1652.0952,105.04,-253.82
NA,NA,NA,1651.92,105.08,-253.52
NA,NA,NA,1651.8,105.11,-264.34
NA,NA,NA,1651.68,105.14,-270.21
NA,NA,NA,1651.56,105.17,-269.68
NA,NA,NA,1651.4,105.21,-266.96
NA,NA,NA,1651.28,105.24,-256.22
NA,NA,NA,1651.16,105.27,-249.61
NA,NA,NA,1651.04,105.3,-244
NA,NA,NA,1650.8846,105.34,-243.71
NA,NA,NA,1650.7692,105.37,-251.84
NA,NA,NA,1650.6538,105.4,-261.13
NA,NA,NA,1650.5385,105.43,-261.46
NA,NA,NA,1650.3077,105.49,-261.06
NA,NA,NA,1650.1154,105.54,-257.48
NA,NA,NA,1649.9545,105.58,-252.99
NA,NA,NA,1649.8182,105.61,-256.81
NA,NA,NA,1649.6818,105.64,-255.52
NA,NA,NA,1649.5454,105.67,-258.17
NA,NA,NA,1649.3636,105.71,-254.95
NA,NA,NA,1649.2273,105.74,-250.84
NA,NA,NA,1649.0909,105.77,-247.21
NA,NA,NA,1648.9615,105.8,-251.8
NA,NA,NA,1648.8077,105.84,-256.39
NA,NA,NA,1648.6923,105.87,-267.42
NA,NA,NA,1648.5769,105.9,-275.64
NA,NA,NA,1648.4615,105.93,-280.01
NA,NA,NA,1648.3077,105.97,-290.06
NA,NA,NA,1648.1923,106,-284.21
NA,NA,NA,1648.0769,106.03,-286.26
NA,NA,NA,1647.9615,106.06,-291.58
NA,NA,NA,1647.8461,106.09,-291.9
NA,NA,NA,1647.6923,106.13,-292.47
NA,NA,NA,1647.5769,106.16,-292.48
NA,NA,NA,1647.4615,106.19,-290.44
NA,NA,NA,1647.3461,106.22,-281.36
NA,NA,NA,1647.2308,106.25,-281.21
NA,NA,NA,1647.1154,106.28,-278.01
NA,NA,NA,1647,106.31,-271.99
NA,NA,NA,1646.9,106.34,-273.88
NA,NA,NA,1646.7667,106.38,-274.86
NA,NA,NA,1646.6667,106.41,-276.84
NA,NA,NA,1646.5667,106.44,-281.31
NA,NA,NA,1646.4667,106.47,-278.1
NA,NA,NA,1646.3667,106.5,-272.87
NA,NA,NA,1646.2667,106.53,-264.32
NA,NA,NA,1646.1667,106.56,-258.21
NA,NA,NA,1646.0667,106.59,-253.72
NA,NA,NA,1645.9355,106.63,-254.32
NA,NA,NA,1645.8387,106.66,-258.55
NA,NA,NA,1645.7419,106.69,-264.6
NA,NA,NA,1645.6452,106.72,-268.51
NA,NA,NA,1645.5484,106.75,-266.89
NA,NA,NA,1645.4516,106.78,-264.15
NA,NA,NA,1645.3548,106.81,-259.28
NA,NA,NA,1645.2581,106.84,-256.04
NA,NA,NA,1645.129,106.88,-256.46
NA,NA,NA,1645.0323,106.91,-259.61
NA,NA,NA,1644.875,106.94,-265.29
NA,NA,NA,1644.6875,106.97,-273.24
NA,NA,NA,1644.5,107,-276.92
NA,NA,NA,1644.3125,107.03,-275.17
NA,NA,NA,1644.0625,107.07,-274.48
NA,NA,NA,1643.9375,107.1,-271.68
NA,NA,NA,1643.8437,107.13,-270.24
NA,NA,NA,1643.7187,107.17,-273.48
NA,NA,NA,1643.625,107.2,-279.35
NA,NA,NA,1643.5312,107.23,-281.66
NA,NA,NA,1643.4062,107.27,-279.07
NA,NA,NA,1643.3125,107.3,-274.68
NA,NA,NA,1643.2187,107.33,-270.38
NA,NA,NA,1643.0937,107.37,-268.49
NA,NA,NA,1643,107.4,-270.63
NA,NA,NA,1642.88,107.43,-276.88
NA,NA,NA,1642.72,107.47,-282.06
NA,NA,NA,1642.6,107.5,-283.34
NA,NA,NA,1642.48,107.53,-279.11
NA,NA,NA,1642.32,107.57,-270.5
NA,NA,NA,1642.2,107.6,-265.25
NA,NA,NA,1642.08,107.63,-263.23
NA,NA,NA,1641.8889,107.67,-264.86
NA,NA,NA,1641.7222,107.7,-267.82
NA,NA,NA,1641.5556,107.73,-271.15
NA,NA,NA,1641.3333,107.77,-271.77
NA,NA,NA,1641.1667,107.8,-269.97
NA,NA,NA,1641,107.83,-269.17
NA,NA,NA,1640.8261,107.87,-270.44
NA,NA,NA,1640.6956,107.9,-274.45
NA,NA,NA,1640.5652,107.93,-277.13
NA,NA,NA,1640.3913,107.97,-277.28
NA,NA,NA,1640.2609,108,-274.51
NA,NA,NA,1640.1304,108.03,-271.2
NA,NA,NA,1639.9583,108.07,-267.86
NA,NA,NA,1639.8333,108.1,-267.7
NA,NA,NA,1639.7083,108.13,-269.09
NA,NA,NA,1639.5417,108.17,-273.74
NA,NA,NA,1639.4167,108.2,-283.2
NA,NA,NA,1639.2917,108.23,-297.37
NA,NA,NA,1639.125,108.27,-299.21
NA,NA,NA,1639,108.3,-295.66
NA,NA,NA,1638.9,108.33,-290.77
NA,NA,NA,1638.7667,108.37,-286.54
NA,NA,NA,1638.6667,108.4,-286.27
NA,NA,NA,1638.5667,108.43,-288.3
NA,NA,NA,1638.4333,108.47,-288.73
NA,NA,NA,1638.3333,108.5,-285.64
NA,NA,NA,1638.2333,108.53,-283.78
NA,NA,NA,1638.1,108.57,-283
NA,NA,NA,1638,108.6,-285.54
NA,NA,NA,1637.8571,108.63,-290.93
NA,NA,NA,1637.6667,108.67,-301.83
NA,NA,NA,1637.5238,108.7,-308.82
NA,NA,NA,1637.3809,108.73,-303.97
NA,NA,NA,1637.1905,108.77,-290.77
NA,NA,NA,1637.0476,108.8,-277.57
NA,NA,NA,1636.9474,108.83,-266.3
NA,NA,NA,1636.8421,108.87,-263.75
NA,NA,NA,1636.7632,108.9,-264.77
NA,NA,NA,1636.5789,108.97,-272.57
NA,NA,NA,1636.5,109,-275.89
NA,NA,NA,1636.421,109.03,-280.38
NA,NA,NA,1636.3158,109.07,-284.74
NA,NA,NA,1636.2368,109.1,-289.28
NA,NA,NA,1636.1579,109.13,-286.53
NA,NA,NA,1636.0526,109.17,-277.63
NA,NA,NA,1635.9697,109.2,-262.32
NA,NA,NA,1635.8788,109.23,-252.79
NA,NA,NA,1635.7576,109.27,-246.39
NA,NA,NA,1635.6667,109.3,-247.54
NA,NA,NA,1635.5758,109.33,-254.73
NA,NA,NA,1635.4545,109.37,-264.79
NA,NA,NA,1635.3636,109.4,-270.01
NA,NA,NA,1635.2727,109.43,-272.7
NA,NA,NA,1635.1515,109.47,-273.25
NA,NA,NA,1635.0606,109.5,-272.62
NA,NA,NA,1634.9565,109.53,-271.1
NA,NA,NA,1634.7826,109.57,-273.17
NA,NA,NA,1634.6522,109.6,-276.62
NA,NA,NA,1634.5217,109.63,-282.68
NA,NA,NA,1634.3478,109.67,-283.77
NA,NA,NA,1634.2174,109.7,-279.08
NA,NA,NA,1634.087,109.73,-277.4
NA,NA,NA,1633.92,109.77,-275.09
NA,NA,NA,1633.8,109.8,-274.75
NA,NA,NA,1633.68,109.83,-273.88
NA,NA,NA,1633.52,109.87,-269.2
NA,NA,NA,1633.4,109.9,-264.28
NA,NA,NA,1633.28,109.93,-258.21
NA,NA,NA,1633.12,109.97,-256.11
NA,NA,NA,1633,110,-255.79
NA,NA,NA,1632.8571,110.03,-259.67
NA,NA,NA,1632.7143,110.06,-266.37
NA,NA,NA,1632.5238,110.1,-272.04
NA,NA,NA,1632.3809,110.13,-272.68
NA,NA,NA,1632.2381,110.16,-268.55
NA,NA,NA,1632.0952,110.19,-263.59
NA,NA,NA,1631.9259,110.23,-259.74
NA,NA,NA,1631.8148,110.26,-258.66
NA,NA,NA,1631.7037,110.29,-261.67
NA,NA,NA,1631.5926,110.32,-265.85
NA,NA,NA,1631.4815,110.35,-266.25
NA,NA,NA,1631.3333,110.39,-265.36
NA,NA,NA,1631.2222,110.42,-262.26
NA,NA,NA,1631.1111,110.45,-260.01
NA,NA,NA,1631,110.48,-262.29
NA,NA,NA,1630.8823,110.52,-266.32
NA,NA,NA,1630.7941,110.55,-265.69
NA,NA,NA,1630.7059,110.58,-264.64
NA,NA,NA,1630.6176,110.61,-262.28
NA,NA,NA,1630.5,110.65,-260.06
NA,NA,NA,1630.4118,110.68,-259.75
NA,NA,NA,1630.3235,110.71,-262.41
NA,NA,NA,1630.2353,110.74,-268.02
NA,NA,NA,1630.1471,110.77,-267.41
NA,NA,NA,1630.0294,110.81,-263.03
NA,NA,NA,1629.9333,110.84,-258.87
NA,NA,NA,1629.8333,110.87,-251.8
NA,NA,NA,1629.7333,110.9,-248.07
NA,NA,NA,1629.6,110.94,-247.84
NA,NA,NA,1629.5,110.97,-254.72
NA,NA,NA,1629.4,111,-260.07
NA,NA,NA,1629.3,111.03,-261.9
NA,NA,NA,1629.2,111.06,-260.44
NA,NA,NA,1629.0667,111.1,-256.86
NA,NA,NA,1628.9615,111.13,-256.13
NA,NA,NA,1628.8461,111.16,-260.34
NA,NA,NA,1628.7308,111.19,-271.11
NA,NA,NA,1628.5769,111.23,-280.84
NA,NA,NA,1628.4615,111.26,-283.05
NA,NA,NA,1628.3461,111.29,-281.67
NA,NA,NA,1628.2308,111.32,-275.17
NA,NA,NA,1628.1154,111.35,-270.99
NA,NA,NA,1627.9545,111.39,-264.31
NA,NA,NA,1627.8182,111.42,-269.64
NA,NA,NA,1627.6818,111.45,-275.94
NA,NA,NA,1627.5454,111.48,-284.4
NA,NA,NA,1627.3636,111.52,-288.18
NA,NA,NA,1627.2273,111.55,-287.51
NA,NA,NA,1627.0909,111.58,-281.84
NA,NA,NA,1626.9565,111.61,-276.63
NA,NA,NA,1626.7826,111.65,-272.95
NA,NA,NA,1626.6522,111.68,-274.45
NA,NA,NA,1626.5217,111.71,-277.88
NA,NA,NA,1626.3913,111.74,-277.41
NA,NA,NA,1626.2609,111.77,-276.24
NA,NA,NA,1626.087,111.81,-273.45
NA,NA,NA,1625.9412,111.84,-270.54
NA,NA,NA,1625.7647,111.87,-269.93
NA,NA,NA,1625.5882,111.9,-273.26
NA,NA,NA,1625.3529,111.94,-276.41
NA,NA,NA,1625.1765,111.97,-276.91
NA,NA,NA,1625,112,-275.94
NA,NA,NA,1624.8333,112.03,-272.17
NA,NA,NA,1624.6667,112.06,-271.91
NA,NA,NA,1624.4444,112.1,-273.46
NA,NA,NA,1624.2778,112.13,-276.76
NA,NA,NA,1624.1111,112.16,-277.88
NA,NA,NA,1623.9722,112.19,-276.21
NA,NA,NA,1623.8611,112.23,-274.04
NA,NA,NA,1623.7778,112.26,-272.83
NA,NA,NA,1623.6944,112.29,-270.26
NA,NA,NA,1623.6111,112.32,-274.28
NA,NA,NA,1623.5278,112.35,-278.54
NA,NA,NA,1623.4167,112.39,-275.92
NA,NA,NA,1623.3333,112.42,-269.52
NA,NA,NA,1623.25,112.45,-265.03
NA,NA,NA,1623.1667,112.48,-259.85
NA,NA,NA,1623.0556,112.52,-258.97
NA,NA,NA,1622.9583,112.55,-262.42
NA,NA,NA,1622.8333,112.58,-270.19
NA,NA,NA,1622.7083,112.61,-279.52
NA,NA,NA,1622.5417,112.65,-281.43
NA,NA,NA,1622.4167,112.68,-280.69
NA,NA,NA,1622.2917,112.71,-274.69
