year (AD),depth (cm),year (AD),depth (cm),d18O (permil),d18O (permil)
-2048.2,498.2,1484.4,53,-6.36,-6.26
-2137.3,508.8,1473.9,54,-6.4,-6.32
-2256.3,519.3,1463.4,55,-6.26,-6.17
-2363.9,529.8,1452.9,56,-6.14,-6.26
-2468.6,540.4,1442.5,57,-6.23,-6.1
-2571.2,550.8,1432.1,58,-6.17,-6.2
-2674.2,561.1,1421.9,59,-6.11,-6.17
-2783.9,571.5,1411.6,60,-6,-6.2
-2900.2,581.8,1401.1,61,-5.99,-6.19
-2963.4,592.2,1391.1,62,-6.25,-6.11
-3017.3,602.5,1381,63,-6.16,-6.07
-3046.2,608.2,1371.3,64,-6.15,-6.02
-3084.7,615.8,1361.5,65,-6.24,-5.9
-3135.4,625.9,1351.7,66,-6.22,-6.06
-3189.7,636.1,1341.7,67,-6.18,-6.04
-3259.5,646.3,1331.6,68,-6.14,-5.94
-3320.1,656.4,1321.4,69,-6.25,-5.96
-3372.9,666.6,1311.2,70,-6.36,-6.06
-3425.7,676.8,1300.7,71,-6.25,-6.14
-3499.5,686.9,1290.1,72,-6.18,-6.29
-3582.7,697.1,1279.2,73,-6.22,-5.89
-3653.1,707.3,1268.2,74,-6.22,-6.23
-3722.2,717.5,1256.9,75,-6.29,-6.51
-3790,727.6,1245.5,76,-6.44,-6.62
-3859.8,737.8,1234,77,-6.39,-6.2
-3932.7,748,1222.3,78,-6.16,-6.15
-4023.2,758.2,1209.7,79,-6.14,-6.3
-4105.9,768.5,1197.2,80,-6.31,-6.1
-4219.6,778.9,1184.9,81,-6.09,-6.35
-4309.5,789.2,1172.6,82,-6.34,-6.26
-4389.8,799.5,1160.5,83,-6.17,-6.3
-4466.7,809.8,1145.5,84,-6.27,-6.3
-4537.7,819.5,1129.4,85,-6.41,-5.92
-4620.7,829.5,1110.9,86,-6.35,-6.1
-4696.6,839.5,1092,87,-6.34,-6.26
-4744.7,849.5,1073.4,88,-6.13,-6.34
-4787.3,859.6,1054.9,89,-6.23,-6.27
-4827.6,869.6,1037.2,90,-6.31,-6.37
-4867.6,879.6,1019.7,91,-6.32,-6.41
-4906.9,889.6,1003,92,-5.93,-6.36
-4947.2,899.6,986.4,93,-6.26,-6.18
-4988.2,909.7,969.8,94,-6.05,-6.39
-5030.1,919.7,953.3,95,-6.14,-6.29
-5078.5,929.7,936.6,96,-6.37,-6.28
-5142.8,939.7,919.8,97,-6.32,-6.29
-5202.8,949.7,902.8,98,-6.09,-6.34
-5255,959.8,885.3,99,-6.12,-6.31
-5305.6,969.8,867.8,100,-6.11,-6.52
-5355.1,979.8,848.6,101,-6.21,-6.46
-5404.3,989.8,829.3,102,-6.26,-6.3
-5453.7,999.8,809.4,103,-6.22,-6.42
-5502.2,1009.9,791.9,104,-6.17,-6.34
-5551,1019.9,779,105,-6.23,-6.41
-5601.3,1029.8,768.3,106,-6.25,-6.23
-5656.4,1039.7,759.6,107,-6.12,-6.28
-5719.5,1049.5,751.5,108,-6.09,-6.39
-5775.6,1059.3,743.7,109,-6.13,-6.2
-5812.3,1069.2,736.2,110,-6.2,-6.37
-5845.1,1079,728.8,111,-6.23,-6.56
-5876.5,1088.9,721.6,112,-6.22,-6.4
-5908.5,1098.7,714.5,113,-5.8,-6.45
-5959.7,1108.5,707.4,114,-5.86,-6.4
-6042.9,1118.4,700.4,115,-6.09,-6.42
-6114.4,1128.2,693.5,116,-5.96,-6.32
-6198,1138.1,686.6,117,-5.83,-6.23
-6229.6,1147.9,679.6,118,-5.76,-6.38
-6239.2,1152.3,672.9,119,-5.97,-6.35
-6254.6,1159.8,666.3,120,-5.82,-6.04
-6275.2,1169.8,659.8,121,-5.77,-5.97
-6295.9,1179.7,653.2,122,-5.73,-6.04
-6318.6,1189.7,646.8,123,-5.83,-6.15
-6343.9,1199.7,640.4,124,-5.43,-5.9
-6381.9,1209.6,633.7,125,-5.37,-6.15
-6460.1,1219.6,627,126,-5.63,-6.05
-6523.3,1229.6,620.3,127,-5.73,-5.99
-6583.8,1239.6,613.7,128,-5.72,-5.98
-6640.8,1249.5,607,129,-5.8,-6.02
-6699.9,1259.5,600.3,130,-5.75,-6.2
-6763.5,1269.5,593.7,131,-5.92,-6.34
-6844.6,1279.7,587.2,132,-5.76,-6.37
-6899.7,1290.1,580.7,133,-5.75,-6.18
-6953.3,1300.6,574.3,134,-5.49,-6.18
-7030.8,1311.1,567.9,135,-5.57,-6.1
-7091.7,1321.5,561.4,136,-5.7,-6.2
-7152.7,1332,554.9,137,-5.49,-6.33
-7218.9,1342.4,548.4,138,-5.4,-6.01
-7280.7,1352.9,541.9,139,-5.45,-5.9
-7301.3,1363.6,534.9,140,-5.47,-5.96
-7324.9,1374.4,527.9,141,-5.24,-5.74
-7395.4,1385.3,521,142,-5.4,-5.86
-7429,1391.2,514,143,-5.19,-6.11
-7472,1398.7,507,144,-5.17,-6.23
-7561.7,1408.9,499.8,145,-5.1,-6.15
-7666.7,1419,492.6,146,-5.25,-6.17
-7755.9,1429.1,485.1,147,-5.06,-6.26
-7843.5,1439.2,477.4,148,-5.14,-6.15
-7931.7,1449.3,469.6,149,-5.04,-6.18
-8018.7,1459.4,461.8,150,-4.94,-5.92
-8112.4,1469.5,453.5,151,-4.9,-5.97
-8175.3,1475.1,445.5,152,-4.78,-6.03
-8254,1482.4,438.5,153,-4.9,-6.39
-8329.6,1491.8,432,154,-4.95,-6.19
-8382.1,1499.3,426.7,155,-4.85,-5.99
-8450.4,1509.5,421.7,156,-4.86,-6.83
-8516.6,1519.6,417,157,-4.74,-6.21
-8586.1,1529.8,412.7,158,-4.85,-5.98
-8658.6,1539.9,408.5,159,-4.81,-6.3
-8750.9,1550.2,404.5,160,-4.63,-6.32
NA,NA,400.6,161,NA,-5.87
NA,NA,396.9,162,NA,-5.91
NA,NA,393.4,163,NA,-5.97
NA,NA,389.9,164,NA,-5.89
NA,NA,386.4,165,NA,-6.12
NA,NA,382.9,166,NA,-5.92
NA,NA,379.4,167,NA,-6.13
NA,NA,376,168,NA,-6.15
NA,NA,372.6,169,NA,-6.18
NA,NA,369.2,170,NA,-5.91
NA,NA,366,171,NA,-6.18
NA,NA,362.8,172,NA,-6.18
NA,NA,359.5,173,NA,-6.23
NA,NA,356.1,174,NA,-6.28
NA,NA,352.8,175,NA,-5.93
NA,NA,349.5,176,NA,-6.01
NA,NA,346.1,177,NA,-6.04
NA,NA,342.7,178,NA,-6.31
NA,NA,339.3,179,NA,-6.23
NA,NA,336,180,NA,-6.23
NA,NA,332.9,181,NA,-6.33
NA,NA,329.7,182,NA,-6.12
NA,NA,326.6,183,NA,-6.22
NA,NA,323.4,184,NA,-6.02
NA,NA,320.2,185,NA,-6.51
NA,NA,316.9,186,NA,-6.33
NA,NA,313.7,187,NA,-6.27
NA,NA,310.3,188,NA,-6.45
NA,NA,307.1,189,NA,-6.32
NA,NA,303.9,190,NA,-6.35
NA,NA,300.7,191,NA,-6.36
NA,NA,297.4,192,NA,-6.22
NA,NA,294.2,193,NA,-6.22
NA,NA,291,194,NA,-6.38
NA,NA,287.9,195,NA,-6.36
NA,NA,284.9,196,NA,-6.33
NA,NA,281.7,197,NA,-6.54
NA,NA,278.5,198,NA,-6.37
NA,NA,275.2,199,NA,-6.34
NA,NA,272,200,NA,-6.38
NA,NA,268.6,201,NA,-6.44
NA,NA,265.2,202,NA,-6.51
NA,NA,261.9,203,NA,-6.54
NA,NA,258.4,204,NA,-6.49
NA,NA,254.9,205,NA,-6.26
NA,NA,251.3,206,NA,-6.13
NA,NA,247.7,207,NA,-6.4
NA,NA,244.1,208,NA,-6.49
NA,NA,240.4,209,NA,-6.22
NA,NA,236.7,210,NA,-6.02
NA,NA,233,211,NA,-6.41
NA,NA,229.1,212,NA,-6.45
NA,NA,225.2,213,NA,-6.75
NA,NA,221.3,214,NA,-6.76
NA,NA,217.1,215,NA,-6.56
NA,NA,212.3,216,NA,-6.85
NA,NA,207.2,217,NA,-6.59
NA,NA,201.5,218,NA,-6.85
NA,NA,194.8,219,NA,-6.92
NA,NA,187.4,220,NA,-6.55
NA,NA,180.2,221,NA,-6.85
NA,NA,173.1,222,NA,-6.59
NA,NA,166.1,223,NA,-6.46
NA,NA,159.3,224,NA,-6.53
NA,NA,152.5,225,NA,-6.77
NA,NA,145.6,226,NA,-6.73
NA,NA,138.7,227,NA,-6.82
NA,NA,131.9,228,NA,-6.4
NA,NA,125,229,NA,-6.63
NA,NA,118.3,230,NA,-6.67
NA,NA,111.6,231,NA,-6.4
NA,NA,104.9,232,NA,-6.27
NA,NA,98.2,233,NA,-6.37
NA,NA,91.5,234,NA,-6.39
NA,NA,84.9000000000001,235,NA,-6.56
NA,NA,78.5,236,NA,-6.11
NA,NA,72.0999999999999,237,NA,-6.31
NA,NA,65.9000000000001,238,NA,-6.39
NA,NA,59.7,239,NA,-6.52
NA,NA,53.5,240,NA,-6.62
NA,NA,47.4000000000001,241,NA,-6.6
NA,NA,41.2,242,NA,-6.35
NA,NA,35.2,243,NA,-6.29
NA,NA,29.2,244,NA,-6.47
NA,NA,23.0999999999999,245,NA,-6.69
NA,NA,16.9000000000001,246,NA,-6.76
NA,NA,11.2,247,NA,-6.61
NA,NA,5.5,248,NA,-6.74
NA,NA,-1.40000000000009,249,NA,-6.56
NA,NA,-7.29999999999995,250,NA,-6.47
NA,NA,-13.2,251,NA,-6.5
NA,NA,-18.9000000000001,252,NA,-6.32
NA,NA,-24.4000000000001,253,NA,-6.72
NA,NA,-30.0999999999999,254,NA,-6.57
NA,NA,-36.0999999999999,255,NA,-6.34
NA,NA,-41.9000000000001,256,NA,-6.78
NA,NA,-47.5999999999999,257,NA,-6.44
NA,NA,-53.2,258,NA,-6.66
NA,NA,-58.9000000000001,259,NA,-6.54
NA,NA,-64.7,260,NA,-6.58
NA,NA,-70.5,261,NA,-6.7
NA,NA,-76.4000000000001,262,NA,-6.37
NA,NA,-82.3,263,NA,-6.32
NA,NA,-88,264,NA,-6.52
NA,NA,-93.8,265,NA,-6.71
NA,NA,-99.6999999999998,266,NA,-6.41
NA,NA,-105.5,267,NA,-6.66
NA,NA,-111.4,268,NA,-6.51
NA,NA,-117.3,269,NA,-6.67
NA,NA,-123.3,270,NA,-6.64
NA,NA,-129.1,271,NA,-6.57
NA,NA,-134.9,272,NA,-6.82
NA,NA,-140.5,273,NA,-6.88
NA,NA,-146.1,274,NA,-6.61
NA,NA,-152,275,NA,-6.38
NA,NA,-157.9,276,NA,-6.35
NA,NA,-163.8,277,NA,-6.37
NA,NA,-169.7,278,NA,-6.31
NA,NA,-175.6,279,NA,-6.28
NA,NA,-181.5,280,NA,-6.62
NA,NA,-187.4,281,NA,-6.06
NA,NA,-193.2,282,NA,-6.41
NA,NA,-199,283,NA,-6.53
NA,NA,-204.8,284,NA,-6.43
NA,NA,-210.5,285,NA,-6.31
NA,NA,-216.5,286,NA,-6.22
NA,NA,-222.5,287,NA,-6.47
NA,NA,-228.6,288,NA,-6.84
NA,NA,-234.7,289,NA,-6.53
NA,NA,-240.8,290,NA,-6.27
NA,NA,-247,291,NA,-6.64
NA,NA,-253.3,292,NA,-6.61
NA,NA,-259.6,293,NA,-6.49
NA,NA,-266,294,NA,-6.44
NA,NA,-272.4,295,NA,-6.48
NA,NA,-278.8,296,NA,-6.27
NA,NA,-285.6,297,NA,-6.4
NA,NA,-292.4,298,NA,-6.56
NA,NA,-299,299,NA,-6.71
NA,NA,-305.6,300,NA,-6.23
NA,NA,-312.1,301,NA,-6.5
NA,NA,-318.5,302,NA,-6.4
NA,NA,-325,303,NA,-6.55
NA,NA,-331.6,304,NA,-6.51
NA,NA,-338.1,305,NA,-6.47
NA,NA,-344.8,306,NA,-6.41
NA,NA,-351.6,307,NA,-6.27
NA,NA,-358.4,308,NA,-6.55
NA,NA,-365.3,309,NA,-6.28
NA,NA,-372.5,310,NA,-6.57
NA,NA,-379.8,311,NA,-6.6
NA,NA,-387.3,312,NA,-6.65
NA,NA,-394.8,313,NA,-6.18
NA,NA,-402.3,314,NA,-6.34
NA,NA,-409.1,315,NA,-6.41
NA,NA,-414.7,316,NA,-6.2
NA,NA,-420,317,NA,-6.34
NA,NA,-424.8,318,NA,-6.58
NA,NA,-429.4,319,NA,-6.11
NA,NA,-433.9,320,NA,-6.17
NA,NA,-438.2,321,NA,-6.09
NA,NA,-442.5,322,NA,-6.27
NA,NA,-446.7,323,NA,-6.3
NA,NA,-450.9,324,NA,-6.09
NA,NA,-454.9,325,NA,-6.23
NA,NA,-459,326,NA,-6.32
NA,NA,-462.9,327,NA,-6.28
NA,NA,-466.9,328,NA,-6.51
NA,NA,-470.9,329,NA,-6.7
NA,NA,-474.9,330,NA,-6.56
NA,NA,-478.8,331,NA,-6.63
NA,NA,-482.7,332,NA,-6.4
NA,NA,-486.6,333,NA,-6.41
NA,NA,-490.4,334,NA,-6.21
NA,NA,-494.2,335,NA,-6.24
NA,NA,-498.1,336,NA,-6.06
NA,NA,-502.1,337,NA,-6.23
NA,NA,-505.9,338,NA,-6.2
NA,NA,-509.7,339,NA,-6.08
NA,NA,-513.5,340,NA,-6.31
NA,NA,-517.2,341,NA,-6.43
NA,NA,-520.8,342,NA,-6.51
NA,NA,-524.5,343,NA,-6.39
NA,NA,-528.1,344,NA,-6.2
NA,NA,-531.8,345,NA,-6.3
NA,NA,-535.5,346,NA,-6.6
NA,NA,-539.1,347,NA,-6.52
NA,NA,-542.6,348,NA,-6.52
NA,NA,-546.4,349,NA,-6.66
NA,NA,-550.1,350,NA,-6.4
NA,NA,-553.6,351,NA,-6.15
NA,NA,-557.2,352,NA,-6.4
NA,NA,-561,353,NA,-6.43
NA,NA,-564.6,354,NA,-6.41
NA,NA,-568,355,NA,-6.31
NA,NA,-571.6,356,NA,-6.37
NA,NA,-575.3,357,NA,-6.37
NA,NA,-578.8,358,NA,-6.25
NA,NA,-582.3,359,NA,-6.41
NA,NA,-585.8,360,NA,-6.43
NA,NA,-589.3,361,NA,-6.35
NA,NA,-592.9,362,NA,-6.22
NA,NA,-596.4,363,NA,-6.46
NA,NA,-600,364,NA,-6.35
NA,NA,-603.6,365,NA,-6.33
NA,NA,-607.2,366,NA,-6.17
NA,NA,-610.7,367,NA,-6.49
NA,NA,-614.2,368,NA,-6.19
NA,NA,-617.9,369,NA,-6.32
NA,NA,-621.6,370,NA,-6.14
NA,NA,-625.1,371,NA,-6.15
NA,NA,-628.6,372,NA,-6.36
NA,NA,-632.1,373,NA,-6.5
NA,NA,-635.7,374,NA,-6.45
NA,NA,-639.3,375,NA,-6.5
NA,NA,-642.9,376,NA,-6.19
NA,NA,-646.2,377,NA,-6.06
NA,NA,-649.7,378,NA,-6.32
NA,NA,-653.1,379,NA,-6.53
NA,NA,-656.7,380,NA,-6.22
NA,NA,-660.3,381,NA,-6.19
NA,NA,-663.8,382,NA,-6.27
NA,NA,-667.4,383,NA,-6.28
NA,NA,-671,384,NA,-6.16
NA,NA,-674.5,385,NA,-6.5
NA,NA,-678,386,NA,-6.15
NA,NA,-681.5,387,NA,-6.26
NA,NA,-685,388,NA,-5.88
NA,NA,-688.5,389,NA,-6.55
NA,NA,-692,390,NA,-6.24
NA,NA,-695.6,391,NA,-6.47
NA,NA,-699.1,392,NA,-6.37
NA,NA,-702.8,393,NA,-6.65
NA,NA,-706.6,394,NA,-6.57
NA,NA,-710.2,395,NA,-6.4
NA,NA,-713.8,396,NA,-6.71
NA,NA,-717.5,397,NA,-6.48
NA,NA,-721.1,398,NA,-6.43
NA,NA,-725,399,NA,-6.28
NA,NA,-728.8,400,NA,-6.36
NA,NA,-732.6,401,NA,-6.56
NA,NA,-736.5,402,NA,-6.4
NA,NA,-740.4,403,NA,-6.07
NA,NA,-744.3,404,NA,-6.38
NA,NA,-748.3,405,NA,-6.11
NA,NA,-752.2,406,NA,-6.19
NA,NA,-756.1,407,NA,-6.44
NA,NA,-760.1,408,NA,-6.28
NA,NA,-764,409,NA,-6.33
NA,NA,-768,410,NA,-6.5
NA,NA,-772,411,NA,-6.4
NA,NA,-776.3,412,NA,-6.25
NA,NA,-780.6,413,NA,-6.29
NA,NA,-784.7,414,NA,-6.27
NA,NA,-788.8,415,NA,-6.41
NA,NA,-793,416,NA,-6.36
NA,NA,-797.3,417,NA,-6.22
NA,NA,-801.6,418,NA,-6.45
NA,NA,-806.1,419,NA,-6.36
NA,NA,-810.7,420,NA,-6.27
NA,NA,-815.4,421,NA,-6.1
NA,NA,-820.2,422,NA,-6.08
NA,NA,-824.6,423,NA,-6.14
NA,NA,-828.7,424,NA,-6.27
NA,NA,-831.2,425,NA,-6.37
NA,NA,-833.4,426,NA,-6.39
NA,NA,-834.6,427,NA,-6.37
NA,NA,-835.7,428,NA,-6.19
NA,NA,-836.5,429,NA,-6.1
NA,NA,-837.4,430,NA,-6.28
NA,NA,-838.4,431,NA,-6.39
NA,NA,-839.3,432,NA,-6.26
NA,NA,-840.2,433,NA,-6.07
NA,NA,-841.1,434,NA,-6.23
NA,NA,-841.9,435,NA,-6.1
NA,NA,-842.8,436,NA,-6.33
NA,NA,-843.9,437,NA,-6.19
NA,NA,-845.6,438,NA,-6.01
NA,NA,-847.5,439,NA,-5.92
NA,NA,-850.1,440,NA,-6.05
NA,NA,-852.5,441,NA,-6.33
NA,NA,-855,442,NA,-6.07
NA,NA,-857.6,443,NA,-6.05
NA,NA,-860.3,444,NA,-6.09
NA,NA,-862.4,445,NA,-6.28
NA,NA,-864.3,446,NA,-6.16
NA,NA,-866.3,447,NA,-6.46
NA,NA,-868.3,448,NA,-6.32
NA,NA,-870.2,449,NA,-6.39
NA,NA,-872,450,NA,-5.98
NA,NA,-873.6,451,NA,-6.04
NA,NA,-875.4,452,NA,-6.06
NA,NA,-877.1,453,NA,-6.2
NA,NA,-878.9,454,NA,-5.98
NA,NA,-880.7,455,NA,-5.87
NA,NA,-883,456,NA,-6.23
NA,NA,-885.6,457,NA,-6.09
NA,NA,-887.8,458,NA,-5.92
NA,NA,-890,459,NA,-6.07
NA,NA,-892.3,460,NA,-5.84
NA,NA,-894.4,461,NA,-6.17
