year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil),d18O (permil)
-6200.4,256,0.14,NA,-1.15,-0.54
-6324,260,0.21,-1.3,-1.16,-0.61
-6458.5,265,-0.1,NA,-0.79,-0.69
-6593,270,0.57,-1.15,-0.73,-0.64
-6714,275,0.39,NA,-0.86,-0.62
-6835,280,0.14,-1.14,-0.48,-0.52
-6942.5,285,-0.02,NA,-0.2,-0.34
-7050,290,0.06,-1.12,-0.86,-0.44
-7144,297,0.41,NA,0.04,-0.49
-7238,300,0.21,-1.12,-0.88,-0.33
-7305,305,0.41,NA,-0.29,-0.3
-7398.8,312,0.05,-1.03,-0.62,-0.31
-7452.4,316,0.37,NA,-0.72,-0.29
-7506,320,0.23,NA,-0.42,-0.31
-7554,325,0.43,NA,-0.05,-0.03
-7602,330,0.25,NA,-0.59,-0.32
-7643,336,0.12,NA,-0.61,-0.14
-7684,340,0.29,NA,-0.51,-0.33
-7721,345,0.19,NA,-0.43,-0.24
-7758,350,0.61,NA,-0.3,-0.13
-7793.5,355,0.31,NA,-0.39,-0.04
-7829,360,0.49,NA,0.04,-0.19
-7863.5,365,0.5,NA,-0.03,-0.05
-7898,370,0.81,NA,-0.05,-0.04
-7931.5,375,0.55,NA,0.02,0.11
-7965,380,0.72,NA,0.07,-0.09
-7998.5,385,0.46,NA,NA,-0.06
-8032,390,0.69,NA,-0.1,-0.01
-8065,395,0.74,NA,-0.01,-0.02
-8098,400,0.67,NA,0.15,-0.31
-8132,406,0.44,NA,0.08,-0.05
-8166,410,0.71,-0.4,-0.04,-0.14
-8200.5,415,0.52,NA,0.37,0.04
-8235,420,0.53,-0.19,0.09,-0.01
-8271,425,0.62,NA,0.14,0.11
-8307,430,0.64,0.05,0.24,-0.03
-8344,435,0.55,NA,0.17,0.03
-8381,440,0.53,0.07,0.1,-0.16
-8419.5,445,0.64,NA,0.14,0.06
-8458,450,0.69,NA,0.1,0.02
-8498,455,0.41,NA,0.46,-0.06
-8538,460,0.68,NA,-0.16,-0.12
-8580.5,466.5,0.58,NA,0.55,0.04
-8623,470,0.68,NA,0.27,0.12
-8668,475,0.58,NA,0.18,-0.04
-8713,480,0.8,NA,0.09,-0.03
-8761,485,0.37,NA,-0.19,-0.23
-8809,490,0.62,-0.61,0.28,0.18
-8860.5,495,0.65,NA,0.17,-0.03
-8912,500,0.75,-0.2,0.1,-0.08
-8967.5,505,0.49,NA,-0.21,0.04
-9023,510,0.62,-0.17,0.09,0.23
-9083,515,0.49,NA,-0.22,0.25
-9143,520,0.64,-0.32,0.39,0.32
-9209.5,525,0.39,NA,-0.21,0.06
-9276,530,0.58,-0.38,0.47,0.09
-9350,535,0.41,NA,-0.39,-0.14
-9424,540,0.65,-0.15,-0.2,0.02
-9502,545,0.34,NA,-0.16,-0.17
-9580,550,0.88,-0.22,-0.73,0.11
-3894,555,0.35,NA,-0.48,NA
-9738,560,0.34,-0.21,0.64,-0.05
-9815,565,0.29,NA,0.06,0.04
-9892,570,0.99,-0.23,0.04,0.16
-4046,575,0.45,NA,-0.27,NA
-10042,580,0.71,-0.26,0.12,-0.03
-10114.5,585,0.6,NA,-0.38,-0.09
-10187,590,0.77,-0.15,0.11,0.11
-10258,595,0.45,0.3,-0.17,0
-10329,600,0.82,-0.14,0.6,-0.06
-10398,605,0.52,0.28,0.02,-0.01
-10467,610,0.86,0.16,0.58,0.09
-10534.5,615,0.58,0.27,0.63,0
-10602,620,0.99,-0.28,-0.19,0.14
-10734,630,1.01,NA,0.32,0.05
-10861,640,1.04,NA,0.6,0.06
-10922.5,645,1.1,0.71,0.4,0.11
-10984,650,1.04,NA,0.41,0.05
-11044,655,0.84,NA,-0.35,0.11
-11104,660,0.9,NA,0.14,-0.02
-11163,665,0.77,0.44,0.37,0.07
-11222,670,1.01,NA,0.23,0.01
-11280,675,0.93,0.38,0.57,-0.05
-11338,680,0.97,NA,0.5,0.01
-11395.5,685,0.85,0.56,0.21,-0.09
-11453,690,1,NA,0.41,0.01
-11510.5,695,0.78,0.42,-0.02,-0.07
-11568,700,0.9,0.24,0.61,-0.16
-11620.5,705,NA,NA,0.01,-0.34
-11683,710,1.03,0.48,0.22,-0.02
-11741.5,715,0.71,NA,-0.1,-0.2
-11800,720,0.96,NA,0.01,-0.21
-11920,730,0.63,0.07,0.45,-0.07
-11982,735,0.56,NA,-0.42,-0.25
-12044,740,0.62,0.21,0.26,-0.34
-12103,745,0.47,NA,-0.05,-0.23
-12162,750,0.47,0.18,0.43,-0.32
-12234.5,755.5,0.71,NA,0.36,-0.36
-12307,760,1.15,0.26,0.42,-0.55
-12378.5,765,0.46,NA,0.09,-0.56
-12450,770,0.67,0.28,0.64,-0.17
-12525.5,775.5,1.28,NA,0.44,0.18
-12601,780,0.98,0.08,0.38,0.16
-12681,786,1.01,NA,0.41,0.33
-12761,790,1,0.33,0.68,0.28
-12845.52,795,0.8,NA,0.73,0.29
-12931,800,1.21,0.38,0.53,0.22
-13021.5,805,0.89,NA,0.64,0.32
-13112,810,1.41,NA,0.74,0.36
-13207,815.5,0.86,NA,0.78,0.41
-13302,820,1.2,NA,0.75,0.23
-13403,825,0.95,NA,0.45,0.37
-13504,830,1.34,NA,0.82,0.37
-13610.5,835,0.71,NA,0.95,0.62
-13717,840,1.27,NA,0.78,0.37
-13829.5,845,0.65,NA,1.04,0.43
-13942,850,1.19,NA,0.8,0.31
-14061,855,1.03,NA,0.99,0.4
-14180,860,1.27,NA,0.91,0.33
-14306.5,865,1.3,NA,0.59,0.25
-14433,870,1.14,NA,0.79,0.29
-14567,875,0.83,NA,0.62,0.38
-14701,880,1.28,NA,0.68,0.1
-14844,885,0.96,NA,0.88,0.52
-14987,890,1.31,NA,0.78,0.16
-15136,895,1.08,NA,0.85,0.36
-15285,900,1.27,NA,0.9,0.17
-15436,905,1.09,NA,0.82,0.42
-15587,910,1.25,NA,0.76,0.13
-15750,915,1.12,NA,0.85,0.15
-15913,920,1.22,NA,0.92,0.09
-16090.5,925,0.87,NA,0.79,0.06
-16268,930,1.42,NA,0.85,0.13
-16462.5,935,1.3,NA,0.88,-0.08
-16657,940,1.26,NA,0.78,0.23
-16872,945,0.93,NA,0.63,0
-17087,950,1.31,NA,0.89,0.06
-17327.5,955,1.01,NA,0.88,0.14
-17568,960,1.31,NA,0.81,0.3
-17834.5,965,0.91,NA,0.78,0.24
-18101,970,1.16,NA,0.77,0.28
-18395,975,0.95,NA,0.65,0.22
-18689,980,1.13,NA,0.85,0.27
-19081.6,985.5,1.16,NA,0.68,0.09
-19293,990,1.29,NA,0.71,0.33
