year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [2-1]
1845,NA,-8.09,695,NA,-8.34
1842,NA,-7.78,654,NA,-8.45
1839,NA,-8.06,613,NA,-10.23
1835,NA,-9.01,572,NA,-9.95
1832,NA,-9.42,531,NA,-10.36
1828,NA,-9.25,489,NA,-10.34
1824,NA,-9.57,448,NA,-10.15
1821,NA,-9.69,407,NA,-8.56
1817,NA,-9.53,366,NA,-8.82
1813,NA,-10.23,324,NA,-9.55
1810,NA,-10.23,283,NA,-9.95
1806,NA,-10.74,242,NA,-8.38
1803,NA,-8.89,184,NA,-9.03
1799,NA,-8.97,127,NA,-10.25
1796,NA,-8.83,69,NA,-10
1792,NA,-9.31,12,NA,-8.7
1788,NA,-7.75,-46,NA,-8.74
1785,NA,-7.9,-103,NA,-10.11
1782,NA,-8.76,-161,NA,-8.82
1778,NA,-8.17,-218,NA,-8.57
1775,NA,-7.74,-276,NA,-9.63
1771,NA,-8.19,-334,NA,-8.95
1768,NA,-8.68,-391,NA,-8.94
1763,NA,-8.91,-449,NA,-8.38
1760,NA,-8.63,-506,NA,-9.05
1757,NA,-8.64,-564,NA,-8.58
1754,NA,-9,-621,NA,-7.78
1750,NA,-8.83,-679,NA,-8.42
1746,NA,-8.48,-736,NA,-9.42
1743,NA,-8.11,-794,NA,-7.46
1740,NA,-8.25,-852,NA,-7.34
1736,NA,-7.76,-909,NA,-8.65
1732,NA,-7.84,-967,NA,-9.29
1728,NA,-8.86,-1024,NA,-8.36
1725,NA,-8.94,-1082,NA,-9.68
1722,NA,-8.83,-1139,NA,-9.07
1718,NA,-9.21,-1197,NA,-8.62
1714,NA,-8.91,-1254,NA,-8.73
1711,NA,-9.1,-1312,NA,-9.28
1708,NA,-9.18,-1369,NA,-10.43
1704,NA,-9.4,-1427,NA,-9.33
1700,NA,-9.05,-1489,NA,-9.72
1697,NA,-9.11,-1552,NA,-9.39
1693,NA,-9.77,-1614,NA,-9.37
1689,NA,-9.84,-1676,NA,-9.71
1688,NA,-9.49,-1738,NA,-10.4
1686,NA,-9.07,-1801,NA,-8.97
1682,NA,-8.4,-1863,NA,-8.21
1677,NA,-8.5,-1925,NA,-9.34
1675,NA,-8.67,-1987,NA,-8.88
1671,NA,-8.91,-2050,NA,-9.3
1668,NA,-9.17,-2112,NA,-10
1665,NA,-9.2,-2174,NA,-9.91
1659,NA,-9.42,-2237,NA,-10.17
1657,NA,-9.79,-2299,NA,-9.89
1656,NA,-9.9,-2361,NA,-10.71
1654,NA,-10.1,-2383,NA,-11.08
1650,NA,-9.75,-2404,NA,-10.25
1648,NA,-9.33,-2426,NA,-10.3
1647,NA,-9.21,-2447,NA,-9.6
1646,NA,-8.95,-2463,NA,-10.1
1644,NA,-9.17,-2473,NA,-11.43
1641,NA,-8.83,-2483,NA,-10.58
1639,NA,-9.22,-2493,NA,-10.57
1638,NA,-9.64,-2503,NA,-10.08
1637,NA,-9.86,-2513,NA,-8.67
1635,NA,-9.87,-2524,NA,-8.63
1633,NA,-9.37,-2534,NA,-9.31
1631,NA,-9.65,-2544,NA,-10
1628,NA,-9.28,-2554,NA,-10.47
1624,NA,-8.44,-2564,NA,-8.24
1622,NA,-7.46,-2574,NA,-9.37
1620,NA,-7.96,-2584,NA,-9.72
1618,NA,-8.23,-2594,NA,-10.15
1616,NA,-8.2,-2640,NA,-9.43
1615,NA,-8.35,-2686,NA,-9.51
1613,NA,-8.52,-2732,NA,-10.13
1612,NA,-8.88,-2779,NA,-9.91
1610,NA,-8.93,-2825,NA,-9.94
1609,NA,-9,-2871,NA,-10.96
1607,NA,-9.1,-2917,NA,-10.36
1605,NA,-8.95,-2963,NA,-8.69
1602,NA,-8.96,-3009,NA,-8.35
1599,NA,-8.55,-3055,NA,-8.09
1596,NA,-8.44,-3101,NA,-8.86
1593,NA,-8.32,-3148,NA,-9.15
1590,NA,-8.24,-3194,NA,-9.63
1589,NA,-8.64,-3240,NA,-10.58
1587,NA,-8.88,-3286,NA,-9.05
1586,NA,-8.73,-3332,NA,-9.94
1583,NA,-9.07,-3378,NA,-10.75
1580,NA,-9.34,-3424,NA,-10.89
1577,NA,-10.4,-3470,NA,-9.76
1576,NA,-10.1,-3516,NA,-10.54
1573,NA,-9.87,-3563,NA,-9.58
1570,NA,-10.44,-3609,NA,-9.39
1568,NA,-10.41,-3655,NA,-10.01
1567,NA,-9.93,-3701,NA,-9.95
1565,NA,-9.4,-6345,NA,-9.91
1562,NA,-8.81,-6456,NA,-9.8
1559,NA,-8.35,-6567,NA,-9.49
1558,NA,-8.48,-6678,NA,-10.18
1556,NA,-8.33,-6789,NA,-9.78
1553,NA,-8.15,-6900,NA,-10.02
1551,NA,-8.07,-7011,NA,-11.28
1550,NA,-8.24,-7122,NA,-10.34
1549,NA,-8.47,-7233,NA,-11.36
1547,NA,-8.69,-7344,NA,-11.49
1544,NA,-8.7,-7455,NA,-10.95
1542,NA,-8.9,-7566,NA,-10.37
1540,NA,-9.16,-7677,NA,-10.11
1540,NA,-9.29,-7788,NA,-10.15
1537,NA,-9.25,-7899,NA,-9.64
1535,NA,-8.62,-8010,NA,-10.7
1533,NA,-8.94,-8121,NA,-10.33
1531,NA,-8.67,-8232,NA,-9.73
1529,NA,-8.6,-8342,NA,-10.27
1527,NA,-8.64,-8453,NA,-9.37
1525,NA,-9.03,-8564,NA,-9.11
1523,NA,-8.92,-8674,NA,-8.89
1522,NA,-9.28,-8785,NA,-9.31
1519,NA,-9.41,-8895,NA,-9.08
1518,NA,-9.39,-9006,NA,-10.77
1516,NA,-9.07,-9117,NA,-11.09
1514,NA,-9.43,-9227,NA,-11.73
1512,NA,-9.32,-9338,NA,-10.07
1511,NA,-9.55,-9449,NA,-9.9
1509,NA,-8.84,-9559,NA,-9.81
1507,NA,-9.31,-9670,NA,-12.17
1505,NA,-9.49,-9780,NA,-9.83
1503,NA,-9.45,-9891,NA,-9.08
1501,NA,-8.94,-10002,NA,-8.4
1499,NA,-8.66,-13249,NA,-6.58
1497,NA,-8.49,-13348,NA,-6.42
1496,NA,-8.57,-13447,NA,-6.39
1494,NA,-8.75,-13546,NA,-5.4
1492,NA,-8.64,-13645,NA,-5.75
1490,NA,-8.65,-13745,NA,-5.89
1488,NA,-8.56,-13844,NA,-5.7
1486,NA,-8.64,-13944,NA,-4.52
1483,NA,-8.71,-14043,NA,-5.68
1482,NA,-9.36,-14143,NA,-5.79
1481,NA,-9.4,-14242,NA,-5.89
1479,NA,-9.24,-14342,NA,-5.97
1477,NA,-9.04,-14441,NA,-5.51
1475,NA,-9.1,-14541,NA,-6.23
1473,NA,-9.37,-14640,NA,-6.57
1471,NA,-9.21,-14740,NA,-7.39
1470,NA,-9.4,-14839,NA,-7.67
1468,NA,-9.38,-14939,NA,-7.55
1466,NA,-10.01,-15038,NA,-7.58
1463,NA,-9.22,-15132,NA,-8.11
1460,NA,-9.23,-15226,NA,-8.98
1457,NA,-9.28,-15319,NA,-8.67
1455,NA,-9.21,-15413,NA,-9.46
1452,NA,-9.47,-15507,NA,-9.53
1450,NA,-9.92,-15601,NA,-9.54
1447,NA,-10.08,-15695,NA,-9.64
1444,NA,-10.17,-15788,NA,-9.76
1442,NA,-9.2,-15882,NA,-8.94
1438,NA,-9.2,-15976,NA,-9.66
1434,NA,-10.28,-16070,NA,-9.13
1431,NA,-9.38,-16164,NA,-9.97
1426,NA,-9.63,-16258,NA,-9.11
1422,NA,-9.27,-16351,NA,-9.31
1418,NA,-9.02,-16445,NA,-8.74
1414,NA,-8.49,-16539,NA,-9.41
1411,NA,-9.06,-16633,NA,-9.68
1406,NA,-9.36,-16727,NA,-9.71
1402,NA,-9.98,-16820,NA,-9.86
1398,NA,-9.23,-16914,NA,-10.33
1395,NA,-9.15,-17008,NA,-9.67
1393,NA,-9.17,NA,NA,NA
1391,NA,-9.05,NA,NA,NA
1388,NA,-8.02,NA,NA,NA
1384,NA,-8.27,NA,NA,NA
1382,NA,-8.67,NA,NA,NA
1379,NA,-9.11,NA,NA,NA
1376,NA,-8.8,NA,NA,NA
1372,NA,-8.72,NA,NA,NA
1366,NA,-8.7,NA,NA,NA
1366,NA,-8.17,NA,NA,NA
1363,NA,-8.5,NA,NA,NA
1359,NA,-8.21,NA,NA,NA
1358,NA,-8.23,NA,NA,NA
1356,NA,-7.72,NA,NA,NA
1350,NA,-7.07,NA,NA,NA
1346,NA,-7.33,NA,NA,NA
1343,NA,-7.93,NA,NA,NA
1342,NA,-7.79,NA,NA,NA
1340,NA,-8.39,NA,NA,NA
1334,NA,-9.29,NA,NA,NA
1331,NA,-9.24,NA,NA,NA
1328,NA,-9.23,NA,NA,NA
1324,NA,-9.38,NA,NA,NA
1318,NA,-9,NA,NA,NA
1314,NA,-9.57,NA,NA,NA
1310,NA,-9.14,NA,NA,NA
1305,NA,-9.48,NA,NA,NA
1302,NA,-8.19,NA,NA,NA
1298,NA,-7.82,NA,NA,NA
1294,NA,-7.78,NA,NA,NA
1289,NA,-7.48,NA,NA,NA
1286,NA,-7.44,NA,NA,NA
1281,NA,-7.44,NA,NA,NA
1280,NA,-7.39,NA,NA,NA
1277,NA,-7.84,NA,NA,NA
1269,NA,-8.44,NA,NA,NA
1265,NA,-9.37,NA,NA,NA
1261,NA,-8.82,NA,NA,NA
1257,NA,-8.92,NA,NA,NA
1253,NA,-8.7,NA,NA,NA
1250,NA,-8.75,NA,NA,NA
1245,NA,-8.99,NA,NA,NA
1241,NA,-8.67,NA,NA,NA
1234,NA,-9.07,NA,NA,NA
1228,NA,-8.87,NA,NA,NA
1220,NA,-8.69,NA,NA,NA
1212,NA,-9.07,NA,NA,NA
1205,NA,-9.8,NA,NA,NA
1199,NA,-11.11,NA,NA,NA
1193,NA,-11.18,NA,NA,NA
1191,NA,-9.66,NA,NA,NA
1188,NA,-11.97,NA,NA,NA
1177,NA,-11.14,NA,NA,NA
1176,NA,-10.52,NA,NA,NA
1170,NA,-10.45,NA,NA,NA
1164,NA,-7.87,NA,NA,NA
1157,NA,-7.81,NA,NA,NA
1153,NA,-7.72,NA,NA,NA
1147,NA,-7.43,NA,NA,NA
1141,NA,-6.97,NA,NA,NA
1135,NA,-7.22,NA,NA,NA
1133,NA,-7.19,NA,NA,NA
1129,NA,-7.52,NA,NA,NA
1118,NA,-7.96,NA,NA,NA
1116,NA,-8.44,NA,NA,NA
1112,NA,-8.47,NA,NA,NA
1105,NA,-8.68,NA,NA,NA
1100,NA,-8.81,NA,NA,NA
1090,NA,-8.8,NA,NA,NA
1084,NA,-8.48,NA,NA,NA
1077,NA,-8.01,NA,NA,NA
1075,NA,-7.89,NA,NA,NA
1071,NA,-7.62,NA,NA,NA
1061,NA,-7.87,NA,NA,NA
1056,NA,-8.08,NA,NA,NA
1051,NA,-8.32,NA,NA,NA
1046,NA,-8.16,NA,NA,NA
1041,NA,-8.03,NA,NA,NA
1030,NA,-7.94,NA,NA,NA
1025,NA,-7.88,NA,NA,NA
1022,NA,-8.07,NA,NA,NA
1018,NA,-8.45,NA,NA,NA
1012,NA,-8.58,NA,NA,NA
1008,NA,-8.92,NA,NA,NA
1001,NA,-9.32,NA,NA,NA
995,NA,-9.43,NA,NA,NA
989,NA,-9.84,NA,NA,NA
984,NA,-9.66,NA,NA,NA
978,NA,-7.98,NA,NA,NA
974,NA,-8.01,NA,NA,NA
969,NA,-7.7,NA,NA,NA
964,NA,-7.85,NA,NA,NA
959,NA,-8.05,NA,NA,NA
954,NA,-8,NA,NA,NA
949,NA,-7.65,NA,NA,NA
944,NA,-8.13,NA,NA,NA
939,NA,-8.88,NA,NA,NA
934,NA,-9.19,NA,NA,NA
929,NA,-9.03,NA,NA,NA
924,NA,-8.72,NA,NA,NA
920,NA,-8.61,NA,NA,NA
915,NA,-8.6,NA,NA,NA
909,NA,-8.55,NA,NA,NA
903,NA,-9.26,NA,NA,NA
898,NA,-10.03,NA,NA,NA
891,NA,-9.67,NA,NA,NA
886,NA,-8.38,NA,NA,NA
880,NA,-8.87,NA,NA,NA
875,NA,-8.64,NA,NA,NA
869,NA,-9.31,NA,NA,NA
862,NA,-9.89,NA,NA,NA
858,NA,-9.37,NA,NA,NA
852,NA,-8.91,NA,NA,NA
847,NA,-8.92,NA,NA,NA
841,NA,-7.78,NA,NA,NA
837,NA,-7.75,NA,NA,NA
833,NA,-8.14,NA,NA,NA
826,NA,-8.28,NA,NA,NA
821,NA,-8.47,NA,NA,NA
815,NA,-9.07,NA,NA,NA
810,NA,-9.25,NA,NA,NA
796,NA,-10.07,NA,NA,NA
795,NA,-10.21,NA,NA,NA
791,NA,-9.49,NA,NA,NA
785,NA,-9.14,NA,NA,NA
780,NA,-9.43,NA,NA,NA
774,NA,-9.25,NA,NA,NA
771,NA,-8.88,NA,NA,NA
767,NA,-8.05,NA,NA,NA
763,NA,-7.94,NA,NA,NA
759,NA,-8.14,NA,NA,NA
754,NA,-9.02,NA,NA,NA
745,NA,-8.77,NA,NA,NA
742,NA,-9.74,NA,NA,NA
731,NA,-8.51,NA,NA,NA
724,NA,-10.17,NA,NA,NA
716,NA,-8.33,NA,NA,NA
712,NA,-8.66,NA,NA,NA
708,NA,-8.24,NA,NA,NA
705,NA,-8.33,NA,NA,NA
699,NA,-8.18,NA,NA,NA
696,NA,-8.41,NA,NA,NA
693,NA,-8.47,NA,NA,NA
689,NA,-8.38,NA,NA,NA
686,NA,-9.1,NA,NA,NA
683,NA,-8.96,NA,NA,NA
680,NA,-8.84,NA,NA,NA
676,NA,-9.14,NA,NA,NA
673,NA,-9.29,NA,NA,NA
669,NA,-8.9,NA,NA,NA
668,NA,-9.31,NA,NA,NA
666,NA,-8.74,NA,NA,NA
660,NA,-8.31,NA,NA,NA
659,NA,-8.84,NA,NA,NA
657,NA,-8.7,NA,NA,NA
654,NA,-8.55,NA,NA,NA
652,NA,-8.41,NA,NA,NA
646,NA,-8.34,NA,NA,NA
643,NA,-8.44,NA,NA,NA
643,NA,-8.82,NA,NA,NA
640,NA,-8.49,NA,NA,NA
638,NA,-8.52,NA,NA,NA
633,NA,-9.09,NA,NA,NA
631,NA,-8.98,NA,NA,NA
630,NA,-9.42,NA,NA,NA
627,NA,-9.48,NA,NA,NA
625,NA,-9.6,NA,NA,NA
619,NA,-9.33,NA,NA,NA
616,NA,-9.28,NA,NA,NA
613,NA,-9.48,NA,NA,NA
608,NA,-8.9,NA,NA,NA
607,NA,-9.27,NA,NA,NA
604,NA,-9.17,NA,NA,NA
601,NA,-9.17,NA,NA,NA
599,NA,-9.25,NA,NA,NA
598,NA,-9.5,NA,NA,NA
593,NA,-9.58,NA,NA,NA
590,NA,-9.65,NA,NA,NA
589,NA,-9.77,NA,NA,NA
588,NA,-9.46,NA,NA,NA
585,NA,-9.33,NA,NA,NA
580,NA,-9.12,NA,NA,NA
578,NA,-9.15,NA,NA,NA
577,NA,-9.22,NA,NA,NA
575,NA,-9.25,NA,NA,NA
572,NA,-9.4,NA,NA,NA
567,NA,-9.41,NA,NA,NA
566,NA,-9.34,NA,NA,NA
565,NA,-9.36,NA,NA,NA
563,NA,-9.29,NA,NA,NA
561,NA,-8.52,NA,NA,NA
558,NA,-8.29,NA,NA,NA
556,NA,-8.64,NA,NA,NA
550,NA,-8.93,NA,NA,NA
545,NA,-8.76,NA,NA,NA
539,NA,-8.77,NA,NA,NA
539,NA,-8.34,NA,NA,NA
534,NA,-8.03,NA,NA,NA
523,NA,-8.22,NA,NA,NA
517,NA,-8.22,NA,NA,NA
515,NA,-8.28,NA,NA,NA
512,NA,-8.51,NA,NA,NA
507,NA,-8.5,NA,NA,NA
496,NA,-9.33,NA,NA,NA
490,NA,-9.71,NA,NA,NA
485,NA,-9.71,NA,NA,NA
480,NA,-9.18,NA,NA,NA
470,NA,-7.63,NA,NA,NA
468,NA,-7.47,NA,NA,NA
465,NA,-7.28,NA,NA,NA
456,NA,-7.94,NA,NA,NA
440,NA,-7.75,NA,NA,NA
438,NA,-7.91,NA,NA,NA
433,NA,-7.59,NA,NA,NA
426,NA,-6.5,NA,NA,NA
419,NA,-7.56,NA,NA,NA
414,NA,-8.88,NA,NA,NA
408,NA,-9.37,NA,NA,NA
402,NA,-9.59,NA,NA,NA
396,NA,-9.04,NA,NA,NA
391,NA,-8.91,NA,NA,NA
386,NA,-8.62,NA,NA,NA
381,NA,-8.71,NA,NA,NA
376,NA,-8.75,NA,NA,NA
372,NA,-8.39,NA,NA,NA
367,NA,-8.59,NA,NA,NA
358,NA,-8.36,NA,NA,NA
353,NA,-8.77,NA,NA,NA
353,NA,-8.79,NA,NA,NA
349,NA,-9.14,NA,NA,NA
344,NA,-7.87,NA,NA,NA
344,NA,-9.02,NA,NA,NA
339,NA,-7.23,NA,NA,NA
331,NA,-6.9,NA,NA,NA
326,NA,-7.24,NA,NA,NA
322,NA,-7.43,NA,NA,NA
317,NA,-7.48,NA,NA,NA
312,NA,-8.02,NA,NA,NA
304,NA,-8.66,NA,NA,NA
299,NA,-8.85,NA,NA,NA
298,NA,-8.97,NA,NA,NA
295,NA,-9.11,NA,NA,NA
290,NA,-9.29,NA,NA,NA
285,NA,-9.56,NA,NA,NA
276,NA,-11.02,NA,NA,NA
271,NA,-8.29,NA,NA,NA
265,NA,-11.37,NA,NA,NA
248,NA,-8.61,NA,NA,NA
242,NA,-8.65,NA,NA,NA
236,NA,-8.18,NA,NA,NA
234,NA,-7.99,NA,NA,NA
230,NA,-7.4,NA,NA,NA
220,NA,-7.54,NA,NA,NA
214,NA,-7.87,NA,NA,NA
208,NA,-8.09,NA,NA,NA
203,NA,-8.32,NA,NA,NA
194,NA,-8.1,NA,NA,NA
188,NA,-8.42,NA,NA,NA
185,NA,-8.45,NA,NA,NA
182,NA,-8.66,NA,NA,NA
177,NA,-8.88,NA,NA,NA
166,NA,-8.95,NA,NA,NA
160,NA,-9.24,NA,NA,NA
154,NA,-9.72,NA,NA,NA
149,NA,-9.98,NA,NA,NA
144,NA,-9.16,NA,NA,NA
137,NA,-10.14,NA,NA,NA
131,NA,-9.94,NA,NA,NA
125,NA,-9.07,NA,NA,NA
121,NA,-9.21,NA,NA,NA
116,NA,-8.74,NA,NA,NA
109,NA,-8.87,NA,NA,NA
101,NA,-8.73,NA,NA,NA
94,NA,-9.52,NA,NA,NA
89,NA,-10.18,NA,NA,NA
82,NA,-9.53,NA,NA,NA
74,NA,-9.73,NA,NA,NA
66,NA,-8.5,NA,NA,NA
61,NA,-8.88,NA,NA,NA
56,NA,-8.48,NA,NA,NA
48,NA,-8.3,NA,NA,NA
41,NA,-8.31,NA,NA,NA
34,NA,-9.05,NA,NA,NA
27,NA,-9.47,NA,NA,NA
19,NA,-8.51,NA,NA,NA
12,NA,-8.27,NA,NA,NA
6,NA,-8.88,NA,NA,NA
0,NA,-8.65,NA,NA,NA
-8,NA,-8.62,NA,NA,NA
-15,NA,-9.29,NA,NA,NA
-21,NA,-9.02,NA,NA,NA
-27,NA,-8.66,NA,NA,NA
-33,NA,-8.98,NA,NA,NA
-46,NA,-9.85,NA,NA,NA
-59,NA,-8.83,NA,NA,NA
-71,NA,-9.22,NA,NA,NA
-83,NA,-8.27,NA,NA,NA
-99,NA,-8.47,NA,NA,NA
-115,NA,-8.65,NA,NA,NA
-130,NA,-9.06,NA,NA,NA
-142,NA,-8.62,NA,NA,NA
-155,NA,-8.27,NA,NA,NA
-171,NA,-8.19,NA,NA,NA
-187,NA,-8.49,NA,NA,NA
-199,NA,-8.85,NA,NA,NA
-213,NA,-8.8,NA,NA,NA
-224,NA,-8.88,NA,NA,NA
-240,NA,-8.14,NA,NA,NA
-256,NA,-8.27,NA,NA,NA
-271,NA,-8.76,NA,NA,NA
-284,NA,-8.58,NA,NA,NA
-299,NA,-8.87,NA,NA,NA
-315,NA,-8.78,NA,NA,NA
-330,NA,-8.38,NA,NA,NA
-342,NA,-8.14,NA,NA,NA
-355,NA,-8.43,NA,NA,NA
-369,NA,-8,NA,NA,NA
-386,NA,-8.98,NA,NA,NA
-401,NA,-10.03,NA,NA,NA
-414,NA,-10.96,NA,NA,NA
-426,NA,-8.69,NA,NA,NA
-436,NA,-10.06,NA,NA,NA
-453,NA,-8.45,NA,NA,NA
-470,NA,-8.35,NA,NA,NA
-484,NA,-8.6,NA,NA,NA
-497,NA,-8.52,NA,NA,NA
-512,NA,-8.67,NA,NA,NA
-529,NA,-9.19,NA,NA,NA
-544,NA,-9.08,NA,NA,NA
-557,NA,-8.93,NA,NA,NA
-569,NA,-8.16,NA,NA,NA
-582,NA,-8.71,NA,NA,NA
-599,NA,-8.45,NA,NA,NA
-617,NA,-8.09,NA,NA,NA
-631,NA,-7.69,NA,NA,NA
-640,NA,-7.42,NA,NA,NA
-655,NA,-7.22,NA,NA,NA
-672,NA,-7.63,NA,NA,NA
-687,NA,-7.83,NA,NA,NA
-697,NA,-8.04,NA,NA,NA
-711,NA,-8.09,NA,NA,NA
-726,NA,-9.36,NA,NA,NA
-741,NA,-10.37,NA,NA,NA
-756,NA,-10.5,NA,NA,NA
-766,NA,-10,NA,NA,NA
-782,NA,-10.81,NA,NA,NA
-787,NA,-9.59,NA,NA,NA
-793,NA,-9.3,NA,NA,NA
-798,NA,-9.61,NA,NA,NA
-804,NA,-9.42,NA,NA,NA
-809,NA,-9.88,NA,NA,NA
-814,NA,-8.42,NA,NA,NA
-819,NA,-7.72,NA,NA,NA
-825,NA,-8.47,NA,NA,NA
-830,NA,-8.27,NA,NA,NA
-836,NA,-9.54,NA,NA,NA
-842,NA,-8.46,NA,NA,NA
-847,NA,-9.69,NA,NA,NA
-853,NA,-9.88,NA,NA,NA
-858,NA,-9.49,NA,NA,NA
-862,NA,-8.5,NA,NA,NA
-868,NA,-8.95,NA,NA,NA
-874,NA,-9.38,NA,NA,NA
-879,NA,-9.4,NA,NA,NA
-885,NA,-9.07,NA,NA,NA
-889,NA,-8.92,NA,NA,NA
-894,NA,-7.76,NA,NA,NA
-899,NA,-8.17,NA,NA,NA
-904,NA,-8.53,NA,NA,NA
-910,NA,-7.98,NA,NA,NA
-916,NA,-7.03,NA,NA,NA
-920,NA,-7.88,NA,NA,NA
-925,NA,-6.22,NA,NA,NA
-930,NA,-7.11,NA,NA,NA
-935,NA,-7.74,NA,NA,NA
-939,NA,-7.47,NA,NA,NA
-942,NA,-7.63,NA,NA,NA
-948,NA,-7.69,NA,NA,NA
-953,NA,-7.4,NA,NA,NA
-958,NA,-7.37,NA,NA,NA
-963,NA,-7.34,NA,NA,NA
-969,NA,-7.43,NA,NA,NA
-974,NA,-7.19,NA,NA,NA
-979,NA,-7.52,NA,NA,NA
-985,NA,-7.63,NA,NA,NA
-990,NA,-7.86,NA,NA,NA
-996,NA,-8.18,NA,NA,NA
-1001,NA,-8.22,NA,NA,NA
-1006,NA,-8.69,NA,NA,NA
-1011,NA,-8.62,NA,NA,NA
-1016,NA,-7.93,NA,NA,NA
-1023,NA,-8.34,NA,NA,NA
-1028,NA,-8.39,NA,NA,NA
-1033,NA,-8.31,NA,NA,NA
-1038,NA,-8.38,NA,NA,NA
-1043,NA,-8.31,NA,NA,NA
-1049,NA,-8.34,NA,NA,NA
-1054,NA,-10.32,NA,NA,NA
-1060,NA,-12.2,NA,NA,NA
-1066,NA,-10.8,NA,NA,NA
-1071,NA,-10.77,NA,NA,NA
-1076,NA,-8.8,NA,NA,NA
-1081,NA,-9.6,NA,NA,NA
-1086,NA,-9.47,NA,NA,NA
-1092,NA,-9.24,NA,NA,NA
-1097,NA,-9.22,NA,NA,NA
-1103,NA,-9.92,NA,NA,NA
-1108,NA,-8.74,NA,NA,NA
-1113,NA,-9,NA,NA,NA
-1118,NA,-9.2,NA,NA,NA
-1124,NA,-8.38,NA,NA,NA
-1130,NA,-9.11,NA,NA,NA
-1136,NA,-9.05,NA,NA,NA
-1141,NA,-8.69,NA,NA,NA
-1146,NA,-9.48,NA,NA,NA
-1151,NA,-10.38,NA,NA,NA
-1156,NA,-8.96,NA,NA,NA
-1183,NA,-9.02,NA,NA,NA
-1210,NA,-9.37,NA,NA,NA
-1236,NA,-8.84,NA,NA,NA
-1263,NA,-8.81,NA,NA,NA
-1290,NA,-9.04,NA,NA,NA
-1317,NA,-9.21,NA,NA,NA
-1343,NA,-9.41,NA,NA,NA
-1370,NA,-9.29,NA,NA,NA
-1397,NA,-9.43,NA,NA,NA
-1424,NA,-9.66,NA,NA,NA
-1450,NA,-9.83,NA,NA,NA
-1477,NA,-10.06,NA,NA,NA
-1497,NA,-10.06,NA,NA,NA
-1516,NA,-9.29,NA,NA,NA
-1536,NA,-10.51,NA,NA,NA
-1556,NA,-8.35,NA,NA,NA
-1575,NA,-9.81,NA,NA,NA
-1595,NA,-8.62,NA,NA,NA
-1614,NA,-8.85,NA,NA,NA
-1634,NA,-9.34,NA,NA,NA
-1654,NA,-9.32,NA,NA,NA
-1673,NA,-8.87,NA,NA,NA
-1693,NA,-9.21,NA,NA,NA
-1713,NA,-7.82,NA,NA,NA
-1732,NA,-8.95,NA,NA,NA
-1752,NA,-8.9,NA,NA,NA
-1772,NA,-8.53,NA,NA,NA
-1791,NA,-8.95,NA,NA,NA
-1811,NA,-9.23,NA,NA,NA
-1830,NA,-8.83,NA,NA,NA
-1850,NA,-8.9,NA,NA,NA
-1857,NA,-9.42,NA,NA,NA
-1865,NA,-10.23,NA,NA,NA
-1872,NA,-10.28,NA,NA,NA
-1879,NA,-11.51,NA,NA,NA
-1886,NA,-9.08,NA,NA,NA
-1894,NA,-9.28,NA,NA,NA
-1901,NA,-10.37,NA,NA,NA
-1908,NA,-10.93,NA,NA,NA
-1915,NA,-10.67,NA,NA,NA
-1923,NA,-10.09,NA,NA,NA
