year (AD),depth (cm),d18O (permil),d18O (permil)
1824,NA,-29.38,-24.99
1823,NA,-32.29,-28.78
1822,NA,-33.97,-24.49
1821,NA,-30.63,-24.79
1820,NA,-30.41,-26.6
1819,NA,-37.74,-27.1
1818,NA,-35.98,-25.41
1817,NA,-34.83,-28.27
1816,NA,-31.59,-26.91
1815,NA,-33.15,-26.61
1814,NA,-34.77,-26.86
1813,NA,-32.25,-26.17
1812,NA,-31.42,-25.54
1811,NA,-31.36,-27.6
1810,NA,-33.43,-28.09
1809,NA,-30.59,-26.32
1808,NA,-29.58,-27.18
1807,NA,-32.5,-24.76
1806,NA,-30.71,-28.31
1805,NA,-34.22,-26.73
1804,NA,-30.83,-26.71
1803,NA,-33.28,-27.88
1802,NA,-32.52,-28.1
1801,NA,-30.31,-25.81
1800,NA,-31.08,-29.76
1799,NA,-31.74,-28.64
1798,NA,-30.11,-29.02
1797,NA,-31.49,-25.9
1796,NA,-31.71,-27.09
1795,NA,-28.14,-25.25
1794,NA,-37.2,-25.15
1793,NA,-33.36,-26.63
1792,NA,-32.48,-24.34
1791,NA,-34.21,-25.27
1790,NA,-35.64,-28.46
1789,NA,-30.66,-27.35
1788,NA,-31.71,-30.34
1787,NA,-30.87,-26.9
1786,NA,-31.94,-26.13
1785,NA,-31.19,-27.78
1784,NA,-31.04,-28.43
1783,NA,-31.66,-28.31
1782,NA,-34.3,-28.27
1781,NA,-31.8,-25.08
1780,NA,-32.49,-29.23
1779,NA,-32.31,-29.05
1778,NA,-31.17,-26.55
