year (AD) [1-1],temperature (degC) [1-1],year (AD) [1-2],depth (cm) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],temperature (degC) [1-2],Mg_Ca (mmol/mol) [1-2]
NA,NA,985.8,79,0.2586666667,-2.603,28.94,5.14
NA,NA,942.8,83,-0.20025,-2.894,28.134,4.78
NA,NA,910.6,86,0.3322916667,-2.635,29.447,5.38
NA,NA,899.8,87,-0.008333333333,-2.82,28.7,5.03
NA,NA,856.9,91,0.1435,-2.659,28.656,5.01
NA,NA,813.9,95,0.1898333333,-2.721,29.176,5.25
NA,NA,770.9,99,-0.1750833333,-2.973,28.634,5
NA,NA,727.9,103,0.08375,-2.76,28.854,5.1
NA,NA,684.9,107,0.2140416667,-2.762,29.489,5.4
NA,NA,641.9,111,-0.0925,-2.815,28.272,4.84
NA,NA,598.9,115,0.103125,-2.69,28.611,4.99
NA,NA,555.9,119,-0.035875,-2.884,28.875,5.11
NA,NA,512.9,123,0.1395833333,-2.635,28.522,4.95
NA,NA,469.9,127,-0.2788333333,-2.958,28.064,4.75
NA,NA,426.9,131,-0.1344166667,-2.789,27.946,4.7
NA,NA,383.9,135,0.1485,-2.654,28.656,5.01
NA,NA,373.1,136,0.08970833333,-2.763,28.897,5.12
NA,NA,340.9,139,0.07020833333,-2.845,29.197,5.26
NA,NA,297.9,143,0.346125,-2.502,28.875,5.11
NA,NA,254.9,147,0.08945833333,-2.817,29.155,5.24
NA,NA,211.9,151,-0.02279166667,-2.788,28.477,4.93
NA,NA,168.9,155,0.2276666667,-2.584,28.7,5.03
NA,NA,125.9,159,-0.007416666667,-2.782,28.522,4.95
NA,NA,104.4,161,NA,NA,29.005,5.17
NA,NA,82.9,163,0.1558333333,-2.755,29.176,5.25
NA,NA,39.9,167,0.2937916667,-2.586,29.027,5.18
NA,NA,-3.1,171,0.3528333333,-2.518,28.984,5.16
NA,NA,-46.1,175,0.3984583333,-2.603,29.611,5.46
NA,NA,-89.1,179,0.17825,-2.688,28.962,5.15
NA,NA,-132.1,183,0.3995416667,-2.619,29.693,5.5
NA,NA,-164.3,186,-0.1398333333,-2.979,28.832,5.09
NA,NA,-175.1,187,0.2223333333,-2.706,29.26,5.29
NA,NA,-218,191,0.1755416667,-2.843,29.693,5.5
NA,NA,-261,195,0.22875,-2.615,28.854,5.1
NA,NA,-304,199,0.09620833333,-2.884,29.509,5.41
NA,NA,-347,203,NA,-2.704,NA,NA
NA,NA,-390,207,0.337125,-2.656,29.571,5.44
NA,NA,-433,211,0.1096666667,-2.632,28.364,4.88
NA,NA,-476,215,0.1615,-2.641,28.656,5.01
NA,NA,-519,219,0.4715,-2.331,28.656,5.01
NA,NA,-562,223,0.3669583333,-2.557,29.239,5.28
NA,NA,-605,227,0.2039583333,-2.72,29.239,5.28
NA,NA,-648,231,-0.1178333333,-2.792,28.04,4.74
NA,NA,-691,235,0.317125,-2.676,29.571,5.44
NA,NA,-701.8,236,NA,-3.122,NA,NA
NA,NA,-734,239,0.2858333333,-2.66,29.344,5.33
NA,NA,-777,243,0.3361666667,-2.548,29.048,5.19
NA,NA,-820,247,0.181125,-2.782,29.427,5.37
NA,NA,-863,251,0.01879166667,-2.751,28.499,4.94
NA,NA,-906,255,0.1634583333,-2.838,29.611,5.46
NA,NA,-949,259,0.293875,-2.608,29.133,5.23
NA,NA,-992,263,-0.06958333333,-2.83,28.454,4.92
NA,NA,-1035,267,0.2045833333,-2.57,28.522,4.95
NA,NA,-1078,271,0.3606666667,-2.716,29.972,5.64
NA,NA,-1121,275,0.5354583333,-2.406,29.323,5.32
NA,NA,-1164,279,0.37725,-2.489,28.962,5.15
NA,NA,-1207,283,0.2871666667,-2.492,28.544,4.96
NA,NA,-1239.2,286,NA,NA,28.7,5.03
NA,NA,-1250,287,0.28325,-2.533,28.722,5.04
NA,NA,-1272.3,291,0.28425,-2.462,28.386,4.89
NA,NA,-1336.8,295,0.3636666667,-2.448,28.7,5.03
NA,NA,-1401.4,299,0.41675,-2.427,28.854,5.1
NA,NA,-1465.9,303,0.308125,-2.485,28.611,4.99
NA,NA,-1530.4,307,0.2480833333,-2.484,28.318,4.86
NA,NA,-1595,311,0.2164166667,-2.609,28.766,5.06
NA,NA,-1659.5,315,-0.06420833333,-2.684,27.779,4.63
NA,NA,-1724,319,0.05283333333,-2.703,28.432,4.91
NA,NA,-1788.6,323,0.3655416667,-2.523,29.069,5.2
NA,NA,-1853.1,327,0.4144166667,-2.411,28.766,5.06
NA,NA,-1917.7,331,0.1947916667,-2.45,27.899,4.68
NA,NA,-1982.2,335,0.2208333333,-2.6,28.744,5.05
NA,NA,-1998.3,336,0.3012083333,-2.734,29.773,5.54
NA,NA,-2046.7,339,0.051125,-2.797,28.875,5.11
NA,NA,-2075.3,343,0.2587916667,-2.511,28.499,4.94
NA,NA,-2095,347,0.1896666667,-2.622,28.7,5.03
NA,NA,-2125,351,0.147125,-2.646,28.611,4.99
NA,NA,-2150,355,0.3738333333,-2.447,28.744,5.05
NA,NA,-2169.4,359,0.2448333333,-2.576,28.744,5.05
NA,NA,-2233.9,363,0.1333333333,-2.795,29.26,5.29
NA,NA,-2298.5,367,0.1910833333,-2.541,28.318,4.86
NA,NA,-2363,371,0.5023333333,-2.426,29.26,5.29
NA,NA,-2427.5,375,0.2338333333,-2.637,28.984,5.16
NA,NA,-2492.1,379,0.3422083333,-2.573,29.197,5.26
NA,NA,-2556.6,383,0.1926666667,-2.619,28.7,5.03
NA,NA,-2605,386,0.3384583333,-2.663,29.611,5.46
NA,NA,-2621.2,387,0.237875,-2.664,29.133,5.23
NA,NA,-2653.4,389,NA,NA,28.656,5.01
NA,NA,-2685.7,391,0.2702083333,-2.765,29.773,5.54
NA,NA,-2750.2,395,0.3572916667,-2.76,30.167,5.74
NA,NA,-2814.8,399,0.3267916667,-2.553,29.027,5.18
NA,NA,-2879.3,403,0.4223333333,-2.506,29.26,5.29
NA,NA,-2943.8,407,0.2723333333,-2.656,29.26,5.29
NA,NA,-3008.4,411,0.2577083333,-2.675,29.281,5.3
NA,NA,-3072.9,415,NA,-2.672,NA,NA
NA,NA,-3137.4,419,0.2941666667,-2.59,29.048,5.19
NA,NA,-3202,423,0.4906666667,-2.371,28.94,5.14
NA,NA,-3266.5,427,NA,-2.621,NA,NA
NA,NA,-3331.1,431,NA,NA,29.239,5.28
NA,NA,-3395.6,435,0.267,-2.743,29.652,5.48
NA,NA,-3411.7,436,0.378,-2.632,29.652,5.48
NA,NA,-3460.1,439,0.3106666667,-2.661,29.468,5.39
NA,NA,-3524.7,443,0.2498333333,-2.621,28.984,5.16
NA,NA,-3589.2,447,0.4078333333,-2.598,29.632,5.47
NA,NA,-3653.7,451,0.16575,-2.793,29.406,5.36
NA,NA,-3718.3,455,0.6534166667,-2.472,30.206,5.76
NA,NA,-3782.8,459,0.3428333333,-2.663,29.632,5.47
NA,NA,-3815.1,461,NA,NA,29.571,5.44
NA,NA,-3847.3,463,0.2936666667,-2.678,29.468,5.39
NA,NA,-3911.9,467,NA,NA,30.07,5.69
NA,NA,-3976.4,471,0.3272083333,-2.548,29.005,5.17
NA,NA,-4041,475,0.4612083333,-2.489,29.365,5.34
NA,NA,-4105.5,479,0.29175,-2.667,29.406,5.36
NA,NA,-4170,483,0.18125,-2.565,28.386,4.89
NA,NA,-4234.6,487,0.2775833333,-2.557,28.81,5.08
NA,NA,-4299.1,491,0.1415,-2.756,29.112,5.22
NA,NA,-4363.6,495,0.4090833333,-2.528,29.302,5.31
NA,NA,-4428.2,499,0.160125,-2.633,28.611,4.99
NA,NA,-4492.7,503,0.34375,-2.645,29.55,5.43
NA,NA,-4557.2,507,0.3945833333,-2.525,29.218,5.27
NA,NA,-4621.8,511,NA,NA,29.239,5.28
NA,NA,-4621.8,511,NA,-2.48,NA,NA
NA,NA,-4686.3,515,0.65829166670000006,-2.459,30.167,5.74
NA,NA,-4750.8,519,0.5107083333,-2.422,29.281,5.3
NA,NA,-4815.4,523,0.6038333333,-2.402,29.632,5.47
NA,NA,-4879.9,527,0.4462083333,-2.504,29.365,5.34
NA,NA,-4944.5,531,0.5972083333,-2.278,29.005,5.17
NA,NA,-5009,535,0.398875,-2.503,29.133,5.23
NA,NA,-5025.1,536,0.4620833333,-2.635,30.07,5.69
NA,NA,-5073.5,539,0.557375,-2.507,29.913,5.61
NA,NA,-5138.1,543,0.2926666667,-2.519,28.7,5.03
NA,NA,-5202.6,547,0.3549583333,-2.569,29.239,5.28
NA,NA,-5267.1,551,0.1937916667,-2.686,29.027,5.18
NA,NA,-5331.7,555,0.1981666667,-2.581,28.544,4.96
NA,NA,-5396.2,559,0.5265,-2.371,29.112,5.22
NA,NA,-5460.7,563,0.4140416667,-2.562,29.489,5.4
NA,NA,-5525.3,567,0.4786666667,-2.493,29.468,5.39
NA,NA,-5589.8,571,0.457125,-2.391,28.875,5.11
NA,NA,-5654.4,575,0.4158333333,-2.455,28.984,5.16
NA,NA,-5718.9,579,0.509125,-2.199,28.203,4.81
NA,NA,-5783.4,583,0.5342083333,-2.341,29.005,5.17
NA,NA,-5831.8,586,0.5086666667,-2.568,29.972,5.64
NA,NA,-5848,587,0.2610833333,-2.546,28.678,5.02
NA,NA,-5912.5,591,0.133125,-2.715,28.875,5.11
NA,NA,-5977,595,0.4581666667,-2.651,30.128,5.72
NA,NA,-6041.6,599,0.1355,-2.762,29.112,5.22
NA,NA,-6106.1,603,0.2292083333,-2.686,29.197,5.26
NA,NA,-6170.6,607,0.349375,-2.69,29.793,5.55
NA,NA,-6235.2,611,0.2267083333,-2.706,29.281,5.3
NA,NA,-6235.2,611,0.3567083333,-2.666,29.713,5.51
NA,NA,-6299.7,615,0.5638333333,-2.307,28.984,5.16
NA,NA,-6364.2,619,0.448875,-2.578,29.733,5.52
NA,NA,-6428.8,623,0.3770416667,-2.654,29.753,5.53
NA,NA,-6493.3,627,0.8645416667,-2.179,29.813,5.56
NA,NA,-6693.3,631,NA,NA,29.489,5.4
NA,NA,-6757.9,635,0.3597083333,-2.573,29.281,5.3
NA,NA,-6822.4,639,0.6700833333,-2.267,29.302,5.31
NA,NA,-6951.5,643,0.6045,-2.198,28.656,5.01
NA,NA,-6983.7,647,0.5527083333,-2.47,29.713,5.51
NA,NA,-7080.5,651,0.3437083333,-2.589,29.281,5.3
NA,NA,-7112.8,655,0.6795833333,-2.24,29.218,5.27
NA,NA,-7145.1,659,0.553125,-2.34,29.091,5.21
NA,NA,-7209.6,661,0.4874583333,-2.514,29.611,5.46
NA,NA,-7241.9,663,0.579125,-2.314,29.091,5.21
NA,NA,-7274.1,667,0.647375,-2.417,29.913,5.61
NA,NA,-7338.7,671,0.638125,-2.21,28.875,5.11
NA,NA,-7403.2,675,NA,NA,30.011,5.66
NA,NA,-7467.7,679,0.6255833333,-2.294,29.218,5.27
NA,NA,-7532.3,683,0.5395833333,-2.295,28.81,5.08
NA,NA,-7645.2,687,0.1301666667,-2.754,29.048,5.19
NA,NA,-7661.4,691,0.275125,-2.518,28.611,4.99
NA,NA,-7725.9,695,0.4202916667,-2.577,29.591,5.45
NA,NA,-7790.4,699,0.3830833333,-2.554,29.302,5.31
NA,NA,-7855,703,0.5377083333,-2.315,28.897,5.12
NA,NA,-7919.5,707,NA,-2.627,NA,5.05
NA,NA,-8142,711,0.5252083333,-2.24,28.477,4.93
NA,NA,-8142,711,NA,-2.611,NA,4.99
NA,NA,-8323,715,0.6882083333,-2.262,29.365,5.34
NA,NA,-8504,719,0.3668333333,-2.454,28.744,5.05
NA,NA,-8685,723,0.6118333333,-2.299,29.176,5.25
NA,NA,-8866,727,0.5032083333,-2.412,29.197,5.26
NA,NA,-9047,731,0.6032916667,-2.254,28.919,5.13
NA,NA,-9229,735,0.5750416667,-2.176,28.409,4.9
NA,NA,-9410,739,0.5832916667,-2.144,28.295,4.85
NA,NA,-9591,743,0.7245416667,-2.064,28.589,4.98
NA,NA,-9772,747,0.7234166667,-2.102,28.766,5.06
NA,NA,-9953,751,NA,NA,27.899,4.68
NA,NA,-10134,755,0.91375,-1.93,28.854,5.1
NA,NA,-10315,759,0.6890833333,-2.118,28.678,5.02
NA,NA,-10406,761,0.973125,-1.82,28.611,4.99
NA,NA,-10406,761,NA,-1.82,NA,NA
NA,NA,-10496,763,0.8497916667,-1.92,28.499,4.94
NA,NA,-10677,767,0.6510833333,-2.156,28.678,5.02
NA,NA,-10859,771,NA,NA,27.803,4.64
NA,NA,-11040,775,0.748375,-1.921,28.017,4.73
NA,NA,-11221,779,0.660375,-2.009,28.017,4.73
NA,NA,-11402,783,1.072583333,-1.762,28.81,5.08
NA,NA,-11583,787,0.6907083333,-2.027,28.249,4.83
NA,NA,-11764,791,0.77425,-2.042,28.722,5.04
NA,NA,-11945,795,0.7562916667,-2.101,28.919,5.13
NA,NA,-12126,799,0.680125,-2.028,28.203,4.81
NA,NA,-12747,803,0.8665833333,-1.908,28.522,4.95
NA,NA,-12856,807,1.052375,-1.612,27.993,4.72
NA,NA,-12964,811,1.094666667,-1.402,27.188,4.39
NA,NA,-12964,811,NA,NA,27.634,4.57
NA,NA,-13073,815,1.018208333,-1.387,26.749,4.22
NA,NA,-13181,819,1.166583333,-1.418,27.61,4.56
NA,NA,-13289,823,1.204541667,-1.339,27.413,4.48
NA,NA,-13398,827,1.38325,-1.363,28.386,4.89
NA,NA,-13506,831,0.9554583333,-1.536,27.163,4.38
NA,NA,-13614,835,1.255833333,-1.225,27.112,4.36
NA,NA,-13723,839,0.8407916667,-1.509,26.483,4.12
NA,NA,-13831,843,1.052666667,-1.369,26.828,4.25
NA,NA,-13940,847,1.158125,-1.225,26.643,4.18
NA,NA,-14048,851,0.9672083333,-1.438,26.749,4.22
NA,NA,-14156,855,0.9554166667,-1.4,26.51,4.13
NA,NA,-14265,859,0.8563333333,-1.677,27.364,4.46
NA,NA,-14319,861,1.155,-1.155,26.292,4.05
NA,NA,-14373,863,1.208208333,-1.197,26.749,4.22
NA,NA,-14481,867,0.906375,-1.398,26.265,4.04
NA,NA,-14590,871,0.8084166667,-1.547,26.51,4.13
NA,NA,-14698,875,1.069083333,-1.183,26.014,3.95
NA,NA,-14806,879,1.671333333,-0.772,26.932,4.29
NA,NA,-14915,883,1.153833333,-1.207,26.536,4.14
NA,NA,-15023,887,1.169958333,-1.094,26.071,3.97
NA,NA,-15132,891,0.7264583333,-1.43,25.555,3.79
NA,NA,-15240,895,0.9674166667,-1.308,26.126,3.99
NA,NA,-15348,899,0.8585416667,-1.37,25.901,3.91
NA,NA,-15457,903,1.097083333,-1.19,26.182,4.01
NA,NA,-15565,907,1.358166667,-0.986,26.456,4.11
NA,NA,-15673,911,1.195125,-1.063,26.043,3.96
NA,NA,-15673,911,1.250083333,-1.037,26.182,4.01
NA,NA,-15782,915,NA,NA,26.51,4.13
NA,NA,-15890,919,1.220458333,-1.101,26.347,4.07
NA,NA,-15999,923,1.122833333,-1.193,26.32,4.06
NA,NA,-16107,927,0.940125,-1.443,26.643,4.18
NA,NA,-16215,931,1.153916667,-1.139,26.21,4.02
NA,NA,-16324,935,1.258708333,-1.074,26.401,4.09
NA,NA,-16432,939,1.221166667,-1.123,26.456,4.11
NA,NA,-16540,943,1.036541667,-1.262,26.237,4.03
NA,NA,-16649,947,0.913875,-1.273,25.701,3.84
NA,NA,-16757,951,1.161833333,-1.154,26.32,4.06
NA,NA,-16865,955,1.053833333,-1.127,25.672,3.83
NA,NA,-16974,959,1.095708333,-1.237,26.401,4.09
NA,NA,-17028,961,1.325791667,-1.074,26.723,4.21
NA,NA,-17082,963,0.84170833329999994,-1.381,25.873,3.9
NA,NA,-17191,967,0.8285833333,-1.291,25.378,3.73
NA,NA,-17299,971,0.9217083333,-1.301,25.873,3.9
NA,NA,-17407,975,NA,NA,25.555,3.79
NA,NA,-17516,979,1.339708333,-1.038,26.617,4.17
NA,NA,-17624,983,1.054125,-1.204,26.043,3.96
NA,NA,-17732,987,NA,NA,26.483,4.12
NA,NA,-17841,991,NA,NA,26.265,4.04
NA,NA,-17949,995,NA,NA,26.984,4.31
NA,NA,-18383,1011,1.040333333,-1.403,26.932,4.29
