year (AD),depth (cm),d18O (permil),d18O (permil),MgCa (mmol/mol),temperature (degC)
-15236.9,740,1.197,-1.14,3.72,26.421
-15483.3,742,1.292,-1.07,3.76,26.54
-15606.6,743,1.036,-1.1,3.41,25.455
-15729.8,744,1.186,-1.12,3.67,26.271
-15976.3,746,1.136,-1.06,3.5,25.744
-16222.8,748,1.206,-0.93,3.41,25.455
-16469.3,750,1.197,-1.07,3.61,26.088
-16715.8,752,1.399,-0.95,3.74,26.481
-16839,753,1.138,-0.95,3.34,25.224
-16944.4,754,1.125,-0.99,3.38,25.357
-17155.2,756,1.416,-0.8,3.53,25.839
-17366,758,1.209,-1.02,3.55,25.902
-17576.8,760,1.511,-0.82,3.71,26.392
-17787.5,762,1.002,-1.22,3.54,25.87
-17892.9,763,1.11,-1.17,3.63,26.149
-17998.3,764,1.036,-1.1,3.41,25.455
-18209.1,766,1.166,-1.05,3.53,25.839
-18419.9,768,0.964,-1.11,3.32,25.158
-18630.7,770,1.459,-0.84,3.66,26.241
-18841.5,772,1.002,-1.22,3.54,25.87
-18946.9,773,0.812,-1.31,3.39,25.389
-19052.3,774,0.608,-1.48,3.34,25.224
-19263.1,776,1.066,-0.93,3.21,24.783
-19684.6,780,1.036,-1.1,3.41,25.455
-19895.4,782,1.053,-1.24,3.65,26.21
-20000.8,783,1.057,-1.01,3.315,25.127
-20106.2,784,0.748,-1.34,3.34,25.224
-20317,786,1.124,-1.2,3.7,26.362
-20533,788,1.226,-0.93,3.44,25.552
-20749,790,0.835,-1.4,3.56,25.933
-20965,792,1.232,-1.01,3.57,25.964
-21073,793,1.056,-1.12,3.47,25.649
-21181,794,1.252,-0.99,3.57,25.964
-21397,796,1.162,-1.04,3.51,25.776
-21613,798,1.013,-1.04,3.29,25.057
-21829,800,0.973,-1.19,3.45,25.584
-22045,802,1.082,-1.06,3.42,25.487
-22153,803,0.885,-1.06,3.14,24.538
-22261,804,1.091,-1.17,3.6,26.057
-22477,806,1.102,-1.1,3.51,25.776
-22693,808,0.889,-1.24,3.4,25.422
-22909,810,0.909,-1.22,3.4,25.422
-23125,812,1.184,-1.09,3.62,26.119
-23233,813,1.355,-0.88,3.56,25.933
-23341,814,0.847,-1.42,3.61,26.088
-23557,816,0.992,-1.25,3.57,25.964
-23773,818,0.87,-1.41,3.63,26.149
-24060.1,822,1.129,-1.22,3.74,26.481
-24131.8,823,0.912,-1.23,3.42,25.487
-24203.6,824,1.439,-0.91,3.74,26.481
-24347.1,826,0.838,-1.25,3.34,25.224
-24490.6,828,0.572,-1.55,3.39,25.389
-24634.2,830,1.522,-0.9,3.86,26.832
-24777.7,832,1.424,-0.85,3.62,26.119
-24849.4,833,1.028,-1.08,3.37,25.324
-24921.2,834,0.771,-1.26,3.26,24.955
-25064.7,836,0.932,-1.21,3.42,25.487
-25208.3,838,0.764,-1.21,3.18,24.679
-25351.8,840,0.975,-1.14,3.38,25.357
-25495.3,842,1.136,-1.04,3.47,25.649
-25567.1,843,0.641,-1.44,3.33,25.191
-25638.8,844,0.978,-1.13,3.37,25.324
-25782.4,846,0.787,-1.23,3.24,24.886
-25925.9,848,1.039,-1.15,3.49,25.712
-26069.4,850,0.931,-1.15,3.33,25.191
-26212.9,852,1.052,-1.19,3.57,25.964
-26284.7,853,1.255,-0.98,3.56,25.933
-26356.5,854,1.171,-1.09,3.6,26.057
-26500,856,0.829,-1.32,3.43,25.52
-26643.5,858,1.168,-1.15,3.69,26.332
-26787.1,860,0.813,-1.37,3.48,25.68
-26930.6,862,0.551,-1.43,3.19,24.714
-27002.3,863,0.809,-1.38,3.49,25.712
-27074.1,864,0.723,-1.28,3.22,24.818
-27217.6,866,0.671,-1.36,3.26,24.955
-27361.2,868,0.956,-1.2,3.44,25.552
-27504.7,870,0.743,-1.44,3.48,25.68
-27648.2,872,0.92,-1.36,3.63,26.149
-27720,873,0.931,-1.33,3.6,26.057
-27791.7,874,0.842,-1.36,3.51,25.776
-27935.3,876,0.709,-1.5,3.52,25.807
-28078.8,878,0.889,-1.34,3.55,25.902
-28222.3,880,0.682,-1.54,3.54,25.87
-28365.8,882,1.203,-0.98,3.48,25.68
-28437.6,883,0.905,-1.33,3.56,25.933
-28509.4,884,0.731,-1.37,3.36,25.291
-28796.4,888,0.782,-1.42,3.51,25.776
-28939.9,890,0.718,-1.37,3.34,25.224
-29083.5,892,0.879,-1.25,3.4,25.422
-29155.2,893,0.646,-1.4,3.28,25.023
-29227,894,0.946,-1.21,3.44,25.552
-29358.1,896,0.833,-1.35,3.48,25.68
-29489.1,898,1.14,-1.14,3.63,26.149
-29620.2,900,1.026,-1.13,3.44,25.552
-29751.2,902,0.892,-1.23,3.39,25.389
-29816.7,903,1.322,-0.9,3.54,25.87
-29882.3,904,1.019,-1.19,3.52,25.807
-30013.3,906,0.951,-1.13,3.33,25.191
-30144.4,908,0.821,-1.21,3.26,24.955
-30275.4,910,0.924,-1.35,3.62,26.119
-30406.5,912,1.102,-1.1,3.51,25.776
-30472,913,0.882,-1.32,3.51,25.776
-30537.5,914,0.968,-1.12,3.34,25.224
-30668.6,916,1.008,-1.1,3.37,25.324
-30799.6,918,0.698,-1.39,3.34,25.224
-30930.7,920,0.589,-1.6,3.49,25.712
-31061.7,922,0.781,-1.32,3.36,25.291
-31127.2,923,0.628,-1.46,3.34,25.224
-31192.8,924,0.703,-1.46,3.45,25.584
-31323.8,926,0.567,-1.34,3.09,24.36
-31454.9,928,0.828,-1.26,3.34,25.224
-31585.9,930,0.905,-1.35,3.59,26.026
-31717,932,0.912,-1.33,3.57,25.964
-31782.5,933,0.624,-1.47,3.35,25.257
-31848,934,0.916,-1.26,3.47,25.649
-31979.1,936,0.524,-1.5,3.25,24.921
-32110.1,938,0.883,-1.3,3.48,25.68
-32241.2,940,0.461,-1.57,3.26,24.955
-32372.2,942,0.617,-1.32,3.13,24.503
-32437.7,943,0.739,-1.41,3.43,25.52
-32503.3,944,0.696,-1.35,3.28,25.023
-32634.3,946,0.819,-1.33,3.43,25.52
-32765.4,948,0.67,-1.61,3.63,26.149
-32896.4,950,0.503,-1.66,3.45,25.584
-33027.5,952,0.832,-1.37,3.51,25.776
-33093,953,0.559,-1.63,3.49,25.712
-33158.5,954,1.112,-1.28,3.81,26.687
-33289.6,956,0.785,-1.45,3.56,25.933
