year (AD),d18O (permil),Sr_Ca (mmol/mol),d13C (permil)
1978.62,-5.3294,8.7122,-1.0683
1978.54,-5.2851,8.7316,-1.0871
1978.46,-5.242,8.7452,-1.1258
1978.37,-5.2416,8.7548,-1.0667
1978.29,-5.237,8.7666,-0.8131
1978.21,-5.1778,8.7735,-0.60311
1978.12,-5.1064,8.7815,-0.55165
1978.04,-5.0444,8.7821,-0.66541
1977.96,-4.9701,8.7979,-0.72339
1977.87,-4.93,8.8151,-0.85341
1977.79,-4.9527,8.8175,-1.0922
1977.71,-5.0177,8.809,-1.1959
1977.62,-5.055,8.7985,-1.2653
1977.54,-5.0607,8.7965,-1.3733
1977.46,-5.0851,8.7874,-1.3797
1977.37,-5.1618,8.7685,-1.2498
1977.29,-5.3363,8.7489,-1.0082
1977.21,-5.4544,8.7424,-0.83169
1977.12,-5.4699,8.7468,-0.84396
1977.04,-5.3982,8.7562,-0.80459
1976.96,-5.2338,8.7626,-0.69907
1976.87,-5.1266,8.7648,-0.74368
1976.79,-5.0071,8.8052,-0.69046
1976.71,-4.8787,8.8625,-0.69873
1976.62,-4.8621,8.8972,-0.97502
1976.54,-4.8501,8.9038,-1.1005
1976.46,-4.9303,8.8653,-0.97331
1976.37,-4.9927,8.842,-0.8471
1976.29,-5.0199,8.8338,-0.7883
1976.21,-5.046,8.8246,-0.767
1976.12,-5.0506,8.8367,-0.86122
1976.04,-5.0547,8.8588,-0.90954
1975.96,-5.0088,8.8537,-0.76282
1975.87,-4.9679,8.8353,-0.6372
1975.79,-4.9531,8.8297,-0.68706
1975.71,-4.9402,8.8194,-0.71045
1975.62,-4.9521,8.8502,-0.52424
1975.54,-4.9759,8.876,-0.59225
1975.46,-4.9638,8.8486,-0.84754
1975.37,-4.9619,8.8254,-1.1169
1975.29,-5.0317,8.7997,-1.282
1975.21,-5.1301,8.7669,-1.2191
1975.12,-5.1631,8.7602,-1.1712
1975.04,-5.2099,8.754,-1.0424
1974.96,-5.1634,8.7466,-1.0864
1974.87,-5.1173,8.7515,-1.2702
1974.79,-5.0152,8.7668,-0.98829
1974.71,-4.9439,8.7726,-0.80425
1974.62,-4.9678,8.7779,-1.0185
1974.54,-4.9651,8.7861,-1.3064
1974.46,-4.9532,8.7842,-1.3675
1974.37,-4.9614,8.8001,-1.3476
1974.29,-4.9537,8.8249,-1.2329
1974.21,-4.9253,8.8375,-1.1612
1974.12,-5.0299,8.8071,-1.3158
1974.04,-5.1839,8.7527,-1.3382
1973.96,-5.2007,8.7188,-1.0912
1973.87,-5.229,8.7229,-1.1261
1973.79,-5.2108,8.7456,-1.2692
1973.71,-5.2336,8.7445,-1.424
1973.62,-5.2127,8.7356,-1.2547
1973.54,-5.1656,8.7597,-1.2643
1973.46,-5.1583,8.7724,-1.4565
1973.37,-5.1621,8.7668,-1.6699
1973.29,-5.2216,8.7595,-1.7734
1973.21,-5.2377,8.7581,-1.6873
1973.12,-5.2988,8.7594,-1.5128
1973.04,-5.4465,8.7398,-1.3643
1972.96,-5.3585,8.7254,-1.3515
1972.87,-5.028,8.7503,-1.2635
1972.79,-4.8298,8.7943,-1.1531
1972.71,-4.691,8.8251,-1.0174
1972.62,-4.73,8.8448,-1.0129
1972.54,-4.6943,8.8634,-1.2103
1972.46,-4.722,8.863,-1.3985
1972.37,-4.8618,8.8425,-1.4268
1972.29,-4.9859,8.8081,-1.4754
1972.21,-5.1064,8.7807,-1.4029
1972.12,-5.154,8.7787,-1.3852
1972.04,-5.1861,8.7652,-1.6366
1971.96,-5.2562,8.7693,-1.9574
1971.87,-5.2508,8.769,-2.0148
1971.79,-5.2139,8.7755,-2.1121
1971.71,-5.2416,8.7664,-2.2211
1971.62,-5.2468,8.7704,-2.1974
1971.54,-5.233,8.7722,-2.1505
1971.46,-5.1861,8.77,-2.0955
1971.37,-5.2077,8.7724,-2.0879
1971.29,-5.2736,8.7656,-2.1166
1971.21,-5.3058,8.7573,-2.0899
1971.12,-5.3206,8.7571,-2.0971
1971.04,-5.3544,8.7595,-2.1642
1970.96,-5.4002,8.7625,-2.2
1970.87,-5.4061,8.758,-2.0793
1970.79,-5.3985,8.7548,-1.9703
1970.71,-5.423,8.7608,-2.1183
1970.62,-5.4239,8.7556,-2.2396
1970.54,-5.3757,8.7427,-2.1328
1970.46,-5.3161,8.7372,-1.9372
1970.37,-5.2801,8.7526,-1.8481
1970.29,-5.2785,8.7724,-1.8477
1970.21,-5.3247,8.762,-1.9133
1970.12,-5.3538,8.768,-2.2049
1970.04,-5.383,8.7743,-2.4139
1969.96,-5.4189,8.771,-2.2608
1969.87,-5.5643,8.7729,-1.7775
1969.79,-5.6163,8.7745,-1.476
1969.71,-5.6566,8.7525,-1.6466
1969.62,-5.641,8.758,-1.6912
1969.54,-5.565,8.7441,-1.8162
1969.46,-5.5107,8.7277,-1.6666
1969.37,-5.3909,8.7386,-1.4424
1969.29,-5.3258,8.75,-1.5453
1969.21,-5.3545,8.7539,-1.694
1969.12,-5.3699,8.7413,-1.8344
1969.04,-5.3807,8.7465,-1.6702
1968.96,-5.4134,8.7651,-1.1925
1968.87,-5.4951,8.7687,-1.3471
1968.79,-5.5237,8.7603,-1.4486
1968.71,-5.4912,8.7758,-1.4656
1968.62,-5.3902,8.7664,-1.3435
1968.54,-5.3986,8.762,-1.2821
1968.46,-5.4369,8.7612,-1.31
1968.37,-5.4035,8.7613,-1.2576
1968.29,-5.3464,8.7805,-1.2627
1968.21,-5.2498,8.8024,-1.4802
1968.12,-5.2198,8.808,-1.6762
1968.04,-5.3163,8.7964,-1.7379
1967.96,-5.4432,8.7722,-1.6139
1967.87,-5.5209,8.7449,-1.318
1967.79,-5.5285,8.7367,-1.1498
1967.71,-5.4875,8.7369,-1.2438
1967.62,-5.3654,8.7404,-1.2717
1967.54,-5.2135,8.7287,-1.0365
1967.46,-5.1635,8.7122,-0.75357
1967.37,-5.1852,8.7288,-0.73604
1967.29,-5.1311,8.7561,-1.0199
1967.21,-5.1145,8.7593,-1.3294
1967.12,-5.2043,8.7556,-1.358
1967.04,-5.2665,8.754,-1.165
1966.96,-5.3693,8.7437,-1.2101
1966.87,-5.4803,8.7472,-1.2638
1966.79,-5.4993,8.7318,-1.2531
1966.71,-5.5656,8.7034,-1.2975
1966.62,-5.5252,8.7069,-1.2405
1966.54,-5.3354,8.7248,-1.203
1966.46,-5.2321,8.7494,-1.2199
1966.37,-5.2556,8.7721,-1.4029
1966.29,-5.3377,8.7506,-1.5583
1966.21,-5.4574,8.7294,-1.422
1966.12,-5.5328,8.7218,-1.2588
1966.04,-5.5089,8.7421,-1.018
1965.96,-5.5008,8.7564,-0.99212
1965.87,-5.3227,8.7685,-0.87283
1965.79,-5.0815,8.7969,-0.90565
1965.71,-4.9117,8.8304,-0.82707
1965.62,-4.7857,8.8666,-0.75717
1965.54,-4.7441,8.8641,-0.80456
1965.46,-4.7642,8.8769,-1.1403
1965.37,-4.8239,8.9084,-1.6855
1965.29,-4.8588,8.91,-2.065
1965.21,-4.9223,8.9,-2.34
1965.12,-5.1198,8.8467,-2.2652
1965.04,-5.2237,8.7862,-2.0649
1964.96,-5.3366,8.7306,-1.8913
1964.88,-5.424,8.7124,-1.6244
1964.79,-5.3509,8.7323,-1.3511
1964.71,-5.3063,8.7469,-1.1232
1964.63,-5.2259,8.749,-1.0826
1964.54,-5.1476,8.7618,-1.1112
1964.46,-5.1365,8.7741,-1.3746
1964.38,-5.2608,8.7466,-1.4702
1964.29,-5.4986,8.7042,-1.0495
1964.21,-5.4909,8.7104,-0.95886
1964.13,-5.441,8.7231,-1.141
1964.04,-5.4113,8.725,-1.2024
1963.96,-5.3644,8.7225,-1.1248
1963.88,-5.2435,8.7303,-1.0708
1963.79,-5.1652,8.7531,-1.0888
1963.71,-5.1313,8.7578,-1.1522
1963.63,-5.1528,8.7619,-1.3292
1963.54,-5.1829,8.7691,-1.5998000000000001
1963.46,-5.1467,8.7697,-1.8079
1963.38,-5.1548,8.7682,-1.8683
1963.29,-5.1351,8.763,-1.9047
1963.21,-5.1154,8.7623,-1.8286
1963.13,-5.1449,8.7615,-1.647
1963.04,-5.2312,8.7463,-1.426
1962.96,-5.2635,8.699,-1.1244
1962.88,-5.2628,8.6801,-0.83936
1962.79,-5.2017,8.6914,-0.62232
1962.71,-5.1018,8.7174,-0.57891
1962.63,-5.0229,8.7429,-0.85914
1962.54,-5.0726,8.7373,-1.0618
1962.46,-5.1296,8.7206,-0.99288
1962.38,-5.21,8.7235,-1.121
1962.29,-5.1959,8.753,-1.4215
1962.21,-5.223,8.7577,-1.5476
1962.13,-5.3193,8.7466,-1.4596
1962.04,-5.4052,8.7118,-1.2721
1961.96,-5.4673,8.6914,-0.82332
1961.88,-5.404,8.694,-0.62041
1961.79,-5.375,8.6982,-0.74965
1961.71,-5.3257,8.7223,-0.913
1961.63,-5.3111,8.7364,-0.95758
1961.54,-5.3463,8.7487,-1.1327
1961.46,-5.347,8.7528,-1.3673
1961.38,-5.369,8.7355,-1.5751
1961.29,-5.452,8.73,-1.4124
1961.21,-5.5313,8.7273,-1.0375
1961.13,-5.5304,8.739,-0.92461
1961.04,-5.4376,8.753,-0.90793
1960.96,-5.3415,8.7451,-0.96388
1960.88,-5.3271,8.7406,-0.92547
1960.79,-5.3218,8.7453,-0.86314
1960.71,-5.3031,8.767,-1.0893
1960.63,-5.2276,8.7735,-1.3617
1960.54,-5.2583,8.7683,-1.4468
1960.46,-5.3252,8.7599,-1.3656
1960.38,-5.4289,8.7467,-1.2274
1960.29,-5.5065,8.7373,-1.1169
1960.21,-5.5056,8.7363,-1.0621
1960.13,-5.4428,8.7404,-1.0773
1960.04,-5.3999,8.7454,-1.1992
1959.96,-5.4042,8.7332,-1.1069
1959.88,-5.3902,8.7168,-1.1124
1959.79,-5.329,8.7193,-1.242
1959.71,-5.3,8.726,-1.4252
1959.63,-5.3688,8.714,-1.5651
1959.54,-5.39,8.7005,-1.4933
1959.46,-5.4065,8.7019,-1.4841
1959.38,-5.4415,8.7036,-1.3888
1959.29,-5.4701,8.7085,-1.2543
1959.21,-5.4564,8.7153,-1.1029
1959.13,-5.4135,8.7276,-0.96322
1959.04,-5.4132,8.7572,-0.9696
1958.96,-5.433,8.748,-1.0434
1958.88,-5.4203,8.7276,-1.0864
1958.79,-5.4002,8.7146,-1.1341
1958.71,-5.3828,8.7168,-1.2678
1958.63,-5.3296,8.7362,-1.454
1958.54,-5.2139,8.7637,-1.5712
1958.46,-5.2487,8.7575,-1.8715
1958.38,-5.3954,8.7239,-1.6752
1958.29,-5.4679,8.7066,-1.3787
1958.21,-5.4096,8.7222,-1.2873000000000001
1958.13,-5.381,8.729,-1.2485
1958.04,-5.3195,8.7455,-1.0821
1957.96,-5.2248,8.753,-0.98841
1957.88,-5.0685,8.7717,-0.84915
1957.79,-5.0024,8.8031,-0.96114
1957.71,-5.0237,8.821,-1.2516
1957.63,-5.0751,8.8288,-1.502
1957.54,-5.1193,8.8296,-1.7906
1957.46,-5.1838,8.8176,-1.968
1957.38,-5.287,8.7783,-1.7536
1957.29,-5.3769,8.7499,-1.4639
1957.21,-5.4192,8.7428,-1.3026
1957.13,-5.401,8.7444,-1.1987
1957.04,-5.3378,8.752,-1.1187
1956.96,-5.2885,8.7427,-1.0572
1956.88,-5.3445,8.7525,-1.0327
1956.79,-5.3588,8.7493,-1.0155
1956.71,-5.3402,8.74,-0.90768
1956.63,-5.3355,8.7283,-0.89958
1956.54,-5.2828,8.7225,-1.0067
1956.46,-5.2562,8.7255,-1.1085
1956.38,-5.3048,8.7334,-1.1358
1956.29,-5.2579,8.7483,-1.0792
1956.21,-5.2088,8.7652,-1.0663
1956.13,-5.2685,8.7669,-0.94786
1956.04,-5.3413,8.7543,-0.88807
1955.96,-5.3875,8.7313,-0.83694
1955.88,-5.3944,8.7378,-0.75804
1955.79,-5.3465,8.7609,-0.71004
1955.71,-5.2686,8.7818,-0.71732
1955.63,-5.2041,8.794,-0.72427
1955.54,-5.127,8.7984000000000009,-0.72607
1955.46,-5.0871,8.8093,-0.80972
1955.38,-5.1511,8.7878,-0.95085
1955.29,-5.2197,8.7804,-1.0968
1955.21,-5.2865,8.7797,-1.153
1955.13,-5.3991,8.775,-1.0465
1955.04,-5.4622,8.7612,-1.0129
1954.96,-5.5048,8.7515,-0.96542
1954.88,-5.4443,8.7531,-0.74359
1954.79,-5.3238,8.764,-0.6566
1954.71,-5.2582,8.7448,-0.66096
1954.63,-5.251,8.7206,-0.74849
1954.54,-5.2669,8.7246,-0.8382
1954.46,-5.3044,8.7325,-0.93222
1954.38,-5.3006,8.753,-1.1135
1954.29,-5.3637,8.7306,-1.1125
1954.21,-5.4875,8.7033,-0.82704
1954.13,-5.529,8.7188,-0.63148
1954.04,-5.6074,8.7123,-0.69688
1953.96,-5.6001,8.6937,-0.67685
1953.88,-5.5544,8.7046,-0.61363
1953.79,-5.4711,8.7108,-0.75695
1953.71,-5.3213,8.7199,-0.90441
1953.63,-5.1911,8.7699,-0.95397
1953.54,-5.2026,8.8034,-1.1161
1953.46,-5.2368,8.7871,-1.1806
1953.38,-5.3093,8.7678,-1.2372
1953.29,-5.4398,8.7542,-1.2443
1953.21,-5.6202,8.7327,-1.0533
1953.13,-5.6333,8.7161,-0.94364
1953.04,-5.5804,8.7237,-0.82533
1952.96,-5.5287,8.7209,-0.69922
1952.88,-5.5037,8.7135,-0.76666
1952.79,-5.4311,8.7059,-0.79356
1952.71,-5.3462,8.7244,-0.73164
1952.63,-5.3128,8.7209,-0.79791
1952.54,-5.3526,8.72,-1.1316
1952.46,-5.3459,8.7218,-1.2155
1952.38,-5.2929,8.7202,-1.048
1952.29,-5.3536,8.7057,-0.91207
1952.21,-5.395,8.6887,-0.95938
1952.13,-5.3769,8.6928,-0.99217
1952.04,-5.3464,8.6971,-1.0736
1951.96,-5.3033,8.7086,-1.057
1951.88,-5.1749,8.7188,-0.84676
1951.79,-5.0049,8.745,-0.81429
1951.71,-4.9862,8.7675,-0.96836
1951.63,-5.0011,8.7906,-1.1165
1951.54,-5.0779,8.7962,-1.2263
1951.46,-5.0768,8.8045,-0.94262
1951.38,-5.1676,8.7826,-0.7666
1951.29,-5.169,8.7619,-0.59256
1951.21,-5.166,8.7339,-0.45119
1951.13,-5.2109,8.7496,-0.5688
1951.04,-5.2609,8.7805,-0.75182
1950.96,-5.3513,8.776,-0.79902
1950.88,-5.3155,8.7678,-0.80192
1950.79,-5.2019,8.7583,-0.8224
1950.71,-5.148,8.7555,-0.80332
1950.63,-5.2236,8.7693,-0.82297
1950.54,-5.4631,8.7701,-0.88983
1950.46,-5.5318,8.7532,-0.85344
1950.38,-5.5894,8.7571,-0.69749
1950.29,-5.6687,8.7593,-0.78065
1950.21,-5.436,8.7422,-0.66826
1950.13,-5.2669,8.7401,-0.70744
1950.04,-5.2439,8.7045,-0.82806
1949.96,-5.283,8.7035,-0.92834
1949.88,-5.3063,8.7101,-0.91649
1949.79,-5.2934,8.7304,-1.0631
1949.71,-5.2386,8.7457,-1.1077
1949.63,-5.3092,8.7336,-0.94577
1949.54,-5.4583,8.7177,-0.74818
1949.46,-5.5044,8.7234,-0.66277
1949.38,-5.5045,8.7428,-0.69221
1949.29,-5.4414,8.7387,-0.67234
1949.21,-5.3615,8.7278,-0.637
1949.13,-5.3647,8.7286,-0.72399
1949.04,-5.3812,8.7266,-0.79482
1948.96,-5.329,8.7332,-0.93937
1948.88,-5.3019,8.7435,-0.87061
1948.79,-5.3472,8.7637,-0.93081
1948.71,-5.3794,8.7651,-0.97909
1948.63,-5.4013,8.7262,-0.82554
1948.54,-5.4299,8.7277,-0.62818
1948.46,-5.3691,8.7648,-0.62574
1948.38,-5.2923,8.7865,-0.51462
1948.29,-5.3327,8.7983,-0.6156
1948.21,-5.3746,8.7678,-0.93179
1948.13,-5.3851,8.7364,-1.08
1948.04,-5.3409,8.7316,-0.94456
1947.96,-5.2953,8.7335,-0.93347
1947.88,-5.3562,8.7301,-1.082
1947.79,-5.4231,8.7307,-1.1383
1947.71,-5.5546,8.7278,-1.1665
1947.63,-5.7144,8.6953,-1.1152
1947.54,-5.7873,8.6882,-0.96178
1947.46,-5.8249,8.6888,-0.91508
1947.38,-5.7738,8.6932,-0.92891
1947.29,-5.7124,8.6978,-0.95337
1947.21,-5.6954,8.6962,-1.0376
1947.13,-5.6859,8.6942,-1.1215
1947.04,-5.6488,8.6992,-1.0988
1946.96,-5.6027,8.7066,-1.0756
1946.88,-5.5391,8.7192,-1.1359
1946.79,-5.4701,8.7319,-1.2013
1946.71,-5.3753,8.7415,-1.2299
1946.63,-5.292,8.7526,-1.257
1946.54,-5.2982,8.7684,-1.3552
1946.46,-5.3431,8.7601,-1.5551
1946.38,-5.445,8.7342,-1.6019
1946.29,-5.5822,8.732,-1.4612
1946.21,-5.6793,8.7288,-1.2895
1946.13,-5.6211,8.7103,-1.2076
1946.04,-5.4357,8.7086,-1.1408
1945.96,-5.403,8.7177,-1.2808
1945.88,-5.3663,8.7167,-1.2785
1945.79,-5.2572,8.7189,-1.1022
1945.71,-5.1106,8.7695,-0.96057
1945.63,-5.01,8.7948,-1.0048
1945.54,-5.0608,8.7976,-1.0765
1945.46,-5.1991,8.7616,-1.0785
1945.38,-5.3483,8.7341,-0.99884
1945.29,-5.4983,8.7297,-0.98988
1945.21,-5.5995,8.7121,-0.9972
1945.13,-5.5884,8.716,-0.86639
1945.04,-5.5253,8.7059,-0.78941
1944.96,-5.5034,8.7157,-0.90939
1944.88,-5.4753,8.7235,-0.96119
1944.79,-5.4503,8.7233,-0.96256
1944.71,-5.3443,8.7121,-1.0348
1944.63,-5.3849,8.7136,-1.158
1944.54,-5.4009,8.7452,-1.1792
1944.46,-5.4111,8.7566,-1.1254
1944.38,-5.4222,8.7427,-1.0245
1944.29,-5.4292,8.7342,-0.86366
1944.21,-5.39,8.7472,-0.71502
