year (AD),d18O (permil),Sr_Ca (mmol/mol)
1877.5,-4.61,9.3479
1876.5,-4.8,9.275
1875.5,-4.78,9.2752
1874.5,-4.78,9.2626
1873.5,-4.78,9.2461
1872.5,-4.91,9.2786
1871.5,-4.89,9.281
1870.5,-4.83,9.2886
1869.5,-4.87,9.2828
1868.5,-4.73,9.3101
1867.5,-4.78,9.2972
1866.5,-4.6,9.3246
1865.5,-4.56,9.354
1864.5,-4.77,9.2717
1863.5,-4.76,9.2681
1862.5,-4.75,9.2729
1861.5,-4.9,9.2518
1860.5,-5.01,9.2467
1859.5,-4.9,9.266
1858.5,-4.85,9.2578
1857.5,-4.78,9.2998
1856.5,-4.92,9.2598
1855.5,-4.79,9.288
1854.5,-4.77,9.3052
1853.5,-4.79,9.2798
1852.5,-4.86,9.2544
1851.5,-4.84,9.2378
1850.5,-4.78,9.262
1849.5,-4.67,9.2845
1848.5,-4.98,9.2725
1847.5,-4.96,9.2962
1846.5,-4.8,9.3299
1845.5,-4.62,9.3665
1844.5,-4.75,9.3233
1843.5,-4.76,9.2948
1842.5,-4.8,9.2899
1841.5,-5.01,9.3015
1840.5,-4.88,9.3321
1839.5,-4.88,9.3007
1838.5,-4.71,9.3111
1837.5,-4.94,9.2727
1836.5,-4.78,9.314
1835.5,-4.77,9.3482
1834.5,-4.86,9.2997
1833.5,-4.64,9.3044
1832.5,-4.72,9.2928
1831.5,-4.85,9.2718
1830.5,-4.99,9.2333
1829.5,-5.01,9.2331
1828.5,-4.9,9.2268
1827.5,-4.92,9.2439
1826.5,-4.86,9.2702
1825.5,-4.99,9.2579
1824.5,-4.76,9.2853
1823.5,-4.86,9.3013
1822.5,-4.87,9.2594
1821.5,-4.83,9.2753
1820.5,-4.74,9.3061
1819.5,-5.03,9.267
1818.5,-5.11,9.2432
1817.5,-4.81,9.2585
1816.5,-4.74,9.2676
1815.5,-4.74,9.3038
1814.5,-4.69,9.3153
1813.5,-4.88,9.2432
1812.5,-4.89,9.2282
1811.5,-4.73,9.3065
1810.5,-4.62,9.3204
1809.5,-4.72,9.2974
1808.5,-4.81,9.2994
1807.5,-4.96,9.2289
1806.5,-5.01,9.2077
1805.5,-5,9.2258
1804.5,-4.97,9.2373
1803.5,-4.66,9.2575
1802.5,-4.71,9.2828
1801.5,-4.76,9.2772
1800.5,-4.89,9.2578
1799.5,-4.74,9.3414
1798.5,-4.84,9.3302
1797.5,-4.96,9.2533
1796.5,-4.9,9.2472
1795.5,-4.87,9.3294
1794.5,-4.96,9.2668
1793.5,-4.83,9.2936
1792.5,-4.77,9.2828
1791.5,-4.7,9.3012
1790.5,-4.56,9.2849
1789.5,-4.66,9.2781
1788.5,-4.58,9.2729
1787.5,-4.65,9.2588
1786.5,-4.81,9.2159
1785.5,-4.74,9.2385
1784.5,-4.88,9.2613
1783.5,-4.62,9.2604
1782.5,-4.66,9.2455
1781.5,-4.66,9.2354
