year (AD),depth (cm),dD (permil),dD (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty ()
1940,58,-158,-146,NA,NA,-162,4.3,0.9,0.5,-147,1.3,-171,0.1
1937,60,-160,-154,NA,NA,-158,3.2,2.1,2.3,-143,5.6,-164,0.8
1934,62,-148,-159,NA,NA,-151,1.9,1.2,0.1,-150,1.9,-167,1.4
1931,64,-163,-152,NA,NA,-165,1.1,0.5,0.8,-153,7,-167,0.8
1928,66,-164,-156,NA,NA,-165,0.3,2.1,1.5,-153,1,-167,0.6
1925,68,-170,-150,NA,NA,-162,1,0.1,0.6,-149,0.1,-171,0.8
1922,70,-167,-157,NA,NA,-162,1,0,0.5,-153,1.6,-166,1.1
1919,72,-156,-151,NA,NA,-161,0.4,0.6,2.3,-151,1.8,-163,0.9
1914,74,-159,-154,NA,NA,-162,1.3,1.3,0.9,-150,2.5,-165,0.6
1909,76,-170,-155,NA,NA,-168,1.8,2.9,2.8,-151,7.3,-174,1.1
1904,78,-171,-155,NA,NA,-166,0.5,1.5,1,-149,2,-172,1.4
1899,80,-159,-154,NA,NA,-161,0.8,0.1,3.4,-149,0.9,-165,1.2
1894,82,-173,-162,NA,NA,-167,0.2,2.9,0.7,-153,2,-172,1.4
1889,84,-162,-156,NA,NA,-157,1.1,1.7,1.2,-164,0.6,-161,1.7
1883,86,-130,-134,NA,NA,-142,1,1.1,1.7,NA,NA,-143,0.3
1878,88,-156,-150,NA,NA,-163,0.1,0.1,0.1,NA,NA,-165,0.1
1873,90,-153,-149,NA,NA,-160,1.4,0.6,0,-143,NA,-158,2.6
1871,91,-160,-157,NA,NA,-164,0.2,1.4,3.1,-151,4.5,-165,3.5
1868,92,-160,-152,NA,NA,-163,1.2,0.7,1.1,-151,2.2,-165,0.9
1865,93,-153,-138,NA,NA,-152,1.2,0.5,0.8,NA,NA,-154,0.6
1860,95,-161,-150,NA,NA,-165,1.5,1.7,3.2,-147,1.8,-168,0.1
1858,96,-160,-150,NA,NA,-167,0.7,1.5,2.4,-150,NA,-176,0
1855,97,-156,-152,NA,NA,-164,0.2,0.4,2.3,-160,0.6,-167,0.1
1852,98,-152,-150,NA,NA,-160,0.5,0.2,0.5,-150,2.6,-169,0.7
1850,99,-152,-148,NA,NA,-155,2.1,1.5,1.8,NA,NA,-163,1.6
1847,100,-158,-160,NA,NA,-159,1.3,0.2,0.3,-139,5.4,-168,2.2
1845,101,-161,-157,NA,NA,-164,1,0.8,2.9,-140,1.4,-171,0.7
1842,102,-165,-162,NA,NA,-169,2.6,3.4,0.8,-158,2.3,-180,1.8
1840,103,-161,-153,NA,NA,-166,0,1.5,6.8,NA,NA,-174,0.8
1837,104,-148,-157,NA,NA,-154,0.4,0.2,3.7,NA,NA,-159,2.5
1834,105,-148,-149,NA,NA,-151,1.1,0.4,2.7,-146,2.1,-158,2.8
1832,106,-151,-148,NA,NA,-166,0.1,2,0.6,-149,6.5,-172,1.7
1829,107,-152,-149,NA,NA,-163,0.7,2.6,0.3,-146,NA,-166,0.7
1827,108,-154,-152,NA,NA,-167,1.6,1.2,1.2,-143,0.8,-173,1.6
1824,109,-163,-154,NA,NA,-158,6.1,0.9,0.7,-148,4.4,-179,2.4
1822,110,-158,-156,NA,NA,-167,0.7,7.1,0.6,-152,0.7,-174,1.6
1819,111,-161,-155,NA,NA,-166,3.5,0.9,1,-150,1.8,-179,1.9
1816,112,-154,-153,NA,NA,-160,3.5,1,3.3,-157,6.5,-168,0.2
1814,113,-158,-154,NA,NA,-169,0.5,3.1,0.1,-152,1.6,-177,0.5
1811,114,-160,-152,NA,NA,-173,0.9,0.9,0.4,-147,0,-186,0.8
1809,115,-159,-155,NA,NA,-171,2.7,6.6,9.5,-136,NA,-172,3.9
1806,116,-151,NA,NA,NA,-166,5.7,7.8,NA,NA,NA,-174,2.1
1803,117,-158,-156,NA,NA,-171,1.1,5.1,3.3,-147,1.2,-180,1.3
1801,118,-155,-155,NA,NA,-168,0.5,3.9,0.3,-144,3.8,-180,1.4
1798,119,-157,-151,NA,NA,-165,0.3,0.3,2.2,-149,1.2,-179,2.5
1796,120,-153,-147,NA,NA,-160,0.9,0.4,1.8,-143,0.9,-172,2.5
1793,121,-163,-158,NA,NA,-148,1,1.3,1.4,-149,0.9,-171,1.1
1791,122,-159,-150,NA,NA,-143,0.5,0.7,0.8,-146,2.2,-178,0.1
1788,123,-158,-147,NA,NA,-165,0.9,0.2,0.7,-141,0.8,-174,0.7
1785,124,-152,-150,NA,NA,-165,1.7,1.2,2.1,-150,0.9,-176,1
1783,125,-159,-148,NA,NA,-166,1.1,1.1,6.8,-143,0.1,-179,2.4
1780,126,-147,-155,NA,NA,-146,0.2,1.8,1.5,-152,2.3,-171,0.5
1778,127,-150,NA,NA,NA,-161,0.3,1.2,NA,NA,NA,-165,1
1775,128,-156,-151,NA,NA,-167,0.3,2.5,0.4,-146,6.9,-170,1.7
1772,129,-156,-156,NA,NA,-165,0,2.5,0.3,-153,2.8,-172,0
1770,130,NA,-160,NA,NA,-140,1.5,NA,1.4,-156,0.1,-174,2.2
1767,131,-154,-149,NA,NA,-167,2.1,1.3,0.3,-148,4.2,-171,1.8
1765,132,-149,-148,NA,NA,-168,0.2,0.8,1,-141,0.1,-161,0.9
1762,133,-144,-140,NA,NA,-157,1.5,3.7,1.4,-145,2.2,-148,0.9
1760,134,-146,-142,NA,NA,-163,1,1.2,3.7,-156,6.5,-149,1.8
1757,135,-156,-149,NA,NA,-171,0.3,0.2,0.1,-142,6.5,-172,0.7
1750,136,-153,-152,NA,NA,-169,0.4,1.6,0.7,-144,5.4,-168,0.2
1744,137,-165,-160,NA,NA,-173,4,1.5,7.4,NA,NA,-185,1.7
1737,138,-144,-146,NA,NA,-162,0.4,1,1.2,-147,NA,-150,0.8
1730,139,-139,-142,NA,NA,-160,2.9,0.7,1.7,NA,NA,-145,0.5
1723,140,-143,-145,NA,NA,-164,0.3,2,0.6,-145,5.5,-156,1.1
1717,141,-153,-153,NA,NA,-170,0.1,2.8,2.9,-148,0.3,-175,3.3
1710,142,-150,-156,NA,NA,-170,1.5,6.1,2,-149,0.1,-175,2.6
1703,143,-140,-147,NA,NA,-157,1.9,0.9,2.1,NA,NA,-142,4.9
1697,144,-145,-145,NA,NA,-165,6.3,0.9,3.6,-158,NA,-145,0.6
1690,145,-141,-146,NA,NA,-160,2.9,0.3,2.2,NA,NA,-144,3.5
1683,146,-149,-152,NA,NA,-168,1.2,1.1,0.6,-151,0.8,-161,0.2
1676,147,-144,-149,NA,NA,-158,0.1,0.6,1.3,-159,1.9,-146,0.5
1670,148,-159,-144,NA,NA,-159,2.2,5.6,0.4,NA,NA,-147,0.3
1663,149,-146,-156,NA,NA,-154,1.4,0.5,1.2,-158,4.3,-155,1.2
1656,150,-161,-154,NA,NA,-168,0.1,1.4,1.5,-151,6.5,-158,3.1
1650,151,-161,-159,NA,NA,-173,1.8,0.4,1.6,-158,1.6,-175,3.7
1643,152,-160,-158,NA,NA,-169,5.7,2.3,0.7,-154,5.2,-176,0.3
1636,153,-161,-156,NA,NA,-175,0.1,4.4,4.2,-152,0.2,-178,1.5
1629,154,-160,-165,NA,NA,-173,1.3,3,8.7,-147,3.3,-175,3.9
1623,155,-159,-156,NA,NA,-175,1.2,2.2,1.6,-145,0,-185,1.7
1616,156,-157,-153,NA,NA,-172,1.3,1.3,1.2,-147,4.6,-182,0.4
1609,157,-161,-156,NA,NA,-173,1,7.6,NA,-147,9.2,-184,1.1
1603,158,-162,-165,NA,NA,-174,0.1,0.6,3.7,-165,6.8,-179,2.9
1596,159,-158,-167,NA,NA,-172,1.3,6.2,3.1,-156,1,-173,4.4
1589,160,-160,-155,NA,NA,-169,0.9,0.6,0.8,-155,3.7,-172,0.5
1582,161,-159,-154,NA,NA,-172,0.6,1.4,0.2,-145,1.1,-179,0.4
1576,162,-157,-151,NA,NA,NA,NA,1.6,2.3,NA,NA,-177,1.9
1569,163,-165,-161,NA,NA,-171,1.4,0.4,0.2,-156,0.8,-176,1
1562,164,-160,-147,NA,NA,-169,1.5,1.7,0.9,-144,2.5,-171,1.9
1558,165,-166,-157,NA,NA,-167,0.4,2.8,3,-147,5.2,-174,1.8
1555,166,-160,-152,NA,NA,-170,1.4,0.7,1.3,-153,0.9,-170,0.6
1552,167,-164,-148,NA,NA,-184,1,2.7,1.5,-149,5.6,-182,0.7
1550,168,-164,-147,NA,NA,-164,1.9,1.5,1.4,NA,NA,-146,5.7
1547,169,-161,-145,NA,NA,-170,3.5,2.5,1.7,NA,NA,-159,3
1544,170,-149,-148,NA,NA,-168,0.6,1.3,0.2,-156,8.9,-164,0.6
1541,171,-154,-154,NA,NA,-172,1.3,0.1,3.3,-147,0.3,-182,0.7
1539,172,NA,-149,NA,NA,NA,NA,NA,2.4,-166,8.7,-167,0.6
1536,173,-146,-153,NA,NA,-168,1.2,1.3,0.1,NA,NA,-165,2
1533,174,-147,-150,NA,NA,-163,0.2,1.7,1.2,-159,1.8,-153,0.1
1531,175,-145,-148,NA,NA,-162,0.9,0.6,3.7,-150,1.4,-161,0.1
1528,176,-149,-147,NA,NA,-170,1.7,0.3,0.2,-147,2,-168,0.1
1525,177,-150,-150,NA,NA,-168,0.4,3,0.5,-149,0.3,-172,0.7
1522,178,-155,-150,NA,NA,-172,0.7,3.5,0.1,-144,0.5,-177,0.9
1520,179,-154,-151,NA,NA,-171,0,1.6,0.1,-147,1.4,-174,0
1517,180,-150,-150,NA,NA,-168,2.2,1.4,0.4,-151,1.9,-169,0.5
1514,181,-152,-150,NA,NA,-168,1.3,0.9,0,-147,2,-171,3
1512,182,-145,-150,NA,NA,-158,1.2,1.2,1.2,NA,NA,-159,0.9
1509,183,-148,-145,NA,NA,-165,1.2,1.8,3.9,-142,3.2,-159,1.6
1506,184,-139,-145,NA,NA,-161,1.2,4.6,0.6,-142,NA,-158,2.5
1504,185,-147,-148,NA,NA,-163,1.7,2.6,2.8,NA,NA,-152,1.1
1501,186,-145,-147,NA,NA,-165,1.7,3.3,2.7,-134,0.1,-159,1.4
1498,187,-144,-148,NA,NA,-162,0.9,4,1.7,NA,NA,-156,1.2
1495,188,-147,-150,NA,NA,-165,1,0.6,2.1,-181,4.4,-155,1.7
1493,189,-140,-148,NA,NA,NA,NA,4,0.9,-182,6,-162,0.1
1490,190,-150,-157,NA,NA,-161,1.7,0.6,9.9,NA,NA,-160,3.4
1487,191,-148,-147,NA,NA,-168,2.6,1,1.5,-145,6.4,-165,0.6
1485,192,-142,-139,NA,NA,-168,0.1,0.4,0.7,-139,7.8,-175,3.1
1482,193,-151,-146,NA,NA,-170,2,0.5,5.4,-143,2.7,-166,1.6
1479,194,-143,-144,NA,NA,-166,1.3,5.5,0.6,-150,9.3,-159,1
1477,195,NA,-152,NA,NA,NA,NA,NA,1.4,-164,NA,-160,1.8
1474,196,-146,-151,NA,NA,-152,0.3,3,4.8,-188,9.3,-150,1.4
1471,197,-144,-148,NA,NA,-151,2.6,2.3,2.4,-152,0.4,-154,1.1
1468,198,-148,-148,NA,NA,-151,0.9,0.2,1.1,NA,NA,-147,1.3
1466,199,-147,-162,NA,NA,NA,NA,0.2,0,NA,NA,-148,0.8
1463,200,-145,-157,NA,NA,NA,NA,0.9,4.2,NA,NA,-149,1.7
1460,201,-163,-160,NA,NA,-166,0.5,7.3,2.5,NA,NA,-161,0.9
1458,202,-151,-157,NA,NA,-168,0.6,0.3,1.5,-182,2.2,-156,0.2
1455,203,-140,-151,NA,NA,-158,4.5,1.6,2.7,-369,NA,-150,2
1452,204,-119,-131,NA,NA,-148,1.9,0.1,3.1,NA,NA,-138,1.4
1449,205,-148,-141,NA,NA,-159,1.3,1.5,0,NA,NA,-151,4.2
1447,206,-157,-157,NA,NA,-165,4.3,0,5.2,NA,NA,-162,0.4
1444,207,-155,-154,NA,NA,-168,2.6,0.7,4.3,NA,NA,-169,3.4
1441,208,-145,-146,NA,NA,-156,2.2,0.8,1.6,-200,9.1,-148,1.6
1439,209,-147,-149,NA,NA,-159,0.7,0.4,0.2,-199,5.5,-161,1
1436,210,-143,-140,NA,NA,-160,1.4,1.3,2.6,NA,NA,-148,4
1433,211,-143,-141,NA,NA,-165,0.2,0.1,0.6,NA,NA,-158,0.6
1431,212,-148,-151,NA,NA,-167,0.1,3,1.4,-165,1.7,-162,0.1
1428,213,-139,-155,NA,NA,-150,3.7,1.3,2.8,NA,NA,-144,2.8
1425,214,-148,-147,NA,NA,-162,1.1,1.4,0.6,NA,NA,-159,1.6
1423,215,-151,-148,NA,NA,-165,0.6,2.3,3.9,NA,NA,-168,3.4
1420,216,-156,-156,NA,NA,-168,0,0.8,2.3,-169,0.7,-171,3.2
1417,217,-156,-169,NA,NA,-169,0.7,1.8,2.9,-164,0.3,-177,3.9
1415,218,-144,NA,NA,NA,-164,0.6,0.2,NA,-147,4.9,-160,0.5
1412,219,-152,-172,NA,NA,-165,4.5,2.4,8.4,-179,3.4,-174,0.2
1410,220,-148,-157,NA,NA,-165,0.3,0.3,6.1,-158,5.8,-165,1.1
1407,221,-143,-149,NA,NA,-155,2.1,1.6,3.1,NA,NA,-155,1.5
1404,222,-147,-149,NA,NA,-160,0.3,1.3,0.9,NA,NA,-152,0.4
1402,223,-145,-143,NA,NA,-163,3.6,1.8,2.6,-160,9.4,-160,2.1
1399,224,-149,-148,NA,NA,-166,0.2,2.8,0.2,-155,5.1,-165,2.7
1396,225,-152,-147,NA,NA,-166,3.2,1.7,0.5,-148,8.7,-162,1.8
1394,226,-157,-153,NA,NA,-169,0.8,1.8,1.2,-165,9.9,-169,1.9
1391,227,-154,-153,NA,NA,-168,0.8,1.2,0.8,-155,1.2,-168,1.6
1388,228,-154,-149,NA,NA,-169,1.1,1.9,2.1,-150,9.2,-172,0.6
1386,229,-155,-165,NA,NA,-169,0.8,4.5,1,-155,2.6,-169,0.9
1383,230,-157,-168,NA,NA,-172,2,1.3,0.4,-161,6.8,-174,2.2
1380,231,-158,-150,NA,NA,-172,0.5,1.5,1.5,NA,NA,-174,1.2
1378,232,NA,-177,NA,NA,NA,NA,NA,2.2,-155,0.5,-171,0.8
1375,233,-162,NA,NA,NA,-176,3.6,1.1,NA,-161,8.7,-180,2.4
1372,234,-162,-156,NA,NA,-174,0.7,0.6,1.8,-157,8,-180,0.3
1370,235,-157,-161,NA,NA,-170,0.4,1.1,0.8,NA,NA,-172,0.4
1367,236,-153,-150,NA,NA,-164,1.7,1.2,1.1,NA,NA,-163,0.4
1364,237,-148,-173,NA,NA,-166,1.9,1.5,8.6,-156,3.3,-166,0.5
1362,238,-142,-150,NA,NA,-155,0.2,0.5,0.4,NA,NA,-151,2.3
1359,239,NA,-143,NA,NA,NA,NA,NA,4.3,NA,NA,-160,0.9
1357,240,-146,NA,NA,NA,-162,0.3,1.3,NA,-182,9.3,-162,0.4
1354,241,-142,-162,NA,NA,-160,0.6,1.8,0.4,NA,NA,-158,0.3
1351,242,-144,-145,NA,NA,-160,1.5,0.4,0,-154,2.6,-161,2.8
1349,243,-148,-143,NA,NA,-162,0.2,0.8,0.2,-155,4.4,-161,4.5
1346,244,-148,-149,NA,NA,-162,0.1,0.8,0.6,NA,NA,-168,1.8
1343,245,-148,-153,NA,NA,-159,1,0.3,2.8,NA,NA,-161,1.4
1341,246,-147,-145,NA,NA,-161,0.9,0.7,1.8,NA,NA,-156,0.7
1338,247,-142,-163,NA,NA,-160,0.5,2.6,NA,NA,NA,-161,1.3
1335,248,NA,-146,NA,NA,NA,NA,NA,7.8,-151,3.7,-166,2.8
1333,249,-153,-137,NA,NA,-167,0.8,0.7,6,-155,NA,-169,0.4
1330,250,-143,NA,NA,NA,-160,1,1.2,NA,-136,8.1,-154,0.9
1327,251,-143,-151,NA,NA,-158,NA,NA,NA,NA,NA,-149,1.6
1325,252,-147,-149,NA,NA,-159,1.6,3.7,4.1,-167,8.4,-156,0.9
1322,253,-148,-145,NA,NA,-166,1.2,2.2,2.3,-156,1.7,-164,1.9
1319,254,-149,NA,NA,NA,-166,0.2,1.2,NA,-144,NA,-162,0
1317,255,-157,-158,NA,NA,-171,3.5,3.8,5,NA,NA,-173,4.6
1314,256,-154,-149,NA,NA,-168,2.9,1,1.8,-148,NA,-169,3.1
1312,257,-145,-147,NA,NA,-159,1,0.8,2.5,-145,3.3,-160,1.4
1309,258,-152,-151,NA,NA,-161,0.5,3.2,1.3,-135,9.1,-165,1.9
1306,259,-154,-154,NA,NA,-165,0.5,0.5,3.6,-161,6,-168,2.8
1304,260,-146,-155,NA,NA,-163,0.6,0.3,0.6,-164,NA,-163,0.4
1301,261,-144,-148,NA,NA,-157,0.1,2.4,NA,NA,NA,-154,0.5
1298,262,-152,-154,NA,NA,-167,NA,1.3,NA,-167,2.2,-162,4.5
1296,263,-147,-154,NA,NA,-160,0.3,2.7,2.7,-163,NA,-168,1.1
1293,264,-145,-147,NA,NA,-159,3,1.7,3.4,NA,NA,-160,0.8
1290,265,-143,-148,NA,NA,-161,1.4,5.9,0.7,-157,NA,-160,1.5
1288,266,-149,-154,NA,NA,-158,0,1.5,1.3,-171,NA,-162,1
1285,267,-149,-162,NA,NA,-158,0,1.3,7.4,-152,NA,-159,3
1282,268,-146,-151,NA,NA,-151,2.2,0.5,0.9,-165,NA,-159,2
1280,269,-145,-145,NA,NA,-152,0.2,0.8,3,NA,NA,-150,4.6
1277,270,-151,-159,NA,NA,-163,6.6,2.8,2.2,NA,NA,-172,1.4
1274,271,-153,-150,-137,0.8,-167,0.4,0.1,0.7,-148,1.9,-164,0.4
1272,272,-155,-153,-146,4.7,-165,2.5,3.1,2.5,-152,4.1,-169,5.3
1269,273,-149,-156,-155,0.1,-162,2.3,1.2,6.7,-149,8.9,-165,7.8
1266,274,-150,-159,-147,9.1,-163,2.7,0.6,4,-152,6.3,-170,2.8
1264,275,-156,-154,-145,2.8,-169,1.4,1.2,3,-144,3.3,-182,1
1262,276,NA,-168,-144,9.8,NA,NA,NA,4.1,-150,5.4,-175,1.5
1260,277,NA,-138,-142,1.5,NA,NA,NA,2.8,-131,1.6,-167,3.3
1258,278,-147,-146,NA,NA,-161,0.8,0.7,4,-133,2.6,-171,3.9
1257,279,-144,-148,NA,NA,-154,0.2,4.1,6.5,-134,7.2,-150,6.2
1255,280,-146,-158,NA,NA,-160,0.1,0.5,2.8,-143,1.5,-168,6.4
1252,282,-156,-160,NA,NA,-167,0.9,0.8,0.5,-144,1.1,-170,1.7
1250,283,NA,-153,-134,4.4,-165,NA,NA,1.8,-147,0.8,-171,1.3
1249,284,-154,-155,-138,NA,-171,0.7,1.8,5.1,-143,1.1,-183,3
1246,286,-153,-161,NA,NA,NA,NA,NA,NA,-139,NA,-168,NA
1242,288,-154,-158,NA,NA,-164,0.8,NA,5.2,-146,0.9,-170,4
1239,290,-156,-156,NA,NA,-165,1.7,2.9,0.3,-147,0.2,-170,4.8
1236,292,-161,-152,NA,NA,-176,1,1.8,2.2,-150,0.5,-171,0.2
1233,294,NA,-156,-149,5.2,NA,NA,NA,2.2,-150,2.2,-175,0.9
1229,296,-166,-156,-154,0.6,-179,1.7,2.3,5.8,-158,0.8,-185,0.3
1226,298,-165,-158,NA,NA,-177,2.3,1,4.4,-150,1.8,-183,4.7
1223,300,-162,-156,NA,NA,-177,1.4,1.1,1.4,-158,1.4,-180,0.4
1220,302,-160,-160,NA,NA,-164,2.2,2.1,0.9,-155,0.7,-171,0.5
1216,304,-139,NA,NA,NA,-147,4.2,NA,NA,NA,NA,NA,NA
1212,306,-147,-157,NA,NA,-156,0.8,0.6,3.5,-144,8,-154,6
1205,308,-153,-158,-148,NA,-164,0.9,0,3.8,-149,2.8,-171,2.2
1198,310,-157,-158,-151,2.2,-168,2,1.9,0.8,-151,3.3,-172,2.8
1191,312,-155,-162,-157,NA,-166,1,2.5,3.3,-153,1.2,-168,4.1
1184,314,-155,-164,-167,4.6,-164,0.9,1.5,3.5,-158,3,-165,3.1
1177,316,-160,-157,NA,NA,-173,0.8,0.2,3.3,-155,1.1,-171,2.2
1169,318,-156,-162,-152,0.4,-168,3.1,3.9,2.6,NA,NA,-168,1.8
1162,320,-146,-153,NA,NA,-153,1.9,0.5,5.3,-145,0.3,-162,0.8
1155,322,-159,-154,NA,NA,-174,2.5,0.2,2.6,-143,2.3,-174,0.2
1148,324,-163,-155,NA,NA,-174,0.8,1.2,0.1,-146,0.3,-176,3.4
1141,326,-156,-152,NA,NA,-173,2.1,3.2,0.8,-140,0.8,-180,3.6
1134,328,-145,-151,NA,NA,-162,0.6,0.6,0.8,-145,1.1,-165,0.5
1127,330,-157,-152,NA,NA,-172,1.9,0.3,7.9,-143,0.1,-177,4.7
1120,332,-149,-151,NA,NA,-161,3.6,3.1,6.7,-140,1.8,-162,1.4
1112,334,-150,-162,NA,NA,-159,0.3,1.1,1.5,-134,4.6,-158,0
1105,336,-148,NA,NA,NA,-162,3.9,1.9,NA,NA,NA,-159,3.2
1098,338,-153,-159,-160,NA,-160,NA,NA,NA,-157,NA,-163,0.7
1091,340,NA,-153,-148,1.6,-161,NA,NA,2.1,-146,1.3,-164,1.6
1084,342,-148,-150,NA,NA,-167,0.2,1.7,1,-142,1.3,-175,0.5
1077,344,-156,-152,-144,0.7,-171,0.6,0.5,5.9,-137,5.9,-180,0.6
1070,346,-153,-163,-152,5,-161,NA,0.2,0.5,-149,0.7,-186,0.7
1063,348,-152,-148,NA,NA,-161,0.4,0.5,2,-147,2.1,-167,0.6
1055,350,-144,-149,NA,NA,-149,1.2,0.2,4.1,-148,5.7,-156,1.1
1048,352,-146,-152,NA,NA,-160,0.8,0.2,0.8,-145,1.7,-153,1.2
1034,356,-138,-142,NA,NA,-145,2.6,0.3,2.4,NA,NA,-146,6.5
1027,358,-153,-146,NA,NA,NA,NA,7.3,1.4,-143,3.5,NA,NA
1020,360,-143,-147,-147,3,-166,2.2,2.7,4.8,-144,2.7,-159,4.3
1013,362,-141,-139,-158,4.4,-149,9.6,1.4,3.1,-150,7.5,-150,0.7
1006,364,-149,-148,-144,1.8,-170,0,1.4,2.7,-144,0.5,-170,2
998,366,-136,-141,NA,NA,-151,3.2,0.4,2.3,-137,0.8,-148,3.1
991,368,-132,-132,NA,NA,-144,0.7,3.3,0.9,NA,NA,-145,3.8
984,370,-141,NA,NA,NA,-160,0.7,1.4,NA,NA,NA,-162,2.6
977,372,-152,-149,-147,8.3,-167,0.7,1.5,0,-145,2.2,-166,0.9
970,374,-153,-150,-138,5.2,-167,0.1,2.6,0.5,-143,0.4,-167,2.5
963,376,-153,-149,-155,3,-169,0.2,0.1,0.2,-144,1.6,-169,0.1
956,378,-140,-141,NA,NA,-152,0.3,0.8,1.9,NA,NA,-155,2.6
952,380,-149,-147,NA,NA,-159,0,0,2.4,-146,0.5,-166,0.3
948,382,-154,-149,-148,6.4,-171,0.2,2.4,3.5,-147,2.1,-172,0.5
943,384,-158,-155,-148,1.2,-177,1,0.8,1.5,-149,1.6,-182,0.2
939,386,-160,-156,-141,NA,-179,0.1,1,0.4,-144,0.3,-190,3
934,388,-142,-145,NA,NA,-153,0.4,0.8,0.5,-137,2,-164,1
930,390,-137,-137,NA,NA,-150,1.2,1.4,1.5,NA,NA,-170,0.4
926,392,-147,-148,NA,NA,-160,0,0.4,1.1,-149,1.5,-164,0.5
921,394,-143,-146,NA,NA,-154,1.3,0.1,1.3,-142,6.8,-162,1.1
917,396,-148,-151,NA,NA,-160,0.1,0.4,1.6,-144,0.2,-162,2.4
912,398,-153,-143,NA,NA,-169,1.1,1.6,1.3,-139,1.4,-170,2.8
908,400,-147,-139,NA,NA,-162,2,1.2,6.5,-130,5.2,-168,0.4
899,402,-143,-142,NA,NA,-157,0,1,1.2,NA,NA,-163,1.8
889,404,-156,-152,-143,4.6,-168,0.9,0.3,0,-139,2.4,-172,0
879,406,-152,-146,-136,0.9,-167,0.9,0.3,1,-144,0.2,-170,0.7
869,408,-150,-151,-134,0.5,-168,1,0.7,1.1,-142,2,-174,1.1
859,410,-138,-141,NA,NA,-158,1.6,0,2.9,-136,0.7,-164,1.1
849,412,-139,-144,NA,NA,-153,0.3,0.3,0.8,-139,2.8,-161,1
839,414,-155,-155,-141,2.9,-165,1,0.6,2.2,-148,2.6,-181,4.7
828,416,-150,-151,-138,5.2,-166,1.1,2.7,1.9,-142,2.2,-169,4
818,418,-158,-162,-147,0.5,-178,0.6,0.2,0.6,-153,4,-183,2.8
808,420,-158,-159,-153,1.2,-174,1.2,0.4,0.7,-149,2.2,-180,1.6
798,422,-154,-152,NA,NA,-169,3,0.2,1.2,-142,2.9,-177,2.4
788,424,-148,-152,-134,5.8,-169,0.7,0.1,4.7,-144,0.4,-177,1
778,426,-152,-154,-147,1,-173,1.1,1.6,1.1,-146,1.6,-181,0.1
