depth (cm) [1-1],year (AD) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2]
27.15,1977.39,-4,1963.42,-4.41
27.4,1977.21,-4.21,1963.25,-4.59
27.6,1977.07,-4.02,1963.08,-4.56
27.8,1976.92,-4.1,1962.92,-4.08
27.95,1976.82,-3.99,1962.75,-3.85
28.1,1976.71,-3.81,1962.58,-3.8
28.3,1976.61,-3.92,1962.42,-4.18
28.5,1976.52,-3.87,1962.25,-4.23
28.7,1976.43,-4.14,1962.08,-4.22
29.1,1976.24,-4.13,1961.92,-3.99
29.3,1976.15,-4.49,1961.75,-3.72
29.55,1976.03,-4.26,1961.58,-3.8
29.75,1975.94,-4.03,1961.42,-4.08
30,1975.82,-4.03,1961.25,-4.25
30.25,1975.71,-3.81,1961.08,-4.2
30.5,1975.58,-3.84,1960.92,-3.9
30.7,1975.48,-4.13,1960.75,-3.6
30.9,1975.38,-4.36,1960.58,-3.78
31.1,1975.28,-4.17,1960.42,-3.99
31.3,1975.18,-4.22,1960.25,-3.8
31.5,1975.08,-3.99,1960.08,-3.74
31.7,1974.98,-3.82,1959.92,-3.71
31.9,1974.88,-3.77,1959.75,-3.63
32.1,1974.78,-3.85,1959.58,-3.92
32.25,1974.71,-3.73,1959.42,-3.79
32.45,1974.57,-4.2,1959.25,-4.3
32.6,1974.47,-4.21,1959.08,-4.31
32.8,1974.34,-4.36,1958.92,-3.98
33,1974.21,-4.17,1958.75,-3.61
33.15,1974.11,-3.99,1958.58,-3.87
33.35,1973.97,-3.81,1958.42,-3.97
33.55,1973.84,-3.78,1958.25,-4.09
33.75,1973.71,-3.75,1958.08,-4.34
33.95,1973.59,-3.91,1957.92,-4.08
34.15,1973.47,-3.94,1957.75,-3.73
34.4,1973.31,-4.05,1957.58,-3.84
34.6,1973.19,-4.03,1957.42,-4.14
34.8,1973.07,-4.14,1957.25,-4.03
35,1972.95,-3.95,1957.08,-4.18
35.2,1972.83,-3.87,1956.92,-3.83
35.4,1972.71,-3.77,1956.75,-3.4
35.6,1972.59,-3.83,1956.58,-3.62
35.7,1972.53,-3.94,1956.42,-3.97
35.9,1972.41,-4.24,1956.25,-4.15
36.1,1972.3,-4.29,1956.08,-4.06
36.2,1972.24,-4.19,1955.92,-3.66
36.4,1972.12,-4,1955.75,-3.54
36.7,1971.94,-4.12,1955.58,-3.88
36.9,1971.83,-3.7,1955.42,-4.2
37.1,1971.71,-3.69,1955.25,-4.2
37.4,1971.51,-3.87,1955.08,-3.98
37.7,1971.32,-3.85,1954.92,-3.73
37.95,1971.16,-3.99,1954.75,-3.62
38.2,1971,-4.18,1954.58,-3.74
38.4,1970.87,-3.72,1954.42,-3.81
38.65,1970.71,-3.59,1954.25,-3.92
38.9,1970.55,-3.61,1954.08,-3.96
39.05,1970.45,-3.77,1953.92,-3.62
39.25,1970.32,-4.03,1953.75,-3.59
39.5,1970.16,-4.17,1953.58,-3.69
39.75,1970,-4.27,1953.42,-3.97
40,1969.84,-3.97,1953.25,-4
40.2,1969.71,-3.68,1953.08,-4
40.45,1969.57,-3.74,1952.92,-3.96
40.65,1969.46,-4.07,1952.75,-3.76
40.8,1969.37,-4.04,1952.58,-3.73
41,1969.26,-4.12,1952.42,-3.95
41.15,1969.18,-4.1,1952.25,-4.28
41.35,1969.07,-4.01,1952.08,-4.18
41.55,1968.96,-3.73,1951.92,-3.89
41.75,1968.85,-3.66,1951.75,-3.52
42,1968.71,-3.5,1951.58,-3.64
42.2,1968.54,-3.57,1951.42,-3.75
42.4,1968.37,-3.85,1951.25,-4.15
42.6,1968.21,-4.13,1951.08,-3.99
42.85,1968,-4.03,1950.92,-3.79
43,1967.87,-3.86,1950.75,-3.72
43.2,1967.71,-3.59,1950.58,-3.77
43.4,1967.57,-3.7,1950.42,-3.96
43.6,1967.44,-4.04,1950.25,-4.05
43.8,1967.31,-4.11,1950.08,-4.02
44,1967.17,-4.07,1949.92,-3.89
44.2,1967.04,-4.22,1949.75,-3.71
44.35,1966.94,-4.2,1949.58,-4.14
44.5,1966.84,-4.04,1949.42,-4.1
44.7,1966.71,-3.54,1949.25,-4.27
44.9,1966.59,-3.65,1949.08,-3.99
45.1,1966.47,-4.02,1948.92,-3.72
45.35,1966.31,-4.03,1948.75,-3.68
45.65,1966.13,-4.07,1948.58,-4.08
45.9,1965.98,-4.05,1948.42,-4.24
46.15,1965.83,-3.78,1948.25,-4.2
46.35,1965.71,-3.59,1948.08,-4.07
46.55,1965.58,-4.08,1947.92,-4.09
46.75,1965.46,-4,1947.75,-3.76
47,1965.3,-4.56,1947.58,-3.69
47.2,1965.18,-4.18,1947.42,-3.87
47.4,1965.05,-4.42,1947.25,-4.11
47.55,1964.96,-4.15,1947.08,-4.12
47.75,1964.83,-3.63,1946.92,-3.99
47.95,1964.71,-3.59,1946.75,-3.7
48.2,1964.57,-3.83,1946.58,-3.63
48.35,1964.48,-3.81,1946.42,-4.11
48.55,1964.37,-3.85,1946.25,-4.16
48.7,1964.28,-3.89,1946.08,-4.02
48.9,1964.17,-3.87,1945.92,-3.92
49.1,1964.05,-4.08,1945.75,-3.7
49.3,1963.94,-3.94,1945.58,-3.85
49.5,1963.82,-3.91,1945.42,-4.23
49.7,1963.71,-3.83,1945.25,-4.23
49.95,1963.54,-4.09,1945.08,-4.02
50.15,1963.41,-4.43,1944.92,-3.87
50.35,1963.27,-4.58,1944.75,-3.7
50.6,1963.11,-4.66,1944.58,-3.69
50.8,1962.97,-4.12,1944.42,-3.77
51,1962.84,-4.02,1944.25,-3.86
51.2,1962.71,-3.76,1944.08,-3.93
51.5,1962.55,-3.81,1943.92,-3.98
51.7,1962.44,-4.17,1943.75,-3.78
52.1,1962.23,-4.23,1943.58,-3.82
52.35,1962.1,-4.24,1943.42,-3.94
52.55,1962,-4.15,1943.25,-4.3
52.75,1961.89,-3.94,1943.08,-4.16
52.95,1961.79,-3.79,1942.92,-3.93
53.1,1961.71,-3.66,1942.75,-3.7
53.3,1961.58,-3.8,1942.58,-3.81
53.5,1961.46,-4.05,1942.42,-4
53.75,1961.3,-4.14,1942.25,-4.13
53.95,1961.18,-4.39,1942.08,-3.98
54.2,1961.02,-4.07,1941.92,-3.57
54.4,1960.9,-3.87,1941.75,-3.57
54.7,1960.71,-3.52,1941.58,-3.91
54.9,1960.58,-3.79,1941.42,-4.06
55.1,1960.45,-4.02,1941.25,-3.87
55.3,1960.32,-3.9,1941.08,-3.94
55.5,1960.19,-3.72,1940.92,-3.85
55.7,1960.06,-3.75,1940.75,-3.49
55.9,1959.93,-3.72,1940.58,-3.64
56.1,1959.8,-3.64,1940.42,-3.91
56.25,1959.71,-3.62,1940.25,-3.98
56.45,1959.59,-3.93,1940.08,-4.12
56.75,1959.41,-3.79,1939.92,-4.03
56.95,1959.3,-4.07,1939.75,-3.52
57.15,1959.18,-4.65,1939.58,-3.88
57.4,1959.03,-4.12,1939.42,-4.15
57.6,1958.91,-3.98,1939.25,-4.21
57.85,1958.77,-3.61,1939.08,-4.1
57.95,1958.71,-3.59,1938.92,-3.93
58.15,1958.54,-3.96,1938.75,-3.61
58.35,1958.37,-3.97,1938.58,-3.63
58.55,1958.21,-4.12,1938.42,-4.04
58.75,1958.04,-4.41,1938.25,-4.07
58.95,1957.87,-3.97,1938.08,-4.03
59.15,1957.71,-3.65,1937.92,-3.67
59.35,1957.61,-3.79,1937.75,-3.51
59.65,1957.45,-4.17,1937.58,-3.71
59.85,1957.35,-4.07,1937.42,-4.02
60.15,1957.2,-4.01,1937.25,-3.9
60.35,1957.09,-4.2,1937.08,-3.78
60.65,1956.94,-3.91,1936.92,-3.73
60.9,1956.81,-3.48,1936.75,-3.69
61.1,1956.71,-3.35,1936.58,-3.76
61.3,1956.58,-3.63,1936.42,-3.93
61.5,1956.45,-3.92,1936.25,-4.09
61.75,1956.29,-4.17,1936.08,-4.12
61.9,1956.19,-4.13,1935.92,-3.98
62.1,1956.06,-4.05,1935.75,-3.72
62.3,1955.93,-3.66,1935.58,-3.89
62.45,1955.84,-3.64,1935.42,-3.98
62.65,1955.71,-3.49,1935.25,-3.89
62.8,1955.61,-3.81,1935.08,-3.97
63,1955.48,-4.13,1934.92,-3.9
63.2,1955.35,-4.27,1934.75,-3.63
63.4,1955.22,-4.18,1934.58,-3.65
63.7,1955.03,-3.91,1934.42,-4.38
63.95,1954.87,-3.65,1934.25,-4.67
64.2,1954.71,-3.6,1934.08,-4.35
64.4,1954.53,-3.79,1933.92,-4.08
64.65,1954.32,-3.82,1933.75,-3.4
64.85,1954.14,-4.08,1933.58,-3.69
65.1,1953.93,-3.62,1933.42,-3.97
65.35,1953.71,-3.59,1933.25,-4
65.55,1953.54,-3.72,1933.08,-4.13
65.75,1953.37,-4.06,1932.92,-3.83
65.95,1953.21,-3.99,1932.75,-3.57
66.15,1953.04,-4.01,1932.58,-3.87
66.35,1952.87,-3.94,1932.42,-4
66.55,1952.71,-3.7,1932.25,-4.39
66.7,1952.61,-3.73,1932.08,-4.21
66.9,1952.49,-3.73,1931.92,-3.78
67.05,1952.4,-4.02,1931.75,-3.64
67.3,1952.24,-4.3,1931.58,-3.99
67.5,1952.11,-4.16,1931.42,-3.91
67.65,1952.02,-4.21,1931.25,-3.92
67.9,1951.86,-3.72,1931.08,-3.74
68.15,1951.71,-3.44,1930.92,-3.72
68.4,1951.54,-3.7,1930.75,-3.65
68.6,1951.41,-3.75,1930.58,-3.69
68.85,1951.24,-4.18,1930.42,-3.9
69.15,1951.04,-3.94,1930.25,-4.13
69.4,1950.87,-3.73,1930.08,-4.16
69.65,1950.71,-3.71,1929.92,-3.94
69.85,1950.61,-3.77,1929.75,-3.71
70.05,1950.5,-3.78,1929.58,-3.98
70.25,1950.4,-4,1929.42,-4.13
70.45,1950.3,-4.05,1929.25,-4
70.7,1950.17,-4.05,1929.08,-3.94
70.95,1950.04,-4.01,1928.92,-3.76
71.2,1949.91,-3.89,1928.75,-3.58
71.4,1949.81,-3.76,1928.58,-3.84
71.6,1949.71,-3.69,1928.42,-3.84
71.75,1949.62,-4.14,1928.25,-4.09
72.15,1949.39,-4.09,1928.08,-4.17
72.4,1949.25,-4.27,1927.92,-3.97
72.6,1949.14,-4.25,1927.75,-3.7
72.75,1949.05,-3.83,1927.58,-3.85
73.05,1948.88,-3.69,1927.42,-4.22
73.35,1948.71,-3.67,1927.25,-4.2
73.55,1948.57,-4.14,1927.08,-3.96
73.75,1948.42,-4.24,1926.92,-3.9
73.95,1948.28,-4.23,1926.75,-3.61
74.2,1948.1,-4.04,1926.58,-3.73
74.35,1947.99,-4.21,1926.42,-3.85
74.55,1947.85,-3.99,1926.25,-3.93
74.75,1947.71,-3.67,1926.08,-4
75.05,1947.52,-3.69,1925.92,-3.81
75.25,1947.4,-3.91,1925.75,-3.67
75.5,1947.24,-4.13,1925.58,-3.63
75.75,1947.08,-4.12,1925.42,-3.72
75.95,1946.96,-4.06,1925.25,-3.95
76.15,1946.83,-3.85,1925.08,-4.06
76.35,1946.71,-3.62,1924.92,-3.96
76.55,1946.59,-3.62,1924.75,-3.6
76.85,1946.41,-4.14,1924.58,-3.61
77.15,1946.22,-4.16,1924.42,-3.78
77.3,1946.13,-3.99,1924.25,-3.95
77.45,1946.04,-4.04,1924.08,-4.19
77.6,1945.95,-3.97,1923.92,-3.87
77.8,1945.83,-3.79,1923.75,-3.68
78,1945.71,-3.65,1923.58,-3.68
78.15,1945.61,-3.77,1923.42,-3.64
78.35,1945.48,-4.13,1923.25,-4.27
78.55,1945.35,-4.33,1923.08,-4.01
78.75,1945.22,-4.2,1922.92,-3.61
78.95,1945.1,-4.03,1922.75,-3.48
79.15,1944.97,-3.9,1922.58,-3.7
79.35,1944.84,-3.82,1922.42,-3.96
79.55,1944.71,-3.64,1922.25,-4.06
79.75,1944.53,-3.72,1922.08,-4.22
80.15,1944.16,-3.91,1921.92,-4.18
80.45,1943.89,-3.99,1921.75,-3.94
80.65,1943.71,-3.71,1921.58,-4.19
80.85,1943.6,-3.8,1921.42,-4.38
81.35,1943.34,-3.99,1921.25,-4.3
81.5,1943.26,-4.31,1921.08,-4.16
81.75,1943.13,-4.22,1920.92,-4.04
82.05,1942.97,-4.01,1920.75,-3.71
82.3,1942.84,-3.82,1920.58,-4.17
82.55,1942.71,-3.64,1920.42,-4.3
82.75,1942.62,-3.75,1920.25,-4.09
83,1942.51,-3.93,1920.08,-4.11
83.3,1942.38,-4.03,1919.92,-3.88
83.5,1942.29,-4.11,1919.75,-3.7
83.5,1942.29,-4.05,1919.58,-3.93
83.7,1942.21,-4.14,1919.42,-3.99
83.85,1942.14,-3.96,1919.25,-3.97
84.15,1942.01,-4,1919.08,-3.87
84.35,1941.93,-3.56,1918.92,-3.78
84.65,1941.79,-3.67,1918.75,-3.75
84.85,1941.71,-3.48,1918.58,-3.83
85.05,1941.55,-4.01,1918.42,-4.24
85.25,1941.4,-4.07,1918.25,-4.37
85.45,1941.25,-3.87,1918.08,-4.28
85.75,1941.02,-3.96,1917.92,-4.13
85.95,1940.86,-3.78,1917.75,-3.69
86.15,1940.71,-3.38,1917.58,-3.82
86.45,1940.53,-3.76,1917.42,-3.92
86.65,1940.41,-3.93,1917.25,-4.06
86.8,1940.31,-3.98,1917.08,-4.07
87,1940.19,-3.97,1916.92,-3.65
87.2,1940.07,-4.14,1916.75,-3.6
87.4,1939.95,-4.15,1916.58,-3.95
87.65,1939.8,-3.62,1916.42,-4.02
87.8,1939.71,-3.43,1916.25,-3.85
87.95,1939.63,-3.59,1916.08,-4.02
88.05,1939.57,-3.95,1915.92,-4.07
88.3,1939.44,-4.14,1915.75,-3.8
88.55,1939.3,-4.23,1915.58,-3.9
88.8,1939.17,-4.16,1915.42,-4.02
89,1939.06,-4.08,1915.25,-4.23
89.2,1938.95,-4.02,1915.08,-4.22
89.4,1938.84,-3.74,1914.92,-3.61
89.65,1938.71,-3.55,1914.75,-3.4
89.85,1938.58,-3.63,1914.58,-3.61
90.05,1938.46,-4.02,1914.42,-4.08
90.3,1938.3,-4.08,1914.25,-3.86
90.5,1938.18,-4.06,1914.08,-3.88
90.7,1938.05,-4.02,1913.92,-3.68
90.85,1937.96,-3.74,1913.75,-3.52
91.05,1937.83,-3.53,1913.58,-3.9
91.25,1937.71,-3.5,1913.42,-3.97
91.45,1937.59,-3.7,1913.25,-3.76
91.7,1937.44,-4.02,1913.08,-3.9
91.85,1937.34,-4.04,1912.92,-4.08
92.1,1937.19,-3.81,1912.75,-3.67
92.35,1937.04,-3.77,1912.58,-3.65
92.7,1936.83,-3.7,1912.42,-3.92
92.9,1936.71,-3.69,1912.25,-3.99
93.15,1936.52,-3.8,1912.08,-3.93
93.4,1936.32,-4.05,1911.92,-3.86
93.65,1936.13,-4.14,1911.75,-3.64
93.85,1935.98,-4.08,1911.58,-3.78
94.2,1935.71,-3.65,1911.42,-3.93
94.45,1935.51,-4.04,1911.25,-4.06
94.75,1935.27,-3.88,1911.08,-4.26
95.05,1935.03,-3.99,1910.92,-4.06
95.25,1934.87,-3.85,1910.75,-3.61
95.45,1934.71,-3.55,1910.58,-3.66
95.7,1934.57,-3.66,1910.42,-3.93
95.85,1934.49,-3.95,1910.25,-4.23
96.05,1934.38,-4.57,1910.08,-4.3
96.3,1934.25,-4.67,1909.92,-3.98
96.5,1934.14,-4.46,1909.75,-3.64
96.75,1934.01,-4.21,1909.58,-4.02
97,1933.87,-4.02,1909.42,-4.15
97.1,1933.82,-3.56,1909.25,-4.15
97.3,1933.71,-3.3,1909.08,-4.29
97.45,1933.62,-3.55,1908.92,-4.22
97.65,1933.51,-3.95,1908.75,-3.73
98.25,1933.17,-4.02,1908.58,-3.76
98.45,1933.05,-4.18,1908.42,-3.87
98.65,1932.94,-3.87,1908.25,-3.88
98.85,1932.82,-3.63,1908.08,-3.77
99.05,1932.71,-3.53,1907.92,-3.71
99.25,1932.61,-3.82,1907.75,-3.68
99.35,1932.56,-3.92,1907.58,-4
99.6,1932.43,-4.03,1907.42,-4.3
99.8,1932.33,-3.83,1907.25,-4.1
99.95,1932.26,-4.4,1907.08,-3.99
100.1,1932.18,-4.3,1906.92,-3.71
100.3,1932.08,-4.21,1906.75,-3.46
100.6,1931.93,-3.8,1906.58,-3.59
100.85,1931.81,-3.64,1906.42,-4.03
101.05,1931.71,-3.64,1906.25,-3.89
101.2,1931.59,-3.99,1906.08,-4.33
101.4,1931.44,-3.91,1905.92,-3.78
101.65,1931.25,-3.92,1905.75,-3.47
101.85,1931.09,-3.74,1905.58,-3.71
102.1,1930.9,-3.72,1905.42,-3.89
102.35,1930.71,-3.63,1905.25,-3.87
102.6,1930.5,-3.73,1905.08,-3.87
102.8,1930.33,-4.07,1904.92,-4.07
103.05,1930.12,-4.22,1904.75,-3.6
103.55,1929.71,-3.65,1904.58,-3.75
103.75,1929.55,-4.07,1904.42,-3.91
103.95,1929.39,-4.14,1904.25,-4.1
104.15,1929.23,-3.97,1904.08,-3.92
104.3,1929.11,-3.97,1903.92,-3.64
104.8,1928.71,-3.54,1903.75,-3.54
104.95,1928.62,-3.84,1903.58,-3.72
105.25,1928.45,-3.84,1903.42,-3.81
105.45,1928.34,-3.84,1903.25,-3.76
105.65,1928.22,-4.17,1903.08,-3.75
105.85,1928.11,-4.19,1902.92,-3.66
106.1,1927.97,-4.1,1902.75,-3.8
106.3,1927.85,-3.79,1902.58,-3.86
106.55,1927.71,-3.66,1902.42,-3.96
106.8,1927.55,-3.91,1902.25,-4.04
107,1927.42,-4.22,1902.08,-3.99
107.25,1927.26,-4.21,1901.92,-3.86
107.5,1927.1,-3.95,1901.75,-3.7
107.7,1926.97,-3.99,1901.58,-3.84
108.1,1926.71,-3.53,1901.42,-3.9
108.3,1926.6,-3.7,1901.25,-4.1
108.5,1926.49,-3.85,1901.08,-4.12
108.75,1926.36,-3.85,1900.92,-4.06
109,1926.22,-3.96,1900.75,-3.61
109.2,1926.11,-4.06,1900.58,-3.81
109.45,1925.98,-3.76,1900.42,-4.12
109.7,1925.84,-3.87,1900.25,-4.1
109.95,1925.71,-3.58,1900.08,-4.13
110.2,1925.43,-3.7,1899.92,-3.78
110.45,1925.15,-4.08,1899.75,-3.75
110.65,1924.93,-3.99,1899.58,-3.94
110.85,1924.71,-3.51,1899.42,-4.25
111.1,1924.55,-3.63,1899.25,-4.06
111.3,1924.42,-3.78,1899.08,-3.91
111.5,1924.29,-3.84,1898.92,-3.79
111.75,1924.13,-4.29,1898.75,-3.69
112,1923.97,-3.91,1898.58,-3.82
112.2,1923.84,-3.81,1898.42,-3.97
112.4,1923.71,-3.61,1898.25,-4.09
112.6,1923.58,-3.69,1898.08,-3.96
112.85,1923.42,-3.64,1897.92,-3.73
113.1,1923.26,-4.27,1897.75,-3.5
113.3,1923.13,-4.21,1897.58,-3.73
113.5,1923,-3.64,1897.42,-3.75
113.7,1922.87,-3.59,1897.25,-3.88
113.95,1922.71,-3.45,1897.08,-3.87
114.2,1922.52,-3.83,1896.92,-3.89
