year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],Sr_Ca (mmol/mol) [2-1]
1540.21,-3.08,1539.79,NA
1540.12,-3.14,1539.71,NA
1540.04,-3.24,1539.62,NA
1539.96,-3.17,1539.54,NA
1539.87,-3.4,1539.46,NA
1539.79,-3.6,1539.37,NA
1539.71,-3.81,1539.29,NA
1539.62,-3.81,1539.21,NA
1539.54,-3.66,1539.12,NA
1539.46,-3.59,1539.04,NA
1539.37,-3.47,1538.96,NA
1539.29,-3.25,1538.87,NA
1539.21,-3.2,1538.79,NA
1539.12,-3.3,1538.71,NA
1539.04,-3.42,1538.62,NA
1538.96,-3.56,1538.54,NA
1538.87,-3.7,1538.46,NA
1538.79,-3.66,1538.37,NA
1538.71,-3.64,1538.29,NA
1538.62,-3.48,1538.21,NA
1538.54,-3.32,1538.12,NA
1538.46,-3.2,1538.04,NA
1538.37,-3.21,1537.96,NA
1538.29,-3.23,1537.87,NA
1538.21,-3.13,1537.79,NA
1538.12,-3.58,1537.71,NA
1538.04,-3.76,1537.62,NA
1537.96,-3.92,1537.54,NA
1537.87,-4.04,1537.46,NA
1537.79,-3.83,1537.37,NA
1537.71,-4.13,1537.29,NA
1537.62,-3.93,1537.21,NA
1537.54,-3.77,1537.12,NA
1537.46,-3.24,1537.04,NA
1537.37,-3.34,1536.96,NA
1537.29,-3.23,1536.87,NA
1537.21,-2.95,1536.79,NA
1537.12,-3.07,1536.71,NA
1537.04,-3.18,1536.62,NA
1536.96,-3.11,1536.54,NA
1536.87,-3.28,1536.46,NA
1536.79,-3.57,1536.37,NA
1536.71,-3.66,1536.29,NA
1536.62,-3.7,1536.21,NA
1536.54,-3.61,1536.12,NA
1536.46,-3.63,1536.04,NA
1536.37,-3.56,1535.96,NA
1536.29,-3.49,1535.87,NA
1536.21,-3.22,1535.79,NA
1536.12,-3.26,1535.71,NA
1536.04,-3.31,1535.62,NA
1535.96,-3.5,1535.54,NA
1535.87,-3.63,1535.46,NA
1535.79,-3.84,1535.37,NA
1535.71,-3.75,1535.29,NA
1535.62,-3.66,1535.21,NA
1535.54,-3.56,1535.12,NA
1535.46,-3.34,1535.04,NA
1535.37,-3.2,1534.96,NA
1535.29,-3.22,1534.87,NA
1535.21,-3.03,1534.79,NA
1535.12,-3.14,1534.71,NA
1535.04,-3.24,1534.62,NA
1534.96,-3.65,1534.54,NA
1534.87,-3.84,1534.46,NA
1534.79,-3.93,1534.37,NA
1534.71,-3.94,1534.29,NA
1534.62,-3.83,1534.21,NA
1534.54,-3.63,1534.12,NA
1534.46,-3.47,1534.04,NA
1534.37,-3.13,1533.96,NA
1534.29,-2.95,1533.87,NA
1534.21,-2.53,1533.79,NA
1534.12,-3.03,1533.71,NA
1534.04,-3.21,1533.62,NA
1533.96,-3.42,1533.54,NA
1533.87,-3.3,1533.46,NA
1533.79,-3.57,1533.37,NA
1533.71,-3.58,1533.29,NA
1533.62,-3.57,1533.21,NA
1533.54,-3.62,1533.12,NA
1533.46,-3.44,1533.04,NA
1533.37,-3.17,1532.96,NA
1533.29,-3.3,1532.87,NA
1533.21,-2.97,1532.79,NA
1533.12,-3.1,1532.71,NA
1533.04,-3.25,1532.62,NA
1532.96,-3.3,1532.54,NA
1532.87,-3.45,1532.46,NA
1532.79,-3.67,1532.37,NA
1532.71,-3.8,1532.29,NA
1532.62,-3.64,1532.21,NA
1532.54,-3.68,1532.12,NA
1532.46,-3.63,1532.04,NA
1532.37,-3.51,1531.96,NA
1532.29,-3.26,1531.87,9.04
1532.21,-3.18,1531.79,9.01
1532.12,-3.25,1531.71,8.98
1532.04,-3.44,1531.62,9.12
1531.96,-3.65,1531.54,9.12
1531.87,-3.9,1531.46,9.24
1531.79,-3.84,1531.37,9.26
1531.71,-3.86,1531.29,9.24
1531.62,-3.57,1531.21,9.23
1531.54,-3.49,1531.12,9.25
1531.46,-3.3,1531.04,9.18
1531.37,-3.06,1530.96,9.12
1531.29,-3.01,1530.87,9.12
1531.21,-2.97,1530.79,9.05
1531.12,-3.19,1530.71,9.08
1531.04,-3.29,1530.62,9.08
1530.96,-3.75,1530.54,9.14
1530.87,-3.7,1530.46,9.16
1530.79,-3.85,1530.37,9.14
1530.71,-3.7,1530.29,9.11
1530.62,-3.59,1530.21,9.18
1530.54,-3.62,1530.12,9.13
1530.46,-3.71,1530.04,9.15
1530.37,-3.6,1529.96,9.2
1530.29,-3.45,1529.87,9.07
1530.21,-3.29,1529.79,9.02
1530.12,-3.5,1529.71,8.94
1530.04,-3.41,1529.62,8.91
1529.96,-3.43,1529.54,8.92
1529.87,-3.39,1529.46,9.03
1529.79,-3.61,1529.37,9.04
1529.71,-3.94,1529.29,9.13
1529.62,-3.95,1529.21,9.18
1529.54,-3.66,1529.12,9.26
1529.46,-3.9,1529.04,9.28
1529.37,-3.62,1528.96,9.15
1529.29,-3.33,1528.87,9.03
1529.21,-2.94,1528.79,8.99
1529.12,-3.14,1528.71,8.94
1529.04,-3.18,NA,NA
1528.96,-3.25,NA,NA
1528.87,-3.72,NA,NA
1528.79,-3.92,NA,NA
1528.71,-3.95,NA,NA
1528.62,-3.92,NA,NA
1528.54,-3.9,NA,NA
1528.46,-3.52,NA,NA
1528.37,-3.23,NA,NA
1528.29,-3.23,NA,NA
1528.21,-3.21,NA,NA
1528.12,-3.49,NA,NA
1528.04,-3.73,NA,NA
1527.96,-3.68,NA,NA
1527.87,-3.71,NA,NA
1527.79,-3.65,NA,NA
1527.71,-3.62,NA,NA
1527.62,-3.56,NA,NA
1527.54,-3.32,NA,NA
1527.46,-3.12,NA,NA
1527.37,-3.03,NA,NA
1527.29,-2.95,NA,NA
1527.21,-2.88,NA,NA
1527.12,-3.27,NA,NA
1527.04,-3.47,NA,NA
1526.96,-3.83,NA,NA
1526.87,-3.92,NA,NA
1526.79,-4.1,NA,NA
1526.71,-3.99,NA,NA
1526.62,-3.91,NA,NA
1526.54,-3.83,NA,NA
1526.46,-3.49,NA,NA
1526.37,-3.22,NA,NA
1526.29,-3.21,NA,NA
1526.21,-3.14,NA,NA
1526.12,-3.21,NA,NA
1526.04,-3.26,NA,NA
1525.96,-3.26,NA,NA
1525.87,-3.51,NA,NA
1525.79,-3.69,NA,NA
1525.71,-3.88,NA,NA
1525.62,-3.84,NA,NA
1525.54,-3.86,NA,NA
1525.46,-3.69,NA,NA
1525.37,-3.5,NA,NA
1525.29,-3.31,NA,NA
1525.21,-3.16,NA,NA
1525.12,-3.34,NA,NA
1525.04,-3.38,NA,NA
1524.96,-3.88,NA,NA
1524.87,-4.14,NA,NA
1524.79,-4.05,NA,NA
1524.71,-4.03,NA,NA
1524.62,-3.84,NA,NA
1524.54,-3.8,NA,NA
1524.46,-3.53,NA,NA
1524.38,-3.32,NA,NA
1524.29,-3.16,NA,NA
1524.21,-3.04,NA,NA
1524.13,-3.22,NA,NA
1524.04,-3.51,NA,NA
1523.96,-3.61,NA,NA
1523.88,-3.87,NA,NA
1523.79,-3.92,NA,NA
1523.71,-4.2,NA,NA
1523.63,-4.06,NA,NA
1523.54,-3.79,NA,NA
1523.46,-3.53,NA,NA
1523.38,-3.44,NA,NA
1523.29,-3.3,NA,NA
1523.21,-3.2,NA,NA
1523.13,-3.35,NA,NA
1523.04,-3.68,NA,NA
1522.96,-3.78,NA,NA
1522.88,-3.86,NA,NA
1522.79,-3.96,NA,NA
1522.71,-3.96,NA,NA
1522.63,-4.05,NA,NA
1522.54,-3.93,NA,NA
1522.46,-3.8,NA,NA
1522.38,-3.63,NA,NA
1522.29,-3.52,NA,NA
1522.21,-3.18,NA,NA
1522.13,-3.24,NA,NA
1522.04,-3.32,NA,NA
1521.96,-3.35,NA,NA
1521.88,-3.8,NA,NA
1521.79,-4.07,NA,NA
1521.71,-4.13,NA,NA
1521.63,-4.15,NA,NA
1521.54,-3.93,NA,NA
1521.46,-3.78,NA,NA
1521.38,-3.56,NA,NA
1521.29,-3.36,NA,NA
1521.21,-3.25,NA,NA
1521.13,-3.62,NA,NA
1521.04,-3.8,NA,NA
1520.96,-4.07,NA,NA
1520.88,-4.17,NA,NA
1520.79,-4.18,NA,NA
1520.71,-4.14,NA,NA
1520.63,-4.02,NA,NA
1520.54,-3.94,NA,NA
1520.46,-3.57,NA,NA
1520.38,-3.4,NA,NA
1520.29,-3.33,NA,NA
1520.21,-3.29,NA,NA
1520.13,-3.43,NA,NA
1520.04,-3.57,NA,NA
1519.96,-3.92,NA,NA
1519.88,-4.03,NA,NA
1519.79,-4.16,NA,NA
1519.71,-4.24,NA,NA
1519.63,-4.08,NA,NA
1519.54,-3.97,NA,NA
1519.46,-3.7,NA,NA
1519.38,-3.27,NA,NA
1519.29,-3.25,NA,NA
1519.21,-3.15,NA,NA
