year (AD) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],depthice (m) [1-2],depthwe (m) [1-2]
1684,-37.4,1684,-37.4,54.19,32.88
1683,-36.7,1683,-36.7,54.32,32.99
1682,-37.2,1682,-37.2,54.45,33.09
1681,-38.1,1681,-38.1,54.58,33.19
1680,-38.1,1680,-38.1,54.71,33.3
1679,-38.1,1679,-38.1,54.84,33.4
1678,-37.4,1678,-37.4,54.97,33.5
1677,-36,1677,-36,55.1,33.61
1676,-36.3,1676,-36.3,55.23,33.71
1675,-37.3,1675,-37.3,55.36,33.82
1674,-38.1,1674,-38.1,55.49,33.92
1673,-38.5,1673,-38.5,55.62,34.02
1672,-38.3,1672,-38.3,55.74,34.13
1671,-37.7,1671,-37.7,55.87,34.23
1670,-37.4,1670,-37.4,56.01,34.33
1669,-37,1669,-37,56.14,34.44
1668,-36.5,1668,-36.5,56.27,34.54
1667,-35.9,1667,-35.9,56.39,34.65
1666,-34.9,1666,-34.9,56.56,34.75
1665,-34.9,1665,-34.9,56.69,34.85
1664,-35.4,1664,-35.4,56.83,34.96
1663,-35.4,1663,-35.4,56.95,35.06
1662,-35.4,1662,-35.4,57.05,35.17
1661,-36.3,1661,-36.3,57.18,35.27
1660,-37.6,1660,-37.6,57.31,35.38
1659,-38.2,1659,-38.2,57.44,35.48
1658,-38.1,1658,-38.1,57.57,35.59
1657,-37.1,1657,-37.1,57.7,35.69
1656,-35.9,1656,-35.9,57.81,35.8
1655,-36.1,1655,-36.1,57.96,35.9
1654,-37.4,1654,-37.4,58.09,36.01
1653,-38.1,1653,-38.1,58.22,36.11
1652,-38.7,1652,-38.7,58.35,36.22
1651,-39.5,1651,-39.5,58.46,36.32
1650,-39.4,1650,-39.4,58.61,36.43
1649,-37.6,1649,-37.6,58.74,36.53
1648,-36.5,1648,-36.5,58.87,36.64
1647,-37.3,1647,-37.3,59.07,36.74
1646,-38,1646,-38,59.2,36.85
1645,-38.1,1645,-38.1,59.33,36.95
1644,-37.7,1644,-37.7,59.46,37.06
1643,-37.5,1643,-37.5,59.59,37.16
1642,-38.3,1642,-38.3,59.72,37.27
1641,-39,1641,-39,59.85,37.38
1640,-38.6,1640,-38.6,59.98,37.48
1639,-37,1639,-37,60.11,37.59
1638,-36.3,1638,-36.3,60.24,37.69
1637,-37.3,1637,-37.3,60.37,37.8
1636,-37.3,1636,-37.3,60.5,37.9
1635,-37.3,1635,-37.3,60.59,38.01
1634,-38,1634,-38,60.72,38.12
1633,-36.3,1633,-36.3,60.85,38.22
1632,-33.9,1632,-33.9,61.02,38.33
1631,-34.2,1631,-34.2,61.15,38.44
1630,-35.5,1630,-35.5,61.28,38.54
1629,-37.3,1629,-37.3,61.41,38.65
1628,-38.5,1628,-38.5,61.53,38.75
1627,-38.1,1627,-38.1,61.67,38.86
1626,-37.8,1626,-37.8,61.8,38.97
1625,-36.2,1625,-36.2,61.92,39.07
1624,-34.2,1624,-34.2,62.05,39.18
1623,-34.3,1623,-34.3,62.18,39.28
1622,-35.4,1622,-35.4,62.31,39.39
1621,-35.6,1621,-35.6,62.44,39.5
1620,-35.4,1620,-35.4,62.57,39.6
1619,-35,1619,-35,62.7,39.71
1618,-34.8,1618,-34.8,62.83,39.82
1617,-34.8,1617,-34.8,62.95,39.92
1616,-35.5,1616,-35.5,63.09,40.03
1615,-36.4,1615,-36.4,63.22,40.13
1614,-36.4,1614,-36.4,63.35,40.24
1613,-37.2,1613,-37.2,63.47,40.35
1612,-38.1,1612,-38.1,63.6,40.45
1611,-38.1,1611,-38.1,63.72,40.56
1610,-38.3,1610,-38.3,63.86,40.66
1609,-38.1,1609,-38.1,63.99,40.77
1608,-36.9,1608,-36.9,64.12,40.88
1607,-36.9,1607,-36.9,64.25,40.98
1606,-36.6,1606,-36.6,64.38,41.09
1605,-35.5,1605,-35.5,64.5,41.2
1604,-36,1604,-36,64.63,41.3
1603,-36.6,1603,-36.6,64.76,41.41
1602,-37.4,1602,-37.4,64.89,41.51
1601,-37.8,1601,-37.8,65.02,41.62
1600,-37.2,1600,-37.2,65.14,41.73
1599,-35.4,1599,-35.4,65.27,41.83
1598,-35.2,1598,-35.2,65.4,41.93
1597,-35.4,1597,-35.4,65.52,42.04
1596,-35,1596,-35,65.65,42.14
1595,-34.6,1595,-34.6,65.78,42.25
1594,-34.3,1594,-34.3,65.9,42.35
1593,-34.7,1593,-34.7,66.03,42.46
1592,-35.8,1592,-35.8,66.16,42.56
1591,-36.2,1591,-36.2,66.28,42.67
1590,-35.2,1590,-35.2,66.41,42.77
1589,-34.9,1589,-34.9,66.53,42.88
1588,-35.7,1588,-35.7,66.66,42.98
1587,-37.6,1587,-37.6,66.79,43.09
1586,-38.2,1586,-38.2,66.91,43.19
1585,-36.1,1585,-36.1,67.04,43.3
1584,-35.4,1584,-35.4,67.17,43.4
1583,-36.6,1583,-36.6,67.29,43.51
1582,-37.2,1582,-37.2,67.42,43.61
1581,-36.7,1581,-36.7,67.54,43.72
1580,-36.6,1580,-36.6,67.67,43.82
1579,-36.8,1579,-36.8,67.8,43.93
1578,-37.3,1578,-37.3,67.92,44.03
1577,-37.4,1577,-37.4,68.05,44.14
1576,-36.5,1576,-36.5,68.17,44.24
1575,-35.3,1575,-35.3,68.3,44.35
1574,-36.4,1574,-36.4,68.43,44.45
1573,-38.3,1573,-38.3,68.55,44.56
1572,-37.3,1572,-37.3,68.68,44.66
1571,-35.7,1571,-35.7,68.8,44.77
1570,-35.7,1570,-35.7,68.93,44.87
1569,-37.3,1569,-37.3,69.05,44.98
1568,-39.3,1568,-39.3,69.18,45.08
1567,-38.8,1567,-38.8,69.31,45.19
1566,-38,1566,-38,69.43,45.29
1565,-37.4,1565,-37.4,69.56,45.4
1564,-37,1564,-37,69.68,45.5
1563,-36.2,1563,-36.2,69.81,45.61
1562,-35,1562,-35,69.93,45.71
1561,-35.1,1561,-35.1,70.06,45.82
1560,-35.8,1560,-35.8,70.18,45.92
1559,-36.3,1559,-36.3,70.31,46.03
1558,-36.6,1558,-36.6,70.43,46.13
1557,-36,1557,-36,70.56,46.24
1556,-36.4,1556,-36.4,70.68,46.34
1555,-37,1555,-37,70.81,46.45
1554,-36.8,1554,-36.8,70.93,46.55
1553,-37.3,1553,-37.3,71.06,46.66
1552,-37.6,1552,-37.6,71.18,46.76
1551,-37.2,1551,-37.2,71.31,46.87
1550,-36.3,1550,-36.3,71.43,46.97
1549,-35.9,1549,-35.9,71.57,47.08
1548,-37.2,1548,-37.2,71.69,47.18
1547,-38.5,1547,-38.5,71.82,47.29
1546,-39.4,1546,-39.4,71.94,47.39
1545,-38.9,1545,-38.9,72.07,47.5
1544,-37.1,1544,-37.1,72.19,47.6
1543,-36,1543,-36,72.32,47.71
1542,-36.4,1542,-36.4,72.44,47.81
1541,-37.3,1541,-37.3,72.56,47.92
1540,-37.2,1540,-37.2,72.69,48.02
1539,-35.7,1539,-35.7,72.81,48.13
1538,-34.3,1538,-34.3,72.94,48.23
1537,-35.6,1537,-35.6,73.1,48.34
1536,-37,1536,-37,73.22,48.44
1535,-37.5,1535,-37.5,73.35,48.55
1534,-37.7,1534,-37.7,73.47,48.65
1533,-37.1,1533,-37.1,73.6,48.76
1532,-37.5,1532,-37.5,73.72,48.86
1531,-38.8,1531,-38.8,73.84,48.97
1530,-37.6,1530,-37.6,73.97,49.07
1529,-35.9,1529,-35.9,74.09,49.18
1528,-36.2,1528,-36.2,74.22,49.28
1527,-35.8,1527,-35.8,74.34,49.39
1526,-35.1,1526,-35.1,74.47,49.49
1525,-35.1,1525,-35.1,74.59,49.6
1524,-34.9,1524,-34.9,74.71,49.7
1523,-35.4,1523,-35.4,74.84,49.81
1522,-36.8,1522,-36.8,74.96,49.91
1521,-36.8,1521,-36.8,75.09,50.02
1520,-36.1,1520,-36.1,75.21,50.12
1519,-36.1,1519,-36.1,75.33,50.23
1518,-36.9,1518,-36.9,75.46,50.33
1517,-37.9,1517,-37.9,75.58,50.44
1516,-37.9,1516,-37.9,75.7,50.54
1515,-37.9,1515,-37.9,75.83,50.65
1514,-38.2,1514,-38.2,75.95,50.75
1513,-38,1513,-38,76.07,50.86
1512,-37.5,1512,-37.5,76.2,50.96
1511,-36.2,1511,-36.2,76.32,51.07
1510,-35.8,1510,-35.8,76.44,51.17
1509,-36.8,1509,-36.8,76.58,51.28
1508,-37,1508,-37,76.7,51.38
1507,-36.3,1507,-36.3,76.83,51.49
1506,-35.8,1506,-35.8,76.95,51.59
1505,-35.4,1505,-35.4,77.07,51.7
1504,-35.2,1504,-35.2,77.2,51.8
1503,-35.1,1503,-35.1,77.32,51.91
1502,-35.1,1502,-35.1,77.44,52.01
1501,-35.7,1501,-35.7,77.57,52.12
1500,-35.9,1500,-35.9,77.69,52.22
1499,-36.1,1499,-36.1,77.81,52.33
1498,-36.3,1498,-36.3,77.94,52.43
1497,-36.1,1497,-36.1,78.08,52.53
1496,-35.8,1496,-35.8,78.21,52.64
1495,-36,1495,-36,78.33,52.74
1494,-36.3,1494,-36.3,78.45,52.85
1493,-36.3,1493,-36.3,78.58,52.95
1492,-36.9,1492,-36.9,78.7,53.06
1491,-36.8,1491,-36.8,78.82,53.16
1490,-36.4,1490,-36.4,78.94,53.27
1489,-36,1489,-36,79.08,53.37
1488,-35.5,1488,-35.5,79.2,53.48
1487,-35.7,1487,-35.7,79.33,53.58
1486,-36.6,1486,-36.6,79.45,53.69
1485,-36.4,1485,-36.4,79.57,53.79
1484,-35,1484,-35,79.69,53.9
1483,-34.2,1483,-34.2,79.82,54
1482,-35.5,1482,-35.5,79.94,54.11
1481,-38,1481,-38,80.06,54.21
1480,-39.1,1480,-39.1,80.18,54.32
1479,-38.8,1479,-38.8,80.31,54.42
1478,-37.4,1478,-37.4,80.43,54.52
1477,-36,1477,-36,80.54,54.63
1476,-35.6,1476,-35.6,80.66,54.73
1475,-37.1,1475,-37.1,80.78,54.83
1474,-38.6,1474,-38.6,80.9,54.93
1473,-38,1473,-38,81.03,55.03
1472,-37.1,1472,-37.1,81.15,55.13
1471,-36.9,1471,-36.9,81.26,55.23
1470,-37.5,1470,-37.5,81.38,55.33
1469,-38.6,1469,-38.6,81.5,55.43
1468,-39.5,1468,-39.5,81.62,55.53
1467,-38.7,1467,-38.7,81.73,55.63
1466,-37.4,1466,-37.4,81.85,55.73
1465,-37.1,1465,-37.1,81.97,55.84
1464,-37,1464,-37,82.09,55.94
1463,-36.7,1463,-36.7,82.2,56.04
1462,-36.7,1462,-36.7,82.32,56.14
1461,-36.6,1461,-36.6,82.44,56.24
1460,-37,1460,-37,82.56,56.34
1459,-38.1,1459,-38.1,82.67,56.44
1458,-38.4,1458,-38.4,82.79,56.54
1457,-38.1,1457,-38.1,82.91,56.64
1456,-37.9,1456,-37.9,83.03,56.74
1455,-36.8,1455,-36.8,83.14,56.84
1454,-35.9,1454,-35.9,83.26,56.94
1453,-35.4,1453,-35.4,83.38,57.04
1452,-35.2,1452,-35.2,83.49,57.15
1451,-35.4,1451,-35.4,83.61,57.25
1450,-36.3,1450,-36.3,83.73,57.35
1449,-36.9,1449,-36.9,83.85,57.45
1448,-36.6,1448,-36.6,83.96,57.55
1447,-36.5,1447,-36.5,84.08,57.65
1446,-36.4,1446,-36.4,84.2,57.75
1445,-36.7,1445,-36.7,84.31,57.85
1444,-37.2,1444,-37.2,84.43,57.95
1443,-37.2,1443,-37.2,84.54,58.05
1442,-36.7,1442,-36.7,84.66,58.15
1441,-36.7,1441,-36.7,84.78,58.25
1440,-37,1440,-37,84.9,58.36
1439,-36.9,1439,-36.9,85.01,58.46
1438,-37.1,1438,-37.1,85.13,58.56
1437,-37,1437,-37,85.25,58.66
1436,-38,1436,-38,85.37,58.76
1435,-39,1435,-39,85.48,58.86
1434,-36.5,1434,-36.5,85.59,58.96
1433,-33.4,1433,-33.4,85.71,59.06
1432,-33.5,1432,-33.5,85.83,59.16
1431,-34.6,1431,-34.6,85.94,59.26
1430,-34.8,1430,-34.8,86.06,59.36
1429,-35.9,1429,-35.9,86.18,59.46
1428,-36.6,1428,-36.6,86.29,59.56
1427,-37.1,1427,-37.1,86.41,59.67
1426,-36.8,1426,-36.8,86.53,59.77
1425,-35.9,1425,-35.9,86.64,59.87
1424,-35.4,1424,-35.4,86.76,59.97
1423,-35.2,1423,-35.2,86.88,60.07
1422,-35.2,1422,-35.2,86.99,60.17
1421,-34.9,1421,-34.9,87.11,60.27
1420,-33.8,1420,-33.8,87.23,60.37
1419,-32.7,1419,-32.7,87.34,60.47
1418,-32.8,1418,-32.8,87.46,60.57
1417,-34.4,1417,-34.4,87.58,60.67
1416,-35.3,1416,-35.3,87.69,60.77
1415,-35.6,1415,-35.6,87.81,60.87
1414,-35.9,1414,-35.9,87.93,60.98
1413,-35.9,1413,-35.9,88.04,61.08
1412,-36.2,1412,-36.2,88.16,61.18
1411,-36.7,1411,-36.7,88.28,61.28
1410,-36.4,1410,-36.4,88.39,61.38
1409,-35.8,1409,-35.8,88.51,61.48
1408,-36.1,1408,-36.1,88.62,61.58
1407,-36.8,1407,-36.8,88.74,61.68
1406,-36.8,1406,-36.8,88.86,61.78
1405,-36.6,1405,-36.6,88.97,61.88
