year (AD),depth (mm),d18O (permil),d13C (permil)
813,12.27,-8.582,-3.803
809,12.3,-8.609,-3.901
805,12.33,-8.566,-3.837
801,12.36,-8.575,-3.674
798,12.39,-8.598,-4.167
794,12.42,-8.644,-4.251
790,12.45,-8.607,-4.26
786,12.48,-8.565,-4.3
783,12.51,-8.626,-4.777
779,12.54,-8.667,-4.185
775,12.57,-8.695,-4.463
772,12.6,-8.702,-4.6
768,12.63,-8.565,-4.512
764,12.66,-8.626,-4.656
760,12.69,-8.606,-4.798
757,12.72,-8.565,-4.728
753,12.75,-8.661,-4.69
749,12.78,-8.538,-4.766
746,12.81,-8.695,-4.727
742,12.84,-8.592,-4.782
738,12.87,-8.688,-4.895
734,12.9,-8.63,-4.987
731,12.93,-8.775,-5.044
727,12.96,-8.682,-5.155
723,12.99,-8.719,-5.058
720,13.02,-8.621,-5.016
716,13.05,-8.933,-5.006
712,13.08,-8.614,-4.819
708,13.11,-8.617,-4.963
705,13.14,-8.635,-4.89
701,13.17,-8.54,-4.708
697,13.2,-8.71,-5.004
693,13.23,-8.594,-4.787
690,13.26,-8.653,-4.723
686,13.29,-8.619,-4.855
682,13.32,-8.623,-4.841
679,13.35,-8.549,-4.704
675,13.38,-8.735,-4.826
671,13.41,-8.556,-4.755
667,13.44,-8.548,-5.076
664,13.47,-8.546,-4.964
660,13.5,-8.721,-4.984
653,13.56,-8.706,-5.158
649,13.59,-8.793,-5.003
645,13.62,-8.657,-4.914
641,13.65,-8.641,-4.897
638,13.68,-8.672,-4.833
634,13.71,-8.715,-4.636
630,13.74,-8.675,-4.456
627,13.77,-8.76,-4.247
623,13.8,-8.619,-3.964
619,13.83,-8.654,-3.911
615,13.86,-8.589,-3.629
612,13.89,-8.548,-3.548
608,13.92,-8.652,-3.558
604,13.95,-8.822,-3.365
600,13.98,-8.554,-3.305
597,14.01,-8.58,-3.29
593,14.04,-8.504,-3.305
589,14.07,-8.601,-3.306
586,14.1,-8.523,-3.251
582,14.13,-8.59,-3.249
578,14.16,-8.359,-3.233
574,14.19,-8.505,-3.192
571,14.22,-8.314,-3.082
567,14.25,-8.393,-3.211
563,14.28,-8.451,-3.126
560,14.31,-8.421,-3.068
556,14.34,-8.379,-3.088
552,14.37,-8.351,-3.077
548,14.4,-8.396,-3.041
541,14.46,-8.399,-3.083
537,14.49,-8.425,-3.01
530,14.55,-8.326,-2.951
527,14.58,-8.353,-2.992
523,14.61,-8.421,-3.048
520,14.64,-8.455,-3.077
510,14.73,-8.402,-3.08
506,14.76,-8.498,-3.134
493,14.88,-8.433,-3.06
489,14.91,-8.389,-2.979
479,15,-8.42,-2.951
476,15.03,-8.445,-3.054
472,15.06,-8.504,-3.129
469,15.09,-8.384,-3.17
465,15.12,-8.464,-3.205
462,15.15,-8.468,-3.24
452,15.24,-8.405,-3.246
448,15.27,-8.45,-3.58
445,15.3,-8.452,-3.579
441,15.33,-8.346,-3.863
438,15.36,-8.437,-3.96
435,15.39,-8.501,-4.029
431,15.42,-8.515,-4.424
428,15.45,-8.528,-4.307
424,15.48,-8.456,-4.53
421,15.51,-8.437,-4.583
414,15.57,-8.532,-4.696
411,15.6,-8.621,-4.533
404,15.66,-8.553,-5.238
400,15.69,-8.625,-5.27
397,15.72,-8.671,-5.005
390,15.78,-8.626,-5.243
383,15.84,-8.655,-5.498
380,15.87,-8.727,-5.585
376,15.9,-8.694,-5.247
373,15.93,-8.773,-5.626
370,15.96,-8.695,-5.827
366,15.99,-8.641,-5.644
363,16.02,-8.69,-5.664
359,16.05,-8.795,-5.774
356,16.08,-8.73,-5.945
352,16.11,-8.823,-5.832
349,16.14,-8.781,-5.88
345,16.17,-8.802,-5.861
342,16.2,-8.945,-6.047
338,16.23,-8.755,-6.08
335,16.26,-8.81,-6.054
331,16.29,-8.86,-6.189
328,16.32,-8.831,-6.19
324,16.35,-8.804,-6.3
321,16.38,-8.758,-6.342
317,16.41,-8.782,-6.195
314,16.44,-8.849,-6.445
310,16.47,-8.881,-6.18
307,16.5,-8.856,-6.539
304,16.53,-8.967,-6.256
300,16.56,-8.982,-6.27
297,16.59,-8.921,-6.187
293,16.62,-9.046,-6.1
286,16.68,-9.054,-6.051
283,16.71,-8.972,-6.138
280,16.74,-8.923,-5.997
276,16.77,-9.063,-6.127
273,16.8,-9.036,-6.151
269,16.83,-9.127,-5.987
266,16.86,-9.049,-6.051
263,16.89,-9.012,-6.22
256,16.95,-8.931,-6.082
249,17.01,-8.997,-5.89
245,17.04,-9.001,-6.065
242,17.07,-9.107,-6.048
238,17.1,-9.134,-6.02
235,17.13,-9.076,-5.785
228,17.19,-9.025,-5.953
224,17.22,-9.026,-5.739
221,17.25,-8.987,-5.659
218,17.28,-9.047,-5.462
214,17.31,-9.076,-5.791
211,17.34,-9.149,-5.658
207,17.37,-9.025,-5.845
204,17.4,-8.982,-5.662
200,17.43,-8.987,-5.869
197,17.46,-9.013,-5.789
193,17.49,-9.003,-5.566
190,17.52,-9.007,-5.539
183,17.58,-9.05,-5.557
179,17.61,-9.055,-5.653
176,17.64,-8.946,-5.699
173,17.67,-9.018,-5.482
169,17.7,-8.891,-5.512
166,17.73,-8.997,-5.511
162,17.76,-8.976,-5.562
159,17.79,-8.935,-5.734
156,17.82,-8.868,-5.59
152,17.85,-8.92,-5.616
149,17.88,-8.892,-5.768
145,17.91,-8.966,-5.671
142,17.94,-8.848,-5.611
138,17.97,-8.948,-5.518
135,18,-9.072,-5.377
132,18.03,-8.951,-5.213
128,18.06,-8.845,-5.404
125,18.09,-8.679,-5.26
121,18.12,-8.907,-5.289
118,18.15,-8.747,-5.358
114,18.18,-8.874,-5.365
111,18.21,-8.735,-5.321
107,18.24,-8.715,-5.195
104,18.27,-8.762,-5.334
100,18.3,-8.764,-5.256
97,18.33,-8.815,-5.492
93,18.36,-8.881,-5.359
90,18.39,-8.758,-5.507
86,18.42,-8.86,-5.925
79,18.48,-8.793,-5.563
76,18.51,-8.848,-5.742
72,18.54,-8.854,-5.682
69,18.57,-8.817,-5.436
65,18.6,-8.825,-5.415
58,18.66,-8.815,-5.429
55,18.69,-8.839,-5.488
51,18.72,-8.803,-5.697
48,18.75,-8.929,-5.201
45,18.78,-8.88,-5.402
41,18.81,-8.93,-5.43
38,18.84,-8.831,-5.38
34,18.87,-8.94,-5.305
31,18.9,-9.101,-5.183
27,18.93,-8.895,-5.405
24,18.96,-8.838,-5.241
20,18.99,-8.787,-5.416
17,19.02,-8.737,-5.098
13,19.05,-8.856,-5.011
10,19.08,-8.88,-4.901
6,19.11,-8.744,-4.979
3,19.14,-8.832,-5.001
0,19.17,-8.762,-4.929
-4,19.2,-8.744,-4.831
-7,19.23,-8.687,-4.804
-11,19.26,-8.85,-4.723
-14,19.29,-8.762,-4.658
-17,19.32,-8.823,-4.604
-24,19.38,-8.798,-4.61
-28,19.41,-8.845,-4.507
-31,19.44,-8.83,-4.494
-35,19.47,-8.796,-4.445
-38,19.5,-8.876,-4.487
-41,19.53,-8.897,-4.624
-45,19.56,-8.814,-4.46
-48,19.59,-8.888,-4.478
-52,19.62,-8.787,-4.618
-55,19.65,-8.791,-4.517
-59,19.68,-8.829,-4.542
-62,19.71,-8.879,-4.562
-66,19.74,-8.742,-4.522
-69,19.77,-8.92,-4.488
-73,19.8,-9.067,-4.543
-76,19.83,-8.79,-4.572
-80,19.86,-8.873,-4.577
-83,19.89,-8.813,-4.621
-87,19.92,-8.889,-4.582
-90,19.95,-8.843,-4.614
-94,19.98,-8.856,-4.607
-97,20.01,-8.795,-4.616
-101,20.04,-8.855,-4.715
-104,20.07,-8.702,-4.658
-108,20.1,-8.838,-4.685
-111,20.13,-8.693,-4.701
-115,20.16,-8.818,-4.719
-118,20.19,-8.836,-4.796
-122,20.22,-8.672,-4.771
-128,20.28,-8.753,-4.869
-132,20.31,-8.765,-4.91
-135,20.34,-8.627,-4.986
-139,20.37,-8.585,-4.936
-142,20.4,-8.702,-5.016
-146,20.43,-8.593,-5.027
-149,20.46,-8.598,-5.059
-153,20.49,-8.736,-5.144
-156,20.52,-8.766,-5.15
-160,20.55,-8.663,-5.122
-163,20.58,-8.666,-5.098
-167,20.61,-8.732,-4.853
-170,20.64,-8.604,-4.976
-174,20.67,-8.715,-4.905
-177,20.7,-8.826,-4.867
-181,20.73,-8.518,-4.799
-184,20.76,-8.59,-4.824
-188,20.79,-8.59,-4.842
-191,20.82,-8.784,-4.873
-195,20.85,-8.627,-4.84
-198,20.88,-8.679,-4.82
-202,20.91,-8.674,-4.778
-205,20.94,-8.752,-4.794
-209,20.97,-8.601,-4.53
-212,21,-8.735,-4.664
-215,21.03,-8.676,-4.635
-219,21.06,-8.75,-4.465
-222,21.09,-8.641,-4.191
-226,21.12,-8.61,-4.255
-233,21.18,-8.673,-4.185
-236,21.21,-8.768,-4.176
-240,21.24,-8.747,-4.257
-243,21.27,-8.796,-4.428
-247,21.3,-8.798,-4.402
-250,21.33,-8.881,-4.385
-254,21.36,-8.674,-4.39
-257,21.39,-8.767,-4.447
-261,21.42,-8.75,-4.39
-264,21.45,-8.839,-4.45
-268,21.48,-8.777,-4.44
-271,21.51,-8.841,-4.503
-275,21.54,-8.818,-4.485
-278,21.57,-8.815,-4.386
-282,21.6,-8.883,-4.46
-285,21.63,-8.813,-4.424
-289,21.66,-8.822,-4.548
-292,21.69,-8.689,-4.471
-296,21.72,-8.827,-4.545
-299,21.75,-8.598,-4.554
-302,21.78,-8.82,-4.511
-306,21.81,-8.694,-4.436
-309,21.84,-8.63,-4.354
-313,21.87,-8.597,-4.289
-316,21.9,-8.639,-4.208
-320,21.93,-8.743,-4.283
-323,21.96,-8.918,-4.337
-327,21.99,-8.687,-4.129
-330,22.02,-8.799,-4.159
-337,22.08,-8.595,-4.347
-341,22.11,-8.715,-4.385
-344,22.14,-8.697,-4.321
-347,22.17,-8.7,-4.245
-351,22.2,-8.746,-4.296
-358,22.26,-8.709,-4.624
-361,22.29,-8.805,-4.593
-364,22.32,-8.725,-4.947
-368,22.35,-8.767,-4.87
-371,22.38,-8.705,-4.919
-375,22.41,-8.777,-4.997
-378,22.44,-8.741,-5.119
-382,22.47,-8.74,-5.012
-385,22.5,-8.876,-5.018
-388,22.53,-8.662,-4.808
-392,22.56,-8.68,-5.004
-395,22.59,-8.735,-5.094
-399,22.62,-8.714,-5.003
-402,22.65,-8.964,-5.167
-406,22.68,-8.908,-5.078
-409,22.71,-8.906,-5.115
-413,22.74,-8.94,-5.135
-416,22.77,-9,-5.128
-420,22.8,-9.038,-5.147
-423,22.83,-9.007,-5.147
-427,22.86,-9.147,-5.165
-430,22.89,-9,-5.181
-434,22.92,-9.032,-5.086
-441,22.98,-8.904,-4.919
-444,23.01,-9.013,-4.705
-447,23.04,-8.97,-4.799
-449,23.07,-8.886,-4.811
-452,23.1,-8.883,-4.662
-455,23.13,-9.011,-4.576
-458,23.16,-9.092,-4.53
-460,23.19,-8.855,-4.566
-463,23.22,-8.841,-4.535
-466,23.25,-8.835,-4.519
-469,23.28,-8.69,-4.353
-472,23.31,-8.856,-4.389
-474,23.34,-8.84,-3.873
-477,23.37,-8.929,-4.141
-480,23.4,-9.028,-4.098
-483,23.43,-8.778,-4.124
-485,23.46,-8.86,-4.143
-488,23.49,-8.858,-3.927
-491,23.52,-8.892,-3.948
-494,23.55,-8.887,-4.02
-497,23.58,-8.965,-4.114
-499,23.61,-8.85,-4.015
-502,23.64,-8.94,-4.156
-505,23.67,-8.893,-4.316
-508,23.7,-8.921,-4.413
-511,23.73,-8.999,-4.505
-513,23.76,-8.943,-4.732
-516,23.79,-8.847,-4.723
-519,23.82,-8.9,-4.693
-525,23.88,-8.801,-4.776
-528,23.91,-8.852,-4.859
-530,23.94,-8.652,-4.46
-533,23.97,-8.803,-4.756
-536,24,-8.702,-4.699
-539,24.03,-8.717,-4.561
-542,24.06,-8.8,-4.671
-544,24.09,-8.751,-4.474
-547,24.12,-8.731,-4.623
-550,24.15,-8.879,-4.715
-553,24.18,-8.71,-4.685
-555,24.21,-8.676,-4.667
-558,24.24,-8.73,-4.941
-561,24.27,-8.702,-4.729
-564,24.3,-9.007,-4.794
-566,24.33,-8.779,-4.868
-569,24.36,-8.74,-4.87
-572,24.39,-8.747,-4.904
-575,24.42,-8.728,-4.781
-577,24.45,-8.726,-4.793
-580,24.48,-8.802,-4.995
-583,24.51,-8.685,-4.981
-586,24.54,-8.655,-4.722
-589,24.57,-8.758,-4.969
-591,24.6,-8.695,-4.946
-594,24.63,-8.717,-4.843
-597,24.66,-8.652,-4.935
-600,24.69,-8.64,-5
-603,24.72,-8.669,-5.037
-608,24.78,-8.752,-5.279
-611,24.81,-8.687,-5.202
-614,24.84,-8.665,-5.129
-617,24.87,-8.516,-4.981
-620,24.9,-8.672,-5.282
-622,24.93,-8.718,-5.189
-625,24.96,-8.691,-5.208
-628,24.99,-8.75,-5.201
-634,25.05,-8.599,-4.975
-636,25.08,-8.611,-5.383
-639,25.11,-8.652,-5.207
-642,25.14,-8.765,-5.125
-645,25.17,-8.737,-5.338
-647,25.2,-8.881,-5.281
-650,25.23,-8.702,-5.309
-653,25.26,-8.694,-5.221
-656,25.29,-8.724,-5.186
-658,25.32,-8.731,-5.2
-661,25.35,-8.733,-5.196
-664,25.38,-8.737,-5.299
-667,25.41,-8.801,-5.381
-669,25.44,-8.794,-5.423
-672,25.47,-8.777,-5.531
-675,25.5,-8.732,-5.244
-678,25.53,-8.814,-5.472
-681,25.56,-8.874,-5.742
-683,25.59,-8.77,-5.625
-686,25.62,-8.682,-5.604
-692,25.68,-8.694,-5.574
-695,25.71,-8.773,-5.637
-698,25.74,-8.789,-5.609
-700,25.77,-8.817,-5.625
-703,25.8,-8.728,-5.516
-706,25.83,-8.754,-5.464
-709,25.86,-8.795,-5.561
-712,25.89,-8.822,-5.491
-714,25.92,-8.761,-5.486
-717,25.95,-8.804,-5.589
-720,25.98,-8.787,-5.436
-723,26.01,-8.818,-5.405
-726,26.04,-8.79,-5.393
-729,26.07,-8.814,-5.393
-731,26.1,-8.893,-5.326
-734,26.13,-8.744,-5.26
-737,26.16,-8.768,-5.154
-740,26.19,-8.786,-5.274
-743,26.22,-8.803,-5.381
-746,26.25,-8.704,-5.251
-748,26.28,-8.714,-5.205
-751,26.31,-8.86,-5.136
-754,26.34,-8.776,-5.186
-757,26.37,-8.727,-5.141
-760,26.4,-8.655,-4.956
-762,26.43,-8.723,-5.039
-765,26.46,-8.622,-4.934
-768,26.49,-8.584,-4.993
-771,26.52,-8.722,-5.029
