year (AD),d18O (permil),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1934,-32.2,18.85,8.46,141
1933,-33.2,19.1,8.6,141
1932,-34.5,19.35,8.74,141
1931,-33.1,19.6,8.88,141
1930,-33.4,19.85,9.02,141
1929,-34.5,20.09,9.16,141
1928,-34.2,20.34,9.3,141
1927,-33.3,20.58,9.44,141
1926,-35.3,20.83,9.58,141
1925,-34.7,21.07,9.73,141
1924,-34.3,21.31,9.87,141
1923,-34,21.55,10.01,141
1922,-36,21.79,10.15,141
1921,-39.1,22.03,10.29,141
1920,-38.3,22.27,10.43,141
1919,-35.4,22.51,10.57,141
1918,-35.4,22.75,10.71,141
1917,-36.1,22.98,10.85,141
1916,-34.3,23.22,10.99,141
1915,-32.4,23.45,11.14,141
1914,-35.3,23.68,11.28,141
1913,-36.2,23.92,11.42,141
1912,-34.6,24.15,11.56,141
1911,-32,24.39,11.71,141
1910,-32.3,24.63,11.85,147
1909,-33.2,24.87,12,147
1908,-33.8,25.11,12.15,147
1907,-35.1,25.35,12.29,147
1906,-32.7,25.58,12.44,147
1905,-33.3,25.82,12.59,147
1904,-35.1,26.05,12.73,147
1903,-32.8,26.29,12.88,147
1902,-34.2,26.52,13.03,147
1901,-34.8,26.76,13.18,147
1900,-32.7,26.99,13.32,147
1899,-32,27.22,13.47,147
1898,-34,27.45,13.62,147
1897,-34.5,27.68,13.76,147
1896,-33.3,27.91,13.91,147
1895,-33.3,28.14,14.06,147
1894,-32.1,28.37,14.2,147
1893,-32.7,28.6,14.35,147
1892,-32.8,28.83,14.5,147
1891,-33.1,29.06,14.65,147
1890,-34.3,29.28,14.79,147
1889,-33.9,29.51,14.94,147
1888,-32.3,29.73,15.09,147
1887,-34,29.96,15.23,147
1886,-36.3,30.18,15.38,147
1885,-35.7,30.41,15.53,147
1884,-36.1,30.63,15.67,147
1883,-35.5,30.85,15.82,147
1882,-35.7,31.07,15.97,147
1881,-36.3,31.3,16.12,147
1880,-35.1,31.52,16.26,147
1879,-32.8,31.74,16.41,147
1878,-33.4,31.96,16.56,147
1877,-33.2,32.18,16.7,147
1876,-34.4,32.4,16.85,147
1875,-32.6,32.61,17,147
1874,-32.6,32.83,17.15,147
1873,-34.6,33.05,17.29,147
1872,-35.9,33.27,17.44,147
1871,-35.9,33.48,17.59,147
1870,-34.6,33.7,17.73,147
1869,-34,33.91,17.88,147
1868,-33.7,34.13,18.03,147
1867,-32.9,34.35,18.17,147
1866,-33.8,34.56,18.32,147
1865,-34.9,34.77,18.47,147
1864,-35.7,34.99,18.62,147
1863,-34.8,35.2,18.76,147
1862,-34.8,35.41,18.91,147
1861,-37.1,35.62,19.06,147
1860,-37.5,35.84,19.2,147
1859,-35.7,36.05,19.35,147
1858,-33.3,36.26,19.5,147
1857,-34.2,36.47,19.64,147
1856,-32.6,36.68,19.79,147
1855,-33.7,36.89,19.94,147
1854,-34.7,37.1,20.09,147
1853,-34.3,37.31,20.23,147
1852,-35.1,37.52,20.38,147
1851,-36,37.73,20.53,147
1850,-35.7,37.93,20.67,147
1849,-35.8,38.14,20.82,147
1848,-36.5,38.35,20.97,147
1847,-35.2,38.56,21.11,147
1846,-37,38.76,21.26,147
1845,-36.3,38.97,21.41,147
1844,-35.7,39.17,21.56,147
1843,-34.7,39.38,21.7,147
1842,-35.7,39.58,21.85,147
1841,-35.4,39.79,22,147
1840,-33.3,39.99,22.14,147
1839,-33.6,40.2,22.29,147
1838,-34.9,40.4,22.44,147
1837,-33.1,40.61,22.59,147
1836,-32.7,40.81,22.73,147
1835,-34.1,41.01,22.88,147
1834,-34.1,41.21,23.03,147
1833,-35.2,41.42,23.17,147
1832,-36.5,41.62,23.32,147
1831,-36,41.82,23.47,147
1830,-35.7,42.02,23.61,147
1829,-37.1,42.22,23.76,147
1828,-35.6,42.42,23.91,147
1827,-33.3,42.62,24.06,147
1826,-33.9,42.83,24.2,147
1825,-35.8,43.03,24.35,147
1824,-34.6,43.22,24.5,147
1823,-32.8,43.42,24.64,147
1822,-34.3,43.62,24.79,147
1821,-35.6,43.82,24.94,147
1820,-34.1,44.02,25.08,147
1819,-34,44.22,25.23,147
1818,-34.6,44.42,25.38,147
1817,-35,44.62,25.53,147
1816,-35.4,44.81,25.67,147
1815,-35.5,45.02,25.83,147
1814,-35.9,45.23,25.98,154
1813,-38.2,45.43,26.13,154
1812,-36.5,45.64,26.29,154
1811,-35.5,45.84,26.44,154
1810,-35.3,46.05,26.6,154
1809,-34.8,46.25,26.75,154
1808,-36,46.46,26.9,154
1807,-34.5,46.66,27.06,154
1806,-33.6,46.86,27.21,154
1805,-34.3,47.07,27.36,154
1804,-34.6,47.27,27.52,154
1803,-33.3,47.48,27.67,154
1802,-33,47.68,27.83,154
1801,-33.6,47.88,27.98,154
1800,-35.1,48.08,28.13,154
1799,-36.5,48.29,28.29,154
1798,-35,48.49,28.44,154
1797,-36.7,48.69,28.59,154
1796,-36.8,48.89,28.75,154
1795,-35.7,49.09,28.9,154
1794,-35.2,49.29,29.06,154
1793,-33.9,49.49,29.21,154
1792,-34.7,49.69,29.36,154
1791,-35,49.9,29.52,154
1790,-34.2,50.1,29.67,154
1789,-32.1,50.3,29.83,154
1788,-33.2,50.49,29.98,154
1787,-33.8,50.69,30.13,154
1786,-32.7,50.89,30.29,154
1785,-31,51.09,30.44,154
1784,-31.4,51.29,30.59,154
1783,-34,51.49,30.75,154
1782,-35.3,51.68,30.89,154
1781,-35.9,51.86,31.04,144
1780,-36.5,52.05,31.18,144
1779,-36.1,52.23,31.32,144
1778,-33,52.42,31.47,144
1777,-31.4,52.6,31.61,144
1776,-32.7,52.79,31.76,144
1775,-34.6,52.97,31.9,144
1774,-34.9,53.16,32.04,144
1773,-35.1,53.34,32.19,144
1772,-34.1,53.52,32.33,144
1771,-33.6,53.71,32.48,144
1770,-32.7,53.89,32.62,144
1769,-32.9,54.08,32.76,144
1768,-34.4,54.26,32.91,144
1767,-34.2,54.44,33.05,144
1766,-33.7,54.62,33.2,144
1765,-33.4,54.81,33.34,144
1764,-34.5,54.99,33.48,144
1763,-34.8,55.17,33.63,144
1762,-35.1,55.36,33.77,144
1761,-34.4,55.54,33.92,144
1760,-35.5,55.72,34.06,144
1759,-36.1,55.9,34.2,144
1758,-33.8,56.08,34.35,144
1757,-32.1,56.27,34.49,144
1756,-33.8,56.45,34.64,144
1755,-35.5,56.63,34.78,144
1754,-35.8,56.81,34.92,144
1753,-35.1,56.99,35.07,144
1752,-35.2,57.17,35.21,144
1751,-35.3,57.35,35.36,144
1750,-33.9,57.53,35.5,144
1749,-34.5,57.71,35.64,144
1748,-36.8,57.89,35.79,144
1747,-34.9,58.07,35.93,144
1746,-35.2,58.25,36.07,144
1745,-35.2,58.43,36.22,144
1744,-34.4,58.61,36.36,144
1743,-33.7,58.79,36.51,144
1742,-33.5,58.97,36.65,144
1741,-33.8,59.15,36.79,144
1740,-35.4,59.33,36.94,144
1739,-36.4,59.51,37.08,144
1738,-36.6,59.69,37.23,144
1737,-32.2,59.87,37.37,144
1736,-34,60.05,37.51,144
1735,-33.8,60.23,37.66,144
1734,-33.3,60.4,37.8,144
1733,-33.3,60.58,37.95,144
1732,-36.3,60.76,38.09,144
1731,-36.8,60.94,38.23,144
1730,-35.4,61.12,38.38,144
1729,-34.6,61.29,38.52,144
1728,-35,61.47,38.67,144
1727,-35.1,61.65,38.81,144
1726,-33.2,61.83,38.95,144
1725,-32.6,62,39.1,144
1724,-34.2,62.18,39.24,144
1723,-35.7,62.36,39.39,144
1722,-36.9,62.54,39.53,144
1721,-37.4,62.71,39.67,144
1720,-36.8,62.89,39.82,144
1719,-34.8,63.07,39.96,144
1718,-34.4,63.24,40.11,144
1717,-35.7,63.42,40.25,144
1716,-36.2,63.6,40.39,144
1715,-35.6,63.77,40.54,144
1714,-33.8,63.95,40.68,144
1713,-34.4,64.12,40.83,144
1712,-36.7,64.3,40.97,144
1711,-36.4,64.48,41.11,144
1710,-34.6,64.65,41.26,144
1709,-35.4,64.83,41.4,144
1708,-34.9,65,41.55,144
1707,-34.7,65.18,41.69,144
1706,-34.8,65.35,41.83,144
1705,-35.8,65.53,41.98,144
1704,-36.1,65.7,42.12,144
1703,-33.9,65.88,42.27,144
1702,-32.2,66.05,42.41,144
1701,-35,66.23,42.55,144
1700,-36,66.4,42.7,144
1699,-35.1,66.58,42.84,144
1698,-32.7,66.75,42.99,144
1697,-31.9,66.92,43.13,144
1696,-31.1,67.1,43.27,144
1695,-34.3,67.27,43.42,144
1694,-35.8,67.45,43.56,144
1693,-35.1,67.62,43.71,144
1692,-36,67.8,43.85,145
1691,-35,67.97,44,145
1690,-34.5,68.15,44.14,145
1689,-34.3,68.32,44.29,145
1688,-34.1,68.5,44.43,145
1687,-35.5,68.67,44.58,145
1686,-35.3,68.85,44.72,145
1685,-34.4,69.02,44.87,145
1684,-32.1,69.2,45.02,145
1683,-31.6,69.37,45.16,145
1682,-32.6,69.55,45.31,145
1681,-34.4,69.72,45.45,145
1680,-36.2,69.9,45.6,145
1679,-35.7,70.07,45.74,145
1678,-35.6,70.24,45.89,145
1677,-35.2,70.42,46.03,145
1676,-36,70.59,46.18,145
1675,-35.3,70.77,46.32,145
1674,-32.9,70.94,46.47,145
1673,-33.8,71.11,46.61,145
1672,-34.3,71.29,46.76,145
1671,-34.4,71.46,46.9,145
1670,-35.2,71.63,47.05,145
1669,-33.9,71.81,47.2,145
1668,-32.6,71.98,47.34,145
1667,-34.5,72.15,47.49,145
1666,-35.4,72.33,47.63,145
1665,-35.5,72.5,47.78,145
1664,-34,72.67,47.92,144
1663,-35.3,72.84,48.06,144
1662,-35.8,73.01,48.21,144
1661,-34.6,73.18,48.35,144
1660,-34.8,73.36,48.5,144
1659,-33.4,73.53,48.64,144
1658,-32.3,73.7,48.79,144
1657,-33.4,73.87,48.93,144
1656,-36.9,74.04,49.07,144
1655,-38,74.21,49.22,144
1654,-36.1,74.38,49.36,144
1653,-35.2,74.55,49.51,144
1652,-35.1,74.72,49.65,144
1651,-35.5,74.89,49.79,144
1650,-35.9,75.06,49.94,144
1649,-36.4,75.23,50.08,144
1648,-37.8,75.4,50.23,144
1647,-37.5,75.57,50.37,144
1646,-35.2,75.74,50.52,144
1645,-34.4,75.91,50.66,144
1644,-33.7,76.08,50.8,144
1643,-34,76.25,50.95,144
1642,-33.2,76.42,51.09,144
1641,-31.7,76.59,51.24,144
1640,-32.5,76.76,51.38,144
1639,-32.6,76.93,51.52,144
1638,-34.6,77.1,51.67,144
1637,-35.5,77.27,51.81,144
1636,-35.3,77.44,51.96,144
1635,-34.3,77.61,52.1,144
1634,-34.6,77.78,52.25,144
1633,-34.7,77.95,52.39,144
1632,-34.9,78.12,52.53,144
1631,-35.7,78.29,52.68,144
1630,-34.8,78.46,52.82,144
1629,-35.3,78.63,52.97,144
1628,-35.8,78.79,53.11,144
1627,-34.1,78.96,53.26,144
1626,-34.1,79.13,53.4,144
1625,-34.6,79.3,53.54,144
1624,-34.4,79.47,53.69,144
1623,-33.6,79.64,53.83,144
1622,-33.5,79.81,53.98,144
1621,-34.1,79.98,54.12,144
1620,-34.6,80.14,54.26,144
1619,-35.2,80.31,54.41,144
1618,-35,80.48,54.55,144
1617,-35.6,80.65,54.7,144
1616,-35.1,80.82,54.84,144
1615,-34.1,80.98,54.99,144
1614,-33.2,81.15,55.13,144
1613,-33.7,81.32,55.27,144
1612,-34.8,81.49,55.42,144
1611,-34.8,81.66,55.56,144
1610,-34.1,81.82,55.71,144
1609,-34.1,81.99,55.85,144
1608,-33.7,82.16,55.99,144
1607,-34.5,82.33,56.14,144
1606,-36,82.49,56.28,144
1605,-35.2,82.66,56.43,144
1604,-34.1,82.83,56.57,144
1603,-33.6,83,56.72,144
1602,-35.1,83.16,56.86,144
1601,-34.4,83.33,57,144
1600,-35,83.5,57.15,144
1599,-35,83.67,57.29,144
1598,-34,83.83,57.44,144
1597,-34.2,84,57.58,144
1596,-34,84.17,57.72,144
1595,-34.7,84.33,57.87,144
1594,-33.6,84.5,58.01,144
1593,-33.4,84.67,58.16,144
1592,-34.7,84.83,58.3,144
1591,-34.9,85,58.45,144
1590,-34.7,85.17,58.59,144
1589,-33.9,85.33,58.73,144
1588,-33.1,85.5,58.88,144
1587,-35.1,85.67,59.02,144
1586,-35.4,85.83,59.17,144
1585,-34.6,86,59.31,144
1584,-35.1,86.17,59.46,144
1583,-34.8,86.33,59.6,144
1582,-34.3,86.5,59.74,144
1581,-33,86.67,59.89,144
1580,-32.8,86.83,60.03,144
1579,-33.4,87,60.18,144
1578,-33.4,87.16,60.32,144
1577,-33.4,87.33,60.46,144
1576,-33.1,87.49,60.61,144
1575,-33.9,87.66,60.75,144
1574,-36,87.83,60.9,144
1573,-35.1,87.99,61.04,144
1572,-33.5,88.16,61.19,144
1571,-34,88.32,61.33,144
1570,-33.6,88.49,61.47,144
1569,-34.7,88.66,61.62,144
1568,-34.5,88.82,61.76,144
1567,-32,88.99,61.91,144
1566,-32.9,89.15,62.05,144
1565,-33.5,89.32,62.19,144
1564,-34.5,89.48,62.34,144
1563,-34.9,89.65,62.48,144
1562,-34.4,89.81,62.63,144
1561,-34.6,89.98,62.77,144
1560,-36.5,90.14,62.92,144
1559,-35,90.31,63.06,144
1558,-33.9,90.47,63.2,144
1557,-34.2,90.64,63.35,144
1556,-34.2,90.8,63.49,144
1555,-32.4,90.97,63.64,144
1554,-33,91.13,63.78,144
1553,-34.3,91.3,63.92,144
1552,-33.1,91.46,64.07,144
1551,-33.4,91.63,64.21,144
1550,-32.5,91.79,64.36,144
1549,-32.7,91.96,64.5,144
1548,-35.2,92.12,64.65,144
1547,-35.7,92.29,64.79,144
1546,-36.5,92.45,64.93,144
1545,-36.1,92.62,65.08,144
1544,-35.5,92.78,65.22,144
1543,-34.6,92.94,65.37,144
1542,-33,93.11,65.51,144
1541,-34,93.27,65.66,144
1540,-34.7,93.44,65.8,144
1539,-36,93.6,65.94,144
1538,-35.1,93.77,66.09,144
1537,-34.8,93.93,66.23,144
1536,-34.4,94.09,66.38,144
1535,-33.5,94.26,66.52,144
1534,-33.2,94.42,66.66,144
1533,-33.2,94.59,66.81,144
1532,-34.5,94.75,66.95,144
1531,-36.3,94.91,67.1,144
1530,-35.8,95.08,67.24,144
1529,-34.2,95.24,67.39,144
1528,-33.1,95.41,67.53,144
1527,-35.2,95.57,67.67,144
1526,-34.6,95.73,67.82,144
1525,-34.2,95.9,67.96,144
1524,-36.9,96.06,68.11,144
1523,-36.4,96.22,68.25,144
1522,-34.9,96.39,68.39,144
1521,-34.8,96.55,68.54,144
1520,-34.8,96.72,68.68,144
1519,-36.2,96.88,68.83,144
1518,-36.3,97.04,68.97,144
1517,-34.5,97.21,69.12,144
1516,-33.6,97.37,69.26,144
1515,-34,97.53,69.4,144
1514,-34.7,97.7,69.55,144
1513,-34.2,97.86,69.69,144
1512,-33.9,98.02,69.84,144
1511,-35.6,98.19,69.98,144
1510,-35.2,98.35,70.12,144
1509,-35.5,98.51,70.27,144
1508,-33.6,98.68,70.41,144
1507,-33,98.84,70.56,144
1506,-33.9,99,70.7,144
1505,-37.3,99.16,70.85,144
1504,-31.8,99.33,70.99,144
1503,-31.6,99.49,71.13,144
1502,-32.5,99.65,71.28,144
1501,-34,99.82,71.42,144
1500,-33.6,99.98,71.57,144
1499,-33.5,100.14,71.71,144
1498,-34,100.3,71.86,144
1497,-33.1,100.47,72,144
1496,-32.1,100.63,72.14,144
1495,-33.4,100.79,72.29,144
1494,-33.6,100.96,72.43,144
1493,-33.8,101.12,72.58,144
1492,-33,101.28,72.72,144
1491,-33.1,101.44,72.86,144
1490,-33.8,101.61,73.01,144
1489,-35.5,101.77,73.15,144
1488,-36.4,101.93,73.3,144
1487,-35.1,102.09,73.44,144
1486,-33.4,102.26,73.59,144
1485,-35.1,102.42,73.73,144
1484,-35.9,102.58,73.87,144
1483,-34.3,102.74,74.02,144
1482,-34.4,102.9,74.16,144
1481,-35,103.07,74.31,144
1480,-34.9,103.23,74.45,144
1479,-35.5,103.39,74.59,144
1478,-32.9,103.55,74.74,144
1477,-33.4,103.72,74.88,144
1476,-34.7,103.88,75.03,144
1475,-33.4,104.04,75.17,144
1474,-33.3,104.2,75.32,144
1473,-34.2,104.36,75.46,144
1472,-35,104.53,75.6,144
1471,-35.5,104.69,75.75,144
1470,-35.1,104.85,75.89,144
1469,-34.9,105.01,76.04,144
1468,-35.5,105.17,76.18,144
1467,-34.3,105.33,76.32,144
1466,-33.6,105.5,76.47,144
1465,-34.8,105.66,76.61,144
1464,-35.6,105.82,76.76,144
1463,-34.2,105.98,76.9,144
1462,-34.8,106.14,77.05,144
1461,-34.8,106.3,77.19,144
1460,-34.3,106.47,77.33,144
1459,-35.4,106.63,77.48,144
1458,-37.1,106.79,77.62,144
1457,-36,106.95,77.77,144
1456,-34.6,107.11,77.91,144
1455,-33.3,107.27,78.06,144
1454,-34.4,107.44,78.2,144
1453,-35.3,107.6,78.34,144
1452,-32.8,107.76,78.49,144
1451,-33.1,107.92,78.63,144
1450,-33.8,108.08,78.78,144
1449,-35.5,108.24,78.92,144
1448,-35.4,108.4,79.06,144
1447,-34,108.57,79.21,144
1446,-32.8,108.73,79.35,144
1445,-35,108.89,79.5,144
1444,-34.9,109.05,79.64,144
1443,-35.6,109.21,79.79,144
1442,-35.2,109.37,79.93,144
1441,-33.3,109.53,80.07,144
1440,-32.9,109.69,80.22,144
1439,-35.2,109.85,80.36,144
1438,-36.2,110.02,80.51,144
1437,-35.3,110.18,80.65,144
1436,-34.9,110.34,80.79,144
1435,-34.6,110.5,80.94,144
1434,-36,110.66,81.08,144
1433,-34.3,110.82,81.23,144
1432,-32.8,110.98,81.37,144
1431,-33.8,111.14,81.52,144
1430,-33.5,111.3,81.66,144
1429,-32.7,111.46,81.8,144
1428,-31.9,111.62,81.95,144
1427,-32.9,111.79,82.09,144
1426,-34.1,111.95,82.24,144
1425,-33.7,112.11,82.38,144
1424,-32.7,112.27,82.53,144
1423,-32.7,112.43,82.67,144
1422,-31.5,112.59,82.81,144
1421,-32.4,112.75,82.96,144
1420,-33.6,112.91,83.1,144
1419,-32.9,113.07,83.25,144
1418,-33.6,113.23,83.39,144
1417,-33.1,113.39,83.53,144
1416,-32.2,113.55,83.68,144
1415,-33.1,113.71,83.82,144
1414,-34.2,113.87,83.97,144
1413,-32.9,114.03,84.11,144
1412,-31.8,114.19,84.26,144
1411,-32.2,114.35,84.4,144
1410,-34.1,114.52,84.54,144
1409,-33.5,114.68,84.69,144
1408,-33.2,114.84,84.83,144
1407,-34.2,115,84.98,144
1406,-35.4,115.16,85.12,144
1405,-34.2,115.32,85.26,144
1404,-33,115.48,85.41,144
1403,-33.9,115.64,85.55,144
1402,-33.8,115.8,85.7,144
1401,-32.4,115.96,85.84,144
1400,-31.6,116.12,85.99,144
1399,-33.7,116.28,86.13,144
1398,-34.2,116.44,86.27,144
1397,-34.5,116.6,86.42,144
1396,-34.6,116.76,86.56,144
1395,-33.8,116.92,86.71,144
1394,-32.9,117.08,86.85,144
1393,-32.7,117.24,86.99,144
1392,-32.8,117.4,87.14,144
1391,-33.1,117.56,87.28,144
1390,-34.2,117.72,87.43,144
1389,-37.6,117.88,87.57,144
1388,-37.1,118.04,87.72,144
1387,-34.8,118.2,87.86,144
1386,-35,118.36,88,144
1385,-35.8,118.52,88.15,144
1384,-36.1,118.68,88.29,144
1383,-36.3,118.84,88.44,144
1382,-35,119,88.58,144
1381,-32.7,119.16,88.73,144
1380,-31.6,119.32,88.87,144
1379,-33.4,119.48,89.01,144
1378,-33.7,119.64,89.16,144
1377,-34.7,119.8,89.3,144
1376,-35.4,119.96,89.45,144
1375,-35,120.12,89.59,144
1374,-34.2,120.28,89.73,144
1373,-34.3,120.44,89.88,144
1372,-33.6,120.6,90.02,144
