year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],temperature (degC) [1-1],year (AD) [2-1],temperature (degC) [2-1],year (AD) [3-1],temperature (degC) [3-1]
-4233.75,683,0.38,NA,NA,NA,NA,NA,NA
-4296.25,688,0.38,NA,NA,NA,NA,NA,NA
-4358.75,693,0.15,NA,NA,NA,NA,NA,NA
-4421.25,698,0.59,NA,NA,NA,NA,NA,NA
-4483.75,703,0.5,NA,NA,NA,NA,NA,NA
-4546.25,708,0.36,NA,NA,NA,NA,NA,NA
-4608.75,713,0.36,NA,NA,NA,NA,NA,NA
-4671.25,718,0.49,NA,NA,NA,NA,NA,NA
-4733.75,723,0.4,NA,NA,NA,NA,NA,NA
-4796.25,728,0.11,NA,NA,NA,NA,NA,NA
-4858.75,733,-0.14,NA,NA,NA,NA,NA,NA
-4921.25,738,0.38,NA,NA,NA,NA,NA,NA
-4983.75,743,0.45,NA,NA,NA,NA,NA,NA
-5046.25,748,-0.06,NA,NA,NA,NA,NA,NA
-5108.75,753,0.12,NA,NA,NA,NA,NA,NA
-5171.25,758,0.35,NA,NA,NA,NA,NA,NA
-5233.75,763,0.04,NA,NA,NA,NA,NA,NA
-5296.25,768,0.15,NA,NA,NA,NA,NA,NA
-5358.75,773,0.26,NA,NA,NA,NA,NA,NA
-5421.25,778,0.29,NA,NA,NA,NA,NA,NA
-5483.75,783,0.38,NA,NA,NA,NA,NA,NA
-5546.25,788,0.44,NA,NA,NA,NA,NA,NA
-5608.75,793,0.28,NA,NA,NA,NA,NA,NA
-5671.25,798,0.31,NA,NA,NA,NA,NA,NA
-5733.75,803,0.17,NA,NA,NA,NA,NA,NA
