year (AD),depth (cm),d18O (permil),lithologic unit (),Calcite (fraction),Aragonite (fraction)
88.0999999999999,125.5,-5.97,III,1,0
73.0999999999999,126.5,-6.1,III,1,0
58.0999999999999,127.5,-5.9,III,1,0
43.0999999999999,128.5,-5.93,III,1,0
28.0999999999999,129.5,-5.99,III,1,0
13.0999999999999,130.5,-6.16,III,1,0
-2.90000000000009,131.5,-6.27,III,1,0
-17.9000000000001,132.5,-6.52,III,1,0
-32.9000000000001,133.5,-6.47,III,1,0
-47.9000000000001,134.5,-6.37,III,1,0
-62.9000000000001,135.5,-6.29,III,1,0
-77.9000000000001,136.5,-5.88,III,1,0
-92.9000000000001,137.5,-5.94,III,1,0
-107.9,138.5,-6.07,III,1,0
-122.9,139.5,-6.38,III,1,0
-137.9,140.5,-6.19,III,1,0
-152.9,141.5,-6.04,III,0.89,0.11
-167.9,142.5,-6.07,III,0.75,0.25
-182.9,143.5,-6.11,III,0.8,0.2
-197.9,144.5,-6.2,III,0.94,0.06
-212.9,145.5,-6.12,III,0.93,0.07
-227.9,146.5,-6.17,III,0.81,0.19
-242.9,147.5,-6.43,III,0.75,0.25
-257.9,148.5,-6.13,III,0.76,0.24
-272.9,149.5,-6.21,III,0.76,0.24
-287.9,150.5,-6.3,III,0.76,0.24
-302.9,151.5,-6.38,III,0.8,0.2
-317.9,152.5,-6.47,III,0.91,0.09
-332.9,153.5,-6.45,III,0.97,0.03
-347.9,154.5,-6.35,III,0.87,0.13
-362.9,155.5,-6.24,III,0.78,0.22
-377.9,156.5,-6.12,III,0.76,0.24
-392.9,157.5,-6.14,III,0.75,0.25
-407.9,158.5,-6.42,III,0.75,0.25
-422.9,159.5,-6.59,III,0.75,0.25
-438,160.5,-6.54,III,0.74,0.26
-453,161.5,-6.55,III,0.74,0.26
-468,162.5,-6.37,III,0.72,0.28
-483,163.5,-6.07,III,0.7,0.3
-498,164.5,-6.27,III,0.81,0.19
-513,165.5,-6.48,III,0.95,0.05
-528,166.5,-6.7,III,0.9,0.1
-543,167.5,-6.96,III,0.78,0.22
-558,168.5,-6.94,III,0.72,0.28
-573,169.5,-6.88,III,0.7,0.3
-588,170.5,-6.52,III,0.69,0.31
-603,171.5,-6.69,III,0.7,0.3
-618,172.5,-6.77,III,0.7,0.3
-633,173.5,-6.37,III,0.71,0.29
-648,174.5,-6.39,III,0.71,0.29
-663,175.5,-6.24,III,0.72,0.28
-678,176.5,-6.33,III,0.73,0.27
-693,177.5,-6.4,III,0.73,0.27
-708,178.5,-6.62,III,0.74,0.26
-723,179.5,-6.65,III,0.72,0.28
-738,180.5,-6.68,III,0.71,0.29
-753,181.5,-6.57,III,0.69,0.31
-768,182.5,-6.32,III,0.68,0.32
-783,183.5,-6.12,III,0.69,0.31
-798,184.5,-5.97,III,0.7,0.3
-813,185.5,-5.81,III,0.71,0.29
-828,186.5,-5.78,III,0.72,0.28
-843,187.5,-5.94,III,0.72,0.28
-858,188.5,-6.07,III,0.72,0.28
-873,189.5,-6.14,III,0.72,0.28
-888,190.5,-6.3,III,0.72,0.28
-903,191.5,-6.76,III,0.71,0.29
-918,192.5,-6.75,III,0.71,0.29
-933,193.5,-6.43,III,0.7,0.3
-948,194.5,-6.16,III,0.69,0.31
-963,195.5,-6.34,III,0.7,0.3
-978,196.5,-6.22,III,0.7,0.3
-993,197.5,-6.25,III,0.71,0.29
-1008,198.5,-6.3,III,0.72,0.28
-1023,199.5,-6.67,III,0.73,0.27
-1038,200.5,-6.41,III,0.74,0.26
-1053,201.5,-6.34,III,0.74,0.26
-1068,202.5,-6.37,III,0.75,0.25
-1083,203.5,-6.4,III,0.75,0.25
-1098,204.5,-6.43,III,0.75,0.25
-1113,205.5,-6.33,III,0.76,0.24
-1128,206.5,-6,III,0.76,0.24
-1143,207.5,-5.83,III,0.75,0.25
-1158,208.5,-5.9,III,0.72,0.28
-1173,209.5,-5.92,III,0.66,0.34
-1188,210.5,-5.9,III,0.44,0.56
-1203,211.5,-5.82,III,0.19,0.81
-1218,212.5,-5.7,III,0.13,0.87
-1233,213.5,-5.66,III,0.12,0.88
-1248,214.5,-5.65,III,0.11,0.89
-1263,215.5,-5.76,III,0.1,0.9
-1278,216.5,-5.69,III,0.1,0.9
-1293,217.5,-5.67,III,0.09,0.91
-1308,218.5,-5.45,III,0.08,0.92
-1323,219.5,-5.36,III,0.07,0.93
-1338,220.5,-5.36,III,0.09,0.91
-1353,221.5,-5.98,III,0.12,0.88
-1368,222.5,-6.18,III,0.15,0.85
-1383,223.5,-6.33,III,0.18,0.82
-1398,224.5,-6.38,III,0.21,0.79
-1413.1,225.5,-5.92,III,0.24,0.76
-1428.1,226.5,-6.29,III,0.27,0.73
-1443.1,227.5,-6.56,III,0.3,0.7
-1458.1,228.5,-6.5,III,0.32,0.68
-1473.1,229.5,-6.03,III,0.28,0.72
-1488.1,230.5,-5.78,III,0.24,0.76
-1503.1,231.5,-5.88,III,0.2,0.8
-1518.1,232.5,-6.03,III,0.18,0.82
-1533.1,233.5,-6.2,III,0.25,0.75
-1548.1,234.5,-6.26,III,0.35,0.65
-1563.1,235.5,-6.48,III,0.47,0.53
-1578.1,236.5,-6.84,III,0.6,0.4
-1593.1,237.5,-6.62,III,0.64,0.36
-1608.1,238.5,-6.82,III,0.65,0.35
-1623.1,239.5,-7.07,III,0.53,0.47
-1638.1,240.5,-7.05,III,0.35,0.65
-1653.1,241.5,-6.31,III,0.3,0.7
-1668.1,242.5,-6.07,III,0.32,0.68
-1683.1,243.5,-6.57,III,0.34,0.66
-1698.1,244.5,-6.5,III,0.35,0.65
-1713.1,245.5,-6.39,III,0.34,0.66
-1728.1,246.5,-6.4,III,0.33,0.67
-1743.1,247.5,-6.94,III,0.44,0.56
-1758.1,248.5,-7.22,III,0.6,0.4
-1773.1,249.5,-6.24,III,0.66,0.34
-1788.1,250.5,-6.61,III,0.65,0.35
-1803.1,251.5,-6.86,III,0.64,0.36
-1818.1,252.5,-6.84,III,0.63,0.37
-1833.1,253.5,-6.92,III,0.56,0.44
-1848.1,254.5,-6.94,III,0.44,0.56
-1863.1,255.5,-6.35,III,0.31,0.69
-1878.1,256.5,-5.94,III,0.17,0.83
-1893.1,257.5,-5.69,III,0.08,0.92
-1908.1,258.5,-5.35,III,0.08,0.92
-1923.1,259.5,-5.2,III,0.08,0.92
-1938.1,260.5,-5.27,III,0.08,0.92
-1953.1,261.5,-5.67,III,0.08,0.92
-1968.1,262.5,-5.96,III,0.08,0.92
-1983.1,263.5,-6.02,III,0.09,0.91
-1998.1,264.5,-5.92,III,0.09,0.91
-2013.1,265.5,-5.91,III,0.09,0.91
-2028.1,266.5,-5.56,III,0.08,0.92
-2043.1,267.5,-5.23,III,0.07,0.93
-2058.1,268.5,-5.22,III,0.06,0.94
-2073.1,269.5,-5.15,III,0.06,0.94
-2088.1,270.5,-5.43,III,0.09,0.91
-2103.1,271.5,-6.04,III,0.14,0.86
-2118.1,272.5,-6.49,III,0.18,0.82
-2133.1,273.5,-6.64,III,0.23,0.77
-2148.1,274.5,-6.65,III,0.25,0.75
-2163.1,275.5,-6.66,III,0.28,0.72
-2178.1,276.5,-7.32,III,0.38,0.62
-2193.1,277.5,-7.06,III,0.52,0.48
-2208.1,278.5,-6.65,III,0.48,0.52
-2223.1,279.5,-6.15,III,0.27,0.73
-2238.1,280.5,-6.46,III,0.17,0.83
-2253.1,281.5,-6.76,III,0.2,0.8
-2268.1,282.5,-6.29,III,0.2,0.8
-2283.1,283.5,-5.8,III,0.18,0.82
-2298.1,284.5,-6.02,III,0.16,0.84
-2313.1,285.5,-6.12,III,0.14,0.86
-2328.1,286.5,-6.12,III,0.12,0.88
-2343.1,287.5,-6.3,III,0.1,0.9
-2358.1,288.5,-6.59,III,0.09,0.91
-2373.1,289.5,-6.04,III,0.07,0.93
-2388.2,290.5,-5.29,III,0.06,0.94
-2403.2,291.5,-5.14,III,0.08,0.92
-2418.2,292.5,-5.43,III,0.11,0.89
-2433.2,293.5,-5.73,III,0.13,0.87
-2448.2,294.5,-6.17,III,0.15,0.85
-2463.2,295.5,-6.84,III,0.17,0.83
-2478.2,296.5,-7.24,III,0.2,0.8
-2493.2,297.5,-7.22,III,0.22,0.78
-2508.2,298.5,-6.88,III,0.24,0.76
-2523.2,299.5,-6.32,III,0.25,0.75
-2538.2,300.5,-6.39,III,0.24,0.76
-2553.2,301.5,-6.43,III,0.24,0.76
-2568.2,302.5,-6.62,III,0.23,0.77
-2583.2,303.5,-6.89,III,0.23,0.77
-2598.2,304.5,-7.3,III,0.22,0.78
-2613.2,305.5,-7.51,III,0.21,0.79
-2628.2,306.5,-7.78,III,0.2,0.8
-2643.2,307.5,-7.62,III,0.18,0.82
-2658.2,308.5,-7.46,III,0.15,0.85
-2673.2,309.5,-7.3,III,0.11,0.89
-2688.2,310.5,-7.14,III,0.07,0.93
-2703.2,311.5,-6.97,III,0.05,0.95
-2718.2,312.5,-6.81,III,0.06,0.94
-2733.2,313.5,-6.65,III,0.07,0.93
-2748.2,314.5,-6.49,III,0.08,0.92
-2763.2,315.5,-6.33,III,0.09,0.91
-2778.2,316.5,-5.82,III,0.09,0.91
-2793.2,317.5,-5.41,III,0.09,0.91
-2808.2,318.5,-5.66,III,0.09,0.91
-2823.2,319.5,-5.9,III,0.09,0.91
-2838.2,320.5,-5.81,III,0.09,0.91
-2853.2,321.5,-5.77,III,0.08,0.92
-2868.2,322.5,-5.82,III,0.08,0.92
-2883.2,323.5,-5.84,III,0.07,0.93
-2898.2,324.5,-5.87,III,0.07,0.93
-2913.2,325.5,-5.82,III,0.07,0.93
-2928.2,326.5,-5.64,III,0.07,0.93
-2943.2,327.5,-5.74,III,0.06,0.94
-2958.2,328.5,-5.7,III,0.06,0.94
-2973.2,329.5,-5.35,III,0.06,0.94
-2988.2,330.5,-5.43,III,0.06,0.94
-3003.2,331.5,-5.38,III,0.06,0.94
-3018.2,332.5,-5.33,III,0.06,0.94
-3033.2,333.5,-5.8,III,0.06,0.94
-3048.2,334.5,-5.48,III,0.06,0.94
-3063.2,335.5,-5.88,III,0.06,0.94
-3078.2,336.5,-5.82,III,0.06,0.94
-3093.2,337.5,-5.61,III,0.05,0.95
-3108.2,338.5,-6.16,III,0.05,0.95
-3123.2,339.5,-5.82,III,0.04,0.96
-3138.2,340.5,-5.75,III,0.04,0.96
-3153.2,341.5,-5.76,III,0.04,0.96
-3168.2,342.5,-5.5,III,0.05,0.95
-3183.2,343.5,-5.14,III,0.05,0.95
-3198.2,344.5,-5.15,III,0.05,0.95
-3213.2,345.5,-5.37,III,0.06,0.94
-3228.2,346.5,-5.47,III,0.06,0.94
-3243.2,347.5,-5.51,III,0.07,0.93
-3258.2,348.5,-5.55,III,0.08,0.92
-3273.2,349.5,-5.59,III,0.08,0.92
-3288.2,350.5,-5.63,III,0.09,0.91
-3303.2,351.5,-5.67,III,0.09,0.91
-3318.2,352.5,-5.7,III,0.1,0.9
-3333.2,353.5,-5.84,III,0.11,0.89
-3348.2,354.5,-6.13,III,0.12,0.88
-3363.2,355.5,-6.32,III,0.14,0.86
-3378.3,356.5,-6.3,III,0.15,0.85
-3393.3,357.5,-6.27,III,0.14,0.86
-3408.3,358.5,-6.06,III,0.13,0.87
-3423.3,359.5,-6.21,III,0.12,0.88
-3438.3,360.5,-6.49,III,0.11,0.89
-3453.3,361.5,-6.57,III,0.11,0.89
-3468.3,362.5,-7.33,III,0.11,0.89
-3483.3,363.5,-7.03,III,0.11,0.89
-3498.3,364.5,-6.68,III,0.11,0.89
-3513.3,365.5,-6.1,III,0.12,0.88
-3528.3,366.5,-5.86,III,0.16,0.84
-3543.3,367.5,-6.01,III,0.21,0.79
-3558.3,368.5,-6.07,III,0.25,0.75
-3573.3,369.5,-6.46,III,0.27,0.73
-3588.3,370.5,-6.65,III,0.25,0.75
-3603.3,371.5,-6.66,III,0.23,0.77
-3618.3,372.5,-6.59,III,0.2,0.8
-3633.3,373.5,-6.67,III,0.18,0.82
-3648.3,374.5,-6.92,III,0.15,0.85
-3663.3,375.5,-7.16,III,0.11,0.89
-3678.3,376.5,-6.79,III,0.07,0.93
-3693.3,377.5,-5.4,III,0.04,0.96
-3708.3,378.5,-5.26,III,0.03,0.97
-3723.3,379.5,-5.22,III,0.03,0.97
-3738.3,380.5,-5.38,III,0.04,0.96
-3753.3,381.5,-5.33,III,0.04,0.96
-3768.3,382.5,-5.45,III,0.04,0.96
-3783.3,383.5,-5.57,III,0.04,0.96
-3798.3,384.5,-5.42,III,0.05,0.95
-3813.3,385.5,-5.36,III,0.05,0.95
-3828.3,386.5,-5.66,III,0.05,0.95
-3843.3,387.5,-5.92,III,0.05,0.95
-3858.3,388.5,-6.28,III,0.05,0.95
-3873.3,389.5,-5.94,III,0.05,0.95
-3888.3,390.5,-5.34,III,0.05,0.95
-3903.3,391.5,-5.04,III,0.06,0.94
-3918.3,392.5,-5.03,III,0.06,0.94
-3933.3,393.5,-5.37,III,0.07,0.93
-3948.3,394.5,-5.72,III,0.07,0.93
-3963.3,395.5,-5.81,III,0.07,0.93
-3978.3,396.5,-6.21,III,0.07,0.93
-3993.3,397.5,-6.67,III,0.07,0.93
-4008.3,398.5,-6.05,III,0.07,0.93
-4023.3,399.5,-4.99,III,0.06,0.94
-4038.3,400.5,-5,III,0.05,0.95
-4053.3,401.5,-5,III,0.04,0.96
-4068.3,402.5,-5.03,III,0.03,0.97
-4083.3,403.5,-5.22,III,0.04,0.96
-4098.3,404.5,-5.11,III,0.05,0.95
-4113.3,405.5,-5.16,III,0.05,0.95
-4128.3,406.5,-5.52,III,0.06,0.94
-4143.3,407.5,-5.33,III,0.06,0.94
-4158.3,408.5,-4.87,III,0.05,0.95
-4173.3,409.5,-4.96,III,0.04,0.96
-4188.3,410.5,-5.15,III,0.03,0.97
-4203.3,411.5,-4.84,III,0.02,0.98
-4218.3,412.5,-4.77,III,0.03,0.97
-4233.3,413.5,-4.87,III,0.04,0.96
-4248.3,414.5,-5.17,III,0.04,0.96
-4263.3,415.5,-5.6,III,0.05,0.95
-4278.3,416.5,-5.31,III,0.04,0.96
-4293.3,417.5,-4.75,III,0.04,0.96
-4308.3,418.5,-4.91,III,0.03,0.97
-4323.3,419.5,-5.27,III,0.02,0.98
-4338.3,420.5,-5.54,III,0.02,0.98
-4353.4,421.5,-5.68,III,0.02,0.98
-4368.4,422.5,-6,III,0.03,0.97
-4383.4,423.5,-5.73,III,0.03,0.97
-4398.4,424.5,-5.44,III,0.03,0.97
-4413.4,425.5,-5.34,III,0.03,0.97
-4428.4,426.5,-5.17,III,0.03,0.97
-4443.4,427.5,-5.3,III,0.03,0.97
-4458.4,428.5,-5.67,III,0.04,0.96
-4473.4,429.5,-6.24,III,0.06,0.94
-4488.4,430.5,-6.57,III,0.09,0.91
-4503.4,431.5,-6.98,III,0.11,0.89
-4518.4,432.5,-5.93,III,0.12,0.88
-4533.4,433.5,-5.38,III,0.1,0.9
-4548.4,434.5,-5.3,III,0.08,0.92
-4563.4,435.5,-5.34,III,0.05,0.95
-4578.4,436.5,-5.13,III,0.03,0.97
-4593.4,437.5,-4.99,III,0.03,0.97
-4608.4,438.5,-5.22,III,0.03,0.97
-4623.4,439.5,-5.56,III,0.03,0.97
-4638.4,440.5,-5.92,III,0.03,0.97
-4653.4,441.5,-5.84,III,0.03,0.97
-4668.4,442.5,-5.16,III,0.03,0.97
-4683.4,443.5,-5.27,III,0.04,0.96
-4698.4,444.5,-5.67,III,0.04,0.96
-4713.4,445.5,-5.37,III,0.04,0.96
-4728.4,446.5,-5.65,III,0.04,0.96
-4743.4,447.5,-5.76,III,0.04,0.96
-4758.4,448.5,-5.48,III,0.04,0.96
-4773.4,449.5,-5.51,III,0.04,0.96
-4788.4,450.5,-5.19,III,0.04,0.96
-4803.4,451.5,-5.1,III,0.04,0.96
-4818.4,452.5,-5.07,III,0.04,0.96
-4833.4,453.5,-5.05,III,0.04,0.96
-4848.4,454.5,-5.03,III,0.04,0.96
-4863.4,455.5,-5,III,0.04,0.96
-4878.4,456.5,-5.01,III,0.04,0.96
-4893.4,457.5,-5.17,III,0.04,0.96
-4908.4,458.5,-5.29,III,0.04,0.96
-4923.4,459.5,-5.89,III,0.04,0.96
-4938.4,460.5,-5.33,III,0.04,0.96
-4953.4,461.5,-5.06,III,0.04,0.96
-4968.4,462.5,-5.21,III,0.04,0.96
-4983.4,463.5,-5.62,III,0.04,0.96
-4998.4,464.5,-5.65,III,0.04,0.96
-5013.4,465.5,-5.27,III,0.04,0.96
-5028.4,466.5,-5.09,III,0.04,0.96
-5043.4,467.5,-5.29,III,0.04,0.96
-5058.4,468.5,-5.39,III,0.04,0.96
-5073.4,469.5,-5.43,III,0.04,0.96
-5088.4,470.5,-5.49,III,0.04,0.96
-5103.4,471.5,-5.39,III,0.04,0.96
-5118.4,472.5,-5.59,III,0.04,0.96
-5133.4,473.5,-6.05,III,0.04,0.96
-5148.4,474.5,-6.28,III,0.04,0.96
-5163.4,475.5,-6.54,III,0.04,0.96
-5178.4,476.5,-6.04,III,0.04,0.96
-5193.4,477.5,-6.04,III,0.04,0.96
-5208.4,478.5,-5.93,III,0.04,0.96
-5223.4,479.5,-5.63,III,0.04,0.96
-5238.4,480.5,-5.7,III,0.04,0.96
-5253.4,481.5,-6.06,III,0.04,0.96
-5268.4,482.5,-6.75,III,0.04,0.96
-5283.4,483.5,-7.66,III,0.04,0.96
-5298.4,484.5,-6.46,III,0.04,0.96
-5313.4,485.5,-5.21,III,0.04,0.96
-5328.5,486.5,-5.59,III,0.04,0.96
-5343.5,487.5,-5.9,III,0.04,0.96
-5358.5,488.5,-5.34,III,0.04,0.96
-5373.5,489.5,-5.51,III,0.04,0.96
-5388.5,490.5,-5.62,III,0.04,0.96
-5403.5,491.5,-5.45,III,0.04,0.96
-5418.5,492.5,-5.19,III,0.04,0.96
-5433.5,493.5,-5.09,III,0.04,0.96
-5448.5,494.5,-5.29,III,0.04,0.96
-5463.5,495.5,-5.64,III,0.04,0.96
-5478.5,496.5,-5.92,III,0.04,0.96
-5493.5,497.5,-6.51,III,0.04,0.96
-5508.5,498.5,-7.25,III,0.04,0.96
-5523.5,499.5,-6.72,III,0.03,0.97
-5538.5,500.5,-7.59,III,0.03,0.97
-5553.5,501.5,-8.42,III,0.03,0.97
-5568.5,502.5,-6.59,III,0.03,0.97
-5583.5,503.5,-7.05,III,0.03,0.97
-5598.5,504.5,-6.76,III,0.03,0.97
-5613.5,505.5,-5.93,III,0.03,0.97
-5628.5,506.5,-5.21,III,0.03,0.97
-5643.5,507.5,-5.59,III,0.03,0.97
-5658.5,508.5,-5.7,III,0.03,0.97
-5673.5,509.5,-5.64,III,0.03,0.97
-5688.5,510.5,-5.55,III,0.03,0.97
-5703.5,511.5,-5.55,III,0.03,0.97
-5718.5,512.5,-5.73,III,0.03,0.97
-5733.5,513.5,-5.96,III,0.03,0.97
-5748.5,514.5,-5.93,III,0.03,0.97
-5763.5,515.5,-5.96,III,0.03,0.97
-5778.5,516.5,-5.94,III,0.03,0.97
-5793.5,517.5,-5.77,III,0.03,0.97
-5808.5,518.5,-6.1,III,0.03,0.97
-5823.5,519.5,-6,III,0.03,0.97
-5838.5,520.5,-5.57,III,0.03,0.97
-5853.5,521.5,-5.5,III,0.03,0.97
-5868.5,522.5,-5.84,III,0.03,0.97
-5883.5,523.5,-5.94,III,0.03,0.97
-5898.5,524.5,-5.76,III,0.03,0.97
-5913.5,525.5,-5.4,III,0.03,0.97
-5928.5,526.5,-5.15,III,0.03,0.97
-5943.5,527.5,-4.95,III,0.03,0.97
-5958.5,528.5,-4.79,III,0.03,0.97
-5973.5,529.5,-4.99,III,0.03,0.97
-5988.5,530.5,-5.26,III,0.03,0.97
-6003.5,531.5,-5.38,III,0.03,0.97
-6018.5,532.5,-5.35,III,0.03,0.97
-6033.5,533.5,-5.31,III,0.03,0.97
-6048.5,534.5,-5.46,III,0.03,0.97
-6063.5,535.5,-5.74,III,0.03,0.97
-6078.5,536.5,-5.55,III,0.03,0.97
-6093.5,537.5,-5.65,III,0.03,0.97
-6108.5,538.5,-5.77,III,0.03,0.97
-6123.5,539.5,-5.65,III,0.03,0.97
-6138.5,540.5,-5.22,III,0.03,0.97
-6153.5,541.5,-5.36,III,0.03,0.97
-6168.5,542.5,-5.19,III,0.03,0.97
-6183.5,543.5,-5.2,III,0.03,0.97
-6198.5,544.5,-5.29,III,0.03,0.97
-6213.5,545.5,-5.26,III,0.03,0.97
-6228.5,546.5,-5.02,III,0.03,0.97
-6243.5,547.5,-4.79,III,0.03,0.97
-6258.5,548.5,-4.55,III,0.03,0.97
-6273.5,549.5,-4.88,III,0.03,0.97
-6288.5,550.5,-4.77,III,0.03,0.97
-6303.6,551.5,-4.77,III,0.03,0.97
-6318.6,552.5,-5.2,III,0.03,0.97
-6333.6,553.5,-5.28,III,0.03,0.97
-6348.6,554.5,-5.02,III,0.03,0.97
-6363.6,555.5,-5.35,III,0.03,0.97
-6378.6,556.5,-4.86,III,0.03,0.97
-6393.6,557.5,-5.27,III,0.03,0.97
-6408.6,558.5,-4.68,III,0.03,0.97
-6423.6,559.5,-5.01,III,0.04,0.96
-6438.6,560.5,-5.59,III,0.05,0.95
-6453.6,561.5,-5.82,III,0.05,0.95
-6468.6,562.5,-5.76,III,0.06,0.94
-6483.6,563.5,-5.57,III,0.05,0.95
-6498.6,564.5,-5.2,III,0.04,0.96
-6513.6,565.5,-4.77,III,0.04,0.96
-6528.6,566.5,-4.76,III,0.03,0.97
-6543.6,567.5,-5.24,III,0.03,0.97
-6558.6,568.5,-5.28,III,0.02,0.98
-6573.6,569.5,-4.8,III,0.02,0.98
-6588.6,570.5,-4.68,III,0.02,0.98
-6603.6,571.5,-5.07,III,0.02,0.98
-6618.6,572.5,-4.86,III,0.03,0.97
-6633.6,573.5,-4.98,III,0.03,0.97
-6648.6,574.5,-5.3,III,0.04,0.96
-6663.6,575.5,-5.53,III,0.04,0.96
-6678.6,576.5,-5.38,III,0.04,0.96
-6693.6,577.5,-5.25,III,0.04,0.96
-6708.6,578.5,-5.28,III,0.04,0.96
-6723.6,579.5,-5.28,III,0.04,0.96
-6738.6,580.5,-5.22,III,0.04,0.96
-6753.6,581.5,-5.09,III,0.04,0.96
-6768.6,582.5,-4.77,III,0.04,0.96
-6783.6,583.5,-5.08,III,0.04,0.96
-6798.6,584.5,-5.43,III,0.04,0.96
-6813.6,585.5,-5.39,III,0.04,0.96
-6828.6,586.5,-5.34,III,0.03,0.97
-6843.6,587.5,-5.29,III,0.03,0.97
-6858.6,588.5,-5.41,III,0.03,0.97
