year (AD),depth (cm),d18O (permil),core ()
1069.6,58,1.12,SC
1059.7,59,1.12,SC
1049.8,60,1.42,SC
1039.9,61,1.22,SC
1030,62,1.41,SC
1020.2,63,1.08,SC
1010.3,64,1.24,SC
1000.5,65,1.17,SC
990.72,66,1.15,SC
980.93,67,1.21,SC
971.17,68,1.09,SC
966.29,68.5,1.04,SC
951.67,70,1.45,SC
941.95,71,1.26,SC
932.24,72,1.24,SC
922.55,73,1.17,SC
912.87,74,1.16,SC
903.21,75,1.13,SC
893.56,76,1.22,SC
883.93,77,1.35,SC
874.31,78,1.1,SC
864.71,79,1.17,SC
855.12,80,1.27,SC
845.55,81,1.41,SC
835.99,82,1.15,SC
826.45,83,1.33,SC
816.91,84,1.36,SC
807.4,85,1.46,SC
797.89,86,1.17,SC
788.41,87,1.33,SC
778.93,88,1.21,SC
769.47,89,1.42,SC
760.02,90,1.31,SC
750.58,91,1.28,SC
741.16,92,1.25,SC
731.75,93,1.25,SC
712.97,95,1.16,SC
703.6,96,1.29,SC
694.25,97,1.1,SC
684.9,98,1.13,SC
666.25,100,1.15,SC
647.65,102,1.27,SC
638.36,103,1.07,SC
629.09,104,1.21,SC
619.83,105,1.13,SC
610.58,106,1.19,SC
601.34,107,0.93,SC
592.12,108,1.27,SC
582.9,109,1.15,SC
573.7,110,0.92,SC
569.1,110.5,1.13,SC
555.33,112,1.1,SC
546.16,113,1.21,SC
537,114,1.01,SC
527.85,115,1.14,SC
518.71,116,1.04,SC
509.58,117,1.07,SC
500.46,118,0.8,SC
491.35,119,1.2,SC
482.25,120,1.02,SC
473.16,121,1.18,SC
464.08,122,1.16,SC
455.01,123,1.34,SC
445.95,124,1.25,SC
436.9,125,1.07,SC
427.86,126,1.13,SC
423.34,126.5,1.14,SC
418.83,127,1.28,SC
409.8,128,1.14,SC
400.79,129,1.32,SC
391.78,130,1.11,SC
382.78,131,1.06,SC
373.79,132,1.13,SC
364.81,133,0.88,SC
355.84,134,1.17,SC
346.87,135,1.1,SC
337.91,136,0.92,SC
328.96,137,1.14,SC
320.02,138,1.12,SC
302.16,140,1.23,SC
293.24,141,1.22,SC
284.32,142,1.21,SC
275.42,143,1.11,SC
266.52,144,1.13,SC
257.62,145,1.18,SC
248.74,146,1.12,SC
239.86,147,1.35,SC
230.98,148,1.16,SC
222.12,149,1.06,SC
213.25,150,0.96,SC
204.4,151,0.99,SC
195.55,152,1.14,SC
186.7,153,1.04,SC
177.86,154,1.2,SC
169.03,155,1.19,SC
160.2,156,0.87,SC
151.37,157,1.01,SC
142.56,158,0.91,SC
133.74,159,1.01,SC
124.93,160,1.08,SC
116.13,161,1.14,SC
107.32,162,1.12,SC
98.527,163,1.17,SC
89.734,164,0.91,SC
80.945,165,1.23,SC
72.159,166,1.26,SC
63.377,167,1.1,SC
54.599,168,1.14,SC
45.824,169,0.88,SC
37.051,170,1.11,SC
28.282,171,0.86,SC
6.3712,173.5,1.3,SC
-2.3887,174.5,1.2,SC
-11.146,175.5,1.04,SC
-33.031,178,1.3,SC
-41.782,179,0.91,SC
-50.531,180,0.98,SC
-59.278,181,1.22,SC
-68.024,182,1.2,SC
-76.769,183,1.05,SC
-85.513,184,1.05,SC
-94.256,185,1.08,SC
-103,186,1.03,SC
-111.74,187,0.93,SC
-120.48,188,1.07,SC
-129.22,189,1.09,SC
-137.96,190,0.98,SC
-146.7,191,1.13,SC
-155.45,192,1.06,SC
-164.19,193,1.17,SC
-168.56,193.5,1.18,SC
-172.93,194,1.17,SC
-181.67,195,1.14,SC
-190.42,196,1.13,SC
-199.16,197,1.16,SC
-207.9,198,1.06,SC
-225.4,200,1.25,SC
-242.9,202,1.1,SC
-251.65,203,1.14,SC
-260.41,204,1.02,SC
-269.17,205,1.21,SC
-277.93,206,1.21,SC
-286.69,207,1.14,SC
-299.84,208.5,1.24,SC
-321.77,211,1.12,SC
-330.55,212,1.2,SC
-339.33,213,1.1,SC
-348.12,214,1.22,SC
-365.7,216,1.13,SC
-374.5,217,1.19,SC
-383.3,218,0.93,SC
-383.3,218,0.924,SC
-392.1,219,0.97,SC
-409.73,221,0.97,SC
-418.55,222,1.33,SC
-427.38,223,1.2,SC
-436.21,224,1.22,SC
-436.21,224,1.4,SC
-445.05,225,1.13,SC
-453.89,226,1.12,SC
-462.74,227,1.02,SC
-471.59,228,1.21,SC
-480.45,229,1.2,SC
-489.32,230,1.3,SC
-498.19,231,1.4,SC
-507.07,232,1.08,SC
-515.96,233,1.37,SC
-524.86,234,1.21,SC
-533.76,235,1.19,SC
-542.67,236,1.29,SC
-551.58,237,1.04,SC
-560.51,238,1.29,SC
-569.44,239,1.453,SC
-578.38,240,1.363,SC
-587.33,241,1.381,SC
-605.25,243,1.387,SC
-614.23,244,1.25,SC
-623.21,245,1.337,SC
-632.2,246,1.16,SC
-641.21,247,1.181,SC
-659.24,249,1.269,SC
-668.27,250,1.18,SC
-677.31,251,1.457,SC
-686.37,252,1.14,SC
-695.43,253,1.224,SC
-704.5,254,1.4,SC
-713.58,255,1.12,SC
-722.68,256,1.23,SC
-731.78,257,1.197,SC
-740.9,258,1.32,SC
-750.03,259,1.208,SC
-759.17,260,1.29,SC
-782.07,262.5,0.943,SC
-795.85,264,1.19,SC
-805.05,265,0.982,SC
-814.27,266,1.24,SC
-823.5,267,1.072,SC
-832.74,268,0.99,SC
-841.99,269,1.134,SC
-851.26,270,1.36,SC
-860.54,271,1.105,SC
-869.84,272,1.13,SC
-879.15,273,1.183,SC
-888.47,274,1.14,SC
-897.81,275,1.381,SC
-907.16,276,0.83,SC
-916.53,277,1.162,SC
-925.91,278,1.2,SC
-935.31,279,1.175,SC
-944.72,280,1.27,SC
-954.15,281,1.065,SC
-963.6,282,1.21,SC
-973.06,283,0.919,SC
-982.54,284,1.09,SC
-992.03,285,1.035,SC
-1001.5,286,1.09,SC
-1011.1,287,0.944,SC
-1015.8,287.5,1.089,SC
-1020.6,288,0.9,SC
-1030.2,289,1.055,SC
-1039.8,290,0.98,SC
-1049.4,291,1.22,SC
-1059,292,1.02,SC
-1068.6,293,1.151,SC
-1078.3,294,1.23,SC
-1087.9,295,1.276,SC
-1097.6,296,1.26,SC
-1107.3,297,1.322,SC
-1126.8,299,1.28,SC
-1136.6,300,1.18,SC
-1146.3,301,1.19,SC
-1156.1,302,1.13,SC
-1170.9,303.5,1.15,SC
-1175.8,304,1.33,SC
-1185.7,305,1.13,SC
-1195.6,306,1.15,SC
-1205.5,307,1.21,SC
-1215.4,308,1.14,SC
-1235.3,310,1.2,SC
-1240.3,310.5,1.34,SC
-1245.3,311,1.11,SC
-1255.3,312,1.26,SC
-1265.3,313,0.98,SC
-1275.4,314,1.39,SC
-1285.5,315,1.29,SC
-1295.6,316,0.96,SC
-1305.7,317,1.12,SC
-1315.9,318,1.32,SC
-1326,319,1.29,SC
-1336.2,320,1.21,SC
-1346.4,321,1.13,SC
-1356.7,322,1.33,SC
-1366.9,323,1.21,SC
-1387.6,325,1.22,SC
-1397.9,326,1.24,SC
-1408.3,327,1.19,SC
-1418.7,328,1.29,SC
-1429.1,329,1.25,SC
-1439.5,330,1.24,SC
-1450,331,1.31,SC
-1460.5,332,1.27,SC
-1471,333,1.3,SC
-1481.5,334,1.15,SC
-1492.1,335,1.19,SC
-1502.7,336,1.2,SC
-1513.3,337,1.17,SC
-1524,338,1.18,SC
-1534.7,339,1.26,SC
-1545.4,340,1.31,SC
-1577.7,343,1.14,SC
-1588.5,344,1.17,SC
-1599.3,345,0.94,SC
-1610.2,346,1.23,SC
-1621.1,347,1.14,SC
-1632.1,348,1.26,SC
-1648.5,349.5,1.28,SC
-1665.1,351,1.31,SC
-1676.1,352,1.14,SC
-1687.2,353,1.45,SC
-1698.3,354,1.29,SC
-1709.5,355,1.31,SC
-1720.7,356,1.01,SC
-1731.9,357,1.15,SC
-1743.1,358,1.24,SC
-1754.4,359,0.97,SC
-1765.7,360,1.16,SC
-1777.1,361,1.083,SC
-1788.5,362,1.1,SC
-1799.9,363,0.98,SC
-1811.3,364,1.32,SC
-1822.8,365,0.94,SC
-1834.3,366,1.03,SC
-1845.8,367,1.15,SC
-1857.4,368,1.3,SC
-1869,369,1.19,SC
-1880.7,370,1.16,SC
-1892.3,371,1.29,SC
-1904.1,372,1.36,SC
-1915.8,373,0.99,SC
-1927.6,374,1.02,SC
-1939.4,375,1.36,SC
-1951.3,376,1.52,SC
-1963.2,377,1.38,SC
-1975.1,378,1.31,SC
-1987.1,379,1.21,SC
-1999.1,380,1.13,SC
-2011.1,381,1.22,SC
-2023.2,382,1.18,SC
-2035.3,383,1.14,SC
-2047.4,384,1.14,SC
-2059.6,385,1.27,SC
-2071.9,386,1.26,SC
-2084.1,387,1.09,SC
-2096.4,388,1.29,SC
-2108.8,389,1.34,SC
-2121.2,390,1.27,SC
-2133.6,391,1.33,SC
-2146,392,1.29,SC
-2158.5,393,1.31,SC
-2171.1,394,1.38,SC
-2183.7,395,1.29,SC
-2196.3,396,1.3,SC
-2209,397,1.25,SC
-2221.7,398,1.14,SC
-2234.4,399,1.24,SC
-2247.2,400,1.23,SC
-2260,401,1.26,SC
-2272.9,402,1.1,SC
-2285.8,403,1.2,SC
-2298.8,404,1.16,SC
-2311.8,405,1.11,SC
-2324.8,406,1.16,SC
-2337.9,407,1.15,SC
-2351,408,0.86,SC
-2364.2,409,1.42,SC
-2377.4,410,1.08,SC
-2390.7,411,1.51,SC
-2404,412,1.07,SC
-2417.3,413,1.48,SC
-2430.7,414,1.23,SC
-2444.2,415,1.45,SC
-2457.7,416,1.25,SC
-2471.2,417,1.34,SC
-2484.8,418,1.05,SC
-2498.4,419,1.26,SC
-2512.1,420,1.16,SC
-2525.8,421,1.41,SC
-2539.5,422,1.24,SC
-2553.4,423,1.23,SC
-2567.2,424,1.06,SC
-2567.2,424,1.29,SC
-2581.1,425,1.13,SC
-2595.1,426,1.12,SC
-2595.1,426,1.28,SC
-2609.1,427,1.38,SC
-2623.1,428,1.01,SC
-2623.1,428,1.42,SC
-2637.2,429,1.2,SC
-2651.4,430,1.2,SC
-2665.6,431,1.3,SC
-2679.8,432,1.01,SC
-2694.1,433,1.11,SC
-2708.5,434,1.33,SC
-2722.9,435,1.11,SC
-2737.3,436,0.94,SC
-2737.3,436,1.24,SC
-2751.8,437,1.35,SC
-2766.4,438,1.42,SC
-2781,439,1.4,SC
-2803,440.5,1.06,SC
-2810.3,441,1.37,SC
-2817.7,441.5,1.14,SC
-2825.1,442,1.03,SC
-2847.3,443.5,1.01,SC
-2862.2,444.5,1.1,SC
-2877.2,445.5,1.33,SC
-2892.2,446.5,1.29,SC
-2899.7,447,1.09,SC
-2914.8,448,0.89,SC
-2929.9,449,1.37,SC
-2945.1,450,1.17,SC
-2960.3,451,1.13,SC
-2968,451.5,1.24,SC
-2975.6,452,1.51,SC
-2991,453,1.38,SC
-2991,453,1.38,SC
-3014.1,454.5,1.36,SC
-3021.8,455,1.31,SC
-3037.3,456,1.22,SC
-3060.7,457.5,1.17,SC
-3076.4,458.5,1.3,SC
-3084.2,459,0.99,SC
-3100,460,1.32,SC
-3115.8,461,1.51,SC
-3131.6,462,1.42,SC
-3147.5,463,1.2,SC
-3171.5,464.5,1.22,SC
-3179.5,465,1.15,SC
-3195.6,466,1.19,SC
-3211.8,467,1.09,SC
-3228,468,0.99,SC
-3244.2,469,1.44,SC
-3268.7,470.5,1.22,SC
-3276.9,471,1.35,SC
-3309.9,473,1.52,SC
-3326.5,474,1.29,SC
-3326.5,474,1.17,SC
-3343.1,475,1.31,SC
-3359.8,476,1.16,SC
-3393.3,478,1.39,SC
-3427.1,480,1.28,SC
-3444.1,481,1.04,SC
-3461.2,482,1.1,SC
-3478.3,483,1.35,SC
-3495.5,484,1.27,SC
-3512.8,485,1.12,SC
-3530.1,486,1.29,SC
-3547.4,487,1.14,SC
-3564.9,488,1.24,SC
-3582.4,489,1.09,SC
-3608.8,490.5,1.27,SC
-3617.6,491,1.21,SC
-3635.3,492,1.32,SC
-3653.1,493,1.33,SC
-3670.9,494,1.27,SC
-3688.8,495,1.14,SC
-3706.8,496,1.43,SC
-3724.8,497,1.14,SC
-3752,498.5,1.24,SC
-3761.1,499,1.25,SC
-3779.4,500,1.33,SC
-3797.7,501,1.5,SC
-3825.2,502.5,1.15,SC
-3834.5,503,1.12,SC
-3853,504,1.21,SC
-3871.6,505,1.42,SC
-3890.2,506,1.27,SC
-3909,507,1.33,SC
-3927.7,508,1.26,SC
-3946.6,509,1.42,SC
-3965.5,510,1.32,SC
-3984.6,511,1.35,SC
-3994.1,511.5,1.12,SC
-4003.6,512,1.32,SC
-4022.8,513,1.38,SC
-4042,514,1.31,SC
-4061.3,515,1.24,SC
-4080.7,516,1.48,SC
-4100.1,517,1.45,SC
-4119.6,518,1.35,SC
-4139.2,519,1.34,SC
-4149,519.5,1.56,SC
-4158.9,520,1.24,SC
-4178.6,521,1.41,SC
-4198.4,522,1.45,SC
-4218.3,523,1.44,SC
-4238.2,524,1.47,SC
-4258.3,525,1.38,SC
-4278.4,526,1.44,SC
-4298.6,527,1.4,SC
-4318.8,528,1.43,SC
-4349.3,529.5,1.08,SC
-4359.6,530,1.37,SC
-4380,531,1.15,SC
-4400.6,532,1.15,SC
-4421.3,533,1.26,SC
-4442,534,1.26,SC
-4462.8,535,1.45,SC
-4494.1,536.5,1.38,SC
-4504.6,537,1.21,SC
-4525.6,538,1.07,SC
-4546.8,539,1.27,SC
-4568,540,1.16,SC
-4589.2,541,1.23,SC
-4610.6,542,1.21,SC
-4632,543,1.22,SC
-4653.5,544,1.18,SC
-4675.1,545,1.299,SC
-4696.8,546,1.471,SC
-4729.5,547.5,1.35,SC
-4751.4,548.5,1.57,SC
-4773.3,549.5,1.51,SC
-4795.4,550.5,1.38,SC
-4817.5,551.5,1.45,SC
-4839.7,552.5,1.294,SC
-4873.2,554,1.357,SC
-4895.6,555,1.464,SC
-4918.1,556,1.491,SC
-4940.7,557,1.28,SC
-4963.4,558,1.47,SC
-4986.2,559,1.299,SC
-5009,560,1.389,SC
-5032,561,1.273,SC
-5055,562,1.431,SC
-5078.1,563,1.463,SC
-5101.3,564,1.328,SC
-5124.6,565,1.44,SC
-5148,566,1.283,SC
-5171.4,567,1.357,SC
-5195,568,1.239,SC
-5242.3,570,1.746,SC
-5266.1,571,1.542,SC
-5290.1,572,1.198,SC
-5314,573,1.446,SC
-5338.1,574,1.341,SC
-5362.3,575,1.123,SC
-5386.6,576,1.067,SC
-5410.9,577,1.268,SC
-5435.4,578,1.241,SC
-5459.9,579,1.338,SC
-5484.5,580,1.343,SC
-5509.3,581,1.169,SC
-5534.1,582,1.153,SC
-5559,583,1.308,SC
-5584,584,1.176,SC
-5609.1,585,1.13,SC
-5634.3,586,1.342,SC
-5659.6,587,1.463,SC
-5685,588,1.489,SC
-5710.4,589,1.265,SC
-5736,590,1.386,SC
-5761.7,591,1.083,SC
-5904.5,596.5,1.378,SC
-5930.8,597.5,1.123,SC
