year (AD),d18O (permil),d18O (permil),d13C (permil)
-4018,-3.42,-3.42,-8.82
-4039,-3.41,-3.41,-8.55
-4121,-3.38,-3.38,-8.02
-4203,-3.34,-3.34,-6.55
-4272,-3.01,-3.01,-6.48
-4409,-3.2,-3.2,-7.24
-4491,-3.44,-3.44,-6.15
-4532,-3.05,-3.04,-7.02
-4714,-3.5,-3.48,-7.12
-4791,-2.94,-2.91,-7.42
-4821,-3.21,-3.18,-7.57
-5047,-2.95,-2.89,-8
-5203,-3.44,-3.37,-6.45
-5232,-3.14,-3.07,-7.92
-5250,-3.45,-3.37,-6.41
-5300,-3.44,-3.36,-9.02
-5520,-3.09,-2.99,-5.66
-5550,-3.42,-3.32,-8.9
-5650,-3.48,-3.36,-6
-5797,-3.29,-3.16,-8.09
-5808,-3.64,-3.51,-8.14
-6039,-3.11,-2.96,-7.72
-6058,-3.57,-3.41,-6.09
-6117,-3.59,-3.43,-8.37
-6151,-3.52,-3.35,-8.59
-6277,-3.22,-3.04,-8.73
-6378,-3.4,-3.21,-7.78
-6429,-3.5,-3.31,-6.05
-6464,-3.28,-3.08,-6.19
-6509,-3.42,-3.22,-8.36
-6627,-3.6,-3.38,-7.95
-6736,-3.38,-3.16,-8.75
-6767,-3.47,-3.24,-7.05
-6831,-3.57,-3.34,-7.69
-6958,-3.38,-3.14,-8.26
-7074,-3.55,-3.28,-7.42
-7149,-3.82,-3.55,-8.29
-7171,-3.57,-3.3,-6.62
-7172,-3.24,-2.98,-7.63
-7330,-3.3,-3.01,-8
-7353,-3.44,-3.15,-6.55
-7380,-3.29,-3.01,-8.64
-7557,-3.69,-3.38,-7.1
-7581,-3.4,-3.09,-7.63
-7607,-3.68,-3.37,-9.54
-7716,-3.36,-3.03,-6.64
-7774,-3.3,-2.98,-7.68
-7829,-3.25,-2.91,-7.01
-7839,-3.44,-3.1,-10.34
-7942,-3.44,-3.09,-7.45
-7959,-3.38,-3.03,-8.21
-8033,-3.48,-3.12,-7.47
-8052,-3.53,-3.17,-9.53
-8056,-3.46,-3.1,-7.75
-8103,-3.24,-2.87,-7.52
-8135,-3.39,-3.03,-7.72
-8249,-3.48,-3.11,-8.09
-8283,-3.42,-3.05,-7.11
-8302,-3.39,-3.01,-7.75
-8419,-3.64,-3.26,-7.8
-8432,-3.41,-3.02,-7.89
-8460,-3.32,-2.93,-7.91
-8509,-3.62,-3.23,-8.33
-8532,-3.45,-3.06,-8.18
-8579,-3.27,-2.88,-8.02
-8604,-3.39,-2.99,-8.31
-8644,-3.5,-3.09,-8.06
-8672,-3.36,-2.96,-7.67
-8769,-3.36,-2.95,-9.55
-8777,-3.15,-2.74,-7.31
-8859,-3.39,-2.98,-8.04
-8929,-3.36,-2.93,-10
-8976,-3.36,-2.94,-8.16
-9023,-3.6,-3.16,-8.24
-9046,-3.33,-2.9,-8.78
-9075,-3.75,-3.32,-3.76
-9087,-3.29,-2.85,-9.09
-9106,-3.51,-3.08,-4.02
-9137,-3.39,-2.95,-4.77
-9151,-3.5,-3.06,-8.09
-9169,-3.36,-2.92,-4.43
-9185,-3.65,-3.19,-8.31
-9200,-3.7,-3.26,-6.02
-9231,-3.7,-3.26,-6.04
-9246,-3.35,-2.9,-9.12
-9256,-3.39,-2.95,-9.28
-9262,-3.32,-2.88,-9.04
-9262,-3.9,-3.45,-6.42
-9270,-3.25,-2.81,-8.79
-9294,-3.8,-3.36,-6.36
-9325,-3.79,-3.34,-6.43
-9356,-4.11,-3.67,-6.08
-9367,-3.11,-2.66,-8.3
-9388,-4.16,-3.71,-7.06
-9409,-3.39,-2.93,-6.68
-9419,-3.84,-3.39,-6.96
-9431,-3.43,-2.97,-8.62
-9450,-3.73,-3.28,-6.71
-9481,-3.84,-3.38,-6.67
-9493,-3.41,-2.94,-7.74
-9496,-3.53,-3.07,-8.4
-9513,-3.72,-3.26,-6.5
-9544,-3.64,-3.17,-6.35
-9575,-3.76,-3.3,-6.6
-9579,-3.42,-2.95,-7.02
-9593,-3.33,-2.86,-8.35
-9606,-3.97,-3.51,-6.84
-9638,-4.08,-3.61,-6.58
-9667,-3.35,-2.87,-7
-9669,-4.16,-3.68,-6.88
-9674,-3.28,-2.81,-8
-9700,-3.93,-3.46,-6.81
-9726,-3.43,-2.94,-7.6
-9731,-4.02,-3.54,-6.7
-9758,-3.41,-2.92,-7.72
-9763,-4.01,-3.53,-7.09
-9794,-4.05,-3.57,-7.33
-9803,-3.14,-2.66,-7.4
-9815,-4.01,-3.52,-7.3
-9837,-4.01,-3.53,-7.04
-9853,-3.39,-2.9,-6.86
-9858,-4.15,-3.67,-7.22
-9880,-4.01,-3.52,-6.73
-9891,-3.41,-2.91,-7.9
-9901,-3.88,-3.39,-6.9
-9922,-3.76,-3.27,-6.67
-9932,-3.32,-2.82,-8.26
-9944,-3.93,-3.44,-6.61
-9950,-3.4,-2.9,-7.98
-9965,-4.06,-3.57,-6.93
-9987,-3.88,-3.39,-6.81
-10008,-4.11,-3.62,-6.95
-10029,-4.08,-3.59,-6.9
-10051,-3.85,-3.35,-6.78
-10052,-3.32,-2.8,-7.42
-10061,-3.45,-2.94,-7.45
-10072,-3.93,-3.42,-6.81
-10093,-3.7,-3.19,-6.19
-10115,-3.77,-3.26,-6.57
-10136,-3.9,-3.39,-7
-10157,-3.66,-3.13,-7.87
-10158,-4,-3.48,-7.3
-10179,-4.11,-3.59,-7.53
-10200,-4.12,-3.59,-7.5
-10222,-3.93,-3.41,-7.24
-10238,-3.67,-3.13,-6.43
-10243,-4.12,-3.59,-7.44
-10265,-3.91,-3.38,-7.09
-10267,-3.51,-2.96,-7.42
-10286,-3.8,-3.27,-7.05
-10311,-3.67,-3.12,-7.25
-10319,-3.95,-3.41,-7
-10322,-3.38,-2.84,-7.81
-10352,-3.94,-3.4,-6.89
-10357,-3.65,-3.1,-8.06
-10383,-3.38,-2.82,-6.44
-10385,-4.09,-3.55,-7.23
-10417,-3.7,-3.15,-6.92
-10450,-3.98,-3.42,-7.32
-10483,-4.15,-3.59,-7.53
-10503,-3.1,-2.52,-6.06
-10516,-4.27,-3.71,-7.88
-10538,-3.31,-2.74,-7.63
-10549,-4.11,-3.54,-7.79
-10582,-3.93,-3.35,-7.45
-10614,-3.99,-3.41,-7.29
-10629,-3.57,-2.97,-7.57
-10635,-3.44,-2.85,-6.47
-10647,-3.89,-3.3,-6.96
-10680,-3.88,-3.29,-7.12
-10713,-4.02,-3.43,-7.41
-10761,-3.28,-2.67,-6.71
-10877,-4.03,-3.41,-8.02
-10900,-3.62,-2.98,-7.25
-10912,-3.69,-3.06,-7.27
-11018,-3.27,-2.63,-7.45
-11041,-3.84,-3.2,-7.14
-11045,-3.38,-2.72,-7.42
-11067,-3.68,-3.03,-7.01
-11197,-3.72,-3.04,-8.77
-11205,-3.75,-3.09,-6.23
-11271,-3.73,-3.06,-6.57
-11313,-3.56,-2.87,-7.16
-11346,-3.7,-3.02,-7.08
-11357,-3.58,-2.88,-9.86
-11472,-4.05,-3.36,-7.32
-11479,-2.86,-2.15,-5.44
-11497,-3.11,-2.4,-6.66
-11524,-3.63,-2.91,-7.38
-11526,-3.31,-2.59,-6.65
-11529,-3.53,-2.81,-5.93
-11556,-3.35,-2.63,-5.96
-11585,-3.29,-2.57,-6.66
-11598,-3.7,-2.99,-6.26
-11614,-3.31,-2.58,-6.98
-11644,-3.23,-2.5,-6.71
-11673,-3.06,-2.33,-6.6
-11700,-3.52,-2.78,-7.41
-11702,-3.59,-2.85,-7.45
-11724,-3.73,-3,-6.97
-11732,-3.86,-3.12,-8.13
-11761,-3.86,-3.11,-8.36
-11790,-3.07,-2.32,-6.82
-11820,-3.29,-2.53,-7.16
-11849,-3.44,-2.68,-7.56
-11849,-3.8,-3.06,-6.74
-11865,-3.65,-2.88,-7.2
-11878,-3.73,-2.97,-8.04
-11884,-3.65,-2.88,-7.19
-11908,-3.56,-2.79,-7.17
-11937,-3.42,-2.65,-7.43
-11966,-3.65,-2.87,-7.96
-11975,-4.17,-3.41,-7.27
-11977,-3.51,-2.74,-7.86
-11996,-3.45,-2.67,-7.3
-12025,-3.58,-2.79,-7.7
-12055,-3.6,-2.81,-8.04
-12077,-2.87,-2.07,-4.95
-12078,-3.2,-2.41,-6.75
-12084,-3.1,-2.31,-6.43
-12101,-3.63,-2.85,-5.65
-12117,-3.08,-2.29,-6.48
-12149,-3.37,-2.57,-6.61
-12181,-3.57,-2.76,-6.9
-12213,-3.45,-2.64,-6.5
-12245,-3.17,-2.35,-7.06
-12277,-3.58,-2.76,-6.87
-12279,-3.4,-2.57,-6.84
-12309,-3.18,-2.36,-5.91
-12342,-3.11,-2.28,-6.32
-12374,-3.52,-2.69,-6.87
-12406,-3.58,-2.75,-6.92
-12438,-3.34,-2.5,-6.48
-12470,-3.36,-2.51,-6.07
-12491,-3.21,-2.36,-6.06
-12502,-3.64,-2.79,-6.82
-12535,-3.29,-2.43,-6.41
-12567,-3.48,-2.62,-7.22
-12599,-3.9,-3.04,-7.96
-12631,-3.96,-3.1,-7.77
-12663,-3.22,-2.35,-6.42
-12695,-3.12,-2.24,-5.96
-12713,-3.52,-2.64,-6.98
-12727,-3.16,-2.28,-5.84
-12760,-3.09,-2.2,-6.19
-12792,-3.48,-2.59,-7
-12811,-3.54,-2.65,-6.79
-12819,-3.58,-2.69,-6.65
-12841,-3.77,-2.87,-7.79
-12862,-3.61,-2.71,-6.79
-12883,-3.77,-2.86,-7.06
-12904,-3.55,-2.64,-6.43
-12925,-3.27,-2.36,-5.42
-12936,-3.33,-2.43,-6.72
-12945,-3.5,-2.58,-6.68
-12946,-3.38,-2.47,-6.07
-12967,-3.82,-2.9,-5.63
-12989,-3.42,-2.51,-6.06
-13010,-3.36,-2.44,-5.86
-13031,-3.34,-2.42,-6.35
-13044,-3.49,-2.58,-5.47
-13073,-3.86,-2.93,-6.83
-13094,-3.33,-2.39,-6.26
-13116,-3.49,-2.55,-6.46
-13137,-3.97,-3.03,-6.93
-13158,-3.93,-2.99,-6.84
-13188,-3.66,-2.71,-7.52
-13200,-3.75,-2.8,-6.75
-13221,-3.48,-2.53,-6.71
-13242,-3.62,-2.67,-6.38
-13264,-3.58,-2.63,-6.72
-13285,-4.06,-3.1,-7.36
-13306,-3.84,-2.88,-6.72
-13327,-3.85,-2.88,-7.11
-13359,-3.78,-2.81,-5.77
-13385,-3.93,-2.96,-6.92
-13440,-3.97,-2.99,-6.16
-13442,-3.51,-2.52,-6.88
-13442,-4.33,-3.35,-7.82
-13500,-3.43,-2.44,-6.43
-13509,-3.77,-2.78,-6.29
-13526,-3.73,-2.73,-6.32
-13557,-3.52,-2.53,-6.5
-13612,-3.97,-2.96,-6.22
-13615,-3.66,-2.66,-6.73
-13673,-3.71,-2.7,-6.18
-13694,-4.18,-3.16,-7.37
-13707,-3.86,-2.84,-7.08
-13730,-3.81,-2.79,-6.7
-13784,-4.02,-2.99,-6.42
-13788,-3.89,-2.86,-6.3
-13845,-3.68,-2.65,-6.12
-13870,-3.98,-2.94,-7.51
-13903,-3.68,-2.64,-6.22
-13956,-4.27,-3.22,-7.66
-13960,-3.5,-2.45,-5.7
-13984,-3.66,-2.6,-8.04
-13988,-3.82,-2.79,-4.91
-14015,-3.56,-2.51,-6.9
-14018,-3.72,-2.67,-6.24
-14050,-4.03,-2.98,-7.02
-14076,-3.69,-2.63,-5.97
-14123,-4.08,-3.01,-6.9
-14133,-4.2,-3.14,-7.27
-14149,-4.11,-3.05,-7.06
-14191,-3.79,-2.72,-5.98
-14248,-4.14,-3.07,-7.32
-14273,-3.48,-2.41,-6.39
-14306,-3.66,-2.59,-6.47
-14329,-3.6,-2.53,-6.32
-14357,-3.51,-2.43,-6.1
-14403,-3.93,-2.86,-6.68
-14429,-4.23,-3.15,-7.42
-14449,-3.83,-2.75,-6.53
-14495,-3.62,-2.54,-6.3
-14541,-3.65,-2.57,-6.34
-14547,-4,-2.91,-6.19
-14575,-3.8,-2.71,-8.17
-14587,-3.58,-2.49,-6.16
-14634,-4.32,-3.23,-7.49
-14660,-3.99,-2.9,-7.14
-14680,-4.02,-2.93,-6.71
-14726,-4.43,-3.34,-7.02
-14772,-3.93,-2.84,-6.12
-14773,-3.95,-2.85,-6.55
-14818,-3.57,-2.47,-5.8
-14864,-3.67,-2.57,-5.53
-14886,-4.15,-3.05,-7.13
-14889,-3.77,-2.66,-7.4
-14910,-3.43,-2.33,-5.51
-14931,-4.01,-2.93,-6.27
-14957,-3.46,-2.35,-5.83
-14998,-4.16,-3.06,-7.17
-15003,-4.06,-2.95,-6.88
-15049,-3.77,-2.66,-6.38
-15095,-4.03,-2.92,-6.82
-15111,-4.03,-2.92,-5.9
-15118,-4.05,-2.94,-6.77
-15141,-4.07,-2.96,-6.71
-15187,-4.17,-3.05,-7.03
-15224,-4,-2.88,-7.18
-15233,-4.19,-3.07,-7.05
-15279,-3.78,-2.66,-5.98
-15284,-3.79,-2.68,-6.72
-15326,-3.59,-2.46,-5.67
-15326,-4.1,-2.97,-5.55
-15337,-4.16,-3.04,-5.09
-15372,-3.57,-2.44,-5.75
-15416,-4.16,-3.03,-5.89
-15418,-3.64,-2.51,-5.29
-15455,-4.16,-3.03,-6.16
-15464,-3.83,-2.7,-6.23
-15510,-3.6,-2.46,-5.52
-15556,-3.59,-2.46,-5.64
-15602,-3.51,-2.37,-5.51
-15620,-3.84,-2.7,-5.66
-15642,-3.94,-2.8,-5.05
-15649,-3.61,-2.47,-6.13
-15663,-3.9,-2.76,-5.57
-15695,-4.14,-3,-6.78
-15695,-3.79,-2.65,-6.21
-15727,-3.98,-2.84,-5.41
-15741,-3.85,-2.7,-6.38
-15759,-3.97,-2.82,-5.28
-15776,-3.82,-2.67,-5.02
-15787,-3.63,-2.48,-5.19
-15803,-4.06,-2.91,-5.25
-15858,-3.71,-2.56,-4.79
-15874,-3.89,-2.77,-1.52
-15915,-3.78,-2.63,-5.13
-15933,-4.26,-3.1,-6.99
-15985,-3.87,-2.71,-5.55
-16033,-4.4,-3.24,-6.55
-16076,-3.87,-2.72,-4.77
-16090,-4.23,-3.07,-7.01
-16094,-4.09,-2.93,-3.93
-16158,-3.91,-2.75,-5.43
-16223,-3.95,-2.78,-5.59
-16247,-4.11,-2.95,-5.6
-16291,-4.23,-3.07,-5.5
-16360,-4.23,-3.06,-6
-16393,-4.07,-2.91,-5.83
-16395,-4.07,-2.9,-6.1
-16433,-4.14,-2.97,-6.01
-16507,-4.08,-2.91,-5.71
-16552,-4.08,-2.91,-5.82
-16560,-4.17,-3,-6.29
-16585,-4,-2.83,-5.96
-16620,-3.97,-2.8,-5.92
-16665,-3.97,-2.8,-5.96
-16710,-4.36,-3.19,-5.95
-16717,-4.3,-3.13,-6.46
-16749,-4.01,-2.83,-5.76
-16786,-4.09,-2.94,-2.96
-16823,-3.99,-2.82,-5.76
-16836,-3.89,-2.71,-6.02
-16873,-4.04,-2.86,-6.78
-16926,-3.88,-2.7,-5.3
-16936,-4.09,-2.91,-5.75
-17019,-4.26,-3.08,-5.99
-17030,-4.18,-3,-5.93
-17071,-4.06,-2.88,-5.96
-17085,-4.22,-3.04,-5.97
-17116,-4.09,-2.91,-5.33
-17117,-4.12,-2.94,-5.71
-17162,-4.02,-2.84,-5.35
-17212,-4.31,-3.12,-6.04
-17218,-4.1,-2.92,-6.2
-17274,-3.85,-2.67,-5.83
-17323,-4.03,-2.85,-6.14
-17365,-3.86,-2.68,-5.92
-17387,-4.31,-3.13,-5.97
-17406,-3.93,-2.74,-4.63
-17500,-4.32,-3.13,-6.47
-17545,-3.71,-2.51,-5.26
-17568,-4.02,-2.83,-4.59
-17582,-4.23,-3.04,-6.32
-17601,-4.01,-2.81,-4.69
-17640,-4.15,-2.96,-6.27
-17698,-4.09,-2.92,-2.54
-17698,-4.05,-2.85,-6.06
-17698,-4.16,-2.97,-6.26
-17749,-4.12,-2.93,-5.8
-17766,-4.11,-2.92,-5.69
-17785,-4.28,-3.08,-6.79
-17796,-4.18,-2.98,-5.44
-17899,-4.14,-2.94,-6.36
-17966,-4.18,-2.98,-6.15
-17990,-3.87,-2.67,-3.53
-18044,-4.22,-3.02,-9.48
-18099,-4.14,-2.95,-5.77
-18185,-4,-2.8,-4.71
-18265,-4.08,-2.9,-6.23
-18299,-4.22,-3.04,-6.51
-18323,-4.31,-3.12,-6.8
-18370,-3.9,-2.71,-4.03
-18380,-3.91,-2.72,-5.31
-18432,-3.99,-2.82,-6.3
-18500,-4.06,-2.87,-6.79
-18565,-4.02,-2.86,-6.7
-18574,-4.17,-2.99,-6.71
-18609,-4.7,-3.53,-4.56
-18623,-4.14,-2.96,-9.84
-18632,-4.22,-3.07,-6.59
-18665,-4.22,-3.07,-6.58
-18769,-4.06,-2.89,-5.38
-18775,-4.07,-2.93,-6.36
-18781,-4.07,-2.9,-9.15
-18945,-4,-2.84,-8.46
-18964,-3.98,-2.81,-5.86
-19051,-4.13,-3.01,-6.38
-19051,-4.15,-3.03,-6.44
-19168,-4.02,-2.86,-6.03
-19271,-3.84,-2.74,-6.64
-19291,-3.87,-2.71,-7.25
-19353,-3.96,-2.8,-4.87
-19492,-4.22,-3.13,-6.78
-19521,-4.31,-3.14,-3.41
-19547,-3.86,-2.78,-5.83
-19548,-4.1,-2.96,-5.36
-19662,-3.89,-2.75,-7.44
-19713,-3.7,-2.63,-5.53
-19823,-3.78,-2.72,-5.76
-19933,-3.81,-2.76,-5.95
-19988,-3.92,-2.86,-5.74
-20059,-3.77,-2.64,-5.76
-20098,-3.66,-2.62,-5.54
-20209,-3.6,-2.57,-5.98
-20319,-3.74,-2.71,-6.66
-20429,-3.92,-2.91,-6.92
-20433,-4.31,-3.14,-3.55
-20483,-3.94,-2.83,-5.31
-20484,-3.57,-2.56,-5.31
-20539,-3.94,-2.93,-6.87
-20705,-4.15,-3.15,-7.54
-20760,-4.07,-3.08,-7.5
-20935,-3.92,-2.82,-3.99
-20980,-4.43,-3.26,-3.68
-21036,-3.99,-3.01,-7.45
-21345,-4.51,-3.34,-3.79
-21588,-3.84,-2.91,-6.96
-22140,-3.72,-2.84,-6.17
-22416,-3.74,-2.87,-6.32
-23243,-3.26,-2.45,-5.69
-23795,-3.17,-2.4,-5.98
-24071,-3.53,-2.79,-6.34
-24546,-3.23,-2.52,-6.16
-25971,-3.37,-2.69,-6.7
-26921,-3.65,-2.97,-7.43
-27396,-3.47,-2.74,-6.51
-27871,-3.53,-2.75,-6.27
