year (AD),d18O (permil),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1934,-36.3,20.75,9.64,158
1933,-34.4,21.02,9.8,158
1932,-33.6,21.29,9.96,158
1931,-34,21.56,10.11,158
1930,-34,21.83,10.27,158
1929,-33.7,22.1,10.43,158
1928,-31.5,22.37,10.59,158
1927,-32.7,22.64,10.75,158
1926,-34.2,22.9,10.9,158
1925,-36.4,23.17,11.06,158
1924,-36.8,23.43,11.22,158
1923,-37.3,23.69,11.38,158
1922,-35,23.95,11.54,158
1921,-36.1,24.21,11.69,158
1920,-35.5,24.47,11.85,158
1919,-36.1,24.73,12.01,158
1918,-36.6,24.99,12.17,158
1917,-37.3,25.25,12.33,158
1916,-34.7,25.5,12.48,158
1915,-32.7,25.76,12.64,158
1914,-35.1,26.01,12.8,158
1913,-35.1,26.27,12.96,158
1912,-34.3,26.52,13.12,175
1911,-33.9,26.8,13.29,175
1910,-35.6,27.08,13.47,175
1909,-37.1,27.36,13.64,175
1908,-35,27.63,13.82,175
1907,-34.7,27.91,13.99,175
1906,-34.9,28.18,14.17,175
1905,-34.4,28.46,14.34,175
1904,-36.3,28.73,14.52,175
1903,-33.8,29,14.69,175
1902,-33,29.27,14.87,175
1901,-34.8,29.54,15.04,175
1900,-34.8,29.81,15.22,175
1899,-36.1,30.08,15.39,175
1898,-36.9,30.35,15.57,175
1897,-36.6,30.62,15.74,175
1896,-35.6,30.88,15.92,175
1895,-35.3,31.15,16.09,175
1894,-35.3,31.41,16.27,175
1893,-36.2,31.68,16.44,175
1892,-33.7,31.94,16.62,175
1891,-34.1,32.21,16.79,175
1890,-34.2,32.47,16.97,175
1889,-33.7,32.73,17.14,175
1888,-34.5,32.99,17.32,175
1887,-34.8,33.25,17.49,175
1886,-36.8,33.51,17.66,175
1885,-35.2,33.77,17.84,175
1884,-35.4,34.03,18.01,175
1883,-36.5,34.29,18.19,175
1882,-36.3,34.54,18.36,175
1881,-35,34.8,18.54,175
1880,-35.5,35.06,18.71,175
1879,-37,35.31,18.89,175
1878,-34.3,35.57,19.06,175
1877,-34.2,35.82,19.24,175
1876,-34,36.08,19.41,175
1875,-34.5,36.33,19.59,175
1874,-35.5,36.58,19.76,175
1873,-35.1,36.83,19.94,175
1872,-35.1,37.09,20.11,175
1871,-33.2,37.34,20.29,175
1870,-34,37.59,20.46,175
1869,-34.1,37.84,20.64,175
1868,-35.1,38.09,20.81,175
1867,-37.8,38.34,20.99,175
1866,-36.8,38.59,21.16,175
1865,-36.6,38.83,21.34,175
1864,-35.9,39.08,21.51,175
1863,-36.6,39.33,21.69,175
1862,-38.5,39.58,21.86,175
1861,-36.7,39.82,22.04,175
1860,-35.7,40.07,22.21,175
1859,-35.2,40.31,22.39,175
1858,-35.4,40.56,22.56,175
1857,-36.3,40.8,22.74,175
1856,-34.3,41.05,22.91,175
1855,-34.9,41.29,23.09,175
1854,-34.9,41.53,23.26,175
1853,-35.4,41.78,23.44,175
1852,-36.4,42.02,23.61,175
1851,-33.8,42.26,23.79,175
1850,-34.3,42.5,23.96,175
1849,-35.9,42.74,24.14,175
1848,-35.7,42.98,24.31,175
1847,-34.9,43.23,24.49,175
1846,-36.5,43.47,24.66,175
1845,-35.3,43.71,24.84,175
1844,-35.7,43.94,25.01,175
1843,-36.2,44.18,25.19,175
1842,-36.1,44.42,25.36,175
1841,-35.7,44.66,25.54,175
1840,-35.5,44.9,25.71,175
1839,-35,45.14,25.89,175
1838,-35.4,45.37,26.06,175
1837,-34.7,45.61,26.24,175
1836,-34.8,45.85,26.41,175
1835,-37.7,46.08,26.59,175
1834,-38.1,46.32,26.76,175
1833,-36.2,46.55,26.94,175
1832,-35,46.79,27.11,175
1831,-36.2,47.02,27.29,175
1830,-34.2,47.26,27.46,175
1829,-33.6,47.49,27.64,175
1828,-35.3,47.73,27.81,175
1827,-35.5,47.96,27.98,175
1826,-35.7,48.19,28.16,175
1825,-36.3,48.43,28.33,175
1824,-35.8,48.66,28.51,175
1823,-35.7,48.89,28.68,175
1822,-35.4,49.12,28.86,175
1821,-35.5,49.35,29.03,175
1820,-35.8,49.59,29.21,175
1819,-35.9,49.82,29.38,175
1818,-36.3,50.05,29.56,175
1817,-36.1,50.28,29.73,175
1816,-36.7,50.51,29.91,178
1815,-36.4,50.74,30.09,178
1814,-35.1,50.98,30.27,178
1813,-35.8,51.21,30.44,178
1812,-37.7,51.45,30.62,178
1811,-34.3,51.68,30.8,178
1810,-35,51.91,30.98,178
1809,-34.4,52.15,31.16,178
1808,-34.1,52.38,31.34,178
1807,-34.1,52.61,31.51,178
1806,-35.9,52.84,31.69,178
1805,-34.8,53.07,31.87,178
1804,-34.3,53.31,32.05,178
1803,-35.2,53.54,32.23,178
1802,-35.3,53.77,32.41,178
1801,-36.1,54,32.58,178
1800,-37.3,54.23,32.76,178
1799,-37.2,54.46,32.94,178
1798,-36.1,54.69,33.12,178
1797,-37.6,54.92,33.3,178
1796,-36.7,55.15,33.48,178
1795,-35.5,55.38,33.66,178
1794,-35.6,55.61,33.83,178
1793,-35.8,55.84,34.01,178
1792,-35.2,56.07,34.19,178
1791,-34.3,56.29,34.37,178
1790,-35.6,56.52,34.55,178
1789,-35.8,56.75,34.73,178
1788,-34.9,56.98,34.9,178
1787,-34.3,57.21,35.08,178
1786,-35,57.43,35.26,178
1785,-35.4,57.66,35.44,178
1784,-34.3,57.89,35.62,178
1783,-35.4,58.11,35.8,165
1782,-36.4,58.32,35.96,165
1781,-34.6,58.53,36.13,165
1780,-36.2,58.74,36.29,165
1779,-35.9,58.95,36.45,165
1778,-34.9,59.16,36.62,165
1777,-34.3,59.37,36.78,165
1776,-34.9,59.57,36.95,165
1775,-34.7,59.78,37.11,165
1774,-35.5,59.99,37.28,165
1773,-35,60.2,37.44,165
1772,-33.7,60.41,37.61,165
1771,-35.2,60.62,37.77,165
1770,-34.7,60.82,37.94,165
1769,-34.4,61.03,38.1,165
1768,-34.4,61.24,38.27,165
1767,-35.4,61.44,38.43,165
1766,-35.4,61.65,38.59,165
1765,-36.2,61.86,38.76,165
1764,-36.1,62.06,38.92,165
1763,-33.6,62.27,39.09,165
1762,-32.9,62.47,39.25,165
1761,-34.4,62.68,39.42,165
1760,-35.2,62.88,39.58,165
1759,-34.4,63.09,39.75,165
1758,-35.8,63.3,39.91,165
1757,-34.6,63.5,40.08,165
1756,-35.7,63.71,40.24,165
1755,-36.1,63.91,40.41,165
1754,-35.4,64.11,40.57,165
1753,-37.7,64.32,40.73,165
1752,-37.3,64.52,40.9,165
1751,-37.3,64.73,41.06,165
1750,-34.9,64.93,41.23,165
1749,-34.6,65.13,41.39,165
1748,-34.9,65.34,41.56,165
1747,-35.9,65.54,41.72,165
1746,-35.6,65.75,41.89,165
1745,-36.5,65.95,42.05,165
1744,-36.7,66.15,42.22,165
1743,-36.5,66.36,42.38,165
1742,-36,66.56,42.55,165
1741,-34.6,66.76,42.71,165
1740,-35.7,66.96,42.88,165
1739,-34.1,67.17,43.04,165
1738,-34,67.37,43.2,165
1737,-34.7,67.57,43.37,165
1736,-34.1,67.77,43.53,165
1735,-35.8,67.98,43.7,165
1734,-37.4,68.18,43.86,165
1733,-37.6,68.38,44.03,165
1732,-37.6,68.58,44.19,165
1731,-35.1,68.78,44.36,165
1730,-32.7,68.98,44.52,165
1729,-33.9,69.19,44.69,165
1728,-36,69.39,44.85,165
1727,-34.7,69.59,45.02,165
1726,-34.6,69.79,45.18,165
1725,-34.3,69.99,45.34,165
1724,-35.8,70.19,45.51,165
1723,-34.4,70.39,45.67,165
1722,-35.6,70.59,45.84,165
1721,-35.9,70.79,46,165
1720,-35.7,70.99,46.17,165
1719,-36.5,71.19,46.33,165
1718,-34.9,71.39,46.5,165
1717,-35,71.59,46.66,165
1716,-35.5,71.79,46.83,165
1715,-36.4,71.99,46.99,165
1714,-35.7,72.19,47.16,165
1713,-35.2,72.39,47.32,165
1712,-37.8,72.59,47.48,165
1711,-35.5,72.79,47.65,165
1710,-34.9,72.99,47.81,165
1709,-36.5,73.19,47.98,165
1708,-35.4,73.39,48.14,165
1707,-35.4,73.59,48.31,165
1706,-35.6,73.79,48.47,165
1705,-35.6,73.98,48.64,165
1704,-37.2,74.18,48.8,165
1703,-37.4,74.38,48.97,165
1702,-34.4,74.58,49.13,165
1701,-33.4,74.78,49.3,165
1700,-33.2,74.98,49.46,165
1699,-34.5,75.17,49.62,165
1698,-37.5,75.37,49.79,165
1697,-36.5,75.57,49.95,165
1696,-36.5,75.77,50.12,165
1695,-38.4,75.97,50.28,165
1694,-37.2,76.16,50.45,167
1693,-36.3,76.36,50.61,167
1692,-35.9,76.56,50.78,167
1691,-35.6,76.76,50.95,167
1690,-35.4,76.96,51.11,167
1689,-36.6,77.16,51.28,167
1688,-36,77.36,51.45,167
1687,-36,77.56,51.61,167
1686,-34.3,77.76,51.78,167
1685,-34.9,77.96,51.95,167
1684,-36.1,78.16,52.11,167
1683,-35.6,78.36,52.28,167
1682,-34.9,78.56,52.45,167
1681,-36.2,78.76,52.61,167
1680,-36.4,78.95,52.78,167
1679,-35.2,79.15,52.95,167
1678,-35.5,79.35,53.11,167
1677,-36.5,79.55,53.28,167
1676,-35.4,79.75,53.45,167
1675,-36.2,79.95,53.61,167
1674,-35.5,80.14,53.78,167
1673,-35,80.34,53.95,167
1672,-35.4,80.54,54.11,167
1671,-34.2,80.74,54.28,167
1670,-34.2,80.94,54.45,167
1669,-35.2,81.13,54.61,167
1668,-36.5,81.33,54.78,167
1667,-35.8,81.53,54.95,167
1666,-35.4,81.73,55.11,167
1665,-36.4,81.93,55.28,167
1664,-35.7,82.12,55.45,167
1663,-37,82.32,55.61,167
1662,-35.5,82.52,55.78,167
1661,-36,82.71,55.95,167
1660,-34.7,82.91,56.11,167
1659,-34.7,83.11,56.28,167
1658,-35.4,83.31,56.44,167
1657,-35.7,83.5,56.61,167
1656,-36,83.7,56.78,167
1655,-35.5,83.9,56.94,167
1654,-35.9,84.09,57.11,167
1653,-36.3,84.29,57.28,167
1652,-35.8,84.49,57.44,167
1651,-35,84.68,57.61,167
1650,-36.4,84.88,57.78,167
1649,-36.6,85.08,57.94,167
1648,-36.4,85.27,58.11,167
1647,-35.5,85.47,58.28,167
1646,-35,85.66,58.44,167
1645,-35.7,85.86,58.61,167
1644,-36.7,86.06,58.78,167
1643,-36.9,86.25,58.94,167
1642,-36,86.45,59.11,167
1641,-35.8,86.64,59.28,167
1640,-36,86.84,59.44,167
1639,-34.8,87.04,59.61,167
1638,-35.4,87.23,59.78,167
1637,-34.7,87.43,59.94,167
1636,-33.9,87.62,60.11,167
1635,-35.1,87.82,60.28,167
1634,-36.7,88.01,60.44,167
1633,-37,88.21,60.61,167
1632,-37.2,88.4,60.78,167
1631,-35.7,88.6,60.94,167
1630,-35.8,88.79,61.11,167
1629,-37,88.99,61.28,167
1628,-34.8,89.18,61.44,167
1627,-34.6,89.38,61.61,167
1626,-33.3,89.57,61.78,167
1625,-33,89.77,61.94,167
1624,-35.3,89.96,62.11,167
1623,-36.7,90.16,62.28,167
1622,-35.7,90.35,62.44,167
1621,-36.6,90.55,62.61,167
1620,-37.3,90.74,62.78,167
1619,-36.4,90.93,62.94,167
1618,-35.3,91.13,63.11,167
1617,-34.4,91.32,63.27,167
1616,-33.4,91.52,63.44,167
1615,-32.7,91.71,63.61,167
1614,-35.9,91.91,63.77,167
1613,-34.2,92.1,63.94,167
1612,-35.6,92.29,64.11,167
1611,-36,92.49,64.27,167
1610,-37,92.68,64.44,167
1609,-37.2,92.88,64.61,167
1608,-37,93.07,64.77,167
1607,-36.1,93.26,64.94,167
1606,-36,93.46,65.11,167
1605,-36.1,93.65,65.27,167
1604,-36.7,93.84,65.44,167
1603,-35.3,94.04,65.61,167
1602,-34.9,94.23,65.77,167
1601,-37,94.42,65.94,169
1600,-36.7,94.62,66.11,169
1599,-35,94.82,66.28,169
1598,-35.2,95.02,66.45,169
1597,-36,95.21,66.62,169
1596,-36.4,95.41,66.79,169
1595,-35.8,95.61,66.96,169
1594,-35.9,95.8,67.13,169
1593,-35.8,96,67.29,169
1592,-33.4,96.2,67.46,169
1591,-34.3,96.39,67.63,169
1590,-34.1,96.59,67.8,169
1589,-33.3,96.78,67.97,169
1588,-34,96.98,68.14,169
1587,-34.1,97.18,68.31,169
1586,-35.4,97.37,68.48,169
1585,-35.7,97.57,68.65,169
1584,-36.2,97.76,68.82,169
1583,-36.4,97.96,68.99,169
1582,-35.9,98.15,69.16,169
1581,-35.9,98.35,69.33,169
1580,-34.5,98.55,69.5,169
1579,-35.8,98.74,69.67,169
1578,-34.8,98.94,69.84,169
1577,-34.7,99.13,70,169
1576,-36.3,99.33,70.17,169
1575,-35.4,99.52,70.34,169
1574,-35.9,99.72,70.51,169
1573,-34.9,99.91,70.68,169
1572,-34.6,100.11,70.85,169
1571,-34.9,100.3,71.02,169
1570,-35.3,100.5,71.19,169
1569,-34.5,100.69,71.36,169
1568,-34.8,100.89,71.53,169
1567,-35.1,101.08,71.7,169
1566,-35.1,101.28,71.87,169
1565,-34.8,101.47,72.04,169
1564,-35.7,101.67,72.21,169
1563,-35.5,101.86,72.38,169
1562,-34.4,102.06,72.55,169
1561,-34,102.25,72.71,169
1560,-34.5,102.45,72.88,169
1559,-34.4,102.64,73.05,169
1558,-35,102.84,73.22,169
1557,-35.6,103.03,73.39,169
1556,-35.1,103.23,73.56,169
1555,-35.8,103.42,73.73,169
1554,-36.7,103.61,73.9,169
1553,-37.3,103.81,74.07,169
1552,-36.8,104,74.24,169
1551,-35.9,104.2,74.41,169
1550,-34,104.39,74.58,169
1549,-34.7,104.59,74.75,169
1548,-35.1,104.78,74.92,169
1547,-35.9,104.97,75.09,169
1546,-37,105.17,75.25,169
1545,-36.9,105.36,75.42,169
1544,-35.9,105.56,75.59,169
1543,-34.8,105.75,75.76,169
1542,-34.1,105.95,75.93,169
1541,-34.1,106.14,76.1,169
1540,-35.5,106.33,76.27,169
1539,-36.7,106.53,76.44,169
1538,-35.7,106.72,76.61,169
1537,-36.2,106.92,76.78,169
1536,-35.3,107.11,76.95,169
1535,-36.9,107.3,77.12,169
1534,-35.5,107.5,77.29,169
1533,-36.1,107.69,77.46,169
1532,-36.2,107.88,77.63,169
1531,-35.7,108.08,77.8,169
1530,-35,108.27,77.96,169
1529,-36.2,108.46,78.13,169
1528,-35.9,108.66,78.3,169
1527,-34.8,108.85,78.47,169
1526,-34.3,109.04,78.64,169
1525,-34,109.24,78.81,169
1524,-35.2,109.43,78.98,169
1523,-35.8,109.62,79.15,169
1522,-35.7,109.82,79.32,169
1521,-37,110.01,79.49,169
1520,-37.4,110.2,79.66,169
1519,-36.5,110.4,79.83,169
1518,-36,110.59,80,169
1517,-36,110.78,80.17,169
1516,-34.3,110.98,80.34,169
1515,-32.4,111.17,80.51,169
1514,-33.1,111.36,80.67,169
1513,-35.9,111.56,80.84,169
1512,-35,111.75,81.01,169
1511,-34,111.94,81.18,169
1510,-34.3,112.13,81.35,169
1509,-36.3,112.33,81.52,169
1508,-36.1,112.52,81.69,169
1507,-35.6,112.71,81.86,169
1506,-37.1,112.91,82.03,169
1505,-35,113.1,82.2,169
1504,-33.6,113.29,82.37,169
1503,-34.6,113.48,82.54,169
1502,-35.7,113.68,82.71,169
1501,-34.2,113.87,82.88,169
1500,-34.9,114.06,83.05,169
1499,-34.8,114.25,83.21,169
1498,-34.6,114.45,83.38,169
1497,-35,114.64,83.55,169
1496,-35.6,114.83,83.72,169
1495,-35.6,115.02,83.89,169
1494,-36,115.22,84.06,169
1493,-36.4,115.41,84.23,169
1492,-34.9,115.6,84.4,169
1491,-35.4,115.79,84.57,169
1490,-34.6,115.99,84.74,169
1489,-34.2,116.18,84.91,169
1488,-34.4,116.37,85.08,169
1487,-34.9,116.56,85.25,169
1486,-36.1,116.75,85.42,169
1485,-36,116.95,85.59,169
1484,-35.8,117.14,85.76,169
1483,-36.6,117.33,85.92,169
1482,-34.6,117.52,86.09,169
1481,-33.8,117.72,86.26,169
1480,-33.8,117.91,86.43,169
1479,-34.6,118.1,86.6,161
1478,-35.4,118.28,86.76,162
1477,-36.3,118.47,86.93,161
1476,-35.6,118.65,87.09,162
1475,-34.9,118.83,87.25,162
1474,-34.6,119.01,87.41,161
1473,-36.3,119.2,87.57,162
1472,-37.9,119.38,87.73,162
1471,-36.8,119.56,87.89,161
1470,-35.3,119.75,88.06,162
1469,-35.4,119.93,88.22,161
1468,-35.2,120.11,88.38,162
1467,-35.1,120.29,88.54,162
1466,-34.5,120.48,88.7,161
1465,-34.1,120.66,88.86,161
1464,-35.6,120.84,89.02,162
1463,-37.4,121.02,89.19,162
1462,-36.7,121.21,89.35,162
1461,-36.2,121.39,89.51,161
1460,-35.6,121.57,89.67,161
1459,-35.9,121.76,89.83,162
1458,-36.8,121.94,89.99,162
1457,-33.5,122.12,90.15,162
1456,-33,122.3,90.32,161
1455,-34.7,122.49,90.48,161
1454,-35.8,122.67,90.64,162
1453,-36.7,122.85,90.8,162
1452,-34.9,123.03,90.96,162
1451,-34.5,123.22,91.12,161
1450,-34.8,123.4,91.29,162
1449,-34.8,123.58,91.45,161
1448,-35.5,123.76,91.61,162
1447,-35.1,123.95,91.77,161
1446,-34.9,124.13,91.93,162
1445,-35,124.31,92.09,162
1444,-35.7,124.49,92.25,161
1443,-35.6,124.67,92.42,162
1442,-35.8,124.86,92.58,161
1441,-34.2,125.04,92.74,162
1440,-31.8,125.22,92.9,162
1439,-32.3,125.4,93.06,162
1438,-34.9,125.59,93.22,161
1437,-36.5,125.77,93.38,161
1436,-35.2,125.95,93.55,162
1435,-36.2,126.13,93.71,162
1434,-36.7,126.32,93.87,161
1433,-35.3,126.5,94.03,161
1432,-34.4,126.68,94.19,162
1431,-34.5,126.86,94.35,162
1430,-35.2,127.04,94.51,162
1429,-34.8,127.22,94.68,161
1428,-35.7,127.41,94.84,162
1427,-36.8,127.59,95,161
1426,-35.7,127.77,95.16,162
1425,-35.3,127.95,95.32,162
1424,-35.9,128.13,95.48,161
1423,-35.6,128.32,95.65,162
1422,-35.3,128.5,95.81,161
1421,-34.2,128.68,95.97,162
1420,-33.7,128.86,96.13,161
1419,-33.8,129.04,96.29,162
1418,-33.4,129.23,96.45,162
1417,-33.6,129.41,96.61,162
1416,-34.9,129.59,96.78,161
1415,-35,129.77,96.94,161
1414,-34.5,129.95,97.1,162
1413,-34.8,130.13,97.26,162
1412,-34.3,130.32,97.42,162
1411,-35.4,130.5,97.58,161
1410,-35.4,130.68,97.74,161
1409,-34.8,130.86,97.91,162
1408,-36.1,131.04,98.07,162
1407,-36.4,131.23,98.23,161
1406,-34.9,131.41,98.39,162
1405,-34.5,131.59,98.55,161
1404,-35.6,131.77,98.71,162
1403,-35.6,131.95,98.87,162
1402,-36.7,132.13,99.04,161
1401,-37.2,132.31,99.2,162
1400,-36.8,132.5,99.36,161
1399,-35.4,132.68,99.52,162
1398,-34.4,132.86,99.68,162
1397,-33.9,133.04,99.84,161
1396,-34.9,133.22,100.01,161
1395,-35.9,133.4,100.17,162
1394,-35.3,133.58,100.33,161
1393,-35.1,133.77,100.49,162
1392,-35.4,133.95,100.65,161
1391,-35.5,134.13,100.81,162
1390,-37.5,134.31,100.97,161
1389,-36.2,134.49,101.14,162
1388,-35.8,134.67,101.3,161
1387,-37.7,134.85,101.46,162
1386,-36.6,135.04,101.62,161
1385,-35.7,135.22,101.78,162
1384,-34.6,135.4,101.94,161
1383,-34.8,135.58,102.1,162
1382,-35.6,135.76,102.27,161
1381,-35.5,135.94,102.43,162
1380,-35.2,136.12,102.59,161
1379,-33.5,136.3,102.75,162
1378,-33.2,136.49,102.91,161
1377,-34.6,136.67,103.07,162
1376,-36.4,136.85,103.24,161
1375,-36.4,137.03,103.4,162
1374,-37.3,137.21,103.56,161
1373,-36.6,137.39,103.72,162
1372,-35.4,137.57,103.88,161
1371,-34.2,137.75,104.04,162
1370,-34.8,137.94,104.2,161
1369,-35.3,138.12,104.37,161
1368,-34.1,138.3,104.53,162
1367,-33.6,138.48,104.69,161
1366,-35.1,138.66,104.85,162
1365,-36.8,138.84,105.01,161
1364,-36.7,139.02,105.17,162
1363,-34.4,139.2,105.33,161
1362,-33.7,139.38,105.5,162
1361,-31.8,139.56,105.66,161
1360,-34.6,139.75,105.82,162
1359,-35.7,139.93,105.98,161
1358,-35.6,140.11,106.14,162
1357,-36.1,140.29,106.3,161
1356,-35.3,140.47,106.46,162
1355,-35.3,140.65,106.63,161
1354,-35.4,140.83,106.79,162
1353,-34.7,141.01,106.95,161
1352,-35.7,141.19,107.11,162
1351,-37.2,141.37,107.27,161
1350,-35.6,141.55,107.43,162
1349,-35.1,141.74,107.6,161
1348,-36.7,141.92,107.76,162
1347,-36,142.1,107.92,161
1346,-35.2,142.28,108.08,162
1345,-35.6,142.46,108.24,161
1344,-35.1,142.64,108.4,162
1343,-34.1,142.82,108.56,161
1342,-35.2,143,108.73,161
1341,-33.6,143.18,108.89,162
1340,-34.9,143.36,109.05,161
1339,-37.2,143.54,109.21,162
1338,-36.2,143.72,109.37,161
1337,-35.4,143.9,109.53,162
1336,-35,144.08,109.69,161
1335,-37.3,144.27,109.86,162
1334,-36.9,144.45,110.02,161
1333,-35.1,144.63,110.18,162
1332,-35.1,144.81,110.34,161
1331,-34.6,144.99,110.5,162
1330,-36.3,145.17,110.66,161
1329,-37.3,145.35,110.82,162
1328,-37.8,145.53,110.99,161
1327,-35.9,145.71,111.15,162
1326,-35.9,145.89,111.31,161
1325,-36.5,146.07,111.47,162
1324,-35.4,146.25,111.63,161
1323,-36.3,146.43,111.79,162
1322,-36.7,146.61,111.96,161
1321,-35.5,146.79,112.12,162
1320,-36.1,146.98,112.28,161
1319,-35.6,147.15,112.44,162
1318,-36,147.34,112.6,161
1317,-36.1,147.52,112.76,162
1316,-36.8,147.7,112.92,161
1315,-35.9,147.88,113.09,161
1314,-32,148.06,113.25,162
1313,-31.9,148.24,113.41,161
1312,-33.2,148.42,113.57,162
1311,-34.2,148.6,113.73,161
1310,-34.7,148.78,113.89,162
1309,-36.1,148.96,114.05,161
1308,-36.2,149.14,114.22,162
1307,-35.3,149.32,114.38,161
1306,-35.7,149.5,114.54,162
1305,-35.9,149.68,114.7,161
1304,-36.4,149.86,114.86,162
1303,-33.1,150.04,115.02,161
1302,-35.7,150.22,115.18,162
1301,-36,150.4,115.35,161
1300,-34.4,150.58,115.51,162
1299,-34.8,150.76,115.67,161
1298,-36,150.94,115.83,162
1297,-35.2,151.12,115.99,161
1296,-34.9,151.3,116.15,162
1295,-36.2,151.48,116.32,161
1294,-35.3,151.66,116.48,162
1293,-34.8,151.84,116.64,161
1292,-34.9,152.02,116.8,162
1291,-35.8,152.21,116.96,161
1290,-35.3,152.38,117.12,162
1289,-33.2,152.57,117.28,161
1288,-34.5,152.75,117.45,162
1287,-33.9,152.93,117.61,161
1286,-35.5,153.11,117.77,161
1285,-35.2,153.29,117.93,162
1284,-35.7,153.47,118.09,161
1283,-36.3,153.65,118.25,162
1282,-35,153.83,118.41,161
1281,-34.3,154.01,118.58,162
1280,-32.9,154.19,118.74,161
1279,-33.7,154.37,118.9,162
1278,-35,154.55,119.06,161
1277,-36.7,154.73,119.22,162
1276,-36,154.91,119.38,161
1275,-36,155.09,119.54,162
1274,-35.7,155.27,119.71,161
1273,-34.3,155.45,119.87,162
1272,-34.6,155.63,120.03,161
1271,-34.9,155.81,120.19,162
1270,-34.4,155.99,120.35,161
1269,-34.3,156.17,120.51,162
1268,-36.3,156.35,120.68,161
1267,-35.4,156.53,120.84,162
1266,-34.7,156.71,121,161
1265,-36.9,156.89,121.16,162
1264,-35.8,157.07,121.32,161
1263,-34.9,157.25,121.48,162
1262,-35.5,157.43,121.64,161
1261,-38.1,157.61,121.81,162
1260,-36.4,157.79,121.97,161
1259,-35.7,157.97,122.13,161
1258,-36.2,158.15,122.29,162
1257,-36.6,158.33,122.45,161
1256,-36.6,158.51,122.61,162
1255,-35.8,158.69,122.77,161
1254,-35.9,158.87,122.94,162
1253,-35.5,159.05,123.1,161
1252,-35.5,159.23,123.26,162
1251,-35.5,159.41,123.42,161
1250,-34.1,159.59,123.58,162
1249,-34.1,159.77,123.74,161
1248,-35.9,159.95,123.9,162
1247,-35.3,160.12,124.07,161
1246,-33.9,160.3,124.23,162
1245,-34.1,160.48,124.39,161
1244,-35.3,160.66,124.55,162
1243,-36.2,160.84,124.71,161
1242,-36,161.02,124.87,162
