year (AD),depth (mm),d18O (permil),d13C (permil)
1950.2,7.9,-3.45,-8.49
1950.1,8,-3.3,-8.39
1950,8.1,-3.39,-8.34
1949.9,8.2,-3.34,-8.27
1949.8,8.3,-3.5,-8.25
1949.7,8.4,-3.16,-8.3
1949.6,8.5,-3.62,-8.16
1949.5,8.6,-3.61,-8.13
1949.4,8.7,-3.54,-8.07
1949.3,8.8,-3.55,-7.95
1949.1,8.9,-3.48,-7.76
1949,9,-3.4,-7.63
1948.9,9.1,-3.45,-7.55
1948.7,9.2,-3.54,-7.62
1948.6,9.3,-3.6,-7.7
1948.4,9.4,-3.55,-7.81
1948.2,9.5,-3.54,-7.83
1948.1,9.6,-3.52,-7.86
1947.9,9.7,-3.4,-7.89
1947.7,9.8,-3.31,-7.85
1947.5,9.9,-3.24,-7.82
1947.3,10,-3.2,-7.75
1947.1,10.1,-3.29,-7.78
1946.8,10.2,-3.4,-7.96
1946.6,10.3,-3.51,-7.97
1946.3,10.4,-3.59,-8.01
1945.9,10.5,-3.58,-8.25
1945.7,10.6,-3.4,-8.14
1945.3,10.7,-3.47,-8.27
1945,10.8,-3.52,-8.16
1944.6,10.9,-3.47,-8.12
1944.2,11,-3.43,-8.03
1943.8,11.1,-3.49,-8.11
1943.5,11.2,-3.39,-8.08
1943.1,11.3,-3.31,-8.09
1942.7,11.4,-3.52,-8.07
1942.3,11.5,-3.57,-8.18
1941.9,11.6,-3.13,-8.12
1941.5,11.7,-3.28,-8.14
1941.1,11.8,-3.5,-8.07
1940.6,11.9,-3.46,-8.03
1940.2,12,-3.49,-7.91
1939.7,12.1,-3.48,-7.87
1939.3,12.2,-3.48,-7.8
1938.8,12.3,-3.47,-7.66
1938.3,12.4,-3.61,-7.81
1937.8,12.5,-3.47,-7.65
1937.2,12.6,-3.36,-7.48
1936.7,12.7,-3.44,-7.54
1936.2,12.8,-3.44,-7.66
1935.6,12.9,-3.37,-7.8
1935.1,13,-3.61,-7.89
1934.5,13.1,-3.41,-7.95
1934,13.2,-3.57,-8.04
1933.4,13.3,-3.62,-8.03
1932.9,13.4,-3.64,-7.97
1932.3,13.5,-3.38,-8.22
1931.7,13.6,-3.4,-8.17
1931.1,13.7,-3.54,-8.26
1930.5,13.8,-3.3,-8.28
1929.9,13.9,-3.31,-8.4
1929.3,14,-3.18,-8.42
1928.7,14.1,-3.25,-8.46
1928.1,14.2,-3.14,-8.52
1927.5,14.3,-3.2,-8.45
1926.9,14.4,-3.37,-8.49
1926.3,14.5,-4.03,-8.95
1925.6,14.6,-3.04,-7.72
1925,14.7,-3.12,-7.76
1924.3,14.8,-3.17,-7.85
1923.7,14.9,-3.32,-7.71
1923,15,-3.15,-7.33
1922.4,15.1,-3.17,-7.15
1921.7,15.2,-3.36,-7.36
1921,15.3,-3.31,-7.54
1920.4,15.4,-3.39,-7.74
1919.7,15.5,-3.39,-7.73
1919.1,15.6,-3.39,-7.8
1918.4,15.7,-3.37,-8.32
1917.8,15.8,-3.17,-8.11
1917.1,15.9,-3.3,-8.25
1916.4,16,-3.16,-8.17
1915.7,16.1,-3.19,-8.22
1915,16.2,-3.23,-8.32
1914.2,16.3,-3.39,-8.42
1913.5,16.4,-3.31,-8.34
1912.8,16.5,-3.42,-8.31
1912.1,16.6,-3.37,-8.27
1911.4,16.7,-3.1,-8.05
1910.8,16.8,-3.14,-8.03
1910.1,16.9,-3.1,-8.09
1909.4,17,-3.23,-8
1908.7,17.1,-3.31,-7.94
1908,17.2,-3.68,-8.05
1907.2,17.3,-3.61,-7.97
1906.5,17.4,-3.39,-7.96
1905.8,17.5,-3.34,-8.09
1905.1,17.6,-3.34,-8.01
1904.4,17.7,-3.22,-8.09
1903.7,17.8,-3.35,-7.95
1903,17.9,-3.66,-7.99
1902.3,18,-3.54,-8
1901.7,18.1,-3.4,-7.73
1901,18.2,-3.41,-7.7
1900.3,18.3,-3.66,-7.91
1899.6,18.4,-3.36,-7.81
1898.9,18.5,-3.61,-7.84
1898.2,18.6,-3.28,-7.45
1897.5,18.7,-3.55,-7.59
1896.9,18.8,-3.62,-7.4
1896.2,18.9,-3.43,-7.53
1895.5,19,-3.44,-7.72
1894.9,19.1,-3.27,-7.38
1894.2,19.2,-3.41,-7.78
1893.5,19.3,-3.32,-7.82
1892.9,19.4,-3.45,-8.12
1892.2,19.5,-3.31,-8.08
1891.6,19.6,-3.43,-8.12
1891,19.7,-3.47,-8.07
1890.3,19.8,-3.58,-8.1
1889.6,19.9,-3.39,-7.94
1889,20,-3.67,-8.22
1888.3,20.1,-3.41,-8.02
1887.7,20.2,-3.46,-8.22
1887,20.3,-3.44,-8.14
1886.4,20.4,-3.48,-8.19
1885.8,20.5,-3.28,-8.04
1885.2,20.6,-3.26,-7.84
1884.6,20.7,-3.28,-7.82
1884,20.8,-3.01,-7.83
1883.4,20.9,-2.94,-7.61
1882.8,21,-3.18,-7.69
1882.2,21.1,-3.2,-7.32
1881.6,21.2,-3.27,-7.33
1881.1,21.3,-3.25,-7.42
1880.5,21.4,-3.17,-7.26
1880,21.5,-3.19,-7.38
1879.5,21.6,-3.2,-7.45
1879,21.7,-3.15,-7.54
1878.5,21.8,-3.3,-7.75
1878,21.9,-3.28,-7.76
1877.5,22,-3.3,-7.75
1877,22.1,-3.42,-7.83
1876.5,22.2,-3.75,-8.38
1876,22.3,-3.5,-7.88
1875.5,22.4,-3.48,-7.77
1875.1,22.5,-3.39,-7.8
1874.6,22.6,-3.67,-8.11
1874.2,22.7,-3.66,-8.06
1873.7,22.8,-3.57,-7.64
1873.3,22.9,-3.66,-7.73
1872.8,23,-3.57,-7.89
1872.4,23.1,NA,NA
1872,23.2,-3.36,-7.74
1871.5,23.3,-3.31,-7.81
1871.1,23.4,-3.36,-7.63
1870.7,23.5,-3.3,-7.57
1870.2,23.6,-3.3,-7.66
1869.8,23.7,-3.27,-7.61
1869.4,23.8,-3.31,-7.46
1869,23.9,-3.3,-7.3
1868.6,24,-3.34,-7.43
1868.2,24.1,-3.32,-7.47
1867.8,24.2,-3.62,-7.69
1867.4,24.3,-3.49,-7.62
1867,24.4,-3.59,-7.66
1866.6,24.5,-3.69,-7.84
1866.2,24.6,-3.62,-8.16
1865.8,24.7,-3.65,-8.1
1865.4,24.8,-3.86,-8.52
1865,24.9,-3.58,-8.19
1864.7,25,-3.61,-8.3
1864.3,25.1,-3.6,-8.32
1863.9,25.2,-3.48,-8.48
1863.5,25.3,-3.58,-8.7
1863.2,25.4,-3.69,-8.73
1862.8,25.5,-3.66,-8.75
1862.4,25.6,-3.56,-8.45
1862,25.7,-3.68,-8.58
1861.7,25.8,-3.65,-8.45
1861.3,25.9,-3.56,-8.32
1861,26,-3.75,-8.62
1860.6,26.1,-3.73,-8.59
1860.2,26.2,-3.65,-8.28
1859.9,26.3,-3.83,-8.59
1859.5,26.4,-3.65,-8.59
1859.2,26.5,-3.55,-8.5
1858.8,26.6,-3.58,-8.53
1858.5,26.7,-3.41,-8.39
1858.1,26.8,-3.54,-8.44
1857.8,26.9,-3.55,-8.36
1857.4,27,-3.52,-8.36
1857.1,27.1,-3.43,-8.07
1856.8,27.2,-3.45,-7.88
1856.4,27.3,-4.1,-7.77
1856.1,27.4,-3.58,-7.45
1855.7,27.5,-3.71,-7.2
1855.4,27.6,-3.33,-6.95
1855.1,27.7,-3.86,-6.88
1854.8,27.8,-4.06,-6.6
1854.4,27.9,-4.07,-6.51
1854.1,28,-3.58,-6.35
1853.8,28.1,-3.65,-6.07
1853.4,28.2,-4.22,-6.5
1853.1,28.3,-3.52,-6.8
1852.8,28.4,-3.94,-7.17
1852.5,28.5,-4.27,-7.4
1852.1,28.6,-3.83,-7.9
1851.8,28.7,-3.81,-8.31
1851.5,28.8,-3.73,-8.35
1851.2,28.9,-3.83,-8.35
1850.9,29,-3.24,-8.27
1850.6,29.1,-3.69,-8.45
1850.3,29.2,-3.74,-8.38
1850,29.3,-3.78,-8.4
1849.7,29.4,-3.7,-8.54
1849.4,29.5,-3.52,-8.39
1849.1,29.6,-3.86,-8.35
1848.8,29.7,-3.98,-8.42
1848.5,29.8,-3.82,-8.39
1848.2,29.9,-3.96,-8.52
1847.9,30,-3.88,-8.48
1847.6,30.1,-3.94,-8.17
1847.3,30.2,-3.78,-8.03
1847,30.3,-4.1,-8.02
1846.7,30.4,-3.96,-8.12
1846.4,30.5,-3.86,-7.97
1846.1,30.6,-3.88,-7.97
1845.8,30.7,-3.42,-7.9
1845.5,30.8,-3.47,-7.76
1845.2,30.9,-3.64,-7.97
1844.9,31,-3.62,-7.81
1844.6,31.1,-3.55,-7.93
1844.4,31.2,-3.66,-8.21
1844.1,31.3,-3.7,-8.22
1843.8,31.4,-3.74,-8.24
1843.5,31.5,-3.56,-8.25
1843.2,31.6,-3.61,-8.33
1843,31.7,-3.62,-8.25
1842.7,31.8,-3.84,-8.5
1842.4,31.9,-3.79,-8.43
1842.1,32,-3.88,-8.44
1841.8,32.1,-3.69,-8.21
1841.6,32.2,-3.77,-8.2
1841.3,32.3,-3.67,-7.94
1841,32.4,-3.75,-8.07
1840.7,32.5,-3.84,-8.12
1840.5,32.6,-3.73,-7.93
1840.2,32.7,-3.69,-8.15
1839.9,32.8,-3.81,-8.27
1839.7,32.9,-3.91,-8.4
1839.4,33,-3.78,-8.22
1839.1,33.1,-3.84,-8.09
1838.9,33.2,-3.89,-8.13
1838.6,33.3,-3.84,-8.37
1838.3,33.4,-3.77,-8.27
1838,33.5,-3.73,-8.21
1837.7,33.6,-3.7,-8.3
1837.5,33.7,-3.58,-8.12
1837.2,33.8,-3.6,-8.06
1836.9,33.9,-3.57,-7.95
1836.6,34,-3.65,-7.87
1836.4,34.1,-3.68,-7.96
1836.1,34.2,-3.53,-7.68
1835.8,34.3,-3.75,-7.88
1835.6,34.4,-3.63,-7.6
1835.3,34.5,-3.66,-7.76
1835,34.6,-4.26,-7.96
1834.8,34.7,-4.09,-8.17
1834.5,34.8,-4.11,-8.28
1834.2,34.9,-4.04,-8.29
1834,35,-4.12,-8.46
1833.7,35.1,-4.04,-8.35
1833.4,35.2,-4.29,-8.58
1833.2,35.3,-4.09,-8.68
1832.9,35.4,-4.1,-8.76
1832.7,35.5,-4.19,-8.74
1832.4,35.6,-3.99,-8.77
1832.1,35.7,-4.08,-8.79
1831.9,35.8,-4.08,-8.78
1831.6,35.9,-4.05,-8.83
1831.4,36,-4.12,-8.93
1831.1,36.1,-4.01,-8.71
1830.8,36.2,-4.08,-8.82
1830.6,36.3,-4.05,-8.82
1830.3,36.4,-3.95,-8.59
1830.1,36.5,-4.01,-8.5
1829.8,36.6,-4.03,-8.63
1829.6,36.7,-4.02,-8.62
1829.4,36.8,-4.01,-8.37
1829.1,36.9,-4.08,-8.31
1828.8,37,-3.96,-8.18
1828.6,37.1,-4.13,-8.22
1828.3,37.2,-3.98,-8.02
1828,37.3,-4.14,-8.14
1827.7,37.4,-3.99,-8.14
1827.4,37.5,-4.48,-8.3
1827.2,37.6,NA,NA
1826.9,37.7,NA,NA
1826.6,37.8,NA,NA
1826.3,37.9,-4.04,-8.46
1826,38,-4.06,-8.4
1825.8,38.1,-4.25,-8.37
1825.5,38.2,-4.09,-8.4
1825.2,38.3,-4.18,-8.43
1824.9,38.4,-3.79,-7.96
1824.7,38.5,-4.25,-8.5
1824.4,38.6,-4.2,-8.4
1824.1,38.7,-4.29,-8.29
1823.8,38.8,-4.42,-8.45
1823.5,38.9,-4.22,-8.45
1823.2,39,-4.22,-8.43
1822.9,39.1,-4.19,-8.52
1822.7,39.2,-4.28,-8.45
1822.4,39.3,-4.28,-8.33
1822.1,39.4,-4.23,-8.12
1821.8,39.5,-4.13,-8
1821.5,39.6,-4.48,-8.13
1821.3,39.7,-4.45,-8.27
1821,39.8,-4.33,-8.13
1820.7,39.9,-4.39,-8.17
1820.4,40,-4.15,-8.23
1820.1,40.1,-3.65,-7.68
1819.9,40.2,-3.86,-7.7
1819.6,40.3,-3.79,-7.32
1819.3,40.4,-3.69,-7.55
1819,40.5,-4.22,-7.54
1818.7,40.6,-3.33,-6.95
1818.4,40.7,-3.32,-7.77
1818.1,40.8,-3.22,-7.8
1817.8,40.9,-3,-7.36
1817.5,41,-3.22,-7.96
1817.2,41.1,-3.29,-7.51
1816.9,41.2,-3.22,-7.91
1816.6,41.3,-3.29,-7.85
1816.3,41.4,-3.26,-7.78
1816,41.5,-3.27,-7.85
1815.7,41.6,-3.35,-7.97
1815.4,41.7,-3.31,-7.77
1815.1,41.8,-3.34,-7.69
1814.8,41.9,-2.7,-7.5
1814.5,42,-4.17,-7.42
1814.2,42.1,-3.42,-7.98
1813.8,42.2,-3.61,-8.13
1813.5,42.3,-3.48,-7.92
1813.2,42.4,-3.3,-7.59
1812.9,42.5,-3.22,-7.82
1812.6,42.6,-3.37,-7.53
1812.2,42.7,-3.24,-7.48
1811.9,42.8,-3.69,-7.99
1811.6,42.9,-3.03,-7.17
1811.3,43,-3.02,-7.45
1810.9,43.1,-3.51,-7.85
1810.6,43.2,-3.39,-7.76
1810.3,43.3,-3.48,-7.85
1809.9,43.4,-2.99,-7.85
1809.6,43.5,-3.22,-7.77
1809.3,43.6,-3.38,-7.94
1809,43.7,-3.57,-8.18
1808.6,43.8,-3.27,-7.83
1808.3,43.9,-3.48,-8.04
1807.9,44,-3.16,-7.74
1807.6,44.1,-3.68,-7.87
1807.2,44.2,-3.9,-8.09
1806.9,44.3,-3.76,-8.05
1806.6,44.4,-3.6,-7.76
1806.2,44.5,-3.69,-7.75
1805.8,44.6,-3.71,-7.39
1805.5,44.7,-3.7,-7.87
1805.1,44.8,-3.5,-7.46
1804.7,44.9,-3.56,-7.47
1804.4,45,-3.59,-7.45
1804,45.1,-3.73,-7.2
1803.7,45.2,-3.89,-7.3
1803.3,45.3,-3.94,-7.24
1802.9,45.4,-3.95,-7.51
1802.5,45.5,-3.92,-7.42
1802.2,45.6,-4.08,-7.64
1801.8,45.7,-4.08,-7.54
1801.4,45.8,-4.18,-7.5
1801,45.9,-4.15,-7.68
1800.6,46,-4.17,-7.63
1800.2,46.1,-3.71,-7.44
1799.8,46.2,-3.58,-7.21
1799.4,46.3,-3.75,-7.39
1799,46.4,-3.65,-7.2
1798.6,46.5,-3.95,-7.53
1798.2,46.6,-3.47,-7.16
1797.8,46.7,-4.21,-7.7
1797.4,46.8,-3.68,-7.49
1797,46.9,-4.69,-8.08
1796.6,47,-3.46,-7.34
1796.2,47.1,-3.45,-7.21
1795.8,47.2,-3.54,-7.4
1795.4,47.3,-3.36,-7.48
1794.9,47.4,-3.12,-7.27
1794.5,47.5,-3.27,-7.34
1794.1,47.6,-3.39,-7.5
1793.7,47.7,-3.09,-7.27
1793.2,47.8,-3.19,-7.14
1792.8,47.9,-3.09,-7.21
1792.4,48,-3.17,-7.29
1791.9,48.1,-3.15,-7.16
1791.5,48.2,-3.13,-7.1
1791,48.3,-3.23,-7.05
1790.6,48.4,-3.14,-7.22
1790.1,48.5,-3.07,-7.47
1789.7,48.6,-3.17,-7.36
1789.2,48.7,-3.11,-7.46
1788.7,48.8,-3.1,-7.34
1788.2,48.9,-3.41,-7.31
1787.7,49,-3.18,-7.31
1787.2,49.1,-3.28,-7.36
1786.7,49.2,-3.17,-7.43
1786.2,49.3,-3.2,-7.38
1785.7,49.4,-3.58,-7.56
1785.2,49.5,-3.26,-7.6
1784.7,49.6,-3.44,-7.6
1784.2,49.7,-3.77,-7.73
1783.7,49.8,-3.37,-7.87
1783.2,49.9,-3.1,-7.78
1782.7,50,-3.23,-7.75
1782.2,50.1,-3.27,-7.66
1781.7,50.2,-3.47,-7.67
1781.2,50.3,-3.5,-7.76
1780.6,50.4,-3.36,-7.63
1780.1,50.5,-3.42,-7.61
1779.6,50.6,-3.22,-7.3
1779.1,50.7,-3.15,-7.22
1778.6,50.8,-3.35,-7.26
1778,50.9,-3.04,-6.77
1777.5,51,-3.11,-6.75
1777,51.1,-3.33,-6.82
1776.4,51.2,-3.86,-6.72
1775.9,51.3,-3.5,-6.47
1775.3,51.4,-3.21,-6.11
1774.8,51.5,-3.78,-6.34
1774.2,51.6,-3.65,-6.39
1773.7,51.7,-3.29,-6.15
1773.1,51.8,-3.1,-5.97
1772.6,51.9,-3.98,-6.53
1772,52,-3.25,-5.87
1771.4,52.1,-3.01,-5.32
1770.7,52.2,-3.27,-5.41
1770,52.3,-3.64,-5.45
1769.3,52.4,-3.4,-5.96
1768.6,52.5,-3.71,-6.23
1767.9,52.6,-3.49,-6.48
1767.1,52.7,-3.85,-6.8
1766.3,52.8,-3.61,-7.35
1765.5,52.9,-3.98,-6.98
1764.6,53,-4.02,-7.06
1763.7,53.1,-3.64,-7.03
1762.8,53.2,-3.21,-7.32
1761.9,53.3,-3.62,-6.98
1761,53.4,-3.44,-7.62
1760,53.5,-3.6,-7.01
1759,53.6,-3.46,-7.19
1758,53.7,-3.67,-7.18
1757,53.8,-3.44,-7.17
1756,53.9,-3.16,-7.13
1754.9,54,-3.56,-7.15
1753.9,54.1,NA,NA
1752.9,54.2,-3.47,-7.63
1751.7,54.3,-3.34,-7.3
1750.6,54.4,-3.42,-7.29
1749.6,54.5,-3.66,-7.41
1748.5,54.6,-3.59,-7.65
1747.4,54.7,-3.35,-7.8
1746.2,54.8,NA,NA
1745,54.9,-3.98,-7.79
1743.8,55,-4.3,-7.75
1742.6,55.1,-3.63,-7.42
1741.4,55.2,-3.7,-7.52
1740.2,55.3,-3.69,-7.37
1738.9,55.4,-3.7,-7.46
1737.7,55.5,-3.99,-7.15
1736.4,55.6,-3.71,-7.51
1735.1,55.7,-3.45,-7.46
1733.8,55.8,-3.51,-7.45
1732.6,55.9,-3.62,-7.44
1731.4,56,NA,NA
1730.3,56.1,-3.6,-7.58
1729.1,56.2,-3.5,-7.44
1727.9,56.3,-3.73,-7.38
1726.7,56.4,-3.76,-7.33
1725.5,56.5,-3.66,-7.38
1724.3,56.6,-3.49,-7.53
1723.1,56.7,-3.65,-7.53
1721.9,56.8,-3.54,-7.71
1720.7,56.9,-3.42,-7.69
1719.4,57,-3.49,-7.69
1718.1,57.1,-3.67,-7.82
1716.8,57.2,-3.7,-7.93
1715.6,57.3,-3.88,-7.99
1714.4,57.4,-3.68,-7.98
1713.3,57.5,-3.68,-7.54
1712.1,57.6,-3.71,-7.69
1710.9,57.7,-3.76,-7.75
1709.7,57.8,-3.52,-7.94
1708.5,57.9,NA,NA
1707.4,58,-3.24,-7.85
1706.3,58.1,-3.55,-7.93
1705.1,58.2,NA,NA
1704,58.3,NA,NA
1702.9,58.4,NA,NA
1701.8,58.5,NA,NA
1700.7,58.6,NA,NA
1699.6,58.7,NA,NA
1698.6,58.8,NA,NA
1697.6,58.9,NA,NA
1696.5,59,-4.25,-8.06
1695.4,59.1,-4.5,-8.16
1694.4,59.2,-4.71,-8.16
1693.4,59.3,NA,NA
1692.4,59.4,-4.3,-7.99
1691.4,59.5,-3.98,-8.02
1690.4,59.6,-3.75,-7.65
1689.4,59.7,-4.09,-7.82
1688.5,59.8,-4.06,-7.81
1687.7,59.9,NA,NA
1686.8,60,-4.1,-7.6
1686,60.1,-3.45,-7.34
1685.2,60.2,NA,NA
1684.5,60.3,NA,NA
1683.7,60.4,NA,NA
1683,60.5,NA,NA
1682.3,60.6,-4.5,-7.71
1681.7,60.7,-3.75,-7.47
1681,60.8,-3.5,-7.52
1680.4,60.9,-3.21,-7.56
1679.8,61,-4.22,-7.96
1679.3,61.1,-3.78,-7.76
1678.7,61.2,-3.64,-7.61
1678.2,61.3,-3.86,-7.68
1677.8,61.4,-3.59,-7.65
1677.3,61.5,-3.67,-7.67
1676.9,61.6,-3.33,-7.51
1676.4,61.7,-4.44,-7.72
1675.9,61.8,-3.4,-7.31
1675.4,61.9,-3.65,-7.47
1674.9,62,-3.56,-7.51
1674.4,62.1,-4.03,-7.47
1674,62.2,-4.06,-7.53
1673.6,62.3,-3.75,-7.49
1673.3,62.4,-3.68,-7.45
1672.9,62.5,-3.73,-7.59
1672.6,62.6,-4.23,-7.5
1672.2,62.7,-3.65,-7.34
1671.8,62.8,-3.47,-7.3
1671.4,62.9,-3.58,-7.37
1671,63,-3.99,-7.52
1670.7,63.1,-3.9,-7.42
1670.4,63.2,-3.54,-7.38
1670,63.3,-3.41,-7.35
1669.6,63.4,-3.84,-7.21
1669.3,63.5,-3.43,-7.65
1668.9,63.6,-3.55,-7.56
1668.5,63.7,-3.53,-7.64
1668.1,63.8,-3.53,-7.78
1667.7,63.9,-3.62,-7.65
1667.4,64,-3.59,-7.72
1667.1,64.1,-3.87,-7.56
1666.7,64.2,-3.75,-7.61
1666.4,64.3,-3.82,-7.77
1666.2,64.4,-3.75,-7.78
1666,64.5,-3.84,-7.76
1665.7,64.6,-3.66,-7.79
1665.5,64.7,-3.79,-7.75
1665.2,64.8,-3.91,-8.06
1665,64.9,-3.73,-8
1664.7,65,-3.95,-7.96
1664.5,65.1,-3.79,-8.14
1664.3,65.2,-3.86,-8.13
1664,65.3,-3.71,-8.04
1663.7,65.4,-3.9,-8.1
1663.4,65.5,-3.78,-8
1663.2,65.6,-3.86,-8.05
1662.9,65.7,-3.76,-8.36
1662.5,65.8,-3.7,-8.22
1662.1,65.9,-3.73,-8.1
1661.7,66,-3.72,-8.31
1661.4,66.1,-3.81,-8.35
1661,66.2,-3.73,-8.2
1660.7,66.3,-3.89,-8.26
1660.3,66.4,-3.75,-8.41
1660.1,66.5,-3.71,-8.29
1659.7,66.6,-3.7,-8.23
1659.4,66.7,-3.77,-8.32
1659.1,66.8,-3.47,-8.23
1658.8,66.9,-3.67,-8.34
1658.4,67,-3.65,-8.34
1658.1,67.1,-3.85,-8.3
1657.8,67.2,-3.67,-7.96
1657.4,67.3,-3.47,-7.8
1657,67.4,-3.52,-7.17
1656.6,67.5,-3.48,-7.04
1656.3,67.6,-3.87,-7.19
1655.9,67.7,-3.75,-6.87
1655.5,67.8,-3.53,-6.97
1655.2,67.9,-3.32,-7.07
1654.9,68,-3.36,-7.03
1654.6,68.1,-3.61,-7.11
1654.3,68.2,-3.4,-7.62
1653.9,68.3,-3.76,-7.54
1653.6,68.4,-3.98,-7.65
1653.3,68.5,-3.7,-7.78
1653,68.6,-3.87,-7.76
1652.8,68.7,-3.88,-7.92
1652.5,68.8,-3.65,-7.7
1652.1,68.9,-3.79,-7.85
1651.7,69,-3.67,-7.68
1651.4,69.1,-3.98,-7.79
1651.2,69.2,-3.69,-7.7
1651,69.3,-3.75,-7.81
1650.8,69.4,-3.79,-7.93
1650.6,69.5,-3.63,-7.91
1650.4,69.6,-3.84,-7.99
1650.2,69.7,-4.17,-8.03
1650,69.8,-4.06,-7.8
1649.8,69.9,NA,NA
1649.5,70,NA,NA
1649.3,70.1,-3.81,-7.99
1649.1,70.2,-3.48,-7.71
1648.9,70.3,-3.39,-7.61
1648.7,70.4,-3.66,-7.77
1648.4,70.5,-3.57,-7.44
1648.1,70.6,-3.64,-7.59
1647.9,70.7,-4.18,-8.03
1647.7,70.8,-3.9,-7.71
1647.4,70.9,-3.75,-7.67
1647.2,71,-3.36,-7.25
1646.9,71.1,-3.27,-7.16
1646.6,71.2,-3.59,-7.3
1646.3,71.3,-3.55,-6.81
1646,71.4,-3.52,-6.76
1645.8,71.5,NA,NA
1645.5,71.6,-3.26,-6.37
1645.2,71.7,-3.38,-6.68
1645,71.8,-3.38,-6.94
1644.7,71.9,-3.58,-7.66
1644.4,72,-3.19,-7.34
1644,72.1,-3.27,-7.38
1643.7,72.2,-3.16,-7.44
1643.4,72.3,-3.46,-7.73
1643.1,72.4,-4.43,-8.11
1642.6,72.5,-3.49,-7.56
1642.3,72.6,-4.2,-8.11
1641.9,72.7,-3.74,-7.71
1641.5,72.8,-3.95,-7.8
1641,72.9,-3.22,-7.05
1640.5,73,-3.5,-7.26
1640,73.1,-3.58,-7.1
1639.5,73.2,-3.39,-6.84
1639.1,73.3,-3.25,-6.51
1638.6,73.4,NA,NA
1638.1,73.5,NA,NA
1637.5,73.6,NA,NA
1636.9,73.7,-3.03,-6.4
1636.3,73.8,-3.31,-6.88
1635.7,73.9,-3.33,-6.92
1635,74,-3.24,-6.95
1634.3,74.1,-3.08,-7
1633.6,74.2,-3.57,-7.16
1632.9,74.3,-3.3,-6.81
1632.3,74.4,-3.2,-6.95
1631.5,74.5,-3.61,-7.69
1630.9,74.6,-3.57,-7.52
1630.1,74.7,-3.52,-7.67
1629.3,74.8,-3.92,-7.83
1628.4,74.9,-3.69,-7.42
1627.5,75,-3.27,-7.14
1626.6,75.1,-3.47,-7.33
1625.6,75.2,-3.57,-7.39
1624.6,75.3,-3.58,-7.45
1623.5,75.4,-3.6,-7.52
1622.4,75.5,-3.88,-7.56
1621.2,75.6,-4.08,-7.65
1620.1,75.7,-2.97,-6.76
