year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],temperature (degC) [1-1],d18O (permil) [1-1],Mg_Ca (mmol/mol) [1-1],year (AD) [2-1],temperature (degC) [2-1]
475,82.5,-0.509,27.54,-3.079,4.5316,420.53,27.1383
440,84.5,-1.049666667,26.98,-3.503,4.3094,385.42,26.8987
404,86.5,-0.7743333333,27.14,-3.261,4.3704,350.32,27.532
369,88.5,-0.5403333333,26.9,-2.977,4.2772,315.21,27.0581
334,90.5,-0.6400833333,27.53,-3.208,4.5281,280.1,26.6777
298,92.5,-0.569,27.06,-3.039,4.339,244.99,27.4778
263,94.5,-0.6951666667,26.68,-3.086,4.193,209.88,27.8015
228,96.5,-0.4985,27.48,-3.056,4.6797,174.78,28.118
192,98.5,-0.3968333333,27.8,-3.021,4.6392,NA,NA
175,99.5,NA,NA,-3.312,NA,NA,NA
133.5,101.5,NA,28.12,NA,4.7733,NA,NA
112.75,102.5,NA,27.44,NA,4.4889,NA,NA
92,103.5,NA,NA,-2.876,NA,NA,NA
71,104.5,-0.3873333333,27.86,-3.024,4.6657,NA,NA
50,105.5,NA,NA,-3.171,NA,NA,NA
29,106.5,NA,27.41,NA,4.4769,NA,NA
8,107.5,NA,NA,-2.963,NA,NA,NA
-13,108.5,NA,27.5,NA,4.5145,NA,NA
-34,109.5,NA,NA,-2.89,NA,NA,NA
-55,110.5,NA,27.56,NA,4.5414,NA,NA
-97,112.5,-0.40575,27.81,-3.032,4.4512,NA,NA
-118,113.5,NA,NA,-3.344,NA,NA,NA
-139.5,114.5,NA,28.06,NA,4.7464,NA,NA
-161,115.5,NA,NA,-3.232,NA,NA,NA
-182,116.5,NA,26.97,NA,4.3037,NA,NA
-203,117.5,NA,NA,-3.18,NA,NA,NA
-224,118.5,NA,27.76,NA,4.6229,NA,NA
-266,120.5,-0.2533333333,27.86,-2.89,4.5193,NA,NA
-287,121.5,NA,NA,-3.038,NA,NA,NA
-308,122.5,NA,28.3,NA,4.8539,NA,NA
-329,123.5,NA,NA,-3.06,NA,NA,NA
-350,124.5,NA,26.89,NA,4.273,NA,NA
-371,125.5,NA,NA,-2.799,NA,NA,NA
-392,126.5,NA,27.67,NA,4.5859,NA,NA
-434,128.5,-0.28075,27.69,-2.882,4.3864,NA,NA
-455,129.5,NA,NA,-3.092,NA,NA,NA
-476.5,130.5,NA,27.45,NA,4.4937,NA,NA
-498,131.5,NA,NA,-3.321,NA,NA,NA
-519,132.5,NA,27.71,NA,4.5992,NA,NA
-540,133.5,NA,NA,-2.892,NA,NA,NA
-603,136.5,-0.3760833333,27.29,-2.894,4.4356,NA,NA
-624,137.5,NA,NA,-3.062,NA,NA,NA
-645,138.5,NA,27.91,NA,4.684,NA,NA
-666,139.5,NA,NA,-3.148,NA,NA,NA
-687,140.5,NA,27.12,NA,4.3623,NA,NA
-708,141.5,NA,NA,-2.8,NA,NA,NA
-729,142.5,NA,28.05,NA,4.7443,NA,NA
-771,144.5,-0.4543333333,27.14,-2.941,4.3722,NA,NA
-793,145.5,NA,NA,-2.919,NA,NA,NA
-814,146.5,NA,27.31,NA,4.4399,NA,NA
-835,147.5,NA,NA,-2.845,NA,NA,NA
-856,148.5,NA,28.12,NA,4.7753,NA,NA
-877,149.5,NA,NA,-3.155,NA,NA,NA
-940,152.5,-0.2651666667,27.28,-2.781,4.4272,NA,NA
-961,153.5,NA,NA,-2.787,NA,NA,NA
-982,154.5,NA,27.96,NA,4.7072,NA,NA
-1003,155.5,NA,NA,-3.127,NA,NA,NA
-1024,156.5,NA,27.49,NA,4.51,NA,NA
-1045,157.5,NA,NA,-2.803,NA,NA,NA
-1066.333333,158.5,NA,27.32,NA,4.4423,NA,NA
-1109,160.5,-0.599,27.42,-3.144,4.3222,NA,NA
-1130,161.5,NA,NA,-2.913,NA,NA,NA
-1151,162.5,NA,27.11,NA,4.3598,NA,NA
-1172,163.5,NA,NA,-2.94,NA,NA,NA
-1193,164.5,NA,27.76,NA,4.6224,NA,NA
-1214,165.5,NA,NA,-3.425,NA,NA,NA
-1235,166.5,NA,27.38,NA,4.4681,NA,NA
-1277,168.5,-0.4856666667,27.34,-3.014,4.5756,NA,NA
-1298,169.5,NA,NA,-3.009,NA,NA,NA
-1319,170.5,NA,27.9,NA,4.6792,NA,NA
-1340,171.5,NA,NA,-2.84,NA,NA,NA
-1361,172.5,NA,27.24,NA,4.41,NA,NA
-1382,173.5,NA,NA,-3.187,NA,NA,NA
-1403.333333,174.5,NA,27.96,NA,4.707,NA,NA
-1446,176.5,-0.42525,27.75,-3.039,4.955,NA,NA
-1467,177.5,NA,NA,-2.882,NA,NA,NA
-1488,178.5,NA,27.56,NA,4.6544,NA,NA
-1509,179.5,NA,NA,-2.963,NA,NA,NA
-1530,180.5,NA,27.46,NA,4.4976,NA,NA
-1551,181.5,NA,NA,-2.899,NA,NA,NA
-1572,182.5,NA,27.87,NA,4.6755,NA,NA
-1614,184.5,-0.5070833333,27.65,-3.1,4.6988,NA,NA
-1635,185.5,NA,NA,-2.919,NA,NA,NA
-1656,186.5,NA,27.39,NA,4.4705,NA,NA
-1677,187.5,NA,NA,-3.153,NA,NA,NA
-1698,188.5,NA,28.66,NA,5.01,NA,NA
-1719,189.5,NA,NA,-3.179,NA,NA,NA
-1740.333333,190.5,NA,27.81,NA,4.6429,NA,NA
-1783,192.5,-0.5605833333,27.71,-3.166,4.6867,NA,NA
-1804,193.5,NA,NA,-3.001,NA,NA,NA
-1825,194.5,NA,28.05,NA,4.7428,NA,NA
-1846,195.5,NA,NA,-2.844,NA,NA,NA
-1867,196.5,NA,27.92,NA,4.6907,NA,NA
-1888,197.5,NA,NA,-3.029,NA,NA,NA
-1909,198.5,NA,27,NA,4.3179,NA,NA
-1951,200.5,-0.57325,27.63,-3.162,4.4112,NA,NA
-1972,201.5,NA,NA,-2.914,NA,NA,NA
-1993,202.5,NA,28.26,NA,4.8331,NA,NA
-2014,203.5,NA,NA,-3.074,NA,NA,NA
-2035.5,204.5,NA,27.63,NA,4.5676,NA,NA
-2057,205.5,NA,NA,-3.03,NA,NA,NA
-2120,208.5,-0.5080833333,27.53,-3.076,4.3543,NA,NA
-2141,209.5,NA,NA,-2.891,NA,NA,NA
-2162,210.5,NA,27.82,NA,4.6489,NA,NA
-2183,211.5,NA,NA,-3.146,NA,NA,NA
-2204,212.5,NA,27.84,NA,4.6558,NA,NA
-2225,213.5,NA,NA,-3.007,NA,NA,NA
-2246,214.5,NA,27.93,NA,4.6932,NA,NA
-2288,216.5,-0.4319166667,27.67,-3.029,4.5666,NA,NA
-2309,217.5,NA,NA,-2.762,NA,NA,NA
-2330,218.5,NA,27.76,NA,4.6236,NA,NA
-2351,219.5,NA,NA,-3.026,NA,NA,NA
-2372.5,220.5,NA,28.26,NA,4.8361,NA,NA
-2394,221.5,NA,NA,-2.96,NA,NA,NA
-2415,222.5,NA,28.18,NA,4.7984,NA,NA
-2457,224.5,-0.5265,27.48,-3.084,4.7234,NA,NA
-2478,225.5,NA,NA,-3.013,NA,NA,NA
-2499,226.5,NA,27.38,NA,4.4646,NA,NA
-2520,227.5,NA,NA,-3.167,NA,NA,NA
-2541,228.5,NA,28.34,NA,4.7973,NA,NA
-2562,229.5,NA,NA,-3.198,NA,NA,NA
-2583,230.5,NA,27.46,NA,4.5007,NA,NA
-2625,232.5,-0.293,28.26,-3.013,4.6182,NA,NA
-2646,233.5,NA,NA,-3.104,NA,NA,NA
-2667.5,234.5,NA,27.55,NA,4.5362,NA,NA
-2689,235.5,NA,NA,-3.192,NA,NA,NA
-2710,236.5,NA,28.82,NA,5.086,NA,NA
-2731,237.5,NA,NA,-3.16,NA,NA,NA
-2752,238.5,NA,27.84,NA,4.6561,NA,NA
-2794,240.5,-0.4688333333,27.68,-3.068,4.5893,NA,NA
-2815,241.5,NA,NA,-3.151,NA,NA,NA
-2836,242.5,NA,27.97,NA,4.7085,NA,NA
-2857,243.5,NA,NA,-3.115,NA,NA,NA
-2878,244.5,NA,27.54,NA,4.531,NA,NA
-2899,245.5,NA,NA,-2.963,NA,NA,NA
-2920,246.5,NA,27.4,NA,4.4764,NA,NA
-2962,248.5,-0.5005833333,27.35,-3.031,4.4564,NA,NA
-2983,249.5,NA,NA,-3.222,NA,NA,NA
-3004.5,250.5,NA,27.81,NA,4.6408,NA,NA
-3026,251.5,NA,NA,-2.936,NA,NA,NA
-3047,252.5,NA,27.41,NA,4.4788,NA,NA
-3068,253.5,NA,NA,-3.219,NA,NA,NA
-3089,254.5,NA,27.85,NA,4.6591,NA,NA
-3131,256.5,-0.4435833333,27.71,-3.049,4.6019,NA,NA
-3152,257.5,NA,NA,-3.127,NA,NA,NA
-3173,258.5,NA,26.98,NA,4.3071,NA,NA
-3194,259.5,NA,NA,-3.205,NA,NA,NA
-3215,260.5,NA,27.48,NA,4.5076,NA,NA
-3236,261.5,NA,NA,-2.99,NA,NA,NA
-3257,262.5,NA,27.14,NA,4.3712,NA,NA
-3299,264.5,-0.5284166667,28.09,-3.213,4.7612,NA,NA
-3321,265.5,NA,NA,-3.002,NA,NA,NA
-3342,266.5,NA,28.67,NA,5.0161,NA,NA
-3363,267.5,NA,NA,-3.08,NA,NA,NA
-3384,268.5,NA,27.27,NA,4.4232,NA,NA
-3405,269.5,NA,NA,-2.772,NA,NA,NA
-3426.666667,270.5,NA,28.45,NA,4.9176,NA,NA
-3470,272.5,-0.3086666667,27.82,-2.937,4.647,NA,NA
-3494,273.5,NA,NA,-3.005,NA,NA,NA
-3518.5,274.5,NA,26.55,NA,4.1465,NA,NA
-3543,275.5,NA,NA,-3.131,NA,NA,NA
-3567.5,276.5,NA,27.78,NA,4.6297,NA,NA
-3592,277.5,NA,NA,-3.177,NA,NA,NA
-3616.333333,278.5,NA,27.04,NA,4.3322,NA,NA
-3665,280.5,-0.4583333333,28.46,-3.22,4.9213,NA,NA
-3690,281.5,NA,NA,-2.969,NA,NA,NA
-3714,282.5,NA,27.34,NA,4.4518,NA,NA
-3738,283.5,NA,NA,-3.167,NA,NA,NA
-3762.5,284.5,NA,27.53,NA,4.5268,NA,NA
-3787,285.5,NA,NA,-2.983,NA,NA,NA
-3811.666667,286.5,NA,27.21,NA,4.398,NA,NA
-3861,288.5,-0.38125,28.23,-3.095,4.821,NA,NA
-3885,289.5,NA,NA,-2.914,NA,NA,NA
-3909.5,290.5,NA,27.26,NA,4.4175,NA,NA
-3934,291.5,NA,NA,-3.163,NA,NA,NA
-3958.5,292.5,NA,27.32,NA,4.4441,NA,NA
-3983,293.5,NA,NA,-3.24,NA,NA,NA
-4007.333333,294.5,NA,26.93,NA,4.2884,NA,NA
-4056,296.5,-0.196,29.34,-3.141,5.3271,NA,NA
-4080,297.5,NA,NA,-3.021,NA,NA,NA
-4104.5,298.5,NA,27.68,NA,4.5882,NA,NA
-4129,299.5,NA,NA,-3.197,NA,NA,NA
-4153.5,300.5,NA,26.76,NA,4.2239,NA,NA
-4178,301.5,NA,NA,-3.012,NA,NA,NA
-4202.5,302.5,NA,27.4,NA,4.4727,NA,NA
-4227,303.5,NA,NA,-3.133,NA,NA,NA
-4251.333333,304.5,NA,27.16,NA,4.3774,NA,NA
-4300,306.5,-0.4078333333,28.52,-3.182,4.9513,NA,NA
-4325,307.5,NA,NA,-3.105,NA,NA,NA
-4349.5,308.5,NA,26.99,NA,4.3137,NA,NA
-4374,309.5,NA,NA,-2.966,NA,NA,NA
-4398.333333,310.5,NA,26.93,NA,4.2899,NA,NA
-4447,312.5,-0.198,28.98,-3.068,5.1592,NA,NA
-4471,313.5,NA,NA,-2.967,NA,NA,NA
-4495.5,314.5,NA,27.36,NA,4.4602,NA,NA
-4520,315.5,NA,NA,-3.145,NA,NA,NA
-4569,317.5,NA,NA,-2.946,NA,NA,NA
-4593.333333,318.5,NA,27.31,NA,4.4402,NA,NA
-4642,320.5,-0.2025833333,29.39,-3.158,5.3521,NA,NA
-4667,321.5,NA,NA,-3.02,NA,NA,NA
-4691.5,322.5,NA,27.42,NA,4.4842,NA,NA
-4716,323.5,NA,NA,-3.071,NA,NA,NA
-4740.5,324.5,NA,27.53,NA,4.5278,NA,NA
-4765,325.5,NA,NA,-2.877,NA,NA,NA
-4789.333333,326.5,NA,27.59,NA,4.5536,NA,NA
-4838,328.5,NA,NA,-2.993,NA,NA,NA
-4862,329.5,NA,NA,-3.049,NA,NA,NA
-4886.5,330.5,NA,27.28,NA,4.4263,NA,NA
-4911,331.5,NA,NA,-3.171,NA,NA,NA
-4935.5,332.5,NA,27.82,NA,4.6466,NA,NA
-4960,333.5,NA,NA,-3.014,NA,NA,NA
-4984.333333,334.5,NA,27.24,NA,4.411,NA,NA
-5033,336.5,-0.6604166667,28.33,-3.395,4.8654,NA,NA
-5058,337.5,NA,NA,-3.233,NA,NA,NA
-5082.5,338.5,NA,28.05,NA,4.7442,NA,NA
-5107,339.5,NA,NA,-3.32,NA,NA,NA
-5131,340.5,NA,27.18,NA,4.3886,NA,NA
-5155,341.5,NA,NA,-3.105,NA,NA,NA
-5229,344.5,-0.1315833333,28.79,-2.962,5.0696,NA,NA
-5253,345.5,NA,NA,-2.919,NA,NA,NA
-5277.5,346.5,NA,26.53,NA,4.1387,NA,NA
-5302,347.5,NA,NA,-3.049,NA,NA,NA
-5326.5,348.5,NA,28.08,NA,4.7573,NA,NA
-5351,349.5,NA,NA,-3.069,NA,NA,NA
-5375.333333,350.5,NA,28.12,NA,4.7726,NA,NA
-5424,352.5,-0.25125,28.71,-3.065,5.0361,NA,NA
-5449,353.5,NA,NA,-3.007,NA,NA,NA
-5473,354.5,NA,28.12,NA,4.775,NA,NA
-5497,355.5,NA,NA,-3.085,NA,NA,NA
-5521.5,356.5,NA,28.35,NA,4.8745,NA,NA
-5546,357.5,NA,NA,-3.202,NA,NA,NA
-5620,360.5,-0.027,28.14,-2.722,4.7847,NA,NA
-5644,361.5,NA,NA,-2.849,NA,NA,NA
-5668.5,362.5,NA,27.58,NA,4.5465,NA,NA
-5693,363.5,NA,NA,-3.24,NA,NA,NA
-5717.5,364.5,NA,27.65,NA,4.5761,NA,NA
-5742,365.5,NA,NA,-3.277,NA,NA,NA
-5766.333333,366.5,NA,27.57,NA,4.5444,NA,NA
-5815,368.5,NA,NA,-2.994,NA,NA,NA
-5839,369.5,NA,NA,-3.002,NA,NA,NA
-5863.5,370.5,NA,28.16,NA,4.7911,NA,NA
-5888,371.5,NA,NA,-3.101,NA,NA,NA
-5912.5,372.5,NA,27.74,NA,4.6124,NA,NA
-5937,373.5,NA,NA,-3.001,NA,NA,NA
-5961.333333,374.5,NA,28.32,NA,4.861,NA,NA
-6010,376.5,NA,NA,-2.904,NA,NA,NA
-6035,377.5,NA,NA,-2.881,NA,NA,NA
-6059.5,378.5,NA,28.09,NA,4.7618,NA,NA
-6084,379.5,NA,NA,-3.033,NA,NA,NA
-6108.5,380.5,NA,28.41,NA,4.8993,NA,NA
-6133,381.5,NA,NA,-3.076,NA,NA,NA
-6157.333333,382.5,NA,28.17,NA,4.7949,NA,NA
-6206,384.5,-0.138,28.98,-3.008,5.1564,NA,NA
-6230,385.5,NA,NA,-2.79,NA,NA,NA
-6254.5,386.5,NA,27.86,NA,4.6646,NA,NA
-6279,387.5,NA,NA,-2.869,NA,NA,NA
-6303.5,388.5,NA,28.57,NA,4.9716,NA,NA
-6328,389.5,NA,NA,-2.849,NA,NA,NA
-6352.333333,390.5,NA,27.37,NA,4.4644,NA,NA
-6401,392.5,-0.1155,29.16,-3.023,5.2432,NA,NA
-6426,393.5,NA,NA,-3.091,NA,NA,NA
-6450.5,394.5,NA,27.28,NA,4.4255,NA,NA
-6475,395.5,NA,NA,-2.829,NA,NA,NA
-6499,396.5,NA,27.76,NA,4.623,NA,NA
-6523,397.5,NA,NA,-2.996,NA,NA,NA
-6547.666667,398.5,NA,28.2,NA,4.8074,NA,NA
-6597,400.5,-0.4319166667,27.67,-3.029,4.5848,NA,NA
-6621,401.5,NA,NA,-2.968,NA,NA,NA
-6645.5,402.5,NA,27.62,NA,4.5646,NA,NA
-6670,403.5,NA,NA,-3.005,NA,NA,NA
-6694.5,404.5,NA,27.95,NA,4.6997,NA,NA
-6719,405.5,NA,NA,-2.815,NA,NA,NA
-6742.333333,406.5,NA,27.56,NA,4.5389,NA,NA
-6789,408.5,-0.195,27.9,-2.84,4.6785,NA,NA
-6807,409.5,NA,NA,-2.984,NA,NA,NA
-6825.5,410.5,NA,28.96,NA,5.1509,NA,NA
-6844,411.5,NA,NA,-2.834,NA,NA,NA
-6862,412.5,NA,27.91,NA,4.6849,NA,NA
-6880,413.5,NA,NA,-2.929,NA,NA,NA
-6898.333333,414.5,NA,27.91,NA,4.6862,NA,NA
-6935,416.5,-0.2880833333,27.65,-2.881,4.575,NA,NA
-6953,417.5,NA,NA,-3.055,NA,NA,NA
-6971,418.5,NA,28.01,NA,4.728,NA,NA
-6989,419.5,NA,NA,-2.609,NA,NA,NA
-7007,420.5,NA,29.11,NA,5.2177,NA,NA
-7025,421.5,NA,NA,-3.123,NA,NA,NA
-7043.333333,422.5,NA,28.66,NA,5.0117,NA,NA
-7080,424.5,-0.095,27.9,-2.74,4.5583,NA,NA
-7098,425.5,NA,NA,-2.809,NA,NA,NA
-7134,427.5,NA,NA,-2.9,NA,NA,NA
-7152.5,428.5,NA,27.96,NA,4.7074,NA,NA
-7171,429.5,NA,NA,-2.633,NA,NA,NA
-7189,430.5,NA,28.02,NA,4.7313,NA,NA
-7225,432.5,-0.0205,28.68,-2.828,4.8555,NA,NA
-7244,433.5,NA,NA,-2.801,NA,NA,NA
-7262,434.5,NA,28.2,NA,4.8097,NA,NA
-7280,435.5,NA,NA,-2.856,NA,NA,NA
-7298,436.5,NA,26.91,NA,4.2806,NA,NA
-7316,437.5,NA,NA,-2.688,NA,NA,NA
-7334.333333,438.5,NA,27.89,NA,4.6754,NA,NA
-7371,440.5,0.07391666667,28.01,-2.594,4.7256,NA,NA
-7389,441.5,NA,NA,-2.779,NA,NA,NA
-7407,442.5,NA,28.49,NA,4.934,NA,NA
-7425,443.5,NA,NA,-2.799,NA,NA,NA
-7443.5,444.5,NA,27.53,NA,4.5293,NA,NA
-7462,445.5,NA,NA,-2.626,NA,NA,NA
-7516,448.5,0.3516666667,29.3,-2.585,5.3103,NA,NA
-7534,449.5,NA,NA,-3.019,NA,NA,NA
-7552.5,450.5,NA,27.37,NA,4.4611,NA,NA
-7571,451.5,NA,NA,-2.215,NA,NA,NA
-7607,453.5,NA,NA,-2.511,NA,NA,NA
-7625.333333,454.5,NA,28.15,NA,4.7855,NA,NA
-7662,456.5,0.5713333333,28.9,-2.282,5.1197,NA,NA
-7680,457.5,NA,NA,-2.528,NA,NA,NA
-7698,458.5,NA,27.43,NA,4.4867,NA,NA
-7716,459.5,NA,NA,-2.356,NA,NA,NA
-7752,461.5,NA,NA,-2.687,NA,NA,NA
-7770.333333,462.5,NA,27.4,NA,4.4727,NA,NA
-7807,464.5,0.544,28.5,-2.226,4.9388,NA,NA
-7825,465.5,NA,NA,-2.491,NA,NA,NA
-7843.5,466.5,NA,27.86,NA,4.6623,NA,NA
-7862,467.5,NA,NA,-2.026,NA,NA,NA
-7880,468.5,NA,27.86,NA,4.6655,NA,NA
-7898,469.5,NA,NA,-2.185,NA,NA,NA
-7916,470.5,NA,27.64,NA,4.5712,NA,NA
-7952,472.5,0.3015,27.48,-2.256,4.5071,NA,NA
-7971,473.5,NA,NA,-2.209,NA,NA,NA
-7989,474.5,NA,27.17,NA,4.3817,NA,NA
-8007,475.5,NA,NA,-2.229,NA,NA,NA
-8025,476.5,NA,27.13,NA,4.3669,NA,NA
-8043,477.5,NA,NA,-2.168,NA,NA,NA
-8098,480.5,0.10225,27.21,-2.399,4.3993,NA,NA
-8116,481.5,NA,NA,-2.093,NA,NA,NA
-8152,483.5,NA,NA,-2.447,NA,NA,NA
-8170.5,484.5,NA,26.89,NA,4.2721,NA,NA
-8189,485.5,NA,NA,-2.392,NA,NA,NA
-8207,486.5,NA,28.45,NA,4.9183,NA,NA
-8243,488.5,0.1421666667,27.44,-2.407,4.4913,NA,NA
-8261,489.5,NA,NA,-2.513,NA,NA,NA
-8279.5,490.5,NA,27.02,NA,4.3249,NA,NA
-8298,491.5,NA,NA,-2.332,NA,NA,NA
-8316,492.5,NA,28.88,NA,5.1102,NA,NA
-8334,493.5,NA,NA,-2.322,NA,NA,NA
-8352.333333,494.5,NA,27.12,NA,4.365,NA,NA
-8389,496.5,0.3063333333,28.06,-2.372,4.7493,NA,NA
-8407,497.5,NA,NA,-2.347,NA,NA,NA
-8425,498.5,NA,27.89,NA,4.6763,NA,NA
-8443,499.5,NA,NA,-2.538,NA,NA,NA
-8480,501.5,NA,NA,-2.556,NA,NA,NA
-8498,502.5,NA,27.75,NA,4.6164,NA,NA
-8534,504.5,0.06525,27.45,-2.486,4.4957,NA,NA
-8552,505.5,NA,NA,-2.263,NA,NA,NA
-8570.5,506.5,NA,27.57,NA,4.5453,NA,NA
-8589,507.5,NA,NA,-2.591,NA,NA,NA
-8607,508.5,NA,28.14,NA,4.783,NA,NA
-8589,509.5,NA,NA,-2.607,NA,NA,NA
-8571,510.5,NA,28.56,NA,4.9681,NA,NA
