year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [1-2],depth (cm) [1-2],d18O (permil) [1-2]
1187,3.5,-13.82,591,2.57,-12.65
1182,3.52,NA,589,2.58,-12.32
1178,3.54,-13.64,588,2.59,-12.69
1174,3.56,-13.41,586,2.6,-12.74
1170,3.58,-13.48,584,2.61,-12.79
1165,3.6,-13.3,583,2.62,-12.74
1161,3.62,-13.36,581,2.63,-12.8
1157,3.64,-12.76,579,2.64,-12.91
1153,3.66,-13.42,577,2.65,-12.94
1148,3.68,-13.21,576,2.66,-13.02
1144,3.7,-13.28,574,2.67,-13.06
1140,3.72,NA,572,2.68,-13.13
1136,3.74,-13.85,571,2.69,-13.02
1131,3.76,-13.3,569,2.7,-13.4
1127,3.78,-13.81,567,2.71,-13.18
1123,3.8,-13.21,566,2.72,-13.21
1119,3.82,-13.22,564,2.73,-13.16
1114,3.84,-13.2,563,2.74,-13.12
1110,3.86,-13.41,561,2.75,-13.02
1106,3.88,-13.31,560,2.76,-13.01
1102,3.9,-13.52,558,2.77,-12.93
1097,3.92,-13.25,556,2.78,-13.08
1093,3.94,-13.46,555,2.79,-13
1089,3.96,-13.48,553,2.8,-13.21
1085,3.98,-13.01,552,2.81,-13.16
1080,4,-13.63,550,2.82,-13.24
1076,4.02,-13.27,549,2.83,-13.24
1072,4.04,-13.32,547,2.84,-13.31
1068,4.06,-13.49,546,2.85,-13.28
1063,4.08,-13.6,544,2.86,-13.3
1059,4.1,-13.72,542,2.87,-13.31
1055,4.12,-13.52,541,2.88,-13.2
1051,4.14,-13.18,539,2.89,-13.1
1046,4.16,-13,538,2.9,-12.88
1042,4.18,-13.41,536,2.91,-12.92
1038,4.2,-13.25,535,2.92,-12.97
1034,4.22,-12.92,533,2.93,-12.01
1030,4.24,-12.85,532,2.94,-13.02
1026,4.26,-13.32,530,2.95,-13.02
1022,4.28,-13.25,528,2.96,-12.92
1018,4.3,NA,527,2.97,-12.94
1014,4.32,-13.35,525,2.98,-12.96
1010,4.34,-13.5,524,2.99,-12.98
1006,4.36,-13.33,522,3,-12.97
1002,4.38,-13.32,521,3.01,-13.12
998,4.4,-12.74,519,3.02,-12.86
994,4.42,-13.08,518,3.03,-12.96
990,4.44,-13.38,516,3.04,-13
986,4.46,-13.28,515,3.05,-12.98
982,4.48,-13.37,513,3.06,-12.76
978,4.5,-13.53,511,3.07,-12.99
974,4.52,-13.32,510,3.08,-12.74
970,4.54,-13.4,508,3.09,-13.07
966,4.56,-13.45,507,3.1,-13.03
962,4.58,-13.46,505,3.11,-13.2
958,4.6,-13.33,504,3.12,-12.96
954,4.62,-12.84,502,3.13,-13.22
950,4.64,-13.49,501,3.14,-12.83
946,4.66,-13.43,499,3.15,-12.86
942,4.68,-13.1,497,3.16,-12.53
938,4.7,-13.04,496,3.17,-12.83
934,4.72,-12.95,494,3.18,-12.67
929,4.74,-13.27,493,3.19,-12.83
922,4.78,-13.07,491,3.2,-12.39
917,4.8,-13.02,490,3.21,-12.93
913,4.82,-13.24,488,3.22,-12.68
909,4.84,-13.43,487,3.23,-12.68
905,4.86,-13.47,485,3.24,-12.75
901,4.88,-13.4,483,3.25,-12.79
897,4.9,-13.67,482,3.26,-12.88
893,4.92,-13.2,480,3.27,-12.85
889,4.94,-13.27,479,3.28,-12.96
885,4.96,-13.31,477,3.29,-12.84
881,4.98,-13.24,476,3.3,-12.66
877,5,-13.02,474,3.31,-12.85
873,5.02,-13.12,473,3.32,-13.17
869,5.04,-12.75,471,3.33,-12.86
865,5.06,-13.11,469,3.34,-12.72
861,5.08,-13.1,468,3.35,-12.9
857,5.1,-12.93,466,3.36,-12.76
853,5.12,-13.53,465,3.37,-13.12
849,5.14,-13.45,463,3.38,-12.56
845,5.16,-13.34,462,3.39,-13.01
841,5.18,-13.5,460,3.4,-12.8
837,5.2,-13,459,3.41,-13.05
833,5.22,-13.44,457,3.42,-12.9
829,5.24,-13.21,455,3.43,-13
825,5.26,-13.23,453,3.45,-12.98
821,5.28,-13.35,451,3.46,-13.01
817,5.3,-13.23,449,3.47,-12.98
813,5.32,-13.46,448,3.48,-13.17
809,5.34,-12.97,446,3.49,-13.08
805,5.36,NA,445,3.5,-12.88
801,5.38,-12.97,443,3.51,-12.98
780,5.4,-12.72,441,3.52,-12.87
744,5.74,-12.8,440,3.53,-12.93
724,5.76,-12.86,438,3.54,-12.78
720,5.78,-13.2,436,3.55,-12.99
716,5.8,-12.95,435,3.56,-12.95
712,5.82,-13.03,433,3.57,-12.99
708,5.84,-12.33,432,3.58,-12.96
704,5.86,-12.64,430,3.59,-12.96
700,5.88,-12.95,428,3.6,-12.94
696,5.9,-12.75,427,3.61,-13.07
692,5.92,-12.9,425,3.62,-12.91
688,5.94,-12.91,423,3.63,-13.07
684,5.96,NA,422,3.64,-12.78
680,5.98,-12.81,420,3.65,-12.91
676,6,-12.44,418,3.66,-12.8
672,6.02,-12.86,417,3.67,-12.96
668,6.04,-12.85,415,3.68,-13.24
664,6.06,-12.43,414,3.69,-12.94
660,6.08,-12.95,412,3.7,-13.03
656,6.1,-12.82,410,3.71,-13.24
651,6.12,-12.96,409,3.72,-12.74
647,6.14,-12.65,407,3.73,-13.02
643,6.16,-13.1,405,3.74,-13.02
639,6.18,-13.02,404,3.75,-12.86
635,6.2,-13.06,402,3.76,-12.95
631,6.22,-12.37,401,3.77,-12.95
627,6.24,-12.92,399,3.78,-12.8
623,6.26,-12.91,397,3.79,-12.98
619,6.28,-12.94,394,3.81,-13.08
615,6.3,-12.94,392,3.82,-13.07
611,6.32,-12.69,391,3.83,-13.04
607,6.34,-12.45,389,3.84,-13.09
602,6.36,-12.91,387,3.85,-13.06
595,6.4,-13.09,386,3.86,-13.16
587,6.44,-13.06,384,3.87,-13.08
579,6.48,-12.69,383,3.88,-13.02
572,6.52,-12.97,381,3.89,-12.71
566,6.54,-12.43,379,3.9,-12.97
559,6.58,-12.97,378,3.91,-13.2
NA,NA,NA,376,3.92,-13.28
NA,NA,NA,374,3.93,-12.98
NA,NA,NA,373,3.94,-13
NA,NA,NA,371,3.95,-13.15
NA,NA,NA,370,3.96,-13.16
NA,NA,NA,368,3.97,-13.1
NA,NA,NA,366,3.98,-13.05
NA,NA,NA,365,3.99,-13.03
NA,NA,NA,363,4,-13.01
NA,NA,NA,361,4.01,-13.06
NA,NA,NA,360,4.02,-12.82
NA,NA,NA,358,4.03,-12.88
NA,NA,NA,356,4.04,-12.86
NA,NA,NA,355,4.05,-12.81
NA,NA,NA,353,4.06,-12.86
NA,NA,NA,352,4.07,-12.72
NA,NA,NA,350,4.08,-12.74
NA,NA,NA,348,4.09,-12.68
NA,NA,NA,347,4.1,-12.78
NA,NA,NA,345,4.11,-12.96
NA,NA,NA,343,4.12,-12.85
NA,NA,NA,342,4.13,-12.91
NA,NA,NA,340,4.14,-12.67
NA,NA,NA,339,4.15,-12.87
NA,NA,NA,337,4.16,-13.11
NA,NA,NA,335,4.17,-12.92
NA,NA,NA,334,4.18,-13.21
NA,NA,NA,332,4.19,-12.89
NA,NA,NA,330,4.2,-13.12
NA,NA,NA,329,4.21,-12.74
NA,NA,NA,327,4.22,-12.93
NA,NA,NA,325,4.23,-12.78
NA,NA,NA,324,4.24,-12.92
NA,NA,NA,322,4.25,-12.83
NA,NA,NA,321,4.26,-13.01
NA,NA,NA,319,4.27,-12.77
NA,NA,NA,317,4.28,-13.01
NA,NA,NA,316,4.29,-12.99
NA,NA,NA,314,4.3,-13.88
NA,NA,NA,312,4.31,-13.17
NA,NA,NA,311,4.32,-13.37
NA,NA,NA,309,4.33,-13.26
NA,NA,NA,308,4.34,-13.46
NA,NA,NA,306,4.35,-13.26
NA,NA,NA,304,4.36,-13.17
NA,NA,NA,303,4.37,-13.41
NA,NA,NA,301,4.38,-13.24
NA,NA,NA,299,4.39,-13.21
NA,NA,NA,298,4.4,-13.48
NA,NA,NA,296,4.41,-13.29
NA,NA,NA,294,4.42,-13.21
NA,NA,NA,293,4.43,-13.3
NA,NA,NA,291,4.44,-13.27
NA,NA,NA,290,4.45,-13.3
NA,NA,NA,288,4.46,-13.36
NA,NA,NA,286,4.47,-13.37
NA,NA,NA,285,4.48,-13.45
NA,NA,NA,283,4.49,-13.46
NA,NA,NA,281,4.5,-13.48
NA,NA,NA,280,4.51,-13.59
NA,NA,NA,278,4.52,-13.36
NA,NA,NA,277,4.53,-13.37
NA,NA,NA,275,4.54,-13.58
NA,NA,NA,273,4.55,-13.57
NA,NA,NA,272,4.56,-13.79
NA,NA,NA,270,4.57,-12.94
NA,NA,NA,268,4.58,-13.58
NA,NA,NA,267,4.59,-13.49
NA,NA,NA,265,4.6,-13.47
NA,NA,NA,264,4.61,NA
NA,NA,NA,263,4.62,-13.2
NA,NA,NA,261,4.63,-13.3
NA,NA,NA,260,4.64,NA
NA,NA,NA,259,4.65,NA
NA,NA,NA,258,4.66,NA
NA,NA,NA,256,4.67,NA
NA,NA,NA,254,4.68,-13.31
NA,NA,NA,249,4.73,-13.09
NA,NA,NA,243,4.78,-12.91
NA,NA,NA,237,4.83,-13.25
NA,NA,NA,230,4.88,-13.08
NA,NA,NA,224,4.93,-12.92
NA,NA,NA,218,4.98,-13.29
NA,NA,NA,212,5.03,-12.84
NA,NA,NA,206,5.08,-13.1
NA,NA,NA,199,5.13,-13.08
NA,NA,NA,193,5.18,-13.15
NA,NA,NA,187,5.23,-13.38
NA,NA,NA,181,5.28,-13.47
NA,NA,NA,175,5.33,-13.7
NA,NA,NA,168,5.38,-13.49
NA,NA,NA,162,5.43,-13.78
NA,NA,NA,156,5.48,-13.3
NA,NA,NA,150,5.53,-13.62
NA,NA,NA,144,5.58,-13.38
NA,NA,NA,137,5.63,-13.72
NA,NA,NA,131,5.68,-13.38
NA,NA,NA,125,5.73,-13.74
NA,NA,NA,117,5.78,-13.43
NA,NA,NA,108,5.88,-13.55
NA,NA,NA,100,5.93,-13.59
NA,NA,NA,94,5.98,-13.27
NA,NA,NA,88,6.03,-13.4
NA,NA,NA,81,6.08,-12.95
NA,NA,NA,75,6.13,-13.3
NA,NA,NA,69,6.18,-13.26
NA,NA,NA,63,6.23,-13.75
NA,NA,NA,57,6.28,-13.51
NA,NA,NA,50,6.33,-13.58
NA,NA,NA,44,6.38,-13.45
NA,NA,NA,38,6.43,-14.11
NA,NA,NA,32,6.48,-13.42
NA,NA,NA,26,6.53,-14.05
NA,NA,NA,19,6.58,-13.78
NA,NA,NA,13,6.63,-13.87
NA,NA,NA,7,6.68,-13.37
NA,NA,NA,1,6.73,-13.97
NA,NA,NA,-5,6.78,-13.74
NA,NA,NA,-12,6.83,-13.87
NA,NA,NA,-19,6.88,-13.15
NA,NA,NA,-29,6.98,-12.93
NA,NA,NA,-36,7.03,-13.47
NA,NA,NA,-43,7.08,-13.46
NA,NA,NA,-49,7.13,-13.52
NA,NA,NA,-55,7.18,-13.61
NA,NA,NA,-61,7.23,-13.22
NA,NA,NA,-67,7.28,-13.22
NA,NA,NA,-74,7.33,-13.9
NA,NA,NA,-80,7.38,-13.3
NA,NA,NA,-86,7.43,-13.68
NA,NA,NA,-92,7.48,-13.07
NA,NA,NA,-98,7.53,-13.47
NA,NA,NA,-103,7.58,-12.94
NA,NA,NA,-108,7.63,-13.51
NA,NA,NA,-113,7.68,-12.84
NA,NA,NA,-118,7.73,-13.81
NA,NA,NA,-123,7.78,-13.26
NA,NA,NA,-128,7.83,-13.93
NA,NA,NA,-133,7.88,-13.1
NA,NA,NA,-138,7.93,-13.65
NA,NA,NA,-143,7.98,-13.1
NA,NA,NA,-149,8.03,-13.63
NA,NA,NA,-157,8.13,-13.27
NA,NA,NA,-166,8.23,-13.31
NA,NA,NA,-172,8.28,-13.34
NA,NA,NA,-177,8.33,-13.66
NA,NA,NA,-182,8.38,-13.14
NA,NA,NA,-187,8.43,-13.58
NA,NA,NA,-192,8.48,-13.21
NA,NA,NA,-197,8.53,-13.78
NA,NA,NA,-202,8.58,-13.39
NA,NA,NA,-207,8.63,-13.76
NA,NA,NA,-212,8.68,-13.26
NA,NA,NA,-217,8.73,-13.4
NA,NA,NA,-222,8.78,-13.09
NA,NA,NA,-227,8.83,-13.43
NA,NA,NA,-232,8.88,-13.63
NA,NA,NA,-237,8.93,-13.77
NA,NA,NA,-242,8.98,-13.98
NA,NA,NA,-247,9.03,-13.95
NA,NA,NA,-252,9.08,-13.74
NA,NA,NA,-257,9.13,-13.72
NA,NA,NA,-262,9.18,-13.45
NA,NA,NA,-267,9.23,-13.35
NA,NA,NA,-273,9.28,-13.48
NA,NA,NA,-281,9.38,-13.41
NA,NA,NA,-287,9.43,-13.5
NA,NA,NA,-292,9.48,-13.59
NA,NA,NA,-297,9.53,-13.55
NA,NA,NA,-302,9.58,-13.24
NA,NA,NA,-307,9.63,-13.51
NA,NA,NA,-312,9.68,-13.44
NA,NA,NA,-317,9.73,-13.52
NA,NA,NA,-322,9.78,-14.02
NA,NA,NA,-327,9.83,-13.66
NA,NA,NA,-332,9.88,-13.35
NA,NA,NA,-337,9.93,-13.76
NA,NA,NA,-344,9.98,-13.4
NA,NA,NA,-354,10.13,-13.36
NA,NA,NA,-362,10.18,-13.68
NA,NA,NA,-367,10.23,-13.84
NA,NA,NA,-372,10.28,-13.58
NA,NA,NA,-377,10.33,-13.81
NA,NA,NA,-382,10.38,-13.35
NA,NA,NA,-387,10.43,-13.65
NA,NA,NA,-392,10.48,-13.25
NA,NA,NA,-397,10.53,-14.09
NA,NA,NA,-402,10.58,-13.8
NA,NA,NA,-407,10.63,-13.7
NA,NA,NA,-412,10.68,-12.97
NA,NA,NA,-417,10.73,-13.84
NA,NA,NA,-422,10.78,-13.43
NA,NA,NA,-427,10.83,-13.95
NA,NA,NA,-432,10.88,-13.79
NA,NA,NA,-437,10.93,-14.1
NA,NA,NA,-442,10.98,-13.27
NA,NA,NA,-447,11.03,-13.78
NA,NA,NA,-452,11.08,-13.37
NA,NA,NA,-457,11.13,-13.82
NA,NA,NA,-462,11.18,-13.93
NA,NA,NA,-467,11.23,-13.87
NA,NA,NA,-472,11.28,-13.5
NA,NA,NA,-477,11.33,-13.94
NA,NA,NA,-482,11.38,-13.77
NA,NA,NA,-486,11.43,-13.87
NA,NA,NA,-491,11.48,-13.02
NA,NA,NA,-496,11.53,-14.11
NA,NA,NA,-501,11.58,-13.79
NA,NA,NA,-506,11.63,-13.99
NA,NA,NA,-511,11.68,-13.66
NA,NA,NA,-516,11.73,-13.81
NA,NA,NA,-521,11.78,-13.28
NA,NA,NA,-526,11.83,-13.89
NA,NA,NA,-531,11.88,-13.21
NA,NA,NA,-536,11.93,-13.46
NA,NA,NA,-541,11.98,-13.37
NA,NA,NA,-546,12.03,-13.87
NA,NA,NA,-551,12.08,-13.22
NA,NA,NA,-556,12.13,-13.17
NA,NA,NA,-560,12.18,-13.22
NA,NA,NA,-565,12.23,-13.38
NA,NA,NA,-570,12.28,-13.13
NA,NA,NA,-574,12.33,-12.95
NA,NA,NA,-579,12.38,-13.4
NA,NA,NA,-584,12.43,-12.97
NA,NA,NA,-589,12.48,-11.88
NA,NA,NA,-593,12.53,-13.26
NA,NA,NA,-598,12.58,-13.25
NA,NA,NA,-603,12.63,-12.95
NA,NA,NA,-607,12.68,-11.99
NA,NA,NA,-612,12.73,-13.42
NA,NA,NA,-617,12.78,-13.28
NA,NA,NA,-622,12.83,-13.27
NA,NA,NA,-626,12.88,-13.31
NA,NA,NA,-631,12.93,-12.91
NA,NA,NA,-636,12.98,-13.2
NA,NA,NA,-640,13.03,-13.34
NA,NA,NA,-645,13.08,-13.45
NA,NA,NA,-650,13.13,-13.33
NA,NA,NA,-655,13.18,-13.23
NA,NA,NA,-659,13.23,-13.39
NA,NA,NA,-664,13.28,-13.41
NA,NA,NA,-669,13.33,-13.34
NA,NA,NA,-673,13.38,-13.21
NA,NA,NA,-678,13.43,-12.04
NA,NA,NA,-683,13.48,-13.06
NA,NA,NA,-687,13.53,-12.63
NA,NA,NA,-692,13.58,-13.09
NA,NA,NA,-697,13.63,-12.56
NA,NA,NA,-702,13.68,-13.17
NA,NA,NA,-706,13.73,-12.71
NA,NA,NA,-711,13.78,-13.28
NA,NA,NA,-716,13.83,-13.05
NA,NA,NA,-720,13.88,-13.14
NA,NA,NA,-725,13.93,-13.46
NA,NA,NA,-730,13.98,-13.46
NA,NA,NA,-735,14.03,-13.36
NA,NA,NA,-739,14.08,-13.3
NA,NA,NA,-744,14.13,-13.53
NA,NA,NA,-749,14.18,-13.05
NA,NA,NA,-753,14.23,-13.03
NA,NA,NA,-758,14.28,-12.74
NA,NA,NA,-763,14.33,-13.54
NA,NA,NA,-768,14.38,-13.29
NA,NA,NA,-772,14.43,-13.55
NA,NA,NA,-777,14.48,-13.5
NA,NA,NA,-782,14.53,-13.65
NA,NA,NA,-786,14.58,-13.28
NA,NA,NA,-791,14.63,-13.67
NA,NA,NA,-796,14.68,-13.5
NA,NA,NA,-801,14.73,-13.43
NA,NA,NA,-805,14.78,-13.73
NA,NA,NA,-810,14.83,-13.51
NA,NA,NA,-815,14.88,-12.95
NA,NA,NA,-819,14.93,-13.38
NA,NA,NA,-824,14.98,-13.75
NA,NA,NA,-829,15.03,-13.72
NA,NA,NA,-834,15.08,-13.61
NA,NA,NA,-838,15.13,-13.89
NA,NA,NA,-843,15.18,-13.46
NA,NA,NA,-848,15.23,-13.64
NA,NA,NA,-852,15.28,-13.32
NA,NA,NA,-857,15.33,-13.22
NA,NA,NA,-862,15.38,-13.28
NA,NA,NA,-867,15.43,-13.7
NA,NA,NA,-871,15.48,-13.2
NA,NA,NA,-876,15.53,-13.5
NA,NA,NA,-881,15.58,-13.15
NA,NA,NA,-885,15.63,-13.39
NA,NA,NA,-890,15.68,-13.39
NA,NA,NA,-895,15.73,-13.37
NA,NA,NA,-899,15.78,-13.5
NA,NA,NA,-904,15.83,-13.41
NA,NA,NA,-909,15.88,-13.38
NA,NA,NA,-914,15.93,-13.37
NA,NA,NA,-918,15.98,-13.23
NA,NA,NA,-923,16.03,-13.46
NA,NA,NA,-928,16.08,-13.43
NA,NA,NA,-932,16.13,-13.41
NA,NA,NA,-937,16.18,-13.36
NA,NA,NA,-942,16.23,-13.26
NA,NA,NA,-947,16.28,-13.24
NA,NA,NA,-951,16.33,-13.22
NA,NA,NA,-956,16.38,-13.2
NA,NA,NA,-962,16.43,-13.4
NA,NA,NA,-969,16.53,-13.33
NA,NA,NA,-975,16.58,-13.15
NA,NA,NA,-980,16.63,-13.36
NA,NA,NA,-985,16.68,-13.33
NA,NA,NA,-993,16.78,-13.27
NA,NA,NA,-998,16.83,-13.18
NA,NA,NA,-1003,16.88,-13.26
NA,NA,NA,-1008,16.93,NA
NA,NA,NA,-1013,16.98,-13.37
NA,NA,NA,-1017,17.03,-13.23
NA,NA,NA,-1022,17.08,-13.4
NA,NA,NA,-1027,17.13,-13.19
NA,NA,NA,-1031,17.18,-13.2
NA,NA,NA,-1036,17.23,-13.28
NA,NA,NA,-1041,17.28,-13.42
NA,NA,NA,-1046,17.33,-13.21
NA,NA,NA,-1050,17.38,-13.36
NA,NA,NA,-1055,17.43,-13.31
NA,NA,NA,-1060,17.48,-13.59
NA,NA,NA,-1064,17.53,-13.43
NA,NA,NA,-1069,17.58,-13.33
NA,NA,NA,-1074,17.63,-13.48
NA,NA,NA,-1079,17.68,-13.86
NA,NA,NA,-1083,17.73,-13.78
NA,NA,NA,-1088,17.78,-13.66
NA,NA,NA,-1092,17.83,-13
NA,NA,NA,-1096,17.88,-13.33
NA,NA,NA,-1100,17.93,-13.04
NA,NA,NA,-1104,17.98,-13.31
NA,NA,NA,-1108,18.03,-13.33
NA,NA,NA,-1112,18.08,-13.81
NA,NA,NA,-1116,18.13,-13.26
NA,NA,NA,-1120,18.18,-13.31
