year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [2-1]
956,-26.36,1767,NA,-28.6687
961,-26.87,1766,NA,-27.9693
966,-28.01,1765,NA,-26.4512
971,-27.34,1764,NA,-25.6891
976,-28.18,1763,NA,-26.2504
981,-27.88,1762,NA,-27.8666
986,-27.95,1761,NA,-27.93
991,-28.88,1760,NA,-28.3106
996,-29.51,1759,NA,-28.7077
1001,-28.94,1758,NA,-29.2084
1006,-28.43,1757,NA,-28.9351
1011,-27.9,1756,NA,-28.7246
1016,-28.08,1755,NA,-29.3344
1021,-27.75,1754,NA,-29.7976
1026,-27.38,1753,NA,-28.93
1031,-27.62,1752,NA,-26.7393
1036,-28.63,1751,NA,-27.3462
1041,-28.28,1750,NA,-27.9204
1046,-27.72,1749,NA,-28.0558
1051,-28.03,1748,NA,-27.9805
1056,-28.23,1747,NA,-27.02
1061,-28.57,1746,NA,-28.1844
1066,-28.61,1745,NA,-30.1199
1071,-28.22,1744,NA,-29.893
1076,-27.5,1743,NA,-29.0258
1081,-26.76,1742,NA,-27.9204
1086,-26.84,1741,NA,-25.9974
1091,-27.58,1740,NA,-25.93
1096,-28.52,1739,NA,-28.2601
1101,-27.72,1738,NA,-29.0921
1106,-27.31,1737,NA,-28.7964
1111,-28.23,1736,NA,-28.3382
1116,-28.41,1735,NA,-28.4618
1121,-28.27,1734,NA,-26.92
1126,-27.65,1733,NA,-26.8162
1131,-28,1732,NA,-26.5346
1136,-28.19,1731,NA,-28.69
1141,-27.65,1730,NA,-28.9095
1146,-28.57,1729,NA,-27.7962
1151,-28.45,1728,NA,-28.6319
1156,-28.71,1727,NA,-27.78
1161,-28.24,1726,NA,-27.8598
1166,-28.59,1725,NA,-28.8935
1171,-28.85,1724,NA,-28.0525
1176,-27.83,1723,NA,-27.7788
1181,-27.25,1722,NA,-27.9062
1186,-27.41,1721,NA,-28.0499
1191,-28.29,1720,NA,-29.0852
1196,-28.26,1719,NA,-30.63
1201,-27.56,1718,NA,-28.8263
1206,-28.03,1717,NA,-30.0715
1211,-27.01,1716,NA,-30.1983
1216,-27.56,1715,NA,-28.911
1221,-27.89,1714,NA,-27.6072
1226,-27.72,1713,NA,-27.76
1231,-26.98,1712,NA,-26.494
1236,-26.08,1711,NA,-27.2404
1241,-27.3,1710,NA,-27.9849
1246,-27.1,1709,NA,-28.7483
1251,-28.32,1708,NA,-29.26
1256,-27.12,1707,NA,-29.0522
1261,-28.06,1706,NA,-29.08
1266,-27.99,1705,NA,-29.264
1271,-27.9,1704,NA,-28.3305
1276,-28.18,1703,NA,-28.6994
1281,-27.41,1702,NA,-28.5751
1286,-28.45,1701,NA,-27.6345
1291,-28.59,1700,NA,-27.6406
1296,-29.51,1699,NA,-29.43
1301,-27.6,1698,NA,-30.5267
1306,-28.24,1697,NA,-29.3429
1311,-27.96,1696,NA,-28.6795
1316,-27.98,1695,NA,-28.2895
1321,-28.12,1694,NA,-27.9114
1326,-28.34,1693,NA,-27.8476
1331,-28,1692,NA,-29.18
1336,-28.64,1691,NA,-29.1297
1341,-28.12,1690,NA,-29.5508
1346,-28.42,1689,NA,-29.1589
1351,-27.54,1688,NA,-28.2532
1356,-27.7,1687,NA,-28.1534
1361,-27.3,1686,NA,-28.8
1366,-27.06,1685,NA,-29.0194
1371,-26.71,1684,NA,-28.5321
1376,-26.21,1683,NA,-28.5006
1381,-26.42,1682,NA,-28.7124
1386,-27.68,1681,NA,-28.8572
1391,-28.44,1680,NA,-29.58
1396,-28.09,1679,NA,-27.9772
1401,-27.42,1678,NA,-27.3077
1406,-27.04,1677,NA,-26.6992
1411,-28.04,1676,NA,-26.39
1416,-28.19,1675,NA,-26.6693
1421,-28.15,1674,NA,-27.7797
1426,-28.84,1673,NA,-27.77
1431,-28.81,1672,NA,-28.8402
1436,-27.71,1671,NA,-27.5387
1441,-26.86,1670,NA,-26.6407
1446,-27.17,1669,NA,-27.1814
1451,-27.18,1668,NA,-28.841
1456,-27.18,1667,NA,-29.76
1461,-27.57,1666,NA,-26.0213
1466,-28.04,1665,NA,-27.4039
1471,-27.67,1664,NA,-29.1022
1476,-27.62,1663,NA,-29.8375
1481,-27.98,1662,NA,-29.5168
1486,-28.03,1661,NA,-28.3562
1491,-28.53,1660,NA,-27.2186
1496,-28.14,1659,NA,-26.39
1501,-27.45,1658,NA,-25.9101
1506,-28.26,1657,NA,-27.0454
1511,-28.52,1656,NA,-28.3811
1516,-28.58,1655,NA,-28.7973
1521,-29.34,1654,NA,-28.4987
1526,-28.29,1653,NA,-28.4081
1531,-28.03,1652,NA,-28.5066
1536,-26.7,1651,NA,-26.2632
1541,-27.57,1650,NA,-26.99
1546,-28.28,1649,NA,-29.2378
1551,-26.91,1648,NA,-28.2483
1556,-28.22,1647,NA,-27.9102
1561,-29.33,1646,NA,-27.8811
1566,-27.61,1645,NA,-27.3287
1571,-28.78,1644,NA,-26.7596
1576,-27.36,1643,NA,-28.73
1581,-27.06,1642,NA,-29.8774
1586,-28.05,1641,NA,-28.9727
1591,-27.79,1640,NA,-29.1964
1596,-27.67,1639,NA,-29.4112
1601,-27.86,1638,NA,-28.9445
1606,-28.76,1637,NA,-27.9889
1611,-27.81,1636,NA,-27.34
1616,-28.8,1635,NA,-26.7822
1621,-27.32,1634,NA,-27.4715
1626,-27.7,1633,NA,-26.8477
1631,-28.08,1632,NA,-26.2522
1636,-26.83,1631,NA,-26.9358
1641,-29.24,1630,NA,-28.3856
1646,-28.36,1629,NA,-27.8181
1651,-28.51,1628,NA,-28.31
1656,-28.33,1627,NA,-29.7601
1661,-27.54,1626,NA,-29.5163
1666,-28.55,1625,NA,-27.2258
1671,-27.82,1624,NA,-26.6381
1676,-27.06,1623,NA,-26.7123
1681,-28.38,1622,NA,-26.9912
1686,-28.51,1621,NA,-27.7638
1691,-28.6,1620,NA,-27.092
1696,-28.64,1619,NA,-26.57
1701,-28.5,1618,NA,-28.8429
1706,-28.76,1617,NA,-29.0534
