year (AD),age (BP),Mg (percent),detrendMg (percent)
-130,2080,18.148,-2.105
-150,2100,17.314,-2.921
-170,2120,18.797,-1.419
-190,2140,18.872,-1.325
-210,2160,17.729,-2.447
-230,2180,17.853,-2.302
-250,2200,18.354,-1.779
-270,2220,17.593,-2.517
-290,2240,16.208,-3.88
-310,2260,16.59,-3.474
-330,2280,16.724,-3.315
-350,2300,16.666,-3.348
-370,2320,16.376,-3.612
-390,2340,16.228,-3.733
-410,2360,15.91,-4.024
-430,2380,15.748,-4.159
-450,2400,15.953,-3.925
-470,2420,16.647,-3.202
-490,2440,17.684,-2.134
-510,2460,18.511,-1.276
-530,2480,18.615,-1.141
-550,2500,18.508,-1.216
-570,2520,18.805,-0.886
-590,2540,19.261,-0.397
-610,2560,19.537,-0.087
-630,2580,20.077,0.488
-650,2600,20.606,1.053
-670,2620,21.321,1.804
-690,2640,22.555,3.075
-710,2660,21.696,2.253
-730,2680,21.162,1.758
-750,2700,20.99,1.625
-770,2720,20.216,0.891
-790,2740,20.78,1.495
-810,2760,20.21,0.966
-830,2780,19.219,0.017
-850,2800,19.082,-0.078
-870,2820,18.273,-0.843
-890,2840,18.465,-0.608
-910,2860,18.763,-0.266
-930,2880,18.451,-0.533
-950,2900,17.84,-1.097
-970,2920,18.465,-0.425
-990,2940,18.367,-0.476
-1010,2960,17.974,-0.821
-1030,2980,17.89,-0.857
-1050,3000,18.266,-0.431
-1070,3020,18.599,-0.048
-1090,3040,18.987,0.39
-1110,3060,18.306,-0.239
-1130,3080,17.519,-0.974
-1150,3100,17.496,-0.944
-1170,3120,17.319,-1.068
-1190,3140,16.743,-1.589
-1210,3160,16.657,-1.62
-1230,3180,16.745,-1.477
-1250,3200,16.336,-1.83
-1270,3220,15.558,-2.551
-1290,3240,15.607,-2.444
-1310,3260,15.403,-2.59
-1330,3280,15.628,-2.305
-1350,3300,16.223,-1.651
-1370,3320,17.104,-0.71
-1390,3340,17.622,-0.13
-1410,3360,17.624,-0.067
-1430,3380,19.102,1.474
-1450,3400,19.457,1.892
-1470,3420,19.22,1.719
-1490,3440,19.201,1.764
-1510,3460,18.916,1.545
-1530,3480,20.944,3.639
-1550,3500,21.349,4.11
-1570,3520,21.393,4.221
-1590,3540,20.835,3.732
-1610,3560,20.269,3.234
-1630,3580,19.703,2.737
-1650,3600,19.306,2.41
-1670,3620,19.233,2.408
-1690,3640,19.168,2.415
-1710,3660,19.104,2.422
-1730,3680,18.813,2.205
-1750,3700,18.03,1.495
-1770,3720,17.229,0.768
-1790,3740,16.428,0.042
-1810,3760,15.912,-0.398
-1830,3780,16.113,-0.121
-1850,3800,16.347,0.19
-1870,3820,16.582,0.503
-1890,3840,16.823,0.822
-1910,3860,17.081,1.159
-1930,3880,17.341,1.499
-1950,3900,17.601,1.839
-1970,3920,17.859,2.179
-1990,3940,18.094,2.495
-2010,3960,18.32,2.804
-2030,3980,18.547,3.114
-2050,4000,18.766,3.417
-2070,4020,18.842,3.577
-2090,4040,18.86,3.681
-2110,4060,18.878,3.785
-2130,4080,18.824,3.817
-2150,4100,18.51,3.591
-2170,4120,18.174,3.342
-2190,4140,17.839,3.096
-2210,4160,17.551,2.897
-2230,4180,17.281,2.718
-2250,4200,17.012,2.539
-2270,4220,16.529,2.148
-2290,4240,15.662,1.373
-2310,4260,14.787,0.591
-2330,4280,13.999,-0.104
-2350,4300,13.878,-0.131
-2370,4320,13.897,-0.017
-2390,4340,13.916,0.098
-2410,4360,14.034,0.312
-2430,4380,14.236,0.611
-2450,4400,14.438,0.911
-2470,4420,14.437,1.009
-2490,4440,13.713,0.383
-2510,4460,12.925,-0.305
-2530,4480,12.16,-0.97
-2550,4500,11.952,-1.076
-2570,4520,11.981,-0.945
-2590,4540,12.01,-0.814
-2610,4560,12.111,-0.609
-2630,4580,12.344,-0.273
-2650,4600,12.579,0.066
-2670,4620,12.729,0.322
-2690,4640,12.694,0.393
-2710,4660,12.652,0.458
-2730,4680,12.769,0.682
-2750,4700,13.37,1.391
-2770,4720,14.005,2.134
-2790,4740,14.58,2.819
-2810,4760,14.14,2.489
-2830,4780,13.332,1.792
-2850,4800,12.525,1.096
-2870,4820,12.012,0.695
-2890,4840,11.949,0.745
-2910,4860,11.892,0.801
-2930,4880,11.822,0.846
-2950,4900,10.679,-0.182
-2970,4920,10.606,-0.139
-2990,4940,10.533,-0.096
-3010,4960,10.398,-0.114
-3030,4980,10.116,-0.278
-3050,5000,9.509,-0.767
-3070,5020,8.796,-1.361
-3090,5040,7.834,-2.203
-3110,5060,6.871,-3.046
-3130,5080,6.25,-3.546
-3150,5100,6.084,-3.59
-3170,5120,6.039,-3.513
-3190,5140,5.993,-3.435
-3210,5160,5.934,-3.37
-3230,5180,5.822,-3.358
-3250,5200,5.777,-3.277
-3270,5220,5.733,-3.195
-3290,5240,5.743,-3.059
-3310,5260,6.152,-2.523
-3330,5280,6.641,-1.905
-3350,5300,7.13,-1.287
-3370,5320,7.619,-0.669
-3390,5340,7.706,-0.452
-3410,5360,7.454,-0.573
-3430,5380,7.202,-0.694
-3450,5400,6.95,-0.814
