year (AD) [1-1],age (BP) [1-1],sampleID (missing) [1-1],year (AD) [2-1],age (BP) [2-1],d18O (permil) [2-1],d13C (permil) [2-1]
1604,346,hs-4c-940,1604,346,-7.82,-10.87
1601,349,hs-4c-939,1601,349,-8.06,-11.83
1599,351,hs-4c-938,1599,351,-7.96,-11.69
1597,353,hs-4c-937,1597,353,-7.81,-11.38
1595,355,hs-4c-936,1595,355,-7.57,-10.02
1593,357,hs-4c-935,1593,357,-7.71,-10.38
1590,360,hs-4c-934,1590,360,-8,-10.18
1588,362,hs-4c-933,1588,362,-7.73,-10.51
1586,364,hs-4c-932,1586,364,-8.42,-10.61
1584,366,hs-4c-931,1584,366,-8.48,-10.92
1582,368,hs-4c-930,1582,368,-7.95,-10.41
1579,371,hs-4c-929,1579,371,-8.03,-10.21
1577,373,hs-4c-928,1577,373,-8.48,-10.41
1575,375,hs-4c-927,1575,375,-8.01,-9.95
1573,377,hs-4c-926,1573,377,-7.94,-9.86
1571,379,hs-4c-925,1571,379,-8.03,-10.17
1568,382,hs-4c-924,1568,382,-7.63,-11
1566,384,hs-4c-923,1566,384,-8.02,-11.16
1564,386,hs-4c-922,1564,386,-7.85,-10.93
1562,388,hs-4c-921,1562,388,-7.96,-10.82
1557,393,hs-4c-919,1557,393,-8.16,-10.38
1555,395,hs-4c-918,1555,395,-8.12,-10.5
1553,397,hs-4c-917,1553,397,-7.98,-10.67
1551,399,hs-4c-916,1551,399,-7.95,-10.73
1549,401,hs-4c-915,1549,401,-8.41,-10.53
1546,404,hs-4c-914,1546,404,-8.11,-10.96
1544,406,hs-4c-913,1544,406,-8.33,-10.93
1542,408,hs-4c-912,1542,408,-8.34,-11.12
1540,410,hs-4c-911,1540,410,-9.2,-11.46
1538,412,hs-4c-910,1538,412,-8.94,-11.82
1536,414,hs-4c-909,1536,414,-8.59,-11.56
1533,417,hs-4c-908,1533,417,-8.2,-11.41
1531,419,hs-4c-907,1531,419,-8.08,-11.32
1529,421,hs-4c-906,1529,421,-8.24,-11.35
1527,423,hs-4c-905,1527,423,-8.34,-11.59
1525,425,hs-4c-904,1525,425,-7.91,-11.22
1522,428,hs-4c-903,1522,428,-7.94,-11.25
1520,430,hs-4c-902,1520,430,-7.92,-11.27
1518,432,hs-4c-901,1518,432,-7.81,-11.21
1516,434,hs-4c-900,1516,434,-8.27,-10.4
1514,436,hs-4c-899,1514,436,-7.88,-11.38
1511,439,hs-4c-898,1511,439,-7.62,-11.09
1509,441,hs-4c-897,1509,441,-7.92,-11.48
1507,443,hs-4c-896,1507,443,-7.67,-10.93
1505,445,hs-4c-895,1505,445,-7.79,-10.61
1503,447,hs-4c-894,1503,447,-7.86,-11.19
1500,450,hs-4c-893,1500,450,-7.59,-10.71
1498,452,hs-4c-892,1498,452,-7.67,-10.84
1496,454,hs-4c-891,1496,454,-7.72,-10.85
1494,456,hs-4c-890,1494,456,-7.89,-9.95
1492,458,hs-4c-889,1492,458,-7.81,-10.86
1489,461,hs-4c-888,1489,461,-7.59,-10.51
1487,463,hs-4c-887,1487,463,-7.63,-10.62
1485,465,hs-4c-886,1485,465,-7.71,-10.71
1483,467,hs-4c-885,1483,467,-7.74,-11.24
1481,469,hs-4c-884,1481,469,-7.45,-10.08
1478,472,hs-4c-883,1478,472,-7.62,-10.34
1476,474,hs-4c-882,1476,474,-7.66,-10.49
1474,476,hs-4c-881,1474,476,-7.46,-10.12
1472,478,hs-4c-880,1472,478,-7.35,-10.67
1470,480,hs-4c-879,1470,480,-7.34,-10.14
1467,483,hs-4c-878,1467,483,-7.52,-10.22
1465,485,hs-4c-877,1465,485,-7.66,-10.23
1463,487,hs-4c-876,1463,487,-7.75,-10.13
1461,489,hs-4c-875,1461,489,-7.89,-10.11
1459,491,hs-4c-874,1459,491,-7.89,-10.2
1456,494,hs-4c-873,1456,494,-7.75,-10.38
1454,496,hs-4c-872,1454,496,-7.8,-10.43
1452,498,hs-4c-871,1452,498,-7.93,-10.79
1450,500,hs-4c-870,1450,500,-7.67,-10.61
1448,502,hs-4c-869,1448,502,-8.05,-10.93
1446,504,hs-4c-868,1446,504,-7.86,-10.42
1443,507,hs-4c-867,1443,507,-8.11,-11.07
1441,509,hs-4c-866,1441,509,-8.28,-11.47
1439,511,hs-4c-865,1439,511,-8.01,-11.49
1437,513,hs-4c-864,1437,513,-8.24,-11.2
1435,515,hs-4c-863,1435,515,-8.14,-11.06
1432,518,hs-4c-862,1432,518,-8.16,-10.39
1430,520,hs-4c-861,1430,520,-8.02,-10.7
1428,522,hs-4c-860,1428,522,-8.06,-11.73
1426,524,hs-4c-859,1426,524,-7.99,-10.6
1424,526,hs-4c-858,1424,526,-7.82,-10.31
1421,529,hs-4c-857,1421,529,-7.99,-9.85
1419,531,hs-4c-856,1419,531,-7.63,-10.05
1417,533,hs-4c-855,1417,533,-8.13,-11.31
1415,535,hs-4c-854,1415,535,-7.78,-9.9
1413,537,hs-4c-853,1413,537,-8.04,-10.23
1410,540,hs-4c-852,1410,540,-8.11,-10.25
1408,542,hs-4c-851,1408,542,-8.01,-10.11
1406,544,hs-4c-850,1406,544,-8.21,-10.33
1404,546,hs-4c-849,1404,546,-7.89,-10.27
1402,548,hs-4c-848,1402,548,-8.21,-10.32
1399,551,hs-4c-847,1399,551,-8.09,-10.08
1397,553,hs-4c-846,1397,553,-7.81,-9.95
1395,555,hs-4c-845,1395,555,-8.06,-10.14
1393,557,hs-4c-844,1393,557,-7.91,-9.86
1391,559,hs-4c-843,1391,559,-7.96,-9.84
1388,562,hs-4c-842,1388,562,-8.08,-9.94
1386,564,hs-4c-841,1386,564,-8.02,-9.91
1384,566,hs-4c-840,1384,566,-8.21,-10.1
1382,568,hs-4c-839,1382,568,-8.04,-9.98
1380,570,hs-4c-838,1380,570,-8.1,-10.06
1377,573,hs-4c-837,1377,573,-8.18,-10.39
1375,575,hs-4c-836,1375,575,-8.14,-10.15
1371,579,hs-4c-834,1371,579,-7.97,-10.28
1369,581,hs-4c-833,1369,581,-8.23,-10.93
1367,583,hs-4c-832,1367,583,-7.96,-10.3
1364,586,hs-4c-831,1364,586,-7.97,-10.38
1362,588,hs-4c-830,1362,588,-7.99,-9.79
1360,590,hs-4c-829,1360,590,-7.45,-9.44
1358,592,hs-4c-828,1358,592,-7.99,-9.57
1356,594,hs-4c-827,1356,594,-8.09,-9.68
1354,596,hs-4c-826,1354,596,-7.88,-9.56
1352,598,hs-4c-825,1352,598,-8.17,-9.91
1350,600,hs-4c-824,1350,600,-7.95,-10.09
1348,602,hs-4c-823,1348,602,-8.07,-10.26
1346,604,hs-4c-822,1346,604,-8.35,-10.41
1343,607,hs-4c-821,1343,607,-8.29,-10.12
1337,613,hs-4c-819,1337,613,-7.96,-9.89
1334,616,hs-4c-818,1334,616,-7.99,-10.13
1331,619,hs-4c-817,1331,619,-7.86,-9.78
1328,622,hs-4c-816,1328,622,-8.02,-9.99
1324,626,hs-4c-815,1324,626,-8.13,-10.41
1321,629,hs-4c-814,1321,629,-8.41,-10.85
1318,632,hs-4c-813,1318,632,-8.37,-10.73
1315,635,hs-4c-812,1315,635,-8.44,-10.75
1312,638,hs-4c-811,1312,638,-8.17,-10.21
1309,641,hs-4c-810,1309,641,-8.45,-11.16
1306,644,hs-4c-809,1306,644,-8.52,-10.95
1303,647,hs-4c-808,1303,647,-8.47,-11.01
1300,650,hs-4c-807,1300,650,-8.46,-10.92
1297,653,hs-4c-806,1297,653,-8.4,-10.69
1294,656,hs-4c-805,1294,656,-8.71,-11.32
1291,659,hs-4c-804,1291,659,-8.58,-10.86
1288,662,hs-4c-803,1288,662,-8.59,-10.85
1284,666,hs-4c-802,1284,666,-8.56,-10.91
1281,669,hs-4c-801,1281,669,-8.85,-11.27
1278,672,hs-4c-800,1278,672,-8.42,-10.79
1275,675,hs-4c-799,1275,675,-8.81,-10.96
1272,678,hs-4c-798,1272,678,-8.65,-11.03
1268,682,hs-4c-797,1268,682,-8.8,-11.04
1265,685,hs-4c-796,1265,685,-8.64,-10.7
1262,688,hs-4c-795,1262,688,-8.47,-10.94
1258,692,hs-4c-794,1258,692,-8.66,-10.91
1251,699,hs-4c-792,1251,699,-8.82,-10.7
1248,702,hs-4c-791,1248,702,-8.45,-10.21
1245,705,hs-4c-790,1245,705,-8.09,-10.19
1241,709,hs-4c-789,1241,709,-7.77,-10.16
1238,712,hs-4c-788,1238,712,-7.87,-10.13
1235,715,hs-4c-787,1235,715,-7.92,-10.26
1231,719,hs-4c-786,1231,719,-7.8,-10.05
1228,722,hs-4c-785,1228,722,-7.95,-10.5
1225,725,hs-4c-784,1225,725,-7.72,-10.43
1221,729,hs-4c-783,1221,729,-7.84,-10.58
1218,732,hs-4c-782,1218,732,-7.84,-10.77
1215,735,hs-4c-781,1215,735,-7.78,-10.64
1211,739,hs-4c-780,1211,739,-8.07,-11.16
1208,742,hs-4c-779,1208,742,-7.83,-10.95
1205,745,hs-4c-778,1205,745,-8.07,-10.93
1201,749,hs-4c-777,1201,749,-8.21,-11.11
1198,752,hs-4c-776,1198,752,-8.34,-11.02
1195,755,hs-4c-775,1195,755,-8.63,-11.49
1191,759,hs-4c-774,1191,759,-8.62,-11.38
1188,762,hs-4c-773,1188,762,-8.64,-11.45
1185,765,hs-4c-772,1185,765,-8.67,-11.59
1178,772,hs-4c-770,1178,772,-8.66,-11.81
1175,775,hs-4c-769,1175,775,-8.53,-11.53
1173,777,hs-4c-768,1173,777,-8.35,-11.26
1170,780,hs-4c-767,1170,780,-7.72,-10.28
1167,783,hs-4c-766,1167,783,-8.36,-11.22
1165,785,hs-4c-765,1165,785,-7.91,-11.25
1157,793,hs-4c-762,1157,793,-8.61,-11.21
1152,798,hs-4c-760,1152,798,-8.54,-11.45
1149,801,hs-4c-759,1149,801,-8.95,-11.12
1146,804,hs-4c-758,1146,804,-9.54,-11.3
1141,809,hs-4c-756,1141,809,-9.76,-11.58
1136,814,hs-4c-754,1136,814,-8.53,-11.12
1133,817,hs-4c-753,1133,817,-8.67,-11.38
1131,819,hs-4c-752,1131,819,-8.42,-11.05
1128,822,hs-4c-751,1128,822,-8.31,-10.86
1125,825,hs-4c-750,1125,825,-8.65,-11.19
1120,830,hs-4c-748,1120,830,-8.36,-10.75
1115,835,hs-4c-746,1115,835,-8.28,-10.59
1112,838,hs-4c-745,1112,838,-8.34,-10.84
1110,840,hs-4c-744,1110,840,-8.15,-10.43
1107,843,hs-4c-743,1107,843,-8.07,-10.61
1104,846,hs-4c-742,1104,846,-8.03,-10.73
1102,848,hs-4c-741,1102,848,-7.99,-10.83
1099,851,hs-4c-740,1099,851,-8.03,-11.03
1096,854,hs-4c-739,1096,854,-8.13,-11.11
1093,857,hs-4c-738,1093,857,-8.01,-11.03
1090,860,hs-4c-737,1090,860,-8.03,-10.9
1086,864,hs-4c-736,1086,864,-7.97,-10.84
1083,867,hs-4c-735,1083,867,-8.04,-11.3
1080,870,hs-4c-734,1080,870,-8.03,-11.24
1077,873,hs-4c-733,1077,873,-8.04,-11.2
1074,876,hs-4c-732,1074,876,-8.18,-11.27
1071,879,hs-4c-731,1071,879,-8.31,-11.25
1064,886,hs-4c-729,1064,886,-8.28,-11.38
1061,889,hs-4c-728,1061,889,-8.34,-11.15
1058,892,hs-4c-727,1058,892,-8.36,-11.21
1055,895,hs-4c-726,1055,895,-8.38,-11.4
1052,898,hs-4c-725,1052,898,-8.34,-11.55
1048,902,hs-4c-724,1048,902,-8.3,-11.06
1045,905,hs-4c-723,1045,905,-8.27,-10.85
1042,908,hs-4c-722,1042,908,-8.27,-10.91
1039,911,hs-4c-721,1039,911,-8.28,-10.96
1036,914,hs-4c-720,1036,914,-8.29,-10.91
1033,917,hs-4c-719,1033,917,-8.37,-11.18
1029,921,hs-4c-718,1029,921,-8.24,-10.44
1026,924,hs-4c-717,1026,924,-8.42,-10.99
1023,927,hs-4c-716,1023,927,-8.37,-10.74
1020,930,hs-4c-715,1020,930,-8.48,-11.33
1017,933,hs-4c-714,1017,933,-8.37,-11.25
1014,936,hs-4c-713,1014,936,-8.51,-11.23
1007,943,hs-4c-711,1007,943,-8.27,-10.44
1004,946,hs-4c-710,1004,946,-8.44,-10.69
1003,947,hs-4c-709,1003,947,-8.18,-10.03
1000,950,hs-4c-706,1000,950,-7.93,-9.63
998,952,hs-4c-704,998,952,-8.11,-9.6
997,953,hs-4c-703,997,953,-8,-9.7
996,954,hs-4c-702,996,954,-8.05,-9.94
995,955,hs-4c-701,995,955,-8.08,-10.08
994,956,hs-4c-700,994,956,-7.95,-10.15
993,957,hs-4c-699,993,957,-7.92,-10.89
992,958,hs-4c-698,992,958,-8.02,-11.04
991,959,hs-4c-697,991,959,-7.93,-10.92
990,960,hs-4c-696,990,960,-8.13,-10.93
989,961,hs-4c-695,989,961,-8.09,-11.27
988,962,hs-4c-694,988,962,-8.03,-10.74
987,963,hs-4c-693,987,963,-8.1,-11.01
985,965,hs-4c-691,985,965,-8.05,-10.9
984,966,hs-4c-690,984,966,-7.97,-10.79
983,967,hs-4c-689,983,967,-7.65,-10.36
982,968,hs-4c-688,982,968,-8.29,-10.41
981,969,hs-4c-687,981,969,-8.52,-10.47
980,970,hs-4c-686,980,970,-8.37,-11.04
979,971,hs-4c-685,979,971,-8.12,-11.45
977,973,hs-4c-683,977,973,-8.54,-11.34
976,974,hs-4c-682,976,974,-8.47,-11.17
975,975,hs-4c-681,975,975,-8.58,-11.3
974,976,hs-4c-680,974,976,-8.02,-11.47
973,977,hs-4c-679,973,977,-8.34,-10.72
972,978,hs-4c-678,972,978,-8.25,-10.78
971,979,hs-4c-677,971,979,-8.35,-10.62
970,980,hs-4c-676,970,980,-8.05,-10.12
969,981,hs-4c-675,969,981,-7.9,-10.24
966,984,hs-4c-672,966,984,-8.24,-10.49
965,985,hs-4c-671,965,985,-8.28,-11.02
964,986,hs-4c-670,964,986,-8.45,-11.48
959,991,hs-4c-665,959,991,-7.75,-10.41
957,993,hs-4c-663,957,993,-8.15,-10.44
956,994,hs-4c-662,956,994,-8.12,-10.54
955,995,hs-4c-661,955,995,-8.21,-11.07
954,996,hs-4c-660,954,996,-7.58,-10.06
953,997,hs-4c-659,953,997,-7.93,-9.96
952,998,hs-4c-658,952,998,-7.86,-10.05
951,999,hs-4c-657,951,999,-7.42,-9.98
950,1000,hs-4c-656,950,1000,-7.29,-10.09
949,1001,hs-4c-655,949,1001,-7.51,-10.38
948,1002,hs-4c-654,948,1002,-7.42,-10.36
947,1003,hs-4c-653,947,1003,-7.33,-10.09
945,1005,hs-4c-651,945,1005,-7.4,-10.41
944,1006,hs-4c-650,944,1006,-7.47,-10.51
943,1007,hs-4c-649,943,1007,-7.65,-10.38
941,1009,hs-4c-648,941,1009,-7.82,-10.65
940,1010,hs-4c-647,940,1010,-7.69,-10.45
938,1012,hs-4c-646,938,1012,-7.58,-9.83
937,1013,hs-4c-645,937,1013,-7.6,-9.83
936,1014,hs-4c-644,936,1014,-7.71,-9.44
934,1016,hs-4c-643,934,1016,-7.66,-8.96
933,1017,hs-4c-642,933,1017,-7.71,-8.98
930,1020,hs-4c-640,930,1020,-7.6,-9.83
928,1022,hs-4c-639,928,1022,-7.76,-9.71
927,1023,hs-4c-638,927,1023,-7.92,-9.98
925,1025,hs-4c-637,925,1025,-7.83,-10.07
924,1026,hs-4c-636,924,1026,-7.84,-10.37
921,1029,hs-4c-634,921,1029,-8.12,-11.42
920,1030,hs-4c-633,920,1030,-8.21,-11.63
918,1032,hs-4c-632,918,1032,-8.15,-11.49
917,1033,hs-4c-631,917,1033,-7.89,-11.2
914,1036,hs-4c-629,914,1036,-7.87,-10.79
912,1038,hs-4c-628,912,1038,-7.93,-10.69
911,1039,hs-4c-627,911,1039,-7.81,-10.54
910,1040,hs-4c-626,910,1040,-7.87,-10.78
908,1042,hs-4c-625,908,1042,-7.9,-10.99
907,1043,hs-4c-624,907,1043,-7.84,-10.8
904,1046,hs-4c-622,904,1046,-7.84,-11.09
902,1048,hs-4c-621,902,1048,-8.03,-11.38
901,1049,hs-4c-620,901,1049,-8.13,-11.59
900,1050,hs-4c-619,900,1050,-8.05,-11.18
899,1051,hs-4c-618,899,1051,-8.12,-11.39
896,1054,hs-4c-615,896,1054,-8.05,-11.12
895,1055,hs-4c-614,895,1055,-8.29,-10.78
894,1056,hs-4c-613,894,1056,-8.01,-10.86
893,1057,hs-4c-612,893,1057,-7.99,-10.88
892,1058,hs-4c-611,892,1058,-7.91,-10.65
891,1059,hs-4c-610,891,1059,-8.03,-10.9
890,1060,hs-4c-609,890,1060,-8.02,-10.72
889,1061,hs-4c-608,889,1061,-8.03,-10.74
888,1062,hs-4c-607,888,1062,-7.92,-10.54
887,1063,hs-4c-606,887,1063,-7.98,-10.46
886,1064,hs-4c-605,886,1064,-7.97,-10.65
885,1065,hs-4c-604,885,1065,-7.94,-10.36
884,1066,hs-4c-603,884,1066,-7.98,-10.65
883,1067,hs-4c-602,883,1067,-8.03,-10.92
882,1068,hs-4c-601,882,1068,-7.98,-10.8
881,1069,hs-4c-600,881,1069,-8.06,-11.17
880,1070,hs-4c-599,880,1070,-7.95,-10.88
879,1071,hs-4c-598,879,1071,-7.94,-11.05
878,1072,hs-4c-597,878,1072,-7.92,-11.2
877,1073,hs-4c-596,877,1073,-8.01,-11.27
876,1074,hs-4c-595,876,1074,-8.07,-11.64
875,1075,hs-4c-594,875,1075,-8.01,-11.22
874,1076,hs-4c-593,874,1076,-7.88,-11.33
873,1077,hs-4c-592,873,1077,-7.86,-11.56
872,1078,hs-4c-591,872,1078,-8.03,-11.64
871,1079,hs-4c-590,871,1079,-7.85,-11.67
