depth (cm),age (BP),temperature (degC)
186,3350.538,11.444
188,3384.74,11.299
190,3392.842,11.352
192,3428.302,12.11
194,3463.762,10.138
196,3481.492,12.093
198,3518.209,11.191
200,3554.926,11.108
202,3573.285,10.771
204,3611.255,11.523
206,3649.225,12.011
207,3668.222,12.138
209,3707.452,11.535
211,3746.682,11.999
213,3766.301,11.963
216,3816.912,12.178
217,3867.524,11.916
219,3909.27,11.805
221,3951.016,11.891
223,3971.89,12.182
225,4014.893,12.168
226,4040.699,12.138
229,4079.398,11.539
231,4145.79,11.827
233,4190.051,10.555
236,4235.569,11.203
239,4303.846,11.933
241,4374.009,11.853
243,4420.784,11.366
246,4468.817,12.123
249,4540.866,12.752
251,4614.801,11.948
253,4664.091,12.324
256,4714.638,11.655
259,4790.459,11.917
261,4842.263,11.22
263,4919.97,11.925
266,4973.032,11.509
269,5052.625,12.324
271,5134.103,12.633
272,5188.422,12.91
273,5216.525,13.518
274,5244.627,12.831
275,5272.729,13.723
276,5300.832,12.344
277,5328.935,10.672
278,5357.037,12.168
279,5413.242,12.567
280,5441.344,12.491
281,5469.447,13.296
282,5524.016,13.34
284,5578.584,13.54
285,5605.743,13.452
286,5632.902,13.542
287,5687.221,13.332
288,5742.04,12.313
290,5796.858,12.4
291,5850.985,12.939
292,5905.111,10.654
293,5959.622,11.379
294,6014.132,12.016
295,6068.551,11.536
296,6122.969,12.243
297,6231.406,12.198
298,6285.624,12.737
299,6340.543,12.158
300,6395.112,13.317
301,6449.68,12.567
303,6504.249,12.628
304,6558.817,12.651
305,6613.386,12.028
306,6667.954,12.32
307,6722.523,12.146
309,6749.485,11.515
311,6776.448,11.946
313,6885.366,11.548
315,6923.606,12.332
317,6961.846,10.801
319,7000.099,11.476
321,7038.352,11.476
323,7074.213,11.932
325,7110.074,11.939
327,7145.936,10.8
329,7181.797,10.358
331,7253.517,11.405
333,7286.379,11.121
335,7325.239,11.44
337,7361.1,10.837
339,7396.966,11.155
341,7416.969,10.866
343,7463.972,11.19
345,7497.474,11.32
347,7530.977,11.658
349,7564.48,10.873
351,7596.442,11.083
353,7628.395,9.719
355,7660.353,10.023
357,7692.31,10.457
359,7724.268,10.443
361,7754.712,9.711
363,7785.155,9.957
365,7824.599,10.117
367,7864.043,10.532
369,7876.487,10.54
371,7905.819,8.843
373,7949.816,10.11
375,7992.725,11.025
377,8021.33,9.844
379,8049.221,11.14
381,8091.058,11.525
383,8131.844,11.573
385,8159.035,11.064
388,8185.539,10.719
389,8225.295,11.058
393,8238.211,11.792
395,8289.877,11.561
396,8323.737,10.91
398,8368.957,10.061
400,8414.176,12.003
403,8438.159,12.384
405,8462.142,12.469
407,8485.524,13.525
409,8508.906,11.174
411,8532.289,11.554
413,8554.754,11.573
415,8577.219,12.168
417,8599.684,11.025
419,8622.15,12.03
421,8644.615,11.413
423,8665.525,11.581
425,8686.434,11.644
427,8707.344,11.449
429,8728.253,12.721
431,8749.162,11.646
433,8770.071,10.364
435,8790.981,11.258
437,8811.89,10.459
439,8832.8,10.695
441,8853.71,12.574
443,8872.252,11.492
445,8890.795,11.713
447,8909.337,10.555
449,8927.88,10.589
451,8946.422,9.787
453,8964.965,11.067
455,8983.507,10.307
457,9002.049,9.355
459,9020.592,10.96
461,9039.234,11.23
463,9057.677,10.178
465,9076.219,11.057
467,9094.762,10.783
469,9113.304,10.59
471,9131.847,10.37
473,9150.389,10.69
475,9168.932,10.412
477,9187.474,11.586
479,9206.017,11.429
483,9224.56,10.386
484,9250.32,10.983
488,9258.907,11.171
492,9292.907,11.002
494,9324.254,11.132
496,9344.427,10.392
498,9361.717,10.973
500,9379.006,10.062
502,9396.295,10.808
504,9417.284,9.769
506,9430.273,9.679
508,9447.263,9.657
510,9464.253,11.848
512,9481.244,9.209
513,9489.454,9.325
517,9515.664,9.243
519,9541.479,8.65
521,9593.108,11.387
523,9610.318,9.243
527,9627.528,11.668
529,9640.345,9.574
531,9653.343,8.909
533,9671.12,9.347
535,9688.897,10.655
537,9706.674,9.868
539,9724.451,8.882
541,9742.229,8.962
543,9760.629,9.585
545,9779.03,8.692
547,9788.431,9.089
549,9806.831,7.704
551,9834.232,9.525
553,9853.45,8.918
555,9872.668,11.606
557,9891.887,12.821
559,9930.323,11.426
561,9950.561,9.467
563,9970.799,9.637
565,9991.037,9.55
567,10011.275,11.643
569,10031.513,13.475
571,10052.981,13.207
573,10074.45,13.732
575,10098.918,13.476
577,10117.386,11.924
579,10138.854,13.78
581,10161.772,11.111
583,10185.689,11.499
585,10207.606,10.983
587,10230.523,10.556
589,10253.44,11.411
591,10291.767,11.563
593,10317.313,12.908
597,10342.859,12.019
607,10390.305,13.861
617,10508.919,13.791
627,10652.202,12.317
637,10807.509,12.746
647,10976.136,10.584
