year (AD) [1-1],age (BP) [1-1],salinity (g/L) [1-1],year (AD) [2-1],age (BP) [2-1],"sand (grams/dry weight, sediment 130um) [2-1]",year (AD) [3-1],age (BP) [3-1],salinity (g/L) [3-1],year (AD) [4-1],age (BP) [4-1],"sand (grams/dry weight, sediment 130um) [4-1]",year (AD) [5-1],age (BP) [5-1],d18O (permil) [5-1],year (AD) [6-1],age (BP) [6-1],d18O (permil) [6-1],year (AD) [7-1],age (BP) [7-1],d18O (permil) [7-1]
1671,279,1.361,1671,279,407.77,-446.1,2396.1,1.697,-446.1,2396.1,44.997,-1619.19,3569.19,NA,-1619.19,3569.19,1.1,-1619.19,3569.19,1.32
1637,313,1.345,1637,313,1269.72,-617.25,2567.25,1.76,-617.25,2567.25,41.774,-1648.39,3598.39,-1.53,-1648.39,3598.39,NA,-1648.39,3598.39,NA
1626,324,1.371,1626,324,30,-902.5,2852.5,1.781,-902.5,2852.5,54.348,-1881.99,3831.99,-1.352,-1881.99,3831.99,NA,-1881.99,3831.99,NA
1592,358,1.114,1592,358,146.28,-1187.75,3137.75,1.767,-1187.75,3137.75,73.989,-1940.39,3890.39,-0.76,-1940.39,3890.39,NA,-1940.39,3890.39,NA
1570,380,NA,1570,380,74.68,-1502.39,3452.39,1.768,-1502.39,3452.39,29.741,-2232.39,4182.39,0,-2232.39,4182.39,NA,-2232.39,4182.39,NA
1559,391,1.291,1559,391,NA,-1648.39,3598.39,1.778,-1648.39,3598.39,34.976,-2436.79,4386.79,-0.391,-2436.79,4386.79,NA,-2436.79,4386.79,NA
1536,414,NA,1536,414,123.91,-1794.39,3744.39,1.849,-1794.39,3744.39,42.696,NA,NA,NA,-2845.59,4795.59,2.99,-2845.59,4795.59,NA
1514,436,NA,1514,436,53.41,-1852.79,3802.79,1.854,-1852.79,3802.79,73.322,NA,NA,NA,-3400.39,5350.39,0.78,-3400.39,5350.39,0.7
1491,459,NA,1491,459,157.23,-1940.39,3890.39,1.812,-1940.39,3890.39,23.752,NA,NA,NA,-4393.19,6343.19,1.04,-4393.19,6343.19,NA
1469,481,NA,1469,481,84.67,-2232.39,4182.39,1.783,-2232.39,4182.39,60.388,NA,NA,NA,-4685.19,6635.19,NA,-4685.19,6635.19,2.1
1446,504,0.959,1446,504,113.83,-2378.39,4328.39,1.774,-2378.39,4328.39,23.927,NA,NA,NA,-4947.99,6897.99,1.9,-4947.99,6897.99,NA
1424,526,1.293,1424,526,14.18,-2524.39,4474.39,1.674,-2524.39,4474.39,10.777,NA,NA,NA,-5181.59,7131.59,2.11,-5181.59,7131.59,1.56
1401,549,0.95,1401,549,5.62,-2699.59,4649.59,1.671,-2699.59,4649.59,8.216,NA,NA,NA,-5327.59,7277.59,2.25,-5327.59,7277.59,NA
1379,571,0.933,1379,571,6.43,-2845.59,4795.59,1.489,-2845.59,4795.59,15.503,NA,NA,NA,-6291.19,8241.19,1.82,-6291.19,8241.19,NA
1356,594,1.305,1356,594,8.93,-3020.79,4970.79,1.689,-3020.79,4970.79,15.601,NA,NA,NA,-6933.59,8883.59,2.3,-6933.59,8883.59,NA
1334,616,NA,1334,616,12.99,-3400.39,5350.39,1.755,-3400.39,5350.39,25.765,NA,NA,NA,-7780.39,9730.39,NA,-7780.39,9730.39,2.39
1311,639,NA,1311,639,7.83,-3692.39,5642.39,1.786,-3692.39,5642.39,29.053,NA,NA,NA,-8101.59,10051.59,NA,-8101.59,10051.59,1.3
1289,661,0.987,1289,661,0.72,-3779.99,5729.99,1.336,-3779.99,5729.99,14.417,NA,NA,NA,-9444.79,11394.79,0.16,NA,NA,NA
1266,684,NA,1266,684,22.76,-3896.79,5846.79,1.318,-3896.79,5846.79,1.816,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244,706,NA,1244,706,2.71,-4101.19,6051.19,1.323,-4101.19,6051.19,5.655,NA,NA,NA,NA,NA,NA,NA,NA,NA
1221,729,1.263,1221,729,13.7,-4247.19,6197.19,NA,-4247.19,6197.19,5.043,NA,NA,NA,NA,NA,NA,NA,NA,NA
1199,751,NA,1199,751,23.93,-4393.19,6343.19,1.648,-4393.19,6343.19,1.016,NA,NA,NA,NA,NA,NA,NA,NA,NA
1154,796,1.275,1154,796,5.16,-4539.19,6489.19,1.352,-4539.19,6489.19,8.802,NA,NA,NA,NA,NA,NA,NA,NA,NA
1132,818,1.289,1132,818,85.02,-4685.19,6635.19,1.693,-4685.19,6635.19,1.773,NA,NA,NA,NA,NA,NA,NA,NA,NA
1109,841,1.285,1109,841,0.63,-4801.99,6751.99,1.388,-4801.99,6751.99,4.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
1087,863,1.306,1087,863,22.3,-4977.19,6927.19,1.448,-4977.19,6927.19,1.727,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064,886,NA,1064,886,1.65,-5123.19,7073.19,1.343,-5123.19,7073.19,28.572,NA,NA,NA,NA,NA,NA,NA,NA,NA
1042,908,0.978,1042,908,1.51,-5181.59,7131.59,1.341,-5181.59,7131.59,3.315,NA,NA,NA,NA,NA,NA,NA,NA,NA
1019,931,0.935,1019,931,5.41,-5327.59,7277.59,1.345,-5327.59,7277.59,9.803,NA,NA,NA,NA,NA,NA,NA,NA,NA
997,953,0.852,997,953,120.93,-5590.39,7540.39,NA,-5590.39,7540.39,2.563,NA,NA,NA,NA,NA,NA,NA,NA,NA
825,1125,NA,825,1125,178.04,-5823.99,7773.99,NA,-5823.99,7773.99,152.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,1268,0.792,682,1268,26.32,-5940.79,7890.79,1.699,-5940.79,7890.79,58.739,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,1412,0.794,538,1412,16.8,-6028.39,7978.39,NA,-6028.39,7978.39,28.868,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,1555,NA,395,1555,76.67,-6174.39,8124.39,1.672,-6174.39,8124.39,2.019,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,1699,NA,251,1699,95.4,-6320.39,8270.39,1.707,-6320.39,8270.39,4.539,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,1806,0.846,144,1806,109.15,-6524.79,8474.79,NA,-6524.79,8474.79,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1878,NA,72,1878,118.43,-6641.59,8591.59,1.596,-6641.59,8591.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
-107,2057,NA,-107,2057,32.73,-6758.39,8708.39,1.319,-6758.39,8708.39,1.918,NA,NA,NA,NA,NA,NA,NA,NA,NA
-250,2200,NA,-250,2200,66.33,-6933.59,8883.59,1.335,-6933.59,8883.59,6.263,NA,NA,NA,NA,NA,NA,NA,NA,NA
-358,2308,NA,-358,2308,0,-7167.19,9117.19,NA,-7167.19,9117.19,2.501,NA,NA,NA,NA,NA,NA,NA,NA,NA
-501,2451,NA,-501,2451,23.88,-7283.99,9233.99,NA,-7283.99,9233.99,10.055,NA,NA,NA,NA,NA,NA,NA,NA,NA
-681,2631,0.853,-681,2631,2.84,-7517.59,9467.59,NA,-7517.59,9467.59,3.685,NA,NA,NA,NA,NA,NA,NA,NA,NA
-860,2810,1.228,-860,2810,10.91,-7692.79,9642.79,NA,-7692.79,9642.79,12.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
-967,2917,1.025,-967,2917,15.94,-7780.39,9730.39,1.834,-7780.39,9730.39,1.613,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1111,3061,1.271,-1111,3061,75.49,-7984.79,9934.79,NA,-7984.79,9934.79,9.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1254,3204,NA,-1254,3204,5.84,-8130.79,10080.79,1.806,-8130.79,10080.79,6.862,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1398,3348,NA,-1398,3348,1.81,-8247.59,10197.59,1.811,-8247.59,10197.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1541,3491,NA,-1541,3491,3.38,NA,NA,NA,-8305.99,10255.99,9.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1649,3599,0.802,-1649,3599,37.04,NA,NA,NA,-8481.19,10431.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1828,3778,NA,-1828,3778,0,NA,NA,NA,-8568.79,10518.79,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1971,3921,NA,-1971,3921,7.08,NA,NA,NA,-8685.59,10635.59,16.154,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2186,4136,NA,-2186,4136,0,NA,NA,NA,-8773.19,10723.19,7.301,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2401,4351,0.769,-2401,4351,6.77,NA,NA,NA,-8977.59,10927.59,4.324,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2688,4638,NA,-2688,4638,0,NA,NA,NA,-9240.39,11190.39,12.052,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2903,4853,NA,-2903,4853,5.67,NA,NA,NA,-9444.79,11394.79,11.341,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3154,5104,NA,-3154,5104,12.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3262,5212,NA,-3262,5212,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3620,5570,0.959,-3620,5570,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-3907,5857,33.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-4194,6144,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-4266,6216,375.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-4337,6287,1204.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-4409,6359,1181.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-4481,6431,3194.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-4624,6574,3066.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-4803,6753,453.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-5054,7004,1110.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-5771,7721,434.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
