depth (cm) [1-1],age (BP) [1-1],IP25_flux (Aug/cm2/ka) [1-1],age (BP) [2-1],depth (cm) [2-1],temperature (degC) [2-1],salinity (psu) [2-1],Sea_Ice_months (months/year) [2-1],Sea_Ice_conc (0-10) [2-1],productivity (gcm2) [2-1],age (BP) [2-2],temperature (degC) [2-2]
60.5,3240,0.048,8784.1,214,4.474,33.894,2.215,1.998,139.18,8784.1,3.43
61.5,3300,0.047,8872.7,218,9.884,32.065,1.62,1.321,235.08,8872.7,5.137
62.5,3360,0.051,8958.8,222,7.832,33.019,1.201,1.073,193.639,8958.8,4.674
63.5,3420,0.05,9042.2,226,3.222,33.319,3.591,3.064,139.838,9042.2,1.416
64.5,3480,0.043,9123.2,230,4.404,33.856,2.306,2.072,138.309,9123.2,3.337
65.5,3540,0.047,9201.7,234,8.333,32.759,1.544,1.346,207.33,9201.7,4.858
66.5,3600,0.044,9277.7,238,4.555,33.86,2.268,1.883,141.893,9277.7,2.581
67.5,3660,0.043,9351.3,242,9.98,31.571,1.907,1.572,237.069,9351.3,5.243
68.5,3710,0.057,9422.8,246,8.568,33.142,1.506,1.318,214.874,9422.8,4.66
69.5,3770,0.05,9492.2,250,6.675,31.878,4.166,3.279,149.708,9492.2,3.008
70.5,3830,0.051,9559.8,254,4.529,33.838,2.39,1.977,142.101,9559.8,2.539
71.5,3890,NA,9625.7,258,3.762,33.717,3.328,2.743,135.92,9625.7,2.062
72.5,3950,0.052,9690.2,262,6.293,32.877,3.081,2.47,172.275,9690.2,3.135
73.5,4010,NA,9753.5,266,5.833,32.551,4.323,3.409,147.645,9753.5,3.086
74.5,4070,0.054,9815.8,270,8.729,32.616,1.184,1.045,219.208,9815.8,4.842
75.5,4130,NA,9877.4,274,5.721,32.933,4,3.13,181.37,9877.4,3.066
76.5,4190,0.063,9938.4,278,4.177,33.911,3.469,2.743,148.531,9938.4,2.493
77.5,4250,NA,9999.2,282,3.771,33.033,5.426,4.265,112.024,9999.2,1.877
78.5,4310,0.041,10121,290,5.925,33.391,1.977,1.715,153.463,NA,NA
79.5,4370,NA,10245,298,9.554,31.728,2.971,2.366,210.675,NA,NA
80.5,4430,0.052,10375,306,2.872,33.681,2.189,2.132,141.502,NA,NA
81.5,4490,NA,10514,314,6.798,33.688,1.156,0.975,159.519,NA,NA
82.5,4540,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
83.5,4600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84.5,4660,0.066,NA,NA,NA,NA,NA,NA,NA,NA,NA
85.5,4720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86.5,4780,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA
87.5,4840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88.5,4900,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
89.5,4960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90.5,5020,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA
91.5,5080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92.5,5140,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA
93.5,5200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94.5,5260,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA
95.5,5290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96.5,5330,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
97.5,5370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98.5,5410,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
99.5,5440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100.5,5480,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA
101.5,5520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102.5,5560,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA
103.5,5590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104.5,5630,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA
105.5,5670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106.5,5710,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA
107.5,5740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108.5,5780,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,5840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,5880,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,5910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,5950,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,5990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,6030,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,6060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,6100,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,6140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,6180,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,6210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,6250,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,6290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,6330,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,6360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,6400,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,6440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,6480,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,6510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,6550,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,6590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,6630,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,6660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,6700,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,6740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,6780,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,6810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,6850,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,6890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,6930,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,6960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,6980,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,7010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,7040,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,7070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,7100,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,7120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,7150,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,7180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,7210,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,7240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,7260,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,7290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,7320,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,7350,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,7380,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,7400,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,7430,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,7460,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,7490,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,7520,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,7540,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,7570,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,7600,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,7630,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,7660,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,7680,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,7710,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,7740,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,7770,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,7790,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,7810,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,7830,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,7860,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,7880,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,7900,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,7920,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,7950,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,7970,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,7990,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,8010,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,8040,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,8060,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,8080,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,8100,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,8130,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,8150,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,8170,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,8190,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,8220,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,8240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,8260,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,8280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,8310,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,8330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,8350,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,8380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,8400,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,8420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,8440,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,8470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,8490,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,8510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,8530,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,8560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,8580,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,8600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,8620,0.051,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,8650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209.5,8680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210.5,8700,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
