year (AD),age (BP),temperature (degC),d18O (permil),d18Osw-sl-g.rubw (permil)
-1820,3770,28.95,-3.06,0.12
-1880,3830,29.14,-3.24,-0.01
-1950,3900,28.79,-2.96,0.19
-2010,3960,28.8,-3.15,0
-2070,4020,28.97,-3.02,0.17
-2130,4080,29.27,-3.16,0.09
-2190,4140,29.31,-3.23,0.03
-2250,4200,28.92,-3.12,0.06
-2310,4260,29.27,-3.22,0.03
-2370,4320,29.23,-2.97,0.27
-2430,4380,29.19,-3.13,0.1
-2490,4440,29.08,-3.12,0.09
-2560,4510,28.81,-3.28,-0.13
-2640,4590,29.62,-3.19,0.13
-2730,4680,28.74,-3.09,0.04
-2820,4770,28.83,-3.18,-0.03
-2910,4860,28.96,-3.14,0.04
-3000,4950,29.74,-3.17,0.17
-3050,5000,NA,-3.25,NA
-3100,5050,29.83,-3.18,0.18
-3150,5100,28.81,-3.24,-0.09
-3200,5150,28.77,-3.11,0.02
-3300,5250,28.64,-3.26,-0.15
-3350,5300,29.18,-3.1,0.12
-3400,5350,29.4,-3.19,0.07
-3450,5400,28.8,-3.23,-0.09
-3500,5450,29.17,-3.24,-0.02
-3550,5500,NA,-3.17,NA
-3610,5560,30.54,-3.42,0.08
-3660,5610,29.45,-3.37,-0.09
-3720,5670,29.07,-3.14,0.06
-3770,5720,29.57,-3.03,0.27
-3840,5790,29.67,-3.11,0.21
-3900,5850,29.55,-3.13,0.16
-3960,5910,30.19,-3.12,0.3
-4030,5980,29.76,-3.09,0.24
-4090,6040,28.73,-3.05,0.07
-4160,6110,29.11,-3.05,0.14
-4220,6170,29.25,-2.94,0.28
-4280,6230,29.24,-3.09,0.13
-4350,6300,28.62,-3.04,0.05
-4410,6360,29.14,-2.98,0.22
-4470,6420,28.96,-2.99,0.17
-4560,6510,28.95,-3.04,0.12
-4640,6590,29.28,-3.24,-0.01
-4730,6680,28.71,-3.08,0.02
-4810,6760,29.24,-3.15,0.06
-4900,6850,28.75,-3.18,-0.07
-4980,6930,29.57,-3.29,-0.02
-5070,7020,28.79,-3.36,-0.25
-5150,7100,29.04,-3.22,-0.06
-5220,7170,29.61,-3.15,0.12
-5290,7240,29.47,-3.13,0.12
-5350,7300,29.16,-2.94,0.24
-5420,7370,29.71,-3.01,0.28
-5480,7430,29.53,-3.17,0.08
-5550,7500,29.71,-3.1,0.18
-5610,7560,28.91,-3.1,0.02
-5680,7630,29.58,-3.06,0.2
-5750,7700,29,-3.22,-0.09
-5810,7760,29.5,-3.45,-0.21
-5880,7830,29.25,-3.42,-0.24
-5940,7890,29.04,-3.18,-0.04
-6030,7980,29.18,-3.35,-0.19
-6110,8060,29.75,-3.12,0.16
-6190,8140,29.64,-3.11,0.14
-6260,8210,28.09,-2.85,0.07
-6340,8290,29.25,-2.72,0.44
-6420,8370,29.08,-3.07,0.04
-6490,8440,29.44,-3.11,0.07
-6540,8490,29.74,-2.81,0.43
-6590,8540,29.02,-2.9,0.19
-6630,8580,28.52,-2.6,0.38
-6680,8630,28.63,-3.08,-0.09
-6730,8680,29.1,-2.86,0.23
-6770,8720,28.98,-3.06,0
-6820,8770,29.4,-2.67,0.48
-6870,8820,29.52,-3.16,0.01
-6910,8860,29.14,-3.3,-0.22
-6960,8910,29.31,-2.89,0.22
-7010,8960,29.67,-2.77,0.41
-7060,9010,28.95,-2.93,0.1
-7100,9050,28.62,-2.77,0.19
-7150,9100,29,-2.96,0.07
-7200,9150,29.07,-2.58,0.46
-7240,9190,28.74,-3.06,-0.09
-7290,9240,29.36,-2.67,0.42
-7350,9300,28.85,-2.93,0.05
-7420,9370,28.49,-2.9,0
-7480,9430,28.67,-2.9,0.03
-7540,9490,28.62,-3.27,-0.35
-7610,9560,29.01,-2.86,0.13
-7670,9620,28.96,-2.87,0.1
-7730,9680,28.16,-2.81,-0.01
-7800,9750,29.29,-2.94,0.09
-7860,9810,29.79,-3.12,0.01
-7920,9870,29.15,-2.94,0.05
-7990,9940,29.21,-2.63,0.36
-8050,10000,29.5,-2.93,0.11
-8110,10060,29.04,-2.78,0.16
-8180,10130,28.89,-2.97,-0.07
-8220,10170,29.27,-2.8,0.18
-8270,10220,29.25,-2.85,0.12
-8320,10270,28.69,-3.02,-0.18
-8360,10310,29.03,-2.98,-0.06
-8410,10360,29.39,-2.81,0.17
-8460,10410,29.53,-2.62,0.38
-8500,10450,29.17,-2.96,-0.03
-8550,10500,29.81,-2.83,0.23
-8590,10540,28.93,-2.82,0.04
-8630,10580,29.54,-2.8,0.18
-8670,10620,28.84,-2.67,0.17
-8710,10660,29.22,-2.99,-0.08
-8750,10700,28.86,-2.48,0.35
-8790,10740,29.11,-2.55,0.33
-8830,10780,29.48,-2.72,0.23
-8870,10820,29.5,-2.44,0.51
-8910,10860,28.96,-2.78,0.05
-8950,10900,28.99,-2.72,0.12
-8990,10940,29.29,-2.69,0.21
-9030,10980,28.63,-2.66,0.1
-9080,11030,28.75,-2.9,-0.13
-9120,11070,28.16,-2.67,-0.02
-9170,11120,29.46,-2.72,0.19
-9210,11160,29,-2.3,0.51
-9260,11210,28.29,-2.59,0.06
-9310,11260,29.29,-2.57,0.29
-9350,11300,28.69,-2.35,0.37
-9400,11350,28.21,-2.65,-0.03
-9450,11400,27.78,-2.72,-0.2
-9500,11450,28.39,-2.59,0.05
-9550,11500,28.98,-1.94,0.82
-9600,11550,28.45,-2.4,0.24
-9650,11600,28.48,-2.48,0.16
-9700,11650,28.88,-2.75,-0.03
-9750,11700,29.38,-2.29,0.53
-9800,11750,28.33,-2.04,0.56
-9850,11800,28.64,-1.83,0.82
-9900,11850,28.04,-2.16,0.36
-9950,11900,28.39,-2.02,0.57
-9990,11940,28.03,-2.26,0.25
-10040,11990,27.81,-2.13,0.33
-10100,12050,27.92,-1.95,0.52
-10160,12110,27.57,-1.92,0.47
-10210,12160,27.98,-1.62,0.84
-10270,12220,27.23,-1.96,0.34
-10320,12270,27.55,-2.02,0.35
-10380,12330,28.1,-1.7,0.76
-10440,12390,28.07,-1.89,0.57
-10490,12440,28.17,-1.53,0.94
-10550,12500,28.41,-1.8,0.71
-10600,12550,27.72,-1.68,0.68
-10650,12600,27.78,-2.03,0.34
-10700,12650,27.76,-1.87,0.49
-10760,12710,27.2,-1.7,0.54
-10810,12760,27.99,-1.94,0.46
-10860,12810,27.62,-1.62,0.69
-10910,12860,27.61,-1.97,0.34
-10960,12910,27.67,-2.18,0.14
-11020,12970,27.77,-2.3,0.03
-11070,13020,27.72,-2.35,-0.04
-11120,13070,27.67,-2.05,0.24
-11170,13120,27.19,-2.23,-0.04
-11220,13170,27.29,-2.28,-0.08
-11280,13230,26.66,-1.91,0.15
-11330,13280,27.88,-1.95,0.35
-11390,13340,27.86,-2.18,0.12
-11440,13390,27.71,-1.82,0.44
-11500,13450,27.91,-2.36,-0.06
-11550,13500,27.56,-2.1,0.12
-11610,13560,27.77,-2.04,0.22
-11660,13610,27.45,-2.46,-0.28
-11720,13670,27.32,-2.05,0.1
-11770,13720,27.6,-1.89,0.31
-11830,13780,27.76,-1.9,0.32
-11880,13830,27.5,-2.17,-0.01
-11940,13890,28.6,-1.8,0.59
-11990,13940,27.36,-2.18,-0.06
-12040,13990,27.36,-2.22,-0.1
-12090,14040,27.86,-1.98,0.23
-12140,14090,28.24,-1.73,0.56
-12200,14150,27.94,-1.97,0.25
-12250,14200,26.98,-2.05,-0.03
-12300,14250,27.27,-2.12,-0.05
-12350,14300,28.18,-1.7,0.56
-12400,14350,28.5,-1.96,0.36
-12480,14430,27.6,-1.99,0.13
-12550,14500,28.02,-2.01,0.19
-12620,14570,28.08,-2.11,0.1
-12690,14640,27.77,-2.08,0.06
-12760,14710,27.25,-1.85,0.18
-12830,14780,27.94,-1.91,0.25
-12900,14850,27.45,-1.82,0.24
-12980,14930,27.38,-1.64,0.39
-13050,15000,26.99,-1.56,0.38
-13120,15070,27.94,-1.51,0.63
-13190,15140,27.42,-2.01,0.01
-13260,15210,27.42,-1.38,0.63
-13350,15300,27.47,-1.55,0.46
-13440,15390,27.1,-1.26,0.67
-13530,15480,26.61,-1.42,0.4
-13620,15570,26.85,-1.37,0.5
-13710,15660,26.59,-1.37,0.43
-13800,15750,27.41,-1.54,0.43
-13890,15840,26.88,-1.24,0.61
-13980,15930,27.55,-1.32,0.68
-14040,15990,27.51,-1.09,0.89
-14100,16050,27.84,-1.51,0.53
-14160,16110,28.24,-1.12,1.01
-14220,16170,27.6,-1.39,0.6
-14280,16230,27.15,-1.44,0.46
-14340,16290,27.41,-1.46,0.48
-14410,16360,27.28,-1.31,0.6
-14470,16420,27.35,-1.45,0.47
-14530,16480,27.37,-1.12,0.81
-14590,16540,26.83,-1.17,0.64
-14650,16600,26.43,-1.19,0.53
-14710,16660,25.62,-1.37,0.18
-14790,16740,27.11,-1.04,0.82
-14870,16820,27.35,-1.29,0.61
-14960,16910,26.45,-1.11,0.6
-15040,16990,27.01,-1.18,0.65
-15130,17080,27.24,-1.27,0.6
-15210,17160,26.87,-1.31,0.48
-15290,17240,26.89,-1.25,0.54
-15380,17330,26.66,-1.3,0.44
-15450,17400,26.26,-1.31,0.34
-15510,17460,26.64,-1.12,0.61
-15580,17530,26.36,-1.19,0.48
-15650,17600,26.2,-1.14,0.49
-15720,17670,26.69,-1.07,0.66
-15780,17730,26.79,-1.18,0.57
-15850,17800,26.48,-1.05,0.64
-15920,17870,26.2,-1.09,0.54
-15980,17930,25.99,-1.14,0.44
-16050,18000,26.86,-1.22,0.54
-16120,18070,27.09,-1.13,0.68
-16190,18140,26.6,-1.19,0.51
-16240,18190,26.13,-1.16,0.44
-16290,18240,25.97,-1.43,0.13
-16340,18290,25.84,-1.16,0.38
-16390,18340,25.8,-1.19,0.34
-16440,18390,26.28,-1.24,0.39
-16490,18440,25.94,-1.26,0.29
-16550,18500,27.25,-1.31,0.51
-16600,18550,26.51,-1.28,0.39
-16650,18600,27.33,-1.25,0.59
-16700,18650,26.61,-1.41,0.28
-16750,18700,26.59,-1.24,0.44
-16800,18750,26.23,-1.29,0.32
-16890,18840,26.87,-1.31,0.43
-16970,18920,26.9,-1.29,0.45
-17050,19000,26.72,-1.5,0.2
-17130,19080,26.91,-1.24,0.51
-17210,19160,26.97,-1.33,0.42
-17290,19240,25.87,-1.14,0.39
-17370,19320,25.99,-1.35,0.2
-17450,19400,25.93,-1.18,0.36
-17530,19480,26.31,-1.35,0.26
-17600,19550,25.6,-1.2,0.27
-17680,19630,26.1,-1.31,0.26
-17760,19710,25.8,-1.32,0.19
-17840,19790,25.65,-1.28,0.19
-17920,19870,25.8,-1.22,0.28
-18000,19950,26.33,-1.55,0.07
-18070,20020,25.47,-1.45,-0.02
-18150,20100,25.75,-1.27,0.22
-18230,20180,26.09,-1.44,0.12
-18310,20260,25.69,-1.44,0.05
-18390,20340,26.34,-1.38,0.24
-18470,20420,26.01,-1.41,0.14
-18540,20490,25.91,-1.49,0.04
-18620,20570,26.77,-1.26,0.45
-18700,20650,26.27,-1.43,0.18
-18780,20730,26.01,-1.51,0.04
-18860,20810,26.61,-1.45,0.23
-18930,20880,25.61,-1.53,-0.06
-19000,20950,25.88,-1.52,0.01
-19070,21020,26.54,-1.43,0.24
-19140,21090,26.39,-1.49,0.14
-19210,21160,26.06,-1.34,0.23
-19280,21230,27.05,-1.41,0.37
-19360,21310,26.65,-1.32,0.38
-19430,21380,26.62,-1.37,0.32
-19500,21450,26.67,-1.31,0.39
-19570,21520,27.2,-1.51,0.3
-19620,21570,26.11,-1.34,0.25
-19680,21630,26.54,-1.47,0.2
-19730,21680,26.62,-1.47,0.22
-19780,21730,26,-1.43,0.14
-19840,21790,25.91,-1.32,0.23
-19890,21840,26.09,-1.25,0.33
-19940,21890,25.7,-1.43,0.07
-20000,21950,26.27,-1.36,0.26
-20050,22000,25.69,-1.55,-0.04
-20110,22060,25.54,-1.22,0.25
-20210,22160,25.47,-1.36,0.1
-20310,22260,25.54,-1.43,0.05
-20410,22360,25.94,-1.37,0.19
-20510,22460,26.04,-1.5,0.08
-20610,22560,26.1,-1.38,0.22
-20710,22660,26.44,-1.29,0.38
-20820,22770,25.43,-1.29,0.17
-20920,22870,26.56,-1.37,0.33
-21020,22970,25.02,-1.44,-0.06
-21090,23040,25.83,-1.44,0.1
-21160,23110,25.78,-1.44,0.1
-21230,23180,26.26,-1.24,0.41
-21290,23240,26.29,-1.41,0.24
-21360,23310,26.18,-1.31,0.32
-21430,23380,26.23,-1.41,0.23
-21500,23450,27.07,-1.26,0.56
-21570,23520,26.26,-1.43,0.22
-21640,23590,25.98,-1.27,0.32
-21690,23640,26.26,-1.53,0.13
-21750,23700,26.78,-1.27,0.49
-21800,23750,26.02,-1.39,0.22
-21860,23810,26.51,-1.25,0.46
-21910,23860,26.64,-1.32,0.41
-21970,23920,26.58,-1.19,0.54
-22020,23970,26.24,-1,0.66
-22070,24020,26.47,-1.49,0.22
-22130,24080,26.37,-1.51,0.18
-22180,24130,26.2,-1.22,0.43
-22240,24190,26.78,-1.36,0.42
-22290,24240,26.31,-1.39,0.29
-22350,24300,26.34,-1.37,0.32
-22400,24350,26.84,-1.26,0.54
-22460,24410,26.76,-1.32,0.46
-22510,24460,27.03,-1.31,0.53
-22560,24510,26.05,-1.48,0.15
-22610,24560,27.14,-1.4,0.46
-22670,24620,26.42,-1.26,0.46
-22730,24680,25.89,-1.28,0.32
-22790,24740,26.63,-1.48,0.28
-22850,24800,26.61,-1.37,0.4
-22910,24860,26.3,-1.38,0.32
-22970,24920,27.69,-1.86,0.13
-23030,24980,25.93,-1.48,0.14
-23080,25030,26.38,-1.4,0.33
-23140,25090,26.72,-1.53,0.27
-23210,25160,25.71,-1.52,0.07
-23280,25230,26.28,-1.37,0.34
-23350,25300,26.15,-1.45,0.24
-23420,25370,26.09,-1.24,0.43
-23480,25430,25.83,-1.67,-0.05
-23550,25500,25.85,-1.75,-0.12
-23620,25570,25.98,-1.52,0.14
-23690,25640,25.62,-1.5,0.09
-23750,25700,25.83,-1.5,0.14
-23820,25770,25.52,-1.34,0.23
-23880,25830,25.93,-1.25,0.41
-23940,25890,26.55,-1.47,0.32
-23990,25940,25.62,-1.29,0.31
-24050,26000,25.75,-1.6,0.03
-24110,26060,26.49,-1.28,0.5
-24170,26120,26.46,-1.53,0.25
-24220,26170,26.15,-1.56,0.16
-24280,26230,26.38,-1.43,0.34
-24340,26290,26.31,-1.46,0.3
-24390,26340,25.9,-1.54,0.14
-24470,26420,25.68,-1.53,0.1
-24550,26500,25.61,-1.3,0.32
-24620,26570,26.26,-1.53,0.22
-24700,26650,26.03,-1.41,0.31
-24780,26730,26.83,-1.62,0.27
-24860,26810,26,-1.42,0.3
-24930,26880,25.89,-1.47,0.23
-25010,26960,25.66,-1.59,0.06
-25040,26990,26.38,-1.37,0.43
-25070,27020,26.72,-1.65,0.22
-25100,27050,27.15,-1.54,0.42
-25130,27080,26.48,-1.79,0.04
-25150,27100,26.53,-1.8,0.04
-25180,27130,25.94,-1.62,0.1
-25210,27160,25.74,-1.78,-0.11
-25240,27190,25.72,-1.73,-0.06
-25340,27290,26.46,-1.77,0.06
-25430,27380,25.75,-1.57,0.12
-25520,27470,25.68,-1.56,0.12
-25620,27570,27.28,-1.45,0.56
-25710,27660,27.6,-1.8,0.28
-25800,27750,27.1,-1.67,0.32
-25900,27850,27.11,-1.61,0.38
-25990,27940,27.2,-1.6,0.42
-26080,28030,26.7,NA,NA
-26180,28130,26.79,-1.8,0.15
-26270,28220,26.54,-1.72,0.17
-26390,28340,26.31,-1.66,0.2
-26510,28460,26.87,-1.4,0.59
-26630,28580,26.86,-1.7,0.28
-26760,28710,26.02,-1.66,0.15
-26880,28830,25.82,-1.53,0.26
-27000,28950,25.98,-1.53,0.3
-27120,29070,26.39,-1.66,0.25
-27240,29190,26.84,-1.61,0.41
-27360,29310,26.38,-1.58,0.35
-27400,29350,28.15,-1.41,0.88
-27430,29380,26.35,-2.3,-0.38
-27470,29420,25.58,-2.04,-0.28
-27510,29460,26.33,-1.73,0.19
-27550,29500,26.38,-1.74,0.19
-27590,29540,26.9,-1.88,0.17
-27620,29570,26.51,-1.75,0.21
-27660,29610,26.11,-1.64,0.24
-27700,29650,26,-1.49,0.36
-27740,29690,25.38,-1.34,0.39
-27780,29730,26.23,-1.61,0.3
-27810,29760,25.66,-1.44,0.35
-27890,29840,26.16,-1.43,0.47
-27980,29930,26.44,-1.34,0.62
-28060,30010,27.03,-1.65,0.44
-28140,30090,25.91,-1.51,0.35
-28220,30170,26.67,-1.51,0.51
-28300,30250,28.38,-1.55,0.82
-28390,30340,25.79,-1.68,0.17
-28470,30420,25.84,-1.53,0.32
-28540,30490,26.52,-1.84,0.16
-28600,30550,25.85,NA,NA
-28670,30620,26.79,-1.86,0.2
-28740,30690,25.95,-1.72,0.17
-28810,30760,26.4,-1.62,0.36
-28880,30830,26.89,-1.34,0.74
-28950,30900,25.8,-1.7,0.15
-29020,30970,26.83,-1.6,0.47
-29090,31040,25.94,-1.48,0.41
-29150,31100,26.22,-1.19,0.75
-29220,31170,26.18,-1.56,0.38
-29290,31240,26.46,-1.54,0.46
-29350,31300,26.02,-1.41,0.49
-29410,31360,25.92,-1.53,0.36
-29470,31420,25.37,-1.35,0.42
-29540,31490,26.25,-1.79,0.17
-29600,31550,26.07,-1.48,0.44
-29660,31610,26.76,-1.52,0.55
-29720,31670,26.48,-1.75,0.26
-29790,31740,27.67,-1.82,0.43
-29850,31800,26.43,-1.65,0.35
-29910,31860,27.24,-1.78,0.39
-29970,31920,26.06,-1.62,0.31
-30050,32000,25.93,-1.7,0.2
-30130,32080,26.81,-1.8,0.28
-30210,32160,26.36,-1.77,0.22
-30290,32240,26.48,-1.57,0.45
-30370,32320,26.18,-1.62,0.33
-30440,32390,26.05,-1.58,0.35
-30520,32470,26.5,-1.6,0.41
-30600,32550,25.87,-1.76,0.13
-30680,32630,26.51,-1.46,0.56
-30760,32710,25.88,-1.55,0.34
-30840,32790,26.65,-1.85,0.2
-30920,32870,26.68,-1.91,0.14
-31000,32950,25.02,-1.64,0.07
-31080,33030,25.85,-1.85,0.03
-31160,33110,26.72,-1.63,0.43
-31250,33200,26.25,-1.83,0.13
-31330,33280,26.31,-1.96,0.02
-31410,33360,26.38,-2.07,-0.08
-31500,33450,26.43,-2.17,-0.17
-31580,33530,25.56,-1.56,0.26
-31660,33610,26.19,-1.63,0.32
-31740,33690,25.67,-1.62,0.22
-31780,33730,26.51,-1.63,0.39
-31810,33760,26.22,-1.61,0.35
-31850,33800,26.02,NA,NA
-31880,33830,25.22,-1.72,0.03
-31910,33860,25.34,-1.44,0.33
-31950,33900,26.18,-1.7,0.25
-31980,33930,25.89,-1.96,-0.08
-32020,33970,25.99,-1.59,0.31
-32050,34000,26.1,NA,NA
-32080,34030,26.07,NA,NA
-32120,34070,26.01,-1.8,0.11
-32150,34100,26.17,NA,NA
-32190,34140,26.84,-1.87,0.21
-32220,34170,26.27,NA,NA
-32250,34200,25.84,-1.66,0.22
-32290,34240,26.64,-1.85,0.19
-32340,34290,26.86,-2.03,0.05
-32390,34340,27.45,-1.73,0.48
-32450,34400,26.46,-1.93,0.07
-32500,34450,26.16,-1.82,0.12
-32550,34500,26.8,-1.86,0.21
-32600,34550,26.14,-2.17,-0.23
-32650,34600,27.36,-2.01,0.18
-32710,34660,26.43,-1.62,0.38
-32760,34710,26.16,-1.81,0.13
-32820,34770,25.82,-1.6,0.27
-32880,34830,26.68,-1.65,0.4
-33090,35040,26.14,-1.63,0.3
-33160,35110,25.83,-1.81,0.06
-33220,35170,25.95,-1.61,0.29
-33290,35240,26.12,-1.98,-0.05
-33360,35310,25.82,-1.81,0.06
-33420,35370,27.01,-1.73,0.39
-33490,35440,27.24,NA,NA
-33550,35500,26.64,NA,NA
-33620,35570,NA,-1.95,NA
-33680,35630,25.76,-1.88,-0.02
-33750,35700,26.15,-2.05,-0.1
-33820,35770,26.58,-1.89,0.15
-33880,35830,26.8,-1.73,0.35
-33950,35900,25.26,-2.18,-0.42
-34010,35960,26.18,-2.05,-0.1
-34080,36030,26.07,-1.98,-0.05
-34140,36090,26.71,-2.19,-0.12
-34210,36160,26.61,-2.3,-0.26
-34270,36220,26.17,-1.98,-0.03
-34340,36290,26.11,-1.98,-0.04
-34380,36330,26.83,-2.06,0.04
-34420,36370,26.77,-1.73,0.36
-34460,36410,NA,-2.11,NA
-34490,36440,26.29,-1.81,0.17
-34530,36480,25.92,-2.25,-0.35
-34570,36520,26.23,-1.68,0.29
-34610,36560,25.88,-1.4,0.5
-34650,36600,26.59,-1.75,0.31
-34690,36640,26.22,-1.82,0.16
-34730,36680,25.52,-1.6,0.23
-34820,36770,26.79,-1.71,0.39
-34910,36860,25.99,-1.45,0.49
-35010,36960,26.22,-1.61,0.39
-35100,37050,26.23,-1.49,0.51
-35200,37150,25.88,-1.64,0.3
-35290,37240,26.72,-1.6,0.52
-35390,37340,25.98,-1.53,0.44
-35480,37430,26.7,-1.56,0.56
-35580,37530,26.29,-1.7,0.35
-35670,37620,26.1,-1.63,0.38
-35770,37720,26.69,-1.75,0.39
-35840,37790,26.28,-1.43,0.63
-35910,37860,25.83,-1.51,0.46
-35980,37930,27.31,-1.64,0.64
-36050,38000,25.9,-1.84,0.16
-36120,38070,25.89,-1.69,0.3
-36190,38140,NA,-1.41,NA
-36260,38210,26.67,-1.71,0.44
-36320,38270,25.66,-1.69,0.26
-36390,38340,25.46,-1.82,0.09
-36460,38410,26.05,-1.51,0.52
-36600,38550,26.76,-1.76,0.42
-36730,38680,25.66,-1.81,0.15
-36860,38810,25.9,-1.88,0.13
-37000,38950,25.37,-1.49,0.42
-37130,39080,26.42,-1.7,0.43
-37260,39210,26.01,-1.85,0.2
-37400,39350,26.53,-1.79,0.37
-37530,39480,25.82,-1.83,0.19
-37660,39610,25.89,-1.96,0.06
-37710,39660,26.87,-2.09,0.14
-37760,39710,26.1,-1.74,0.33
-37810,39760,25.96,-1.98,0.06
-37860,39810,27.38,-1.91,0.42
-37910,39860,25.93,-1.79,0.24
-37960,39910,25.63,-2.03,-0.06
-38010,39960,27.1,-1.96,0.31
-38060,40010,26.55,-1.68,0.47
-38110,40060,27.08,-1.65,0.61
-38270,40220,26.31,-1.74,0.36
-38440,40390,26.58,-1.21,0.94
-38600,40550,26.38,NA,NA
-38760,40710,27.49,-1.62,0.71
-38930,40880,25.47,-1.65,0.26
-39150,41100,26.64,-1.74,0.41
-39380,41330,26.32,NA,NA
-39610,41560,26.26,NA,NA
-39830,41780,26.66,-1.85,0.27
-40060,42010,26.61,NA,NA
-40280,42230,26.77,-1.92,0.2
-40510,42460,25.96,-1.66,0.29
-40620,42570,26.1,NA,NA
-40730,42680,26.06,-1.98,-0.01
-40840,42790,26.63,NA,NA
-40940,42890,27.29,-1.8,0.42
-41050,43000,25.82,NA,NA
-41160,43110,25.75,-1.83,0.07
-41270,43220,26.73,-1.84,0.26
-41380,43330,26,-1.67,0.27
-41490,43440,25.83,-1.88,0.03
-41590,43540,26.31,-2.03,-0.02
-41690,43640,26.79,-2.04,0.07
-41800,43750,26.84,NA,NA
-41900,43850,26.03,-1.94,0.01
-42000,43950,26.1,-1.87,0.09
-42110,44060,26.51,-1.83,0.22
-42210,44160,26.54,NA,NA
-42310,44260,25.53,-1.63,0.22
-42410,44360,25.98,-1.81,0.14
-42520,44470,25.66,-1.87,0
-42620,44570,25.9,-1.75,0.18
-42700,44650,26.5,NA,NA
-42790,44740,26.2,-1.45,0.55
-42870,44820,26.25,-1.61,0.4
-42960,44910,26.07,-1.76,0.21
-43040,44990,26.4,-1.71,0.33
-43120,45070,26.63,-1.69,0.39
-43210,45160,26.39,-1.96,0.08
-43290,45240,27.35,-2.12,0.12
-43380,45330,26.23,-1.87,0.13
