depth (cm) [1-1],age (BP) [1-1],BSi (percent) [1-1],OM (percent) [1-1],carbonate (percent) [1-1],MS (si) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],precipitation (missing) [2-1]
48,1042.402,NA,39.541,1.786,0.458,NA,NA,NA,NA
49,1066.341,NA,39.25,1.5,0.15,NA,NA,NA,NA
50,1090.28,8.754,40.369,1.319,-0.077,NA,NA,NA,NA
51,1114.219,NA,41.622,0.811,-0.31,NA,NA,NA,NA
52,1138.158,NA,42.149,1.102,-0.41,NA,NA,NA,NA
53,1162.097,NA,41.37,1.644,-0.443,NA,NA,NA,NA
54,1186.036,NA,41.688,1.79,-0.5,NA,NA,NA,NA
55,1209.975,7.469,41.389,0,-0.527,NA,NA,NA,NA
56,1233.914,NA,41.972,1.127,-0.51,NA,NA,NA,NA
57,1257.853,NA,43.529,1.471,-0.485,NA,NA,NA,NA
58,1281.792,NA,41.954,1.437,-0.517,NA,NA,NA,NA
59,1305.731,NA,999.99,999.99,-0.47,NA,NA,NA,NA
60,1329.67,NA,999.99,999.99,-0.352,NA,NA,NA,NA
61,1353.609,NA,999.99,999.99,-0.37,NA,NA,NA,NA
62,1377.548,NA,999.99,999.99,-0.22,NA,NA,NA,NA
63,1401.487,NA,38.941,3.592,-0.066,NA,NA,NA,NA
64,1425.426,NA,36.158,3.013,0.325,NA,NA,NA,NA
65,1449.365,NA,37.992,3.937,0.978,NA,NA,NA,NA
66,1473.304,NA,37.887,3.643,0.225,NA,NA,NA,NA
67,1497.243,NA,38.336,2.893,0.26,NA,NA,NA,NA
68,1521.182,6.203,37.045,4.453,0.251,NA,NA,NA,NA
68.5,1533.151,NA,999.99,999.99,999.99,NA,NA,NA,NA
69,1545.121,NA,43.07,3.625,0.407,NA,NA,NA,NA
70,1569.06,NA,50.249,3.731,0.501,NA,NA,NA,NA
71,1592.999,NA,50.132,4.222,0.335,NA,NA,NA,NA
72,1612.906,NA,46.939,4.592,0.044,NA,NA,NA,NA
73,1628.709,10.898,43.868,3.774,-0.079,NA,NA,NA,NA
74,1644.512,NA,42.188,3.348,-0.06,NA,NA,NA,NA
75,1660.315,NA,40.879,3.516,-0.004,NA,NA,NA,NA
76,1676.118,NA,40,3.478,0.08,NA,NA,NA,NA
77,1691.921,NA,39.425,3.285,0.251,NA,NA,NA,NA
78,1707.724,NA,37.81,3.926,0.305,NA,NA,NA,NA
79,1723.527,NA,38.178,2.907,0.475,NA,NA,NA,NA
80,1739.33,2.244,35.34,3.495,0.559,NA,NA,NA,NA
81,1755.133,NA,35.509,3.647,0.676,NA,NA,NA,NA
82,1770.936,NA,33.333,3.538,0.909,NA,NA,NA,NA
83,1786.739,NA,32.727,1.616,1.1,NA,NA,NA,NA
84,1802.542,NA,33.065,3.831,1.034,NA,NA,NA,NA
85,1818.345,8.072,36.345,2.941,1.105,NA,NA,NA,NA
86,1834.148,NA,37.579,4.556,0.7,NA,NA,NA,NA
87,1849.951,NA,34.134,4.445,0.681,NA,NA,NA,NA
88,1865.754,NA,35.448,4.263,0.576,NA,NA,NA,NA
89,1881.557,NA,35.809,4.656,0.583,NA,NA,NA,NA
90,1897.36,11.944,35.587,4.437,0.622,NA,NA,NA,NA
91,1913.163,NA,35.955,4.364,0.65,NA,NA,NA,NA
92,1928.966,NA,35.186,4.088,0.748,NA,NA,NA,NA
93,1944.769,NA,34.676,4.363,0.835,NA,NA,NA,NA
94,1960.572,NA,34.016,3.724,0.976,NA,NA,NA,NA
95,1976.375,9.466,34.393,4.282,1.198,NA,NA,NA,NA
96,1992.178,NA,33.558,3.243,1.403,NA,NA,NA,NA
97,2007.981,NA,33.034,4.289,1.639,NA,NA,NA,NA
98,2023.784,NA,31.759,4.341,1.968,NA,NA,NA,NA
99,2039.587,NA,30.257,4.184,2.326,NA,NA,NA,NA
100,2055.39,9.223,28.352,4.34,2.59,NA,NA,NA,NA
101,2071.193,NA,28.06,4.793,2.728,NA,NA,NA,NA
102,2086.996,NA,28.78,4.327,2.633,NA,NA,NA,NA
103,2102.799,NA,29.367,4.641,2.288,NA,NA,NA,NA
104,2118.602,NA,30.71,4.747,1.793,NA,NA,NA,NA
105,2134.405,16.192,32.689,4.629,1.298,NA,NA,NA,NA
106,2150.208,NA,34.402,5.186,0.953,NA,NA,NA,NA
107,2166.011,NA,35.786,3.945,0.692,NA,NA,NA,NA
108,2181.814,NA,36.87,4.435,0.565,NA,NA,NA,NA
109,2197.617,NA,37.38,4.259,0.502,NA,NA,NA,NA
110,2213.42,16.705,38.896,4.905,0.51,NA,NA,NA,NA
111,2229.223,NA,38.928,4.833,0.52,NA,NA,NA,NA
112,2245.026,NA,38.759,4.699,0.5,NA,NA,NA,NA
113,2260.829,NA,38.68,4.242,0.448,NA,NA,NA,NA
114,2276.632,NA,38.316,4.561,0.494,NA,NA,NA,NA
115,2292.435,10.658,39.378,4.025,0.508,NA,NA,NA,NA
116,2308.238,NA,38.799,2.954,0.471,NA,NA,NA,NA
117,2324.041,NA,38.56,3.633,0.503,NA,NA,NA,NA
118,2339.844,NA,38.825,3.993,0.459,NA,NA,NA,NA
119,2355.647,NA,39.79,3.2,0.463,NA,NA,NA,NA
120,2371.45,13.554,39.026,3.955,0.525,NA,NA,NA,NA
121,2387.245,NA,39.399,3.925,0.537,NA,NA,NA,NA
122,2403.047,NA,38.649,3.819,0.503,NA,NA,NA,NA
123,2418.85,NA,39.218,3.491,0.492,NA,NA,NA,NA
124,2434.653,NA,38.591,3.217,0.447,NA,NA,NA,NA
125,2450.456,13.544,35.889,6.188,0.402,NA,NA,NA,NA
126,2466.259,NA,38.009,4.231,0.364,NA,NA,NA,NA
127,2482.062,NA,38.077,4.235,0.446,NA,NA,NA,NA
128,2497.865,NA,38.49,3.941,0.484,NA,NA,NA,NA
129,2513.668,NA,38.686,3.835,0.572,NA,NA,NA,NA
130,2529.471,10.1,38.35,3.631,0.661,NA,NA,NA,NA
131,2545.274,NA,37.509,3.862,0.718,NA,NA,NA,NA
132,2561.077,NA,36.492,3.923,0.805,NA,NA,NA,NA
133,2576.88,NA,36.909,4.134,0.944,NA,NA,NA,NA
134,2592.682,NA,36.458,3.257,0.973,NA,NA,NA,NA
135,2608.485,8.857,35.803,3.792,0.912,NA,NA,NA,NA
136,2624.288,NA,35.542,3.471,0.987,NA,NA,NA,NA
137,2640.091,NA,34.774,4.301,0.982,NA,NA,NA,NA
138,2655.894,NA,34.017,4.141,0.953,NA,NA,NA,NA
139,2671.697,NA,33.277,3.942,1.017,NA,NA,NA,NA
140,2687.5,15.393,33.536,4.094,0.998,NA,NA,NA,NA
141,2703.303,NA,33.804,3.699,0.963,NA,NA,NA,NA
142,2719.106,NA,34.634,4.433,0.907,NA,NA,NA,NA
143,2734.909,NA,35.4,3.692,0.829,NA,NA,NA,NA
144,2750.712,NA,34.986,4.652,0.725,NA,NA,NA,NA
145,2766.515,17.199,36.733,4.112,0.739,NA,NA,NA,NA
146,2782.318,NA,36.722,3.57,0.697,NA,NA,NA,NA
147,2798.12,NA,36.208,3.866,0.701,NA,NA,NA,NA
148,2813.923,NA,35.347,4.922,0.723,NA,NA,NA,NA
149,2829.726,NA,36.457,3.644,0.785,NA,NA,NA,NA
150,2845.529,13.756,35.844,3.882,0.75,NA,NA,NA,NA
151,2861.332,NA,37.245,3.889,0.763,NA,NA,NA,NA
152,2877.135,NA,36.965,4.226,0.845,NA,NA,NA,NA
153,2892.938,NA,34.255,5.106,0.863,NA,NA,NA,NA
154,2908.741,NA,33.824,2.101,0.8,NA,NA,NA,NA
155,2924.544,15.256,32.751,3.93,0.767,NA,NA,NA,NA
156,2940.347,NA,32.755,3.688,0.682,NA,NA,NA,NA
157,2956.15,NA,32.15,3.34,0.72,NA,NA,NA,NA
158,2971.953,NA,31.938,3.965,0.438,NA,NA,NA,NA
159,2987.755,NA,32.158,2.49,0.54,NA,NA,NA,NA
160,3003.558,NA,31.287,3.366,0.657,NA,NA,NA,NA
161,3019.361,NA,30.856,3.829,0.825,NA,NA,NA,NA
162,3035.164,NA,30.526,3.368,1.012,NA,NA,NA,NA
163,3050.967,NA,31.915,3.095,1.18,NA,NA,NA,NA
164,3066.77,NA,5.959,0.62,1.289,NA,NA,NA,NA
165,3082.573,15.185,6.194,0.641,1.393,NA,NA,NA,NA
166,3098.376,NA,36.192,3.766,1.347,NA,NA,NA,NA
167,3114.179,NA,36.008,4.115,1.722,NA,NA,NA,NA
168,3129.982,NA,35.152,3.838,1.813,NA,NA,NA,NA
169,3145.785,NA,34.406,3.622,1.987,NA,NA,NA,NA
170,3161.588,12.849,33.761,3.632,2.212,NA,NA,NA,NA
171,3177.391,NA,32.784,3.663,2.552,NA,NA,NA,NA
172,3193.193,NA,31.934,3.65,2.858,NA,NA,NA,NA
173,3208.996,NA,31.87,4.389,3.182,NA,NA,NA,NA
174,3224.799,NA,31.413,4.089,3.473,NA,NA,NA,NA
175,3240.602,11.533,32.781,3.867,3.815,NA,NA,NA,NA
176,3256.405,NA,32.755,4.046,4.203,NA,NA,NA,NA
177,3272.208,NA,31.81,4.022,4.678,NA,NA,NA,NA
178,3288.011,NA,31.015,3.947,4.987,NA,NA,NA,NA
179,3303.814,NA,30.672,4.174,5.377,NA,NA,NA,NA
180,3319.617,21.945,29.63,4.074,5.73,NA,NA,NA,NA
181,3335.42,NA,28.395,3.88,6.157,NA,NA,NA,NA
182,3351.223,NA,28.061,3.912,6.53,NA,NA,NA,NA
183,3367.026,NA,26.997,3.994,6.655,NA,NA,NA,NA
184,3382.828,NA,27.337,3.88,6.377,NA,NA,NA,NA
185,3398.631,NA,999.99,999.99,7.202,NA,NA,NA,NA
186,3414.434,NA,34.656,2.29,8.012,NA,NA,NA,NA
187,3430.237,NA,31.844,2.594,8.638,NA,NA,NA,NA
188,3446.04,20.848,28.264,2.726,9.03,NA,NA,NA,NA
189,3461.843,NA,27.003,3.412,9.222,NA,NA,NA,NA
190,3477.646,NA,27.062,2.605,9.363,NA,NA,NA,NA
191,3493.449,NA,26.845,3.14,9.59,NA,NA,NA,NA
192,3509.252,NA,25.035,3.755,9.748,NA,NA,NA,NA
193,3525.055,18.544,26.126,3.453,10.105,NA,NA,NA,NA
194,3540.858,NA,25.547,3.796,10.597,NA,NA,NA,NA
195,3556.661,NA,25.526,2.945,11.29,NA,NA,NA,NA
196,3572.464,NA,25.142,3.125,11.95,NA,NA,NA,NA
197,3588.266,NA,26.074,3.438,12.622,NA,NA,NA,NA
198,3604.069,14.697,26.339,3.763,13.282,NA,NA,NA,NA
199,3619.872,NA,26.292,3.495,13.96,NA,NA,NA,NA
200,3635.675,NA,25.152,3.939,14.685,NA,NA,NA,NA
201,3651.478,NA,24.852,3.55,15.442,NA,NA,NA,NA
202,3667.281,NA,24.46,4.029,15.933,NA,NA,NA,NA
203,3683.084,13.854,24.459,3.649,16.195,NA,NA,NA,NA
204,3698.887,NA,25.421,3.511,15.952,NA,NA,NA,NA
205,3714.69,NA,25.581,3.876,15.51,NA,NA,NA,NA
206,3730.493,NA,25.714,4.286,15.135,NA,NA,NA,NA
207,3746.296,NA,26.502,4.006,15.028,NA,NA,NA,NA
208,3762.099,9.832,27.09,4.013,15.27,NA,NA,NA,NA
209,3786.045,NA,27.518,4.255,15.713,NA,NA,NA,NA
210,3818.134,NA,26.939,4.09,16.072,NA,NA,NA,NA
211,3850.224,NA,26.531,4.373,16.48,NA,NA,NA,NA
212,3882.313,NA,26.951,3.976,16.905,NA,NA,NA,NA
213,3914.403,6.233,27.031,4.136,17.313,NA,NA,NA,NA
214,3946.493,NA,27.466,3.794,17.69,NA,NA,NA,NA
215,3978.582,NA,26.759,4.414,18.147,NA,NA,NA,NA
216,4010.672,NA,26.929,4.387,18.707,NA,NA,NA,NA
217,4042.761,NA,27.104,4.28,19.182,NA,NA,NA,NA
218,4074.851,5.516,27.372,4.199,19.723,NA,NA,NA,NA
219,4106.94,NA,26.774,4.552,20.365,NA,NA,NA,NA
220,4139.03,NA,25.549,4.121,21.008,NA,NA,NA,NA
221,4171.119,NA,24.43,4.43,21.467,NA,NA,NA,NA
222,4203.209,NA,23.505,4.451,21.893,NA,NA,NA,NA
223,4235.299,1.857,23.275,4.195,22.217,NA,NA,NA,NA
224,4267.388,NA,22.824,3.765,22.192,NA,NA,NA,NA
225,4299.478,NA,22.399,4.162,21.337,NA,NA,NA,NA
226,4331.567,NA,22.63,4.551,20.827,NA,NA,NA,NA
227,4363.657,NA,23.273,4.485,20.618,NA,NA,NA,NA
228,4395.746,1.347,23.607,4.509,21.06,NA,NA,NA,NA
229,4427.836,NA,24.834,4.648,21.803,NA,NA,NA,NA
230,4459.925,NA,24.597,4.435,22.647,NA,NA,NA,NA
231,4492.015,NA,23.259,4.599,23.187,NA,NA,NA,NA
232,4524.104,NA,21.611,4.604,23.578,NA,NA,NA,NA
233,4556.194,0.29,21.9,5.145,23.722,NA,NA,NA,NA
234,4588.284,NA,22.055,4.135,23.563,NA,NA,NA,NA
235,4620.373,NA,21.829,4.571,22.99,NA,NA,NA,NA
236,4652.463,NA,22.41,4.217,21.445,NA,NA,NA,NA
237,4684.552,NA,22.991,4.944,20.672,NA,NA,NA,NA
238,4716.642,3.715,21.32,6.599,20.282,NA,NA,NA,NA
239,4748.731,NA,21.086,6.944,20.373,NA,NA,NA,NA
240,4780.821,NA,21.162,7.154,20.982,NA,NA,NA,NA
241,4812.91,NA,20.97,7.077,21.608,NA,NA,NA,NA
242,4845,NA,21.301,7.526,22.252,NA,NA,NA,NA
243,4879.1,1.54,21.772,7.658,22.942,NA,NA,NA,NA
244,4913.2,NA,20.561,7.477,23.632,NA,NA,NA,NA
245,4947.3,NA,20.191,6.003,24.308,NA,NA,NA,NA
246,4981.4,NA,19.877,6.258,24.835,NA,NA,NA,NA
247,5015.5,NA,19.978,6.397,26.275,NA,NA,NA,NA
248,5049.6,2.678,19.488,6.347,26.285,NA,NA,NA,NA
249,5083.7,NA,19.757,5.96,25.843,NA,NA,NA,NA
250,5117.8,NA,18.854,5.86,25.835,NA,NA,NA,NA
251,5151.9,NA,18.814,5.93,25.945,NA,NA,NA,NA
252,5186,NA,18.804,5.543,26.405,NA,NA,NA,NA
253,5220.1,3.415,18.73,5.382,26.863,NA,NA,NA,NA
254,5254.2,NA,18.47,5.683,26.553,NA,NA,NA,NA
255,5288.3,NA,18.575,5.94,26.18,NA,NA,NA,NA
256,5322.4,NA,18.294,6.269,27.005,NA,NA,NA,NA
257,5356.5,NA,18.511,5.745,26.863,NA,NA,NA,NA
258,5390.6,1.926,18.916,6.033,30.367,NA,NA,NA,NA
259,5424.7,NA,18.901,6.703,20.972,NA,NA,NA,NA
260,5458.8,NA,18.531,5.876,20.493,NA,NA,NA,NA
261,5492.9,NA,18.758,6.832,19.48,NA,NA,NA,NA
262,5527,NA,18.839,6.353,19.237,NA,NA,NA,NA
263,5561.1,3.306,18.721,6.05,21.807,NA,NA,NA,NA
264,5595.2,NA,18.94,6.201,23.928,NA,NA,NA,NA
265,5629.3,NA,18.894,6.912,25.212,NA,NA,NA,NA
266,5663.4,NA,19.365,5.82,25.667,NA,NA,NA,NA
267,5697.5,NA,18.661,5.818,25.868,NA,NA,NA,NA
268,5731.6,3.666,19.105,5.677,25.655,NA,NA,NA,NA
269,5765.7,NA,18.77,5.62,25.258,NA,NA,NA,NA
270,5799.8,NA,19.629,5.671,25.208,NA,NA,NA,NA
271,5833.9,NA,21.871,6.561,25.813,NA,NA,NA,NA
272,5868,NA,21.823,5.995,26.818,NA,NA,NA,NA
273,5902.1,7.773,21.48,6.086,27.77,NA,NA,NA,NA
274,5936.2,NA,20.844,6.069,28.705,NA,NA,NA,NA
275,5970.3,NA,19.503,6.584,29.743,NA,NA,NA,NA
276,6004.4,NA,18.942,6.273,30.945,NA,NA,NA,NA
277,6038.5,NA,19.692,5.575,33.047,NA,NA,NA,NA
278,6072.6,10.552,19.735,5.295,35.665,NA,NA,NA,NA
279,6106.7,NA,20.733,5.689,39.67,NA,NA,NA,NA
280,6140.8,NA,18.365,5.263,44.557,NA,NA,NA,NA
281,6174.9,NA,16.849,5.58,46.748,NA,NA,NA,NA
282,6209,NA,15.231,4.896,41.51,NA,NA,NA,NA
283,6243.1,NA,16.011,3.843,41.423,NA,NA,NA,NA
284,6277.2,NA,16.263,4.55,38.868,NA,NA,NA,NA
285,6311.3,NA,19.616,5.763,35.698,NA,NA,NA,NA
286,6345.4,14.929,17.871,2.859,31.913,NA,NA,NA,NA
287,6379.5,NA,17.797,3.084,28.158,NA,NA,NA,NA
288,6413.6,NA,18.616,2.924,24.27,NA,NA,NA,NA
289,6447.7,NA,18.475,3.617,20.252,NA,NA,NA,NA
290,6481.8,NA,19.412,3.039,17.132,NA,NA,NA,NA
291,6515.9,23.165,19.582,3.422,14.428,NA,NA,NA,NA
292,6550,NA,19.839,3.625,11.823,NA,NA,NA,NA
293,6571.064,NA,20.682,4.07,9.988,NA,NA,NA,NA
294,6592.128,NA,21.871,3.977,8.785,NA,NA,NA,NA
295,6613.191,NA,22.199,3.874,8.197,NA,NA,NA,NA
296,6634.255,23.66,22.015,3.834,8.245,NA,NA,NA,NA
297,6655.319,NA,22.993,3.905,8.34,NA,NA,NA,NA
298,6676.383,NA,23.707,4.095,8.288,NA,NA,NA,NA
299,6697.447,NA,23.928,3.386,9.102,NA,NA,NA,NA
300,6718.511,NA,24.045,3.82,9.83,NA,NA,NA,NA
301,6739.574,30.122,23.758,4.242,10.877,NA,NA,NA,NA
302,6760.638,NA,23.884,3.86,12.257,NA,NA,NA,NA
303,6781.702,NA,23.831,4.105,14.253,NA,NA,NA,NA
304,6802.766,NA,23.69,4.286,15.583,NA,NA,NA,NA
305,6823.83,NA,24.672,3.456,16.63,NA,NA,NA,NA
306,6844.894,29.121,24.279,3.606,17.675,NA,NA,NA,NA
307,6865.957,NA,24.324,3.808,19.108,NA,NA,NA,NA
308,6887.021,NA,23.309,4.71,21.087,NA,NA,NA,NA
309,6908.085,NA,22.739,4.02,22.973,NA,NA,NA,NA
310,6929.149,NA,22.26,4.294,24.742,NA,NA,NA,NA
311,6950.213,13.542,22.565,4.513,29.62,NA,NA,NA,NA
312,6971.277,NA,22.986,3.867,31.497,NA,NA,NA,NA
313,6992.34,NA,22.635,4.617,44.072,NA,NA,NA,NA
314,7013.404,NA,23.381,4.391,43.45,NA,NA,NA,NA
315,7034.468,NA,23.862,4.329,52.593,NA,NA,NA,NA
316,7067.027,5.121,22.68,4.021,42.94,NA,NA,NA,NA
317,7111.081,NA,19.591,4.735,48.795,NA,NA,NA,NA
318,7155.135,NA,16.385,3.453,41.908,NA,NA,NA,NA
319,7199.189,NA,22.159,4.489,47.245,NA,NA,NA,NA
320,7243.243,NA,22.222,4.179,42.048,NA,NA,NA,NA
321,7287.297,3.5,21.772,4.482,48.542,NA,NA,NA,NA
322,7331.351,NA,21.947,3.894,47.17,NA,NA,NA,NA
323,7375.405,NA,22.715,4.253,56.117,NA,NA,NA,NA
324,7419.459,NA,25.295,3.642,54.707,NA,NA,NA,NA
325,7463.514,NA,24.628,4.171,63.792,NA,NA,NA,NA
326,7507.568,2.056,21.485,3.861,57.762,NA,NA,NA,NA
327,7551.622,NA,20.185,4.537,54.345,NA,NA,NA,NA
328,7595.676,NA,17.93,4.898,52.954,NA,NA,NA,NA
329,7639.73,NA,18.663,3.912,56.023,NA,NA,NA,NA
330,7683.784,NA,18.796,3.957,56.265,NA,NA,NA,NA
331,7727.838,0.975,18.809,4.055,62.578,NA,NA,NA,NA
332,7771.892,NA,19.306,4.405,65.435,NA,NA,NA,NA
333,7815.946,NA,20.173,4.035,85.3,NA,NA,NA,NA
334,7860,NA,21.878,3.568,97.621,NA,NA,NA,NA
335,7965.312,NA,23.12,3.435,117.257,NA,NA,NA,NA
336,8070.625,3.008,21.376,4.974,129.107,NA,NA,NA,NA
337,8175.938,NA,21.18,3.772,114.632,NA,NA,NA,NA
338,8281.25,NA,19.418,3.565,86.573,NA,NA,NA,NA
339,8386.562,NA,19.285,4.233,71.06,NA,NA,NA,NA
340,8491.875,NA,7.907,2.727,64.772,NA,NA,NA,NA
341,8597.188,-2.842,10.191,3.011,59.184,NA,NA,NA,NA
342,8702.5,NA,15.422,5.753,54.47,NA,NA,NA,NA
343,8807.812,NA,15.74,4.197,51.337,NA,NA,NA,NA
344,8913.125,NA,14.716,3.595,52.435,NA,NA,NA,NA
345,9018.438,NA,14.364,4.117,61.898,NA,NA,NA,NA
346,9123.75,3.428,17.05,3.64,74.361,NA,NA,NA,NA
347,9229.062,NA,16.957,3.876,73.661,NA,NA,NA,NA
348,9334.375,NA,20.621,3.769,61.85,NA,NA,NA,NA
349,9439.688,NA,17.277,4.577,53,NA,NA,NA,NA
350,9545,NA,12.406,3.153,47.9,NA,NA,NA,NA
351,9559.615,13.559,19.417,4.099,44.087,NA,NA,NA,NA
352,9574.231,NA,18.413,3.459,41.265,NA,NA,NA,NA
353,9588.846,NA,25.644,3.396,39.414,NA,NA,NA,NA
354,9603.462,NA,24.704,3.428,33.38,NA,NA,NA,NA
355,9618.077,NA,23.399,3.492,27.683,NA,NA,NA,NA
356,9632.692,9.35,22.403,3.463,32.667,NA,NA,NA,NA
357,9647.308,NA,22.769,3.776,28.657,NA,NA,NA,NA
358,9661.923,NA,22.04,3.986,37.057,NA,NA,NA,NA
359,9676.538,NA,25.909,3.634,37.883,NA,NA,NA,NA
360,9691.154,NA,29.662,3.755,59.678,NA,NA,NA,NA
361,9705.769,17.392,28.656,3.538,82.842,NA,NA,NA,NA
362,9720.385,NA,28.499,4.071,81.222,NA,NA,NA,NA
363,9735,NA,22.673,3.103,52.932,NA,NA,NA,NA
364,9749.615,NA,11.674,4.855,34.443,NA,NA,NA,NA
365,9764.231,NA,6.913,2.265,25.955,NA,NA,NA,NA
366,9778.846,18.833,15.784,4.881,19.918,NA,NA,NA,NA
367,9793.462,NA,16.885,4.875,17.193,NA,NA,NA,NA
368,9808.077,NA,13.392,5.049,15.04,NA,NA,NA,NA
