year (AD),age (BP),depth (m),age (BP),age (BP),dD (permil),depth_top_m (m)
-1060.5,3010.5,162.64,3004,3017,-319,162.14
-1073.5,3023.5,163.14,3017,3030,-307.31,162.64
-1112.5,3062.5,164.62,3056,3069,-296.09,164.12
-1126,3076,165.12,3069,3083,-312.16,164.62
-1166.5,3116.5,166.62,3110,3123,-303.48,166.12
-1180,3130,167.12,3123,3137,-311.86,166.62
-1220,3170,168.62,3163,3177,-304.3,168.12
-1233.5,3183.5,169.12,3177,3190,-304.23,168.62
-1274.5,3224.5,170.62,3218,3231,-315.98,170.12
-1288,3238,171.1,3231,3245,-309.4,170.62
-1329,3279,172.6,3272,3286,-308.88,172.1
-1342.5,3292.5,173.1,3286,3299,-308.66,172.6
-1384,3334,174.6,3327,3341,-312.53,174.1
-1397.5,3347.5,175.1,3341,3354,-323.36,174.6
-1439,3389,176.6,3382,3396,-306.7,176.1
-1453.5,3403.5,177.1,3396,3411,-314.75,176.6
-1496,3446,178.6,3439,3453,-319.39,178.1
-1510,3460,179.1,3453,3467,-310.22,178.6
-1552,3502,180.6,3495,3509,-310.8,180.1
-1566,3516,181.1,3509,3523,-309.28,180.6
-1608.5,3558.5,182.6,3551,3566,-314.7,182.1
-1623,3573,183.1,3566,3580,-313.39,182.6
-1666,3616,184.6,3609,3623,-310.61,184.1
-1680,3630,185.1,3623,3637,-325.62,184.6
-1723,3673,186.6,3666,3680,-313.15,186.1
-1737.5,3687.5,187.1,3680,3695,-313.66,186.6
-1781.5,3731.5,188.6,3724,3739,-318.28,188.1
-1796,3746,189.1,3739,3753,-304.24,188.6
-1841,3791,190.63,3784,3798,-298.92,190.13
-1855.5,3805.5,191.13,3798,3813,-306.31,190.63
-1899.5,3849.5,192.63,3842,3857,-298.85,192.13
-1914.5,3864.5,193.13,3857,3872,-307.37,192.63
-1959,3909,194.63,3902,3916,-308.42,194.13
-1973.5,3923.5,195.13,3916,3931,-301.43,194.63
-2018.5,3968.5,196.63,3961,3976,-305.39,196.13
-2033.5,3983.5,197.13,3976,3991,-309.58,196.63
-2079.5,4029.5,198.63,4022,4037,-314.86,198.13
-2095,4045,199.13,4037,4053,-322.96,198.63
-2141.5,4091.5,200.63,4084,4099,-316.09,200.13
-2157,4107,201.13,4099,4115,-312.99,200.63
-2204,4154,202.63,4146,4162,-311.09,202.13
-2219.5,4169.5,203.13,4162,4177,-303.43,202.63
-2266,4216,204.63,4208,4224,-315.92,204.13
-2281.5,4231.5,205.13,4224,4239,-316.29,204.63
-2328,4278,206.63,4270,4286,-300.43,206.13
-2343.5,4293.5,207.13,4286,4301,-303.61,206.63
-2390,4340,208.63,4332,4348,-304.08,208.13
-2406,4356,209.13,4348,4364,-310.21,208.63
-2454,4404,210.63,4396,4412,-321.99,210.13
-2469.5,4419.5,211.13,4412,4427,-309.36,210.63
-2517,4467,212.63,4459,4475,-313.72,212.13
-2533,4483,213.13,4475,4491,-294.44,212.63
-2581.5,4531.5,214.63,4523,4540,-310.42,214.13
-2598,4548,215.13,4540,4556,-314.23,214.63
-2647.5,4597.5,216.63,4589,4606,-303.64,216.13
-2664.5,4614.5,217.13,4606,4623,-314.91,216.63
-2714,4664,218.63,4656,4672,-314.8,218.13
-2730.5,4680.5,219.13,4672,4689,-295.69,218.63
-2780,4730,220.63,4722,4738,-305.97,220.13
-2796,4746,221.13,4738,4754,-309.48,220.63
-2845,4795,222.63,4787,4803,-323.27,222.13
-2861.5,4811.5,223.13,4803,4820,-309,222.63
-2910.5,4860.5,224.63,4852,4869,-305.09,224.13
-2927,4877,225.13,4869,4885,-306.15,224.63
-2977.5,4927.5,226.63,4919,4936,-317.3,226.13
-2994.5,4944.5,227.13,4936,4953,-313.29,226.63
-3045.5,4995.5,228.63,4987,5004,-311.94,228.13
-3062.5,5012.5,229.13,5004,5021,-317.87,228.63
-3113.5,5063.5,230.63,5055,5072,-303.56,230.13
-3131,5081,231.13,5072,5090,-311.94,230.63
-3183.5,5133.5,232.63,5125,5142,-309.51,232.13
-3201,5151,233.13,5142,5160,-311.25,232.63
-3254,5204,234.64,5195,5213,999999,234.14
-3271.5,5221.5,235.14,5213,5230,-311.81,234.64
-3325,5275,236.64,5266,5284,-311.96,236.14
-3342.5,5292.5,237.14,5284,5301,-313.94,236.64
-3396,5346,238.64,5337,5355,-306.65,238.14
-3414,5364,239.14,5355,5373,-305.58,238.64
-3468,5418,240.64,5409,5427,-302.89,240.14
-3486,5436,241.14,5427,5445,-295.42,240.64
-3540.5,5490.5,242.64,5481,5500,-307.9,242.14
-3559,5509,243.14,5500,5518,-299.65,242.64
-3614,5564,244.64,5555,5573,-297.69,244.14
-3632,5582,245.14,5573,5591,-298.35,244.64
-3687.5,5637.5,246.64,5628,5647,-300.95,246.14
-3706,5656,247.14,5647,5665,-295.18,246.64
-3762.5,5712.5,248.64,5703,5722,-312.35,248.14
-3781.5,5731.5,249.14,5722,5741,-293,248.64
-3838.5,5788.5,250.64,5779,5798,-301.18,250.14
-3857,5807,251.14,5798,5816,-304.29,250.64
-3913.5,5863.5,252.64,5854,5873,-302.37,252.14
-3933,5883,253.14,5873,5893,-308.54,252.64
-3991.5,5941.5,254.64,5932,5951,-298.52,254.14
-4010.5,5960.5,255.14,5951,5970,-309.01,254.64
-4069,6019,256.64,6009,6029,999999,256.14
-4088.5,6038.5,257.14,6029,6048,999999,256.64
-4147,6097,258.65,6087,6107,-300.39,258.15
-4167,6117,259.15,6107,6127,-314.2,258.65
-4187,6137,259.65,6127,6147,-297.35,259.15
-4206,6156,260.08,6147,6165,-308.08,259.65
-4225,6175,260.58,6165,6185,999999,260.08
-4245,6195,261.08,6185,6205,999999,260.58
-4265,6215,261.58,6205,6225,999999,261.08
-4285,6235,262.08,6225,6245,999999,261.58
-4321,6271,262.99,6261,6281,-306.6,262.49
-4341,6291,263.49,6281,6301,-299.51,262.99
-4403,6353,264.99,6343,6363,-309.73,264.49
-4423.5,6373.5,265.49,6363,6384,-305.05,264.99
-4485.5,6435.5,266.99,6425,6446,-303.04,266.49
-4506,6456,267.49,6446,6466,-297.88,266.99
-4568,6518,268.99,6508,6528,-301.14,268.49
-4588.5,6538.5,269.49,6528,6549,-300.21,268.99
-4652.5,6602.5,270.99,6592,6613,-309.37,270.49
-4674,6624,271.49,6613,6635,-301.54,270.99
-4737.5,6687.5,272.99,6677,6698,-300.36,272.49
-4759,6709,273.49,6698,6720,-305.04,272.99
-4823,6773,274.99,6762,6784,-296.72,274.49
-4845,6795,275.49,6784,6806,-305.13,274.99
-4911.5,6861.5,276.99,6850,6873,-290.67,276.49
-4934,6884,277.49,6873,6895,-299.19,276.99
-4999,6949,278.98,6938,6960,-303.89,278.48
-5021.5,6971.5,279.48,6960,6983,-294.92,278.98
-5088.5,7038.5,280.98,7027,7050,-305.96,280.48
-5111.5,7061.5,281.48,7050,7073,-301.81,280.98
-5180.5,7130.5,283,7119,7142,-301,282.5
-5203.5,7153.5,283.5,7142,7165,-303.81,283
-5272,7222,285,7211,7233,-303.83,284.5
-5294.5,7244.5,285.5,7233,7256,-302.9,285
-5365,7315,287,7303,7327,-295.94,286.5
-5389,7339,287.5,7327,7351,-294.94,287
-5459.5,7409.5,289,7398,7421,-293.28,288.5
-5483,7433,289.5,7421,7445,-301.61,289
-5554,7504,291,7492,7516,-299.72,290.5
-5578,7528,291.5,7516,7540,-297.82,291
-5652,7602,293,7590,7614,-296.34,292.5
-5676.5,7626.5,293.5,7614,7639,-302.21,293
-5750.5,7700.5,295,7688,7713,-305.64,294.5
-5775,7725,295.5,7713,7737,-300.96,295
-5849.5,7799.5,297,7787,7812,-310.61,296.5
-5874.5,7824.5,297.5,7812,7837,-301.75,297
-5900,7850,298,7837,7863,-296.62,297.5
-5925.5,7875.5,298.5,7863,7888,-302.99,298
-6053.5,8003.5,301,7991,8016,-304.15,300.5
-6079,8029,301.5,8016,8042,-299.11,301
-6156.5,8106.5,303,8093,8120,-302.63,302.5
-6183.5,8133.5,303.5,8120,8147,-303.41,303
-6263.5,8213.5,305,8200,8227,-302.73,304.5
-6290,8240,305.5,8227,8253,-294.17,305
-6370,8320,307,8307,8333,-313.3,306.5
-6396.5,8346.5,307.5,8333,8360,-299.88,307
-6479,8429,309,8415,8443,-307.09,308.5
-6507,8457,309.5,8443,8471,-307.88,309
-6590,8540,311,8526,8554,-301.6,310.5
-6618,8568,311.5,8554,8582,-310.65,311
-6702,8652,313,8638,8666,-304.94,312.5
-6730,8680,313.5,8666,8694,-304.82,313
-6816.5,8766.5,315,8752,8781,-303.23,314.5
-6845.5,8795.5,315.5,8781,8810,-300.91,315
-6932.5,8882.5,317,8868,8897,-303.51,316.5
-6961.5,8911.5,317.5,8897,8926,-301.65,317
-7049,8999,319,8984,9014,-307.75,318.5
-7079,9029,319.5,9014,9044,-304.22,319
-7170.5,9120.5,321,9105,9136,-298.85,320.5
-7201.5,9151.5,321.5,9136,9167,-307.33,321
-7293,9243,323,9228,9258,-303.49,322.5
-7323.5,9273.5,323.5,9258,9289,-307.85,323
-7416,9366,325,9350,9382,-302.02,324.5
-7448,9398,325.5,9382,9414,-301.77,325
-7544,9494,327,9478,9510,-309.6,326.5
-7576,9526,327.5,9510,9542,-307.5,327
-7672,9622,329,9606,9638,-302.89,328.5
-7704,9654,329.5,9638,9670,-307.06,329
-7802.5,9752.5,331,9736,9769,-294.53,330.5
-7836,9786,331.5,9769,9803,-298.26,331
-7936.5,9886.5,333,9870,9903,-290.57,332.5
-7970,9920,333.5,9903,9937,-300.4,333
-8070.5,10020.5,335,10004,10037,-297.4,334.5
-8104,10054,335.5,10037,10071,-290.4,335
-8209.5,10159.5,337,10142,10177,-298.57,336.5
-8245,10195,337.5,10177,10213,-300.88,337
-8351.5,10301.5,339,10284,10319,-297.53,338.5
-8387,10337,339.5,10319,10355,-306.43,339
-8422.5,10372.5,340,10355,10390,-291.59,339.5
-8458,10408,340.5,10390,10426,-301.2,340
-8567,10517,342,10498,10536,999999,341.5
-8602.5,10552.5,342.45,10536,10569,999999,342
-8639.5,10589.5,343,10569,10610,-298.49,342.45
-8678.5,10628.5,343.5,10610,10647,-299.15,343
-8788.5,10738.5,345,10718,10759,-301.1,344.45
-8828,10778,345.5,10759,10797,-303.75,345
-8939.5,10889.5,347,10868,10911,-301.08,346.45
-8980.5,10930.5,347.5,10911,10950,-293.74,347
-9097,11047,349,11025,11069,-290.76,348.45
-9138.5,11088.5,349.5,11069,11108,-296.78,349
-9255.5,11205.5,351,11184,11227,-294,350.45
-9297,11247,351.5,11227,11267,-293.38,351
-9427.5,11377.5,353,11350,11405,-294.63,352.45
-9480,11430,353.5,11405,11455,-293.75,353
-9628.5,11578.5,355,11551,11606,-302.25,354.45
-9681,11631,355.5,11606,11656,-304.37,355
-9829,11779,357,11751,11807,-295.34,356.45
-9882,11832,357.5,11807,11857,-302.59,357
