depth (m),age (BP),temperature (degC),depth (m),age (BP),IRD (g),planktic.d13C (permil),planktic.d18O (permil),d18O (permil),d18O (permil)
1.195,10545,9.415,14.845,69299,0.75,NA,NA,NA,NA
1.215,10570,8.907,14.855,69386,0.71,NA,3.71,4.72,NA
1.225,10583,8.907,14.865,69472,0.41,NA,NA,NA,NA
1.235,10596,6.593,14.875,69558,0.49,NA,NA,NA,NA
1.245,10608,7.368,14.885,69645,0.71,NA,NA,NA,NA
1.265,10634,8.419,14.895,69731,0.96,NA,NA,NA,NA
1.275,10646,9,14.905,69818,1.55,NA,3.76,4.52,NA
1.295,10672,9.554,14.915,69904,1.5,NA,NA,NA,NA
1.31,10705,8.573,14.925,69991,1.1,NA,NA,NA,NA
1.32,10732,7.691,14.935,70077,3.63,NA,NA,NA,NA
1.33,10759,5.927,14.945,70164,3.43,NA,NA,NA,NA
1.34,10786,8.966,14.955,70250,1.42,NA,3.87,4.77,NA
1.36,10841,4.493,14.965,70337,1.08,NA,NA,NA,NA
1.39,10922,4.243,14.975,70423,1.29,NA,NA,NA,NA
1.4,10949,5.125,14.985,70510,1.41,NA,NA,NA,NA
1.45,11084,8.929,14.995,70596,1.9,NA,NA,NA,NA
1.5,11220,4.688,15.005,70683,0.74,NA,4.04,4.83,NA
1.51,11247,4.425,15.015,70769,0.83,NA,NA,NA,NA
1.52,11274,4.936,15.025,70856,0.94,NA,NA,NA,NA
1.53,11301,4.842,15.035,70942,0.58,NA,NA,NA,NA
1.54,11328,5.62,15.045,71029,0.67,NA,NA,NA,NA
1.55,11355,4.992,15.055,71115,0.65,NA,4.03,4.68,NA
1.56,11382,4.389,15.065,71202,1.6,NA,NA,NA,NA
1.59,11595,4.918,15.075,71288,0.55,NA,NA,NA,NA
1.7,12553,5.086,15.085,71375,0.85,NA,NA,NA,NA
1.73,12814,4.678,15.095,71461,0.86,NA,NA,NA,NA
1.74,12901,4.236,15.105,71548,0.63,NA,4.12,4.69,NA
1.75,12988,13.788,15.115,71634,1.55,NA,NA,NA,NA
1.76,13075,4.842,15.125,71721,1.2,NA,NA,NA,NA
1.78,13249,4.678,15.135,71807,0.76,NA,NA,NA,NA
1.79,13336,4.678,15.145,71894,1.86,NA,NA,NA,NA
1.8,13423,3.842,15.155,71980,3.19,NA,3.91,4.94,NA
1.81,13510,4.678,15.165,72067,3.07,NA,NA,NA,NA
1.82,13597,4.678,15.175,72153,2.28,NA,NA,NA,NA
1.83,13684,4.842,15.185,72240,4.25,NA,NA,NA,NA
1.84,13771,4.001,15.195,72326,7.73,NA,NA,NA,NA
1.85,13858,1.811,15.205,72413,8.75,NA,3.75,5.02,NA
1.87,13976,4.743,15.215,72499,7.2,NA,NA,NA,NA
1.89,14037,5.125,15.225,72586,4.6,NA,NA,NA,NA
1.9,14068,4.842,15.235,72672,1.69,NA,NA,NA,NA
1.91,14098,4.678,15.245,72759,1.4,NA,NA,NA,NA
1.92,14129,4.678,15.255,72845,0.68,NA,3.69,4.54,NA
1.93,14160,1.811,15.265,72932,1.11,NA,NA,NA,NA
1.95,14221,4.165,15.275,73018,2.81,NA,NA,NA,NA
1.96,14252,3.77,15.285,73105,3.27,NA,NA,NA,NA
1.97,14283,4.678,15.295,73191,2.79,NA,NA,NA,NA
1.98,14313,4.165,15.305,73278,2.07,NA,3.99,4.56,NA
1.99,14344,1.811,15.315,73364,4.36,NA,NA,NA,NA
2.01,14405,4.3,15.325,73451,16.87,NA,NA,NA,NA
2.02,14436,4.492,15.335,73537,10.41,NA,NA,NA,NA
2.03,14467,4.655,15.345,73624,4.62,NA,NA,NA,NA
2.04,14497,1.811,15.355,73710,2.52,NA,3.89,4.78,NA
2.05,14528,4.165,15.365,73797,2.58,NA,NA,NA,NA
2.06,14559,4.383,15.375,73883,1.69,NA,NA,NA,NA
2.07,14589,4.165,15.385,73970,1.96,NA,NA,NA,NA
2.08,14620,4.3,15.395,74056,2.78,NA,NA,NA,NA
2.09,14651,4.678,15.405,74143,3.03,NA,4.1,4.67,NA
2.1,14682,4.936,15.415,74229,2.13,NA,NA,NA,NA
2.11,14712,5.086,15.425,74316,1.65,NA,NA,NA,NA
2.12,14743,4.678,15.435,74402,3.91,NA,NA,NA,NA
2.13,14774,4.678,15.445,74489,3.03,NA,NA,NA,NA
