depth (cm) [1-1],age (BP) [1-1],OM (percent) [1-1],age (BP) [1-2],BSi (missing) [1-2],depth (cm) [2-1],age (BP) [2-1],BSi (missing) [2-1],BSi (mg g-1) [2-1],age (BP) [2-2],BSi (missing) [2-2]
412.5,6621,5.54,2961.501,-0.573,161.25,1681.184,2.106,8.214,2961.501,-0.573
415,6727,7.11,2929.501,-0.069,162.25,1692.9,2.232,9.314,2929.501,-0.069
417.5,6835,6.25,2897.501,-0.753,163.25,1704.617,2.107,8.223,2897.501,-0.753
420,6945,6.04,2865.501,-0.319,164.25,1716.333,2.112,8.268,2865.501,-0.319
422.5,7058,5.87,2833.501,-0.361,166.25,1739.765,2.061,7.853,2833.501,-0.361
425,7173,4.27,2801.501,-0.329,167.25,1751.481,2.006,7.435,2801.501,-0.329
427.5,7290,6.33,2769.501,-0.555,168.25,1763.198,2.077,7.98,2769.501,-0.555
430,7410,6.06,2737.501,-0.839,171.25,1798.356,2.354,10.528,2737.501,-0.839
432.5,7532,6.53,2705.501,-0.033,172.25,1810.078,2.048,7.751,2705.501,-0.033
435,7656,6.76,2673.501,-0.289,173.25,1821.801,2.151,8.597,2673.501,-0.289
440,7913,6.34,2641.501,-0.652,174.25,1833.527,2.256,9.542,2641.501,-0.652
NA,NA,NA,2609.501,-0.759,176.25,1856.986,1.547,4.697,2609.501,-0.759
NA,NA,NA,2577.501,-0.772,177.25,1868.72,1.709,5.522,2577.501,-0.772
NA,NA,NA,2545.501,-0.459,178.25,1880.456,1.774,5.897,2545.501,-0.459
NA,NA,NA,2513.501,-1.192,182.25,1927.443,2.242,9.411,2513.501,-1.192
NA,NA,NA,2481.501,-0.899,183.25,1939.201,2.411,11.148,2481.501,-0.899
NA,NA,NA,2449.501,-0.449,184.25,1950.965,2.645,14.089,2449.501,-0.449
NA,NA,NA,2417.501,-0.739,186.25,1974.509,2.554,12.858,2417.501,-0.739
NA,NA,NA,2385.501,-1.017,187.25,1986.29,2.308,10.059,2385.501,-1.017
NA,NA,NA,2353.501,0.101,188.25,1998.079,2.157,8.644,2353.501,0.101
NA,NA,NA,2321.501,-0.484,189.25,2009.875,1.977,7.218,2321.501,-0.484
NA,NA,NA,2289.501,-0.849,191.25,2033.489,2.212,9.132,2289.501,-0.849
NA,NA,NA,2257.501,-0.474,192.25,2045.309,2.179,8.837,2257.501,-0.474
NA,NA,NA,2225.501,-0.429,195.25,2080.826,1.726,5.62,2225.501,-0.429
NA,NA,NA,2193.501,-0.663,200.25,2140.234,0.984,2.676,2193.501,-0.663
NA,NA,NA,2161.501,-0.539,205.25,2199.968,1.723,5.604,2161.501,-0.539
NA,NA,NA,2129.501,-0.898,210.25,2260.095,1.331,3.786,2129.501,-0.898
NA,NA,NA,2097.501,-0.789,215.25,2320.693,1.672,5.323,2097.501,-0.789
NA,NA,NA,2065.501,-0.962,220.25,2381.842,1.305,3.689,2065.501,-0.962
NA,NA,NA,2033.501,-0.045,225.25,2443.63,1.822,6.185,2033.501,-0.045
NA,NA,NA,2001.501,-0.326,230.25,2506.151,0.565,1.759,2001.501,-0.326
NA,NA,NA,1969.501,0.017,235.25,2569.504,1.606,4.982,1969.501,0.017
NA,NA,NA,1937.501,0.272,240.25,2633.795,1.105,3.019,1937.501,0.272
NA,NA,NA,1905.501,0.111,245.25,2699.135,2.353,10.516,1905.501,0.111
NA,NA,NA,1873.501,-0.419,250.25,2765.642,1.389,4.01,1873.501,-0.419
NA,NA,NA,1841.501,-0.719,255.25,2833.44,1.787,5.973,1841.501,-0.719
NA,NA,NA,1809.501,-0.218,260.25,2902.658,1.283,3.607,1809.501,-0.218
NA,NA,NA,1777.501,-0.201,265.25,2973.431,1.724,5.605,1777.501,-0.201
NA,NA,NA,1745.501,-0.133,270.25,3045.901,1.223,3.399,1745.501,-0.133
NA,NA,NA,1713.501,-0.16,275.25,3120.216,1.79,5.991,1713.501,-0.16
NA,NA,NA,1681.501,-0.018,280.25,3196.529,1.855,6.393,1681.501,-0.018
NA,NA,NA,1649.501,-0.244,285.25,3275,1.712,5.54,1649.501,-0.244
NA,NA,NA,1617.501,-0.078,290.25,3355.794,1.791,5.994,1617.501,-0.078
NA,NA,NA,1585.501,0.213,295.25,3439.082,1.968,7.154,1585.501,0.213
NA,NA,NA,1553.501,-0.426,300.25,3525.043,2.777,16.064,1553.501,-0.426
NA,NA,NA,1521.501,-0.151,305.25,3613.859,1.88,6.555,1521.501,-0.151
NA,NA,NA,1489.501,-0.229,310.25,3705.719,2.799,16.435,1489.501,-0.229
NA,NA,NA,1457.501,-0.447,315.25,3800.821,2.067,7.902,1457.501,-0.447
NA,NA,NA,1425.501,-0.635,320.25,3899.364,1.611,5.006,1425.501,-0.635
NA,NA,NA,1393.501,-0.407,325.25,4001.557,1.669,5.306,1393.501,-0.407
NA,NA,NA,1361.501,-0.847,330.25,4107.612,1.456,4.291,1361.501,-0.847
NA,NA,NA,1329.501,-0.725,335.25,4217.75,1.779,5.925,1329.501,-0.725
NA,NA,NA,1297.501,-0.879,340.25,4332.195,1.912,6.769,1297.501,-0.879
NA,NA,NA,1265.501,-0.658,345.25,4451.18,2.245,9.442,1265.501,-0.658
NA,NA,NA,1233.501,-0.728,350.25,4574.94,3.382,29.436,1233.501,-0.728
NA,NA,NA,1201.501,-0.559,355.25,4703.721,1.88,6.552,1201.501,-0.559
NA,NA,NA,1169.501,-0.611,360.25,4837.771,3.537,34.349,1169.501,-0.611
NA,NA,NA,1137.501,-0.645,365.25,4977.345,1.548,4.702,1137.501,-0.645
NA,NA,NA,1105.501,-0.836,370.75,5137.57,3.122,22.689,1105.501,-0.836
NA,NA,NA,1073.501,-0.595,375.25,5274.119,2.263,9.616,1073.501,-0.595
NA,NA,NA,1041.501,-0.569,380.25,5431.86,2.294,9.917,1041.501,-0.569
NA,NA,NA,1009.501,-0.386,385.25,5596.206,2.45,11.583,1009.501,-0.386
NA,NA,NA,977.501,-0.268,390.25,5767.444,4.116,61.333,977.501,-0.268
NA,NA,NA,945.501,-0.471,395.25,5945.865,3.945,51.652,945.501,-0.471
NA,NA,NA,913.501,-0.225,400.25,6131.766,4.375,79.44,913.501,-0.225
NA,NA,NA,881.501,-0.347,405.25,6325.45,4.465,86.961,881.501,-0.347
NA,NA,NA,849.501,-0.533,410.25,6527.227,4.564,95.925,849.501,-0.533
NA,NA,NA,817.501,-0.561,415.25,6737.411,3.96,52.456,817.501,-0.561
NA,NA,NA,785.501,-0.34,420.25,6956.326,3.931,50.947,785.501,-0.34
NA,NA,NA,753.501,-0.482,425.25,7184.296,3.527,34.011,753.501,-0.482
NA,NA,NA,721.501,-0.194,430.25,7421.657,4.01,55.17,721.501,-0.194
NA,NA,NA,689.501,-0.261,435.25,7668.747,3.918,50.318,689.501,-0.261
NA,NA,NA,657.501,-0.175,440.25,7925.911,3.831,46.104,657.501,-0.175
NA,NA,NA,625.501,-0.15,445.25,8193.501,4.946,140.572,625.501,-0.15
NA,NA,NA,593.501,-0.293,NA,NA,NA,NA,593.501,-0.293
NA,NA,NA,561.501,-0.503,NA,NA,NA,NA,561.501,-0.503
NA,NA,NA,529.501,-0.456,NA,NA,NA,NA,529.501,-0.456
NA,NA,NA,497.501,-0.396,NA,NA,NA,NA,497.501,-0.396
NA,NA,NA,465.501,-0.582,NA,NA,NA,NA,465.501,-0.582
NA,NA,NA,433.501,-0.621,NA,NA,NA,NA,433.501,-0.621
NA,NA,NA,401.501,-0.623,NA,NA,NA,NA,401.501,-0.623
NA,NA,NA,369.501,-0.701,NA,NA,NA,NA,369.501,-0.701
NA,NA,NA,337.501,-0.817,NA,NA,NA,NA,337.501,-0.817
NA,NA,NA,305.501,-0.606,NA,NA,NA,NA,305.501,-0.606
NA,NA,NA,273.501,-0.488,NA,NA,NA,NA,273.501,-0.488
NA,NA,NA,241.501,-0.731,NA,NA,NA,NA,241.501,-0.731
NA,NA,NA,209.501,-0.863,NA,NA,NA,NA,209.501,-0.863
NA,NA,NA,177.501,-0.662,NA,NA,NA,NA,177.501,-0.662
NA,NA,NA,145.501,-0.677,NA,NA,NA,NA,145.501,-0.677
NA,NA,NA,113.501,-0.698,NA,NA,NA,NA,113.501,-0.698
NA,NA,NA,81.501,-0.758,NA,NA,NA,NA,81.501,-0.758
NA,NA,NA,49.501,-0.789,NA,NA,NA,NA,49.501,-0.789
NA,NA,NA,17.501,-0.197,NA,NA,NA,NA,17.501,-0.197
