depth (cm),age (BP),temperature (degC),nonReliabletemperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
54.5,4172.227,6.22,NA,7.895,4.545,Y
55.5,4242.91,5.729,NA,7.403,4.056,Y
56.5,4312.967,6.598,NA,8.264,4.932,Y
57.5,4382.405,5.764,NA,7.441,4.086,Y
58.5,4451.23,6.238,NA,7.914,4.563,Y
59.5,4519.448,6.315,NA,7.987,4.643,Y
60.5,4587.066,6.4,NA,8.072,4.727,Y
61.5,4654.078,7.436,NA,9.108,5.763,Y
62.5,4720.466,5.981,NA,7.663,4.299,Y
63.5,4786.211,6.312,NA,7.991,4.633,Y
64.5,4851.295,5.023,NA,6.716,3.33,Y
65.5,4915.7,5.55,NA,7.235,3.865,Y
66.5,4979.407,5.902,NA,7.582,4.221,Y
67.5,5042.398,5.398,NA,7.085,3.711,Y
68.5,5104.655,6.637,NA,8.313,4.962,Y
69.5,5166.161,6.575,NA,8.249,4.9,Y
70.5,5226.928,5.424,NA,7.111,3.737,Y
71.5,5286.997,5.591,NA,7.279,3.902,Y
72.5,5346.412,6.317,NA,7.998,4.635,Y
73.5,5405.215,6.115,NA,7.8,4.43,Y
74.5,5463.449,5.801,NA,7.492,4.11,Y
75.5,5521.158,5.321,NA,7.014,3.629,Y
76.5,5578.383,6.559,NA,8.234,4.884,Y
77.5,5635.169,6.175,NA,7.858,4.491,Y
78.5,5691.558,5.839,NA,7.529,4.149,Y
79.5,5747.592,6.686,NA,8.361,5.01,Y
80.5,5803.315,6.473,NA,8.153,4.794,Y
81.5,5858.77,NA,5.454,6.644,3.242,N
82.5,5914,4.959,NA,6.659,3.259,Y
83.5,5969.046,NA,NA,6.62,3.23,N
84.5,6023.935,6.405,NA,8.081,4.728,Y
85.5,6078.675,5.449,NA,7.151,3.747,Y
86.5,6133.277,6.429,NA,8.109,4.749,Y
87.5,6187.747,5.535,NA,7.224,3.845,Y
88.5,6242.096,6.755,NA,8.434,5.075,Y
89.5,6296.331,6.946,NA,8.622,5.27,Y
90.5,6350.461,5.895,NA,7.575,4.214,Y
91.5,6404.496,7.032,NA,8.708,5.356,Y
92.5,6458.442,5.442,NA,7.133,3.752,Y
93.5,6512.31,6.736,NA,8.413,5.059,Y
94.5,6566.108,6.205,NA,7.888,4.522,Y
95.5,6619.844,5.959,NA,7.647,4.27,Y
96.5,6673.528,6.512,NA,8.19,4.834,Y
97.5,6727.167,6.096,NA,7.781,4.41,Y
98.5,6780.771,6.397,NA,8.076,4.718,Y
99.5,6834.348,5.643,NA,7.342,3.943,Y
100.5,6887.906,5.307,NA,7.001,3.614,Y
101.5,6941.455,6.099,NA,7.781,4.417,Y
102.5,6995.003,6.19,NA,7.883,4.497,Y
103.5,7048.559,6.005,NA,7.687,4.322,Y
104.5,7102.131,5.369,NA,7.061,3.677,Y
105.5,7155.728,5.839,NA,7.529,4.149,Y
106.5,7209.359,5.111,NA,6.808,3.414,Y
107.5,7263.033,6.571,NA,8.247,4.895,Y
108.5,7316.757,6.162,NA,7.842,4.481,Y
109.5,7370.541,6.883,NA,8.557,5.209,Y
110.5,7424.393,6.365,NA,8.042,4.687,Y
111.5,7478.323,6.724,NA,8.402,5.046,Y
112.5,7532.338,5.382,NA,7.074,3.69,Y
113.5,7586.447,4.97,NA,6.67,3.27,Y
114.5,7640.659,5.53,NA,7.226,3.834,Y
115.5,7694.987,6.25,NA,7.926,4.574,Y
116.5,7749.444,6.35,NA,8.033,4.666,Y
117.5,7804.046,6.463,NA,8.139,4.788,Y
118.5,7858.809,5.464,NA,7.166,3.762,Y
119.5,7913.747,5.386,NA,7.064,3.707,Y
120.5,7968.875,4.679,NA,6.369,2.989,Y
121.5,8024.209,5.202,NA,6.895,3.509,Y
122.5,8079.763,5.209,NA,6.902,3.516,Y
123.5,8135.554,NA,5.106,6.516,3.128,N
124.5,8191.595,5.187,NA,6.879,3.494,Y
125.5,8247.903,5.86,NA,7.551,4.168,Y
126.5,8304.491,7.224,NA,8.893,5.555,Y
127.5,8361.376,7.195,NA,8.862,5.528,Y
128.5,8418.556,6.538,NA,8.213,4.864,Y
129.5,8476.017,6.462,NA,8.131,4.792,Y
130.5,8533.744,6.016,NA,7.703,4.33,Y
131.5,8591.722,6.269,NA,7.954,4.583,Y
132.5,8649.935,7.391,NA,9.059,5.723,Y
133.5,8708.368,7.995,NA,9.654,6.336,Y
134.5,8767.007,6.971,NA,8.643,5.298,Y
135.5,8825.835,7.48,NA,9.142,5.817,Y
136.5,8884.839,7.491,NA,9.161,5.822,Y
137.5,8944.002,7.778,NA,9.438,6.118,Y
138.5,9003.309,7.622,NA,9.286,5.958,Y
139.5,9062.745,8.565,NA,10.228,6.902,Y
140.5,9122.295,8.743,NA,10.404,7.081,Y
141.5,9181.944,8.575,NA,10.238,6.912,Y
142.5,9241.677,8.273,NA,9.933,6.613,Y
143.5,9301.478,9.015,NA,10.672,7.359,Y
144.5,9361.332,8.311,NA,9.972,6.651,Y
145.5,9421.224,8.182,NA,9.843,6.522,Y
146.5,9481.139,7.383,NA,9.059,5.706,Y
147.5,9541.062,7.325,NA,8.99,5.661,Y
148.5,9600.985,8.401,NA,10.061,6.742,Y
149.5,9660.909,8.501,NA,10.158,6.843,Y
150.5,9720.832,7.702,NA,9.364,6.039,Y
151.5,9780.755,9.171,NA,10.829,7.513,Y
152.5,9840.678,7.911,NA,9.583,6.238,Y
153.5,9900.601,8.166,NA,9.827,6.506,Y
154.5,9960.524,8.21,NA,9.87,6.55,Y
155.5,10020.448,7.216,NA,8.879,5.553,Y
156.5,10080.371,NA,6.716,6.378,3.001,N
157.5,10140.294,5.679,NA,7.357,4.001,Y
158.5,10200.217,NA,5.599,5.881,2.483,N
