depth (cm) [1-1],age (BP) [1-1],OM (percent) [1-1],MS (cgs) [1-1],age (BP) [1-2],BSi (percent) [1-2],depth (cm) [2-1],age (BP) [2-1],BSi (percent) [2-1],age (BP) [2-2],BSi (percent) [2-2]
181.5,12816,4.56,5.12,NA,NA,NA,NA,NA,NA,NA
182.5,12819,4.96,5.34,NA,NA,NA,NA,NA,NA,NA
183.5,12820,6.03,5.7,NA,NA,NA,NA,NA,NA,NA
184.5,12821,4.82,6.27,NA,NA,NA,NA,NA,NA,NA
185.5,12823,5.02,6.78,NA,NA,NA,NA,NA,NA,NA
186.5,12827,5.66,7.3,NA,NA,NA,NA,NA,NA,NA
187.5,12831,5.9,7.36,NA,NA,NA,NA,NA,NA,NA
188.5,12835,5.3,7.02,NA,NA,NA,NA,NA,NA,NA
189.5,12839,4.54,6.14,NA,NA,NA,NA,NA,NA,NA
190.5,12843,9.24,7.16,NA,NA,NA,NA,NA,NA,NA
191.5,12847,7.79,7.43,NA,NA,NA,NA,NA,NA,NA
192.5,12851,7.47,7.5,NA,NA,NA,NA,NA,NA,NA
193.5,12855,5.69,7.48,NA,NA,NA,NA,NA,NA,NA
194.5,12859,6.45,7.65,NA,NA,NA,NA,NA,NA,NA
195.5,12863,7.19,7.92,NA,NA,NA,NA,NA,NA,NA
196.5,12867,7.57,8.24,NA,NA,NA,NA,NA,NA,NA
197.5,12871,6.2,8.51,NA,NA,NA,NA,NA,NA,NA
198.5,12875,6.44,8.63,NA,NA,NA,NA,NA,NA,NA
199.5,12879,6.34,8.61,NA,NA,NA,NA,NA,NA,NA
200.5,12883,6.17,8.53,NA,NA,NA,NA,NA,NA,NA
201.5,12887,6,8.45,NA,NA,NA,NA,NA,NA,NA
202.5,12891,6.5,8.43,NA,NA,NA,NA,NA,NA,NA
203.5,12895,6.48,8.74,NA,NA,NA,NA,NA,NA,NA
204.5,12899,5.61,8.57,NA,NA,NA,NA,NA,NA,NA
205.5,12903,6.19,9.44,NA,NA,NA,NA,NA,NA,NA
206.5,12907,6.15,9.61,NA,NA,NA,NA,NA,NA,NA
207.5,12911,5.33,9.68,NA,NA,NA,NA,NA,NA,NA
208.5,12915,4.94,9.71,NA,NA,NA,NA,NA,NA,NA
209.5,12919,5.04,9.28,NA,NA,NA,NA,NA,NA,NA
210.5,12923,5.84,8.85,NA,NA,NA,NA,NA,NA,NA
211.5,12927,5.81,7.92,NA,NA,NA,NA,NA,NA,NA
212.5,12931,4.08,6.34,NA,NA,NA,NA,NA,NA,NA
213.5,12935,11.15,4.37,NA,NA,NA,NA,NA,NA,NA
214.5,12939,14.16,3.39,NA,NA,NA,NA,NA,NA,NA
215.5,12943,13.44,1.96,NA,NA,NA,NA,NA,NA,NA
